B00173IY02,[0.5702],[5],"[[nice, light, clamping, pressure]]","[[nice light clamping pressure, 0.5702, 5]]"
B00N0YUKEO,"[0.7906, 0.8519, 0.4404, 0.6369, 0.0, 0.2732, 0.6369, 0.6249, 0.7906, 0.5994, 0.4404, 0.4404, 0.5709, 0.0, 0.6369, 0.6249, 0.4404, 0.8402, 0.2537, 0.836, -0.931, 0.9876, 0.6249, 0.5719, 0.5719, -0.2489, 0.0772, -0.2924, 0.9604, -0.2389, 0.765, 0.0, 0.6249, 0.5719, 0.0, 0.5719, 0.2263, 0.6948, 0.6369, 0.2135, -0.7346, 0.4215, 0.886, 0.8779, 0.5719, -0.6998, 0.765, 0.7003, 0.6249, -0.6221, 0.0, 0.9545, 0.0, -0.7096, 0.8622, 0.0, -0.296, 0.6249, 0.9454, 0.8689, 0.0, 0.8218, 0.796, 0.7351, 0.9604, 0.8519, 0.807, 0.6213, 0.765, 0.9174, 0.3716, 0.9022, 0.0, 0.3389, 0.9393, 0.7269, 0.974, 0.3182, 0.5859, -0.6187, 0.9758, 0.4404, 0.0, 0.4404, 0.8162, 0.9207, 0.8074, -0.128, -0.2642, -0.8895, 0.9153, 0.6249]","[5, 5, 5, 4, 1, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 3, 5, 5, 5, 5, 3, 3, 1, 5, 3, 5, 5, 5, 5, 1, 5, 2, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 1, 4, 5, 2, 1, 5, 1, 1, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 4, 1, 5, 5, 5, 5, 5, 5, 5, 5, 1, 1, 5, 5]","[[work, phone, minute], [product, install, fast, shipping, verizon, sell, product, ], [excell], [month, broken, screen, broke, iphones, drop, need, replace], [fit, perfect, made, choice, screen, protector, ], [receive, screen, protector, put, fast, delivery, wish, width, deal, breaker, price, ill, order], [servicebr, quality], [put, love, direction, show, step, step], [buy, verizon, came, everything, need, part, temper, glass, issue, bubble, etc, amaze, value, buy, back], [quick, delivery, item, describe, install, ], [case, fell, apart, longer], [im, phone, drop, protect, screen, screen, crack], [want], [surface, smooth, excellent, touch, response, perfect, clarity, perfect, use, slim, case, wrap, edge, phone, protects, drop, dont, waste, temper, glass, product, well], [ship, fast, went, look, well, screen, protectorsbr, temper, glass, screen, protector, wish, get, sooner, feel, phone, look, better, clarity, kit, come, everything, need, clean, wipe, dust, remover, use, clean, temper, glass, protector, go, time, take, time, align, youll, get, try, saw, video, show, removal, glass, screen, protector, reapplied, issue, recommend, screen, protector], [expect], [seems, side, iphone, screen, adhesive, look, glass, touch, soft, smooth], [scratch], [phone, shatter, didnt, make, difference, fact, screen, protector, dont, waste, money, product], [didnt, protect, screen, carrier, want, pay, replace, ive, iphone, days, screen, break, mind, case, plus, screen, protector, im, disappoint, annoy, fall, damage, height, bed, floor, utter, bull, wish, didnt, purchase, screen, protector, didnt, screen, begin], [screen, protector, easiest, put, ever, use], [buy, screen, protector, instal, phone], [describe, camera, hole, set, protector, class], [jetechs, screen, protector, instal, include, instruction, look, protector], [product], [try, temper, glass, fact, write, review, comparison, jetech, screen, protector, protector, obtain, iphone, rate, star, closest, rat, ease, instal, screen], [work, great, price], [product, speedy, delivery], [time, put, screen, protector, cascade, leave, middle, remove, peel, corner, knife, put, corner, wouldnt, stick, email, ask, way, fix, offer, replace, amazement, day, receive, pack, screen, protector, purchase, single, time, put, get, air, bubble, frustrationbr, br, seems, screen, protector, touch, sensitivity, hasnt, dull, br, complaint, time, place, protector, get, tiny, cloth, fiber, something, screen, understand, isnt, product, fault, annoying, make, youre, vacuum, attach, screen, protectorbr, br, customer, service, jetech, recommend], [protects, screen], [state, temper, glass, receive, ask, refund], [protects, phone, fingerprint, drop, protector, scratch, begin, crack, believe, drop, useless, need, buy, month, purchase, protectorbr, br, iphone, protector, year, insane, amount, drop, problem], [nice, temper, glass, arrive, chip, edge], [protector, didnt, protect, phone, screen, crack, temper, glass], [save, phone, crush], [surprise, well, temper, glass, protector, felt, protector, applying, product, screen, phone, take, spill, get, hairline, crack, middle, phone, fine, glass, dont, worry, dust, particle, want, surface, course, happy, product, feel, extra, cost, protect, screen], [cant, believe, screen, protector, make, make, contact, phone, dial, texting], [product, receive, describe, ship, work], [describedeasy, install, open, front, camera], [product, fast, delivery], [product, protect, screen, phone, slip, hand, screen, protector, crack, screen], [instruction, follow, look, product], [product, kit, come, thing, location, tab, dust, sticker, present, temper, glass, purchase], [crack, pocket], [perfect, fit], [reviewer, say, screen, spot, clear, smooth, doesnt, scratch, light, use, way, iphone, screen, pick, scratch, use, pocket, anything, background, scene, put, screen, mask, scratch, cant, see, anymorebr, br, benefit, notice, pick, fingerprint, fact, purchase, make, wonder, wait], [product, great, price, make, align, add, phone, unicorn, beetle, case, great, investment, protect, phone], [week, way, protector, follow, direction, see, protector], [work, great, crack, peeling, film, replace, hassle, whatsoever], [buy, super, fast, shipping], [fit, phone, look, feel, diminish, visuals], [screen, protector, purchase, installation, process, easy, instruction, result, flawless, install, look, amaze, iphone, feel, screen, protector, marketbr, br, buy, screen, protector, company], [screen, protector, use, didnt, screen, make], [end, crack, screen, protector, purchase, quality], [get, protector, try, kind, lift, therefor, slight, mark, upper, exception, fine], [come, product, super, put, bubble, super, smooth, amaze, price], [product, describe, ship, fast, application, product, easy, end, result, perfect, excellent, screen, protector, recommend], [excellent, product, fit, price, come, date, expect], [install, fit, fine], [get, replace, ineffective, temper, glass, protector, nothing, stop, phone, shatter, crack, seems, decent, quality, price, ninja, put, align, moisture, underneath, maybe, get, put], [get, perfect, drop, phone, put, key, pocket, protector, day, get], [ship, time, package, perfect, condition, simple, step, tool, sure, mark, mistake, apply], [screen, protector, quality, direction, use, lack, clarity, experience, difficulty, aligning, protector, screen], [expect, install], [arrive, install, fit, air, bubblesbr, work, state, description], [product, instruction, make, put], [work, smaller, screen, look, nice], [product], [install, look], [glass, bubble, iphones, screen, seal, reset, glass], [phone, drop, pocket, shatter, money], [screen, protector, fit, iphone, install, arrive, time, promise, cost], [crack, try, readjust, screen, phone], [excellent, product], [perfect], [day, replace, screen, protector, film, drop, phone, glass, chip, phone, screen, im, thankful], [screen, protector, job, anytime, need, always, come], [product, suppose, apply, phone, havent, issue, purchase, fianceacutees, phone, compare, phone, thinner, pay, price, seem, quality, product], [product, chip, day, instal, phone, chip, place, month], [glass, screen, cover, great, iphone, lot, cheaper, one, sell, store], [product, fast, ship, recommend, purchase], [corner, crack, start, chipping, drop, iphone, pull, pocket, purse, edge, chip, get, annoy, start, peel, screen, protector, corner, whole, middle, crack, review, dang, screen, protector], [satisfy, screen, protector, drop, phone, crack, screen, protector, screen, buy, replace, price, apply, job], [screen, protector, amaze, customer, service, thank], [use, protector, week, say, grant, hasnt, month, experience, screen, protector, cover, screen, fingerprint, resistant, cheap, customer, service, problem, order, sent, email, sent, trouble], [feel, crystal, clear, forget, sometimesbr, drop, couple, time, goodbr, downfall, see, people, mag, doesnt, cover, edge, case, edge, coveredbr, mom, get, verizon, br, br, update, drop, phone, something, happens], [work, iphone], [excellent], [fit, place, iphone], [perfect, thanks, describe]]","[[work phone minute, 0.7906, 5], [product install fast shipping verizon sell product , 0.8519, 5], [excell, 0.4404, 5], [month broken screen broke iphones drop need replace, 0.6369, 4], [fit perfect made choice screen protector , 0.0, 1], [receive screen protector put fast delivery wish width deal breaker price ill order, 0.2732, 5], [servicebr quality, 0.6369, 4], [put love direction show step step, 0.6249, 5], [buy verizon came everything need part temper glass issue bubble etc amaze value buy back, 0.7906, 5], [quick delivery item describe install , 0.5994, 5], [case fell apart longer, 0.4404, 5], [im phone drop protect screen screen crack, 0.4404, 5], [want, 0.5709, 5], [surface smooth excellent touch response perfect clarity perfect use slim case wrap edge phone protects drop dont waste temper glass product well, 0.0, 5], [ship fast went look well screen protectorsbr temper glass screen protector wish get sooner feel phone look better clarity kit come everything need clean wipe dust remover use clean temper glass protector go time take time align youll get try saw video show removal glass screen protector reapplied issue recommend screen protector, 0.6369, 5], [expect, 0.6249, 5], [seems side iphone screen adhesive look glass touch soft smooth, 0.4404, 5], [scratch, 0.8402, 5], [phone shatter didnt make difference fact screen protector dont waste money product, 0.2537, 1], [didnt protect screen carrier want pay replace ive iphone days screen break mind case plus screen protector im disappoint annoy fall damage height bed floor utter bull wish didnt purchase screen protector didnt screen begin, 0.836, 5], [screen protector easiest put ever use, -0.931, 3], [buy screen protector instal phone, 0.9876, 5], [describe camera hole set protector class, 0.6249, 5], [jetechs screen protector instal include instruction look protector, 0.5719, 5], [product, 0.5719, 5], [try temper glass fact write review comparison jetech screen protector protector obtain iphone rate star closest rat ease instal screen, -0.2489, 3], [work great price, 0.0772, 3], [product speedy delivery, -0.2924, 1], [time put screen protector cascade leave middle remove peel corner knife put corner wouldnt stick email ask way fix offer replace amazement day receive pack screen protector purchase single time put get air bubble frustrationbr br seems screen protector touch sensitivity hasnt dull br complaint time place protector get tiny cloth fiber something screen understand isnt product fault annoying make youre vacuum attach screen protectorbr br customer service jetech recommend, 0.9604, 5], [protects screen, -0.2389, 3], [state temper glass receive ask refund, 0.765, 5], [protects phone fingerprint drop protector scratch begin crack believe drop useless need buy month purchase protectorbr br iphone protector year insane amount drop problem, 0.0, 5], [nice temper glass arrive chip edge, 0.6249, 5], [protector didnt protect phone screen crack temper glass, 0.5719, 5], [save phone crush, 0.0, 1], [surprise well temper glass protector felt protector applying product screen phone take spill get hairline crack middle phone fine glass dont worry dust particle want surface course happy product feel extra cost protect screen, 0.5719, 5], [cant believe screen protector make make contact phone dial texting, 0.2263, 2], [product receive describe ship work, 0.6948, 5], [describedeasy install open front camera, 0.6369, 5], [product fast delivery, 0.2135, 5], [product protect screen phone slip hand screen protector crack screen, -0.7346, 1], [instruction follow look product, 0.4215, 5], [product kit come thing location tab dust sticker present temper glass purchase, 0.886, 5], [crack pocket, 0.8779, 5], [perfect fit, 0.5719, 5], [reviewer say screen spot clear smooth doesnt scratch light use way iphone screen pick scratch use pocket anything background scene put screen mask scratch cant see anymorebr br benefit notice pick fingerprint fact purchase make wonder wait, -0.6998, 5], [product great price make align add phone unicorn beetle case great investment protect phone, 0.765, 5], [week way protector follow direction see protector, 0.7003, 5], [work great crack peeling film replace hassle whatsoever, 0.6249, 5], [buy super fast shipping, -0.6221, 1], [fit phone look feel diminish visuals, 0.0, 4], [screen protector purchase installation process easy instruction result flawless install look amaze iphone feel screen protector marketbr br buy screen protector company, 0.9545, 5], [screen protector use didnt screen make, 0.0, 2], [end crack screen protector purchase quality, -0.7096, 1], [get protector try kind lift therefor slight mark upper exception fine, 0.8622, 5], [come product super put bubble super smooth amaze price, 0.0, 1], [product describe ship fast application product easy end result perfect excellent screen protector recommend, -0.296, 1], [excellent product fit price come date expect, 0.6249, 5], [install fit fine, 0.9454, 5], [get replace ineffective temper glass protector nothing stop phone shatter crack seems decent quality price ninja put align moisture underneath maybe get put, 0.8689, 5], [get perfect drop phone put key pocket protector day get, 0.0, 2], [ship time package perfect condition simple step tool sure mark mistake apply, 0.8218, 5], [screen protector quality direction use lack clarity experience difficulty aligning protector screen, 0.796, 5], [expect install, 0.7351, 5], [arrive install fit air bubblesbr work state description, 0.9604, 5], [product instruction make put, 0.8519, 5], [work smaller screen look nice, 0.807, 5], [product, 0.6213, 5], [install look, 0.765, 5], [glass bubble iphones screen seal reset glass, 0.9174, 4], [phone drop pocket shatter money, 0.3716, 5], [screen protector fit iphone install arrive time promise cost, 0.9022, 5], [crack try readjust screen phone, 0.0, 5], [excellent product, 0.3389, 4], [perfect, 0.9393, 5], [day replace screen protector film drop phone glass chip phone screen im thankful, 0.7269, 5], [screen protector job anytime need always come, 0.974, 5], [product suppose apply phone havent issue purchase fianceacutees phone compare phone thinner pay price seem quality product, 0.3182, 5], [product chip day instal phone chip place month, 0.5859, 4], [glass screen cover great iphone lot cheaper one sell store, -0.6187, 1], [product fast ship recommend purchase, 0.9758, 5], [corner crack start chipping drop iphone pull pocket purse edge chip get annoy start peel screen protector corner whole middle crack review dang screen protector, 0.4404, 5], [satisfy screen protector drop phone crack screen protector screen buy replace price apply job, 0.0, 5], [screen protector amaze customer service thank, 0.4404, 5], [use protector week say grant hasnt month experience screen protector cover screen fingerprint resistant cheap customer service problem order sent email sent trouble, 0.8162, 5], [feel crystal clear forget sometimesbr drop couple time goodbr downfall see people mag doesnt cover edge case edge coveredbr mom get verizon br br update drop phone something happens, 0.9207, 5], [work iphone, 0.8074, 5], [excellent, -0.128, 5], [fit place iphone, -0.2642, 1], [perfect thanks describe, -0.8895, 1], [, 0.9153, 5], [, 0.6249, 5]]"
B00N29ECGE,"[0.864, 0.7184]","[5, 5]","[[flawless, run, trouble, port, didnt, good, connection, order, charge, pad, admit, reading, review, charge, today, come, mail, flawless, relief, worth, wait, shipping, china, dont, expect, day, sweet], [deliver, time, condition, fit, performs]]","[[flawless run trouble port didnt good connection order charge pad admit reading review charge today come mail flawless relief worth wait shipping china dont expect day sweet, 0.864, 5], [deliver time condition fit performs, 0.7184, 5]]"
B00N2JY1JW,[-0.3182],[1],"[[i, languag, masseges, sice, loses, contact, number, message]]","[[i languag masseges sice loses contact number message, -0.3182, 1]]"
B00N3K42BM,"[0.0, 0.2609, 0.9949, 0.7346, 0.6369, 0.9182, 0.8126, 0.7269]","[5, 4, 5, 5, 5, 5, 5, 5]","[[product, use, month, need, wallet, hold, card, tight, problem, anything, fall, take, second, get, effort, case, perfect, fit, iphone, seem, offer, protect, drop, time, breaking, anything, finger, cross], [case, convenient, fit, card], [neat, product, purchase, phone, liberate, wallet, safe, let, phone, sight], [perfect, husband, love], [], [investment, iphone, case, wise, longer, carry, wallet, cash, dl, american, express, debit, card], [case, iphone, year, reason, decide, upgrade, iphone, iphone, want, shop, case, say, lot, case, people, carry, iphone, need, driver, license, credit, card, run, errand, go, cafeteria, lunch, wallet, phone, case, help, carry, case, cover, flip, impede, use, phone, get, card, push, slot, card, otherwise, stay, case, trikes, balance, security, easy, access, add, bulk, phone, return, carry, card, balance, carry, capacity, bulk, bulk, give, finger, place, rest, grippy, material, use, case, make, case, hold, naked, phone, case, close, yr, sign, use, card, hold, wish, case, trim, switch, plain, slim, case, feel, reduction, bulk, weight, use, applepay, id, stay, phone, latter, airline, board, pas, driver, license, case, carry, phone, id, credit, card, package, fit, pocket], [protects, iphone, fall, make, case, reason, take, star, keep, card, place, use, tab, tab, make, get, cash, take, tab, everything, fit, card, loser, keep]]","[[product use month need wallet hold card tight problem anything fall take second get effort case perfect fit iphone seem offer protect drop time breaking anything finger cross, 0.0, 5], [case convenient fit card, 0.2609, 4], [neat product purchase phone liberate wallet safe let phone sight, 0.9949, 5], [perfect husband love, 0.7346, 5], [, 0.6369, 5], [investment iphone case wise longer carry wallet cash dl american express debit card, 0.9182, 5], [case iphone year reason decide upgrade iphone iphone want shop case say lot case people carry iphone need driver license credit card run errand go cafeteria lunch wallet phone case help carry case cover flip impede use phone get card push slot card otherwise stay case trikes balance security easy access add bulk phone return carry card balance carry capacity bulk bulk give finger place rest grippy material use case make case hold naked phone case close yr sign use card hold wish case trim switch plain slim case feel reduction bulk weight use applepay id stay phone latter airline board pas driver license case carry phone id credit card package fit pocket, 0.8126, 5], [protects iphone fall make case reason take star keep card place use tab tab make get cash take tab everything fit card loser keep, 0.7269, 5]]"
B00NAU6FGK,[0.4404],[4],[[price]],"[[price, 0.4404, 4]]"
B00NB2EI34,[-0.5423],[1],[[iitem]],"[[iitem, -0.5423, 1]]"
B00NBM3D6M,[0.7574],[5],"[[case, awesome, material, scratch, dont, show, keep]]","[[case awesome material scratch dont show keep, 0.7574, 5]]"
B00NFGKIIA,"[0.7096, 0.6369]","[5, 4]","[[item, receive, time, package, work, came, samsung, galaxy, note, ], [stylus, work, fine, great, price]]","[[item receive time package work came samsung galaxy note , 0.7096, 5], [stylus work fine great price, 0.6369, 4]]"
B00NGFOJGC,"[0.2732, 0.4767]","[2, 3]","[[smell, thick, cover, heavy], [quality, excellent, every, time, ai, charge, phone, remove, case, wise, cable, fall]]","[[smell thick cover heavy, 0.2732, 2], [quality excellent every time ai charge phone remove case wise cable fall, 0.4767, 3]]"
B00NI75OBM,[0.2382],[3],"[[touch, protection, color, change]]","[[touch protection color change, 0.2382, 3]]"
B00NIDY7ZK,[-0.501],[4],"[[ok, great, talking, hearing, need, improve]]","[[ok great talking hearing need improve, -0.501, 4]]"
B00NJEYC62,"[-0.0763, 0.7518, 0.9656, 0.8439, 0.4927, 0.9205, 0.6249, 0.8271, 0.7755, 0.4404, 0.4404, 0.6249, 0.7906, 0.0946, 0.7717, 0.9437, 0.8866, 0.9615, 0.8519, 0.8428, 0.9559, -0.7574, 0.6249]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 3, 5, 5, 5, 3, 1, 5]","[[come, mail, shatter, crack, disappoint, see, picture, attach], [screen], [productbest, marketsmooth, edgeseasy, install], [apply, everything, expect], [redo, installation, process, install, seem, product, guess, wont, know, drop, phone], [come, time, phone, hop], [product], [product, drop, phone, multiple, time, scratch, satisfy, customer], [nice, screen, protectorvery, clear, screen, bubble, try, clear, advise, take, care, installingwatching, youtube, installation, video, good, idea], [temper, glass, protector, purchase, make, icarez, protector, brand, keep, iphones, screen, protect, year, quality, product, love, phone, get, fingerprint, use, need, filthy, greasy, hand, order, smudge, screen], [screen, protector, amaze, time, order, phone, drop, face, time, come, product], [put, part, bubble, love, finger, dont, leave, smudge, screen, anymore, worth, hey, cant, beat, price, recommend], [amaze, screen, protector, couple, month, job, apply], [super, put, work, put, crack, screen, screen, protector, crack, drop, phone, well, screen, guess, buy, thicker, crack, super, easy], [install], [screen, protector, buy, multiple, screen, protector, reason, give, star, come, otherwise, great, product], [phone, good, half, year, hold, dropping, phone, time, recommend], [arrive, work], [product, order, oncebr, excellent, price, point], [price], [product, price], [description, say, rainbow, effect, edge, doesnt, display, edge, crook, get, magnification, effect, pixel, dont, know, seem, cover, bit, otherwise, cover, clean, seem, scratch], [screen, protector, use, br, work, awesome, battery, case, iphone, battery, case, trianium, iphone, charge, case, inchesblacklifetime, warranty, mah, charger, juice, power, bankmfi, apple, certify]]","[[come mail shatter crack disappoint see picture attach, -0.0763, 5], [screen, 0.7518, 5], [productbest marketsmooth edgeseasy install, 0.9656, 5], [apply everything expect, 0.8439, 5], [redo installation process install seem product guess wont know drop phone, 0.4927, 5], [come time phone hop, 0.9205, 5], [product, 0.6249, 5], [product drop phone multiple time scratch satisfy customer, 0.8271, 5], [nice screen protectorvery clear screen bubble try clear advise take care installingwatching youtube installation video good idea, 0.7755, 5], [temper glass protector purchase make icarez protector brand keep iphones screen protect year quality product love phone get fingerprint use need filthy greasy hand order smudge screen, 0.4404, 5], [screen protector amaze time order phone drop face time come product, 0.4404, 5], [put part bubble love finger dont leave smudge screen anymore worth hey cant beat price recommend, 0.6249, 5], [amaze screen protector couple month job apply, 0.7906, 5], [super put work put crack screen screen protector crack drop phone well screen guess buy thicker crack super easy, 0.0946, 5], [install, 0.7717, 5], [screen protector buy multiple screen protector reason give star come otherwise great product, 0.9437, 4], [phone good half year hold dropping phone time recommend, 0.8866, 3], [arrive work, 0.9615, 5], [product order oncebr excellent price point, 0.8519, 5], [price, 0.8428, 5], [product price, 0.9559, 3], [description say rainbow effect edge doesnt display edge crook get magnification effect pixel dont know seem cover bit otherwise cover clean seem scratch, -0.7574, 1], [screen protector use br work awesome battery case iphone battery case trianium iphone charge case inchesblacklifetime warranty mah charger juice power bankmfi apple certify, 0.6249, 5]]"
B00NL80H8I,[-0.0516],[1],"[[phone, holder, case, broke, apart, day, use, seems, held, matter, time]]","[[phone holder case broke apart day use seems held matter time, -0.0516, 1]]"
B00NP8YZU0,[-0.2732],[1],"[[think, case, hinge, stand, attach, slot, cut, case, put, card]]","[[think case hinge stand attach slot cut case put card, -0.2732, 1]]"
B00NQXNWTY,[-0.631],[1],"[[lip, lipstick, broke, day, try, glue]]","[[lip lipstick broke day try glue, -0.631, 1]]"
B00NR4AEA2,[0.8047],[4],"[[find, thing, keep, mind, case, slippery, great, button, press, way, protection, drop, bottom, crack, point, bottom, microphone, usb, port, look]]","[[find thing keep mind case slippery great button press way protection drop bottom crack point bottom microphone usb port look, 0.8047, 4]]"
B00NSGS4WE,[0.9556],[3],"[[im, convince, leather, look, nice, feel, cheap, isnt, wear, way, id, expect, leather, tobr, br, say, slim, case, type, seem, make, gaudy, card, slot, inside, tight, complaintsbr, br, want, excellent, leather, case, iphone, recommend, twelvesouth, yes, quality, leather, fit]]","[[im convince leather look nice feel cheap isnt wear way id expect leather tobr br say slim case type seem make gaudy card slot inside tight complaintsbr br want excellent leather case iphone recommend twelvesouth yes quality leather fit, 0.9556, 3]]"
B00O0BRXBE,"[0.9882, 0.9537, 0.296, 0.8834, 0.6369, 0.6369, 0.9555, 0.4404, 0.2023, 0.4404]","[5, 5, 3, 5, 5, 5, 5, 4, 3, 4]","[[slick, look, functionality, day, battery, life, complaint, band, discolor], [watch, month, let, say, thing, awesome, android, allows, view, notification, respond, text, phone, rain, thats, thing, set, reminder, quick, simple, set, thing, timer, alarmsbr, battery, get, way, day, havent, try, ambient, setting, lift, turn, work, fine, charge, im, shower, go, bed, use, sleep, android, track, sleep, habit, charge, watch, nicebr, scrap, glass, something, scratch, part, watchbr, screen, great, set, brightness, level, sun, watchesbr, br, con, leather, strap, love, grey, color, feel, sweat, get, wet, tends, leave, slight, discolor, wrist, wash, scrubbing, strap, soak, sweat, smell, suggest, buy, metal, watch, strap, jeweler, online, make, use, standard, watch, strap, size, easy, find, alternative, im, drop, star, minuscule, issue], [watch, great, love, expect, tell, time, answer, text, receive, alert, track, health, data, look, battery, last, hour, charge, leave, charge, youre, sleep, youre, fine], [buy, watch, people, tell, lose, track, time, course, buy, watch, texting, answer, phone, call, know, get, look, settling, moto, price, steal, buy, metal, band, version, go, sale, im, guess, cheap, rumor, moto, come, soonbr, ton, research, decide, ill, start, designbr, nice, look, get, silver, color, think, look, premium, think, look, thinner, silver, size, tire, black, bar, bottom, screen, bottom, screen, doesnt, bug, time, dont, notice, time, notice, make, watch, face, white, lighter, color, annoy, leave, watch, face, dark, black, hide, tire, watch, button, side, watch, use, turn, watch, check, time, flick, wrist, tap, screen, move, leather, band, leather, isnt, nice, think, go, bebr, anyone, reading, concern, watch, look, dont, worry, thin, wrist, guy, watch, look, fine, ever, mention, look, notice, bump, watch, walk, tight, doorway, get, use, wristbr, watch, state, say, dunk, watch, get, wet, work, water, dry, work, fine, againbr, move, softwarebr, think, software, need, work, improvement, get, count, motorola, keep, update, version, recommend, launcher, make, get, apps, find, quicker, lot, appsbr, batterybr, days, think, something, watch, watch, last, day, give, sometime, get, day, battery, pm, bit, day, charge, think, day, use, lot, thats, drain, charge, test, see, fastbr, think, good, buy, come, make, money, cool, piece, tech, price, deal, watch, time], [product, recommend, product, excellent], [watch, ok, kind, desgned, show, time, thing, display, less, battery, juice, leave, watch, day, hr, thing, software, develop, hardware, display, light, require, remember, display, less, work, time, leave], [battery, life, better], [pricebr, display, light, want, wash, dish, drive, waste, battery, lifebr, poor, battery, life]]","[[slick look functionality day battery life complaint band discolor, 0.9882, 5], [watch month let say thing awesome android allows view notification respond text phone rain thats thing set reminder quick simple set thing timer alarmsbr battery get way day havent try ambient setting lift turn work fine charge im shower go bed use sleep android track sleep habit charge watch nicebr scrap glass something scratch part watchbr screen great set brightness level sun watchesbr br con leather strap love grey color feel sweat get wet tends leave slight discolor wrist wash scrubbing strap soak sweat smell suggest buy metal watch strap jeweler online make use standard watch strap size easy find alternative im drop star minuscule issue, 0.9537, 5], [watch great love expect tell time answer text receive alert track health data look battery last hour charge leave charge youre sleep youre fine, 0.296, 3], [buy watch people tell lose track time course buy watch texting answer phone call know get look settling moto price steal buy metal band version go sale im guess cheap rumor moto come soonbr ton research decide ill start designbr nice look get silver color think look premium think look thinner silver size tire black bar bottom screen bottom screen doesnt bug time dont notice time notice make watch face white lighter color annoy leave watch face dark black hide tire watch button side watch use turn watch check time flick wrist tap screen move leather band leather isnt nice think go bebr anyone reading concern watch look dont worry thin wrist guy watch look fine ever mention look notice bump watch walk tight doorway get use wristbr watch state say dunk watch get wet work water dry work fine againbr move softwarebr think software need work improvement get count motorola keep update version recommend launcher make get apps find quicker lot appsbr batterybr days think something watch watch last day give sometime get day battery pm bit day charge think day use lot thats drain charge test see fastbr think good buy come make money cool piece tech price deal watch time, 0.8834, 5], [product recommend product excellent, 0.6369, 5], [watch ok kind desgned show time thing display less battery juice leave watch day hr thing software develop hardware display light require remember display less work time leave, 0.6369, 5], [battery life better, 0.9555, 5], [pricebr display light want wash dish drive waste battery lifebr poor battery life, 0.4404, 4], [, 0.2023, 3], [, 0.4404, 4]]"
B00O2L4JO6,"[0.4404, -0.3865, 0.0]","[5, 2, 1]","[[retire, loud], [battery, good]]","[[retire loud, 0.4404, 5], [battery good, -0.3865, 2], [, 0.0, 1]]"
B00O4CZ15O,"[0.6249, 0.9403]","[5, 5]","[[love, love, phone, problem, drop, tub, work, fine, afterward]]","[[love love phone problem drop tub work fine afterward, 0.6249, 5], [, 0.9403, 5]]"
B00OQWWJ20,[0.6249],[5],[[product]],"[[product, 0.6249, 5]]"
B00OSIYQD2,[0.9505],[5],"[[case, phone, feel, protect, kick, stand, seem, weak, live, easy, put, feel, hand]]","[[case phone feel protect kick stand seem weak live easy put feel hand, 0.9505, 5]]"
B00OXNRLFC,"[0.7717, 0.2023, 0.4404]","[5, 5, 5]","[[come, expect, thanks], [expect, lose, use, flip, case, month, replacement], [cover]]","[[come expect thanks, 0.7717, 5], [expect lose use flip case month replacement, 0.2023, 5], [cover, 0.4404, 5]]"
B00OZ4QRMW,[0.2023],[5],"[[work, fine]]","[[work fine, 0.2023, 5]]"
B00P1NEUWA,[0.6249],[5],"[[work, iphone]]","[[work iphone, 0.6249, 5]]"
B00P9JS00O,[-0.0138],[4],"[[love, broke, hahaha, look, cool, fragile, drop, phone, case, broke, week]]","[[love broke hahaha look cool fragile drop phone case broke week, -0.0138, 4]]"
B00PPSK98A,[0.8658],[4],"[[design, case, doesnt, make, feel, phone, safe, fall, grind]]","[[design case doesnt make feel phone safe fall grind, 0.8658, 4]]"
B00PWBJFXK,"[-0.9431, 0.4404, 0.8481, -0.743, 0.6041]","[2, 5, 5, 1, 5]","[[product], [broke, st, week], [look, great, broke, month, use, break, drop, phone, carry, everyday, disappoint, poor, quality, dont, buy, waste, money], [fit, phone, perfectlybr, fit, pocket, turn], [case, great, price]]","[[product, -0.9431, 2], [broke st week, 0.4404, 5], [look great broke month use break drop phone carry everyday disappoint poor quality dont buy waste money, 0.8481, 5], [fit phone perfectlybr fit pocket turn, -0.743, 1], [case great price, 0.6041, 5]]"
B00PXGIMYW,"[0.4215, 0.6249]","[5, 5]","[[case], [nice]]","[[case, 0.4215, 5], [nice, 0.6249, 5]]"
B00PYWQA8U,[0.8591],[5],"[[price, own, phone, outright, great, responsive, stylish, good, size, screen]]","[[price own phone outright great responsive stylish good size screen, 0.8591, 5]]"
B00PYZMCP2,[0.9656],[5],"[[case, becausebr, slim, doesnt, add, bulkbr, protect, phone, fallsbr, bright, color, help, find, itbr, slider, case, great, dock, sony, speaker, take, whole, phone, casebr, br, note, get, dont, worry, seems, wont, stay, phone, problem, stay, case, month, love]]","[[case becausebr slim doesnt add bulkbr protect phone fallsbr bright color help find itbr slider case great dock sony speaker take whole phone casebr br note get dont worry seems wont stay phone problem stay case month love, 0.9656, 5]]"
B00Q40UQAY,[0.3612],[5],[[thank]],"[[thank, 0.3612, 5]]"
