B001AY18U6,"[0.296, 0.7574, 0.5719, 0.0]","[5, 5, 5, 5]","[[happy, fit], [perfect, need], [ok], [hubby, beat, keep, work]]","[[happy fit, 0.296, 5], [perfect need, 0.7574, 5], [ok, 0.5719, 5], [hubby beat keep work, 0.0, 5]]"
B00XV2X63C,[-0.3567],[1],"[[cost, case, way, loose, unhappy, purchase, silicon, isnt, cut, case]]","[[cost case way loose unhappy purchase silicon isnt cut case, -0.3567, 1]]"
B00XVGJMDQ,"[-0.8393, 0.7906]","[2, 5]","[[door, hard, slide, wife, broke, nail, kill], [case, well, customer, service]]","[[door hard slide wife broke nail kill, -0.8393, 2], [case well customer service, 0.7906, 5]]"
B00XYUXBVS,[0.8716],[4],"[[great, think, bottom]]","[[great think bottom, 0.8716, 4]]"
B00XZHABEA,[0.8706],[1],"[[garbage, get, glass, protector, skinomi, awesome, get, phone, order, protector, get, friggin, rubber, membrane, absolute, junk, waste, time, company, try, orfix, something, wasnt, break, frigging, waste, time, money, resource, luck, phone, get, scratch, cuz, clear, rubber, turn, hazy, pull, far, im, concern, skinomi, ashamed, put, sub, par, product, avoid, cost]]","[[garbage get glass protector skinomi awesome get phone order protector get friggin rubber membrane absolute junk waste time company try orfix something wasnt break frigging waste time money resource luck phone get scratch cuz clear rubber turn hazy pull far im concern skinomi ashamed put sub par product avoid cost, 0.8706, 1]]"
B00YGCJB4Y,[-0.7096],[1],"[[regret, buy, bcos, send, thing, break, doesnt, work]]","[[regret buy bcos send thing break doesnt work, -0.7096, 1]]"
B00YKEFGI8,[0.6249],[5],"[[work, awesome]]","[[work awesome, 0.6249, 5]]"
B00YKOAN2C,[0.9484],[5],"[[kit, awesome, well, consider, price, lens, camera, designer, avid, photographer, love, kit, quality, quality]]","[[kit awesome well consider price lens camera designer avid photographer love kit quality quality, 0.9484, 5]]"
B00YMHEE5Y,"[0.908, 0.9483]","[5, 5]","[[order, rosegold, mm, reading, review, way, go, handle, size, took, jeweler, charge, dollar, take, minute, bring, tool, idea, tell, tool, fit, say, anybody, experience, tool, break, sturdiest, thing, work, impress, weight, price, piece, recommend, make, take, jeweler, get, match, face, plate, look], [order, band, rose, gold, mm, watch, please, value, fit, watch, recommend]]","[[order rosegold mm reading review way go handle size took jeweler charge dollar take minute bring tool idea tell tool fit say anybody experience tool break sturdiest thing work impress weight price piece recommend make take jeweler get match face plate look, 0.908, 5], [order band rose gold mm watch please value fit watch recommend, 0.9483, 5]]"
B00YNNIOIK,[0.9665],[5],"[[touch, screen, work, difference, nice, clear, seem, quality, glass, phone, make, screen, clean, otherwise, end, bubble, lay, screen, start, end, breakingsnapping, extra, screen, bubble, replace, took, good, bit, force, hammer, screen, protect, phone, year, couple, crack, replace, lla, held, protect, phonebr, br, recommend, screen, protector, downside, cheap]]","[[touch screen work difference nice clear seem quality glass phone make screen clean otherwise end bubble lay screen start end breakingsnapping extra screen bubble replace took good bit force hammer screen protect phone year couple crack replace lla held protect phonebr br recommend screen protector downside cheap, 0.9665, 5]]"
B00YOYRCWM,[0.7322],[5],"[[look, purchase, idea, love, galaxy, edge, case]]","[[look purchase idea love galaxy edge case, 0.7322, 5]]"
B00YZQDREG,[0.8503],[5],"[[use, note, hold, fit, note, bumper, case, factory, wireless, charge, room, phone, move, love]]","[[use note hold fit note bumper case factory wireless charge room phone move love, 0.8503, 5]]"
B00ZNKZAOS,"[0.5719, 0.6956]","[5, 4]","[[perfect], [daughter, like, case, doesnt, offer, protection, cell, phone, look]]","[[perfect, 0.5719, 5], [daughter like case doesnt offer protection cell phone look, 0.6956, 4]]"
B00ZQKGJL8,[0.8074],[5],"[[lightweight, case, want, enjoy, see, phone, protect, case]]","[[lightweight case want enjoy see phone protect case, 0.8074, 5]]"
B00ZSPSPGS,[-0.5267],[1],"[[stop, work, month, say, device, way, return, dont, buy]]","[[stop work month say device way return dont buy, -0.5267, 1]]"
B0107PI2AC,[-0.4585],[1],"[[cheap, material, happy]]","[[cheap material happy, -0.4585, 1]]"
B0109SVDXU,[-0.6602],[4],[[fit]],"[[fit, -0.6602, 4]]"
B010CSYDDO,[0.9751],[5],"[[case, phone, amazon, ebay, dont, waste, time, buy, case, buy, husband, say, quality, sturdy, case, he, phone, excellent, quality, excellent, price]]","[[case phone amazon ebay dont waste time buy case buy husband say quality sturdy case he phone excellent quality excellent price, 0.9751, 5]]"
B010D54V24,[0.6597],[5],"[[quality, want, buy, color]]","[[quality want buy color, 0.6597, 5]]"
B010MVMS06,[0.4754],[5],[[nice]],"[[nice, 0.4754, 5]]"
B010TDOTEK,[0.884],[5],"[[case, yes, look, life, picture, function, happier, get, day]]","[[case yes look life picture function happier get day, 0.884, 5]]"
B010U6VU9S,[0.8519],[5],"[[look, great, space, gray, iphone, love]]","[[look great space gray iphone love, 0.8519, 5]]"
B0119A2RIM,"[-0.1027, 0.6249]","[2, 5]","[[fault, didnt, realize, cord, work, okay, cord], [device]]","[[fault didnt realize cord work okay cord, -0.1027, 2], [device, 0.6249, 5]]"
B011E2WOR4,[0.6369],[5],[[case]],"[[case, 0.6369, 5]]"
B011FHGQSG,[-0.862],[3],"[[look, ill, get, point, dont, lcd, screen, stay, time, plug, connect, device, charge, screen, get, onoff, switch, dont, think, screen, necessity, info, provide, screen, device, usb, port, charge, status, provide, smartphone, screenbr, br, device, seem, work, state, defect, anything, screen, annoy, return, nothing, aint, worth, hassle, buck, order, anker, port, usb, charge, hub, twice, switch, screen, ill, receive, tomorrow, give, screen, model, someone, work, weekbr, br, hope, review, provide, bit, information]]","[[look ill get point dont lcd screen stay time plug connect device charge screen get onoff switch dont think screen necessity info provide screen device usb port charge status provide smartphone screenbr br device seem work state defect anything screen annoy return nothing aint worth hassle buck order anker port usb charge hub twice switch screen ill receive tomorrow give screen model someone work weekbr br hope review provide bit information, -0.862, 3]]"
B011NV0040,[0.9804],[5],"[[look, nice, band, clasp, design, didnt, come, direction, tell, length, band, come, pin, attach, watch, hope, use, vendor, monoy, telling, adjust, band, band, look, impress, lock, mechanism, im, change, rating, star]]","[[look nice band clasp design didnt come direction tell length band come pin attach watch hope use vendor monoy telling adjust band band look impress lock mechanism im change rating star, 0.9804, 5]]"
B011QKX7M0,[0.0258],[4],"[[work, thing, instruction, bit, confuse, protector, seems, job]]","[[work thing instruction bit confuse protector seems job, 0.0258, 4]]"
B011RQG5EA,[-0.0577],[1],"[[describe, nap, mat, misrepresentation]]","[[describe nap mat misrepresentation, -0.0577, 1]]"
B011ZLCLX6,[0.9824],[5],"[[glass, screen, protector, part, make, installation, create, bumper, case, put, phone, aligns, protector, go, tell, engineering, team, think, install, process, super, simple, come, perfect, im, satisfy, quality, glass, protector, align, installation, note, round, glass, glass, protector, go, edge, alignment, technique, make, sure, view, screen, cover, result, purchase, skinami, glass, protector, end, trash, read, review, product, halo, effect, side, bit, bottom, baseit, doesnt, bother, screen, area, im, use, perfect, dont, hesitatebuy, product, glad]]","[[glass screen protector part make installation create bumper case put phone aligns protector go tell engineering team think install process super simple come perfect im satisfy quality glass protector align installation note round glass glass protector go edge alignment technique make sure view screen cover result purchase skinami glass protector end trash read review product halo effect side bit bottom baseit doesnt bother screen area im use perfect dont hesitatebuy product glad, 0.9824, 5]]"
B0122RTA6I,"[-0.136, -0.2378]","[1, 2]","[[fit, iphone, otter, box, case, dissapointed, money], [receive, gogogu, selfie, stick, post, charge, battery, use, instruction, sheet, include, box, state, blue, tooth, pair, name, winnersum, phone, kyocera, hydro, vibe, model, c, android, version, pair, keyboard, name, z, dont, keyboard, response, camera, zoom, stick, button, press, trigger, shutter, assume, purpose, bluetooth, stick, performs, function, grip, phone, telescope, bluetooth, pair, name, losersumbr, br, buy, selfie, stick, wasnt, give, discount]]","[[fit iphone otter box case dissapointed money, -0.136, 1], [receive gogogu selfie stick post charge battery use instruction sheet include box state blue tooth pair name winnersum phone kyocera hydro vibe model c android version pair keyboard name z dont keyboard response camera zoom stick button press trigger shutter assume purpose bluetooth stick performs function grip phone telescope bluetooth pair name losersumbr br buy selfie stick wasnt give discount, -0.2378, 2]]"
B012578RGO,"[0.0, 0.8885, 0.0]","[5, 5, 3]","[[popslate, love, see, people, reaction, pop, phone, people, ask, time, use, airport, scan, barcode, check, flight, use, appointment, calendar, list, shop, list, find, way, use, confirm, work, case, phone, drop, parking, lot], [youre, something, pricy, see, pic, black], [bring, popslate, android, buy, ladyfriend, iphone, thing, pop, goofiest, photo, find, touche, madam, touche]]","[[popslate love see people reaction pop phone people ask time use airport scan barcode check flight use appointment calendar list shop list find way use confirm work case phone drop parking lot, 0.0, 5], [youre something pricy see pic black, 0.8885, 5], [bring popslate android buy ladyfriend iphone thing pop goofiest photo find touche madam touche, 0.0, 3]]"
B012AYJTNM,[0.4754],[5],"[[nice, go, raider]]","[[nice go raider, 0.4754, 5]]"
B012P58O6E,[0.1154],[5],"[[cant, stand, phone, qwerty, keyboard, ticket, love, phone, droid, year, wouldnt, anymore, buy, make, sure, case, last, phone, touch, phone, ok, type, anyone, keyboard, hand, touch, phone, annoy, hunt, peck, compare, fly, keyboard]]","[[cant stand phone qwerty keyboard ticket love phone droid year wouldnt anymore buy make sure case last phone touch phone ok type anyone keyboard hand touch phone annoy hunt peck compare fly keyboard, 0.1154, 5]]"
B013474F60,[-0.1119],[3],"[[feel, design, case, seem, sturdy, protect, phone, tight, volume, key, make, phone, volume, go, non, stop, fix, problem, take, scissors, cut, side, space, work, problem, look, make, space]]","[[feel design case seem sturdy protect phone tight volume key make phone volume go non stop fix problem take scissors cut side space work problem look make space, -0.1119, 3]]"
B013LLSVGY,[-0.3348],[2],"[[quality, card, get, get, catch, case, make, loose, feel, get, case, want, sale, edge, come, get, trash, youre, look, bare, minimum, dont, want, spend, lot, need, something, find, something, better, case, youre, look, something, thats, protect, investment, dont, recommend, case]]","[[quality card get get catch case make loose feel get case want sale edge come get trash youre look bare minimum dont want spend lot need something find something better case youre look something thats protect investment dont recommend case, -0.3348, 2]]"
B013XB5KZ2,[0.8519],[5],"[[customer, service, phone, thanx]]","[[customer service phone thanx, 0.8519, 5]]"
