B0002BG6QY,[0.0],[3],"[[work, polk, db, speaker]]","[[work polk db speaker, 0.0, 3]]"
B00OPPADEY,"[0.8228, -0.4767, 0.765]","[4, 1, 3]","[[here, tip, keep, camo, well, shape, take, coat, fingernail, polish, cover, soft, part, case, help, lot, mine, year, ok, shape, im, stuff], [color, rub], [ok, case, good, fit, camo, pattern, peel, couple, week]]","[[here tip keep camo well shape take coat fingernail polish cover soft part case help lot mine year ok shape im stuff, 0.8228, 4], [color rub, -0.4767, 1], [ok case good fit camo pattern peel couple week, 0.765, 3]]"
B00ORQOJ50,[-0.022],[3],"[[duty, case, protects, kill, wifi, signal]]","[[duty case protects kill wifi signal, -0.022, 3]]"
B00OZ8IM62,[-0.3369],[1],"[[read, screen, application, remove, shield]]","[[read screen application remove shield, -0.3369, 1]]"
B00P03JCOC,[0.6697],[5],"[[girl, love]]","[[girl love, 0.6697, 5]]"
B00P0VV5VW,[0.5719],[5],"[[wife, love]]","[[wife love, 0.5719, 5]]"
B00P3RBJHS,[0.3775],[4],"[[case, cover, phone, seems, look, odd, phone]]","[[case cover phone seems look odd phone, 0.3775, 4]]"
B00P4G6PQI,[0.8867],[5],"[[receive, expect, case, put, seem, feature, didnt, realize, useful, kickstand, build, havent, drop, phone, knock, wood, ill, update, anything, come, far]]","[[receive expect case put seem feature didnt realize useful kickstand build havent drop phone knock wood ill update anything come far, 0.8867, 5]]"
B00P56NG78,[-0.1761],[3],"[[mine, start, peel, take, breaking]]","[[mine start peel take breaking, -0.1761, 3]]"
B00P5IFP20,[-0.2755],[1],"[[fit, galaxy]]","[[fit galaxy, -0.2755, 1]]"
B00P6PW22I,[0.9061],[4],"[[review, doesnt, corner, doesnt, seem, fit, protect, smaller, less, model, perfect, use, need, bright, color, help, find, purse]]","[[review doesnt corner doesnt seem fit protect smaller less model perfect use need bright color help find purse, 0.9061, 4]]"
B00PGYZL18,[0.7845],[5],"[[buy, case, mom, love, fit, phone]]","[[buy case mom love fit phone, 0.7845, 5]]"
B00PLF5RAM,[0.5719],[4],"[[excellent, product, seller]]","[[excellent product seller, 0.5719, 4]]"
B00Q1AJMA2,[0.4007],[5],"[[look, protection, fit, need, price]]","[[look protection fit need price, 0.4007, 5]]"
B00Q3M4FK0,[0.2382],[4],"[[packaging, simple, dont, give, way, protector, touching, sticky, side, get, look]]","[[packaging simple dont give way protector touching sticky side get look, 0.2382, 4]]"
B00Q7RVMYI,[0.8315],[5],"[[impress, phone, case, money, spend, case, fit, phone, rubberize, edge, fear, case, come, apart, drop, phone, twice, everything, look, work]]","[[impress phone case money spend case fit phone rubberize edge fear case come apart drop phone twice everything look work, 0.8315, 5]]"
B00QGRHGT4,[-0.8336],[3],"[[print, bit, distort, look, photo]]","[[print bit distort look photo, -0.8336, 3]]"
B00R7LXR7S,[0.9118],[5],"[[gttp, mark, iii, baofeng, radio, work, seems, time, buy, battery, use, chrip, program, program, radio, hit, miss, time, crash, rtsystems, maybe, well, use, program, radio, speaker, loud, take, lot, press, battery, release, clip, get, battery, charge, battery, take, battery, radio, put, charger, belt, clip, way, make, put, battery, charger, correctlyit, line, clip, bottom, side, battery, tip, setting, menu, program, set, band, frequency, b, description, example, display, ch, show, frequency, ch, b, band, show, station, label, ksn, repeaterthis, make, see, program, radio, radio, month, great, buy]]","[[gttp mark iii baofeng radio work seems time buy battery use chrip program program radio hit miss time crash rtsystems maybe well use program radio speaker loud take lot press battery release clip get battery charge battery take battery radio put charger belt clip way make put battery charger correctlyit line clip bottom side battery tip setting menu program set band frequency b description example display ch show frequency ch b band show station label ksn repeaterthis make see program radio radio month great buy, 0.9118, 5]]"
B00RC7B7DI,[0.8316],[5],"[[move, flip, phone, happy, work, expect]]","[[move flip phone happy work expect, 0.8316, 5]]"
B00RHH8J16,"[0.1265, 0.5113, -0.3612]","[1, 4, 1]","[[word, cut, hole, make, phone, quote], [product, pop, phone, phone, drop], [kinda, tight, cover]]","[[word cut hole make phone quote, 0.1265, 1], [product pop phone phone drop, 0.5113, 4], [kinda tight cover, -0.3612, 1]]"
B00RYRQ0Y2,"[0.5719, 0.908]","[5, 5]","[[fit, lenovo, install, clarity, excellent, seem, cell, phone, screen, satisfy, purchase], [excellent]]","[[fit lenovo install clarity excellent seem cell phone screen satisfy purchase, 0.5719, 5], [excellent, 0.908, 5]]"
B00S00DBR6,[0.7003],[5],"[[work, good, range]]","[[work good range, 0.7003, 5]]"
B00S7G1TUY,[0.7003],[4],"[[radio, good, sound, car, speaker]]","[[radio good sound car speaker, 0.7003, 4]]"
B00S93RNBO,"[0.9421, 0.9207]","[5, 5]","[[order, casessleeves, iphone, match, gray, space, gray, phone, thinnest, veil, thin, grip, grippier, fit, sleeve, purchase, case, fit, provide, protection, someenoughbr, br, update, review, ive, case, year, drop, phone, crack, bud, stop, smashing, case, provide, lot, protection, mark, corner, case, week, notice, crack, phone, fine, case, order, replacement, order, plus, cheaper, year, slim, case, grip, case], [case, case, like, thinness, look, case, everything, port, wise, slide, pocket, change, case, afraid, break, drop, want, sleek, case, youre, phone, try]]","[[order casessleeves iphone match gray space gray phone thinnest veil thin grip grippier fit sleeve purchase case fit provide protection someenoughbr br update review ive case year drop phone crack bud stop smashing case provide lot protection mark corner case week notice crack phone fine case order replacement order plus cheaper year slim case grip case, 0.9421, 5], [case case like thinness look case everything port wise slide pocket change case afraid break drop want sleek case youre phone try, 0.9207, 5]]"
B00SBBI7VE,"[0.468, 0.6249, 0.6369, 0.8555]","[3, 5, 5, 5]","[[pair, look, try, design], [order, gift], [slight, buzz, wear, get, listen, go, sleep, isnt, huge, deal]]","[[pair look try design, 0.468, 3], [order gift, 0.6249, 5], [slight buzz wear get listen go sleep isnt huge deal, 0.6369, 5], [, 0.8555, 5]]"
B00STN7ZR6,"[0.7845, 0.8442]","[5, 4]","[[receive, compliment], [fit, phone, perfect, good, quality]]","[[receive compliment, 0.7845, 5], [fit phone perfect good quality, 0.8442, 4]]"
B00SWL9KKA,[0.6908],[4],"[[kickstand, case, glitch, talk, phone, people, say, time, hearing, remove, case, seem, part, case, cover, mics, way, dont, talk, phone, use, headset]]","[[kickstand case glitch talk phone people say time hearing remove case seem part case cover mics way dont talk phone use headset, 0.6908, 4]]"
B00SZJKA7G,"[0.0, 0.6249]","[1, 5]","[[misplace, phone, car, great, tool, keep, phone, place, hand], [stay]]","[[misplace phone car great tool keep phone place hand, 0.0, 1], [stay, 0.6249, 5]]"
B00T3QC096,"[0.8074, 0.4144, 0.2732, -0.5423, 0.8568]","[3, 4, 4, 1, 4]","[[look, picture, ship, radio, light, weight, hope, work], [install, great, sound, didnt, red, face], [smooth, quality, radio, set, price, work], [say, lightweight, fit, space, leave, radio]]","[[look picture ship radio light weight hope work, 0.8074, 3], [install great sound didnt red face, 0.4144, 4], [smooth quality radio set price work, 0.2732, 4], [say lightweight fit space leave radio, -0.5423, 1], [, 0.8568, 4]]"
B00T4YLL8S,"[-0.8321, -0.3412]","[1, 3]","[[buy, crappy, knock, poor, quality, look, image, provide], [recipient, please, quality]]","[[buy crappy knock poor quality look image provide, -0.8321, 1], [recipient please quality, -0.3412, 3]]"
B00T5MW81S,[0.5719],[5],"[[happy, customer]]","[[happy customer, 0.5719, 5]]"
B00TAOF4IA,[0.3612],[4],[[buy]],"[[buy, 0.3612, 4]]"
B00TF465MO,"[-0.2755, -0.6249, 0.0, -0.1695, 0.2812, -0.2755, -0.4973, -0.2755]","[1, 1, 1, 1, 2, 1, 3, 1]","[[wrth, star, didnt, fit, phone, false, advertising], [u, cant, connect, ur, charger, slot], [order, didnt, fit, color], [fit, phone], [worst, case, dont, buy, dont, foot, phone], [case, hard, put, popping, place, make, case, fall, phone, allow, charger, charge, phone, universal, car, charger, didnt, fit, take, case, order, charge, car, cute, case], [case, didnt, fit, phone]]","[[wrth star didnt fit phone false advertising, -0.2755, 1], [u cant connect ur charger slot, -0.6249, 1], [order didnt fit color, 0.0, 1], [fit phone, -0.1695, 1], [worst case dont buy dont foot phone, 0.2812, 2], [case hard put popping place make case fall phone allow charger charge phone universal car charger didnt fit take case order charge car cute case, -0.2755, 1], [case didnt fit phone, -0.4973, 3], [, -0.2755, 1]]"
B00THJZT60,"[0.5994, -0.4215]","[4, 2]","[[battery, life, weight, cause, damage, phone, drop, incident, damage, week, use, mophie, discontinue, use], [impression, mophie, case, iphone, lament, memory, case, live, couple, year, chargedischarge, cycle, give, come, ill, bump, rating, star, provide, battery, look, good, earn]]","[[battery life weight cause damage phone drop incident damage week use mophie discontinue use, 0.5994, 4], [impression mophie case iphone lament memory case live couple year chargedischarge cycle give come ill bump rating star provide battery look good earn, -0.4215, 2]]"
B00U075OJK,[0.8316],[4],"[[case, meet, expectation, thin, price, fall, range, competition, satisfy, purchase, thanks]]","[[case meet expectation thin price fall range competition satisfy purchase thanks, 0.8316, 4]]"
B00U7XJLI2,[0.8625],[3],"[[seal, lift, right, speaker, front, doesnt, work, plug, seem, cheap, battery, life, amaze, sound, speaker, product, price]]","[[seal lift right speaker front doesnt work plug seem cheap battery life amaze sound speaker product price, 0.8625, 3]]"
B00UBCMAVE,"[0.5994, 0.6697]","[3, 4]","[[love, color, fade, replace, month], [love, item]]","[[love color fade replace month, 0.5994, 3], [love item, 0.6697, 4]]"
B00UC8HGNO,[0.5719],[5],"[[excellent, need, stash, phone, use, gps, travel]]","[[excellent need stash phone use gps travel, 0.5719, 5]]"
B00UGTS0X4,[0.6787],[2],"[[product, ok, come, picture, product, shown, otter, box, product, receive, case, back, screen, guard]]","[[product ok come picture product shown otter box product receive case back screen guard, 0.6787, 2]]"
B00UH84IBM,"[0.8555, 0.8481]","[5, 5]","[[purchase, multiple, different, selfie, stick, work, lot, longer, one, extendrotate, part, plastic, piece, use, turn, tighten, piece, hold, phone, look, forward, use, labor, day, weekend], [purchase, wed, work, bluetooth, button, awesome, feature]]","[[purchase multiple different selfie stick work lot longer one extendrotate part plastic piece use turn tighten piece hold phone look forward use labor day weekend, 0.8555, 5], [purchase wed work bluetooth button awesome feature, 0.8481, 5]]"
B00UJE72VW,[0.6254],[4],"[[case, awesome, reason, nothing, protect, phone, screen, fit, note, whole, screen, expose, edge]]","[[case awesome reason nothing protect phone screen fit note whole screen expose edge, 0.6254, 4]]"
B00UR7ERGE,"[0.0, 0.4993]","[1, 5]","[[work, week, work], [nice, dont, cart, memory, work, month]]","[[work week work, 0.0, 1], [nice dont cart memory work month, 0.4993, 5]]"
B00UYSK9L8,"[-0.4023, 0.6908]","[1, 5]","[[nice, design, good, size], [magnet]]","[[nice design good size, -0.4023, 1], [magnet, 0.6908, 5]]"
B00V2TZ60W,[0.7964],[5],"[[phone, case, cute, last]]","[[phone case cute last, 0.7964, 5]]"
B00V3P2S7E,[-0.4215],[2],"[[belt, clip, part, broke, day, get]]","[[belt clip part broke day get, -0.4215, 2]]"
B00V6Y9XCA,[0.4404],[1],"[[think, order, item, cant, return, gift, open, return, date, havent, use, item]]","[[think order item cant return gift open return date havent use item, 0.4404, 1]]"
B00VCUMKO6,[-0.2873],[2],"[[ipod, touch, th, gen, get, wasnt, attempt, take, put, case, meld, ipod, get, life, aware, case, top, ipod, protect, cutout, camera, fit, cameras, end, cover]]","[[ipod touch th gen get wasnt attempt take put case meld ipod get life aware case top ipod protect cutout camera fit cameras end cover, -0.2873, 2]]"
B00VE1ATPU,[-0.6497],[1],"[[way, hard, get, broke, try, take, dont, recommend]]","[[way hard get broke try take dont recommend, -0.6497, 1]]"
B00VJ8IDMO,"[0.6249, -0.6908, 0.9628]","[5, 1, 4]","[[need, test, dunking, lake, case, work], [everyday, use, job, want, protect, phone, beach, sand, water, greasy, sunblock, fingerprint, rubber, screen, protect, allow, use, phone, touch, screen, work, didnt, screen, text, talk, phone, block, bit, work, mention, block, ear, phone, jack, side, button, sand, use, camera, picture, nice, clear, husband, want, dont, see, samsung, note, edge], [test, product, use, itsomehow, couple, hour, water, manage, get, day, vacation, phone, replacement, spend, money, case]]","[[need test dunking lake case work, 0.6249, 5], [everyday use job want protect phone beach sand water greasy sunblock fingerprint rubber screen protect allow use phone touch screen work didnt screen text talk phone block bit work mention block ear phone jack side button sand use camera picture nice clear husband want dont see samsung note edge, -0.6908, 1], [test product use itsomehow couple hour water manage get day vacation phone replacement spend money case, 0.9628, 4]]"
B00VKMRR9E,"[0.5719, 0.96, 0.9535, -0.4404, 0.8744, 0.9204, -0.4782, 0.5037]","[5, 5, 5, 5, 5, 5, 3, 4]","[[mount, stay, textured, dashboard, mercedes, sl, give, visibility, cell, clip, hide, part, screen, limit, use, charge, cord], [look, something, profile, perfect, magnet, love, ability, adjust, anybr, position, adheres], [car, smooth, dashboard, work, mine, wasnt, good, enoughbr, br, ackord, logo, garish, phone, mount], [product, cost, magnet, installation, tell, hold, wear, tear, time, option, use, product, nice, want, use, case, phone, time, option, fluent, easy, use, purchase], [use, car, mount, position, iphone, dash, leave, steer, wheel, monitor, nav, screen, come, everything, mount, phone, work, time, exception, whenever, leave, attach, day, f, heat, tx, sun, loses, grip, reset, seal, condition, fault, product, lose, grip, otherwise, everything, great], [excellent, accessory], [product, week, point, good, surprise, mount, stick, hot, day, test, magnet, grab, cell, downside, akcord, fault, finding, good, location, covering, anything, want, see, mazda, mean, car, make, compromise], [make, base, super, sticky, super, secure, top, dash, magnet, hold, plate, glue, case]]","[[mount stay textured dashboard mercedes sl give visibility cell clip hide part screen limit use charge cord, 0.5719, 5], [look something profile perfect magnet love ability adjust anybr position adheres, 0.96, 5], [car smooth dashboard work mine wasnt good enoughbr br ackord logo garish phone mount, 0.9535, 5], [product cost magnet installation tell hold wear tear time option use product nice want use case phone time option fluent easy use purchase, -0.4404, 5], [use car mount position iphone dash leave steer wheel monitor nav screen come everything mount phone work time exception whenever leave attach day f heat tx sun loses grip reset seal condition fault product lose grip otherwise everything great, 0.8744, 5], [excellent accessory, 0.9204, 5], [product week point good surprise mount stick hot day test magnet grab cell downside akcord fault finding good location covering anything want see mazda mean car make compromise, -0.4782, 3], [make base super sticky super secure top dash magnet hold plate glue case, 0.5037, 4]]"
B00VMO84IS,"[0.8934, -0.7717, 0.921]","[5, 5, 5]","[[get, phone, son, bday, clean, good, phone, trouble, switch, straight, talk, number, order, give, battery, charger, thanks, guy, awesome], [phone, love, ship, couple, problem, get, activate, talk, idk, call, get, someone, knew, get, problem, fix, company, purchase, email, txt, try, help, find, problem, day, half, problem, fix, straight, talk, try, get, money, know, work, talk, pain, get, person, know, problem, fix, give, company, thumb, try, figure, go], [phone, amaze, came, manner, scratch, ding, customer, service, awesome, question, sort]]","[[get phone son bday clean good phone trouble switch straight talk number order give battery charger thanks guy awesome, 0.8934, 5], [phone love ship couple problem get activate talk idk call get someone knew get problem fix company purchase email txt try help find problem day half problem fix straight talk try get money know work talk pain get person know problem fix give company thumb try figure go, -0.7717, 5], [phone amaze came manner scratch ding customer service awesome question sort, 0.921, 5]]"
B00VQNSPVQ,[0.7269],[5],"[[work, design, save, purchase, thanks]]","[[work design save purchase thanks, 0.7269, 5]]"
B00VV1OYU4,[0.4754],[5],"[[want, like, come, screen, protector]]","[[want like come screen protector, 0.4754, 5]]"
B00VVSBKWW,"[0.9075, 0.6009, 0.4927, -0.3007, 0.4927, 0.9612, 0.4754, 0.0516, 0.743, 0.4404, 0.8553, 0.0516, 0.4497, 0.0, 0.5256, 0.9028, 0.6249, 0.7579]","[5, 5, 5, 3, 5, 5, 5, 4, 5, 5, 5, 5, 3, 2, 5, 5, 5, 5]","[[impress, product, sturdy, screen, protector], [product], [iblason, give, phone, nice, weight, pocket, make, cumbersome, glad, product, price, feel, carrying, phone, case, scratch, crack], [look, good, keep, buy], [receive, shipment, case, impress, feel, provides, protection, lot, bulk, phone, iphone, smaller, rubber, edge, case, make, hold, feeling, slip, hand, provide, add, shock, absorbancy, fopr, phone, thing, notice, slight, drawback, thin, film, screen, protector, interfers, touch, id, ability, read, fingerprint, work, time, screen, protector, work, time, didnt, buy, case, screen, protector, remove, point, thats, issue], [work], [case, snug, fit, clip, come, fell, apart, use, clip, kinda, annoy], [satisfy], [product, work, temper, glass, protector, screen], [case, duty, describe, sleek, price, recommend, case, namebrand, market, today, wont, disappoint, thanks], [begun, drop, iphone, look, sturdy, case, didnt, want, something, overwhelmingbr, br, iblason, case, fit, need, price, go, interfere, use, phonebr, br, recommend], [purchase, company, iphone, deployment, case, rugged, price, belt, clip, nice, work, case, protect, afterwards], [case], [awesome, case, complaint], [phone, case, perfect, need, protect, iphone], [rugged, sturdy, recommend, phone, add, bulk, phone, make, add, protection], [nice, expect, case, photo, make, tougher, water, otterbox, life, buy]]","[[impress product sturdy screen protector, 0.9075, 5], [product, 0.6009, 5], [iblason give phone nice weight pocket make cumbersome glad product price feel carrying phone case scratch crack, 0.4927, 5], [look good keep buy, -0.3007, 3], [receive shipment case impress feel provides protection lot bulk phone iphone smaller rubber edge case make hold feeling slip hand provide add shock absorbancy fopr phone thing notice slight drawback thin film screen protector interfers touch id ability read fingerprint work time screen protector work time didnt buy case screen protector remove point thats issue, 0.4927, 5], [work, 0.9612, 5], [case snug fit clip come fell apart use clip kinda annoy, 0.4754, 5], [satisfy, 0.0516, 4], [product work temper glass protector screen, 0.743, 5], [case duty describe sleek price recommend case namebrand market today wont disappoint thanks, 0.4404, 5], [begun drop iphone look sturdy case didnt want something overwhelmingbr br iblason case fit need price go interfere use phonebr br recommend, 0.8553, 5], [purchase company iphone deployment case rugged price belt clip nice work case protect afterwards, 0.0516, 5], [case, 0.4497, 3], [awesome case complaint, 0.0, 2], [phone case perfect need protect iphone, 0.5256, 5], [rugged sturdy recommend phone add bulk phone make add protection, 0.9028, 5], [nice expect case photo make tougher water otterbox life buy, 0.6249, 5], [, 0.7579, 5]]"
B00VY3XJ5U,"[0.9209, 0.1164, 0.8749]","[5, 5, 4]","[[excite, lg, g, say, worry, phone, get, case, give, coverage, feel, quality, hold, phone, case, research, case, otterboxes, review, product, take, chance, supcase, make, case, im, downside, flap, cover, usb, charge, port, doesnt, close], [case, great, husband, contractor, case, take, beat, phone, drop, multiple, time, break, screen, damage], [case, great, lg, g, fit, perfect, need, change, battery, need, back, screen, protector, lock, place, purchase, concern, screen, want, protect, screenbut, detract, usability, screen, protector, work, lost, sensitivity, naked, device, surprise, impress, g, device, flaw, get, warm, overheat, dash, navigation, air, vent, day, notice, difference, issue, cover, back, leather, gray, think, case, good, selection, part, want, consider, thatbut, seem, phone, issue, case, issue, saw, problem, case, screen, protector, seems, show, fingerprint, visibility, fingerprint, device, screen, oil, food, show, protector, quick, wipe, anything, gone, think, better, screenand, g, visibility, fingerprint, owner, protector]]","[[excite lg g say worry phone get case give coverage feel quality hold phone case research case otterboxes review product take chance supcase make case im downside flap cover usb charge port doesnt close, 0.9209, 5], [case great husband contractor case take beat phone drop multiple time break screen damage, 0.1164, 5], [case great lg g fit perfect need change battery need back screen protector lock place purchase concern screen want protect screenbut detract usability screen protector work lost sensitivity naked device surprise impress g device flaw get warm overheat dash navigation air vent day notice difference issue cover back leather gray think case good selection part want consider thatbut seem phone issue case issue saw problem case screen protector seems show fingerprint visibility fingerprint device screen oil food show protector quick wipe anything gone think better screenand g visibility fingerprint owner protector, 0.8749, 4]]"
B00W3ROODW,[0.0],[1],"[[dont, work, type, cover]]","[[dont work type cover, 0.0, 1]]"
B00W9XFGVY,"[0.9232, -0.7908]","[5, 1]","[[super, fast, ship, fit, phone, tricky, put, rubber, case, part, single, piece, fit, cover, side, piece, manage, get, place], [order, case, accident, havent, chance, return, waste, time, money]]","[[super fast ship fit phone tricky put rubber case part single piece fit cover side piece manage get place, 0.9232, 5], [order case accident havent chance return waste time money, -0.7908, 1]]"
B00WAWN224,"[0.5994, 0.5719]","[4, 5]","[[get, daughter, love], [case, wish, hold, money, guy, get, aware, color, look, red, look, pink, people, say, look, im, guy]]","[[get daughter love, 0.5994, 4], [case wish hold money guy get aware color look red look pink people say look im guy, 0.5719, 5]]"
B00WFGJCBA,"[0.7431, 0.8225]","[4, 5]","[[purchase, iphone, pick, toughness, design, thick, case, case, slim, design, property], [product, perfect, none, date, hint, separate, make, half, age, experience, impair]]","[[purchase iphone pick toughness design thick case case slim design property, 0.7431, 4], [product perfect none date hint separate make half age experience impair, 0.8225, 5]]"
B00WJNH0BS,[0.4404],[5],[[use]],"[[use, 0.4404, 5]]"
B00WO1786W,[0.5719],[4],"[[product, price, quiet, salty, like, design, possibility, use, day, use, watch, netflix, plug, sun, visor]]","[[product price quiet salty like design possibility use day use watch netflix plug sun visor, 0.5719, 4]]"
B00WPZ5VIO,"[0.4404, -0.296]","[5, 5]","[[issue], [oem, quality, well]]","[[issue, 0.4404, 5], [oem quality well, -0.296, 5]]"
B00WRK9WMS,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
B00WRR2ADE,"[0.4404, 0.4927, 0.7963, -0.4019, 0.0, 0.3291]","[5, 5, 1, 2, 3, 2]","[[case, great, break, couple, week, case, holster, break, phone, say, armor, series, case, plastic, thin, cheap, recommend, case, anyone], [use, holster, month, clip, holster, broke, side, clip, broke, case, product, need], [fit, slip, keep, adjust], [stuff], [seller, product], [month, use, clip, hold, case, broke, flip, phone, everytime, take, case, break, haha, cool, look, case, last]]","[[case great break couple week case holster break phone say armor series case plastic thin cheap recommend case anyone, 0.4404, 5], [use holster month clip holster broke side clip broke case product need, 0.4927, 5], [fit slip keep adjust, 0.7963, 1], [stuff, -0.4019, 2], [seller product, 0.0, 3], [month use clip hold case broke flip phone everytime take case break haha cool look case last, 0.3291, 2]]"
B00WT9IJVW,[0.5927],[4],"[[slick, get, use, good, case, price]]","[[slick get use good case price, 0.5927, 4]]"
B00X0B4E3K,[0.8979],[5],"[[fit, pop, astro, love, kickstand, feature, ]]","[[fit pop astro love kickstand feature , 0.8979, 5]]"
B00X5CJ8US,[0.1531],[1],"[[case, get, open, damage, peace, power, button, remove]]","[[case get open damage peace power button remove, 0.1531, 1]]"
B00X5H9XXU,[0.7506],[4],"[[fancy, lookingi, get, lot, compliment, reason, take, star, leave, lot, print, perfect]]","[[fancy lookingi get lot compliment reason take star leave lot print perfect, 0.7506, 4]]"
B00X9WPUGA,[0.7],[4],"[[battery, nexus, get, point, maybe, hour, say, plenty, battery, percentage, leave, diebr, br, replace, battery, find, microphone, wouldnt, work, tinkering, connection, luck, order, partbr, br, get, instal, microphone, speaker, lcd, chargedata, port, work, nowbr, br, deduct, star, missing, part, circuit, board, black, bracket, come, circuit, board, sent, remove, got, thing, work, wrap, want, stay, put, go, inbr, br, im, sure, suppose, bracket, include, picture, show, assume, shouldbr, br, bracket, include, gone, quicker, starsbr, br, wait, see, battery, good, use, phone, working]]","[[battery nexus get point maybe hour say plenty battery percentage leave diebr br replace battery find microphone wouldnt work tinkering connection luck order partbr br get instal microphone speaker lcd chargedata port work nowbr br deduct star missing part circuit board black bracket come circuit board sent remove got thing work wrap want stay put go inbr br im sure suppose bracket include picture show assume shouldbr br bracket include gone quicker starsbr br wait see battery good use phone working, 0.7, 4]]"
B00XC89X5U,[-0.4767],[1],"[[order, item, arrivedi, try, itnever, work, product]]","[[order item arrivedi try itnever work product, -0.4767, 1]]"
B00XGHKNTM,"[0.6031, 0.9114, 0.4939, 0.3708]","[1, 2, 4, 5]","[[amaze, battery, take, charge, last, time, charge, phone, everyday, dy, im, college], [wasnt, bad, charge, charger, self, doesnt, push, power, something, better, review], [capacity, charge, recharge, note, time, thats, seem, built, looker], [work, good, want]]","[[amaze battery take charge last time charge phone everyday dy im college, 0.6031, 1], [wasnt bad charge charger self doesnt push power something better review, 0.9114, 2], [capacity charge recharge note time thats seem built looker, 0.4939, 4], [work good want, 0.3708, 5]]"
B00XP3OZ7S,[0.9116],[4],"[[case, wish, glitter, move, recommend]]","[[case wish glitter move recommend, 0.9116, 4]]"
B00XQR9PZU,"[0.6369, -0.875, 0.8307]","[5, 5, 4]","[[want, travel, lot, work, tuck, id, credit, card, keep, everything, running, airport, think, keep, bi, card, max, card, modify, review, give, star, rating, becasue, dumb, figure, dont, anything, wallet, part, tab, hang, think, flaw, put, card, use, knife, tuck, hang, operator, error, part], [time, card, case, ribbonpull, tab, hand, loose, quality, great, color, perfect], [case]]","[[want travel lot work tuck id credit card keep everything running airport think keep bi card max card modify review give star rating becasue dumb figure dont anything wallet part tab hang think flaw put card use knife tuck hang operator error part, 0.6369, 5], [time card case ribbonpull tab hand loose quality great color perfect, -0.875, 5], [case, 0.8307, 4]]"
B00XSZOJ24,[0.0],[5],[[use]],"[[use, 0.0, 5]]"
B00XU0F1K6,"[0.2835, 0.501]","[3, 5]","[[husband, outdoors, man, hunt, fishing, kayak, etc, use, bumper, waterproof, case, iphones, phone, die, replace, iphone, order, phone, arrive, think, bulky, carry, love, wear, music, picture, doesnt, worry, drop, water, drop, water, bumper, protects, underwater, rock, debris, see, retrieve, friend, kayak, drop, lose, phone, ask, get, stock, company], [difficult, get, fit, fine, sure, knock, come, bag]]","[[husband outdoors man hunt fishing kayak etc use bumper waterproof case iphones phone die replace iphone order phone arrive think bulky carry love wear music picture doesnt worry drop water drop water bumper protects underwater rock debris see retrieve friend kayak drop lose phone ask get stock company, 0.2835, 3], [difficult get fit fine sure knock come bag, 0.501, 5]]"
B00XVSF6KW,[0.0762],[1],"[[stretch, rubber, plastic, piece, doesnt, rubber, tab, dont, stay, type, click, screen]]","[[stretch rubber plastic piece doesnt rubber tab dont stay type click screen, 0.0762, 1]]"
B00XZY5ULW,[0.9174],[5],"[[case, ship, keep, phone, secure, isnt, bulky, feel, feel, feel, fit, phone]]","[[case ship keep phone secure isnt bulky feel feel feel fit phone, 0.9174, 5]]"
B00Y05FJ1Q,[0.7717],[5],"[[case, daughter, love, doesnt, offer, protection]]","[[case daughter love doesnt offer protection, 0.7717, 5]]"
B00YD53YQU,"[0.9042, 0.1531]","[5, 3]","[[come, perfect, work, uk, order, work, gsm, carrier, buy, need], [phone, work, ok, charge, work, purchase, cable]]","[[come perfect work uk order work gsm carrier buy need, 0.9042, 5], [phone work ok charge work purchase cable, 0.1531, 3]]"
B00YFCM1UQ,"[0.9138, 0.9442, 0.8402, 0.0]","[5, 4, 5, 5]","[[cute, cute], [case, expect, sturdy, want, tilt, phone, watch, show, work, movie, thumb, people, buy, went, make, sure, get, product, go, address, mail, email, sent, correct, address, fault, take, care, buying, future], [cutebr], [case, look, love, pocket, money, credit, card]]","[[cute cute, 0.9138, 5], [case expect sturdy want tilt phone watch show work movie thumb people buy went make sure get product go address mail email sent correct address fault take care buying future, 0.9442, 4], [cutebr, 0.8402, 5], [case look love pocket money credit card, 0.0, 5]]"
B00YL6EOM4,"[0.8908, 0.4404, 0.9652]","[5, 4, 5]","[[service, speedy, delivery, product, feel, charge, phone, multiple, time, charge, use, power, usb, video, dongle, plenty, juice, day, different, charger, use, drain, follow, day, recommend, love, charge, feature, find], [amaze, product, time, example, charge, took, trip, city, hour, trip, depart, thing, charge, phone, wife, phone, didnt, lose, bar, go, bar, day, leave, charge, trip, charge, wife, phone, didnt, lose, bar, recommend, product, anyone, travel, alot, something, charge, device, die, look, people, thank, zendure, oh, im, pay, zendure, affiliation, zendure, pay, customer, product, mention, super, lol]]","[[service speedy delivery product feel charge phone multiple time charge use power usb video dongle plenty juice day different charger use drain follow day recommend love charge feature find, 0.8908, 5], [amaze product time example charge took trip city hour trip depart thing charge phone wife phone didnt lose bar go bar day leave charge trip charge wife phone didnt lose bar recommend product anyone travel alot something charge device die look people thank zendure oh im pay zendure affiliation zendure pay customer product mention super lol, 0.4404, 4], [, 0.9652, 5]]"
B00YMLJBSK,[0.3612],[5],"[[recieved, todayi]]","[[recieved todayi, 0.3612, 5]]"
B00Z92IRRM,[0.707],[5],[[lot]],"[[lot, 0.707, 5]]"
