B0009SUEX6,[0.5719],[5],"[[excellent, product]]","[[excellent product, 0.5719, 5]]"
B00NMCLYCQ,[0.296],[4],"[[wife, say, ok]]","[[wife say ok, 0.296, 4]]"
B00NMUJJSE,"[0.836, 0.2382]","[4, 4]","[[cover, whole, screen, mm, short, side], [im, happy, love, price, come]]","[[cover whole screen mm short side, 0.836, 4], [im happy love price come, 0.2382, 4]]"
B00NND92O6,[0.8957],[5],"[[item, work, look, well, last, longer]]","[[item work look well last longer, 0.8957, 5]]"
B00NOS9RYU,[0.8074],[5],"[[come, quicker, amazon, handle, say, ship, fault, skim, scissors, edge, chip]]","[[come quicker amazon handle say ship fault skim scissors edge chip, 0.8074, 5]]"
B00NV1T3V2,[0.8402],[4],"[[video, need, drop, phone, pranking, friend]]","[[video need drop phone pranking friend, 0.8402, 4]]"
B00NWDNAG8,[-0.4497],[2],"[[newsthe, battery, ship, order, installing, battery, phone, voice, quality, phone, zte, savvy, deteriorate, point, people, call, understand, happen, instal, battery, person, call, comment, lack, clarity, result, ill, buying, phone, wish, id, purchase, product]]","[[newsthe battery ship order installing battery phone voice quality phone zte savvy deteriorate point people call understand happen instal battery person call comment lack clarity result ill buying phone wish id purchase product, -0.4497, 2]]"
B00O1TL7HG,[0.8126],[5],"[[come, describe, love]]","[[come describe love, 0.8126, 5]]"
B00O4SH9RG,[-0.6381],[1],"[[fake, dont]]","[[fake dont, -0.6381, 1]]"
B00OKB6BWQ,[0.2732],[4],"[[make, weight]]","[[make weight, 0.2732, 4]]"
B00OY5T3OQ,"[-0.4767, 0.6908, 0.0, 0.8268, 0.8791]","[1, 4, 5, 5, 5]","[[buy, iphone], [get, take, none, case, work, otter, commuter, incipio, case, moneycard, flap, bummer, glass, think, look, work, good], [company, screen, cover, warranty, change, cover, tech, armor, brand, customer, service, dead, companybr, br, update, br, cover, break, question, ask, company, deal, warranty, worth, penny], [tech, armor, glass, clear, advertise, apply, instruction, link, installation, utube, video, doesnt, work], [week, break]]","[[buy iphone, -0.4767, 1], [get take none case work otter commuter incipio case moneycard flap bummer glass think look work good, 0.6908, 4], [company screen cover warranty change cover tech armor brand customer service dead companybr br update br cover break question ask company deal warranty worth penny, 0.0, 5], [tech armor glass clear advertise apply instruction link installation utube video doesnt work, 0.8268, 5], [week break, 0.8791, 5]]"
B00OZBF686,[0.2716],[5],"[[cord, penny, say, goodbye, break, cord, short, connector, coil, add, management, benefit, get]]","[[cord penny say goodbye break cord short connector coil add management benefit get, 0.2716, 5]]"
B00P5DSZ2C,[0.7783],[5],"[[buy, gift, love]]","[[buy gift love, 0.7783, 5]]"
B00P6P4EH4,"[-0.4215, 0.0, 0.6369, 0.9535]","[1, 5, 5, 4]","[[protects, phone, color, make, see, identify, purse, screen, less, settle, resolve, star, didnt, show, dirt], [item, receive, describe, genuine, otterbox, case, ship, deliver], [phone, break]]","[[protects phone color make see identify purse screen less settle resolve star didnt show dirt, -0.4215, 1], [item receive describe genuine otterbox case ship deliver, 0.0, 5], [phone break, 0.6369, 5], [, 0.9535, 4]]"
B00PE6CYKY,[-0.4333],[1],"[[product, stop, work, week, product, support, message, come, plug, iphone, ]]","[[product stop work week product support message come plug iphone , -0.4333, 1]]"
B00PHPP9U4,[0.6249],[5],[[awesome]],"[[awesome, 0.6249, 5]]"
B00PJWK3EM,"[0.5719, 0.0, -0.4767, -0.2755, -0.4767, 0.4927, 0.891]","[5, 2, 1, 3, 3, 4, 5]","[[excellent, product], [come, color], [poor, quality], [im, work, walking, jog], [note, jam, make, phone, cheap, quality, get, pay], [super, happy, glad, work], [didnt, fit, note]]","[[excellent product, 0.5719, 5], [come color, 0.0, 2], [poor quality, -0.4767, 1], [im work walking jog, -0.2755, 3], [note jam make phone cheap quality get pay, -0.4767, 3], [super happy glad work, 0.4927, 4], [didnt fit note, 0.891, 5]]"
B00PVF41KE,[0.8704],[5],"[[nice, band, bit, patience, require, adjust, think, solves, cracking, issue, leather, band, put, pressure, tight, crack, wire, mesh, rigid, issue, watch, wander, wrist, give, band, try]]","[[nice band bit patience require adjust think solves cracking issue leather band put pressure tight crack wire mesh rigid issue watch wander wrist give band try, 0.8704, 5]]"
B00PXFA0TI,"[0.8766, -0.5831, 0.555, 0.9842, 0.0]","[5, 4, 5, 5, 1]","[[magpul, disappoint, get, iphone, question, case, buy, raise, help, screen, protection, phone, ipads, cover, go, cover], [love, case, iphone, decide, get, charging, cord, fit, bottom, cut, make, fit], [iphone, switch, went, concern, flex, phone, switch, week, texture, grip, slick, slide, purse, pocket, material, construct, absorb, impact, rigid, secure, love, color, choice, nothing, locate, purse, house, buy, husband, please, case], [slippery, opinion], [price, install, excellent, protection]]","[[magpul disappoint get iphone question case buy raise help screen protection phone ipads cover go cover, 0.8766, 5], [love case iphone decide get charging cord fit bottom cut make fit, -0.5831, 4], [iphone switch went concern flex phone switch week texture grip slick slide purse pocket material construct absorb impact rigid secure love color choice nothing locate purse house buy husband please case, 0.555, 5], [slippery opinion, 0.9842, 5], [price install excellent protection, 0.0, 1]]"
B00Q04VG7G,[0.8346],[1],"[[think, go, dream, case, admire, wait, month, receive, use, itbr, day, use, peel, edge, uuugghhhh, br, moneybr, im, go, try, find, way, save, want, use, wait, order, price, way, wait, use, receiving, mail, way, category, delivery, fast, day, worn, sign, peel, show]]","[[think go dream case admire wait month receive use itbr day use peel edge uuugghhhh br moneybr im go try find way save want use wait order price way wait use receiving mail way category delivery fast day worn sign peel show, 0.8346, 1]]"
B00Q40UL5E,[0.6801],[5],"[[take, time, like, case, want, thank]]","[[take time like case want thank, 0.6801, 5]]"
B00Q5QHFTW,[0.0],[5],"[[arrive, time, seems]]","[[arrive time seems, 0.0, 5]]"
B00Q651606,"[0.9217, 0.9953]","[2, 5]","[[use, film, protector, iphones, upgrade, iphone, film, issue, peel, adhere, curve, edge, etc, know, glass, device, suppose, im, phone, id, prefer, put, something, luck, freak, accident, know, im, stuck, phone, purchase, always, hear, thing, temper, glass, screen, protector, want, try, didnt, want, spend, lot, money, product, wouldnt, phone, come, coolreall, amaze, review, glass, protector, use, coupon, code, post, website, customer, service, excellent, contact, coupon, code, didnt, work, send, code, make, order, family, think, everything, work, totalbr, br, shipping, prompt, installation, simple, tool, need, come, package, time, instal, watch, video, youtube, use, hinge, method, use, wet, wipe, come, screen, moisture, prevent, adhesive, stick, glass, lead, air, bubble, air, bubble, come, squeegee, anything, leave, tiny, went, days, use, phone, piece, dust, stuck, protector, get, use, couple, piece, tape, corner, lift, screen, protector, didnt, back, screen, fine, weekbr, br, weve, phone, end, february, theyre, amaze, edge, phone, use, case, lifting, screen, protector, know, seem, issue, competitor, brand, case, incipio, case, phone, line, screen, protector, leave, gap, bit, dust, get, edge, noticeablebr, br, drop, phone, time, damage, phone, land, corner, chip, edge, screen, protector, fan, love, screen, protector, dont, scratch, film, dont, sensitivity, screen, fingerprint, sensor, tell, there, anything, screenbr, br, price, win, purchase, complain, go, recommend, anyone, who, look, screen, protector, phone, enjoy, sleekness, phone, encapsulate, case], [corner, lift, round, iphone, edge, crack, super, something, hit, corner, im, buy, get, corner, crack, feel, glass, phone, cover, glass]]","[[use film protector iphones upgrade iphone film issue peel adhere curve edge etc know glass device suppose im phone id prefer put something luck freak accident know im stuck phone purchase always hear thing temper glass screen protector want try didnt want spend lot money product wouldnt phone come coolreall amaze review glass protector use coupon code post website customer service excellent contact coupon code didnt work send code make order family think everything work totalbr br shipping prompt installation simple tool need come package time instal watch video youtube use hinge method use wet wipe come screen moisture prevent adhesive stick glass lead air bubble air bubble come squeegee anything leave tiny went days use phone piece dust stuck protector get use couple piece tape corner lift screen protector didnt back screen fine weekbr br weve phone end february theyre amaze edge phone use case lifting screen protector know seem issue competitor brand case incipio case phone line screen protector leave gap bit dust get edge noticeablebr br drop phone time damage phone land corner chip edge screen protector fan love screen protector dont scratch film dont sensitivity screen fingerprint sensor tell there anything screenbr br price win purchase complain go recommend anyone who look screen protector phone enjoy sleekness phone encapsulate case, 0.9217, 2], [corner lift round iphone edge crack super something hit corner im buy get corner crack feel glass phone cover glass, 0.9953, 5]]"
B00QAXZ6D2,[0.6249],[5],"[[itemas, describe, work]]","[[itemas describe work, 0.6249, 5]]"
B00QI7I5BA,[0.6249],[4],"[[headset, work, motorola, radio, foam, pad, tore, time, try, put]]","[[headset work motorola radio foam pad tore time try put, 0.6249, 4]]"
B00QNAQ5J6,[0.0],[1],"[[doesnt, work, nissan, murano]]","[[doesnt work nissan murano, 0.0, 1]]"
B00QNYTBKC,[0.1139],[5],"[[use, samsung, galaxy, note, work, desk, hold, phone, fall]]","[[use samsung galaxy note work desk hold phone fall, 0.1139, 5]]"
B00QQRJ6DI,"[-0.6769, 0.4927, 0.8047, 0.3818, 0.8658]","[3, 5, 5, 5, 5]","[[case, arrive, pricey, company, make, product, case, hasnt, hold, thread, start, come, lot, case, purchase, product, february, year, seem, last, month, disappoint], [hope, last], [device, protect, productjust, wish, different, title, book], [convenient, everything, wallet, phone, credit, card, etc]]","[[case arrive pricey company make product case hasnt hold thread start come lot case purchase product february year seem last month disappoint, -0.6769, 3], [hope last, 0.4927, 5], [device protect productjust wish different title book, 0.8047, 5], [convenient everything wallet phone credit card etc, 0.3818, 5], [, 0.8658, 5]]"
B00R4PWIUO,[0.8462],[5],"[[case, go, st, hair, get, pink, harder, plastic, fit, slim, bulky, havent, try, put, card]]","[[case go st hair get pink harder plastic fit slim bulky havent try put card, 0.8462, 5]]"
B00R7G4A6U,[0.8519],[5],"[[thank, awesome, attention, order, order]]","[[thank awesome attention order order, 0.8519, 5]]"
B00RF24VY2,[0.8393],[1],"[[begin, love, price, seem, quality, month, china, expect, take, expect, z, guarantee, amazon, tot, start, date, order, month, receive, item, merchant, marketplace, something, done, fair, month, use, item, earpads, fall, apart, develop, gap, seam, use, change, year, pad, last, yearstheseless, monthsand, recourse, appear, amazon, start, day, count, guarantee, date, order, day, order, china, arrives, sad, company, allow, slip, loop, hole, sell, quality, item, unsuspecting, customer]]","[[begin love price seem quality month china expect take expect z guarantee amazon tot start date order month receive item merchant marketplace something done fair month use item earpads fall apart develop gap seam use change year pad last yearstheseless monthsand recourse appear amazon start day count guarantee date order day order china arrives sad company allow slip loop hole sell quality item unsuspecting customer, 0.8393, 1]]"
B00RFGTK1W,[-0.34],[5],"[[wear, work, fire, dept, hold]]","[[wear work fire dept hold, -0.34, 5]]"
B00RGI0QR6,[0.8805],[4],"[[fit, good, save, phone, fall, yet, complaint, brown, suede, interior, felt, use, shoe, dye, color, black, improve, appearance, use, shoe, polish, maintain, leather, exterior, get, scratch, fine, leather, product]]","[[fit good save phone fall yet complaint brown suede interior felt use shoe dye color black improve appearance use shoe polish maintain leather exterior get scratch fine leather product, 0.8805, 4]]"
B00RI5YZ74,[-0.6259],[3],"[[doesnt, fit, perfect, corner, dont, stay]]","[[doesnt fit perfect corner dont stay, -0.6259, 3]]"
B00RIIOYAO,[0.7351],[5],"[[perfect, fit]]","[[perfect fit, 0.7351, 5]]"
B00RINM2MG,"[0.9081, -0.4334, 0.2732, 0.9049]","[5, 1, 5, 5]","[[work], [case, drop, twice, act, case, color, comment], [poor, quality, guess, expect, something, cheap, satisfy, product, keep, case, something, happens, case, get], [case, awesome, ]]","[[work, 0.9081, 5], [case drop twice act case color comment, -0.4334, 1], [poor quality guess expect something cheap satisfy product keep case something happens case get, 0.2732, 5], [case awesome , 0.9049, 5]]"
B00RO2576O,"[0.6213, 0.6369, 0.6597, 0.3818, -0.296]","[4, 5, 5, 3, 1]","[[sent, product, buy, different, cord, cost, money, send, cord, worth], [deal, thank], [work, iphone], [fast, shipping, ], [love, work, day, stop, idk]]","[[sent product buy different cord cost money send cord worth, 0.6213, 4], [deal thank, 0.6369, 5], [work iphone, 0.6597, 5], [fast shipping , 0.3818, 3], [love work day stop idk, -0.296, 1]]"
B00RTWJH8I,[0.6124],[5],"[[lock, mechanism, broke, band, purchase, replace, greatbr, br, love, option, change, color, match, whatever, outfit, day, get, black, seems, default, choice, color, nicebr, br, change, device, band, make, button, receptor, side, plastic, ridge, use, feature]]","[[lock mechanism broke band purchase replace greatbr br love option change color match whatever outfit day get black seems default choice color nicebr br change device band make button receptor side plastic ridge use feature, 0.6124, 5]]"
B00RW7BWLA,[0.1531],[2],"[[fit, phone, ok, month, half]]","[[fit phone ok month half, 0.1531, 2]]"
B00S201WUM,"[0.8946, 0.6249]","[5, 2]","[[lg, g, contain, inside, asinbjwaqwy, lg, g, case, supcase, unicorn, beetle, series, premium, hybrid, bumper, case, lg, g, blackblack, keep, pb, wood, edition, qi, charger, nightstand, charge, overnight, using, eight, month, purchase, br, larger, qi, receiver, phone, im, place, knew, size, purchase, ding, thatbr, br, chime, ding, make, noise, lead, cover, piece, black, tape, doesnt, bother, night, look, wood, grain, nightstand], [nice, look, device, experience, hit, miss, keep, charge, phone, overnight, well, suit, use, supervision, device]]","[[lg g contain inside asinbjwaqwy lg g case supcase unicorn beetle series premium hybrid bumper case lg g blackblack keep pb wood edition qi charger nightstand charge overnight using eight month purchase br larger qi receiver phone im place knew size purchase ding thatbr br chime ding make noise lead cover piece black tape doesnt bother night look wood grain nightstand, 0.8946, 5], [nice look device experience hit miss keep charge phone overnight well suit use supervision device, 0.6249, 2]]"
B00SFYCI26,[0.0],[2],"[[want, design, closure, start, wear, month, opinion, overprice, quality]]","[[want design closure start wear month opinion overprice quality, 0.0, 2]]"
B00SKNA7R0,[0.6249],[5],"[[get, daughter, birthday, look, feel, awesome, buy, soon, phone]]","[[get daughter birthday look feel awesome buy soon phone, 0.6249, 5]]"
B00TE82Z2K,"[0.9934, 0.0, 0.4691, -0.3749, 0.9022, 0.9456, -0.8546, 0.4019, 0.0]","[5, 5, 2, 1, 5, 5, 1, 5, 1]","[[get, case, amazon, last, day, case, nice, battery, play, iphone, doesnt, recognize, device, try, charge, phone, say, support, try, return, item, amazon, day, policy, try, main, vendor, doubt, fix, worth, shot], [battery, case, use, gone, different, brand, battery, case, handle, work, life, quick, charge, device, recharge, need, lightest, battery, case, slimmest, recommend, use, need, battery, take, beating, unit, drop, corner, save, drop], [perfect, case, perfect, battery, perfect, purchase], [everything, suppose], [charge, day, buyer, beware], [case, allow, phone, sync, computer, mophie, case, luck, apple, issue, return, battery, case, problem], [case, get, work, send, get, case, charge, charge, phone], [own, battery, case, surprise, install, case, fit, ipone, add, weight, expect, make, phone, difficult, carry, front, pant, pocket, im, sit, look, battery, case, hold, hand, find, anything, fit, need, availability, extra, better, charge, come, handy, anticipate, robust, nature, manufacture, make, ease, use, appearance, purchase], [use, mophie, battery, case, decide, save, dollar, try, alpatronix, iphone, plusdont, repeat, mistakebr, case, design, defect, cut, left, side, case, iphone, plus, switch, center, make, operate, silent, switch, case, need, redesign, body, iphone, sits, battery, case, inchbr, br, plan, use, silent, switch, defect, problem, company, send, product, work]]","[[get case amazon last day case nice battery play iphone doesnt recognize device try charge phone say support try return item amazon day policy try main vendor doubt fix worth shot, 0.9934, 5], [battery case use gone different brand battery case handle work life quick charge device recharge need lightest battery case slimmest recommend use need battery take beating unit drop corner save drop, 0.0, 5], [perfect case perfect battery perfect purchase, 0.4691, 2], [everything suppose, -0.3749, 1], [charge day buyer beware, 0.9022, 5], [case allow phone sync computer mophie case luck apple issue return battery case problem, 0.9456, 5], [case get work send get case charge charge phone, -0.8546, 1], [own battery case surprise install case fit ipone add weight expect make phone difficult carry front pant pocket im sit look battery case hold hand find anything fit need availability extra better charge come handy anticipate robust nature manufacture make ease use appearance purchase, 0.4019, 5], [use mophie battery case decide save dollar try alpatronix iphone plusdont repeat mistakebr case design defect cut left side case iphone plus switch center make operate silent switch case need redesign body iphone sits battery case inchbr br plan use silent switch defect problem company send product work, 0.0, 1]]"
B00TYAM5VO,[0.0],[3],[[work]],"[[work, 0.0, 3]]"
B00U7XMM8I,[0.0],[2],"[[fall, apart, bit]]","[[fall apart bit, 0.0, 2]]"
B00U8C9HZO,[-0.3491],[3],"[[havent, use, use, aa, battery, aaa, make, buy, correct]]","[[havent use use aa battery aaa make buy correct, -0.3491, 3]]"
B00UAOLN6Q,"[0.4215, -0.1027]","[4, 3]","[[nice], [poor, range, good, sound, handle, excess, noise, loses, connection, time]]","[[nice, 0.4215, 4], [poor range good sound handle excess noise loses connection time, -0.1027, 3]]"
B00UBHET4U,[0.1754],[5],"[[nice, quality, case, cheap, cant, beat, recommend, seller]]","[[nice quality case cheap cant beat recommend seller, 0.1754, 5]]"
B00UBLW8DK,[-0.6824],[5],"[[case, sure, protects, phone, problems]]","[[case sure protects phone problems, -0.6824, 5]]"
B00UG8V3MU,[0.1045],[5],"[[money, complain, job, disrupting, phone, anyway, installation, screen, protector, easy, youve, do, awhile, nice, know, include, extra, case, mess, time]]","[[money complain job disrupting phone anyway installation screen protector easy youve do awhile nice know include extra case mess time, 0.1045, 5]]"
B00UG8VATG,[0.9553],[5],"[[look, lot, screen, protector, decide, take, chance, im, glad, quality, great, cant, tell, anything, screen, clarity, go, didnt, problem, instal, screen, alcohol, use, micro, fiber, wipe, glass, go, far, havent, problem, edge, lift, week]]","[[look lot screen protector decide take chance im glad quality great cant tell anything screen clarity go didnt problem instal screen alcohol use micro fiber wipe glass go far havent problem edge lift week, 0.9553, 5]]"
B00USQ95KM,[0.5719],[5],"[[daughter, love]]","[[daughter love, 0.5719, 5]]"
B00UYGK8ES,[0.4404],[5],[[case]],"[[case, 0.4404, 5]]"
B00UYL3YYY,"[0.0, 0.4588, 0.4939]","[5, 2, 4]","[[case, get, lot, compliment, side, come, make, touch, side, screen, isnt, issue], [], [look, great, drop, pop, apart, phone, ground, purchase, case, week, buy]]","[[case get lot compliment side come make touch side screen isnt issue, 0.0, 5], [, 0.4588, 2], [look great drop pop apart phone ground purchase case week buy, 0.4939, 4]]"
B00V5P8TZW,[-0.8911],[1],"[[doesnt, matter, promise, make, title, charge, cable, work, week, stop, trying, find, less, alternative, apple, cable, dont, cut, bunch, garbage, apples, cable, crappy, fray, fall, apart, micro, usb]]","[[doesnt matter promise make title charge cable work week stop trying find less alternative apple cable dont cut bunch garbage apples cable crappy fray fall apart micro usb, -0.8911, 1]]"
B00V5PB71K,[0.9062],[5],"[[case, thin, protects, corner, screen]]","[[case thin protects corner screen, 0.9062, 5]]"
B00V6R93Q8,"[-0.4135, 0.9678]","[5, 5]","[[installation, bubble, place, screen, intelliarmor, screen, experience, instal, product, ipad, screen, cover, glass, inch, way, phone, glass, cover, use, case, side, case, cover, glass, protect, screen, product, customer, service, keep, come], [thing, planet, drop, phone, face, sidewalk, top, red, section, suppose, warn, people, sidewalk, end, kind, look, lego, piece, screen, protector, shatter, piece, sure, phone, goner, inspect, find, phone, save, insurance, purchase, go, work, case]]","[[installation bubble place screen intelliarmor screen experience instal product ipad screen cover glass inch way phone glass cover use case side case cover glass protect screen product customer service keep come, -0.4135, 5], [thing planet drop phone face sidewalk top red section suppose warn people sidewalk end kind look lego piece screen protector shatter piece sure phone goner inspect find phone save insurance purchase go work case, 0.9678, 5]]"
B00V77VJOG,"[0.0, -0.7096, 0.8176, 0.836, 0.8481]","[2, 3, 5, 5, 5]","[[excellent, cord, month, work], [mu, cord, apple, damage, live, southern, california, inland, empire, cord, solution, love, thanks, amazon], [use, day, layer, start, come, wire, start, fray], [month, sure, work, snagging, unraveling, fuzzy, thread, shield, connection, solid, separation, issue, price, excellent, value], [part, work, get, warn, say, stop, charge]]","[[excellent cord month work, 0.0, 2], [mu cord apple damage live southern california inland empire cord solution love thanks amazon, -0.7096, 3], [use day layer start come wire start fray, 0.8176, 5], [month sure work snagging unraveling fuzzy thread shield connection solid separation issue price excellent value, 0.836, 5], [part work get warn say stop charge, 0.8481, 5]]"
B00V7ZPECG,[0.1139],[1],"[[didnt, fitphone, keep, fall, outtttttttttt]]","[[didnt fitphone keep fall outtttttttttt, 0.1139, 1]]"
B00V9R27MC,"[0.8807, 0.6486, 0.9244, 0.4404, 0.4215, 0.9306, 0.6808, 0.5994]","[4, 5, 5, 4, 4, 5, 5, 4]","[[wife, like], [fit], [look, well, life, picture, love, feel, remove], [gift, mother, get, compliment, believe, feel, phone, wellprotected], [protects, back, side, design, function, case, add, lot, bulk, make, phone, hold], [love, phone, case], [decoration, protection], [case, get, penguin, doesnt, add, lot, bulk, phone, make, slippery, hand, want, cut, out, button, perfect, get, lot, compliment]]","[[wife like, 0.8807, 4], [fit, 0.6486, 5], [look well life picture love feel remove, 0.9244, 5], [gift mother get compliment believe feel phone wellprotected, 0.4404, 4], [protects back side design function case add lot bulk make phone hold, 0.4215, 4], [love phone case, 0.9306, 5], [decoration protection, 0.6808, 5], [case get penguin doesnt add lot bulk phone make slippery hand want cut out button perfect get lot compliment, 0.5994, 4]]"
B00VDKG1RW,[0.6249],[5],"[[phone, case, cant, believe, overpay]]","[[phone case cant believe overpay, 0.6249, 5]]"
B00VHXCM0U,[-0.1779],[1],"[[gpsb, work, alarm, respond, sm, request, key, fob, input, sensor]]","[[gpsb work alarm respond sm request key fob input sensor, -0.1779, 1]]"
B00VM5XQKS,[0.296],[4],[[ok]],"[[ok, 0.296, 4]]"
B00VNOG0QU,[0.9017],[5],"[[dont, review, item, quality]]","[[dont review item quality, 0.9017, 5]]"
B00VNZAW6I,"[0.8624, -0.631, 0.428, 0.0, -0.5083, 0.7665, 0.875]","[5, 1, 4, 5, 3, 3, 5]","[[came, moto, smart, watch], [born, br, die, br, cause, death, poor, craftsmanshipbr, br, buy, star, review, point, worthless, charge, anymore, usb, connection, loose, oem, party, make, charger, sell, one, didnt, pas, inspection], [others, report, experience, issue, watch, charge, use, time, need, charge, im, go, charging, longer, take, charge, watch, overnight, use, charge, night, stop, charge, watch, charge, start, charging, cycle, cause, watch, work, harder, annoy, light, flicker, bedroom, watch, cycle, charge, screen, watch, face, time, charger, cycle, dont, think, battery, keep, hit, charge, night, work, day, work], [buy, travel, office, base, review, happy, didbr, br, stainless, steel, version, watch, lip, front, charge, cradle, keep, watch, fall, stand, weight, band, fwiw, charge, time, seems, go, difference, second, stopwatch, accurate, rate, buy, charge, cradle, recommend, friend, family, member], [work, great, seems, charge, oem, impress, build, quality, match, oem, product, nice, weight, dost, tip, rubberize, coatingbr, br, keep, mind, dose, include, micro, usb, usb, wall, adapter], [color, oem], [keep, work, charge, watch, middle, day, use, batteryintensive, feature, work, charge, quicklybr, br, heat, watch, warmer, charger, warm, wear]]","[[came moto smart watch, 0.8624, 5], [born br die br cause death poor craftsmanshipbr br buy star review point worthless charge anymore usb connection loose oem party make charger sell one didnt pas inspection, -0.631, 1], [others report experience issue watch charge use time need charge im go charging longer take charge watch overnight use charge night stop charge watch charge start charging cycle cause watch work harder annoy light flicker bedroom watch cycle charge screen watch face time charger cycle dont think battery keep hit charge night work day work, 0.428, 4], [buy travel office base review happy didbr br stainless steel version watch lip front charge cradle keep watch fall stand weight band fwiw charge time seems go difference second stopwatch accurate rate buy charge cradle recommend friend family member, 0.0, 5], [work great seems charge oem impress build quality match oem product nice weight dost tip rubberize coatingbr br keep mind dose include micro usb usb wall adapter, -0.5083, 3], [color oem, 0.7665, 3], [keep work charge watch middle day use batteryintensive feature work charge quicklybr br heat watch warmer charger warm wear, 0.875, 5]]"
B00VSGVVNA,"[0.6908, -0.5644, 0.4754, 0.5719, 0.8126, -0.4023, 0.6249, 0.7351, 0.6249, 0.0, 0.7506, 0.7713, 0.4404, 0.8402]","[5, 4, 5, 5, 5, 3, 4, 5, 5, 5, 4, 5, 5, 5]","[[awesome, piece], [sit, ihome, idl, clock, radio, plug, radio], [work, great], [nice, build, quality, bedside], [suppose, nothing, glorify], [look, apple, accessory, match, everything, doesnt, slide, slip, hold, watch, accessory, hard, review, design, thing, star, v, level, quality, take, there, reason, spend, stand, look, say, price], [work, perfect, s, mm, band], [excellent, perfect, stand, apple, watch], [work, ok, nothing, outstanding, exciting], [work], [price], [build, star, slide, grippier, rubber, bottom, better], [ship, excellent, item, thank], [charge, watch, look]]","[[awesome piece, 0.6908, 5], [sit ihome idl clock radio plug radio, -0.5644, 4], [work great, 0.4754, 5], [nice build quality bedside, 0.5719, 5], [suppose nothing glorify, 0.8126, 5], [look apple accessory match everything doesnt slide slip hold watch accessory hard review design thing star v level quality take there reason spend stand look say price, -0.4023, 3], [work perfect s mm band, 0.6249, 4], [excellent perfect stand apple watch, 0.7351, 5], [work ok nothing outstanding exciting, 0.6249, 5], [work, 0.0, 5], [price, 0.7506, 4], [build star slide grippier rubber bottom better, 0.7713, 5], [ship excellent item thank, 0.4404, 5], [charge watch look, 0.8402, 5]]"
B00VSP73WO,"[0.0, 0.0]","[3, 3]","[[job], [receive, stylus, pen]]","[[job, 0.0, 3], [receive stylus pen, 0.0, 3]]"
B00VTWR8SU,[0.4754],[5],"[[nice, case, fact, go, order]]","[[nice case fact go order, 0.4754, 5]]"
B00VY4R4AA,"[0.0, 0.8313, 0.9217, 0.4915, 0.0, 0.9655]","[2, 5, 5, 2, 5, 5]","[[time, describe], [love, ability, change, color], [point, address, complain, aboutbr, br, everyone, say, case, put, disagree, find, mindboggling, come, assemble, indent, lip, separation, rubber, frame, frame, bottom, case, find, work, use, smooth, tip, dip, lip, lift, rubber, cover, use, corner, fork, make, realize, infuriate, take, apart, better, understood, fit, piece, make, design, protection, separate, apply, phone, snapbr, br, port, cover, leather, backingbr, br, include, screen, protector, peel, front, frame, decide, use, temper, glass, insteadbr, br, concern, purchase, item, case, otterbox, urban, armor, gear, look, something, rugged, type, protection, look, brother, otterbox, lg, g, casket, phone, rubber, edge, stretch, time, fit, remind, crocs, shoe, people, feet, amore, gear, possibility, grade, handling, drop, go, overrugged, design, scream, macho, looking, super, feminine, mean, technology, look, clean, sleek, grenade, supcase, case, lg, g, lack, instruction, part, overcome, im, happy, selection], [awesome, case, recommend, button, phone, make, access, case, leave], [case, seem, make, screen, protector, decrease, sensitivity, type, letter, allow, get, screen, water, resistant, think, hold, better, price, reason, choose, try, get, otter, box]]","[[time describe, 0.0, 2], [love ability change color, 0.8313, 5], [point address complain aboutbr br everyone say case put disagree find mindboggling come assemble indent lip separation rubber frame frame bottom case find work use smooth tip dip lip lift rubber cover use corner fork make realize infuriate take apart better understood fit piece make design protection separate apply phone snapbr br port cover leather backingbr br include screen protector peel front frame decide use temper glass insteadbr br concern purchase item case otterbox urban armor gear look something rugged type protection look brother otterbox lg g casket phone rubber edge stretch time fit remind crocs shoe people feet amore gear possibility grade handling drop go overrugged design scream macho looking super feminine mean technology look clean sleek grenade supcase case lg g lack instruction part overcome im happy selection, 0.9217, 5], [awesome case recommend button phone make access case leave, 0.4915, 2], [case seem make screen protector decrease sensitivity type letter allow get screen water resistant think hold better price reason choose try get otter box, 0.0, 5], [, 0.9655, 5]]"
B00W0Q2M5I,"[0.8519, 0.4404]","[5, 5]","[[case, fit, samsung], [case]]","[[case fit samsung, 0.8519, 5], [case, 0.4404, 5]]"
