B0009A0CSQ,[0.4404],[4],[[sale]],"[[sale, 0.4404, 4]]"
B00KIMX4EY,"[0.8822, 0.9728, 0.6249, 0.4895, 0.7187, 0.0, 0.6597, 0.9931, -0.8496, 0.882, 0.7783, 0.6249, -0.3182, 0.638, 0.5647, 0.8491, 0.3307, -0.3716, 0.6204, 0.7906, 0.6249, 0.9913, -0.1779, 0.8402, 0.131, 0.9954, 0.6249, 0.9208, 0.6632, 0.1779, 0.9752, 0.4404, 0.1507, 0.9957, 0.6908, 0.0, 0.836, 0.9313, 0.9348]","[5, 5, 5, 3, 4, 5, 2, 5, 3, 4, 4, 5, 4, 5, 5, 5, 3, 1, 3, 5, 5, 5, 1, 5, 5, 5, 5, 3, 5, 1, 5, 4, 4, 4, 5, 1, 5, 4, 4]","[[fm, transmitter, own, bluetooth, make, world, difference, sound, whatsoever, impress], [thing, great, use, others, leave, dissatisfy, look, option, require, installation, plug, lighterwhatever, call, work, sound, quality, well, fm, option, ive, use, sound, radio, appreciate, build, quality, neat, attachment, thats, design, button, nice, press, volume, control, smooth, speak, volume, notice, quieter, radio, phone, device, top, volume, use, radio, get, desire, loudness, havent, use, call, cant, imagine, work, plug, car, buy, build, usb, charging, charge, lumia, didnt, work, charge, friend, bought, stream, music, radio, purpose, satisfy], [order, soley, base, review, fm, transmitter, make, sense, hqve, solution, wire, fm, transmitter, cassettes, audio, come, nothing, par, expectation, thing, surprise, mebr, audio, quality, decent, thing, try, bluetooth, straightforward, set, connects, phone, quicklybr, br, repeat, wasnt, review, bother, order, fence, try, solution, answerbr, br, test, call, quality, thats, feature, dont, updating, review], [gadget, love, weeks, found, bluetooth, fm, transmitter, live, city, radio, station, frequency, signal, wire, fm, transmitter, monster, ive, own, device, minor, flaw, con, pro, pro, sleek, style, gotta, love, piece, stick, bottom, piece, sound, quality, good, youll, get, bluetooth, live, city, find, wire, transmitter, illuminate, usb, charge, port, work, inch, smart, phone, enjoy, online, stream, medium, radio, pandora, spotify, google, play, others, youll, tactile, button, handy, play, button, top, volume, button, top, device, come, handy, vehicle, power, outlet, infront, armrest, console, suv, price, sure, get, pay, vehicle, transfer, piece, vehicle, vehicle, spare, case, con, bluetooth, skip, connection, delay, part, work, charm, microphone, let, try, talk, use, phone, everyone, find, listen, use, location, power, outlet, power, outlet, dont, come, standar, sunvisor, car, im, aware, make, audio, figure, design, fit, car, usb, part, piece, heave, cause, minor, pressure, power, outletgood, part, rod, transmitter, sits], [week, work, super, connect, phone, use, bluetooth, sound, great, recommend, look, fm, transmittor, type, item, use, play, music, spotify, answer, phone, call, people, say, fine, product], [item, work, right, box, setup, easy, intuitive, day, unit, longer, connects, fm, frequency, become, nothing, dc, usb, adapter], [performance, great, stream, audio, phone, performance, glitchy, issue, call, dont, sound, people, time, hearing, unit, glitch, end, voice, whoever, im, speak, get, garble, second, return, sometimes, force, end, call, go, hand, know, issue, better, resolve, finding, fm, station, area, interference, trouble, travel, lot, area, least, mile, radius, station, frequency, choice, area, work, travel, doesnt, seem, impact, music, voice, try, figure, youre, look, something, retrofit, older, car, bluetooth, aux, capability, look, voice, important, want, read, review, look, product], [life, change, item], [transmitter, offon, dont, think, product, openunused, station, metro, area, love, ipod, sync, time], [quick, install, set, use, charge, iphone], [plain, simple, product, work, blue, multifunction, button, nothing, fact, plug, cigarette, outlet, button, didnt, transmitter, pair, phonebr, br, try, reach, company, offer, customer, service, offer, rebought, exact, item], [work, great], [awesome, work, month, nothing, phone, pair, anything, spend, time, try, station, nothing, keep, think, kept, try, get, work, month, dont, time, try, channel, day, car, love, work, wasnt, worth, money, hr, play, went, update, get, surprise, mail, today, brand, mpow, super, excite, try, love, work, wait, rock, rush, hour, hope, get, raise, star, week, yay, nd, mpow, company, sent, couple, month, work, suggest, issue, reach, mpow, site, appear, work, replacement, look, purchase, product], [kind, odd, menouver], [buy, jeep, grand, cherokee, factory, stereo, doesnt, bt, auxin, port, didnt, want, spend, hundred, dollar, upgrade, head, unit, start, look, fm, transmitter, ive, use, wasnt, thrill, sound, quality, look, amazon, marketplace, narrow, choice, base, review, decide, mpow, br, pair, galaxy, easy, start, tune, station, start, move, get, reception, didnt, take, either, make, settle, crisp, clear, sound, go, recommend, suggestion, turn, volume, way, phone, mpow, control, volume, steer, wheel, control, work, champbr, br, phone, call, wife, start, test, sit, driveway, wi, car, idle, say, came, clear, didnt, speak, speaking, level, heard, drive, test, nextbr, br, window, im, phone, use, bt, headset, course, roll, windows, mph, wife, none, wind, noise, great, awesome, thing, phone, audio, playing, stereo, turn, loud, need, versus, headset, ear, increase, speed, find, talking, louder, wind, road, noise, wife, br, star, reason, connector, lighter, snug, hit, bump, shake, mpow, loose, id, end, toplug, wait, second, reconnect, start, playing, music, againbr, br, reason, mark, way, initiate, phone, call, mpow, pick, phone, unlock, find, person, want, call, hit, call, button, mpow, voice, dialbr, br, thing, love, transmitter, find, app, resume, playing, bt, connection, make, take, second, resume, start, vehicle, id, dialing, option, get, star, megainbr, br, reason, mark, way, initiate, phone, call, mpow, pick, phone, unlock, find, person, want, call, hit, call, button, mpow, voice, dialbr, br, thing, love, transmitter, find, app, resume, playing, bt, connection, make, take, second, resume, start, vehicle, id, dialing, option, get, star], [equinox, year, get, auxin, year, get, cassette, player, stuck, use, fm, transmitter, gone, ten, year, work, car, picking, radio, station, mexico, get, signal, fm, transmitter, month, buy, blow, fm, transmitter, own, sound, quality, great, difference, aux, inbr, goodbr, sound, quality, clear, far, well, others, triedbr, connects, phone, get, car, start, upbr, dial, top, make, tune, station, easybr, need, battery, usb, slot, power, devicebr, br, antigoodbr, car, accessorypower, jack, seat, put, fm, transmitter, bit, hole, car, neck, isnt, need, manipulate, drive, car, jack, place, finebr, autoscan, thats, ok, cause, havent, impress, tuner, work, betterbr, br, updatebr, stop, work, something, email, company, sent, question, ask, support], [], [buy, replace, belkin, tunebase, fm, transmitter, experience, fm, interference, belkin, want, freedom, bluetooth, chose, mpow, review, read, bluetooth, fm, sound, quality, mpow, live, review, quality, transmission, device, fm, radio, great, experience, fm, interference, mpow, area, belkin, turn, mpow, interference, channel, mpow, seem, block, concentrate, sound, transmit, iphone, mpow, feature, pack, device, quality, sound, want, review, mark], [work, advertise, japan, find, blank, spot, radio, dial, doesnt, fade, bluetooth, connects, time, start, car, make, sure, outlet, turn, ignition, turn, think, say, control, come, unattached, shuts, read, product, look, advertise, battery, guess, use, remote, control, problem, button, top, work, start, play, audio, app, use, iphone, everyday, listen, podcasts, drive], [mix, result, question, fm, transmitter, ive, see, playing, bluetooth, audio, phone, produce, amaze, quality, hand, insists, pair, time, start, car, presume, leave, plug, thing, microphone, useless, talk, anyone, find, microphone, mpow, doesnt, help, console, car, give, audio, player, f, interface, phone, call, frustrate, bought, listen, podcasts, audiobooks, way, work, decide, keep, dont, try, use, phone, call], [work, great, stream], [work, great, ship], [end, return, item, hour, buy, flexsmartx, die, reading, review, item, well, flexsmartx, write, review, try, warn, people, br, design, microphonelooking, head, piece, attach, stay, attach, disconnect, drive, lead, situation, try, remove, reattach, drive, stay, plug, car, power, outlet, keep, slide, minute, lead, try, reattach, drivingbr, br, order, flexsmartx, cost, item, flexsmartx, confidence, work, well, suite, feature, merit, price, tag, see, ill, update, review, receive, x], [sometime, work, perfect, others, listen, noise, guess, u, change, frequency, happens, thats, kind, annoy, work, time], [buy, car, longer, work, cassette, player, use, cassette, adapter, use, iphone, im, surprise, work, car, trip, sure, radio, station, come, hour, car, ride, state, instruction, tell, turn, volume, way, adapter, iphone, arent, kid, turn, volume, car, stereo, sound, quality, bluetooth, set, connects, get, car, bit, pain, dont, want, phone, device, youll, go, change, iphone, audio, setup, time, im, happy, purchase, happy, purchase, car, stereo], [work, great, survive, car, degree, weather, wish, bit, smaller, leave, plug, cause, interference, radio], [work, great, slight, hissing, sound, s, turn, loud, volume, mpow, well], [perfect, purchase, ive, make, online, th, year], [use, type, product, past, worry, disappoint, great, sound, quality, get, loud, thing, notebr, suppose, isnt, freedom, movement, isnt, problem, consider, bigbr, time, song, experience, bit, lag, cd, doesnt, happen, nothing], [excellent, product, easy, sync, jus, plug, play], [product], [design, well], [excellent, audio, quality, live, dallas, fort, worth, metroplex, fm, dial, cover, fm, transmitter, doubt, audio, quality, bluetooth, work, fail, link, drop, connection, seems, work, foot, car, everything, hate, control, feel, cheap, go, break, glow, bright, distracting, night, wobble, cigarette, go, fall, rip, socket, try, pull, usable, car, phone, engine, garage, apple, siri, doesnt, seem, work, anyhow, overall, packaging, bluetooth, fm, hardware, seem], [fm, transmitter, broke, year, im, disappoint, try, adjust, unit, attach, instead, magnet, open, circuitry, broke, apart], [buy, mpow, streambot, y, wireless, bluetooth, transmitter, replace, gogroove, flexsmart, x, bluetooth, wireless, incar, fm, transmitter, run, course, die, year, servicebr, goodbr, deafen, blast, noise, alert, pair, phone, year, hear, deafen, beep, flexsmart, nice, lightbr, control, intuitive, hide, make, mpow, unit, slim, modern, lookingbr, blue, light, pleasant, designbr, love, connection, make, remove, head, put, sight, park, street, lotbr, understood, end, make, receiving, call, carbr, cleanbr, goodbr, issue, trip, charge, phone, usb, port, point, thing, shut, go, check, base, unit, usb, port, hot, touchbr, wait, till, home, try, transmitter, work, fine, try, charge, overheating], [donebr, br, time, look, work, thank, service], [button, reverse, look, please, eye, something, stick, dashboard, con, music, doesnt, play, crisp, noise, price, fact, dont, money, purchase, dollar, setup, stream], [disappoint, work, advertise, use, use, week, br, br, live, metro, area, unused, fm, frequency, come, bybr, volume, level, window, hear, itbr, sound, quality, well, expect, window]]","[[fm transmitter own bluetooth make world difference sound whatsoever impress, 0.8822, 5], [thing great use others leave dissatisfy look option require installation plug lighterwhatever call work sound quality well fm option ive use sound radio appreciate build quality neat attachment thats design button nice press volume control smooth speak volume notice quieter radio phone device top volume use radio get desire loudness havent use call cant imagine work plug car buy build usb charging charge lumia didnt work charge friend bought stream music radio purpose satisfy, 0.9728, 5], [order soley base review fm transmitter make sense hqve solution wire fm transmitter cassettes audio come nothing par expectation thing surprise mebr audio quality decent thing try bluetooth straightforward set connects phone quicklybr br repeat wasnt review bother order fence try solution answerbr br test call quality thats feature dont updating review, 0.6249, 5], [gadget love weeks found bluetooth fm transmitter live city radio station frequency signal wire fm transmitter monster ive own device minor flaw con pro pro sleek style gotta love piece stick bottom piece sound quality good youll get bluetooth live city find wire transmitter illuminate usb charge port work inch smart phone enjoy online stream medium radio pandora spotify google play others youll tactile button handy play button top volume button top device come handy vehicle power outlet infront armrest console suv price sure get pay vehicle transfer piece vehicle vehicle spare case con bluetooth skip connection delay part work charm microphone let try talk use phone everyone find listen use location power outlet power outlet dont come standar sunvisor car im aware make audio figure design fit car usb part piece heave cause minor pressure power outletgood part rod transmitter sits, 0.4895, 3], [week work super connect phone use bluetooth sound great recommend look fm transmittor type item use play music spotify answer phone call people say fine product, 0.7187, 4], [item work right box setup easy intuitive day unit longer connects fm frequency become nothing dc usb adapter, 0.0, 5], [performance great stream audio phone performance glitchy issue call dont sound people time hearing unit glitch end voice whoever im speak get garble second return sometimes force end call go hand know issue better resolve finding fm station area interference trouble travel lot area least mile radius station frequency choice area work travel doesnt seem impact music voice try figure youre look something retrofit older car bluetooth aux capability look voice important want read review look product, 0.6597, 2], [life change item, 0.9931, 5], [transmitter offon dont think product openunused station metro area love ipod sync time, -0.8496, 3], [quick install set use charge iphone, 0.882, 4], [plain simple product work blue multifunction button nothing fact plug cigarette outlet button didnt transmitter pair phonebr br try reach company offer customer service offer rebought exact item, 0.7783, 4], [work great, 0.6249, 5], [awesome work month nothing phone pair anything spend time try station nothing keep think kept try get work month dont time try channel day car love work wasnt worth money hr play went update get surprise mail today brand mpow super excite try love work wait rock rush hour hope get raise star week yay nd mpow company sent couple month work suggest issue reach mpow site appear work replacement look purchase product, -0.3182, 4], [kind odd menouver, 0.638, 5], [buy jeep grand cherokee factory stereo doesnt bt auxin port didnt want spend hundred dollar upgrade head unit start look fm transmitter ive use wasnt thrill sound quality look amazon marketplace narrow choice base review decide mpow br pair galaxy easy start tune station start move get reception didnt take either make settle crisp clear sound go recommend suggestion turn volume way phone mpow control volume steer wheel control work champbr br phone call wife start test sit driveway wi car idle say came clear didnt speak speaking level heard drive test nextbr br window im phone use bt headset course roll windows mph wife none wind noise great awesome thing phone audio playing stereo turn loud need versus headset ear increase speed find talking louder wind road noise wife br star reason connector lighter snug hit bump shake mpow loose id end toplug wait second reconnect start playing music againbr br reason mark way initiate phone call mpow pick phone unlock find person want call hit call button mpow voice dialbr br thing love transmitter find app resume playing bt connection make take second resume start vehicle id dialing option get star megainbr br reason mark way initiate phone call mpow pick phone unlock find person want call hit call button mpow voice dialbr br thing love transmitter find app resume playing bt connection make take second resume start vehicle id dialing option get star, 0.5647, 5], [equinox year get auxin year get cassette player stuck use fm transmitter gone ten year work car picking radio station mexico get signal fm transmitter month buy blow fm transmitter own sound quality great difference aux inbr goodbr sound quality clear far well others triedbr connects phone get car start upbr dial top make tune station easybr need battery usb slot power devicebr br antigoodbr car accessorypower jack seat put fm transmitter bit hole car neck isnt need manipulate drive car jack place finebr autoscan thats ok cause havent impress tuner work betterbr br updatebr stop work something email company sent question ask support, 0.8491, 5], [, 0.3307, 3], [buy replace belkin tunebase fm transmitter experience fm interference belkin want freedom bluetooth chose mpow review read bluetooth fm sound quality mpow live review quality transmission device fm radio great experience fm interference mpow area belkin turn mpow interference channel mpow seem block concentrate sound transmit iphone mpow feature pack device quality sound want review mark, -0.3716, 1], [work advertise japan find blank spot radio dial doesnt fade bluetooth connects time start car make sure outlet turn ignition turn think say control come unattached shuts read product look advertise battery guess use remote control problem button top work start play audio app use iphone everyday listen podcasts drive, 0.6204, 3], [mix result question fm transmitter ive see playing bluetooth audio phone produce amaze quality hand insists pair time start car presume leave plug thing microphone useless talk anyone find microphone mpow doesnt help console car give audio player f interface phone call frustrate bought listen podcasts audiobooks way work decide keep dont try use phone call, 0.7906, 5], [work great stream, 0.6249, 5], [work great ship, 0.9913, 5], [end return item hour buy flexsmartx die reading review item well flexsmartx write review try warn people br design microphonelooking head piece attach stay attach disconnect drive lead situation try remove reattach drive stay plug car power outlet keep slide minute lead try reattach drivingbr br order flexsmartx cost item flexsmartx confidence work well suite feature merit price tag see ill update review receive x, -0.1779, 1], [sometime work perfect others listen noise guess u change frequency happens thats kind annoy work time, 0.8402, 5], [buy car longer work cassette player use cassette adapter use iphone im surprise work car trip sure radio station come hour car ride state instruction tell turn volume way adapter iphone arent kid turn volume car stereo sound quality bluetooth set connects get car bit pain dont want phone device youll go change iphone audio setup time im happy purchase happy purchase car stereo, 0.131, 5], [work great survive car degree weather wish bit smaller leave plug cause interference radio, 0.9954, 5], [work great slight hissing sound s turn loud volume mpow well, 0.6249, 5], [perfect purchase ive make online th year, 0.9208, 3], [use type product past worry disappoint great sound quality get loud thing notebr suppose isnt freedom movement isnt problem consider bigbr time song experience bit lag cd doesnt happen nothing, 0.6632, 5], [excellent product easy sync jus plug play, 0.1779, 1], [product, 0.9752, 5], [design well, 0.4404, 4], [excellent audio quality live dallas fort worth metroplex fm dial cover fm transmitter doubt audio quality bluetooth work fail link drop connection seems work foot car everything hate control feel cheap go break glow bright distracting night wobble cigarette go fall rip socket try pull usable car phone engine garage apple siri doesnt seem work anyhow overall packaging bluetooth fm hardware seem, 0.1507, 4], [fm transmitter broke year im disappoint try adjust unit attach instead magnet open circuitry broke apart, 0.9957, 4], [buy mpow streambot y wireless bluetooth transmitter replace gogroove flexsmart x bluetooth wireless incar fm transmitter run course die year servicebr goodbr deafen blast noise alert pair phone year hear deafen beep flexsmart nice lightbr control intuitive hide make mpow unit slim modern lookingbr blue light pleasant designbr love connection make remove head put sight park street lotbr understood end make receiving call carbr cleanbr goodbr issue trip charge phone usb port point thing shut go check base unit usb port hot touchbr wait till home try transmitter work fine try charge overheating, 0.6908, 5], [donebr br time look work thank service, 0.0, 1], [button reverse look please eye something stick dashboard con music doesnt play crisp noise price fact dont money purchase dollar setup stream, 0.836, 5], [disappoint work advertise use use week br br live metro area unused fm frequency come bybr volume level window hear itbr sound quality well expect window, 0.9313, 4], [, 0.9348, 4]]"
B00KLE458S,[0.296],[5],[[ok]],"[[ok, 0.296, 5]]"
B00KP54RWC,"[0.7906, -0.2057, 0.7783]","[5, 1, 4]","[[work, keep, repeat, say], [product, buy, give, gift, person, us, phone, call, person, love, use, phone, call], [work, expect, product, price]]","[[work keep repeat say, 0.7906, 5], [product buy give gift person us phone call person love use phone call, -0.2057, 1], [work expect product price, 0.7783, 4]]"
B00KRN7LVQ,"[0.7717, -0.2023, 0.0]","[5, 1, 1]","[[work, great, charge, perfect, keep, purse, backpack], [charge, work, piece, junk], [beware, cord, plug, iphone, ]]","[[work great charge perfect keep purse backpack, 0.7717, 5], [charge work piece junk, -0.2023, 1], [beware cord plug iphone , 0.0, 1]]"
B00KTGXXKE,[0.2732],[1],"[[work, certain, model]]","[[work certain model, 0.2732, 1]]"
B00KVO3Z8E,[0.2732],[5],"[[say, work, need]]","[[say work need, 0.2732, 5]]"
B00L9OXGMU,[-0.0987],[5],"[[get, fast, activate, problem, sharp, crystal, aquos, phone, buggy, limit, lg, g, great, battery, life, nice, screen, awesome, feature, customize, phone, awesome]]","[[get fast activate problem sharp crystal aquos phone buggy limit lg g great battery life nice screen awesome feature customize phone awesome, -0.0987, 5]]"
B00LIAHSM4,[0.0],[5],[[work]],"[[work, 0.0, 5]]"
B00LO3M0G4,"[0.7359, -0.5525, 0.2479]","[5, 4, 1]","[[order, galaxy, mini, label, say, phone, fit, disappoint], [case, son, phone, worry, drop], [button, dont, cover]]","[[order galaxy mini label say phone fit disappoint, 0.7359, 5], [case son phone worry drop, -0.5525, 4], [button dont cover, 0.2479, 1]]"
B00MB9DOUQ,"[-0.5719, 0.8481, 0.9393, 0.6115]","[1, 5, 5, 4]","[[glue, stick, suck, dont, buy], [product], [amaze, quality, great, price, phone, fallen, couple, time, screen, look, fit, iphone, case, iphone], [phone, month, work, cheap, work, star]]","[[glue stick suck dont buy, -0.5719, 1], [product, 0.8481, 5], [amaze quality great price phone fallen couple time screen look fit iphone case iphone, 0.9393, 5], [phone month work cheap work star, 0.6115, 4]]"
B00MDPB3LA,[0.6858],[3],"[[cool, bit, make, imagine, nonetheless, doesnt, come, wall, plug, youll, need, buy]]","[[cool bit make imagine nonetheless doesnt come wall plug youll need buy, 0.6858, 3]]"
B00MGEII5C,[0.9153],[4],"[[nice, stylus, color, pink, picture, work, air, pen, write]]","[[nice stylus color pink picture work air pen write, 0.9153, 4]]"
B00MN3RROY,[0.3818],[2],"[[charge, range, seem, placing, wouldve, easy, plug, usb, cable, plug, broke, mine, wouldve, decide, take, anyway, id, recommend, wait, charging, standard, come]]","[[charge range seem placing wouldve easy plug usb cable plug broke mine wouldve decide take anyway id recommend wait charging standard come, 0.3818, 2]]"
B00MNVQH38,[0.8355],[4],"[[doesnt, fit, snug, charge, phone, case, im, satisfy, thank]]","[[doesnt fit snug charge phone case im satisfy thank, 0.8355, 4]]"
B00MOTVWRA,"[0.6721, 0.4927]","[1, 5]","[[tight, enuf, keep, collect, underneath, case, make, phone, look, dirty, case, clean, underneath, worth, itbr, case, cost, gather, dust, wud, border, case, hold, phone, underneath, easy, clean, somehow, perfect, cut, hold, phone, airtight, dust, go, inside, case], [product]]","[[tight enuf keep collect underneath case make phone look dirty case clean underneath worth itbr case cost gather dust wud border case hold phone underneath easy clean somehow perfect cut hold phone airtight dust go inside case, 0.6721, 1], [product, 0.4927, 5]]"
B00MRHRSK4,"[0.4404, -0.2493]","[5, 2]","[[need, wallet, anymore, thing, awesome], [item, great, price, picture, flash, come, flash, distort, camera, cut, taking, phone, case, easy, remove, flash, picture, case, price]]","[[need wallet anymore thing awesome, 0.4404, 5], [item great price picture flash come flash distort camera cut taking phone case easy remove flash picture case price, -0.2493, 2]]"
B00MWI4HW0,"[0.765, 0.6369, 0.4404, 0.6249, 0.7579, -0.3415, 0.5574, 0.4404, 0.9044, 0.9453, 0.0, 0.6369]","[5, 5, 4, 5, 5, 3, 5, 5, 5, 5, 5, 5]","[[delivery, phone], [arrive, describe], [awesome], [cellphone, qualityprice], [smartphone], [phone, price, moderate, use, twitter, instagram, internet, browse, youtube, great, camera, fine, expect, result, job, video, ok, term, recommend], [dont, need, greatest, phone, perfect, battery, life, lot, bang, buck, compare, anything, market, price, range], [phone, price], [phone, greater, price, get, phone], [phone, trouble, charger, year, use, cable, damage], [value, work, europe]]","[[delivery phone, 0.765, 5], [arrive describe, 0.6369, 5], [awesome, 0.4404, 4], [cellphone qualityprice, 0.6249, 5], [smartphone, 0.7579, 5], [phone price moderate use twitter instagram internet browse youtube great camera fine expect result job video ok term recommend, -0.3415, 3], [dont need greatest phone perfect battery life lot bang buck compare anything market price range, 0.5574, 5], [phone price, 0.4404, 5], [phone greater price get phone, 0.9044, 5], [phone trouble charger year use cable damage, 0.9453, 5], [value work europe, 0.0, 5], [, 0.6369, 5]]"
