B0007WRQ8A,"[0.6124, 0.6808]","[5, 5]","[[yes, thank], [antenna, fit, sr, toyota, pickup, thank]]","[[yes thank, 0.6124, 5], [antenna fit sr toyota pickup thank, 0.6808, 5]]"
B00LLSNFPW,"[0.8537, 0.9552]","[5, 5]","[[ninja, kitten, sooo, cute, look, sister, kitten, make, eye, phone, jack, tiny, lot, smaller, picture, make, seem, add, cuteness, factor, bulky, get, catch, anything, size], [buy, gift, wellmade, cute, great, vibrant, color, expression, cat]]","[[ninja kitten sooo cute look sister kitten make eye phone jack tiny lot smaller picture make seem add cuteness factor bulky get catch anything size, 0.8537, 5], [buy gift wellmade cute great vibrant color expression cat, 0.9552, 5]]"
B00LNKDKDA,[-0.0826],[2],"[[use, charging, cable, night, stand, length, start, notice, charge, phone, neglecting, way, inspection, notice, end, plug, iphone, loose, thing, know, broke, length, durability, plus, end, break, make, integrity]]","[[use charging cable night stand length start notice charge phone neglecting way inspection notice end plug iphone loose thing know broke length durability plus end break make integrity, -0.0826, 2]]"
B00LO752I8,[-0.6637],[1],"[[didnt, work, plug, charge, receive, red, charge, hour, charge, day, unplug, go, bed, maybe, start, fire, something, decide, discharge, reset, charge, empty, try, let, drain, iphone, plug, light, come, phone, indicate, last, minute, unit, shut, increase, iphones, power, level, try, charge, time, red, charge, go, plug, phone, thing, charge, phone, bit, shut, add, power, level, consider, iphone, ah, battery, v, suppose, ah, voltage, consider, battery, complete, junk, cant, go, return]]","[[didnt work plug charge receive red charge hour charge day unplug go bed maybe start fire something decide discharge reset charge empty try let drain iphone plug light come phone indicate last minute unit shut increase iphones power level try charge time red charge go plug phone thing charge phone bit shut add power level consider iphone ah battery v suppose ah voltage consider battery complete junk cant go return, -0.6637, 1]]"
B00LQBLI26,[0.2263],[4],"[[nice, case, phone, come, beware]]","[[nice case phone come beware, 0.2263, 4]]"
B00LY5EKUQ,[0.5994],[5],"[[give, present, love, problem, sound, price]]","[[give present love problem sound price, 0.5994, 5]]"
B00MAWR5PE,"[-0.765, 0.4754]","[3, 5]","[[size, screen, recess, impact, metal, edge, nice], [decent, quality, didnt, use, felt, drop, destroy, phone, bumper, scratch]]","[[size screen recess impact metal edge nice, -0.765, 3], [decent quality didnt use felt drop destroy phone bumper scratch, 0.4754, 5]]"
B00MEBKEMW,[0.4404],[5],"[[sturdy, need, case, seem, choice]]","[[sturdy need case seem choice, 0.4404, 5]]"
B00MHV8IJ0,[0.9042],[5],"[[nice, feel, fit]]","[[nice feel fit, 0.9042, 5]]"
B00MNQN8X0,[-0.0772],[5],"[[stiff, neck, look]]","[[stiff neck look, -0.0772, 5]]"
B00MNW74JS,[-0.4215],[4],"[[nice, clip, broke, month]]","[[nice clip broke month, -0.4215, 4]]"
B00MX1YPD2,"[0.6249, -0.5873]","[5, 3]","[[dont, ho, attitude, problem], [awesome]]","[[dont ho attitude problem, 0.6249, 5], [awesome, -0.5873, 3]]"
B00N4JMPTI,[0.4497],[5],"[[work, expect, stylus, duty, ability, change, tip, wear]]","[[work expect stylus duty ability change tip wear, 0.4497, 5]]"
B00N8N4854,"[0.7964, 0.3612]","[5, 5]","[[awesome, usa, carrier, tmobile, att, look, g, lte, go, modelbr, difference, model, d, d, d, g, lte, frequencyand, d, doesnt, hasve, frequency, get, g, hspsbr, check, buy, sony, xperia, z, phone, usa, need, g, lte]]","[[awesome usa carrier tmobile att look g lte go modelbr difference model d d d g lte frequencyand d doesnt hasve frequency get g hspsbr check buy sony xperia z phone usa need g lte, 0.7964, 5], [, 0.3612, 5]]"
B00NGZMNH4,[0.9001],[4],"[[fit, iphone, box, defender, say, perfect, fit, thanks, cellbee]]","[[fit iphone box defender say perfect fit thanks cellbee, 0.9001, 4]]"
B00NL7IUZ6,"[0.0441, 0.8442]","[4, 5]","[[get, case, die, seam, rip, phone, slide, time, couple, month, driver, license, slot, auto, insurance, card, tuck, debit, card, credit, card, aaa, card, slot, grocery, card, health, insurance, card, case, close, fine, br, love, magnet, strap, closure, work, flop, case], [ive, week, problem]]","[[get case die seam rip phone slide time couple month driver license slot auto insurance card tuck debit card credit card aaa card slot grocery card health insurance card case close fine br love magnet strap closure work flop case, 0.0441, 4], [ive week problem, 0.8442, 5]]"
B00NNL18NG,[0.0],[1],"[[case, way, phone]]","[[case way phone, 0.0, 1]]"
B00NOCH1MG,[0.6249],[5],"[[use, car, bit, heavy, duty, others, great]]","[[use car bit heavy duty others great, 0.6249, 5]]"
B00NU53LEY,[0.836],[5],[[perfect]],"[[perfect, 0.836, 5]]"
B00NWEB49W,"[0.6798, 0.9682, 0.8674, 0.5719, 0.7239, 0.6096]","[5, 5, 5, 5, 5, 5]","[[excellent, product], [contain, connector, carry, plug, wall, outlet, use, charge, cell, phone, samsung, galaxy, time, juice, leave, charger, ravpower, sent, email, make, receive, see, question, extend, warranty, day, call, customer, service, deliver, day, order, day, estimate, price, deal, customer, service], [capacity, charge, phone, time, love, build, charger, go, bag], [bit, bulky, heavy, great, superior, qualitybr, charge, galaxy, note, timesbr, builtin, micro, usb, fast, charger, usb, port, charge], [excellent, tool, handy, use, time, recharging], [excellent, product, look, device, didnt, carry, extra, cord, test, recharge, kindle, time, need, trip]]","[[excellent product, 0.6798, 5], [contain connector carry plug wall outlet use charge cell phone samsung galaxy time juice leave charger ravpower sent email make receive see question extend warranty day call customer service deliver day order day estimate price deal customer service, 0.9682, 5], [capacity charge phone time love build charger go bag, 0.8674, 5], [bit bulky heavy great superior qualitybr charge galaxy note timesbr builtin micro usb fast charger usb port charge, 0.5719, 5], [excellent tool handy use time recharging, 0.7239, 5], [excellent product look device didnt carry extra cord test recharge kindle time need trip, 0.6096, 5]]"
B00NZ7M02Q,[0.5647],[4],"[[excellent, perfect, fit, dislike, screen, protector, get, use]]","[[excellent perfect fit dislike screen protector get use, 0.5647, 4]]"
B00NZN8Q78,[0.8519],[4],"[[work, device, price, work, everything]]","[[work device price work everything, 0.8519, 4]]"
B00O7TI8C2,[-0.0115],[4],"[[snug, fit, fit, cute, case, job, phone]]","[[snug fit fit cute case job phone, -0.0115, 4]]"
B00O81V2MM,[0.4386],[5],"[[husband, love, case, phone, doesnt, case, anymore, throw, want, manage, wall]]","[[husband love case phone doesnt case anymore throw want manage wall, 0.4386, 5]]"
B00O9JE284,[0.0],[5],"[[expectedgreat, item, fast, shipping]]","[[expectedgreat item fast shipping, 0.0, 5]]"
B00OMAPGGM,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
B00OSDD9GM,[-0.5296],[3],"[[quality, logo, place, line, look, cheap, edge, look, fine]]","[[quality logo place line look cheap edge look fine, -0.5296, 3]]"
B00OUFO98K,[0.7506],[5],"[[usb, power, connector, charger, port, flex, cable, tf, tablet, work]]","[[usb power connector charger port flex cable tf tablet work, 0.7506, 5]]"
B00OVGA6ZS,"[0.2263, 0.9777, 0.8519]","[3, 2, 4]","[[okay, card, use], [nice, love, quality, havent, anything, break, edge, spot, guess, leather, come, bit, nothing, brown, shoe, fix, admit, magnet, awesome, great, idea, stay, fall, wallet, id, id, card, piece, paper, fold, debit, card, bank, account, card, underneath, business, card, cash, slot, credit, card, insurance, card, money, top, card, think, bill, problem, think, go, make, replace, compass, work, get, mess, use, app, us, compass, dont, use, lot, take, case, need, day, testing, compass, case, compass, nut, wait, reset, calibrate, point, im, thing, broke, compass, affect, hope, wallet, design, get, beware, magnet, break, compass], [case, great, card, holder, rip, love, phone, holder]]","[[okay card use, 0.2263, 3], [nice love quality havent anything break edge spot guess leather come bit nothing brown shoe fix admit magnet awesome great idea stay fall wallet id id card piece paper fold debit card bank account card underneath business card cash slot credit card insurance card money top card think bill problem think go make replace compass work get mess use app us compass dont use lot take case need day testing compass case compass nut wait reset calibrate point im thing broke compass affect hope wallet design get beware magnet break compass, 0.9777, 2], [case great card holder rip love phone holder, 0.8519, 4]]"
B00OW0JKCS,[0.5719],[5],[[perfect]],"[[perfect, 0.5719, 5]]"
B00OXRGEZG,[0.3612],[5],"[[work, speedy, delivery]]","[[work speedy delivery, 0.3612, 5]]"
B00OXRW3QU,[-0.5255],[1],"[[stuff, garbage, broke, week, use, recommend]]","[[stuff garbage broke week use recommend, -0.5255, 1]]"
B00OY3E0DC,[0.8898],[5],"[[team, good, elegant, performance, camera, excellent, display]]","[[team good elegant performance camera excellent display, 0.8898, 5]]"
B00OYO3NYS,[0.4588],[5],"[[okay, case, fit, rugged, month]]","[[okay case fit rugged month, 0.4588, 5]]"
B00P1VBEPS,[0.8271],[5],"[[product, price, seller]]","[[product price seller, 0.8271, 5]]"
B00P5MOC2K,[0.1001],[3],"[[case, work, become, month, make, silver, iphone, look, beige]]","[[case work become month make silver iphone look beige, 0.1001, 3]]"
B00PCZ5W4C,[-0.1838],[3],"[[ok, didnt, fit, bit, size]]","[[ok didnt fit bit size, -0.1838, 3]]"
B00PDSQUWQ,"[0.4215, 0.0]","[4, 5]","[[nice, design], [cant, ask, need]]","[[nice design, 0.4215, 4], [cant ask need, 0.0, 5]]"
B00PXFA0T8,"[0.7635, 0.4748, 0.9497]","[5, 4, 5]","[[buy, family, iphones, wife, miss, hand, need, case, slippery, texture, fit, bill, protect, phone, grip, case, dont, dont, show, rubbery, case, thin, lightweight, phone, pocket], [excellent, case, fit], [case, fit]]","[[buy family iphones wife miss hand need case slippery texture fit bill protect phone grip case dont dont show rubbery case thin lightweight phone pocket, 0.7635, 5], [excellent case fit, 0.4748, 4], [case fit, 0.9497, 5]]"
B00Q0WSURW,[-0.5118],[1],"[[thick, case, battery, pack]]","[[thick case battery pack, -0.5118, 1]]"
B00Q2LRSDI,[0.4404],[4],"[[time, thanks]]","[[time thanks, 0.4404, 4]]"
B00Q7P02BY,[0.6249],[5],"[[awesome, cell, phone, clip, clip, clothe, sideways, upright]]","[[awesome cell phone clip clip clothe sideways upright, 0.6249, 5]]"
B00QF1KDRS,[0.5719],[4],"[[perfect, stand]]","[[perfect stand, 0.5719, 4]]"
B00QIGOKRE,[0.9254],[3],"[[take, picture, angle, affect, sure, gonna, product, tiny, carry, work, thing, felt, annoying, product, set, direction, direction, confuse, set, seem, direction, thing, buy]]","[[take picture angle affect sure gonna product tiny carry work thing felt annoying product set direction direction confuse set seem direction thing buy, 0.9254, 3]]"
B00QK5BCWE,"[-0.4495, -0.2572, -0.6007, 0.6369, 0.0]","[1, 2, 1, 5, 1]","[[dont, work, throw], [work, fine, use, couple, day, stop, work, worth, money, saving], [broke, month, wouldnt, recommend], [give, gift, car, love, lenght], [wont, charge, hold, cord]]","[[dont work throw, -0.4495, 1], [work fine use couple day stop work worth money saving, -0.2572, 2], [broke month wouldnt recommend, -0.6007, 1], [give gift car love lenght, 0.6369, 5], [wont charge hold cord, 0.0, 1]]"
B00RAT7UXE,"[0.6249, 0.6041]","[5, 5]","[[sturdy, case, design]]","[[sturdy case design, 0.6249, 5], [, 0.6041, 5]]"
B00RPFX5HI,"[0.4731, -0.7906, -0.7351, 0.6249]","[3, 5, 1, 5]","[[husband, break, charger, purchase, problem], [replacement, samsung, charger, gear, reason, rate, last, month, seems, design, flaw, purchase, nub, break, ibe, appears, matter, well, rubber, band, solution, use], [receive, break, charge, dock], [product, need, fast, shipping]]","[[husband break charger purchase problem, 0.4731, 3], [replacement samsung charger gear reason rate last month seems design flaw purchase nub break ibe appears matter well rubber band solution use, -0.7906, 5], [receive break charge dock, -0.7351, 1], [product need fast shipping, 0.6249, 5]]"
B00RSS8J8C,[0.0],[2],"[[crack, day, phone]]","[[crack day phone, 0.0, 2]]"
B00RYRT378,[0.8168],[4],"[[quality, something, slimmer, money]]","[[quality something slimmer money, 0.8168, 4]]"
B00S153ICS,"[-0.2732, 0.977]","[5, 5]","[[anker, company, buy, anker, product, client, year, theyve, let, approach, issue, make, point, flaw, case, affect, someone, el, decision, battery, work, fit, phone, extend, fit, others, complain, look, cheap, dont, find, casebr, br, there, anker, wall, charger, ybya, charge, size, note, battery, doesnt, work, battery, there, reason, shouldnt, charger, design, battery, place, backwards, way, place, phone, design, battery, place, orientation, phone, extend, battery, work, fine, chargerbr, br, ankers, product, design, engineer, miss, bit, fault, battery, auxiliary, charger, credit, didnt, claim, assume, make, sense, thats, faultbr, br, battery, great, dont, plan, finding, auxiliary, charger, search, ankers, find, mention, battery, discontinue, youre, plan, charge, phone, youre, good, go, model, dont, use, protective, case, cant, fit, battery], [battery, charge, last]]","[[anker company buy anker product client year theyve let approach issue make point flaw case affect someone el decision battery work fit phone extend fit others complain look cheap dont find casebr br there anker wall charger ybya charge size note battery doesnt work battery there reason shouldnt charger design battery place backwards way place phone design battery place orientation phone extend battery work fine chargerbr br ankers product design engineer miss bit fault battery auxiliary charger credit didnt claim assume make sense thats faultbr br battery great dont plan finding auxiliary charger search ankers find mention battery discontinue youre plan charge phone youre good go model dont use protective case cant fit battery, -0.2732, 5], [battery charge last, 0.977, 5]]"
B00S2XEP1M,[0.5709],[4],"[[protects, cell, phone]]","[[protects cell phone, 0.5709, 4]]"
B00S7F1RGG,[0.8402],[5],"[[get, phone, casefits, protect, phone, arrive, time, thank]]","[[get phone casefits protect phone arrive time thank, 0.8402, 5]]"
B00S7G1TW2,[0.6249],[4],"[[system, fast, delivery]]","[[system fast delivery, 0.6249, 4]]"
B00S9X292M,[0.0],[2],"[[cant, connect, tablet, ]]","[[cant connect tablet , 0.0, 2]]"
B00SAY7952,[-0.8399],[1],"[[husband, buy, car, installation, work, take, minute, turn, work, disappoint, uninstall, return, non, work, product]]","[[husband buy car installation work take minute turn work disappoint uninstall return non work product, -0.8399, 1]]"
B00SK9R2LS,[-0.4591],[3],"[[luck, garmin, watch, ive, purchase, battery, life, feature, model, use, upgrade, outing, finish, hour, round, battery, life, leave, round, watch, progress, hole, spent, time, try, advance, watch, focus, golfbr, positivesnice, feature, work, wristbr, negativesbattery, life, issue, didnt, advance, battery, life, btw, time, charge, hour, use]]","[[luck garmin watch ive purchase battery life feature model use upgrade outing finish hour round battery life leave round watch progress hole spent time try advance watch focus golfbr positivesnice feature work wristbr negativesbattery life issue didnt advance battery life btw time charge hour use, -0.4591, 3]]"
B00SLILLHE,[0.0],[5],"[[fit, everything, need]]","[[fit everything need, 0.0, 5]]"
B00SR8PK20,"[0.7935, 0.4404]","[4, 5]","[[case, fall, make, phone, fun], [picture]]","[[case fall make phone fun, 0.7935, 4], [picture, 0.4404, 5]]"
B00SSJSU48,"[-0.6597, 0.7003, 0.6361]","[2, 3, 5]","[[show, error, connect, accessory, work, iphone, certify, bought, cable, show, error, mine, iphone, ], [cord, work, trouble, use, charge, device, use, car, charger, happy], [recharging, syncing, iphone, computer]]","[[show error connect accessory work iphone certify bought cable show error mine iphone , -0.6597, 2], [cord work trouble use charge device use car charger happy, 0.7003, 3], [recharging syncing iphone computer, 0.6361, 5]]"
B00SSR95K8,[0.7964],[5],"[[wallet, camera, case, hold, version]]","[[wallet camera case hold version, 0.7964, 5]]"
B00SUHBVB2,[-0.6682],[1],"[[stick, work, adhesive, dry, piss]]","[[stick work adhesive dry piss, -0.6682, 1]]"
B00SWHZQE8,[-0.5216],[5],"[[couldnt, love, hello, kitty]]","[[couldnt love hello kitty, -0.5216, 5]]"
B00T06YECK,"[0.7876, 0.4201, 0.2755, 0.0]","[2, 5, 5, 5]","[[need], [clark, write, style], [item, get, time, dont, protects, screen], [mess, everything, say, galaxy, edge]]","[[need, 0.7876, 2], [clark write style, 0.4201, 5], [item get time dont protects screen, 0.2755, 5], [mess everything say galaxy edge, 0.0, 5]]"
B00T59WVLS,"[0.6369, 0.4404, 0.0]","[5, 1, 5]","[[slip, holster, way, item, receive, picture, stand, mechanism, wont, hold, phone, landscape, orientation, mechanism, towards, bottom, picture, depicts, yield, center, mass, point, suppose, hold], [describe]]","[[slip holster way item receive picture stand mechanism wont hold phone landscape orientation mechanism towards bottom picture depicts yield center mass point suppose hold, 0.6369, 5], [describe, 0.4404, 1], [, 0.0, 5]]"
B00TCG4S7Y,[0.9092],[4],"[[fun, get, lot, good, compliment, case]]","[[fun get lot good compliment case, 0.9092, 4]]"
B00TDMOECG,[0.7812],[5],"[[cool, look, protection, got, suppose, kind, protection, phone]]","[[cool look protection got suppose kind protection phone, 0.7812, 5]]"
B00TLNSHLG,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
B00TSP7EBQ,[0.6369],[5],"[[bead, needle]]","[[bead needle, 0.6369, 5]]"
B00TU6JBB4,"[0.4939, 0.8748]","[3, 5]","[[receive, phone, case, mail, admit, look, phone, feel, hand], [case, wasnt, expect, screen, coverprotector, stick, screen, leave, mark, make, screen, see, day, light, overall, save, phone, chance, break, star, job]]","[[receive phone case mail admit look phone feel hand, 0.4939, 3], [case wasnt expect screen coverprotector stick screen leave mark make screen see day light overall save phone chance break star job, 0.8748, 5]]"
B00TVJL7U8,[0.9451],[5],"[[excellent, case, bit, puzzle, little, slip, paper, say, push, help, ii, looking]]","[[excellent case bit puzzle little slip paper say push help ii looking, 0.9451, 5]]"
B00TX0CYYS,"[0.4927, -0.4023, 0.8381, -0.25]","[4, 1, 4, 3]","[[mount, surface, wont, hold, moto, g, g, xt, hold, shake, time, touch, hold, well, case, case, keep, phone, work, try, version, sometime, work, phone, case, heavier, phone, time, stay, road], [car, phone, magnet, round], [magnet, work, hold, alot, weight, deal, breaker, buy, type, magnet, bought, size, seem, complain, piece, connects, thr, phone, brand, want, dont, want, feel, phone, pant, pocket, work, advertise], [car]]","[[mount surface wont hold moto g g xt hold shake time touch hold well case case keep phone work try version sometime work phone case heavier phone time stay road, 0.4927, 4], [car phone magnet round, -0.4023, 1], [magnet work hold alot weight deal breaker buy type magnet bought size seem complain piece connects thr phone brand want dont want feel phone pant pocket work advertise, 0.8381, 4], [car, -0.25, 3]]"
B00TZ63MIC,[0.8849],[5],"[[love, speaker, buy, refurbish, ipad, didnt, think, check, ear, plug, outlet, doesnt, work, happy, listen, music, bluetooth, capability]]","[[love speaker buy refurbish ipad didnt think check ear plug outlet doesnt work happy listen music bluetooth capability, 0.8849, 5]]"
B00U5HK7LK,"[0.6249, 0.8442, -0.2263, -0.2769, 0.0, 0.8271, 0.8316, -0.25, 0.0, 0.5162, 0.7964, 0.4588, 0.898, 0.4404, 0.9239, 0.6249, 0.0, 0.8998, 0.6705]","[5, 5, 1, 5, 4, 5, 5, 5, 5, 1, 4, 5, 5, 5, 5, 5, 5, 5, 4]","[[work, great, compact, storage, car, console, use, phone, chargingbr, great, price, compare, instore, price, tell, m, friend], [want, thanks], [work, purpose, come, time, pack, fine, issue, need, make, sure, push], [buy, wife, wan, color, want, turn, make, pick, color, want, use, white, win, win, havent, use, port], [excellent, charger, price], [get, charging, stop, work, wouldnt, buy], [charger, work, well, charger, appreciate, usb, slot, charge, device, samsung, buy, car], [work, add, usb, slot, add, bonus], [work, charge], [work, galaxy, power, enables, charge, compatibility, issue], [product, work, disappoint, return, get, money], [center, pin, spring, pressure, cause, lose, connection, plate, hold, place, rubber, band, charge, hold, power, portupdate, company, contact, review, sent, charger, see, well, issue, fix, rubber, band, give, star, base, awsome, customer, support], [work, great], [work, advertise, charge], [car, charger, longer, charge, phone, work, charge, husband, note, cord, stretch, use, shrunk, remove, phone], [suppose], [good, fit], [product, work, price]]","[[work great compact storage car console use phone chargingbr great price compare instore price tell m friend, 0.6249, 5], [want thanks, 0.8442, 5], [work purpose come time pack fine issue need make sure push, -0.2263, 1], [buy wife wan color want turn make pick color want use white win win havent use port, -0.2769, 5], [excellent charger price, 0.0, 4], [get charging stop work wouldnt buy, 0.8271, 5], [charger work well charger appreciate usb slot charge device samsung buy car, 0.8316, 5], [work add usb slot add bonus, -0.25, 5], [work charge, 0.0, 5], [work galaxy power enables charge compatibility issue, 0.5162, 1], [product work disappoint return get money, 0.7964, 4], [center pin spring pressure cause lose connection plate hold place rubber band charge hold power portupdate company contact review sent charger see well issue fix rubber band give star base awsome customer support, 0.4588, 5], [work great, 0.898, 5], [work advertise charge, 0.4404, 5], [car charger longer charge phone work charge husband note cord stretch use shrunk remove phone, 0.9239, 5], [suppose, 0.6249, 5], [good fit, 0.0, 5], [product work price, 0.8998, 5], [, 0.6705, 4]]"
B00UCZGTRG,[0.8481],[5],"[[hand, feel, awesome, holdingbr, color, design, get, edge, case]]","[[hand feel awesome holdingbr color design get edge case, 0.8481, 5]]"
B00UOBL5PY,[0.9589],[5],"[[price, fast, delivery, thought, go, cheap, look, case, inexpensivebr, feel, hand, look, awesome]]","[[price fast delivery thought go cheap look case inexpensivebr feel hand look awesome, 0.9589, 5]]"
B00UUQ6G3O,[0.3612],[5],"[[color, page, look, color, page, phone]]","[[color page look color page phone, 0.3612, 5]]"
B00UV9OXNU,"[0.6369, 0.6249, 0.7684, 0.8316, 0.4779, 0.8456, 0.8122, 0.9782, -0.1027, 0.5859, 0.2732, 0.7425, 0.2263, -0.2732, 0.8586, 0.765]","[5, 5, 4, 5, 5, 5, 5, 5, 3, 5, 5, 4, 5, 5, 5, 5]","[[work, buy, backpack, trip, week, case, charge, iphone, time, work, month], [full, charge, galaxy, note], [work, fast, charge, friend, phone, night, got, charge, percent, hour, downside, bulkyness, product, price, pay, result, get], [describe, work, problem, buy, excellent, price], [excellent, service, battery, come, couple, day, work, nook, hd], [charger, lifesaver], [charge, phone, time], [tell], [happy, charge, phone, time, charge, rav, investment, price], [work, great, recommend, everyone], [order, trip, country, arrive, charge, arrive, destination, throw, purse, go, spent, day, house, charge, station, take, charger, im, glad, charger, know, take, charge, samsung, galaxy, im, impress, seem, charge, phone, twice, use, battery, pack, charge, battery, pack, morning, check, battery, pack, charge, leave, phone, use, micro, usb, phone, husband, lg, g, use, cord, phone, charge, battery, pack, chargingbr, br, nevertheless, battery, pack, charge, device, husband, tell, amperage, output, battery, pack, battery, amperage, output, seem, insist, charge, warn, charge, battery, pack, seem, make, phone, happy, make, happybr, br, bit, inconvenient, run, pocket, thickness, average, man, wallet, wide, fit, purse, save, wristlet, bless, gobr, br, buy, sale, dont, know, deal, happen, continue, happen, consider, price, excellent, star], [please, item, recommending, friend], [price, neededsavior], [power, bank, charger, construct, harden, plasticbr, charge, iphone, time, depletedbr, indicator, power, leave, use, nice, blue, lead], [lot, give, freedom, use, phone, worry, die, work, dont, worry, look, traveling, airport]]","[[work buy backpack trip week case charge iphone time work month, 0.6369, 5], [full charge galaxy note, 0.6249, 5], [work fast charge friend phone night got charge percent hour downside bulkyness product price pay result get, 0.7684, 4], [describe work problem buy excellent price, 0.8316, 5], [excellent service battery come couple day work nook hd, 0.4779, 5], [charger lifesaver, 0.8456, 5], [charge phone time, 0.8122, 5], [tell, 0.9782, 5], [happy charge phone time charge rav investment price, -0.1027, 3], [work great recommend everyone, 0.5859, 5], [order trip country arrive charge arrive destination throw purse go spent day house charge station take charger im glad charger know take charge samsung galaxy im impress seem charge phone twice use battery pack charge battery pack morning check battery pack charge leave phone use micro usb phone husband lg g use cord phone charge battery pack chargingbr br nevertheless battery pack charge device husband tell amperage output battery pack battery amperage output seem insist charge warn charge battery pack seem make phone happy make happybr br bit inconvenient run pocket thickness average man wallet wide fit purse save wristlet bless gobr br buy sale dont know deal happen continue happen consider price excellent star, 0.2732, 5], [please item recommending friend, 0.7425, 4], [price neededsavior, 0.2263, 5], [power bank charger construct harden plasticbr charge iphone time depletedbr indicator power leave use nice blue lead, -0.2732, 5], [lot give freedom use phone worry die work dont worry look traveling airport, 0.8586, 5], [, 0.765, 5]]"
B00UVA6S14,[-0.4767],[3],[[]],"[[, -0.4767, 3]]"
B00UVCJDF0,"[-0.6615, 0.5251, -0.34, -0.4404, 0.9366, 0.6897, 0.8402, 0.6369, 0.9274, 0.5849, 0.4404, -0.5796, 0.7906, -0.2617, 0.9586, -0.6082]","[1, 4, 2, 1, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 3]","[[ship, issue, apply, bubble, thick, screen, protector, look, dont, screen, protector, blend, recommend, youre, look, screen, protector], [read, thought, brought, bring, ], [order, screen, protector, iphone, testdrive, product, get, iphone, iphone, go, call, month, like, installation, tab, end, screen, look, way, contact, sellermanufacturer, come, nothing, lift, corner, blade, get, lifting, corner, tout, antiscratch, nope, scratch, screen, wallet, type, case, phone, disappoint, scratch], [bit, difficult, put], [awesome, product, super, fast, shipping], [u, guy, br, get, today, open, get, mad], [spend, glass, screen, protector, go, couple, month, decide, go, cheaper, route, spent, phone, case, work, screen, protector, think, prefer, continue, buy, screen, protector, good, product, money, spend], [fit, great, product, good, price, point], [save, phone], [suck, didnt, stick, screen], [arrive, corner, glass, crack, wet, wipe, include, kit, job, get, phone, clean, worst, screen, protector, ive, purchase], [quality, screen, protector, thinner, protector, mm, crack, day, use, rock, solid], [fit, come, everything, need, simple, application, follow, instruction, cant, beat, price], [say, product, come, time, iphone, drop, foot, protection, phone, temper, glass, screen, needle, say, screen, suffer, nick, edge, phone, receive, couple, apple, screen, unaltered, product, serve, purpose, look, order], [phone, year, protector, friend, tell, get, temper, glass, screen, protector, phone, day, crack, screen, recommend, product, temper, glass, nothing, screen, waste, money, time]]","[[ship issue apply bubble thick screen protector look dont screen protector blend recommend youre look screen protector, -0.6615, 1], [read thought brought bring , 0.5251, 4], [order screen protector iphone testdrive product get iphone iphone go call month like installation tab end screen look way contact sellermanufacturer come nothing lift corner blade get lifting corner tout antiscratch nope scratch screen wallet type case phone disappoint scratch, -0.34, 2], [bit difficult put, -0.4404, 1], [awesome product super fast shipping, 0.9366, 5], [u guy br get today open get mad, 0.6897, 5], [spend glass screen protector go couple month decide go cheaper route spent phone case work screen protector think prefer continue buy screen protector good product money spend, 0.8402, 5], [fit great product good price point, 0.6369, 5], [save phone, 0.9274, 5], [suck didnt stick screen, 0.5849, 5], [arrive corner glass crack wet wipe include kit job get phone clean worst screen protector ive purchase, 0.4404, 5], [quality screen protector thinner protector mm crack day use rock solid, -0.5796, 1], [fit come everything need simple application follow instruction cant beat price, 0.7906, 5], [say product come time iphone drop foot protection phone temper glass screen needle say screen suffer nick edge phone receive couple apple screen unaltered product serve purpose look order, -0.2617, 5], [phone year protector friend tell get temper glass screen protector phone day crack screen recommend product temper glass nothing screen waste money time, 0.9586, 5], [, -0.6082, 3]]"
B00UXZHJ0G,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
B00V3NYXQK,[0.835],[5],"[[finger, print, feel, smooth, ]]","[[finger print feel smooth , 0.835, 5]]"
B00V7JRDXK,"[0.2765, 0.6478, -0.4215, 0.6908]","[2, 5, 1, 3]","[[get, dirty, sturdy, dont, recommend], [think, look, hop, look, quality, better, lot, product], [wife, color, quality, recommend, ], [broke, day, use, wasnt, cheap, case]]","[[get dirty sturdy dont recommend, 0.2765, 2], [think look hop look quality better lot product, 0.6478, 5], [wife color quality recommend , -0.4215, 1], [broke day use wasnt cheap case, 0.6908, 3]]"
B00VE46CI0,[0.1002],[1],"[[fit, phonevery, disapointedit, wide, slip, outdo, recommendand, cost, return, donate, itnot, way, business]]","[[fit phonevery disapointedit wide slip outdo recommendand cost return donate itnot way business, 0.1002, 1]]"
B00VME12FU,[0.2263],[3],"[[okay, case, havent, use]]","[[okay case havent use, 0.2263, 3]]"
B00VSO4XSM,"[0.8622, 0.8658]","[5, 5]","[[husband, love, case, protects, phone, doesnt, make, love, idea, stand, watch, video], [product, cost, way, product, quality, love]]","[[husband love case protects phone doesnt make love idea stand watch video, 0.8622, 5], [product cost way product quality love, 0.8658, 5]]"
B00VV9PCK2,[0.3818],[5],"[[excellent, quality, strap, price, delivery]]","[[excellent quality strap price delivery, 0.3818, 5]]"
B00VY35E4E,"[0.0, 0.7579]","[4, 5]","[[wife, love, itits, case], [job]]","[[wife love itits case, 0.0, 4], [job, 0.7579, 5]]"
