B00005UK9X,[0.6249],[5],"[[mount, keep, gps, dash, slide]]","[[mount keep gps dash slide, 0.6249, 5]]"
B00OIRYN0O,[0.0],[3],"[[hold, dog, mauling, give, case, start, tear, day, receive]]","[[hold dog mauling give case start tear day receive, 0.0, 3]]"
B00OJT2JLQ,[0.902],[5],"[[case, fit, camera, lens, case, price, benefit, recommend]]","[[case fit camera lens case price benefit recommend, 0.902, 5]]"
B00OL4DEMC,[0.3757],[4],"[[problem, feature, understand, cell, phone, smart, hope, figure, issue]]","[[problem feature understand cell phone smart hope figure issue, 0.3757, 4]]"
B00OR6UHE2,[0.4404],[5],"[[phone, color, look, together]]","[[phone color look together, 0.4404, 5]]"
B00P0B3UVK,"[0.5719, 0.6249, 0.926, 0.8292, 0.8842, 0.3284, 0.8952, 0.9576, -0.1761, 0.8957, 0.2263, 0.9619, 0.7496, 0.8442]","[5, 5, 5, 5, 2, 5, 5, 4, 5, 5, 4, 5, 5, 5]","[[happy, band, say, buy, dirt, party, part, buy, watch, band, turn, look, apple, strap], [perfect, fit, quality, well, come, watch], [replica, fraction, cost, fit, difference], [apple, sport, band, price, worth], [purchase, color, try, material, feel, band, act, sport, band, perfect], [band, apple, lot, lessbr, br, link, band, want, band, link, band, look, anything, band, get, loosebr, br, band, work, take, bit, get, use, put, look, version, bucklebr, br, great, buy, recommend], [buy, product, days, need, band, run, gym, seem, perfect, alternative, apple, watch, band, read, review, product, look, bought, got, agree, quality, band, good, slim, fit, overall, appearance, goodbr, br, here, im, rat, starsbr, br, product, come, band, see, picture, ive, upload, band, pin, defect, prevents, lock, mechanism, fundamental, job, mean, time, safety, apple, watch, compromise, slip, jog, run, walk, etc, make, unhappy, product, retrospect, wish, gone, apple, band, product, know, wouldnt, worry, watch, slip, get, damage, lose, worsebr, br, update, post, anything, change, hope, moko, help, problem], [band, direct, knockoff, apple, band, band, thinner, apple, sport, band, band, attract, dust, apple, band, issue, fit, band, watch, price, band, use, exercise, find, apple, band], [get, band, fit, work, awesome, price, apple, swapwas, go, buy, price, keep, go], [difference, apple, maybe, apple, tiny, bit, softer, wallet, wont, hemorrhage, buying], [work, great, beat, price], [band, great, quality, fit, love, wait, white, order, arrives], [surprise, quality, ordering, couple, different, color, weight, others, describe, take, quality], [band, great, price, color, please]]","[[happy band say buy dirt party part buy watch band turn look apple strap, 0.5719, 5], [perfect fit quality well come watch, 0.6249, 5], [replica fraction cost fit difference, 0.926, 5], [apple sport band price worth, 0.8292, 5], [purchase color try material feel band act sport band perfect, 0.8842, 2], [band apple lot lessbr br link band want band link band look anything band get loosebr br band work take bit get use put look version bucklebr br great buy recommend, 0.3284, 5], [buy product days need band run gym seem perfect alternative apple watch band read review product look bought got agree quality band good slim fit overall appearance goodbr br here im rat starsbr br product come band see picture ive upload band pin defect prevents lock mechanism fundamental job mean time safety apple watch compromise slip jog run walk etc make unhappy product retrospect wish gone apple band product know wouldnt worry watch slip get damage lose worsebr br update post anything change hope moko help problem, 0.8952, 5], [band direct knockoff apple band band thinner apple sport band band attract dust apple band issue fit band watch price band use exercise find apple band, 0.9576, 4], [get band fit work awesome price apple swapwas go buy price keep go, -0.1761, 5], [difference apple maybe apple tiny bit softer wallet wont hemorrhage buying, 0.8957, 5], [work great beat price, 0.2263, 4], [band great quality fit love wait white order arrives, 0.9619, 5], [surprise quality ordering couple different color weight others describe take quality, 0.7496, 5], [band great price color please, 0.8442, 5]]"
B00P1UITOS,[0.6486],[4],"[[case, nice, carry, purse, run, store, item]]","[[case nice carry purse run store item, 0.6486, 4]]"
B00P6TIB74,[0.0],[5],"[[describe, fast, shipping]]","[[describe fast shipping, 0.0, 5]]"
B00P933OJC,"[0.0, 0.2732, 0.6059, 0.3716, -0.0253, 0.6249, 0.8805, 0.5994, 0.6249, 0.6249, 0.9606, 0.7845, 0.8402, 0.2023, 0.2263, 0.3384, 0.6249, 0.4588, 0.9657, 0.0, 0.4215, 0.4754, 0.3384, 0.7297, 0.8945, 0.8562, 0.4927, -0.1027, 0.8313, 0.7475, 0.0, 0.5719, 0.9366, 0.6369, 0.9647, 0.2732, 0.4927, 0.8545, 0.6249]","[5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5]","[[amaze, product], [product, nice, place, charge, device, need, use, individual, brick, device], [awesome, ], [work, great, eliminates, search, multiple, outlet, charge, device], [charge, work, phone, tablet], [product, happy, purchase, excellent, frequent, traveler, need, share, ac, outlet, lamp, etc, want, plug, phone, ipad, apple, watch, batter, toothbrush, work], [nice, compact, size, quality, help, wire, clutter, shortage, outlet], [use, month, set, charge, family, guest, iphones, ipad, android, bluetooth, devise, speaker, anker, powerport, perform, product, plug, charge], [work], [buy, product, place, charge, item, outlet, kind, tuck, work, use, sox, port, charge, item, recommend, product, anyone, look, multiple, usb, port, charger, port, charger, brand, construct, doesnt, charge, item, device, doesnt, get, hot, touch, use, sit, idle], [nice], [work, havent, problem], [nice, buy], [perfect, operation], [excellent, product, anker, work, make], [buy, anker, product, quality, job, buy, anker, product, need, arises], [work, advertise], [order, didnt, order, fit, fine, box, price, total, minimum, ship, weight], [work, far], [work, great, phone, apple, observation, ipad, charge, time, plug, apple, ipad, charger], [port, usb, power, outlet, solve, dilema, device, outlets, family, room, phone, tablet, plug, perform], [anker, charger, charge, charge, device, ive, try, one, dont, waste, money, anker, give, warrantybr, br, excellent, seller, fast, shipping, recommend, thank, aaa], [product, ], [charge, device], [device, use, usb, charge, option, problem, usb, slot, charger, box, good, quality, product, feel, solid, charge, edge, charge, phone, nothing, less, hour, check, hour, got, deal, day, pay, price, piece, side, tape, use, secure, didnt, use, use, command, strip, want, move, pull, hurt, furniture, wall], [weve, week, work, convert, closet, kitchen, home, office, tuck, cord, extends, outlet, way, device, charge, work, surface, clutterfree, gadget, charge, device, jockey, room, take, device, charge, ipads, phone, wireless, headphone, unit, look, superimportant, happy, purchase], [thing, dont, know, get, sooner, gotta, plug, dont, get, quick, charge], [product, buy, sale, travel, lot, work, multiple, device, phone, ipad, mophie, powerstation, plug, desk, charging, use, mini, power, strip, apple, charge, block, cord, take, lot, real, estate, briefcase, unit, size, deck, card, carry, cord, power, block, compact, travel, claim, charge, iphones, ipad, charge, fraction, time, plug, socket, charge, block], [love, design, time, charger, device, fastest, see, get], [purchase, others, throw, show, usb, port, instal, lead, light, top, unit, power, work, iphoneipadipad, collection, nex, jackery, battery, travel, im, love], [handy, keep, charger, fingertip, charge, item, replay], [anker, charge, unit, perfect, fit, fix, problem, home, lack, ubs, port, charge, smart, gadget], [negative, led, show, connection, port], [work, great, device, size], [gooooooood], [buy, travel, outletsworks, charge, device, consolidate, allbr, device, ac], [wouldve, give, star, die, week, use, wasnt, sure, issue, whenever, plug, device, turn, stop, charge, device, juice, wasnt, hub, stop, amazon, great, return, policyservice, im, process, return, sent, work, fine, update, notice, port, stop, work, weekend, happen, month, past, month, warranty, replacement, work, anker, support, past, stellar, think, reach, see, able, work, something, provide, tech, support, didnt, resolve, issue, tell, warranty, wasnt, anything, blame, wish, wouldve, work, something, dollar, product, last, month, yes, drop, star, replacement, get, port, month, update, reach, offer, item, kind, something, id, expect, csr, help, customer, unwilling, pay, device, issue, csr, opinion], [work]]","[[amaze product, 0.0, 5], [product nice place charge device need use individual brick device, 0.2732, 5], [awesome , 0.6059, 5], [work great eliminates search multiple outlet charge device, 0.3716, 4], [charge work phone tablet, -0.0253, 5], [product happy purchase excellent frequent traveler need share ac outlet lamp etc want plug phone ipad apple watch batter toothbrush work, 0.6249, 5], [nice compact size quality help wire clutter shortage outlet, 0.8805, 5], [use month set charge family guest iphones ipad android bluetooth devise speaker anker powerport perform product plug charge, 0.5994, 5], [work, 0.6249, 5], [buy product place charge item outlet kind tuck work use sox port charge item recommend product anyone look multiple usb port charger port charger brand construct doesnt charge item device doesnt get hot touch use sit idle, 0.6249, 5], [nice, 0.9606, 5], [work havent problem, 0.7845, 5], [nice buy, 0.8402, 5], [perfect operation, 0.2023, 5], [excellent product anker work make, 0.2263, 4], [buy anker product quality job buy anker product need arises, 0.3384, 5], [work advertise, 0.6249, 5], [order didnt order fit fine box price total minimum ship weight, 0.4588, 5], [work far, 0.9657, 5], [work great phone apple observation ipad charge time plug apple ipad charger, 0.0, 5], [port usb power outlet solve dilema device outlets family room phone tablet plug perform, 0.4215, 4], [anker charger charge charge device ive try one dont waste money anker give warrantybr br excellent seller fast shipping recommend thank aaa, 0.4754, 5], [product , 0.3384, 5], [charge device, 0.7297, 5], [device use usb charge option problem usb slot charger box good quality product feel solid charge edge charge phone nothing less hour check hour got deal day pay price piece side tape use secure didnt use use command strip want move pull hurt furniture wall, 0.8945, 5], [weve week work convert closet kitchen home office tuck cord extends outlet way device charge work surface clutterfree gadget charge device jockey room take device charge ipads phone wireless headphone unit look superimportant happy purchase, 0.8562, 5], [thing dont know get sooner gotta plug dont get quick charge, 0.4927, 5], [product buy sale travel lot work multiple device phone ipad mophie powerstation plug desk charging use mini power strip apple charge block cord take lot real estate briefcase unit size deck card carry cord power block compact travel claim charge iphones ipad charge fraction time plug socket charge block, -0.1027, 5], [love design time charger device fastest see get, 0.8313, 5], [purchase others throw show usb port instal lead light top unit power work iphoneipadipad collection nex jackery battery travel im love, 0.7475, 5], [handy keep charger fingertip charge item replay, 0.0, 5], [anker charge unit perfect fit fix problem home lack ubs port charge smart gadget, 0.5719, 5], [negative led show connection port, 0.9366, 5], [work great device size, 0.6369, 5], [gooooooood, 0.9647, 3], [buy travel outletsworks charge device consolidate allbr device ac, 0.2732, 5], [wouldve give star die week use wasnt sure issue whenever plug device turn stop charge device juice wasnt hub stop amazon great return policyservice im process return sent work fine update notice port stop work weekend happen month past month warranty replacement work anker support past stellar think reach see able work something provide tech support didnt resolve issue tell warranty wasnt anything blame wish wouldve work something dollar product last month yes drop star replacement get port month update reach offer item kind something id expect csr help customer unwilling pay device issue csr opinion, 0.4927, 5], [work, 0.8545, 5], [, 0.6249, 5]]"
B00PEKUDNU,[0.743],[5],"[[case, everyone, see]]","[[case everyone see, 0.743, 5]]"
B00PFP6RA2,[-0.1027],[1],"[[receive, product, thursday, put, daughter, ipad, start, come, went, silicone, part, case, didnt, day]]","[[receive product thursday put daughter ipad start come went silicone part case didnt day, -0.1027, 1]]"
B00PGAN39E,[0.6369],[4],"[[wai, use]]","[[wai use, 0.6369, 4]]"
B00PHXCNP0,"[0.7003, -0.4717]","[5, 4]","[[describe, great, price, amazon, v, retail, store, purchase], [work, expect, nothing, amazing]]","[[describe great price amazon v retail store purchase, 0.7003, 5], [work expect nothing amazing, -0.4717, 4]]"
B00PJ4WZUA,[0.4927],[5],"[[receive, item, please, iphone, c, case]]","[[receive item please iphone c case, 0.4927, 5]]"
B00PJCIFRY,"[-0.8642, 0.1901]","[1, 5]","[[phone, year, protector, sure, change, protector, phone, slip, hand, yesterday, protector, shatter, offer, protection, image, hammer, mislead, shatter, piece], [protector, air, follow, installation, video, work, day, time, cover, screen, area, side, put, screen]]","[[phone year protector sure change protector phone slip hand yesterday protector shatter offer protection image hammer mislead shatter piece, -0.8642, 1], [protector air follow installation video work day time cover screen area side put screen, 0.1901, 5]]"
B00PRMNOAY,[-0.5423],[1],"[[turn, flash, light, battery]]","[[turn flash light battery, -0.5423, 1]]"
B00PZ6Y1OK,[0.0],[1],"[[stain, jean, week, anything, touch, seem, pickup, color, know, material, pore, use, reason]]","[[stain jean week anything touch seem pickup color know material pore use reason, 0.0, 1]]"
B00PZCJ4VY,[0.0862],[3],"[[nice, id, slot, leave, hand, side, put, card, buy, think, didnt, ]]","[[nice id slot leave hand side put card buy think didnt , 0.0862, 3]]"
B00Q5Y2F80,[0.6249],[5],"[[screen, protector]]","[[screen protector, 0.6249, 5]]"
B00QIW8KII,"[-0.4019, -0.4404]","[3, 1]","[[buy, dad, isnt, microphone, speaker, complain, clip], [worthless, piece, junk, b]]","[[buy dad isnt microphone speaker complain clip, -0.4019, 3], [worthless piece junk b, -0.4404, 1]]"
B00QK9UZGY,[0.8707],[4],"[[work, great, ear, piece, broke, im, relieve, impress]]","[[work great ear piece broke im relieve impress, 0.8707, 4]]"
B00QLDS3KY,"[0.836, 0.8519]","[5, 5]","[[awesome, price, amaze, quality], [quality, case, match, iphone]]","[[awesome price amaze quality, 0.836, 5], [quality case match iphone, 0.8519, 5]]"
B00QM69JM6,"[0.8221, 0.0, 0.8883, 0.7783]","[5, 1, 5, 4]","[[buy, month, bought, hour, road, trip, find, using, car, charger, find, charge, apps, run, charge, charge, fast, get, charge, galaxy, hour, use], [get, product, make, nice, material, easy, use, seem, time, take, care, come, carrying, bag, couple, cable, charge], [week, bought, convenient, bit, havey, think, charge, time, iphone, love, product], [update, dont, buy, work, returning]]","[[buy month bought hour road trip find using car charger find charge apps run charge charge fast get charge galaxy hour use, 0.8221, 5], [get product make nice material easy use seem time take care come carrying bag couple cable charge, 0.0, 1], [week bought convenient bit havey think charge time iphone love product, 0.8883, 5], [update dont buy work returning, 0.7783, 4]]"
B00QM9AY18,"[-0.5423, 0.9398]","[1, 4]","[[take, minute, get, apart, love, case, look, otter, box, cheaper, price, price, quality, excellent], [use, bulky, throw]]","[[take minute get apart love case look otter box cheaper price price quality excellent, -0.5423, 1], [use bulky throw, 0.9398, 4]]"
B00RE00HGG,[0.0],[1],"[[battery, less, life, v, year, stock, battery, return, asap]]","[[battery less life v year stock battery return asap, 0.0, 1]]"
B00RQUV18C,"[0.7184, 0.8832]","[5, 5]","[[product, feel, nice, hand, sleek, drop, time, issue], [fit, great, worth, money, get, day]]","[[product feel nice hand sleek drop time issue, 0.7184, 5], [fit great worth money get day, 0.8832, 5]]"
B00S0MDEK8,"[0.0, -0.296, 0.5106]","[1, 1, 5]","[[junk, dont, wast, money, try, charge, cycle, result, last, time, stock, milliampere, come, radio], [match, uvhp, try, way, charge], [fit, charge, work, idea, ah, claim, correct]]","[[junk dont wast money try charge cycle result last time stock milliampere come radio, 0.0, 1], [match uvhp try way charge, -0.296, 1], [fit charge work idea ah claim correct, 0.5106, 5]]"
B00S942WS2,[0.8481],[5],"[[look, great, quality]]","[[look great quality, 0.8481, 5]]"
B00SEXUZWI,[0.6124],[5],"[[lookin, case, ]]","[[lookin case , 0.6124, 5]]"
B00SJP1J3K,[0.8344],[5],"[[excellent, case, money, seem, sturdy, pocket, arent, deep, car, recommend, someone, look, folio]]","[[excellent case money seem sturdy pocket arent deep car recommend someone look folio, 0.8344, 5]]"
B00SM7JUMM,[0.7717],[5],"[[thank, u]]","[[thank u, 0.7717, 5]]"
B00SR5EFXS,[-0.2263],[1],"[[stop, work, couple, day, press, mat, end, phone, input, time, get, work, wont, buy]]","[[stop work couple day press mat end phone input time get work wont buy, -0.2263, 1]]"
B00SSLM9ZC,"[0.34, 0.1604]","[2, 5]","[[end, purchase, give, away], [say, selfy, stick, family, like, person, photo]]","[[end purchase give away, 0.34, 2], [say selfy stick family like person photo, 0.1604, 5]]"
B00ST3X8BI,"[0.6249, 0.5719]","[5, 5]","[[perfect], [product, fast, shipper]]","[[perfect, 0.6249, 5], [product fast shipper, 0.5719, 5]]"
B00T4OEM7A,"[0.7351, 0.6249]","[5, 5]","[[product], [fit, perfect]]","[[product, 0.7351, 5], [fit perfect, 0.6249, 5]]"
B00T797Y54,[0.6369],[5],"[[case, hold, everything, ship]]","[[case hold everything ship, 0.6369, 5]]"
B00T8KGNAY,[0.7351],[4],"[[perfect, thank, u]]","[[perfect thank u, 0.7351, 4]]"
B00T9RGVAI,"[0.4927, -0.0672, 0.9286]","[5, 1, 5]","[[happy, purchase, look, work], [month, work, ever, pair, note, power, phone, battery, die, charge, nothing, work, connect, phone, none, apps, work, disclaimer, buy, factory, refurbish, model, opinion, matter]]","[[happy purchase look work, 0.4927, 5], [month work ever pair note power phone battery die charge nothing work connect phone none apps work disclaimer buy factory refurbish model opinion matter, -0.0672, 1], [, 0.9286, 5]]"
B00TAQ9UW4,[0.6249],[5],[[buy]],"[[buy, 0.6249, 5]]"
B00TF4WVTU,[-0.3653],[1],"[[dont, buy, junk, dont, fit, look, picture, cheap, thin, plastic, crap]]","[[dont buy junk dont fit look picture cheap thin plastic crap, -0.3653, 1]]"
B00TRFF6PI,[0.7906],[5],"[[thing, get, run, find, hindrance, carry, phone, go, run, watch, dont, reading, phone, runkeeper, app, atleast, consistentbr, take, couple, minute, latch, gps, annoy, let, go, pretty, spot, onbr, br, solid, star, device, time, take, get, gps, understand, price, solid, devicebr, br, garminconnect, software]]","[[thing get run find hindrance carry phone go run watch dont reading phone runkeeper app atleast consistentbr take couple minute latch gps annoy let go pretty spot onbr br solid star device time take get gps understand price solid devicebr br garminconnect software, 0.7906, 5]]"
B00TRRVENO,[0.0],[4],[[bueno]],"[[bueno, 0.0, 4]]"
B00TYSM9RQ,"[0.8885, 0.0]","[5, 1]","[[person, get, love, thank, great, service], [brokebr, return]]","[[person get love thank great service, 0.8885, 5], [brokebr return, 0.0, 1]]"
B00U0Q0IP6,"[0.5106, 0.7783, 0.4228]","[1, 5, 5]","[[connector, horrible, guarantee, luck, answer, email, xbr, answerbr, fell, apart, weekend], [cable, work, phone, sent, time, pack, shape, package, nice, charge, phone, lot, place, bring, work], [price]]","[[connector horrible guarantee luck answer email xbr answerbr fell apart weekend, 0.5106, 1], [cable work phone sent time pack shape package nice charge phone lot place bring work, 0.7783, 5], [price, 0.4228, 5]]"
B00UAA7LXE,[0.8439],[5],"[[charging, phone, hikestrips, ultrathin, profile, make, slip, pocket, side, phone, recommend]]","[[charging phone hikestrips ultrathin profile make slip pocket side phone recommend, 0.8439, 5]]"
B00UB2ROLA,[-0.3291],[1],"[[ship, stop, charge, min, work]]","[[ship stop charge min work, -0.3291, 1]]"
B00UH9FU04,[0.7804],[5],"[[work, perfect, saw, review, state, product, wasnt, worth, take, time, make, everything, put, place, instal, reset, phone, work, suppose]]","[[work perfect saw review state product wasnt worth take time make everything put place instal reset phone work suppose, 0.7804, 5]]"
B00UQJ0GXG,"[0.6437, -0.4956]","[2, 1]","[[come, mail, time, condition, im, stupid, put, screen, protector, experience, working, try, credit, card, tape, screen, protector, think, get, bubble, try, take, screen, snap, say, work, phone, time, pain, get, time, screen, protector, recommend, take, phone, store, put], [suggest, screen, protector, get, today, crack, fit, phone, hang, side, make, precision, cut, out, dissapointed]]","[[come mail time condition im stupid put screen protector experience working try credit card tape screen protector think get bubble try take screen snap say work phone time pain get time screen protector recommend take phone store put, 0.6437, 2], [suggest screen protector get today crack fit phone hang side make precision cut out dissapointed, -0.4956, 1]]"
B00URB11TG,[0.4754],[5],"[[im, satisfy]]","[[im satisfy, 0.4754, 5]]"
B00UX7LEBY,[0.4404],[5],"[[fast, ship]]","[[fast ship, 0.4404, 5]]"
B00UZQX36W,"[0.0, 0.8306]","[1, 1]","[[product, dont, get, left, phone, car, amusement, park, windows, car, crack, phone, wasnt, sun, come, start, crack, screen, protector, crack, crack, pocket, take, case, chip, amazon, doesnt, replacement, policy, screen, say, life, time, warranty, buy, company, know, lifetime, warranty], [meet, specification, fingerprint]]","[[product dont get left phone car amusement park windows car crack phone wasnt sun come start crack screen protector crack crack pocket take case chip amazon doesnt replacement policy screen say life time warranty buy company know lifetime warranty, 0.0, 1], [meet specification fingerprint, 0.8306, 1]]"
B00V4CCIL2,[0.0],[1],[[cheep]],"[[cheep, 0.0, 1]]"
B00V4VA4DW,[0.7935],[3],"[[design, lacking, need, power, run, o, level, crack, tightening, wrist]]","[[design lacking need power run o level crack tightening wrist, 0.7935, 3]]"
B00V7UNHDY,"[-0.3589, 0.8473]","[4, 5]","[[fit, m, control, love, slot, id, well, run, hold, phone], [complaint, armband, work, design, follow, add, january, use, difficult, press, button, side, phone, armband, deal, breaker]]","[[fit m control love slot id well run hold phone, -0.3589, 4], [complaint armband work design follow add january use difficult press button side phone armband deal breaker, 0.8473, 5]]"
B00VHOO5TK,"[0.4215, 0.0341, 0.0, -0.8533, 0.9217]","[4, 1, 1, 1, 5]","[[felt, writing, review, feel, need, mophie, juice, pack, phone, case, feel, water, replace, decide, try, got, decent, review, case, heavy, uglier, weird, shape, camera, window, giant, logo, work, x, less, downside, charger, come, work, reason, car, charger, wont, charge, ft, sort, charge, phone, stay, charge, get, charge, leave, itll, charge, minute, stop, wont, thing, mophie, turn, charge, feature, keep, phone, day, use, charge, feature, keep, turn, reason, amount, charge, thing, seem, phone, charge, broke, get, mophie, case, garbage, dont, waste, money, felt, contempt, phone, case, entire, life], [garbage, battery, dosent, work, day], [garbage, dont, waste, money, hold, charge, time, offer, protection, phone, whatsoever], [case, work, perfect, protects, phone, charge, day, use], [nice]]","[[felt writing review feel need mophie juice pack phone case feel water replace decide try got decent review case heavy uglier weird shape camera window giant logo work x less downside charger come work reason car charger wont charge ft sort charge phone stay charge get charge leave itll charge minute stop wont thing mophie turn charge feature keep phone day use charge feature keep turn reason amount charge thing seem phone charge broke get mophie case garbage dont waste money felt contempt phone case entire life, 0.4215, 4], [garbage battery dosent work day, 0.0341, 1], [garbage dont waste money hold charge time offer protection phone whatsoever, 0.0, 1], [case work perfect protects phone charge day use, -0.8533, 1], [nice, 0.9217, 5]]"
B00VLNJLRS,[0.4754],[5],"[[order, case, hour, drop, brand, phone, love, color, set, work, lifestyle]]","[[order case hour drop brand phone love color set work lifestyle, 0.4754, 5]]"
B00VRCDLAG,"[-0.2755, 0.836]","[1, 4]","[[perfect, wallet, case, love, magnet, shell, phone, crack, corner, havent, drop, phone], [doesnt, fit, phone]]","[[perfect wallet case love magnet shell phone crack corner havent drop phone, -0.2755, 1], [doesnt fit phone, 0.836, 4]]"
B00VTRFJX6,[0.3818],[4],"[[issue, phone, case, bulky, work]]","[[issue phone case bulky work, 0.3818, 4]]"
B00W85UC80,[0.2732],[5],"[[correct, phone, work]]","[[correct phone work, 0.2732, 5]]"
B00WHR06XK,"[0.1797, 0.6249, 0.7003]","[4, 4, 5]","[[accessory, surface, pro, work, kind, display, adapter, travel, kit, use, problemsbr, star, adapter, bit, longer, surface, kickstand, heavy, video, cable, pull, adapter, port, tablet], [delivery, product, work, advertise, recommend, anyone], [work, issue, support, output, time, know, buy]]","[[accessory surface pro work kind display adapter travel kit use problemsbr star adapter bit longer surface kickstand heavy video cable pull adapter port tablet, 0.1797, 4], [delivery product work advertise recommend anyone, 0.6249, 4], [work issue support output time know buy, 0.7003, 5]]"
B00WL1PIFS,[0.9779],[5],"[[wanting, phone, case, show, something, always, love, grow, love, watch, pokemon, tv, show, love, charizard, phone, case, thank, excellent, artwork, love]]","[[wanting phone case show something always love grow love watch pokemon tv show love charizard phone case thank excellent artwork love, 0.9779, 5]]"
B00WSNJCZG,[0.8176],[5],"[[case, way, cuter, person, love]]","[[case way cuter person love, 0.8176, 5]]"
B00WXO1OV0,[0.9099],[5],"[[radio, improve, sound, super, crisp]]","[[radio improve sound super crisp, 0.9099, 5]]"
B00X5ELYMQ,"[0.1531, 0.9703, 0.0]","[5, 5, 4]","[[order, slide, door, company, explain, problem, sent, charge, case, work, perfectlydoes, intend], [ship, decent, quality, case], [case, awesome, drop, phone, time, protects, fact, carry, purse, anymore, id, card, squeeze, money, im, happy, buy, buy]]","[[order slide door company explain problem sent charge case work perfectlydoes intend, 0.1531, 5], [ship decent quality case, 0.9703, 5], [case awesome drop phone time protects fact carry purse anymore id card squeeze money im happy buy buy, 0.0, 4]]"
B00X6Q8C96,[0.9616],[4],"[[headset, pair, sound, quality, call, podcasts, fit, happy, didnt, pay, ton, money, decent, bluetooth]]","[[headset pair sound quality call podcasts fit happy didnt pay ton money decent bluetooth, 0.9616, 4]]"
B00X6SS9UG,"[0.8008, 0.6593, -0.1531]","[5, 5, 2]","[[expect, case, protection, thats, advertise, fit, glove], [gem, start, fall, day], [get, compliment]]","[[expect case protection thats advertise fit glove, 0.8008, 5], [gem start fall day, 0.6593, 5], [get compliment, -0.1531, 2]]"
B00XH71T4O,"[0.6369, 0.8957]","[5, 5]","[[iti, buy, boyfriend, love, itcame, look, picture]]","[[iti buy boyfriend love itcame look picture, 0.6369, 5], [, 0.8957, 5]]"
B00XHGGLZW,[-0.5951],[1],"[[useless, matter, cable, put, apple, manufacturer, loose, wouldnt, stay, clip, waste, money]]","[[useless matter cable put apple manufacturer loose wouldnt stay clip waste money, -0.5951, 1]]"
B00XIZ59M8,[0.9487],[3],"[[look, wish, fit, phone, wont, fall, outbr, money, think]]","[[look wish fit phone wont fall outbr money think, 0.9487, 3]]"
B00XJDMNOQ,"[0.8748, 0.7564]","[4, 5]","[[headset, work, work], [work, awesome, clarity]]","[[headset work work, 0.8748, 4], [work awesome clarity, 0.7564, 5]]"
B00XNSIYTU,"[0.8074, 0.979, 0.7574, 0.8122, 0.8258]","[5, 4, 5, 5, 5]","[[love, product, suit, good, zenfone, ], [love, chart], [case, price, soft, case, case, feel, case, extends, bezek, protect, front, keep, phone, nice, slim, clear, show, phone, complaint], [use, case, year, port, slot, line, perfect, come, screen, protector, recommend], [reviewer, isnt, type, case, go, prefer, silicone, cover, inside, polycarbonate, plastic, shell, otterboxs, defender, seriesbr, br, try, case, asinbwbdtlq, asus, zenfone, zemlzeml, case, hotcool, heavy, duty, rugged, layer, armor, kickstand, cover, case, asus, zenfone, zemlzemlwill, fit, zecl, model, black, asinboxrgdy, moko, asus, zenfone, case, scratch, resistant, hybrid, armor, series, layer, protection, scratch, technology, corner, case, asus, zenfone, inch, android, smart, phone, release, black, prefer, case, twobr, br, main, thing, case, power, button, press, compare, cut, case, power, button, hotcool, moko, pressbr, br, side, feel, vinyl, rubber, compound, valve, beach, ball, reviewer, say, allows, grip, seen, silicone, rubber, case, there, say, itbr, br, think, use, strap, holder, attach, wrist, strap, figure, time, end, break, screen, strap, holder, better, suit, cellphone, charm, opinionbr, br, surprise, set, phone, screen, face, camera, lead, fibre, optic, take, turn, case, strange, lampbr, br, cant, say, protection, havent, drop, phone, knock, wood, hope, dont, find, say, design, template, dont, think, ill, spend, time, fiddle, phone, screenup, pursebr, br, seem, case, zenfone, didnt, buy, case]]","[[love product suit good zenfone , 0.8074, 5], [love chart, 0.979, 4], [case price soft case case feel case extends bezek protect front keep phone nice slim clear show phone complaint, 0.7574, 5], [use case year port slot line perfect come screen protector recommend, 0.8122, 5], [reviewer isnt type case go prefer silicone cover inside polycarbonate plastic shell otterboxs defender seriesbr br try case asinbwbdtlq asus zenfone zemlzeml case hotcool heavy duty rugged layer armor kickstand cover case asus zenfone zemlzemlwill fit zecl model black asinboxrgdy moko asus zenfone case scratch resistant hybrid armor series layer protection scratch technology corner case asus zenfone inch android smart phone release black prefer case twobr br main thing case power button press compare cut case power button hotcool moko pressbr br side feel vinyl rubber compound valve beach ball reviewer say allows grip seen silicone rubber case there say itbr br think use strap holder attach wrist strap figure time end break screen strap holder better suit cellphone charm opinionbr br surprise set phone screen face camera lead fibre optic take turn case strange lampbr br cant say protection havent drop phone knock wood hope dont find say design template dont think ill spend time fiddle phone screenup pursebr br seem case zenfone didnt buy case, 0.8258, 5]]"
B00XPUWQHM,[0.4939],[5],"[[work, great, use, bar]]","[[work great use bar, 0.4939, 5]]"
