B0007L8A7M,[0.8481],[5],"[[quality, great, sound, price]]","[[quality great sound price, 0.8481, 5]]"
B00KRLLALU,[0.8832],[2],"[[update, random, error, pop, ride, computer, crash, use, wifi, sync, feature, claim, need, register, work, im, register, use, feature, year, magellan, say, know, issue, report, user, downgrade, star, resolve, shop, computer, nowbr, br, update, others, comment, issue, adjust, setting, resolve, issue, relate, cadence, sensor, get, pick, update, bluetooth, setting, get, text, phone, display, magellan, remain, issue, surprise, feature, ill, test, summer, point, see, upgrading, star, computer, well, price, garminbr, br, reviewbr, br, ive, computer, month, use, iphone, w, strava, track, ride, ride, get, concern, eat, battery, life, get, stuck, remote, kansa, dead, phone, compare, garmin, model, compete, end, return, garmin, edge, favor, thisbr, br, key, feature, drive, decisionbr, map, include, garmin, load, opensource, map, buy, map, price, source, map, include, edge, include, map, price, ridiculousbr, ui, intuitive, colorbr, surprise, feature, seem, cool, traveling, lot, training, different, location, gps, feature, perfect, laterbr, text, notification, indisplay, want, feature, expect, work, find, droid, devicesbr, wifi, sync, strava, work, charm, end, ride, hit, setting, wifi, sync, update, strava, see, data, ridebr, heart, rate, monitor, setup, failsbr, br, underwhelmedbr, size, garmins, event, mile, day, start, get, cateye, computersbr, battery, life, mile, ride, forget, charger, make, hour, lose, data, part, ridebr, integrates, ant, cadence, sensor, dont, device, pick, cadence, sensor, ask, havent, find, way, turn, autodetect, thing, annoy, riding, event, crowd, lot, cadence, sensor, existbr, lack, text, notification, iphonesbr, surprise, feature, need, work, time, set, mile, loop, im, yard, ride, route, random, error, occur, cadence, sensor, surround, twice, get, look, window, error, requires, pull, resetbr, br, conclusionbr, thing, star, cycle, computer, cateyes, dont, care, archive, ride, data, sync, strava, garmin, magellan, model, problem, overall, buyer, remorse, give, price, thingssettings, wifi, sync, update, strava, see, data, ridebr, heart, rate, monitor, setup, failsbr, br, underwhelmedbr, size, garmins, event, mile, day, start, get, cateye, computersbr, battery, life, mile, ride, forget, charger, make, hour, lose, data, part, ridebr, integrates, ant, cadence, sensor, dont, device, pick, cadence, sensor, ask, havent, find, way, turn, autodetect, thing, annoy, riding, event, crowd, lot, cadence, sensor, existbr, lack, text, notification, iphonesbr, surprise, feature, need, work, time, set, mile, loop, im, yard, ride, route, random, error, occur, cadence, sensor, surround, twice, get, look, window, error, requires, pull, resetbr, br, conclusionbr, thing, star, cycle, computer, cateyes, dont, care, archive, ride, data, sync, strava, garmin, magellan, model, problem, overall, buyer, remorse, give, price, thing]]","[[update random error pop ride computer crash use wifi sync feature claim need register work im register use feature year magellan say know issue report user downgrade star resolve shop computer nowbr br update others comment issue adjust setting resolve issue relate cadence sensor get pick update bluetooth setting get text phone display magellan remain issue surprise feature ill test summer point see upgrading star computer well price garminbr br reviewbr br ive computer month use iphone w strava track ride ride get concern eat battery life get stuck remote kansa dead phone compare garmin model compete end return garmin edge favor thisbr br key feature drive decisionbr map include garmin load opensource map buy map price source map include edge include map price ridiculousbr ui intuitive colorbr surprise feature seem cool traveling lot training different location gps feature perfect laterbr text notification indisplay want feature expect work find droid devicesbr wifi sync strava work charm end ride hit setting wifi sync update strava see data ridebr heart rate monitor setup failsbr br underwhelmedbr size garmins event mile day start get cateye computersbr battery life mile ride forget charger make hour lose data part ridebr integrates ant cadence sensor dont device pick cadence sensor ask havent find way turn autodetect thing annoy riding event crowd lot cadence sensor existbr lack text notification iphonesbr surprise feature need work time set mile loop im yard ride route random error occur cadence sensor surround twice get look window error requires pull resetbr br conclusionbr thing star cycle computer cateyes dont care archive ride data sync strava garmin magellan model problem overall buyer remorse give price thingssettings wifi sync update strava see data ridebr heart rate monitor setup failsbr br underwhelmedbr size garmins event mile day start get cateye computersbr battery life mile ride forget charger make hour lose data part ridebr integrates ant cadence sensor dont device pick cadence sensor ask havent find way turn autodetect thing annoy riding event crowd lot cadence sensor existbr lack text notification iphonesbr surprise feature need work time set mile loop im yard ride route random error occur cadence sensor surround twice get look window error requires pull resetbr br conclusionbr thing star cycle computer cateyes dont care archive ride data sync strava garmin magellan model problem overall buyer remorse give price thing, 0.8832, 2]]"
B00KTGRQLQ,"[0.4404, 0.6249, 0.5106, 0.3818]","[5, 5, 4, 5]","[[thing, hard, findlocallyim, glad, amazonhas], [screen, protector, start, lift, month, package], [work, great]]","[[thing hard findlocallyim glad amazonhas, 0.4404, 5], [screen protector start lift month package, 0.6249, 5], [work great, 0.5106, 4], [, 0.3818, 5]]"
B00L5QKP5I,[0.4404],[5],[[thanks]],"[[thanks, 0.4404, 5]]"
B00L94VLZ4,[0.7964],[5],"[[show, picture, make, quality, material, love]]","[[show picture make quality material love, 0.7964, 5]]"
B00LEB11SO,[0.4404],[5],"[[order, gift]]","[[order gift, 0.4404, 5]]"
B00LES2I02,"[-0.1531, 0.296]","[2, 1]","[[product, buy, u, work, ok, need, replacement, need, money], [stop, work, week]]","[[product buy u work ok need replacement need money, -0.1531, 2], [stop work week, 0.296, 1]]"
B00LM4ON2E,[0.7269],[5],"[[product, price]]","[[product price, 0.7269, 5]]"
B00LPPHHFK,"[0.5719, 0.0, 0.431, 0.8481, 0.0516, -0.34, 0.7906, 0.0]","[5, 5, 3, 5, 5, 5, 5, 5]","[[purchase, card, go, daughter, phone, gotbr, work, phone, problem, put, phone, connect, phone, service], [arrive, tact, great, instruction, dont, know, size, sim, card, need, go], [packaging, suck, product, good], [set, mo, unlimited, textdata, min, talk, time, unlock, fire, phone, need], [price, product], [describe], [unlock, cell, phone, country, work, perfect], [state]]","[[purchase card go daughter phone gotbr work phone problem put phone connect phone service, 0.5719, 5], [arrive tact great instruction dont know size sim card need go, 0.0, 5], [packaging suck product good, 0.431, 3], [set mo unlimited textdata min talk time unlock fire phone need, 0.8481, 5], [price product, 0.0516, 5], [describe, -0.34, 5], [unlock cell phone country work perfect, 0.7906, 5], [state, 0.0, 5]]"
B00M0MGMK8,[0.2549],[2],"[[fit, phone, button, turn, phone, push, get, work, loosen, time]]","[[fit phone button turn phone push get work loosen time, 0.2549, 2]]"
B00M0O17TC,"[0.6369, -0.5233]","[5, 2]","[[cable, work], [cable, poor, construction, galaxy, note, ]]","[[cable work, 0.6369, 5], [cable poor construction galaxy note , -0.5233, 2]]"
B00M1LVCG2,"[0.9694, -0.2732, 0.0, 0.0, 0.9208, -0.765, -0.34, -0.765, 0.9423]","[5, 5, 2, 2, 5, 2, 1, 1, 5]","[[battery, charge, way, take, hour, charge], [efficient, device, carry, day, great, tripsbr, update, month, use, battery, stop, work, customer, service, excellent, get, replacement, pay, shipping], [charge, charge], [device, charge, device, time, advertise, offer, return, update, review], [use, time, longer, charge, disappointment, return], [note, edge, battery, seem, run, carry, go, need, charge, minute, get, charge, son, girlfriend, ask, use, stay, charge, week, product, buy, thank, judie], [purchase, provide, charging, iphone, ipad, etc, awesome, charge, cycle, phone, time, unit, charge, take, care, ipad, impress, ability, hold, charge, charge, electronics, dyingbr, br, recommend], [buy, product, take, trip, charge, hour, charge, turn, figure, charge, went, use, charge, galaxy, twice, die, say, battery, light, matter, charge], [carry]]","[[battery charge way take hour charge, 0.9694, 5], [efficient device carry day great tripsbr update month use battery stop work customer service excellent get replacement pay shipping, -0.2732, 5], [charge charge, 0.0, 2], [device charge device time advertise offer return update review, 0.0, 2], [use time longer charge disappointment return, 0.9208, 5], [note edge battery seem run carry go need charge minute get charge son girlfriend ask use stay charge week product buy thank judie, -0.765, 2], [purchase provide charging iphone ipad etc awesome charge cycle phone time unit charge take care ipad impress ability hold charge charge electronics dyingbr br recommend, -0.34, 1], [buy product take trip charge hour charge turn figure charge went use charge galaxy twice die say battery light matter charge, -0.765, 1], [carry, 0.9423, 5]]"
B00M3KKJJC,[0.6335],[5],"[[love, make, kinda, miss, phone]]","[[love make kinda miss phone, 0.6335, 5]]"
B00M4SUKP6,[0.6369],[5],[[case]],"[[case, 0.6369, 5]]"
B00MA21398,"[-0.4215, -0.6705, 0.6953, 0.0]","[1, 1, 5, 1]","[[product, kill, charger, throw], [work, return, refund], [port, mark, insert], [broke, week]]","[[product kill charger throw, -0.4215, 1], [work return refund, -0.6705, 1], [port mark insert, 0.6953, 5], [broke week, 0.0, 1]]"
B00MEDCFBS,[0.3384],[4],"[[fit, phone]]","[[fit phone, 0.3384, 4]]"
B00MG55BLA,[0.4404],[4],[[quality]],"[[quality, 0.4404, 4]]"
B00MGJXITI,[0.8779],[5],"[[solar, panel, thin, light, make, put, backpack, make, bulky, impress, charge, smartphone, mah, battery, get, panel, solar, project, mind]]","[[solar panel thin light make put backpack make bulky impress charge smartphone mah battery get panel solar project mind, 0.8779, 5]]"
B00MK7Q6CC,[0.3384],[5],"[[pack, price, work, phone]]","[[pack price work phone, 0.3384, 5]]"
B00MPT631O,[0.7351],[5],"[[buy, daughter, birthday, hundred, bose, everyone, happy, recommend]]","[[buy daughter birthday hundred bose everyone happy recommend, 0.7351, 5]]"
B00MYZWHOG,"[0.7269, 0.9852]","[5, 5]","[[case, iphone, plus, month, get, phone, market, protective, phone, lime, green, favorite, color, give, piece, mind, look, otterbox, liking, teacher, baker, phone, case, need, belt, clip, come, case, awesome, love, everything, felt, front, plastic, part, flemsy, take, screen, protector, feel, cheap, standard, place, glass, protector, place, assemble, feel, perfect, phone], [fit, phone, price, protection, give]]","[[case iphone plus month get phone market protective phone lime green favorite color give piece mind look otterbox liking teacher baker phone case need belt clip come case awesome love everything felt front plastic part flemsy take screen protector feel cheap standard place glass protector place assemble feel perfect phone, 0.7269, 5], [fit phone price protection give, 0.9852, 5]]"
B00N1Q1RYI,[0.0],[1],"[[product, advertise, doest, file, standard, outlet, american, vehicle]]","[[product advertise doest file standard outlet american vehicle, 0.0, 1]]"
B00N28ARN2,"[0.9081, 0.0, 0.4215, 0.8934, 0.7902, 0.0, 0.3724, 0.8075, -0.611, 0.699]","[5, 5, 5, 4, 5, 5, 5, 3, 2, 5]","[[case, protect, think, removing, screen, layer, doesnt, rest, iphone, screen, push, bit, opinion, worry, crack, screen, aside, love, case], [case, year, drop, phone, time, throw, mark, case, let, phone, great, case, great, price], [work, describe, husband, us, phone, phone, life, saver], [go, otterbox], [save, buy, online, genuine], [case, look, perfect, condition, put, case, screen, protector, phone, screen, gap, allow, function, screen, end, remove, build, screen, protector, work, better], [item, arrive, time, damageproduct, state, ad], [otter, box, purchase, otter, box, protect, iphone, iphone, protect], [phone, case, recommend, otter, box, brand, phone, case, quality, protection], [star, order, case, receive, use, look, dull]]","[[case protect think removing screen layer doesnt rest iphone screen push bit opinion worry crack screen aside love case, 0.9081, 5], [case year drop phone time throw mark case let phone great case great price, 0.0, 5], [work describe husband us phone phone life saver, 0.4215, 5], [go otterbox, 0.8934, 4], [save buy online genuine, 0.7902, 5], [case look perfect condition put case screen protector phone screen gap allow function screen end remove build screen protector work better, 0.0, 5], [item arrive time damageproduct state ad, 0.3724, 5], [otter box purchase otter box protect iphone iphone protect, 0.8075, 3], [phone case recommend otter box brand phone case quality protection, -0.611, 2], [star order case receive use look dull, 0.699, 5]]"
B00NBWM0WA,[0.5719],[4],"[[daughter, love]]","[[daughter love, 0.5719, 4]]"
B00NG0F5XS,[0.886],[5],"[[fit, love]]","[[fit love, 0.886, 5]]"
B00NGZ857Q,[0.4215],[5],[[nice]],"[[nice, 0.4215, 5]]"
B00NH8Y1ZC,[0.8573],[5],"[[nice, fit, love, color]]","[[nice fit love color, 0.8573, 5]]"
B00NN4V07C,[0.9037],[4],"[[ring, look, applies, love, gold, ring, contrasting, black, iphone, thing, note, touch, id, performance, note, time, work, recommend, product, others]]","[[ring look applies love gold ring contrasting black iphone thing note touch id performance note time work recommend product others, 0.9037, 4]]"
B00NP2KF96,[0.5994],[5],"[[protection, tooawesome]]","[[protection tooawesome, 0.5994, 5]]"
B00NPCPVSQ,[0.5719],[5],"[[excellent, product, expect]]","[[excellent product expect, 0.5719, 5]]"
B00NQ493MS,[0.7541],[4],"[[case, color, get, holder, good]]","[[case color get holder good, 0.7541, 4]]"
B00NUG2H8O,[0.5719],[5],"[[perfect, meet, expectation]]","[[perfect meet expectation, 0.5719, 5]]"
B00NUXT4QA,[0.9443],[5],"[[case, look, classy, albeit, bulkier, job, get, compliment, case, bulk, wasnt, crazy, fact, remove, breaking, itor, havent, figure, isnt, make, force, use, ipod, useless, bought, light, adapter, use, apps, waze, pandora, car, drop, phone, way, wouldnt, harm, phone, place, concreterockscobblestonei, know, learn, get, case, style, phone, drop, multiple, time, past, day, vacation, country, thing, want, buy, something, cell, phone, case, dont, couple, bit, bottom, chargingheadphone, port, come, fall, phone, tact, scrapesscratchesbr, br, case, yes, break, yes, replace, itand, im, replace, case, didnt, random, ultra, case, exorbitant, price, protect, phone, avoid, replace, phonewhich, cost, case, sayinbr, br, review, product, feel, worth, purchase, dont, mind, take, case, bother, use, ipod, buy, dont, listen, radio, bulk, deal, breaker, size, iphone, force, carry, purse, wristlet, anyway]]","[[case look classy albeit bulkier job get compliment case bulk wasnt crazy fact remove breaking itor havent figure isnt make force use ipod useless bought light adapter use apps waze pandora car drop phone way wouldnt harm phone place concreterockscobblestonei know learn get case style phone drop multiple time past day vacation country thing want buy something cell phone case dont couple bit bottom chargingheadphone port come fall phone tact scrapesscratchesbr br case yes break yes replace itand im replace case didnt random ultra case exorbitant price protect phone avoid replace phonewhich cost case sayinbr br review product feel worth purchase dont mind take case bother use ipod buy dont listen radio bulk deal breaker size iphone force carry purse wristlet anyway, 0.9443, 5]]"
B00NZL8828,"[-0.0516, 0.0, 0.4927]","[1, 1, 5]","[[poor, quality, batteriescharge, doesnt, themcharger, work], [battery, crash, phone], [time]]","[[poor quality batteriescharge doesnt themcharger work, -0.0516, 1], [battery crash phone, 0.0, 1], [time, 0.4927, 5]]"
B00O8B7CP8,"[0.0, 0.9112, 0.4404, 0.8213, 0.4215]","[4, 4, 5, 4, 5]","[[want, product, met, expectation], [happy, stereo, purchase, everything, work, took, star, apps, pioneer, say, make, iphone, integrate, dont, seem, work, recommend, anyone, tight, budget, amazon, prime, price, less, buy, crutchfield, afford, money, look, apple, carplay, iphone], [stereo, dvd, playerlove, get, hd, radio], [price, radio, slow, option, sound], [nice, unit, price]]","[[want product met expectation, 0.0, 4], [happy stereo purchase everything work took star apps pioneer say make iphone integrate dont seem work recommend anyone tight budget amazon prime price less buy crutchfield afford money look apple carplay iphone, 0.9112, 4], [stereo dvd playerlove get hd radio, 0.4404, 5], [price radio slow option sound, 0.8213, 4], [nice unit price, 0.4215, 5]]"
B00OB1IOW0,"[0.4404, 0.1531, 0.4215]","[5, 4, 5]","[[time, use, ty, ty, use, loose, case], [nice], [please, purchase]]","[[time use ty ty use loose case, 0.4404, 5], [nice, 0.1531, 4], [please purchase, 0.4215, 5]]"
B00OI3C9A4,"[-0.4767, 0.5719, 0.9186]","[1, 5, 5]","[[buy, love, perfect, cover, samsung, g], [buy, nephew, sturdy, love], [item, description]]","[[buy love perfect cover samsung g, -0.4767, 1], [buy nephew sturdy love, 0.5719, 5], [item description, 0.9186, 5]]"
B00OVT2WYS,"[0.2732, 0.2228, -0.9089, 0.0, 0.6908, -0.2755, -0.0256, 0.7003, 0.9303, 0.0, 0.6486, 0.2263, 0.6249, 0.7906, 0.8204, -0.6261, -0.1027, 0.296, 0.7082]","[5, 3, 1, 1, 5, 2, 1, 5, 5, 4, 5, 3, 5, 5, 5, 1, 3, 5, 4]","[[work, gr], [perfect, workout], [work, great, thanks], [buybr, ill, try, shortbr, bike, phone, key, arm, bandbr, velcro, come, loose, bikingbr, key, fall, samsung, fall, front, face, camera, breaksbr, think, injustice, worldbr, br, ixcc, go, never, sell, anything, wont, pay, injustice], [product, work, buy, wife, velcro, closure, stay, shut, cant, use], [recommend, friend], [turn, screen, volume], [okay], [receive, today, doesnt, fit, galaxy, look, armband], [quality, product, great, price, accommodate, phone, shell], [armband, didnt, fit, arm, im, guy, velcro, awful, stay, attach, return], [samsung, galaxy, fit], [universal, fit, fit, arm], [purchase, buy, armband, motivate, buy, time, go, gym, see, people, drop, phone, treadmill, walk, couple, month, watch, phone, become, paper, weight, decide, interest, avoid, crowd, become, thembr, br, purchase, saw, pocket, key, something, want, go, gym, take, run, lock, house, love, receive, kind, material, seem, cheap, light, use, month, love], [ok], [happens, arm, band, month, half, use, make, cheap, design, durability, screen, protector, nice, strap, rip, use, kind, weight, lifting, cost], [itll, pinch, arm, im, strap, doesnt, slip, great, phone, fit, case, doesnt, seem, make, galaxy, open, hole, dont, ear, phone], [fit, samsung, case, protects, phone, fall, perspiration, great, product], [value, fast, shipment]]","[[work gr, 0.2732, 5], [perfect workout, 0.2228, 3], [work great thanks, -0.9089, 1], [buybr ill try shortbr bike phone key arm bandbr velcro come loose bikingbr key fall samsung fall front face camera breaksbr think injustice worldbr br ixcc go never sell anything wont pay injustice, 0.0, 1], [product work buy wife velcro closure stay shut cant use, 0.6908, 5], [recommend friend, -0.2755, 2], [turn screen volume, -0.0256, 1], [okay, 0.7003, 5], [receive today doesnt fit galaxy look armband, 0.9303, 5], [quality product great price accommodate phone shell, 0.0, 4], [armband didnt fit arm im guy velcro awful stay attach return, 0.6486, 5], [samsung galaxy fit, 0.2263, 3], [universal fit fit arm, 0.6249, 5], [purchase buy armband motivate buy time go gym see people drop phone treadmill walk couple month watch phone become paper weight decide interest avoid crowd become thembr br purchase saw pocket key something want go gym take run lock house love receive kind material seem cheap light use month love, 0.7906, 5], [ok, 0.8204, 5], [happens arm band month half use make cheap design durability screen protector nice strap rip use kind weight lifting cost, -0.6261, 1], [itll pinch arm im strap doesnt slip great phone fit case doesnt seem make galaxy open hole dont ear phone, -0.1027, 3], [fit samsung case protects phone fall perspiration great product, 0.296, 5], [value fast shipment, 0.7082, 4]]"
B00P0U2F80,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
B00P20JLBM,"[0.9912, 0.9669, 0.9524]","[4, 5, 5]","[[buyer, samsung, br, br, feel, difference, fewbr, appearance, course, bit, challenge, hand, get, use, place, leave, side, wifi, connection, give, problem, fumble, bit, connect, wifi, hotspot, home, gpslocationsbr, call, quality, depend, wifi, speaker, thing, galaxy, loud, range, qualitybr, think, screen, resolution, downgrade, think, look, fake, surprise, everything, tsum, tsum, fun, play, herebr, br, change, storage, space, phone, provide, gb, check, say, use, gb, space, majority, come, preloaded, apps, useless, appsbr, research, buy, gb, micro, sd, card, set, phone, preloaded, apps, dont, need, delete, apps, download, option, place, sd, card, phone, storage, save, space, apps, side, sd, card, gb, space, leave, phone, storage, good, sign, leave, gb, space, sd, cardbr, keep, mind, apps, transfer, sd, cardbr, side, note, take, phone, cant, change, battery, day, leaving, wifi, conn, use, tumblr, facebook, formore, hour, tsum, tsum, day, leaf, br, br, camera, quality, alright, thing, galaxy, worse, depend, hand, object, focus, fine, camera, reason, get, phone, price, quality, downgrade, sure, fine, daylight, sort, tripod, wont, help, grainy, look, get, cheaper, phone, sourcebr, br, phone, like, lot, twice, month, rate, phone, adjust, luckbr, br, way, price, give, phone, camera, quality, everything, fine, okay, minor, change, routine], [purchase, cheap, rubbery, screen, protector, spending, protector, hat, gummy, feel, plastic, one, didnt, use, result, scratch, time, glass, cover, feel, slick, rugged, glassbr, br, there, notch, end, suppose, proximity, sensor, way, look, flip, notch, place, bottom, doesnt, seem, effect, functionality, sensorbr, br, take, try, get, seat, underneath, doesnt, seem, impact, glass, adheres, phone, include, sticker, work, dirt, particle, cloth, make, rub, bubblesbr, br, phone, hasnt, impact, test, durability, glass, protector, job, take, brunt, force, short, hammer, blowbr, br, time, spending, money, worth, time], [product, protect, cellphone, screen, thick, interfere, touch, phone, appsbr, easy, take, second, dont, seeit, know, save, screen, lint, dirt, scratch, cracksbr, seems, use, want, buy, wont, sorry]]","[[buyer samsung br br feel difference fewbr appearance course bit challenge hand get use place leave side wifi connection give problem fumble bit connect wifi hotspot home gpslocationsbr call quality depend wifi speaker thing galaxy loud range qualitybr think screen resolution downgrade think look fake surprise everything tsum tsum fun play herebr br change storage space phone provide gb check say use gb space majority come preloaded apps useless appsbr research buy gb micro sd card set phone preloaded apps dont need delete apps download option place sd card phone storage save space apps side sd card gb space leave phone storage good sign leave gb space sd cardbr keep mind apps transfer sd cardbr side note take phone cant change battery day leaving wifi conn use tumblr facebook formore hour tsum tsum day leaf br br camera quality alright thing galaxy worse depend hand object focus fine camera reason get phone price quality downgrade sure fine daylight sort tripod wont help grainy look get cheaper phone sourcebr br phone like lot twice month rate phone adjust luckbr br way price give phone camera quality everything fine okay minor change routine, 0.9912, 4], [purchase cheap rubbery screen protector spending protector hat gummy feel plastic one didnt use result scratch time glass cover feel slick rugged glassbr br there notch end suppose proximity sensor way look flip notch place bottom doesnt seem effect functionality sensorbr br take try get seat underneath doesnt seem impact glass adheres phone include sticker work dirt particle cloth make rub bubblesbr br phone hasnt impact test durability glass protector job take brunt force short hammer blowbr br time spending money worth time, 0.9669, 5], [product protect cellphone screen thick interfere touch phone appsbr easy take second dont seeit know save screen lint dirt scratch cracksbr seems use want buy wont sorry, 0.9524, 5]]"
B00PC5N8FC,"[0.2263, 0.0, 0.9618]","[4, 3, 5]","[[say], [okay], [men, get, wallet, allow, leave, wallet, home, start, leave, pocket, make, didnt, issue, fit, case, perfect, easy, get, card, fold, cash, put, pocket, love, buy]]","[[say, 0.2263, 4], [okay, 0.0, 3], [men get wallet allow leave wallet home start leave pocket make didnt issue fit case perfect easy get card fold cash put pocket love buy, 0.9618, 5]]"
B00PCPWBL4,[0.4754],[5],"[[nice, want]]","[[nice want, 0.4754, 5]]"
B00PK2WYES,[0.6369],[5],"[[buy, sister, fell, love, ]]","[[buy sister fell love , 0.6369, 5]]"
B00Q5913QU,[0.886],[5],"[[look, perfect]]","[[look perfect, 0.886, 5]]"
B00Q5VNSN4,[0.0],[5],[[aaa]],"[[aaa, 0.0, 5]]"
B00Q8F92SC,[-0.6538],[3],"[[seems, good, quality, zipper, heavy, duty, wont, fall, apart, lot, bigger, expect, talking, phone, case, difficult, awkward, task, case, love, idea, card, phone, spot, returning, smaller]]","[[seems good quality zipper heavy duty wont fall apart lot bigger expect talking phone case difficult awkward task case love idea card phone spot returning smaller, -0.6538, 3]]"
B00QFQQ8HM,[0.8519],[5],"[[awesome, case, love, handle, work, use]]","[[awesome case love handle work use, 0.8519, 5]]"
B00QH8BWA6,"[0.6249, -0.0258, 0.9638]","[5, 4, 5]","[[instal, boat, love, bluetooth, work, awesome, stream, connect, phone, usb, access, music, stereo, use, phone, make, speaker, sound, display, look, awesome, pick, color, display, way, go, stereo, kenwood], [difficult, see, sunlight, cant, beat, price, kenwoods, car, truck, year, durability, marine, set, determine], [instal, honda, goldwing, awesome, unit]]","[[instal boat love bluetooth work awesome stream connect phone usb access music stereo use phone make speaker sound display look awesome pick color display way go stereo kenwood, 0.6249, 5], [difficult see sunlight cant beat price kenwoods car truck year durability marine set determine, -0.0258, 4], [instal honda goldwing awesome unit, 0.9638, 5]]"
B00QK5BD2I,"[0.6249, 0.6369]","[3, 4]","[[awesome, product], [length, color, downfall, get, twist, knot, rope]]","[[awesome product, 0.6249, 3], [length color downfall get twist knot rope, 0.6369, 4]]"
