9712974995,[0.6249],[4],"[[customer, service, charger, charge]]","[[customer service charger charge, 0.6249, 4]]"
B00KR9FT4Q,"[0.6249, 0.9625, 0.558, 0.6482, 0.7506, -0.7856, 0.6369, 0.4919, -0.0516, 0.4404, 0.0, -0.0137, 0.7866, 0.0, 0.5106, 0.5719, -0.1027, 0.9136, 0.0, 0.7935, 0.0516, 0.5267, 0.4927, 0.6249, 0.6249, 0.6249, 0.7906, 0.3612, 0.6908, 0.6204, 0.4404, 0.7717, 0.8176, 0.4497, 0.9641, 0.4404, -0.0134, 0.5729, 0.7227, 0.3612, 0.7003, 0.836, -0.09, -0.5994, 0.4019, 0.4641, 0.6918, -0.1729, 0.6369]","[5, 5, 4, 5, 5, 4, 5, 1, 5, 4, 5, 4, 4, 5, 5, 5, 2, 5, 2, 3, 2, 5, 5, 5, 5, 5, 5, 1, 4, 5, 5, 5, 5, 4, 5, 4, 1, 5, 5, 5, 5, 5, 4, 5, 4, 5, 2, 4, 5]","[[met, expectation], [follow, instruction, battery, problem, discharge, recharge, couple, time, battery, seem, forever, excellent, battery], [get, pay], [phone, still, get], [replacement, battery], [charge, direction, well, life, battery, seem, charge, faster, replacement, part, price], [last, day, night, d], [couple, month, work, mebr, br, screen, brightness, bar, average, day, regular, phone, usage, battery, drop, plug, charger, bedtime, longest, stretch, vacation, use, text, call, email, go, day, charge, battery, drop, im, sure, stretch, day, travel, charge, airplane, mode, watch, hour, movie, flight, power, drop, fullbr, br, cant, comment, charge, plug, bedtime, wake, charge, phone, br, br, performance, battery, consistent, usage, carry, power, bank, case], [powerfullybr, heavier], [work, everything, fine], [seems, ok, month, usage, rd, party, replacement, battery, go, weeks, usage, quality, product, hesitate, recommend], [please, performance, say, better, oem], [follow, recommend, time, use, battery, chargingdischarging, life, battery, hold, charge, glad, purchase, socalled, samsung, original, purchase], [battery, dont, longer, use, battery, take, battery, replace, galaxy, sgh, phone], [work, far, hold, charge, finger, cross], [hesitant, buy, phone, battery, amazon, hearing, people, disappoint, purchase, thing, work, far, battery, dying, halfway, day, usage, end, day, ive, week, think, say, use, battery, seal, battery, couldnt, notice, difference, seem, click, place, way, im, go, dunk, purpose, couldnt, say, compromise, waterproof], [look, battery, look, awesome], [worry, far, use, week, hold, charge], [problem], [work, fine, see, improvement, standard, samsung, battery], [work, great], [get, job, done], [get, samsung, battery, keep, deceive, decide, go, brand, see, well, wasnt, battery, brand, isnt], [replacement, fit, follow, instruction, deplete, battery, time, recharge, maximum, charge, time], [fit, life, longer], [work, fine], [seems, little, battery, usage, oem, battery, let, run, couple, cycle, hope, improves], [seems, stock, battery], [factory, battery, junk, anything, better, comment, shouldnt, take, fact, ravpower, bring, phone, life, battery, life, better, least, ive, battery, week, time, tell], [work, oem, samsung, battery, grant, near, year, battery, deplete, battery, charge, way, drain, pm, work, light, usage, phone, browse, online, lunch, stream, ravpower, battery, thing, battery, drain, rate, pm, thats, change, phone, work, swap, battery, ive, issue, charge, oem, charger, accessory, charger, car, computer, cradle, opt, brand, amazon, felt, well, go, battery, company, put, name, product, risk, get, quality, knockoff, samsung, battery, month, use, im, happy, decisionbr, br, purchase, backup, battery, go, disneyland, world, drainage, pm, pm, airplane, mode, location, service, usage, camera, workhorse, primary, battery, wasnt, upgrade, phone, month, id, purchase, replace, oem], [work, difference], [bottom, battery, kind, papery, end, cap, fall, use, buy, battery, month, half, lose, end, cap, implication, battery, tall, fit, phone, phone, subject, die, loos, contact, phone, contact, point, battery, loos, power, pull, battery, find, endcap, able, back, havent, try, want, nonoem, battery, decent, battery, yes, seller, samsung, battery, sell, counterfeit, fix, design, problem, otherwise, great, substitute, oem, battery], [battery, go, order, fianc, work, charge, battery, last, day, thats, usage, need, price], [battery, come, seem, work, hold, charge, longer], [work, great, last, oem, battery], [work, spare, port, charge, extra, battery, doesnt, work, samsung, charger, deal], [product, service], [excellent, work, well, ever], [work, great, dont, notice, extra, amp, hour, work], [mah, provide, mah, standard, samsung, galaxy, battery, ive, see, difference, product, standard, oem, battery, nevertheless, ravpower, work, provide, life, galaxy, problem, update, battery, begin, swell, year, im, suppose, year, life, battery, taken, battery, service, order, ravpower], [work, hold, charge], [work, great, battery, last, longer], [think, hold, charge, longer, battery, waste, money], [product, work, battery, life, seem, stay, time, use, week, happy, purchase], [battery, go, hill, fast, buy, replacement, battery, work, fine, week, start, notice, decline, power, use, phone, somedays, charge, battery, twice, day, battery], [battery, held, charge, surprise, awesome, battery, give, experience, battery, order, different, company, turn, warp, purchase, decision, reorder, need], [work, advertise, replacement, stock, battery], [price, buy], [doesnt, hold, charge]]","[[met expectation, 0.6249, 5], [follow instruction battery problem discharge recharge couple time battery seem forever excellent battery, 0.9625, 5], [get pay, 0.558, 4], [phone still get, 0.6482, 5], [replacement battery, 0.7506, 5], [charge direction well life battery seem charge faster replacement part price, -0.7856, 4], [last day night d, 0.6369, 5], [couple month work mebr br screen brightness bar average day regular phone usage battery drop plug charger bedtime longest stretch vacation use text call email go day charge battery drop im sure stretch day travel charge airplane mode watch hour movie flight power drop fullbr br cant comment charge plug bedtime wake charge phone br br performance battery consistent usage carry power bank case, 0.4919, 1], [powerfullybr heavier, -0.0516, 5], [work everything fine, 0.4404, 4], [seems ok month usage rd party replacement battery go weeks usage quality product hesitate recommend, 0.0, 5], [please performance say better oem, -0.0137, 4], [follow recommend time use battery chargingdischarging life battery hold charge glad purchase socalled samsung original purchase, 0.7866, 4], [battery dont longer use battery take battery replace galaxy sgh phone, 0.0, 5], [work far hold charge finger cross, 0.5106, 5], [hesitant buy phone battery amazon hearing people disappoint purchase thing work far battery dying halfway day usage end day ive week think say use battery seal battery couldnt notice difference seem click place way im go dunk purpose couldnt say compromise waterproof, 0.5719, 5], [look battery look awesome, -0.1027, 2], [worry far use week hold charge, 0.9136, 5], [problem, 0.0, 2], [work fine see improvement standard samsung battery, 0.7935, 3], [work great, 0.0516, 2], [get job done, 0.5267, 5], [get samsung battery keep deceive decide go brand see well wasnt battery brand isnt, 0.4927, 5], [replacement fit follow instruction deplete battery time recharge maximum charge time, 0.6249, 5], [fit life longer, 0.6249, 5], [work fine, 0.6249, 5], [seems little battery usage oem battery let run couple cycle hope improves, 0.7906, 5], [seems stock battery, 0.3612, 1], [factory battery junk anything better comment shouldnt take fact ravpower bring phone life battery life better least ive battery week time tell, 0.6908, 4], [work oem samsung battery grant near year battery deplete battery charge way drain pm work light usage phone browse online lunch stream ravpower battery thing battery drain rate pm thats change phone work swap battery ive issue charge oem charger accessory charger car computer cradle opt brand amazon felt well go battery company put name product risk get quality knockoff samsung battery month use im happy decisionbr br purchase backup battery go disneyland world drainage pm pm airplane mode location service usage camera workhorse primary battery wasnt upgrade phone month id purchase replace oem, 0.6204, 5], [work difference, 0.4404, 5], [bottom battery kind papery end cap fall use buy battery month half lose end cap implication battery tall fit phone phone subject die loos contact phone contact point battery loos power pull battery find endcap able back havent try want nonoem battery decent battery yes seller samsung battery sell counterfeit fix design problem otherwise great substitute oem battery, 0.7717, 5], [battery go order fianc work charge battery last day thats usage need price, 0.8176, 5], [battery come seem work hold charge longer, 0.4497, 4], [work great last oem battery, 0.9641, 5], [work spare port charge extra battery doesnt work samsung charger deal, 0.4404, 4], [product service, -0.0134, 1], [excellent work well ever, 0.5729, 5], [work great dont notice extra amp hour work, 0.7227, 5], [mah provide mah standard samsung galaxy battery ive see difference product standard oem battery nevertheless ravpower work provide life galaxy problem update battery begin swell year im suppose year life battery taken battery service order ravpower, 0.3612, 5], [work hold charge, 0.7003, 5], [work great battery last longer, 0.836, 5], [think hold charge longer battery waste money, -0.09, 4], [product work battery life seem stay time use week happy purchase, -0.5994, 5], [battery go hill fast buy replacement battery work fine week start notice decline power use phone somedays charge battery twice day battery, 0.4019, 4], [battery held charge surprise awesome battery give experience battery order different company turn warp purchase decision reorder need, 0.4641, 5], [work advertise replacement stock battery, 0.6918, 2], [price buy, -0.1729, 4], [doesnt hold charge, 0.6369, 5]]"
B00KTVCNIW,"[0.9749, 0.6124]","[5, 5]","[[thing, iphone, look, gym, guess, read, see, fit, iphone], [use, everyday, head, help, hand, help, forget, phone, machine, work, armband, clean, pocket, place, key, membership, card, armband, adjust, lager, arm, phone, use, touch, doesnt, effect, usegot, discount, price, exchange, honest, option]]","[[thing iphone look gym guess read see fit iphone, 0.9749, 5], [use everyday head help hand help forget phone machine work armband clean pocket place key membership card armband adjust lager arm phone use touch doesnt effect usegot discount price exchange honest option, 0.6124, 5]]"
B00KY6P528,"[0.8151, 0.8519]","[3, 5]","[[itits, job, great, color], [nice, look, super, cute, gold, htc, m, thing, seam, hadnt, sand, nothing, something, picking, button, work, fine, case, case, prove, use, month, get, notice, discoloration, ew]]","[[itits job great color, 0.8151, 3], [nice look super cute gold htc m thing seam hadnt sand nothing something picking button work fine case case prove use month get notice discoloration ew, 0.8519, 5]]"
B00L1HUC5E,[0.0],[2],"[[battery, didnt, seam, longer, factory, supper, bulky, size, extra, hour, usage]]","[[battery didnt seam longer factory supper bulky size extra hour usage, 0.0, 2]]"
B00L4EZ614,[0.6115],[5],"[[niece, love, phone, case]]","[[niece love phone case, 0.6115, 5]]"
B00L5KRU4S,[0.0],[2],"[[garbage, wouldnt, hold, punch, ]]","[[garbage wouldnt hold punch , 0.0, 2]]"
B00LL3HQGQ,"[0.6682, 0.8516, 0.9175, 0.8402, 0.8212, 0.4404, 0.5719, -0.2878, 0.2263]","[5, 5, 5, 5, 5, 5, 5, 1, 3]","[[case, purchase, case, want, see, get, dirty, wash, case, soap, water, case, use, lightning, plug, car, mb, take, case, give, ten, star, repurchase, case, time, keep, hand, sister, price, quality, superior, case, ive, buy, iphone, include, bought, apple, store], [case], [fit, look, protect, iphone, drop, purchase, complain], [okay, nothing, spectacular], [size, sent, report, iphone, attempt, contact, seller, work, find, fit, buy, others, like, order, family, member, think, order, fit, minus, dollar, contact, info, notify, seller], [grippy, sticky, clear, see, custom, skin, protective, case, thick, protective, alanis, songlol, recommend, case], [perfect, use], [case, recommend, streamline, take, design, iphone], [dont, review, say, go, bigcolorfulnovelty, case, lol, case, give, sleek, sexy, add, amount, grip, phone, get, today, withstand, bump, fall, im, go]]","[[case purchase case want see get dirty wash case soap water case use lightning plug car mb take case give ten star repurchase case time keep hand sister price quality superior case ive buy iphone include bought apple store, 0.6682, 5], [case, 0.8516, 5], [fit look protect iphone drop purchase complain, 0.9175, 5], [okay nothing spectacular, 0.8402, 5], [size sent report iphone attempt contact seller work find fit buy others like order family member think order fit minus dollar contact info notify seller, 0.8212, 5], [grippy sticky clear see custom skin protective case thick protective alanis songlol recommend case, 0.4404, 5], [perfect use, 0.5719, 5], [case recommend streamline take design iphone, -0.2878, 1], [dont review say go bigcolorfulnovelty case lol case give sleek sexy add amount grip phone get today withstand bump fall im go, 0.2263, 3]]"
B00LLP5TOK,[0.6249],[5],"[[protection, drop, kid]]","[[protection drop kid, 0.6249, 5]]"
B00LMJVOQ2,"[0.0, 0.9238, 0.3412, 0.4019, 0.9841]","[1, 5, 1, 5, 5]","[[love, speaker, box, charge, use, install, setup, daytoday, connect, playing, music, breeze, didnt, volume, button, ive, get, use, multiple, use, button], [bluetooth, speaker, purchase, brand, sound, quality, amaze, phone, feature, add, bonus, recommend, speaker, work, use, instruction, manuel, include, customer, service, dp, enterprise, take, pride, product, future, get, business], [product, flat, doesnt, work, suction, cup, doesnt, suck, tile, pool, cant, anything, water], [didnt, work, return], [work, great, waverunner, plenty, loud, driver, passenger, difficulty, hearing, throttle]]","[[love speaker box charge use install setup daytoday connect playing music breeze didnt volume button ive get use multiple use button, 0.0, 1], [bluetooth speaker purchase brand sound quality amaze phone feature add bonus recommend speaker work use instruction manuel include customer service dp enterprise take pride product future get business, 0.9238, 5], [product flat doesnt work suction cup doesnt suck tile pool cant anything water, 0.3412, 1], [didnt work return, 0.4019, 5], [work great waverunner plenty loud driver passenger difficulty hearing throttle, 0.9841, 5]]"
B00M6JFTCC,[0.0],[5],[[excelente]],"[[excelente, 0.0, 5]]"
B00MFL56BA,[0.3724],[5],"[[break, clumsy, fit, drop, phone]]","[[break clumsy fit drop phone, 0.3724, 5]]"
B00MG31706,[0.7814],[2],"[[rugged, canvas, belt, clip, husband, order, perfect, fit, cell, phone, good, job, stitch, loosen, case, buy, look, photo, amazoncom, arrive, look, case, phonebr, case, look, online, ordering, arrive, variety, phone, fit, ok, husband, think, orderingbr, br, wont, order, company]]","[[rugged canvas belt clip husband order perfect fit cell phone good job stitch loosen case buy look photo amazoncom arrive look case phonebr case look online ordering arrive variety phone fit ok husband think orderingbr br wont order company, 0.7814, 2]]"
B00MH5QNW0,[0.9673],[5],"[[unit, problem, arrive, disconnect, charge, source, complain, output, overload, rma, return, fix, unit, work, device, service, nice]]","[[unit problem arrive disconnect charge source complain output overload rma return fix unit work device service nice, 0.9673, 5]]"
B00MJ72CAS,[0.9769],[5],"[[upgrade, samsung, note, purchase, caseholster, use, year, htc, dna, design, change, longer, like, feel, case, return, search, replacement, lead, case, feel, hand, snap, holster, belt, clip, nice, well, cost, case, return, use, phone, beside, clock, file, bump, keep, stand, close, bit, swipe, nail, file, work]]","[[upgrade samsung note purchase caseholster use year htc dna design change longer like feel case return search replacement lead case feel hand snap holster belt clip nice well cost case return use phone beside clock file bump keep stand close bit swipe nail file work, 0.9769, 5]]"
B00MQF1VJG,"[0.5267, 0.4404, 0.4144]","[3, 5, 5]","[[package, come, faster, think, buy, kid, seem], [guess, get, pay, sound, listening, great, talk, caller, problem, start, fall, apart, ear, bud, fall, part, talk, fall, string, bud], [work, good]]","[[package come faster think buy kid seem, 0.5267, 3], [guess get pay sound listening great talk caller problem start fall apart ear bud fall part talk fall string bud, 0.4404, 5], [work good, 0.4144, 5]]"
B00N28AVSS,"[0.6369, 0.6369, 0.5719, 0.8016, 0.7906, 0.6249, 0.802, 0.8316, 0.4588, 0.4491, 0.8873, 0.6249, 0.8122, 0.8519]","[5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5]","[[protection, cute], [condition, excellent, case], [look, picture, fit, phone, perfect, hate, bulky, case, end, phone, isnt, make, phone, look, well], [drop, phone, time, asphalt, tile, etc, phone, protect, notice, crack, case, great, case], [purchase, ], [nice, look, phone], [get, case, today, wry, nice, price, order, company, againbr, thanks], [color], [case, bulky, offer, protection], [phone, case, drop, phone, time, perfect, condition, case, bit, dirty, pink, show, dirt, easy, buy, protect, phone, case, get, dirty, dont, mind], [excellent]]","[[protection cute, 0.6369, 5], [condition excellent case, 0.6369, 5], [look picture fit phone perfect hate bulky case end phone isnt make phone look well, 0.5719, 5], [drop phone time asphalt tile etc phone protect notice crack case great case, 0.8016, 5], [purchase , 0.7906, 5], [nice look phone, 0.6249, 5], [get case today wry nice price order company againbr thanks, 0.802, 5], [color, 0.8316, 5], [case bulky offer protection, 0.4588, 4], [phone case drop phone time perfect condition case bit dirty pink show dirt easy buy protect phone case get dirty dont mind, 0.4491, 5], [excellent, 0.8873, 5], [, 0.6249, 5], [, 0.8122, 5], [, 0.8519, 5]]"
B00N3D2OAA,[0.2263],[2],"[[order, pink, sparkle, gold, buckle, receive, pink, buckle]]","[[order pink sparkle gold buckle receive pink buckle, 0.2263, 2]]"
B00N5BJ19W,[0.4767],[5],"[[case, fit, phone, rid, phone, drop, face, street, survive, damage, impress]]","[[case fit phone rid phone drop face street survive damage impress, 0.4767, 5]]"
B00N8VT4FK,"[0.7783, 0.0, 0.9251, -0.1796, 0.7884, -0.088, -0.7344, 0.4019, 0.8126]","[5, 5, 5, 5, 5, 5, 1, 5, 5]","[[order, eliminate, usb, charge, cable, decide, get, shorter, cable, connector, end, build, sturdy, please, way, help, reduce, clutter], [anker, connector, cable, make, terminal, right, insulation, material, quality], [quality, micro, usb, cable, use, connection, microcontrollers, power, data, problem, cable, describe], [product, describe, ft, length, allow, device, laptop, usb, tangle, im, become, fan, anker, product], [impress, compact, bought, samsung, cable, get, end, wire, expose, test, use, anker, nd, gen, astro, e, mah, charger, galaxy, cut, charge, time, use, battery, please, use, cable, bit, rock, solid, cable, perfect, travel, maker, battery, slip, phone, battery, cable, pocket, trouble], [work, intend, product, problem], [work, expect], [buy, june, august, cable, work, replacement, set, cable, purchase, purchase, product], [perfect, port, charger, make, go, charge, station, pocket, charger, foot, cord, overkill, size, plug, connection, end]]","[[order eliminate usb charge cable decide get shorter cable connector end build sturdy please way help reduce clutter, 0.7783, 5], [anker connector cable make terminal right insulation material quality, 0.0, 5], [quality micro usb cable use connection microcontrollers power data problem cable describe, 0.9251, 5], [product describe ft length allow device laptop usb tangle im become fan anker product, -0.1796, 5], [impress compact bought samsung cable get end wire expose test use anker nd gen astro e mah charger galaxy cut charge time use battery please use cable bit rock solid cable perfect travel maker battery slip phone battery cable pocket trouble, 0.7884, 5], [work intend product problem, -0.088, 5], [work expect, -0.7344, 1], [buy june august cable work replacement set cable purchase purchase product, 0.4019, 5], [perfect port charger make go charge station pocket charger foot cord overkill size plug connection end, 0.8126, 5]]"
B00N9MIZ7G,[0.0],[1],"[[crack, week]]","[[crack week, 0.0, 1]]"
B00N9Z5Z80,"[-0.3412, 0.6249, -0.572, 0.3252, 0.3716, 0.7466, 0.9136, -0.2263, 0.5859, 0.6908, 0.6908, 0.8505, -0.7572, 0.1513, -0.5789, 0.8516, 0.8225, 0.0, 0.7615, 0.4993]","[1, 5, 3, 1, 5, 1, 5, 1, 2, 4, 5, 5, 1, 4, 5, 5, 5, 4, 5, 5]","[[use, item, month, work, protection, get, charge, case, phone, go, worry, battery, life, phone, slide, pocket, texture, slide, pocket, problem], [take, deliver, happy, say, use, great, price], [thing, didnt, work, waste, money], [run, battery, lifesaver], [case, price, wont, disapointed, love, case, good, buy], [case, come, packaging, battery, charge, phone, stay, charge, thick, doesnt, take, phone, problem, press, volume, button, struggle, time, try, case, price], [quality, charge, case, purchase, quality, worth], [college, gift, sister, dont, knowbr, think, like], [love, battery, case, second, battery, charge, battery, case, time, get, light, leave, battery, case, seem, guess, go, show, case, different, dont, know, get], [item, come, time, work, go, spend, verizon, item], [comunication, nice, cover, good, response], [stop, charge, day], [make], [work, great, starting, chip, edge, face, phone], [order, charge, phone, case, guarantee, receive, day, seems, work, fine, charge, light, indicate, charge, indicate, charge, indicate, charge, try, return, function, item, return, go, get, like, work, assume, kind, defect, try, order, case, iphone, price, happy, elivebuy, stand, product, find, company, recommend, product, company], [people, hear, case, charge, remember, disconnect, device, attempt, answer, call, besides, unit, provide, charge, phone, consider, im, plug, im, field, lot, power, source], [true, buck], [thing, keep, charge, go, love, texture, product, slip, resistant, draw, take, charge, phone, phone, phone, phone, reach, maximum, charge, hour], [hii, receive, product, monday, cover, keep, fall, disappoint]]","[[use item month work protection get charge case phone go worry battery life phone slide pocket texture slide pocket problem, -0.3412, 1], [take deliver happy say use great price, 0.6249, 5], [thing didnt work waste money, -0.572, 3], [run battery lifesaver, 0.3252, 1], [case price wont disapointed love case good buy, 0.3716, 5], [case come packaging battery charge phone stay charge thick doesnt take phone problem press volume button struggle time try case price, 0.7466, 1], [quality charge case purchase quality worth, 0.9136, 5], [college gift sister dont knowbr think like, -0.2263, 1], [love battery case second battery charge battery case time get light leave battery case seem guess go show case different dont know get, 0.5859, 2], [item come time work go spend verizon item, 0.6908, 4], [comunication nice cover good response, 0.6908, 5], [stop charge day, 0.8505, 5], [make, -0.7572, 1], [work great starting chip edge face phone, 0.1513, 4], [order charge phone case guarantee receive day seems work fine charge light indicate charge indicate charge indicate charge try return function item return go get like work assume kind defect try order case iphone price happy elivebuy stand product find company recommend product company, -0.5789, 5], [people hear case charge remember disconnect device attempt answer call besides unit provide charge phone consider im plug im field lot power source, 0.8516, 5], [true buck, 0.8225, 5], [thing keep charge go love texture product slip resistant draw take charge phone phone phone phone reach maximum charge hour, 0.0, 4], [hii receive product monday cover keep fall disappoint, 0.7615, 5], [, 0.4993, 5]]"
B00NB38UIM,[0.6249],[5],"[[work, great]]","[[work great, 0.6249, 5]]"
B00NFYL4CQ,[0.8591],[5],"[[case, caseology, look, fit]]","[[case caseology look fit, 0.8591, 5]]"
B00NHZYUNS,[0.9751],[4],"[[feel, phone, protect, thats, tradeoff, protection, way, curve, side, make, hold, finger, please, color, give, star, bully, live, consider, protection, ]]","[[feel phone protect thats tradeoff protection way curve side make hold finger please color give star bully live consider protection , 0.9751, 4]]"
B00NMQO7VM,[0.2684],[1],"[[get, problem, place, screen, protector, end, stretch, edge, try, fix, gel, phone, mute, speaker, get, alcoholdipped, qtip, dont, wast, money]]","[[get problem place screen protector end stretch edge try fix gel phone mute speaker get alcoholdipped qtip dont wast money, 0.2684, 1]]"
B00NOR42QY,[0.6249],[5],"[[work, great, go]]","[[work great go, 0.6249, 5]]"
B00NQB9XJ4,[0.8519],[5],"[[value, know, direction]]","[[value know direction, 0.8519, 5]]"
B00NTTMJ44,[0.5302],[5],[[love]],"[[love, 0.5302, 5]]"
B00O4ACFZ0,"[0.0, 0.7776]","[2, 2]","[[star, shipment, case, cheap, nobody, hear, pic, come, toss, belongs], [case, arrive, charge, port, door, defeating, purpose, bought, exact, case, seller, turn, onoff, volume, remove, phone, casebr, br, love, version, case, complaint, hop, fluke, seller, resolve, issue]]","[[star shipment case cheap nobody hear pic come toss belongs, 0.0, 2], [case arrive charge port door defeating purpose bought exact case seller turn onoff volume remove phone casebr br love version case complaint hop fluke seller resolve issue, 0.7776, 2]]"
B00O5EU7PK,"[0.0, 0.886]","[2, 5]","[[phone, love, fm, radio, feauture, work, advertise, use, consumer, cellular, gsm, network, work], [expect]]","[[phone love fm radio feauture work advertise use consumer cellular gsm network work, 0.0, 2], [expect, 0.886, 5]]"
B00O66GFPS,[0.9712],[4],"[[star, coz, better, strap, love, case, nice, elegant, look, protects, order, saturday, night, receive, monday, afternoon, thank]]","[[star coz better strap love case nice elegant look protects order saturday night receive monday afternoon thank, 0.9712, 4]]"
B00O7G4YD2,[0.5574],[5],[[product]],"[[product, 0.5574, 5]]"
B00OC4FN16,[-0.1531],[1],"[[case, start, fall, apart, edge]]","[[case start fall apart edge, -0.1531, 1]]"
B00OGUEB8M,[0.9272],[4],"[[useless, display, eink, digital, lcd, dont, get, product, flaw, capability, compensate, inconvenience, use, thing, worth, happy, day, thing, light, area, eye, expect, night, cant, see, pull, phone, viola, tell, time, detail, inconvenience, rat, product, thing]]","[[useless display eink digital lcd dont get product flaw capability compensate inconvenience use thing worth happy day thing light area eye expect night cant see pull phone viola tell time detail inconvenience rat product thing, 0.9272, 4]]"
B00OHHTJ40,[0.0258],[1],"[[worse, replace, save, money]]","[[worse replace save money, 0.0258, 1]]"
B00P550ILQ,[-0.9245],[1],"[[wouldnt, give, star, nothing, picture, show, color, look, screen, print, glue, cheap, piece, sht, case, shine, glittery, anchor, picture, show, disappoint, purchase, thought, get, deal, cant, give, case, back, bulky, otterbox, picture, take, justice, dull, glitter, baby, blue, break, side, power, key, break]]","[[wouldnt give star nothing picture show color look screen print glue cheap piece sht case shine glittery anchor picture show disappoint purchase thought get deal cant give case back bulky otterbox picture take justice dull glitter baby blue break side power key break, -0.9245, 1]]"
B00P5RIB2C,[0.6369],[5],[[case]],"[[case, 0.6369, 5]]"
B00PC3F4J2,"[0.0, 0.8173]","[5, 5]","[[pen, receive, compliment, pen, stylus, time, recommend, self, illbr], [pen, write, got, semester, go, year]]","[[pen receive compliment pen stylus time recommend self illbr, 0.0, 5], [pen write got semester go year, 0.8173, 5]]"
B00PCXLX4M,[-0.296],[1],[[comment]],"[[comment, -0.296, 1]]"
B00PEHP8LK,[0.6249],[5],[[product]],"[[product, 0.6249, 5]]"
B00PGHRWAS,"[0.7717, -0.4767, 0.4404, -0.4215, -0.4404, 0.6249, 0.0, 0.7351, -0.7351, 0.6771, -0.631, 0.5994, -0.6007, 0.6115]","[5, 1, 4, 1, 1, 5, 5, 5, 1, 5, 1, 5, 1, 5]","[[perfect, fit, iphone, c], [come, crack], [love], [sight, love, thank], [item, recieved, break], [product], [take, time, cover, break, return, break, product], [work, great, keeping, break, screen, piece], [broke, receive], [didnt, receive, broke], [product, come, shatter, mailer], [get, damage, item], [happy, get, protection, phone], [quality]]","[[perfect fit iphone c, 0.7717, 5], [come crack, -0.4767, 1], [love, 0.4404, 4], [sight love thank, -0.4215, 1], [item recieved break, -0.4404, 1], [product, 0.6249, 5], [take time cover break return break product, 0.0, 5], [work great keeping break screen piece, 0.7351, 5], [broke receive, -0.7351, 1], [didnt receive broke, 0.6771, 5], [product come shatter mailer, -0.631, 1], [get damage item, 0.5994, 5], [happy get protection phone, -0.6007, 1], [quality, 0.6115, 5]]"
B00PQV0N50,[0.6124],[4],"[[case, fit, expect]]","[[case fit expect, 0.6124, 4]]"
B00PR9XC1I,"[0.4404, -0.9001]","[3, 1]","[[get, screen, protector, week, keep, pocket, case, fit], [iphone, week, case, slip, short, sit, fell, feet, offer, protection, shatter, screen, grade, protection, avoid, otterbox, something, shattering]]","[[get screen protector week keep pocket case fit, 0.4404, 3], [iphone week case slip short sit fell feet offer protection shatter screen grade protection avoid otterbox something shattering, -0.9001, 1]]"
B00PRM76AI,"[0.5719, 0.0]","[5, 2]","[[excellent], [cover, fade, deteriorate, month]]","[[excellent, 0.5719, 5], [cover fade deteriorate month, 0.0, 2]]"
B00PSSTGYU,[0.6249],[5],"[[need, phone, privacy]]","[[need phone privacy, 0.6249, 5]]"
B00PV0M76Y,[0.6249],[4],"[[price, shippingthank]]","[[price shippingthank, 0.6249, 4]]"
B00PV6JPH2,"[0.7003, 0.4404, 0.0, 0.7408, 0.765, 0.765, 0.8316, 0.4215, 0.907]","[1, 2, 5, 5, 3, 5, 5, 4, 4]","[[zero, star, break, super, product], [nice, classy], [get, case, fell, love, provide, anazing, coverage, fit, phone, day, paint, begin, chip, yesterday, metal, frame, case, broke, place, case, last, month, set, case, pay, half, pay, last, longer], [case, perfect, look, plus, fast, delivery], [case, great, fit, perfect], [fit, great, color, part, case, get, damage, protect, note], [item, expect], [nice]]","[[zero star break super product, 0.7003, 1], [nice classy, 0.4404, 2], [get case fell love provide anazing coverage fit phone day paint begin chip yesterday metal frame case broke place case last month set case pay half pay last longer, 0.0, 5], [case perfect look plus fast delivery, 0.7408, 5], [case great fit perfect, 0.765, 3], [fit great color part case get damage protect note, 0.765, 5], [item expect, 0.8316, 5], [nice, 0.4215, 4], [, 0.907, 4]]"
B00PVM0UKW,[0.6249],[5],[[product]],"[[product, 0.6249, 5]]"
B00PY16H2K,[-0.5849],[1],"[[quality, couldnt, use, week]]","[[quality couldnt use week, -0.5849, 1]]"
B00PYWQ7QK,[-0.34],[3],"[[sim, card, error]]","[[sim card error, -0.34, 3]]"
B00PYWQA8K,"[0.2382, 0.7579]","[4, 5]","[[ill, go, phone, love, windows, phone, blu, great, product, fast, ship, item, describe], [need, speed]]","[[ill go phone love windows phone blu great product fast ship item describe, 0.2382, 4], [need speed, 0.7579, 5]]"
B00PZJA6C8,[-0.2732],[1],"[[lineup, phone, result, use, camera, sound, block, case]]","[[lineup phone result use camera sound block case, -0.2732, 1]]"
B00Q9S2AJQ,[0.7391],[2],"[[okay, price, sound, good, charge, turn, turn]]","[[okay price sound good charge turn turn, 0.7391, 2]]"
B00QEQX75O,[0.8555],[5],"[[wife, love, well, carry, purse, n, phone, card, r, part, case, make, hold, stuff, shop]]","[[wife love well carry purse n phone card r part case make hold stuff shop, 0.8555, 5]]"
