B0002SYC5O,"[0.3612, 0.1531]","[5, 3]","[[get, time, expect, thank, product, describe], [ok, way, lot, extension]]","[[get time expect thank product describe, 0.3612, 5], [ok way lot extension, 0.1531, 3]]"
B00J2G2XTY,"[0.5927, 0.6249, 0.3384, 0.8775, 0.6765, -0.0757, 0.9299, 0.8316, 0.4588, 0.765, -0.1027, 0.9367, 0.9231, 0.9203, 0.8126, 0.8519, -0.0811, 0.8293, 0.6478, 0.4939, 0.6249, 0.6249, -0.8364, -0.0603, 0.9314]","[5, 5, 5, 3, 5, 1, 4, 5, 2, 5, 2, 2, 5, 4, 5, 5, 3, 5, 5, 3, 5, 5, 1, 1, 3]","[[meh, way, iphone, phone, move, screen, wont, flush, phone, make, awkward, use, whats, awkward, open, camera, bottom, phone, flip, home, button, wide, plastic, clip, use, camera, get, cover, edging, youre, look, bag, keep, phone, credit, card, youre, pool, whatever, suppose, sufficient, dont, expect, fit, glove, use, phone, tho], [side, user, take, picture], [buy, go, trip, mexico, work, day, fine, water, somehow, get, day, underwater, let, phone, take, picture, video, think, type, plastic, use, use, front, face, camera, cant, expect], [time, use, item, seal, broke, lock, became, loose, brokebr, item, year, warranty, anyone, know, get, exchangedbr, br, thanks], [product, buy, go, vacation, florida, purchase, make, rain, florida, course, beach, get, plenty, use, thing, didnt, breaker, great, product], [work, great, price, quality], [work, beach, picture], [use, multiple, time, keep, water, clip, keep, bag, shut, easy, sometimes, use, something, bag, otherwise, fit, iphone, allow, use, phone, water, compare, aqua, pak, aqua, pak, better, cheaper, alternative, us, bag, seem, fall, apart, clip, come, keep, seal, fit, bag, use, clip, pinch, open, bag, close, work], [say, noteit, float, look, floating, case, need, look, think, guess, assume, hold, product, make, claim, say, price, product], [product, work, promise], [work, buy, case, put, phone, addition, case, didnt, work, take, water, hawaii, san, diego, la, etc, work, come, water, get, foggy, inside, change, temp, clear, take, picture, video, br, thing, didnt, sand, get, thing, seal, clean, hassle, cuz, get, stick, get, phone], [awesome, work, took, vacation, boy, cousin, borrow, incident, try, phone, case, pool, issue, keep, didnt, leave, pool, longjust, case], [work, boating, breeze], [part, hustle, put, phone, take], [test, leave, deep, water, min, tissue, come, drop, water, inside, time, case, sure, purchase, option, havent, try, take, picture, thats, star, recommend, item, seem, type, phone, fit, hereim, gonna, use, ipod, touch, g, case, n, there, room, put, case, confuse, look, email, instruction, wish, come, paper, instruction, hey, let, save, tree], [perfect, comunication, excellent, good], [pouch, order, leak, bought, week, kauai, ship, daughter, ipod, replacement, water, damage, lose, vacation, picture, wouldnt, recommend, use, direct, day, leak], [test, put, iphone, leak, time, got, air, fine, make, time, use, price, time, use, threw, mine, trip, hawaii], [use, river, great, quality, photo, perfect], [let, buy, case, safety, float, trip, test, product, instruct, make, wasnt, everything, seem, fine, went, trip, half, way, trip, look, phone, inch, water, inside, case, phone, wont, turn, camera, lense, fog, im, devestated, go, trouble, see, carrier, cover, damage, case, fault], [use, trip, mexico, take, way, swimming, ocean, hidden, beach, puerto, vallarta, get, wet, try, hold, phone, water, submerge, period, time, suggest, cheap, case, isnt, work, fill, case, toilet, paper, close, submerge, sink, time, tp, wet, know, safe, put, iphone, take, ocean], [use, water, write], [quality, use, take, underwater, video]]","[[meh way iphone phone move screen wont flush phone make awkward use whats awkward open camera bottom phone flip home button wide plastic clip use camera get cover edging youre look bag keep phone credit card youre pool whatever suppose sufficient dont expect fit glove use phone tho, 0.5927, 5], [side user take picture, 0.6249, 5], [buy go trip mexico work day fine water somehow get day underwater let phone take picture video think type plastic use use front face camera cant expect, 0.3384, 5], [time use item seal broke lock became loose brokebr item year warranty anyone know get exchangedbr br thanks, 0.8775, 3], [product buy go vacation florida purchase make rain florida course beach get plenty use thing didnt breaker great product, 0.6765, 5], [work great price quality, -0.0757, 1], [work beach picture, 0.9299, 4], [use multiple time keep water clip keep bag shut easy sometimes use something bag otherwise fit iphone allow use phone water compare aqua pak aqua pak better cheaper alternative us bag seem fall apart clip come keep seal fit bag use clip pinch open bag close work, 0.8316, 5], [say noteit float look floating case need look think guess assume hold product make claim say price product, 0.4588, 2], [product work promise, 0.765, 5], [work buy case put phone addition case didnt work take water hawaii san diego la etc work come water get foggy inside change temp clear take picture video br thing didnt sand get thing seal clean hassle cuz get stick get phone, -0.1027, 2], [awesome work took vacation boy cousin borrow incident try phone case pool issue keep didnt leave pool longjust case, 0.9367, 2], [work boating breeze, 0.9231, 5], [part hustle put phone take, 0.9203, 4], [test leave deep water min tissue come drop water inside time case sure purchase option havent try take picture thats star recommend item seem type phone fit hereim gonna use ipod touch g case n there room put case confuse look email instruction wish come paper instruction hey let save tree, 0.8126, 5], [perfect comunication excellent good, 0.8519, 5], [pouch order leak bought week kauai ship daughter ipod replacement water damage lose vacation picture wouldnt recommend use direct day leak, -0.0811, 3], [test put iphone leak time got air fine make time use price time use threw mine trip hawaii, 0.8293, 5], [use river great quality photo perfect, 0.6478, 5], [let buy case safety float trip test product instruct make wasnt everything seem fine went trip half way trip look phone inch water inside case phone wont turn camera lense fog im devestated go trouble see carrier cover damage case fault, 0.4939, 3], [use trip mexico take way swimming ocean hidden beach puerto vallarta get wet try hold phone water submerge period time suggest cheap case isnt work fill case toilet paper close submerge sink time tp wet know safe put iphone take ocean, 0.6249, 5], [use water write, 0.6249, 5], [quality use take underwater video, -0.8364, 1], [, -0.0603, 1], [, 0.9314, 3]]"
B00JJVSO4U,"[-0.6935, 0.4939, 0.6486, 0.4404, 0.8689, 0.0, -0.4588, 0.6249, 0.7096]","[1, 1, 4, 5, 5, 1, 1, 5, 5]","[[price, item, charge, thanks], [work, great], [charge, fast, advestised, love, cord, kind, hate, lose, cord, car, drawback, charge, sit, front, seat, use, phone, wont, stretch, someone, car, nd, row, suv, van, love, match, white], [stop, work, month, work, exchange], [plug, doesnt, work, garbage, save, money], [kinda, work, week, half, quit], [work], [work, great, charge, phone, get, tangle, color, make, locate, console, junk]]","[[price item charge thanks, -0.6935, 1], [work great, 0.4939, 1], [charge fast advestised love cord kind hate lose cord car drawback charge sit front seat use phone wont stretch someone car nd row suv van love match white, 0.6486, 4], [stop work month work exchange, 0.4404, 5], [plug doesnt work garbage save money, 0.8689, 5], [kinda work week half quit, 0.0, 1], [work, -0.4588, 1], [work great charge phone get tangle color make locate console junk, 0.6249, 5], [, 0.7096, 5]]"
B00K5H2YX4,"[0.296, 0.6369, 0.9081]","[4, 5, 5]","[[change, item, time], [bit, look, kitchen, work, fine], [charge, ipad, mini, port, great, usb, wall, plug, wont, charge, kinda, wish, plug, fold, travel, loose, plug, fall, plug, wall, price]]","[[change item time, 0.296, 4], [bit look kitchen work fine, 0.6369, 5], [charge ipad mini port great usb wall plug wont charge kinda wish plug fold travel loose plug fall plug wall price, 0.9081, 5]]"
B00K73F67M,[0.6249],[5],"[[thing, awesome, bang]]","[[thing awesome bang, 0.6249, 5]]"
B00KEZ88BE,"[0.4927, 0.5719]","[4, 5]","[[excellent], [expect, rim, case, ir, thicker, pritectr, screen, ian, please]]","[[excellent, 0.4927, 4], [expect rim case ir thicker pritectr screen ian please, 0.5719, 5]]"
B00KGFXPQK,[0.0],[2],"[[color, picture, fushia, red, temper, glass, screen, protector]]","[[color picture fushia red temper glass screen protector, 0.0, 2]]"
B00KGGK544,[0.0],[5],[[get]],"[[get, 0.0, 5]]"
B00KHPD870,"[0.0, -0.5423]","[5, 1]","[[quality, week, return, period, usb, cable, go, order, plug, iphone, ipad, device, allbr, usb, cable, mint, condition, head, pin, usb, cable, malfunction, ], [advertise]]","[[quality week return period usb cable go order plug iphone ipad device allbr usb cable mint condition head pin usb cable malfunction , 0.0, 5], [advertise, -0.5423, 1]]"
B00KITEXUQ,[0.9365],[5],"[[training, tool, buy, farm, gsd, use, reaction, crazy, saw, farm, animal, help, get, drive, mode, see, animal, use, take, recall, use, time, week, month, need, use, give, confidence, unknown, place, feature, see, dark, use, training, dog, inside, house, time, enjoy, land, run, rome, walk, leash, recall, smart, dog, need, teaching, get, drive, mode]]","[[training tool buy farm gsd use reaction crazy saw farm animal help get drive mode see animal use take recall use time week month need use give confidence unknown place feature see dark use training dog inside house time enjoy land run rome walk leash recall smart dog need teaching get drive mode, 0.9365, 5]]"
B00KNAOGF2,[-0.6908],[1],"[[star, fast, shipping, wise, get, take, destroy, box, come, went, use, phone, broke, piece, trash, went, waste, money]]","[[star fast shipping wise get take destroy box come went use phone broke piece trash went waste money, -0.6908, 1]]"
B00KOERF9G,"[0.6249, -0.7759]","[5, 1]","[[get, thursday, pm, broke, monday, noon, ballpoint, stop, extract, useless], [work, great, surface, pro, ]]","[[get thursday pm broke monday noon ballpoint stop extract useless, 0.6249, 5], [work great surface pro , -0.7759, 1]]"
B00KP471B2,"[-0.2865, 0.8402]","[3, 5]","[[nice, color, like, color, distort, view, discription, doesnt, match, photo], [case, love, ship]]","[[nice color like color distort view discription doesnt match photo, -0.2865, 3], [case love ship, 0.8402, 5]]"
B00KTLJ02Y,"[0.836, 0.5719]","[5, 5]","[[excellent], [excellent, case, love]]","[[excellent, 0.836, 5], [excellent case love, 0.5719, 5]]"
B00KXK0Q60,[-0.4215],[1],"[[broke, magnet]]","[[broke magnet, -0.4215, 1]]"
B00L0SF1XM,[-0.0798],[3],"[[work, fine, dont, take, phone, case, use]]","[[work fine dont take phone case use, -0.0798, 3]]"
B00L10I7NU,[-0.25],[3],"[[chip, real, soon, turn, silver, see, thru, material, keep, phone, safe, drop, lot, harm, come, phone]]","[[chip real soon turn silver see thru material keep phone safe drop lot harm come phone, -0.25, 3]]"
B00L4K9CVI,[-0.8979],[1],"[[purchase, film, note, br, thing, put, phone, keep, get, lint, dust, keep, try, rinse, rd, time, end, get, scratch, frustratingbr, fair, ive, purchase, skinomi, screen, protector, problem, think, phone, harder, installbr, problem, instal, phone, get, glass, instead]]","[[purchase film note br thing put phone keep get lint dust keep try rinse rd time end get scratch frustratingbr fair ive purchase skinomi screen protector problem think phone harder installbr problem instal phone get glass instead, -0.8979, 1]]"
B00L5Q4A9U,"[0.6249, 0.7579]","[4, 5]","[[apple, certify, value], [item]]","[[apple certify value, 0.6249, 4], [item, 0.7579, 5]]"
B00L9A46QE,[0.4927],[5],[[version]],"[[version, 0.4927, 5]]"
B00L9HFTPY,[0.8519],[5],"[[case, great, quality]]","[[case great quality, 0.8519, 5]]"
B00LAAV0TO,"[0.8271, 0.9098, -0.0247, 0.8519]","[5, 4, 2, 5]","[[phone, holder, buy, car, leave, vacation, home, holder, perfect, enhancementholds, iphone, perfectvery, happythank], [vent, sonata, hybrid, fit, feel, type, screen, round, knob, spring, make, use, holder, brookstone, try, card, see, cd, slot], [idea, usefull], [phone, holder, look, hold, cell, phone, sorry, say, didnt]]","[[phone holder buy car leave vacation home holder perfect enhancementholds iphone perfectvery happythank, 0.8271, 5], [vent sonata hybrid fit feel type screen round knob spring make use holder brookstone try card see cd slot, 0.9098, 4], [idea usefull, -0.0247, 2], [phone holder look hold cell phone sorry say didnt, 0.8519, 5]]"
B00LCAVUGA,"[-0.3535, 0.9216, 0.9168]","[5, 5, 5]","[[use, case, iphone, make, slim, love, get, color, drop, phone, time, nothing, happen], [case, month, scratch, multiple, drop], [case, iphone, price, quality, case, thats, grip, keep, phone, safe]]","[[use case iphone make slim love get color drop phone time nothing happen, -0.3535, 5], [case month scratch multiple drop, 0.9216, 5], [case iphone price quality case thats grip keep phone safe, 0.9168, 5]]"
B00LD94A2G,[0.6808],[5],"[[nice, price, replacement, button, samsung, install, youtube, video, replace, save, bunch, money, mention, keep, phone, service]]","[[nice price replacement button samsung install youtube video replace save bunch money mention keep phone service, 0.6808, 5]]"
B00LJ116XE,[-0.5335],[3],"[[think, case, son, get, say, annoy, wont, use, anymore, issue, kickstand, sure, teenage, boy, something, legitimate]]","[[think case son get say annoy wont use anymore issue kickstand sure teenage boy something legitimate, -0.5335, 3]]"
B00LM5G1JQ,[0.8834],[5],"[[awesome, tab, excellent, screen, ease, use, dont, use, laptop, anymore]]","[[awesome tab excellent screen ease use dont use laptop anymore, 0.8834, 5]]"
B00LV1XYNW,[0.5719],[5],"[[buy, case, yr, daughter, everyone, school, love]]","[[buy case yr daughter everyone school love, 0.5719, 5]]"
B00LWQ00II,"[0.0378, -0.2755]","[5, 1]","[[didnt], [work, case, problem, case, mute, switch, broke, people, send, replacement, case, didnt, work, case, people, give, refund, problem, mute, switch]]","[[didnt, 0.0378, 5], [work case problem case mute switch broke people send replacement case didnt work case people give refund problem mute switch, -0.2755, 1]]"
B00M0QW2RG,"[0.9534, -0.4215, 0.7841, 0.9351, 0.7814]","[5, 1, 5, 5, 5]","[[want, robust, round, case, iphone, buy, reading, good, review, say, disappoint, bought, case, plus, case, come, build, screen, guard, amaze, sensitivity, something, compromise, case, offer, protection, phone, overall, love, recommend, anyone, want, cheap, robust, case], [case, bit, put, case, work, recommend, people, get, price], [toss, iphone, accession, protect, time, im, tall, dont, touch, home, button, wet, hand, get, screen, money], [screen, break], [excellent, good]]","[[want robust round case iphone buy reading good review say disappoint bought case plus case come build screen guard amaze sensitivity something compromise case offer protection phone overall love recommend anyone want cheap robust case, 0.9534, 5], [case bit put case work recommend people get price, -0.4215, 1], [toss iphone accession protect time im tall dont touch home button wet hand get screen money, 0.7841, 5], [screen break, 0.9351, 5], [excellent good, 0.7814, 5]]"
B00M6J7LXW,[0.1531],[3],"[[item, come, packaging, battery, holder, awg, marking, read, e, ak, marking, diameter, assume, ak, equivalent, awg, made, adequate, think, roll, dice]]","[[item come packaging battery holder awg marking read e ak marking diameter assume ak equivalent awg made adequate think roll dice, 0.1531, 3]]"
B00M8UF8AM,[0.6249],[5],[[product]],"[[product, 0.6249, 5]]"
B00M90J406,[-0.2263],[1],"[[stop, work, week, disatified]]","[[stop work week disatified, -0.2263, 1]]"
B00MA3NH2I,[-0.8953],[3],"[[way, cover, attach, isnt, greatest, hour, phone, use, charge, charge, iphone, twice, charge, phone, battery, pack, mean, need, charge, night, charge, pack, phone, dead, morning]]","[[way cover attach isnt greatest hour phone use charge charge iphone twice charge phone battery pack mean need charge night charge pack phone dead morning, -0.8953, 3]]"
B00MMQXZKM,[-0.2732],[5],"[[use, phone, work, hour]]","[[use phone work hour, -0.2732, 5]]"
B00MRAGMGC,[0.836],[5],"[[look, quality, fit, deliver]]","[[look quality fit deliver, 0.836, 5]]"
B00MYLOMVG,[0.0516],[5],"[[seller, great, work, quality, product, problem, wrist, strap, include, place]]","[[seller great work quality product problem wrist strap include place, 0.0516, 5]]"
B00N28ANF4,"[0.9941, 0.926, 0.765, 0.0]","[5, 5, 5, 5]","[[case, fit, glove], [case, work, great], [cover, recommend, bulky, look, sturdy, rid, bike, get, hit, car, case, save, phone], [get, otterbox, commuter, case, iphone, im, happy, case, sturdy, know, case, protect, thing, didnt, fact, couldnt, keep, temper, glass, screen, protector, use, provide, glass, protector, make, phone, thicker, sliver, make, insert, phone, case, instal, screen, protector, defender, series, say, screen, protector, come, layer, film, set, place, im, glad, get, case, thin, defender, sturdy, protect, phone, bump, drop, dust, scratch, recommend, case, im, glad, order, seller, super, fast, shipping, item, quality, workmanship, product, epic, case, genuine, otterbox, come, retail, packaging, amaze, otterbox, case, enjoy, proud, thank, ]]","[[case fit glove, 0.9941, 5], [case work great, 0.926, 5], [cover recommend bulky look sturdy rid bike get hit car case save phone, 0.765, 5], [get otterbox commuter case iphone im happy case sturdy know case protect thing didnt fact couldnt keep temper glass screen protector use provide glass protector make phone thicker sliver make insert phone case instal screen protector defender series say screen protector come layer film set place im glad get case thin defender sturdy protect phone bump drop dust scratch recommend case im glad order seller super fast shipping item quality workmanship product epic case genuine otterbox come retail packaging amaze otterbox case enjoy proud thank , 0.0, 5]]"
B00N2RX2Q2,[-0.4215],[1],[[useless]],"[[useless, -0.4215, 1]]"
B00NCJMQXK,"[-0.7311, 0.4404, 0.4404, 0.7971, -0.296, 0.891, 0.9001, 0.4866, 0.8536, 0.0772, 0.7645, -0.296, 0.0]","[1, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 1, 2]","[[phone, work, bought, seller, shell, bit, extra, battery, work, lg, brand, phone, need, phone], [give, nexus, lease, life, installation, performance, issue], [seems, less, ma], [satisfaction], [battery, work, replace, im, sure, authenticity, battery, take, phone, different, part, number, say, sony, time, tell, battery, worth, money], [fake, way, lg, slap, sticker, battery, returning], [hope, battery, reading, review, receive, day, expect, instal, battery, come, charge, charge, anymore, try, charger, luck, product, disappointment, waste, time, try, risk], [awesome, battery, revive, nexus, hour, factory, battery, replace, brought, battery, life, day, halfish, go, month], [everything, ok, battery, work, fine, battery, hour, amaze, battery, come, cell, phone], [battery, cheap, go, buy, took, day, get, house, installation, battery, instal, min, tool, use, screwdriver, phillips, instal, drain, battery, charge, say, work, well, battery, nfc, work, fine, great, buy, n], [replace, battery, year, phone, keep, shut, mention, run, juice, way, use, brought, phone, work, orderbr, br, battery, tiny, bit, narrower, replace, didnt, fit, battery, compartment, expect, remain, hold, place, fine, fit, fine, well, battery, start, swell], [battery, nexus, went, hour, top, usage, hour, medium, usage, package, come, please, buy]]","[[phone work bought seller shell bit extra battery work lg brand phone need phone, -0.7311, 1], [give nexus lease life installation performance issue, 0.4404, 5], [seems less ma, 0.4404, 5], [satisfaction, 0.7971, 5], [battery work replace im sure authenticity battery take phone different part number say sony time tell battery worth money, -0.296, 5], [fake way lg slap sticker battery returning, 0.891, 5], [hope battery reading review receive day expect instal battery come charge charge anymore try charger luck product disappointment waste time try risk, 0.9001, 5], [awesome battery revive nexus hour factory battery replace brought battery life day halfish go month, 0.4866, 4], [everything ok battery work fine battery hour amaze battery come cell phone, 0.8536, 5], [battery cheap go buy took day get house installation battery instal min tool use screwdriver phillips instal drain battery charge say work well battery nfc work fine great buy n, 0.0772, 5], [replace battery year phone keep shut mention run juice way use brought phone work orderbr br battery tiny bit narrower replace didnt fit battery compartment expect remain hold place fine fit fine well battery start swell, 0.7645, 5], [battery nexus went hour top usage hour medium usage package come please buy, -0.296, 1], [, 0.0, 2]]"
B00NF4SCYO,[0.6249],[5],[[buy]],"[[buy, 0.6249, 5]]"
B00NFAA6PG,"[0.7579, 0.6369, 0.765, 0.9148, 0.296, 0.7759, 0.8748, -0.4585]","[5, 5, 4, 5, 4, 5, 5, 1]","[[quality, charger, work, fine, iphone, ipad, thanks], [ok], [get, anker, work, try, rest, dont, work, break, easilybr, br, excellent, seller, fast, shipping, recommend, thank, aaa], [charge, phone, super, charger], [perfect, product], [nice, work, apple, oem, stop, work, replace, happy], [happy]]","[[quality charger work fine iphone ipad thanks, 0.7579, 5], [ok, 0.6369, 5], [get anker work try rest dont work break easilybr br excellent seller fast shipping recommend thank aaa, 0.765, 4], [charge phone super charger, 0.9148, 5], [perfect product, 0.296, 4], [nice work apple oem stop work replace happy, 0.7759, 5], [happy, 0.8748, 5], [, -0.4585, 1]]"
B00NGQS80E,[0.6369],[5],"[[convenience, everything, location]]","[[convenience everything location, 0.6369, 5]]"
B00NMNQAT2,"[0.7783, 0.904]","[5, 5]","[[get, case, love, sleek, make, youre, phone, good, feel, say, get, glass, screen, protector, case, case], [case, gotten, compliment, bulky]]","[[get case love sleek make youre phone good feel say get glass screen protector case case, 0.7783, 5], [case gotten compliment bulky, 0.904, 5]]"
B00NUS3RV8,[-0.6007],[1],"[[fit, phone, plusa, waste, money]]","[[fit phone plusa waste money, -0.6007, 1]]"
B00NXF6M9C,[0.8313],[3],"[[case, sturdy, thr, phone, great, deal, protection, coulda, figure, put, thing]]","[[case sturdy thr phone great deal protection coulda figure put thing, 0.8313, 3]]"
B00O08RZ1U,[0.3612],[1],"[[case, fit, lg, g, make, slim, aware, want, deal, return, return, something, company, go, waste, money, return, something, thank]]","[[case fit lg g make slim aware want deal return return something company go waste money return something thank, 0.3612, 1]]"
B00O1UK8W0,[0.0],[4],"[[quality, product, price]]","[[quality product price, 0.0, 4]]"
B00O3XZTA6,"[0.9714, 0.9042]","[5, 5]","[[product, others, say, make, screen, feel, naked, screen, customer, service, excellent, glass, cover, chip, time, lifetime, warranty, replace, speak, get, bubblefree, nicer, way, protect, screen, bulky, otter, box, case, love], [company, quality, screen, protector, great, customer, service, well]]","[[product others say make screen feel naked screen customer service excellent glass cover chip time lifetime warranty replace speak get bubblefree nicer way protect screen bulky otter box case love, 0.9714, 5], [company quality screen protector great customer service well, 0.9042, 5]]"
B00OFX48EM,"[-0.3818, 0.872, 0.0405, -0.2263]","[1, 3, 4, 3]","[[get, device, support, message, plug, mac, syncing], [issue, cord, awesome, send, didnt, either, month, use, kink, rubber, iphone, one, break], [purchase, wall, charger, company, month, light, tip, overheat, shock, ushad, throw], [stop, work, month]]","[[get device support message plug mac syncing, -0.3818, 1], [issue cord awesome send didnt either month use kink rubber iphone one break, 0.872, 3], [purchase wall charger company month light tip overheat shock ushad throw, 0.0405, 4], [stop work month, -0.2263, 3]]"
B00OHFGOOU,"[0.5805, 0.9393, 0.6908]","[4, 4, 5]","[[case, past, seem, get, dirty, seem, trap, lot, unwanted, dust, get, clean], [nice, design, quality], [build, test, fit, im, plan, testing, look, provide, protection, drop, plus, case, doesnt, add, bulk, phone, ive, own, case, older, phone, thickness, phone, nice, slim, form, factor, nice, consider, nexus, start]]","[[case past seem get dirty seem trap lot unwanted dust get clean, 0.5805, 4], [nice design quality, 0.9393, 4], [build test fit im plan testing look provide protection drop plus case doesnt add bulk phone ive own case older phone thickness phone nice slim form factor nice consider nexus start, 0.6908, 5]]"
B00OJC6BM6,[0.9149],[5],"[[product, yhe, table, seem, everyone, end, hang, work, plug, cordbr, use, size, usb, cord, reach, everyone, foot, person, end, table, seem, someone, need, charge, way, play, chair, get, keep, extra, cord, put, box, ypu, dont, cord, place, timebr, br, im, order, put, bedroom, device]]","[[product yhe table seem everyone end hang work plug cordbr use size usb cord reach everyone foot person end table seem someone need charge way play chair get keep extra cord put box ypu dont cord place timebr br im order put bedroom device, 0.9149, 5]]"
B00OKSL75K,[-0.5647],[2],"[[looking, case, nice, soon, put, lose, network, connection, go, g, service, aluminum, number, case, cut, network]]","[[looking case nice soon put lose network connection go g service aluminum number case cut network, -0.5647, 2]]"
B00OLU056O,[0.396],[1],"[[doesnt, protect, size, meter, look, try, fit, iphone, case, ipad, go, fit, matter, try]]","[[doesnt protect size meter look try fit iphone case ipad go fit matter try, 0.396, 1]]"
B00OLULDOM,[0.8176],[5],"[[lion, king, lover]]","[[lion king lover, 0.8176, 5]]"
B00OOD6XD2,[0.946],[5],"[[love, love, get, compliment, go]]","[[love love get compliment go, 0.946, 5]]"
B00OTVIY86,"[0.8641, -0.1901, 0.9153, -0.211]","[4, 2, 5, 1]","[[microphone, weak, pick, voice, get, friend, talk, hand, understand, look, ear, piece], [purchase, earbuds, stop, work, use, second, work, frequent, signal, loss, require, shut, restart, work, work], [lil, bluetooth, everything, expect, work, pair, note, use, listen, music, work, great, battery, life, hour, recharges, call, quality, isnt, great, short, period, time, bottom, line, device, money], [buy, boyfriend, love, weight, work, utility, job, isnt, cord, worry, catch, working, he, thrill]]","[[microphone weak pick voice get friend talk hand understand look ear piece, 0.8641, 4], [purchase earbuds stop work use second work frequent signal loss require shut restart work work, -0.1901, 2], [lil bluetooth everything expect work pair note use listen music work great battery life hour recharges call quality isnt great short period time bottom line device money, 0.9153, 5], [buy boyfriend love weight work utility job isnt cord worry catch working he thrill, -0.211, 1]]"
B00P0ZAKG4,"[0.6369, 0.6249, -0.4215, 0.0, -0.6597, 0.5423, -0.4215, -0.1779, -0.2987, 0.6124, 0.7496, 0.6369, -0.5499, -0.802]","[5, 5, 1, 5, 1, 5, 1, 1, 1, 5, 5, 5, 3, 4]","[[work, great], [reason, doesnt, get, star, clip, holster, broke, month, case, rugged, fit, body, survivability], [complaint, case, dont, use, belt, clip, cant, speak, longevity, regard, piece, product, durability, case, drop, phone], [buy, phone, broke, case, u, drop, foot, case, crap], [fit, price], [daughter, please, phone, case, say, prove, protecting, phone], [case, ok, clip, broke, week, set, purchase, worth, trouble], [tab, break, become, useless, super, junk], [product, samsung, galaxy, tab, ], [day, use, clip, broke], [tks, ], [clip, hold, phone, broke, offpoor, quality, material, use]]","[[work great, 0.6369, 5], [reason doesnt get star clip holster broke month case rugged fit body survivability, 0.6249, 5], [complaint case dont use belt clip cant speak longevity regard piece product durability case drop phone, -0.4215, 1], [buy phone broke case u drop foot case crap, 0.0, 5], [fit price, -0.6597, 1], [daughter please phone case say prove protecting phone, 0.5423, 5], [case ok clip broke week set purchase worth trouble, -0.4215, 1], [tab break become useless super junk, -0.1779, 1], [product samsung galaxy tab , -0.2987, 1], [day use clip broke, 0.6124, 5], [tks , 0.7496, 5], [clip hold phone broke offpoor quality material use, 0.6369, 5], [, -0.5499, 3], [, -0.802, 4]]"
B00P1WUWIM,[0.8805],[5],"[[expect, price, look, please]]","[[expect price look please, 0.8805, 5]]"
B00P61ENN8,[0.887],[5],"[[case, awesome, d]]","[[case awesome d, 0.887, 5]]"
B00P89AVRU,[0.6369],[5],[[em]],"[[em, 0.6369, 5]]"
B00P8N7N0Y,"[-0.2263, -0.8126]","[2, 4]","[[wellmade, product, instruction, lack, example, white, connector, ignore, duh, translation, suffers, company, need, contact, edit, instruction], [picture, dark, block, gps, signal]]","[[wellmade product instruction lack example white connector ignore duh translation suffers company need contact edit instruction, -0.2263, 2], [picture dark block gps signal, -0.8126, 4]]"
B00P9QHLAW,[0.8074],[5],"[[keep, phone, save, look]]","[[keep phone save look, 0.8074, 5]]"
B00PE3A1NO,[-0.5136],[1],"[[doesnt, work, click, place, waste, money]]","[[doesnt work click place waste money, -0.5136, 1]]"
B00PGM23KW,[0.0],[1],"[[charge, phone]]","[[charge phone, 0.0, 1]]"
B00PH7DLXO,"[0.4019, 0.9493, -0.2263, 0.6369, 0.6901, 0.9001, 0.3612, 0.7549, 0.9882]","[1, 5, 1, 5, 5, 5, 5, 5, 5]","[[set, cord, purchase, set, cord, price, cord, box, store, admit, cord, decide, well, cord, quality, moment, open, package, knew, make, product, connector, area, fit, iphone, case, house, connector, bit, housing, cord, own, think, built, cord, return, week, housing, connector, come, disconnect, sturdy, recommend, product], [excellent, product, good, price, foot, cord, improve, leash, feel, get, power, cord, include, ipad, duty, cord, help, prevents, fraying, end, connection, problem, fit, power, outlet, provide, case], [love, love, bed, office, dont, hang, edge, bed, phone, sit, want, get, charge], [cord, stop, function, week], [come, time, problem, work, suppose, work, love], [performs, advertise, allows, mobility, use, charging, phone], [use, seller, fast, shipping, love, cable, length, ], [super, stiff, flex, male, tab, end, brokesnapped, month, light, use], [please, fast, shipping, power, cord, want, recommend, youre, look, power, cord]]","[[set cord purchase set cord price cord box store admit cord decide well cord quality moment open package knew make product connector area fit iphone case house connector bit housing cord own think built cord return week housing connector come disconnect sturdy recommend product, 0.4019, 1], [excellent product good price foot cord improve leash feel get power cord include ipad duty cord help prevents fraying end connection problem fit power outlet provide case, 0.9493, 5], [love love bed office dont hang edge bed phone sit want get charge, -0.2263, 1], [cord stop function week, 0.6369, 5], [come time problem work suppose work love, 0.6901, 5], [performs advertise allows mobility use charging phone, 0.9001, 5], [use seller fast shipping love cable length , 0.3612, 5], [super stiff flex male tab end brokesnapped month light use, 0.7549, 5], [please fast shipping power cord want recommend youre look power cord, 0.9882, 5]]"
B00PJ4ZKQQ,[0.5844],[4],"[[case, complaint, hold, use, problem, buy, good, price]]","[[case complaint hold use problem buy good price, 0.5844, 4]]"
B00PL4R6YI,[0.5719],[5],"[[case, daughter, love, case]]","[[case daughter love case, 0.5719, 5]]"
