B00009UHRE,[0.0],[5],"[[perform, expect]]","[[perform expect, 0.0, 5]]"
B00NWMI07S,"[-0.2732, 0.8648, 0.0, 0.4939, 0.7269, 0.6249, 0.5564, 0.0, 0.1901, 0.9649, 0.953, 0.5719, -0.6935, 0.7178, 0.2023, 0.1901, 0.6115, 0.1779, -0.3827, 0.0, 0.2023, 0.6124, 0.3182, 0.8316, 0.5719, 0.6249, -0.2263, 0.9072, 0.813, 0.6249, 0.2023, 0.9176, 0.6249, 0.936, 0.7956, -0.3612, 0.1901, 0.1336, 0.743, 0.836, 0.811, 0.0, 0.5719, 0.5719, 0.9377, 0.5719, -0.765, 0.0, 0.8807, -0.2144]","[4, 5, 2, 4, 4, 5, 1, 5, 4, 5, 5, 5, 1, 3, 5, 4, 5, 1, 1, 5, 4, 3, 4, 4, 5, 5, 1, 4, 5, 1, 5, 4, 3, 5, 5, 3, 1, 5, 5, 5, 5, 4, 5, 3, 5, 5, 1, 3, 5, 4]","[[picky, phone, placement, phone, litte, center, galaxy, keep, toggle, greenred, chargenocharge, pain, as, pick, phone, find, hasnt, charge, get, square, well, coil, charger, problem], [work, price, phone, bit, finicky, place, spot, charger, work, clear, builtin, lead, work, sure, placement, issue, relate, qi, case, phone, cant, knock, point], [heart, aflutter, everyone, im, think, buying, place, apartment], [charger, work, awesome, otter, box, charge, wall, charger, come, phone, adequate, phone, position, flash, put, charger, smaller, expect, measure, say, point, nice, rubbery, top, bottom, wont, slide, tiny, crazy, bright, ive, read, charger, ie, lighthouse, bedroom, etc, charge, trickle, charge, keep, im, happy, couple, week, use, recommend, product, great, bargain, think, design], [difficult, find, position, charge], [work, good, otterbox, defender, get, phone, placement, precise, price, wish, order], [excellent, product, work, advertise, work, case, recommend], [work, charge, case, itd, star, come, plug, usb, adapter], [price, point, competition, worth, look, try, im, glad, pair, qi, sticker, yootech, sell, lg, g, great, match, charge, speed, isnt, fast, nightstand, desk, charger, tax, adequate, g, doesnt, support, quick, char, anyway, get, bulky, case, qi, sticker, thats, nature, king, charge, something, accept, amount, heat, build, battery, recommend], [product, work, save, time, frustration, buy, samsung, charger, cheaping, work], [daughter, love, samsung, edge], [work, position, phone], [save, hassle, try, plug, phone, darkrequires, patience, spot, need, place, phone, top, register], [yootech, wireless, charger, ive, happy, use, galaxy, motorola, watchbr, pick, spare, traveling, price], [return, charge, smaller, think], [work, perfect, note], [review, state, yootech, wireless, charger, work, samsung, phone, phone, case, buy, galaxy, edge, tmobile, store, want, wireless, charger, glad, decide, check, amazon, firstbr, br, nice, bonus, use, charger, center, console, surface, car, rubber, foot, bottom, rubber, pad, top, keep, phone, slip, drive, condition, bump, dont, seem, disturb, charge, course, havent, test, slam, brake, mph], [work, phone, center, unit], [place, phone], [go, say, like, product, connector, unit, develop, wont, stay, connect, charge, wire, day, amazon, return, policy, run, day, return, replacement, thanks, amazon, expect, happy, come, shouldnt, product, month, yootech, contact, offer, replace, item, thats, thanks], [doesnt, phone], [httpswwwamazoncomgpproductbnwmisrefcmcrrypprdttlsol], [stop, work, month], [work, phone, otterbox, case], [work, fine, time, well, take, plastic, case, indicating, status, doesnt, work, charge, expect], [device], [work, charge, phone, faster, expect, trouble, center, phone, charger, please, product], [issue, customer, service, yootech, get, contact, set, thing, update, charger, great, size, issue, get, center, easilybr, br, great, product, great, price, recomend], [perfect, charge, case, icipio, price, product], [galaxy, active, dont, know, marvel, phone, bit, extra, coat, case, charge, station, charger, line, charge, perfect, br, left, phone, half, hour, come, battery, put, spend, minute, lift, put, ensure, light, green, phone, recognize, thing, way, light, green, phone, wont, know, there, need, anything, monitor, zero, interference, loss, powerbr, br, look, product, hope, product, purchase, wire, cord, come, work, time, wireless, base], [wireless, charger, price, cheap, compare, samsung, wireless, charger, fallback, wireless, charger, plug, deal, like, see], [work, galaxy, edge], [spigen, case], [product, work, put, phone, pad, make, beep, charge, second, beep, say, charging, work, charge, anf, phone, wilk, get, super, hot, idea, awesome, suck], [charge, samsung, phone, need, place, charge], [love, wireless, charge, pad, purchase, edge, nothing, say, get, edge, realize, wireless, charge, capability, purchase, charger, samsungs, wireless, charger, try, charger, samsungs, lighter, smaller, slimmer, samsungs, bonus, travel, charging, port, fit, snug, port, come, cant, say, samsungs, charging, port, intend, purchase, multiple, place], [price, align, charge, position, buy, nightstand, officebr, br, save, money, wireless, charger, dont, charge, faster], [wireless, charger, wish, charge, phone, faster], [perfect], [convenient, wireless, charger], [work], [charge, charger, nice, plop, phone, evening, forget, charger, turn, charge], [trouble, line, time, work, part], [thinner, profile, design, well, brand, version], [work, boxthe, light, make, get, position, charging], [work, charge, pad, nexus, phone, grant, move, get, spot, charge, mileage, vary, depend, phone], [work, hop, work, otter, box, thinner, case, work, fine], [disappoint, product, wound, purchase, wife, work, exhibit, issue, wife, use, samsung, galaxy, phone, place, phone, thing, perfect, mm, x, mm, spot, appear, require, wont, charge, base, larger, phonesrequires, precision, placement, point, plug, phone, use, product, go, try, competitor, version, base, rectangular, shape, phone, alert, leaving, feedback, company, done, nothing, harass, email, avoid, plague, business, practice, seem, review, report, amazon], [wireless, charge, cool], [get, wait, week, phone, get, charge, ]]","[[picky phone placement phone litte center galaxy keep toggle greenred chargenocharge pain as pick phone find hasnt charge get square well coil charger problem, -0.2732, 4], [work price phone bit finicky place spot charger work clear builtin lead work sure placement issue relate qi case phone cant knock point, 0.8648, 5], [heart aflutter everyone im think buying place apartment, 0.0, 2], [charger work awesome otter box charge wall charger come phone adequate phone position flash put charger smaller expect measure say point nice rubbery top bottom wont slide tiny crazy bright ive read charger ie lighthouse bedroom etc charge trickle charge keep im happy couple week use recommend product great bargain think design, 0.4939, 4], [difficult find position charge, 0.7269, 4], [work good otterbox defender get phone placement precise price wish order, 0.6249, 5], [excellent product work advertise work case recommend, 0.5564, 1], [work charge case itd star come plug usb adapter, 0.0, 5], [price point competition worth look try im glad pair qi sticker yootech sell lg g great match charge speed isnt fast nightstand desk charger tax adequate g doesnt support quick char anyway get bulky case qi sticker thats nature king charge something accept amount heat build battery recommend, 0.1901, 4], [product work save time frustration buy samsung charger cheaping work, 0.9649, 5], [daughter love samsung edge, 0.953, 5], [work position phone, 0.5719, 5], [save hassle try plug phone darkrequires patience spot need place phone top register, -0.6935, 1], [yootech wireless charger ive happy use galaxy motorola watchbr pick spare traveling price, 0.7178, 3], [return charge smaller think, 0.2023, 5], [work perfect note, 0.1901, 4], [review state yootech wireless charger work samsung phone phone case buy galaxy edge tmobile store want wireless charger glad decide check amazon firstbr br nice bonus use charger center console surface car rubber foot bottom rubber pad top keep phone slip drive condition bump dont seem disturb charge course havent test slam brake mph, 0.6115, 5], [work phone center unit, 0.1779, 1], [place phone, -0.3827, 1], [go say like product connector unit develop wont stay connect charge wire day amazon return policy run day return replacement thanks amazon expect happy come shouldnt product month yootech contact offer replace item thats thanks, 0.0, 5], [doesnt phone, 0.2023, 4], [httpswwwamazoncomgpproductbnwmisrefcmcrrypprdttlsol, 0.6124, 3], [stop work month, 0.3182, 4], [work phone otterbox case, 0.8316, 4], [work fine time well take plastic case indicating status doesnt work charge expect, 0.5719, 5], [device, 0.6249, 5], [work charge phone faster expect trouble center phone charger please product, -0.2263, 1], [issue customer service yootech get contact set thing update charger great size issue get center easilybr br great product great price recomend, 0.9072, 4], [perfect charge case icipio price product, 0.813, 5], [galaxy active dont know marvel phone bit extra coat case charge station charger line charge perfect br left phone half hour come battery put spend minute lift put ensure light green phone recognize thing way light green phone wont know there need anything monitor zero interference loss powerbr br look product hope product purchase wire cord come work time wireless base, 0.6249, 1], [wireless charger price cheap compare samsung wireless charger fallback wireless charger plug deal like see, 0.2023, 5], [work galaxy edge, 0.9176, 4], [spigen case, 0.6249, 3], [product work put phone pad make beep charge second beep say charging work charge anf phone wilk get super hot idea awesome suck, 0.936, 5], [charge samsung phone need place charge, 0.7956, 5], [love wireless charge pad purchase edge nothing say get edge realize wireless charge capability purchase charger samsungs wireless charger try charger samsungs lighter smaller slimmer samsungs bonus travel charging port fit snug port come cant say samsungs charging port intend purchase multiple place, -0.3612, 3], [price align charge position buy nightstand officebr br save money wireless charger dont charge faster, 0.1901, 1], [wireless charger wish charge phone faster, 0.1336, 5], [perfect, 0.743, 5], [convenient wireless charger, 0.836, 5], [work, 0.811, 5], [charge charger nice plop phone evening forget charger turn charge, 0.0, 4], [trouble line time work part, 0.5719, 5], [thinner profile design well brand version, 0.5719, 3], [work boxthe light make get position charging, 0.9377, 5], [work charge pad nexus phone grant move get spot charge mileage vary depend phone, 0.5719, 5], [work hop work otter box thinner case work fine, -0.765, 1], [disappoint product wound purchase wife work exhibit issue wife use samsung galaxy phone place phone thing perfect mm x mm spot appear require wont charge base larger phonesrequires precision placement point plug phone use product go try competitor version base rectangular shape phone alert leaving feedback company done nothing harass email avoid plague business practice seem review report amazon, 0.0, 3], [wireless charge cool, 0.8807, 5], [get wait week phone get charge , -0.2144, 4]]"
B00NXE4N4Y,"[0.945, 0.765, 0.6249, 0.8316, -0.6361, 0.4404, 0.95, 0.4939, 0.8934, 0.7964, 0.8588, 0.4404, 0.7865, 0.7783, 0.0, 0.7923, 0.3612, 0.5574, 0.128, -0.7506, 0.8516, 0.3612, 0.9331]","[5, 5, 5, 4, 2, 4, 5, 4, 5, 5, 5, 5, 5, 5, 1, 5, 4, 5, 4, 3, 4, 5, 4]","[[something, touch, devise, phone, pause, fowards, get, annoy, drive, keep, happen], [fm, transmitter, use, change, station, bulky, transmitts, sound], [work, work, call], [awesome, product, way, easier, use, awesome, sound, quality, gobto, retail, spend, griffin, buy, stuff, product, hand, go, fm, transmitter], [work, great, play, daughter, disney, song, phone, love], [work], [station, power], [product, buy, ultra, instead, replace, radio, mm, plug, wouldnt, work, couldnt, iphone, problem, solve, work, know, anyone, complain, sound, plugging, radio], [product, say, use, great, sound, didnt, read, instruction, figuring, auto, scan, pure, user, error, recommend, product, hope, try, others, company], [reception, music, loud, cover, fuzz, story, longer, applies, happy, customer, service, company, end, contact, try, resolve, issue, didnt, work, offer, send, see, defect, product, new, sent, work, recommend], [hop, wouldnt, wouldnt, work, car, ford, btw, work, charm, bat, unless, crumple, wire, charger, work, seem, wont, work, recommend, buy], [unit, seem, work, ok, sansa, clipzip, mp, player, plug, usb, charger, charge, cut, audio, output, mp, player, seem, charge, ok, cant, listen, music, dont, know, going, return, something, charge, playing, update, buy, unit, souldio, micro, usb, connector, thing, sansa, clip, zip, notice, usb, connect, mp, player, touch, metal, portion, usb, connector, ground, metal, part, car, cut, audio, output, sansa, clip, zip, ground, device, use, unit, cant, charge, listen, update, merchant, give, refund, return, unit, excellent, customer, support, upgrade, review, base], [issue, item, stop, work, week, customer, service, contact, send, device, day, work, happy, product, quality, service, customer, service, team], [product], [scan, station, frequency], [work, satisfy, product, purchase, nightmare, school, fm, transmitter, prove, do, fence, encourage, make, purchase, gadget, awesome, price], [product, fast, ship], [work, make, aux, car, mute, point], [buy, fail, week, return, policy, dont, buy, update, company, offer, refund, device], [iclever, sound, car, usb, charge, phone], [ship, quality, product, great, recommend, someone, want, transmitter, fanciness], [find, blank, channel, tune, work, okay, road, trip, city], [work, reason, turn, way, random, time, turn, ipod, way, car, stereo, half, way, hey, work, sound, customer, service, amaze, say, sent, year, warranty, suggest]]","[[something touch devise phone pause fowards get annoy drive keep happen, 0.945, 5], [fm transmitter use change station bulky transmitts sound, 0.765, 5], [work work call, 0.6249, 5], [awesome product way easier use awesome sound quality gobto retail spend griffin buy stuff product hand go fm transmitter, 0.8316, 4], [work great play daughter disney song phone love, -0.6361, 2], [work, 0.4404, 4], [station power, 0.95, 5], [product buy ultra instead replace radio mm plug wouldnt work couldnt iphone problem solve work know anyone complain sound plugging radio, 0.4939, 4], [product say use great sound didnt read instruction figuring auto scan pure user error recommend product hope try others company, 0.8934, 5], [reception music loud cover fuzz story longer applies happy customer service company end contact try resolve issue didnt work offer send see defect product new sent work recommend, 0.7964, 5], [hop wouldnt wouldnt work car ford btw work charm bat unless crumple wire charger work seem wont work recommend buy, 0.8588, 5], [unit seem work ok sansa clipzip mp player plug usb charger charge cut audio output mp player seem charge ok cant listen music dont know going return something charge playing update buy unit souldio micro usb connector thing sansa clip zip notice usb connect mp player touch metal portion usb connector ground metal part car cut audio output sansa clip zip ground device use unit cant charge listen update merchant give refund return unit excellent customer support upgrade review base, 0.4404, 5], [issue item stop work week customer service contact send device day work happy product quality service customer service team, 0.7865, 5], [product, 0.7783, 5], [scan station frequency, 0.0, 1], [work satisfy product purchase nightmare school fm transmitter prove do fence encourage make purchase gadget awesome price, 0.7923, 5], [product fast ship, 0.3612, 4], [work make aux car mute point, 0.5574, 5], [buy fail week return policy dont buy update company offer refund device, 0.128, 4], [iclever sound car usb charge phone, -0.7506, 3], [ship quality product great recommend someone want transmitter fanciness, 0.8516, 4], [find blank channel tune work okay road trip city, 0.3612, 5], [work reason turn way random time turn ipod way car stereo half way hey work sound customer service amaze say sent year warranty suggest, 0.9331, 4]]"
B00O1XDNS8,"[0.4754, 0.6249, 0.9698]","[4, 5, 5]","[[product], [nice], [product, amaze, work, order, love, go, concert, end, concert, phone, dy, suck, charge, hour, home, unplug, want, use, go, plug, iphone, charge, rate, go, hour, depend, apps, use, brother, school, sport, saw, use, ask, get, charge, phone, different, brand, suck, get, cause, buck, didnt, work, know, guy, amaze, job, go, buy, product, time, love, work, amaze, phone, concert]]","[[product, 0.4754, 4], [nice, 0.6249, 5], [product amaze work order love go concert end concert phone dy suck charge hour home unplug want use go plug iphone charge rate go hour depend apps use brother school sport saw use ask get charge phone different brand suck get cause buck didnt work know guy amaze job go buy product time love work amaze phone concert, 0.9698, 5]]"
B00O2NJVO2,[0.8481],[1],"[[looking, case, color, week, case, plastic, paper]]","[[looking case color week case plastic paper, 0.8481, 1]]"
B00O4PX3SI,[-0.4215],[1],"[[holster, break, week]]","[[holster break week, -0.4215, 1]]"
B00O4UCWQW,[0.4391],[4],"[[get, pay, cute]]","[[get pay cute, 0.4391, 4]]"
B00OB0XHC8,[0.8467],[5],"[[case, fit, protect, phone, damage, drop, slick, slide, pocket, love, design]]","[[case fit protect phone damage drop slick slide pocket love design, 0.8467, 5]]"
B00OFKY4XA,"[0.3818, 0.0, 0.0]","[5, 1, 4]","[[doesnt, work, note, try, everything], [occasion, wireless, mouse, work, phone, software, issue, use, phone, medium, center], [sturdy, otg, usb, charge, phone, excellent]]","[[doesnt work note try everything, 0.3818, 5], [occasion wireless mouse work phone software issue use phone medium center, 0.0, 1], [sturdy otg usb charge phone excellent, 0.0, 4]]"
B00OKTY3A0,"[-0.2924, -0.3446, 0.296]","[1, 4, 3]","[[phone, isnt, g, lte], [camera, bit, problem], [ok]]","[[phone isnt g lte, -0.2924, 1], [camera bit problem, -0.3446, 4], [ok, 0.296, 3]]"
B00OTP5O3A,[0.765],[5],"[[convenient, wallet, case, wife, use, lg, phone, love, access, use, phone, provide, protection]]","[[convenient wallet case wife use lg phone love access use phone provide protection, 0.765, 5]]"
B00OUWTJ6A,[0.0],[2],"[[see, protection, provide, expect, something]]","[[see protection provide expect something, 0.0, 2]]"
B00P6Z2FGQ,"[-0.4404, 0.8716, 0.7609]","[1, 5, 5]","[[get, item, return], [nice, volt, temp, amp, readout, use, rv, info, manage, battery, usage], [amp, draw, voltage, temp, nice, nice, come, charge, port, im, happy]]","[[get item return, -0.4404, 1], [nice volt temp amp readout use rv info manage battery usage, 0.8716, 5], [amp draw voltage temp nice nice come charge port im happy, 0.7609, 5]]"
B00P7UBVL0,[0.6369],[5],[[case]],"[[case, 0.6369, 5]]"
B00PBKO2YY,[0.7003],[5],"[[come, arrive, week, come, china, cost, sender, mail, pay, item, prime, shippingbr, quality, product, come, connector, screw, sufficient, sans, wiresbr, product, make, consideration]]","[[come arrive week come china cost sender mail pay item prime shippingbr quality product come connector screw sufficient sans wiresbr product make consideration, 0.7003, 5]]"
B00PCW57IG,[-0.0754],[5],"[[privacy, darken, work, portrait, mode, view, angle, leave, side, hold, phone, landscape, prevent, someone, side, see, screen, use, phone, portrait, time, excellent, job, doesnt, screen, sitting, darkens, distorts, point, way, someone, read, typingbr, br, screen, protector, thicker, standard, clear, antiglare, protector, security, screen, layer, put, make, sure, remove, air, dust, adheres, worry, throw, pocket, go, make, protector, start, peel, accident]]","[[privacy darken work portrait mode view angle leave side hold phone landscape prevent someone side see screen use phone portrait time excellent job doesnt screen sitting darkens distorts point way someone read typingbr br screen protector thicker standard clear antiglare protector security screen layer put make sure remove air dust adheres worry throw pocket go make protector start peel accident, -0.0754, 5]]"
B00PF94ZLQ,[0.4228],[3],"[[work, hour, trip, stop, work, threw, use, trip, update, see, review, company, contact, send, say, seems, work, others, say, changeupdate, review, satisfy, point]]","[[work hour trip stop work threw use trip update see review company contact send say seems work others say changeupdate review satisfy point, 0.4228, 3]]"
B00PJ2567G,[0.6249],[5],[[product]],"[[product, 0.6249, 5]]"
B00PJC1Y04,[0.7964],[5],[[love]],"[[love, 0.7964, 5]]"
B00PJXLX4U,[0.9911],[4],"[[thingbr, product, greatbr, support, greatbr, br, favor, go, buy, programming, radiosbr, br, httpwwwamazoncomgpawdbrzjhjurefpdawsimieutfrefridgsmvstrvrbfcmhbr, br, run, office, york, city, heart, time, square, need, sale, rep, street, communicate, office, make, ticket, availability, walk, customer, office, purchasebr, br, surround, sky, scrapersbr, br, issue, w, h, modelsthey, stop, work, blockbr, br, buy, think, powerand, realize, need, reprogram, work, hsbr, br, adjust, frequency, channel, set, channel, managersbr, br, adjust, squelch, set, voila, radio, work, transmit, block, kind, deal, time, squarenew, york, citybr, br, here, dobr, br, buy, cable, radiosbr, b, install, driver, disk, providedbr, c, download, software, specific, radio, herebr, httpwwwreteviscomdownloadaduinadsessionadtagclientqqadpubnobr, br, file, name, software, isbr, aatcararbr, d, use, winzip, extract, file, file, desktopbr, e, folder, containing, program, install, file, end, exebr, f, program, appear, start, menu, tcit, radio, iconbr, g, attach, usb, cable, computerskip, windows, driver, update, instal, driverjust, wait, windows, initialization, cableand, pay, attention, windows, tell, com, port, assign, cablebr, h, plug, radio, end, cable, radio, turn, power, radio, onbr, go, setting, tc, program, set, com, port, com, port, assign, radiobr, j, click, menu, find, read, radio, go, click, radio, passwordso, leave, blankbr, k, program, radio, excellent, guide, youtube, guy, england, explains, lot, radio, basic, thing, set, way, setting, guy, name, james, fletcherbr, httpyoutubezlantlabr, br, thats, little, radio, ill, try, update, month, winter, see, work, coldright, work, br, ding, company, star, programming, cable, well, direction, accompany, radio, shippedall, timen, cableand, pay, attention, windows, tell, com, port, assign, cablebr, h, plug, radio, end, cable, radio, turn, power, radio, onbr, go, setting, tc, program, set, com, port, com, port, assign, radiobr, j, click, menu, find, read, radio, go, click, radio, passwordso, leave, blankbr, k, program, radio, excellent, guide, youtube, guy, england, explains, lot, radio, basic, thing, set, way, setting, guy, name, james, fletcherbr, httpyoutubezlantlabr, br, thats, little, radio, ill, try, update, month, winter, see, work, coldright, work, br, ding, company, star, programming, cable, well, direction, accompany, radio, shippedall, time]]","[[thingbr product greatbr support greatbr br favor go buy programming radiosbr br httpwwwamazoncomgpawdbrzjhjurefpdawsimieutfrefridgsmvstrvrbfcmhbr br run office york city heart time square need sale rep street communicate office make ticket availability walk customer office purchasebr br surround sky scrapersbr br issue w h modelsthey stop work blockbr br buy think powerand realize need reprogram work hsbr br adjust frequency channel set channel managersbr br adjust squelch set voila radio work transmit block kind deal time squarenew york citybr br here dobr br buy cable radiosbr b install driver disk providedbr c download software specific radio herebr httpwwwreteviscomdownloadaduinadsessionadtagclientqqadpubnobr br file name software isbr aatcararbr d use winzip extract file file desktopbr e folder containing program install file end exebr f program appear start menu tcit radio iconbr g attach usb cable computerskip windows driver update instal driverjust wait windows initialization cableand pay attention windows tell com port assign cablebr h plug radio end cable radio turn power radio onbr go setting tc program set com port com port assign radiobr j click menu find read radio go click radio passwordso leave blankbr k program radio excellent guide youtube guy england explains lot radio basic thing set way setting guy name james fletcherbr httpyoutubezlantlabr br thats little radio ill try update month winter see work coldright work br ding company star programming cable well direction accompany radio shippedall timen cableand pay attention windows tell com port assign cablebr h plug radio end cable radio turn power radio onbr go setting tc program set com port com port assign radiobr j click menu find read radio go click radio passwordso leave blankbr k program radio excellent guide youtube guy england explains lot radio basic thing set way setting guy name james fletcherbr httpyoutubezlantlabr br thats little radio ill try update month winter see work coldright work br ding company star programming cable well direction accompany radio shippedall time, 0.9911, 4]]"
B00PLK0HK2,"[-0.0516, 0.1901]","[3, 3]","[[battery, voltage, drop, use, internal, problem, correct, review, take, look, thinking, correct], [work, usb, powerbank, device, charge, phone, amp, charge, amp, use, usb, voltageamp, meter, device, good, cell, put, thing, thats, power, button, usb, indictor, light, light, load, dy, week]]","[[battery voltage drop use internal problem correct review take look thinking correct, -0.0516, 3], [work usb powerbank device charge phone amp charge amp use usb voltageamp meter device good cell put thing thats power button usb indictor light light load dy week, 0.1901, 3]]"
B00PQFZ644,[-0.3724],[2],"[[meet, expectation, put, phone, holster, turn, volume, phone, way, impress, purchase]]","[[meet expectation put phone holster turn volume phone way impress purchase, -0.3724, 2]]"
B00Q1T3Y2K,[-0.5035],[5],"[[audio, isnt, great, cant, understand, poor, review]]","[[audio isnt great cant understand poor review, -0.5035, 5]]"
B00Q7VSEO0,[0.0],[1],"[[item, return, phone]]","[[item return phone, 0.0, 1]]"
B00Q84C97Y,[0.0364],[1],"[[case, protects, phone, drop, time, back, peel, right, look]]","[[case protects phone drop time back peel right look, 0.0364, 1]]"
B00QHYF0TE,[0.699],[2],"[[like, case, get, shiny, stylish, easy, put, take, notice, start, slipping, hand, lot, day, land, face, gravel, path, im, done, case]]","[[like case get shiny stylish easy put take notice start slipping hand lot day land face gravel path im done case, 0.699, 2]]"
B00QK7OWMO,[0.0],[5],"[[loveee, phone, case, come, time]]","[[loveee phone case come time, 0.0, 5]]"
B00QSI1X1I,[0.9235],[4],"[[come, mail, super, cute, everything, think, im, using, kickstand, doesnt, pop, seems, b, awesome]]","[[come mail super cute everything think im using kickstand doesnt pop seems b awesome, 0.9235, 4]]"
B00QU4NO9O,[0.2023],[3],"[[case, work, fine, month, corner, color, chip]]","[[case work fine month corner color chip, 0.2023, 3]]"
B00QV3O5QA,[0.3384],[3],"[[hold, get, pay, screen, go, trip, shut, wouldnt, turn, day, try, work, color, screen, mess, setting, volume, gave, star, reason, awesome, concept, customer, service, quick, feel, quality, item, arrive, set, headphone, didnt, work, respond, send, guess, need, look, warranty, period, purchase, summer, think, uninstalling, tho]]","[[hold get pay screen go trip shut wouldnt turn day try work color screen mess setting volume gave star reason awesome concept customer service quick feel quality item arrive set headphone didnt work respond send guess need look warranty period purchase summer think uninstalling tho, 0.3384, 3]]"
B00QYAOYAC,[0.25],[2],"[[get, battery, dont, think, work, month, replaces, using, returning]]","[[get battery dont think work month replaces using returning, 0.25, 2]]"
B00QZ2DFEU,[0.7003],[5],"[[everything, hop, job, return, need, want]]","[[everything hop job return need want, 0.7003, 5]]"
B00RHMFQTO,"[0.289, -0.833]","[2, 3]","[[think, improvement, work, complaint, buy, better, inside, antenna, use, thing, ft, max, radius, wall, way, nd, complaint, instruction, expect, network, device, direct, china, purchase, note, card, vague, draw, piece, box, wasnt, mention, instruction, network, live, idea, rd, complaint, db, bump, get, data, speed, device, lead, believe, db, increase, think, im, get, box, send, cell, signal, improvedbr, br, attach, yagi, antenna, ft, facia, point, tower, move, inside, antenna, ft, horizontal, room, install, seem, work, increase, didnt, help, internet, speed, cell, phone, reception, inside, antenna, useless, disappoint, piece, return, piece, need, im, spending, get, work, ill, find, solution, wilson, know, guy, make, stuff, thing, isnt, time, fine, tune, thing, didnt, spend, inside, antenna], [good, booster, provide, get, average, signal, mine, difficult, tune, get, somehing, edge, rd, floor, signal, db, problem, occur, place, antenna, room, x, room, acceptable, nothing, trhe, room, gallery, check, interraction, antenna, inside, floor, feet, solution, implemant, others, antenna, room, coste, conclusion, booster, ok, provide, get, average, signal, get, room]]","[[think improvement work complaint buy better inside antenna use thing ft max radius wall way nd complaint instruction expect network device direct china purchase note card vague draw piece box wasnt mention instruction network live idea rd complaint db bump get data speed device lead believe db increase think im get box send cell signal improvedbr br attach yagi antenna ft facia point tower move inside antenna ft horizontal room install seem work increase didnt help internet speed cell phone reception inside antenna useless disappoint piece return piece need im spending get work ill find solution wilson know guy make stuff thing isnt time fine tune thing didnt spend inside antenna, 0.289, 2], [good booster provide get average signal mine difficult tune get somehing edge rd floor signal db problem occur place antenna room x room acceptable nothing trhe room gallery check interraction antenna inside floor feet solution implemant others antenna room coste conclusion booster ok provide get average signal get room, -0.833, 3]]"
B00RUKVM5U,[0.7264],[4],"[[piece, case, snap, leave, port, temper, glass, screen, protector, piece, snapon, case, peel, corner, case, snap, protector, leave, mark, star, paisley, print, miss, white, port, opening, know, case, purchase, satisfy, customer]]","[[piece case snap leave port temper glass screen protector piece snapon case peel corner case snap protector leave mark star paisley print miss white port opening know case purchase satisfy customer, 0.7264, 4]]"
B00RWHZS88,[0.9052],[5],"[[value, price, purchase, pack, stylus, arrive, stylus, package, oppose, color, one, contact, company, remedied, situation, send, someone, house, want, lightweight, tip, love, receive, plenty, replacement, tip, lanyard, find, useless, get, way, work, stylus, seem, disappear, house, trip, pack, spare, hand, work, reassure, deal, company, rectify, mistake, buy, stylus, disappear]]","[[value price purchase pack stylus arrive stylus package oppose color one contact company remedied situation send someone house want lightweight tip love receive plenty replacement tip lanyard find useless get way work stylus seem disappear house trip pack spare hand work reassure deal company rectify mistake buy stylus disappear, 0.9052, 5]]"
B00S65QXSO,[0.0],[1],"[[look, feel, cheap]]","[[look feel cheap, 0.0, 1]]"
B00SGZTKZW,[0.4404],[5],"[[charger, price]]","[[charger price, 0.4404, 5]]"
B00SLUGAWI,[0.6249],[5],[[quality]],"[[quality, 0.6249, 5]]"
B00T2R9VFM,[-0.631],[3],"[[come, work, get, color]]","[[come work get color, -0.631, 3]]"
B00TDGQIPS,"[0.6369, 0.6249]","[5, 5]","[[everything, expect, arrive, time], [case]]","[[everything expect arrive time, 0.6369, 5], [case, 0.6249, 5]]"
B00THGA3IM,"[0.6249, 0.3182, 0.9117]","[5, 3, 5]","[[item, deliver], [look, novel, read, recommend, author, read, book, book, continuation, book, book, read, read, page, hook, author, delight, author, check, amazon, look, book, write, give, book, star, underserved]]","[[item deliver, 0.6249, 5], [look novel read recommend author read book book continuation book book read read page hook author delight author check amazon look book write give book star underserved, 0.3182, 3], [, 0.9117, 5]]"
B00THJ6S4C,[0.0],[4],[[osu]],"[[osu, 0.0, 4]]"
B00TRTWLLQ,"[0.6115, 0.7227, 0.7096]","[5, 5, 5]","[[instal, take, patience, familiarity, assemble, thing, minute, concentrate, effort, view, youtube, video, screen, look, cheapest, quote, someone, fix, screen, absolute, success], [work, advise, friend, who, screen, break], [piece, glass, work, fine, install]]","[[instal take patience familiarity assemble thing minute concentrate effort view youtube video screen look cheapest quote someone fix screen absolute success, 0.6115, 5], [work advise friend who screen break, 0.7227, 5], [piece glass work fine install, 0.7096, 5]]"
B00TS6FJHG,[-0.4973],[1],"[[product, fit, phone, email, get, hear, recommend]]","[[product fit phone email get hear recommend, -0.4973, 1]]"
B00TXWS6TS,[0.4927],[4],[[product]],"[[product, 0.4927, 4]]"
