B0007L8BY4,[-0.3384],[1],"[[speaker, tear, apart, installation, speaker, sound, quality]]","[[speaker tear apart installation speaker sound quality, -0.3384, 1]]"
B00LA7IH7U,"[0.8257, 0.0, 0.6517, -0.8916, -0.7202]","[4, 4, 5, 1, 1]","[[deal, anyone, need, spare, phone, emergency, spy, lot, money, need, cheap, burner, phone, make, call, worry, nsa, track, location, lg, excellent, choice, kid, aside, purchase, phone, misplace, samsung, leaving, nyc, couple, day, didnt, time, look, house, cell, phone, lgc, purchase, holster, style, case, manhattan, issue, phone, voice, repeat, command, use, phone, dead, giveaway, hide, pursuer, lgc, great, phone, minutes, life, add, bonus], [little, phone, buy, item, use, sell, house, number, list, graphic, preiphone, preandroid, text, message, number, taptaptap, get, c, key, board, serve, purpose], [dissatisfaction, seller, information, give, phone, work, area, buy, tracfone, dont, find, provider, begin, tracfone, year, year, service, however, month, online, site, unexplained, issue, customer, service, call, bill, number, glitch, happen, customer, service, rep, name, karl, listen, ignore, everything, say, respond, indian, accent, tracfone, time, option, want, contract, service, become, transferring, provider, take, hammer, tracfone, device, phone, irritate, use, lack, option, come, expect], [trac, phone, line, recommend, tracfone, service, past, order, phone, update, current, tracfone, yr, longer, hold, charge, activate, phone, hour, rude, customer, service, people, know, go, issue, resolve, update, minute, time, month, days, minute, transfer, talk, people, tell, something, different, day, hour, hold, talk, person, wait, time, dont, say, use, phone, deactivate, phone, nothing], [get]]","[[deal anyone need spare phone emergency spy lot money need cheap burner phone make call worry nsa track location lg excellent choice kid aside purchase phone misplace samsung leaving nyc couple day didnt time look house cell phone lgc purchase holster style case manhattan issue phone voice repeat command use phone dead giveaway hide pursuer lgc great phone minutes life add bonus, 0.8257, 4], [little phone buy item use sell house number list graphic preiphone preandroid text message number taptaptap get c key board serve purpose, 0.0, 4], [dissatisfaction seller information give phone work area buy tracfone dont find provider begin tracfone year year service however month online site unexplained issue customer service call bill number glitch happen customer service rep name karl listen ignore everything say respond indian accent tracfone time option want contract service become transferring provider take hammer tracfone device phone irritate use lack option come expect, 0.6517, 5], [trac phone line recommend tracfone service past order phone update current tracfone yr longer hold charge activate phone hour rude customer service people know go issue resolve update minute time month days minute transfer talk people tell something different day hour hold talk person wait time dont say use phone deactivate phone nothing, -0.8916, 1], [get, -0.7202, 1]]"
B00LAEXDZY,[0.0],[1],"[[apart, clip, month, use]]","[[apart clip month use, 0.0, 1]]"
B00LFJFZSC,[0.0],[1],[[return]],"[[return, 0.0, 1]]"
B00LL6A6XS,"[0.9545, 0.7351, 0.5053, 0.9001]","[5, 5, 1, 4]","[[case, super, cute, day, remove, case, drop, phone, crack, corner, screen, ive, drop, phone, case, time, scratch], [case, iphone, amazon, price, time, purchase, spigen, case, family, love, recommend, anybody, look, quality, case, price], [hold, look], [slippery, doesnt, grip, slip, hand, wasnt, satisfy, get, use]]","[[case super cute day remove case drop phone crack corner screen ive drop phone case time scratch, 0.9545, 5], [case iphone amazon price time purchase spigen case family love recommend anybody look quality case price, 0.7351, 5], [hold look, 0.5053, 1], [slippery doesnt grip slip hand wasnt satisfy get use, 0.9001, 4]]"
B00LOYOFTI,[0.4215],[4],"[[nice, case]]","[[nice case, 0.4215, 4]]"
B00LPZYF7S,"[0.2263, 0.5994, 0.9077]","[5, 5, 5]","[[item, describe, super, fast, shipping], [dont, want, take, purse, essential, fit, pocket, fit, fire, phone, recommend, friend], [worth, buy]]","[[item describe super fast shipping, 0.2263, 5], [dont want take purse essential fit pocket fit fire phone recommend friend, 0.5994, 5], [worth buy, 0.9077, 5]]"
B00LXZVVR2,[0.4588],[4],[[aok]],"[[aok, 0.4588, 4]]"
B00LYZWN64,[0.8519],[4],"[[didnt, realize, come, china, love, use]]","[[didnt realize come china love use, 0.8519, 4]]"
B00M0O190O,[0.0675],[1],"[[cable, broke, fray, day, use, side, company, contact, faulty, product, offer, send, replacement, word, advice, dont, take, replacement, product, day, receive, replacement, product, bother, edit, review, give, well, receive, email, remind, correct, review, chance, use, product, process, move, bother, cable, fraying, day, use, time, attempt, charge, phone, use, doesnt, register, connect, buy, product]]","[[cable broke fray day use side company contact faulty product offer send replacement word advice dont take replacement product day receive replacement product bother edit review give well receive email remind correct review chance use product process move bother cable fraying day use time attempt charge phone use doesnt register connect buy product, 0.0675, 1]]"
B00M3MY3YC,[0.6249],[5],[[awesome]],"[[awesome, 0.6249, 5]]"
B00M4OYVJG,"[0.7512, 0.0]","[5, 5]","[[work, fine, att, hot, spot, lot, cheaper, others, want, thing, number, im, sure, take, hold, charge, make, backup, road, forget, didnt, bring, charger], [work, grest]]","[[work fine att hot spot lot cheaper others want thing number im sure take hold charge make backup road forget didnt bring charger, 0.7512, 5], [work grest, 0.0, 5]]"
B00M6IZ946,[0.5719],[5],"[[excellent, quality]]","[[excellent quality, 0.5719, 5]]"
B00M83HXXO,"[0.8304, 0.9509]","[4, 5]","[[gift, friend, love, style, color, work], [love]]","[[gift friend love style color work, 0.8304, 4], [love, 0.9509, 5]]"
B00MAHW96O,"[0.5023, 0.6249]","[5, 5]","[[blu, phone, phone, weighs, price, convenient]]","[[blu phone phone weighs price convenient, 0.5023, 5], [, 0.6249, 5]]"
B00MF8FZMI,[0.7069],[5],"[[fa, good, bluetooth, work, fine]]","[[fa good bluetooth work fine, 0.7069, 5]]"
B00MOYNRUK,[0.6705],[4],"[[whats, suppose]]","[[whats suppose, 0.6705, 4]]"
B00MWBYQH8,[-0.1779],[1],"[[weird, size]]","[[weird size, -0.1779, 1]]"
B00N0EFRM4,"[0.4404, 0.7351]","[4, 5]","[[purchase, year, build, length, awesome], [expect]]","[[purchase year build length awesome, 0.4404, 4], [expect, 0.7351, 5]]"
B00N16BXJ2,"[0.9274, 0.3612, 0.875, 0.6249]","[5, 4, 5, 5]","[[look, case, buck, get, look, case, protect, phone, everyday, drop, come, apply, screen, protector, prevent, scratch], [fit, great, price, screen, protector, easy, install, doesnt, bubble, air, recommend, product, iphone, user], [get, time, picture], [fit, great]]","[[look case buck get look case protect phone everyday drop come apply screen protector prevent scratch, 0.9274, 5], [fit great price screen protector easy install doesnt bubble air recommend product iphone user, 0.3612, 4], [get time picture, 0.875, 5], [fit great, 0.6249, 5]]"
B00NL35JCC,"[0.0, 0.9287]","[2, 5]","[[awesome, price, awesome, quality, cable, sure], [cord, didnt, work, start, last, week]]","[[awesome price awesome quality cable sure, 0.0, 2], [cord didnt work start last week, 0.9287, 5]]"
B00NL7FC20,[0.0],[3],"[[postage, window, stick, phone, cover]]","[[postage window stick phone cover, 0.0, 3]]"
B00NL9XFW2,[0.6124],[4],"[[product, awhile, take, minor, wear, tear]]","[[product awhile take minor wear tear, 0.6124, 4]]"
B00NOO3BWS,"[0.5719, 0.4215]","[5, 5]","[[look, nice, fit, phone], [excellent]]","[[look nice fit phone, 0.5719, 5], [excellent, 0.4215, 5]]"
B00NSG21XW,[0.4404],[5],[[material]],"[[material, 0.4404, 5]]"
B00NU0HFJG,[0.3612],[5],"[[work, say]]","[[work say, 0.3612, 5]]"
B00O0GZ6CM,[0.8519],[4],"[[case, great, love]]","[[case great love, 0.8519, 4]]"
B00O11LFBM,[0.8074],[5],"[[got, mother, want, love]]","[[got mother want love, 0.8074, 5]]"
B00O4UP6SI,[0.6249],[5],[[case]],"[[case, 0.6249, 5]]"
B00OALL6SU,[0.4404],[5],"[[quality, case]]","[[quality case, 0.4404, 5]]"
B00OB1I1RI,"[0.9288, -0.1938]","[5, 3]","[[nice, case, fit, moto, x], [buy, gift, wife, love, go, weekend, leave, purse, home, take, driver, license, credit, card, case, mention, cash, slot, come, handy, contemplate, order, couple, different, color, match, outfit, price, admission, hesitate, buy, time, come]]","[[nice case fit moto x, 0.9288, 5], [buy gift wife love go weekend leave purse home take driver license credit card case mention cash slot come handy contemplate order couple different color match outfit price admission hesitate buy time come, -0.1938, 3]]"
B00OBP0CNU,[0.8146],[5],"[[case, great, people, speak, etc, youd, get, use, headphones, port, use, angle, beat, wire, earbuds, otherwise]]","[[case great people speak etc youd get use headphones port use angle beat wire earbuds otherwise, 0.8146, 5]]"
B00OOCCKVW,[0.0],[1],"[[quality, inspector, end, deform, plug, phonebr, wait, week, product]]","[[quality inspector end deform plug phonebr wait week product, 0.0, 1]]"
B00OUS9ENW,[0.7579],[5],"[[think, order, case, oh, case]]","[[think order case oh case, 0.7579, 5]]"
B00OXR1QRW,"[-0.0906, 0.8271, -0.3612, -0.1154, 0.8885, 0.7902, 0.6369]","[1, 5, 5, 3, 5, 5, 5]","[[work, great, price], [thing, awesome, hook, note, go, charge, make, sure, use, include, charger, brick, quick, charge, charge, case, work], [absolute, garbage, switch, charge, charge, doesnt, matter, position, phone, place, type, phone], [work, g, come, ac, adapter], [note, ], [qi, charge, nexus, case, fuss, placement, hassle, look, spot, put, phone, stand, youre, business, qi, charger, try], [edit, return, buy, week, jack, power, join, become, loose, wouldnt, work, jiggle, wouldnt, hold, connection, tap, refunding, week, develop, problem, point, item, leave, sit, desk, home, work, dont, get, jostle, credit, seller, weeks, refund, charger, question, ask]]","[[work great price, -0.0906, 1], [thing awesome hook note go charge make sure use include charger brick quick charge charge case work, 0.8271, 5], [absolute garbage switch charge charge doesnt matter position phone place type phone, -0.3612, 5], [work g come ac adapter, -0.1154, 3], [note , 0.8885, 5], [qi charge nexus case fuss placement hassle look spot put phone stand youre business qi charger try, 0.7902, 5], [edit return buy week jack power join become loose wouldnt work jiggle wouldnt hold connection tap refunding week develop problem point item leave sit desk home work dont get jostle credit seller weeks refund charger question ask, 0.6369, 5]]"
B00OYATT36,[0.7351],[4],"[[work, great, fit, arm]]","[[work great fit arm, 0.7351, 4]]"
B00P07UZJE,[0.1796],[2],"[[protection, provide, phone, case, snap, side, provide, picture, phone]]","[[protection provide phone case snap side provide picture phone, 0.1796, 2]]"
B00PBPOIRU,[0.4297],[3],"[[thought, buying, secure, silicone, case, fault, stylish]]","[[thought buying secure silicone case fault stylish, 0.4297, 3]]"
B00PGIK8IK,[0.2732],[5],[[work]],"[[work, 0.2732, 5]]"
B00PJ50CBS,[0.6249],[5],"[[come, phone, great]]","[[come phone great, 0.6249, 5]]"
B00PUXQ92A,"[0.6249, -0.1655, 0.4404, 0.0, 0.7579, 0.3382, 0.926]","[5, 3, 5, 1, 5, 5, 5]","[[mine, work, fine, get, burn, right, price, im, complain], [thanks], [dont, work, try, charge], [variety, color, arrive, time, great, go, move, everything, work], [product, fine, ten, work, raise, pricebr, contact, info, deal, seller], [extra], [value, money, work, advertise, output, amp]]","[[mine work fine get burn right price im complain, 0.6249, 5], [thanks, -0.1655, 3], [dont work try charge, 0.4404, 5], [variety color arrive time great go move everything work, 0.0, 1], [product fine ten work raise pricebr contact info deal seller, 0.7579, 5], [extra, 0.3382, 5], [value money work advertise output amp, 0.926, 5]]"
B00PWK0JMW,[0.8979],[5],"[[life, case, doesnt, plain, fit]]","[[life case doesnt plain fit, 0.8979, 5]]"
B00Q2F5PQ6,"[-0.2755, -0.4767, 0.6369, 0.0, 0.34, 0.5719, 0.8885, 0.0644, 0.0, 0.5719, 0.7627, 0.8313]","[2, 1, 5, 5, 5, 5, 5, 4, 1, 5, 2, 4]","[[boyfriend, love, phone, case], [crazy, case, way, bulky, holster, broke, hour, ive, plenty, cheap, case, year, hold], [case, protects, phone, rubber, case, tight, phone], [happy, w, product, arriving, date], [case], [stylus, doesnt, fit, note, open], [work, great, protects, phone, great], [problem, instal, screen, take, alot, work, remove, bubble, minute, particle, otherwise, work, advertise], [sleek, look, clip, nice, fit, belt], [sturdy, get], [make, phone, mail, today], [order, part, get, use, sight]]","[[boyfriend love phone case, -0.2755, 2], [crazy case way bulky holster broke hour ive plenty cheap case year hold, -0.4767, 1], [case protects phone rubber case tight phone, 0.6369, 5], [happy w product arriving date, 0.0, 5], [case, 0.34, 5], [stylus doesnt fit note open, 0.5719, 5], [work great protects phone great, 0.8885, 5], [problem instal screen take alot work remove bubble minute particle otherwise work advertise, 0.0644, 4], [sleek look clip nice fit belt, 0.0, 1], [sturdy get, 0.5719, 5], [make phone mail today, 0.7627, 2], [order part get use sight, 0.8313, 4]]"
B00Q40SHHS,[-0.2755],[1],"[[didnt, look, image]]","[[didnt look image, -0.2755, 1]]"
B00QW2EXM6,[-0.4939],[1],"[[drop, grind, broke, latch, cash]]","[[drop grind broke latch cash, -0.4939, 1]]"
B00QXZAY0W,"[0.3818, -0.7722]","[4, 1]","[[work, perfect, charge, phone], [product, star, neglect, instinct, crazy, reason, review, review, purchase, product, take, forever, charge, phone, itll, die, sit, purse, reccomend, buy, po]]","[[work perfect charge phone, 0.3818, 4], [product star neglect instinct crazy reason review review purchase product take forever charge phone itll die sit purse reccomend buy po, -0.7722, 1]]"
B00R70CE64,[0.6249],[5],[[product]],"[[product, 0.6249, 5]]"
B00R9V2I3K,[0.5994],[5],"[[granddaughter, love]]","[[granddaughter love, 0.5994, 5]]"
B00RO7F1D8,[0.7536],[5],"[[didnt, beginning, didnt, feel, fit, love]]","[[didnt beginning didnt feel fit love, 0.7536, 5]]"
B00ROR9WH4,[0.8016],[5],"[[product, satisfy]]","[[product satisfy, 0.8016, 5]]"
B00RR884JC,"[0.764, 0.5023]","[3, 3]","[[front, screen, body, wrap, put, stay, place, piece, well], [install, okay, film, wrap, metal, edge, instal, ok, u, get, film, peel, u, put, phone, ur, pocket, use, phone]]","[[front screen body wrap put stay place piece well, 0.764, 3], [install okay film wrap metal edge instal ok u get film peel u put phone ur pocket use phone, 0.5023, 3]]"
B00S3OUFHI,[-0.1027],[4],"[[take, iphone, c]]","[[take iphone c, -0.1027, 4]]"
B00SCV0Q80,"[-0.4215, 0.6249, 0.4404]","[1, 5, 1]","[[order, useless], [junk, wast, thing, wasnt, take, forever, charge, iphone, ]]","[[order useless, -0.4215, 1], [junk wast thing wasnt take forever charge iphone , 0.6249, 5], [, 0.4404, 1]]"
B00SD0UNSI,[-0.3734],[2],"[[use, press, point, make, work, wreck, shield]]","[[use press point make work wreck shield, -0.3734, 2]]"
B00SKWS5C0,[-0.6705],[1],"[[fail, week, use, end, longer, stay, phone, whey, try, hold, phone, charge]]","[[fail week use end longer stay phone whey try hold phone charge, -0.6705, 1]]"
B00T6PKMYY,[0.9636],[5],"[[buy, daughter, birthday, pink, isnt, vibrant, picture, show, item, ship, prime, arrive, expect, stand, secure, rubber, black, grip, seem, make, daughter, love]]","[[buy daughter birthday pink isnt vibrant picture show item ship prime arrive expect stand secure rubber black grip seem make daughter love, 0.9636, 5]]"
B00TH3SQOI,"[0.6369, 0.296, 0.34]","[5, 3, 5]","[[device], [im, give, daughter, result, us], [buy, spire, im, year, practitioner, yoga, think, state, mind, evenkeeled, remember, incorporate, yogic, breathe, life, enter, spire, promise, coach, calm, real, time, accompany, spire, io, app, design, mean, device, accurate, wearing, bra, provide, reading, breathe, find, bruise, breastbone, waist, option, wear, found, didnt, register, breath, count, step, feature, iphones, health, app, didnt, yoga, practice, activity, worst, part, advertise, time, charge, day, deplete, charge, hour, sorry, spire, nice, concept, need, tweak]]","[[device, 0.6369, 5], [im give daughter result us, 0.296, 3], [buy spire im year practitioner yoga think state mind evenkeeled remember incorporate yogic breathe life enter spire promise coach calm real time accompany spire io app design mean device accurate wearing bra provide reading breathe find bruise breastbone waist option wear found didnt register breath count step feature iphones health app didnt yoga practice activity worst part advertise time charge day deplete charge hour sorry spire nice concept need tweak, 0.34, 5]]"
B00TNZUF7Q,"[0.0129, 0.7717, 0.5927, 0.0]","[1, 4, 1, 1]","[[work, wipe, fm, radio, reception, station], [suppose, provides, power, device, time, add, complication, form, interfere, car, radio, try, configuration, hop, fix, problem, bottom, line, time, port, charger, plug, car, radio, quality, drop, use, satellite, radio], [charge, fast, miliamp, usb, buy, broke, use, hence, star, dismantle, solder, bottom, spring, circuit, board, work, fluke, hope, happy, purchase, recommend], [fry, power, outlet, prius, stay]]","[[work wipe fm radio reception station, 0.0129, 1], [suppose provides power device time add complication form interfere car radio try configuration hop fix problem bottom line time port charger plug car radio quality drop use satellite radio, 0.7717, 4], [charge fast miliamp usb buy broke use hence star dismantle solder bottom spring circuit board work fluke hope happy purchase recommend, 0.5927, 1], [fry power outlet prius stay, 0.0, 1]]"
B00TRG8K0A,"[-0.1406, 0.0, 0.8376, 0.4939]","[1, 1, 2, 4]","[[receive, case, galaxy, edge, order, edge], [case, keep, lift, screen, protector, make, waste, film, protector, damage, coners, temper, glass, protector, worst, case, use, design, good, return], [case, fine, nothing, reason, im, give, star, description, say, screen, protector, cleaning, kit, include, package, none, item, include, case, worth, advertising, sell, ship, edit, contact, customer, service, make, leaving, review, stand], [case, seem, doesnt, make, phone, feel]]","[[receive case galaxy edge order edge, -0.1406, 1], [case keep lift screen protector make waste film protector damage coners temper glass protector worst case use design good return, 0.0, 1], [case fine nothing reason im give star description say screen protector cleaning kit include package none item include case worth advertising sell ship edit contact customer service make leaving review stand, 0.8376, 2], [case seem doesnt make phone feel, 0.4939, 4]]"
B00TUOH96K,[0.4404],[5],[[product]],"[[product, 0.4404, 5]]"
B00UCWYB42,[0.7003],[5],"[[excellent, case, fit, seem]]","[[excellent case fit seem, 0.7003, 5]]"
B00UD1D2LK,[0.4215],[4],[[nice]],"[[nice, 0.4215, 4]]"
B00USBHH9I,"[-0.3268, 0.6249]","[2, 5]","[[preform, cover, screen, company, respond, respond, ask, photo, say, nothing, thats, design], [product]]","[[preform cover screen company respond respond ask photo say nothing thats design, -0.3268, 2], [product, 0.6249, 5]]"
B00UUQDBYQ,[0.6478],[2],"[[take, headset, box, look, nice, put, box, return, amazon, purchase, item, use, laptop, road, unit, estimate, x, cord, plug, usb, cord, side, hence, receiver, foot, usb, port, end, cord, unexpected, part, look, description, want, something, thumb, smaller, plug, usb, side, please, note, disappointment, nothing, quality, headset, way, receiver, unit, work]]","[[take headset box look nice put box return amazon purchase item use laptop road unit estimate x cord plug usb cord side hence receiver foot usb port end cord unexpected part look description want something thumb smaller plug usb side please note disappointment nothing quality headset way receiver unit work, 0.6478, 2]]"
B00UY06WDK,[0.3384],[5],[[work]],"[[work, 0.3384, 5]]"
B00UYL7LIY,"[0.9505, 0.5719, 0.5253, -0.8401, 0.7003, 0.8519, -0.505, 0.7506, 0.9549, -0.6458]","[5, 5, 5, 2, 5, 5, 1, 5, 5, 4]","[[headset, work, iphone, sound, people, tell, loud, clear, use, day, charge, night, battery, issue, problem, recommend], [headset, pair, phone, purchase, use, bluetooth, enable, laptop, pair, work, speaker, computer, driver, software, issue, laptop, fix, process, nothing, headset, couple, hour, dell, support, upgrade, patching, bluetooth, sound, software, think, wireless, dock, station, upgrade, trick, work, use, record, narrate, class, lecture, student, use, online], [work, good, price, cheapshipping, fastgreat, sellerkeep, good, work], [keep, lose, connection, middle, conversation, worth, anything, feature, doesnt, work], [im, use, samsung, galaxy, android, phone, struggle, get, phone, recognize, availability, headset, make, call, seem, get, work, turn, headset, im, use, turning, make, call, make, call, row, dont, need, work, work, headset, phone, call, hear, people, complaint, im, come, complaint, therebr, br, thing, disappoint, couldnt, use, stream, audiobooks, im, less, concern, app, make, happen, use, medium, bt, mono, router, poor, audio, quality, work, cant, criticize, headset, lack, didnt, advertise, adp, capability, didnt, know, realize, necessarybr, br, sum, good, phone, headset, youre, look, something, audiobooks, choice], [work, great], [husband, love, live, say], [excellent], [im, sure, headset, iphone, connect, time, drop, call, headset, phone, past, problem, lead, believe, headset], [headset, excellent, product, price, getting, bluetooth, connect, connect, headset, work, charm, use, mobile, phone, work, phone, headset, make, sound, handset, decent, amount, noise, cancelling, recommend, wireless, headset]]","[[headset work iphone sound people tell loud clear use day charge night battery issue problem recommend, 0.9505, 5], [headset pair phone purchase use bluetooth enable laptop pair work speaker computer driver software issue laptop fix process nothing headset couple hour dell support upgrade patching bluetooth sound software think wireless dock station upgrade trick work use record narrate class lecture student use online, 0.5719, 5], [work good price cheapshipping fastgreat sellerkeep good work, 0.5253, 5], [keep lose connection middle conversation worth anything feature doesnt work, -0.8401, 2], [im use samsung galaxy android phone struggle get phone recognize availability headset make call seem get work turn headset im use turning make call make call row dont need work work headset phone call hear people complaint im come complaint therebr br thing disappoint couldnt use stream audiobooks im less concern app make happen use medium bt mono router poor audio quality work cant criticize headset lack didnt advertise adp capability didnt know realize necessarybr br sum good phone headset youre look something audiobooks choice, 0.7003, 5], [work great, 0.8519, 5], [husband love live say, -0.505, 1], [excellent, 0.7506, 5], [im sure headset iphone connect time drop call headset phone past problem lead believe headset, 0.9549, 5], [headset excellent product price getting bluetooth connect connect headset work charm use mobile phone work phone headset make sound handset decent amount noise cancelling recommend wireless headset, -0.6458, 4]]"
B00V3XIIWA,[0.4404],[5],[[purchase]],"[[purchase, 0.4404, 5]]"
B00V42X4AQ,[0.9776],[5],"[[case, need, replace, case, start, look, worn, stumble, gem, appears, picture, side, look, case, think, iphones, thick, caseand, graphic, make, look, feminine, gel, case, provide, protection, buy, bonus, case, arrive, super, fast, thumb]]","[[case need replace case start look worn stumble gem appears picture side look case think iphones thick caseand graphic make look feminine gel case provide protection buy bonus case arrive super fast thumb, 0.9776, 5]]"
B00V5P8WV8,[0.7783],[5],"[[cable, work, use, month, buy]]","[[cable work use month buy, 0.7783, 5]]"
B00V5WMRYO,[0.4754],[5],"[[nice, inexpensive]]","[[nice inexpensive, 0.4754, 5]]"
B00V8ND7K8,[0.3818],[1],"[[please, purchase, product, work, training, devise, product, hold, charge, purchase, item, state, money, waste, amazon, garmin, take, product, day, window, spoken, company, keep, talk, option, give, product, time, work, properlybr, contact, bbb, amazon, garmin]]","[[please purchase product work training devise product hold charge purchase item state money waste amazon garmin take product day window spoken company keep talk option give product time work properlybr contact bbb amazon garmin, 0.3818, 1]]"
B00VBC7MOI,[0.9061],[5],"[[fit, materiali, recommend]]","[[fit materiali recommend, 0.9061, 5]]"
B00VEID9RS,[0.4019],[5],"[[cord, exgirlfriends, dog, chew, yes, work, charmthank]]","[[cord exgirlfriends dog chew yes work charmthank, 0.4019, 5]]"
B00VHBQTBK,"[0.875, 0.8519]","[5, 5]","[[awesome, love, use, selfie, stick, note, ], [stick, item, attach, stay, position, worry, movement, get, use, went, beach, ocean, city, grand, daughter, love, get, use, purchase, material, solid, stick, year]]","[[awesome love use selfie stick note , 0.875, 5], [stick item attach stay position worry movement get use went beach ocean city grand daughter love get use purchase material solid stick year, 0.8519, 5]]"
B00VHYPDB4,[0.7351],[2],"[[mine, month, work, reception, however, phone, iphone, tooth, therefore, cant, use, anymore, ]]","[[mine month work reception however phone iphone tooth therefore cant use anymore , 0.7351, 2]]"
B00VRQRT8M,[0.7753],[5],"[[case, describe, order, case, style, disappoint]]","[[case describe order case style disappoint, 0.7753, 5]]"
B00VSAELWY,[0.91],[5],"[[phone, case, fit, perfect, husband, love]]","[[phone case fit perfect husband love, 0.91, 5]]"
B00VUJI91M,"[-0.1263, 0.7063, -0.25, -0.4939, -0.4391, -0.7351, 0.3252, 0.6249, -0.2263, 0.7496]","[1, 3, 1, 2, 1, 3, 1, 5, 1, 5]","[[stop, work, week, buy], [broke, day, use, connector, broke, phone, pull, submit, replacement, request], [high, quality, cable, price], [think, go, awesome, havent, month, theyre, break, error, message, keep, pop, stop, work, mid, way, night, didnt, charge, phone, purchase], [get, cable, work, fine, extra, length, let, plug, phone, ipad, reach, sofa, ease, work, light, end, break, month, thicker, apple, cable, seem, apple, product, break, thicker, non, apple, cable, broke], [ill, rate, item, star, product, ive, read, review, say, itll, work, awhile, stop, run, problem, ill, update, comment, cord, hold, fine, receive, day], [work, great, phone], [charger, work, shortage], [product, dont, work, spend, dollar, get, well, product, disappoint, order, supplier], [cord, state, iphone, dont, waste, money, dont, work, spend, money, buy, cord]]","[[stop work week buy, -0.1263, 1], [broke day use connector broke phone pull submit replacement request, 0.7063, 3], [high quality cable price, -0.25, 1], [think go awesome havent month theyre break error message keep pop stop work mid way night didnt charge phone purchase, -0.4939, 2], [get cable work fine extra length let plug phone ipad reach sofa ease work light end break month thicker apple cable seem apple product break thicker non apple cable broke, -0.4391, 1], [ill rate item star product ive read review say itll work awhile stop run problem ill update comment cord hold fine receive day, -0.7351, 3], [work great phone, 0.3252, 1], [charger work shortage, 0.6249, 5], [product dont work spend dollar get well product disappoint order supplier, -0.2263, 1], [cord state iphone dont waste money dont work spend money buy cord, 0.7496, 5]]"
B00VVWFOZM,[-0.6896],[1],"[[case, month, start, fall, apart, side, rip, use, quality, recommend]]","[[case month start fall apart side rip use quality recommend, -0.6896, 1]]"
B00VYBLK7Q,[0.8519],[5],"[[take, card, purse, wallet, flap, cover, screen, clumsiness, flip, use, strap, keep, place, case, pair, mine, screen, protector]]","[[take card purse wallet flap cover screen clumsiness flip use strap keep place case pair mine screen protector, 0.8519, 5]]"
B00VYBLKDU,"[-0.1725, 0.5346]","[3, 2]","[[get, close, card, see, starting, come], [super, cute, make, wrist, strap, rip, day, use, magnet, move, doesnt, guess, get, pay]]","[[get close card see starting come, -0.1725, 3], [super cute make wrist strap rip day use magnet move doesnt guess get pay, 0.5346, 2]]"
B00VZRYRII,"[0.4404, 0.7021, 0.6597, -0.729, -0.0726, -0.3182, -0.2297, 0.6597, 0.6369, 0.6335]","[5, 3, 2, 1, 5, 1, 1, 5, 5, 5]","[[thanks, cant, wait, try], [product, thank], [price, want, charge, device, work, data, transfer], [complaint, fear, apple, certify, device, accept, issue], [week, use, cord, iphone, start, get, accessory, support, message, time, unplug, replug, work, time, work, switch, annoying, dont, catch, dont, realize, charge, need, use, phone, good, price, worth, investment, buy, better, quality, one, time], [say, ipad, charge, minute, get, message, accessory, ipad, cable, waste, junk], [cord, flimsy, dont, charge, phone, show, connect, power, lightning, connector, hard, fit, phone, avoid], [cable, buy, vendor, amazon, seem, bought, past, month, work, time, stop, work], [cable, faulty, none, work]]","[[thanks cant wait try, 0.4404, 5], [product thank, 0.7021, 3], [price want charge device work data transfer, 0.6597, 2], [complaint fear apple certify device accept issue, -0.729, 1], [week use cord iphone start get accessory support message time unplug replug work time work switch annoying dont catch dont realize charge need use phone good price worth investment buy better quality one time, -0.0726, 5], [say ipad charge minute get message accessory ipad cable waste junk, -0.3182, 1], [cord flimsy dont charge phone show connect power lightning connector hard fit phone avoid, -0.2297, 1], [cable buy vendor amazon seem bought past month work time stop work, 0.6597, 5], [cable faulty none work, 0.6369, 5], [, 0.6335, 5]]"
B00W1T6PQQ,[0.9413],[5],"[[graphic, fit, phone, textured, case, give, nice, feel, buy, sure]]","[[graphic fit phone textured case give nice feel buy sure, 0.9413, 5]]"
B00W4RKXYU,[0.7906],[5],"[[protects, phone, case]]","[[protects phone case, 0.7906, 5]]"
B00W65VKVA,"[0.9186, 0.3716, 0.0]","[5, 2, 1]","[[quality, pack, front, glass, interferes, edge, function, doesnt, cover, edge, width, isnt], [case, fit, edge, look], [phone, edge, case, didnt, work]]","[[quality pack front glass interferes edge function doesnt cover edge width isnt, 0.9186, 5], [case fit edge look, 0.3716, 2], [phone edge case didnt work, 0.0, 1]]"
B00W747DMU,[0.9541],[5],"[[case, galaxy, ive, purchase, wallet, case, quality, phone, case, detaches, excellent, quality, better, anyone, el, market, dont, waste, time, buy, case]]","[[case galaxy ive purchase wallet case quality phone case detaches excellent quality better anyone el market dont waste time buy case, 0.9541, 5]]"
B00WAJDK3I,"[0.8555, 0.848]","[5, 5]","[[seems, work, tiny, antenna, sorta, suck, put, metal, plate, help, im, plan, buying, outdoor, antenna], [awesome, product, bring, strength, db, db, speed, increase, mbps, mbps, average]]","[[seems work tiny antenna sorta suck put metal plate help im plan buying outdoor antenna, 0.8555, 5], [awesome product bring strength db db speed increase mbps mbps average, 0.848, 5]]"
B00WCMRZ1G,[-0.4767],[3],"[[poor, quality, fall, apart, us]]","[[poor quality fall apart us, -0.4767, 3]]"
