1061799832,[-0.296],[5],"[[work, advertise, issue]]","[[work advertise issue, -0.296, 5]]"
B00XN5LJ4U,"[0.9428, 0.8042, 0.2732, 0.0, 0.969, 0.7992, 0.5423, -0.8589, 0.8957, 0.8074, 0.4404, 0.6249, -0.4678, 0.836, 0.3612, 0.9382, 0.0, 0.5719, 0.5719, 0.9947, 0.3127, 0.9483, 0.8051, 0.8063, 0.0]","[5, 5, 5, 1, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 4, 2, 4, 5, 5, 5, 5, 5, 5, 5, 5]","[[glass, screen, protector, work, save, phone, occasion, stay, intact, think, break, yootech, great, company, stand, product, excellent, customer, service, recommend, screen, protector, lg, g, user], [product, fit, look, issue, crack, screen, replace], [delivery, great, price], [excellent, item, fit, lg, g, buy, seller], [put, phone, lg, g, week, happy, yesterday, fall, hand, ground, lcd, face, ground, pciked, saw, screen, protector, break, thought, screen, protector, remove, saw, lg, g, lcd, break, iwas, upset, angry, doesnt, effect, phone, fall, distance, tell, people], [screen, protector, amaze, went, super, easy, seem, case, unsure, case, case, im, sure, others], [product, apply, fit, suppose], [husband, avoid, temper, glass, screen, protector, phone, theyre, buying, pay, broken, screenbr, br, yootech, temper, glass, screen, protector, made, figure, couldnt, worse, plastic, film, surprise, ship, easiest, thing, ive, see, took, mobile, install, rep, say, fastest, easiest, install, hed, do, recommend, youll, purchase, head, way, doesnt, temper, glass, screen, protector, lg, g, locationbr, br, put, case, phone, screen, protector, ive, edge, didnt, start, adhesion, way, bevel, curve, edge, dont, end, snag, tugging, edge, whaaat, productbr, br, pro, inexpensive, quality, perfect, screen, response, werent, anything, screen, easy, fast, install, quick, shipping, thin, bevel, curve, edgebr, br, con, pick, print, film, pro, easier, remove, finger, print, film], [phone, fit, issue, put, need, see, work, drop, ill, come, report], [apply, didnt, face, problem, love, come, tow, wipe, screen, wit], [weve, order, phone, family, protectorsmy, finger, feel, move, glass, problem, couldnt, get, bubble, others, install, problem, replace, contact, customer, service, email, address, please], [doubt, temper, glass, protector, ive, buy, own, multiple, phone, tablet, use, temper, glass, anything, love, try, brand, let, joke, product, brand, ive, try, protector, cutout, front, camera, headset, port, front, align, matter, try, make, glass, poor, quality, crack, day, month, use, chip, develop, edge, glass, carve, nice, gash, daughter, playing, game, story, dont, waste, time, dont, waste, money, product, exist, price, less, worth, money, wont, protect, device], [till, everything, alright, phone, leather], [upscale, quality, excellent, value, worry, purchase], [beast, deal], [quality], [price, great, ease, installation, great, fit, performance, great, im, pay, end, brand, name, work, get, scuff, looking, cheap, buy, notreallyawarranty, warranty, manufacture, profess], [month, phone, fell, distance, cover, nd, screen, protector, screen, crack, protector, hairline, crack, stop, shatter, crack, skinbr, back, either, get, refund, screen, cover], [crack, week], [product, awesome, time, place, screen, protector, place, thank, yootech], [level, protection, thick, conform, curve, screen, float, air, pocket, side, screen], [excellent], [protection], [seems, fine, install], [buy, week, went, direct, problem, phone, drop, slide, surface, scratch, glass, film, work, promisedbr, br, need, retap, icon, push, harder, slide, something, time, work, film, wasnt, therebr, br, direction, clean, cloth, make, super, simple, make, stick]]","[[glass screen protector work save phone occasion stay intact think break yootech great company stand product excellent customer service recommend screen protector lg g user, 0.9428, 5], [product fit look issue crack screen replace, 0.8042, 5], [delivery great price, 0.2732, 5], [excellent item fit lg g buy seller, 0.0, 1], [put phone lg g week happy yesterday fall hand ground lcd face ground pciked saw screen protector break thought screen protector remove saw lg g lcd break iwas upset angry doesnt effect phone fall distance tell people, 0.969, 5], [screen protector amaze went super easy seem case unsure case case im sure others, 0.7992, 5], [product apply fit suppose, 0.5423, 5], [husband avoid temper glass screen protector phone theyre buying pay broken screenbr br yootech temper glass screen protector made figure couldnt worse plastic film surprise ship easiest thing ive see took mobile install rep say fastest easiest install hed do recommend youll purchase head way doesnt temper glass screen protector lg g locationbr br put case phone screen protector ive edge didnt start adhesion way bevel curve edge dont end snag tugging edge whaaat productbr br pro inexpensive quality perfect screen response werent anything screen easy fast install quick shipping thin bevel curve edgebr br con pick print film pro easier remove finger print film, -0.8589, 1], [phone fit issue put need see work drop ill come report, 0.8957, 5], [apply didnt face problem love come tow wipe screen wit, 0.8074, 5], [weve order phone family protectorsmy finger feel move glass problem couldnt get bubble others install problem replace contact customer service email address please, 0.4404, 5], [doubt temper glass protector ive buy own multiple phone tablet use temper glass anything love try brand let joke product brand ive try protector cutout front camera headset port front align matter try make glass poor quality crack day month use chip develop edge glass carve nice gash daughter playing game story dont waste time dont waste money product exist price less worth money wont protect device, 0.6249, 5], [till everything alright phone leather, -0.4678, 5], [upscale quality excellent value worry purchase, 0.836, 5], [beast deal, 0.3612, 4], [quality, 0.9382, 2], [price great ease installation great fit performance great im pay end brand name work get scuff looking cheap buy notreallyawarranty warranty manufacture profess, 0.0, 4], [month phone fell distance cover nd screen protector screen crack protector hairline crack stop shatter crack skinbr back either get refund screen cover, 0.5719, 5], [crack week, 0.5719, 5], [product awesome time place screen protector place thank yootech, 0.9947, 5], [level protection thick conform curve screen float air pocket side screen, 0.3127, 5], [excellent, 0.9483, 5], [protection, 0.8051, 5], [seems fine install, 0.8063, 5], [buy week went direct problem phone drop slide surface scratch glass film work promisedbr br need retap icon push harder slide something time work film wasnt therebr br direction clean cloth make super simple make stick, 0.0, 5]]"
B00XNR4J4A,[0.6249],[5],[[sellar]],"[[sellar, 0.6249, 5]]"
B00XOZOM52,[0.5994],[5],[[super]],"[[super, 0.5994, 5]]"
B00XV6HMMY,[0.4007],[4],"[[case, price, protect, case]]","[[case price protect case, 0.4007, 4]]"
B00XVCIZN8,[0.0],[1],"[[handle, fee, cradle]]","[[handle fee cradle, 0.0, 1]]"
B00XYJMKFW,"[-0.6808, -0.6418]","[1, 2]","[[broke, week, week], [purple, work, week, warn, sign, app, compatible, accessory, believe, come, phone, mid, charge, give, boyfriend, work, day, warn, sign, appear, longer, use, time, plug, phone, sign, come, iphone, longer, work, phone, iphone, cbr, br, charge, phone, durability, wise, sturdy, lot, longer, come, iphone, im, sure, apple, certify, buy, iphone, charger, year, problem, use, think, get]]","[[broke week week, -0.6808, 1], [purple work week warn sign app compatible accessory believe come phone mid charge give boyfriend work day warn sign appear longer use time plug phone sign come iphone longer work phone iphone cbr br charge phone durability wise sturdy lot longer come iphone im sure apple certify buy iphone charger year problem use think get, -0.6418, 2]]"
B00YG825EQ,[0.6115],[5],"[[rubber, feel, protect, phone]]","[[rubber feel protect phone, 0.6115, 5]]"
B00YOC41RS,[-0.0534],[4],"[[case, fine, job, gel, seem, become, loose, occasion]]","[[case fine job gel seem become loose occasion, -0.0534, 4]]"
B00YSMWL1C,"[0.4007, 0.6808, 0.9656, -0.2411, 0.7131]","[5, 5, 5, 4, 5]","[[im, impress, case, look, feel, im, confident, protect, phone, case, drop, got, someone, purchase, casebr, snug, fit, grip, side, grip, feel, grip, difficult, get, pocket, casebr, br, thanks, guy, work], [year, old, assemble, attach, case, phone, im, sure, attache, hell, quick, he, product, headphone, port, access, accomidate, jack, slim, case, jack, function], [case, cant, get, well, price], [product, look, elegant], [case, slim, protection, case, job, bulky, clear, allow, camo, phone, case, form, phone]]","[[im impress case look feel im confident protect phone case drop got someone purchase casebr snug fit grip side grip feel grip difficult get pocket casebr br thanks guy work, 0.4007, 5], [year old assemble attach case phone im sure attache hell quick he product headphone port access accomidate jack slim case jack function, 0.6808, 5], [case cant get well price, 0.9656, 5], [product look elegant, -0.2411, 4], [case slim protection case job bulky clear allow camo phone case form phone, 0.7131, 5]]"
B00YT1IZYO,"[0.6249, 0.6249]","[5, 5]","[[product, service]]","[[product service, 0.6249, 5], [, 0.6249, 5]]"
B00Z02KVQ6,"[0.9583, 0.9963, 0.5719, -0.5216, 0.8625]","[5, 5, 5, 3, 5]","[[doesnt, protect, screen, protect], [take, research, research, smartphone, purchase, lg, g, advance, looking, go, galaxy, phone, say, wow, lg, nail, ah, case, phone, daunt, task, feel, everyone, otterbox, want, follow, lead, take, trial, error, land, perfect, case, know, case, stylish, love, circle, feature, lg, employ, woth, g, case, opinion, better, lg, brand, mire, home, run, rock, case, classy, great, functionality, amaze, grip, hope, hold, give, rave, review, btw, manufacturer, valkrie, make, amaze, protection, case, lg, g, valkyrie, runic, shield, lg, g, case, lg, g, bullet, gray, shock, absorbent, cushion, layer, design, solid, case, occasion, case, great, want, use, flip, feature, perfect, cutout, stylish, gray, make, trial, error, thing, take], [case, exceed, expectation, phone, leather, fit, case, feel, bulky, exterior, case, feel, smooth, screen, protect, quick, circle, app, run, case, dont, need, think, twice], [try, quick, circle, case, lg, g, way, slippery, hand, keep, feel, go, drop, texture, make, feel, secure, hand, grab, case, shape, phone, close, time, open, hold, look, fit, well, value, oem, case, g, wish, make, color, id, buy, wish, quick, circle, case, cover, window, thats, style, work], [perfect]]","[[doesnt protect screen protect, 0.9583, 5], [take research research smartphone purchase lg g advance looking go galaxy phone say wow lg nail ah case phone daunt task feel everyone otterbox want follow lead take trial error land perfect case know case stylish love circle feature lg employ woth g case opinion better lg brand mire home run rock case classy great functionality amaze grip hope hold give rave review btw manufacturer valkrie make amaze protection case lg g valkyrie runic shield lg g case lg g bullet gray shock absorbent cushion layer design solid case occasion case great want use flip feature perfect cutout stylish gray make trial error thing take, 0.9963, 5], [case exceed expectation phone leather fit case feel bulky exterior case feel smooth screen protect quick circle app run case dont need think twice, 0.5719, 5], [try quick circle case lg g way slippery hand keep feel go drop texture make feel secure hand grab case shape phone close time open hold look fit well value oem case g wish make color id buy wish quick circle case cover window thats style work, -0.5216, 3], [perfect, 0.8625, 5]]"
B00ZI6H0JU,[0.7579],[5],"[[lens, fit, look, arrive, state]]","[[lens fit look arrive state, 0.7579, 5]]"
B00ZXFHALE,[0.5106],[5],"[[keep, phone, sand, beach, boat, take, picture]]","[[keep phone sand beach boat take picture, 0.5106, 5]]"
B00ZYYVH0E,[0.8519],[5],"[[case, come, sooner, expect, case, durablebelt, clip, great]]","[[case come sooner expect case durablebelt clip great, 0.8519, 5]]"
B010H0YHH4,[-0.4767],[2],"[[whine, noise, listen, music, sudden, disconnect, stop, go, speaker]]","[[whine noise listen music sudden disconnect stop go speaker, -0.4767, 2]]"
B010H1MWUC,[0.8658],[4],"[[work, best, area, dark, screen, blur, anglebr, br, work, use, phone, portrait, watch, video, landscape, cause, plan, use, watch, video, look, youre, look, hide, text, picture, nosey, product, work]]","[[work best area dark screen blur anglebr br work use phone portrait watch video landscape cause plan use watch video look youre look hide text picture nosey product work, 0.8658, 4]]"
B010P5NZC4,"[0.3384, 0.4767]","[5, 3]","[[micro, nano, sim, adapter, bit, loose, end, micro, sim, keep, fall, inserting, sim, slot, end, make, work, stay, place, work, fine], [adapter, work]]","[[micro nano sim adapter bit loose end micro sim keep fall inserting sim slot end make work stay place work fine, 0.3384, 5], [adapter work, 0.4767, 3]]"
B01173YXRE,[-0.4549],[5],"[[hi, want, say, fault, iphone, thought, size, get, realize, come, today, case, way, return, phone, get, money]]","[[hi want say fault iphone thought size get realize come today case way return phone get money, -0.4549, 5]]"
B012S0KXBA,[-0.296],[1],"[[people, kind, product, time, put, address, case, suck, volume, control, isnt, phone]]","[[people kind product time put address case suck volume control isnt phone, -0.296, 1]]"
B012SUAQ6M,[0.95],[5],"[[happy, band, look, recommend]]","[[happy band look recommend, 0.95, 5]]"
B012TR9K4I,[0.9165],[5],"[[come, look, picture, case, feel, picture, jon, bon, jovi, clear, case, phone, show, member, band, ]]","[[come look picture case feel picture jon bon jovi clear case phone show member band , 0.9165, 5]]"
B012Z8E2VW,[0.8885],[5],"[[hand, hold, device, owner, know, importance, charger, mean, whats, use, gadget, empty, battery, owner, constant, find, charger, deliver, experience, product, function, something, recommend, everyone]]","[[hand hold device owner know importance charger mean whats use gadget empty battery owner constant find charger deliver experience product function something recommend everyone, 0.8885, 5]]"
B013DDMPXK,"[0.4927, 0.34, 0.6855, 0.8516, 0.8737, -0.6207]","[5, 5, 5, 5, 5, 1]","[[product, arrive, day, expect, want, direction, box, understand, screen, protector, want, price, quality, product], [instruction, box, type, couldnt, see, aid, scope, dare, anyone, read, pair, glass, purchase, product, instruction, confuse, write, try, tube, wasnt, found, end, throw, get, frustrate, note, evel, frustration, wish, return, part, order, empty, box, baxk, assure, try, time, instal, product, one, sucess, resend, product, send, refund, thanks], [go, material, clean, get], [price, quick, delivery], [satisfy, experiencefrom, great, price, item, delivery, product, product, quality, definite, recommendation, iphone, owner], [nice, fit, perfect, application]]","[[product arrive day expect want direction box understand screen protector want price quality product, 0.4927, 5], [instruction box type couldnt see aid scope dare anyone read pair glass purchase product instruction confuse write try tube wasnt found end throw get frustrate note evel frustration wish return part order empty box baxk assure try time instal product one sucess resend product send refund thanks, 0.34, 5], [go material clean get, 0.6855, 5], [price quick delivery, 0.8516, 5], [satisfy experiencefrom great price item delivery product product quality definite recommendation iphone owner, 0.8737, 5], [nice fit perfect application, -0.6207, 1]]"
B013G33NYW,[0.7083],[5],"[[case, expect, stylist, doesnt, work, use, finger, love, case, come, earlier, expect, kinda, texture, cant, see, product, photo, inside, soft, cloth, material]]","[[case expect stylist doesnt work use finger love case come earlier expect kinda texture cant see product photo inside soft cloth material, 0.7083, 5]]"
B013J91QR4,[-0.1945],[1],"[[week, drop, phone, screen, shatter, dont, waste, money]]","[[week drop phone screen shatter dont waste money, -0.1945, 1]]"
B013XEVO22,"[0.8176, -0.6152]","[5, 1]","[[buy, get, alert, say, cheater, reliable, end, trash, dont, want, mess, battery], [product, good, recommend, family, friend]]","[[buy get alert say cheater reliable end trash dont want mess battery, 0.8176, 5], [product good recommend family friend, -0.6152, 1]]"
