B000O52ZY0,[0.4404],[5],"[[well, speaker, stock, tahoe]]","[[well speaker stock tahoe, 0.4404, 5]]"
B00MOB6JXK,"[0.5719, 0.6369]","[5, 5]","[[case], [perfect]]","[[case, 0.5719, 5], [perfect, 0.6369, 5]]"
B00MR4ELLQ,"[-0.4215, -0.4767, 0.3612]","[1, 1, 5]","[[drop, break], [broke, belt], [fit]]","[[drop break, -0.4215, 1], [broke belt, -0.4767, 1], [fit, 0.3612, 5]]"
B00MVF0YXA,[0.296],[4],"[[complaint, seem, far, get, price, apple]]","[[complaint seem far get price apple, 0.296, 4]]"
B00N7033DG,"[-0.5106, 0.8342, 0.3612]","[4, 5, 1]","[[wasnt, use, gripper, try, make, fit, spyder, cheaper, keep, ship], [advertise, ship, fit, motorcycle, products, fault, work], [fall, ride, gripper, keep, phone, fall, get, broke, excellent, device, youre, rid]]","[[wasnt use gripper try make fit spyder cheaper keep ship, -0.5106, 4], [advertise ship fit motorcycle products fault work, 0.8342, 5], [fall ride gripper keep phone fall get broke excellent device youre rid, 0.3612, 1]]"
B00NB704Q4,[0.4647],[5],"[[hold, card, hold, dont, number, push, ie, flatbr, worry, least, everyday, held, month, farbr, price]]","[[hold card hold dont number push ie flatbr worry least everyday held month farbr price, 0.4647, 5]]"
B00NFAEPL2,[0.4215],[5],[[color]],"[[color, 0.4215, 5]]"
B00NH9814S,[0.4404],[3],"[[smell, work, goodits, get, pocket]]","[[smell work goodits get pocket, 0.4404, 3]]"
B00NHGUY0K,"[0.7425, 0.4576]","[5, 1]","[[use, begin, side, order, thing, happen, time, apply, screen, mustve, product], [screen, protection, use, recommend, buyer]]","[[use begin side order thing happen time apply screen mustve product, 0.7425, 5], [screen protection use recommend buyer, 0.4576, 1]]"
B00NJ2OMBY,"[0.9895, -0.7715]","[5, 1]","[[screen, crack, day, application, contact, sir, lancelot, armor, amazon, time, defective, product, get, replace, warranty, ignore, guess, rip, thought, legit, lot, people, upset, performance, product, agree, sir, lancelot, armor, company, stand, advertise, warranty], [get, hand, mine, side, nothing, affect, didnt, try, take, n, lay, screen, adhere, bubble, thats, place, bam, youre, done, doesnt, wrap, side, sit, tiny, space, side, allow, use, case, ive, get, incipeo, ngp, feel, touch, perfect, look, feel, glass, touch, smooth, distortion, havent, drop, phone, dont, know, protect, screen, im, hopeful, drop, sir, lancelot, save, day]]","[[screen crack day application contact sir lancelot armor amazon time defective product get replace warranty ignore guess rip thought legit lot people upset performance product agree sir lancelot armor company stand advertise warranty, 0.9895, 5], [get hand mine side nothing affect didnt try take n lay screen adhere bubble thats place bam youre done doesnt wrap side sit tiny space side allow use case ive get incipeo ngp feel touch perfect look feel glass touch smooth distortion havent drop phone dont know protect screen im hopeful drop sir lancelot save day, -0.7715, 1]]"
B00NJEGHHO,"[0.8658, 0.7783]","[5, 5]","[[purchase, seido, case, cell, phone, cheap, imo], [cell, phone, case, improvement, latch, lock, phone, int]]","[[purchase seido case cell phone cheap imo, 0.8658, 5], [cell phone case improvement latch lock phone int, 0.7783, 5]]"
B00NTMWIJM,[0.9747],[5],"[[niftyty, secures, snap, closure, provides, everything, need, want, mean, carry, phone, im, walk, dog, leash, hand, item, hand, meet, requirement, arrive, appreciate, area, cash, credit, card, shoulder, strap, wrist, strap, enclose, gadget, light, weight, mini, droid, case, weighs, phone, room, phone, hold, larger, phone]]","[[niftyty secures snap closure provides everything need want mean carry phone im walk dog leash hand item hand meet requirement arrive appreciate area cash credit card shoulder strap wrist strap enclose gadget light weight mini droid case weighs phone room phone hold larger phone, 0.9747, 5]]"
B00NUFCANW,[0.9567],[4],"[[look, far, phone, hasnt, fallen, idk, protect, phone, im, give, untill, phone, fall, update]]","[[look far phone hasnt fallen idk protect phone im give untill phone fall update, 0.9567, 4]]"
B00NW6KKAE,[0.7003],[5],"[[classy, case, good, cover, protection]]","[[classy case good cover protection, 0.7003, 5]]"
B00NXEX7XW,[-0.4215],[1],"[[anchor, fell, day, part, hold, phone, snap, put, phone, case, time, waste]]","[[anchor fell day part hold phone snap put phone case time waste, -0.4215, 1]]"
B00NXM85FE,"[0.3716, 0.4404, 0.7425]","[5, 5, 5]","[[deliver, expect, condition, return, isnt, unlock, use, tmobile, data, web, usage, make, call, phone, need, phone, feature, request, return, accept, problem, im, experience], [phone, good], [phone, youtube, app, dont, work, use, browser, watch, youtube]]","[[deliver expect condition return isnt unlock use tmobile data web usage make call phone need phone feature request return accept problem im experience, 0.3716, 5], [phone good, 0.4404, 5], [phone youtube app dont work use browser watch youtube, 0.7425, 5]]"
B00O04Z13S,[-0.6124],[1],"[[pink, part, front, phone, case, bent, broke]]","[[pink part front phone case bent broke, -0.6124, 1]]"
B00O0H3CAE,[0.5719],[5],"[[excellent, seller, item, meet, specification]]","[[excellent seller item meet specification, 0.5719, 5]]"
B00OFEZKIY,[0.9196],[5],"[[case, slick, couple, minor, drop, harm, phone, love, radiation, reduction, make, feel, phone, work, trust, company, design, work, men, woman, husband, use, case, year, customer, service, past, experience, let, kid, play, phone, hubby, concern, radiation, dont, want, take]]","[[case slick couple minor drop harm phone love radiation reduction make feel phone work trust company design work men woman husband use case year customer service past experience let kid play phone hubby concern radiation dont want take, 0.9196, 5]]"
B00OK5L80M,"[0.8807, 0.9623, 0.5994, 0.6369]","[5, 5, 5, 5]","[[go, ipad, youre, minion, fan], [love], [case], [case, arrive, perfect, condition, look, picture, snug, phone, make, cause, mean, phone, wont, fall, cover]]","[[go ipad youre minion fan, 0.8807, 5], [love, 0.9623, 5], [case, 0.5994, 5], [case arrive perfect condition look picture snug phone make cause mean phone wont fall cover, 0.6369, 5]]"
B00OLKROZO,[0.8519],[5],"[[give, star, customer, service, customer, service, excellent, thank]]","[[give star customer service customer service excellent thank, 0.8519, 5]]"
B00OQGJE7Y,"[-0.0772, -0.7003, 0.2382]","[1, 2, 1]","[[leak, phone, insidebr, minute, test, work, charm, phone, phone, inside, water, come, inch, submergedbr, crapples], [gone, case, lst, month, time, flip, cover, spen, break, make, call, people, hear, yell, say, sound, tin, buy], [leak, destroy, note, ]]","[[leak phone insidebr minute test work charm phone phone inside water come inch submergedbr crapples, -0.0772, 1], [gone case lst month time flip cover spen break make call people hear yell say sound tin buy, -0.7003, 2], [leak destroy note , 0.2382, 1]]"
B00ORIXO9K,[0.807],[5],"[[work, great, use]]","[[work great use, 0.807, 5]]"
B00ORVQS1I,[0.9804],[5],"[[update, go, chinajuentai, dot, com, load, software, company, website, model, chinajuentai, dot, com, download, uvvvexezip, software, radio, work, test, today, anything, change, update, need, baofeng, see, chrip, driver, find, think, ver, driver, issue, morebr, br, update, range, great, house, le, block, short, diamond, antenna, watt, compare, unit, watt, range, seems, battery, life, longer, believe, radio, house, pool, emergency, purpose, help, stuff, housebr, br, update, software, need, please, jtuvr, use, verbr, br, massage, work, try, software, jtuv, read, block, need, software, please, add, photo, show, read, block, see, picture, update, work, anything, change, update]]","[[update go chinajuentai dot com load software company website model chinajuentai dot com download uvvvexezip software radio work test today anything change update need baofeng see chrip driver find think ver driver issue morebr br update range great house le block short diamond antenna watt compare unit watt range seems battery life longer believe radio house pool emergency purpose help stuff housebr br update software need please jtuvr use verbr br massage work try software jtuv read block need software please add photo show read block see picture update work anything change update, 0.9804, 5]]"
B00OTIZJEG,[-0.2755],[4],"[[didnt, note, write, item]]","[[didnt note write item, -0.2755, 4]]"
B00OUWHVQK,[0.8622],[5],"[[case, look, keyboard, work, use, take, note, class, type, ease]]","[[case look keyboard work use take note class type ease, 0.8622, 5]]"
B00OXIJYJS,[0.6249],[5],[[product]],"[[product, 0.6249, 5]]"
B00OZ9QO2U,[0.9419],[5],"[[case, come, quality, im, use, alcatel, icon, pop, read, couple, review, say, fit, ok, cut, piece, volume, offon, switch, side, use, button, case, protection, damage, gotten, compliment, attractive]]","[[case come quality im use alcatel icon pop read couple review say fit ok cut piece volume offon switch side use button case protection damage gotten compliment attractive, 0.9419, 5]]"
B00P0I7EXI,[-0.7869],[2],"[[color, case, lack, quality, bottom, cover, misalign, doesnt, snap, place, im, time, charge, phone, case, thick, allow, proper, insertion, charge, cord, receive, case, today, return]]","[[color case lack quality bottom cover misalign doesnt snap place im time charge phone case thick allow proper insertion charge cord receive case today return, -0.7869, 2]]"
B00P6ZNMSG,"[0.1351, 0.6249, 0.7717]","[5, 5, 5]","[[stun, product, case, fit, screen, protectorcame, day, choose, day, shipping, take, day, get], [price, car, charger, charger, wall, charger], [bundle, get, get, phone]]","[[stun product case fit screen protectorcame day choose day shipping take day get, 0.1351, 5], [price car charger charger wall charger, 0.6249, 5], [bundle get get phone, 0.7717, 5]]"
B00PB7DJU0,[0.846],[5],"[[happy, case, arrive, day, schedule, regardless, nice, cool, case]]","[[happy case arrive day schedule regardless nice cool case, 0.846, 5]]"
B00PDG84I6,"[0.5106, -0.2023, 0.0, 0.3252, 0.2238, -0.389, 0.3612, 0.3368, -0.8803, -0.2057, -0.4215, -0.5413, 0.6369, -0.8316, 0.19, 0.0, 0.2382, 0.9507, 0.0, -0.3947]","[5, 1, 1, 1, 5, 4, 5, 2, 1, 1, 1, 1, 4, 5, 1, 2, 5, 4, 4, 4]","[[see, lot, review, say, doesnt, stick, ive, month, stick, windshield, time, problem, remove, spot, stick, keep, leave, side, way, clip, cellphone, whenever, need, issue, minor, see, get, neck, require, tighten, phone, stay, point, direction, wantbr, br, add, samsung, galaxy, note, case, fit, hold, trip, ive, take], [cool], [zero, star, fell, week, use, work], [great, price, shake, bit, drive, fell, thr, windshild, hot, bit, put, go, buy, need, shipping, come, buy], [something, iphone, specific, bit, arm, distract, problem, one, htc, id, get], [use, suction, cap, work, waste, money], [suppose, phone, ship, china, york, day, took, get, york, atlanta], [glue, melt, window, glue, love, time, guess, florida, hot], [problem, stay, get, degree, live, problem, way, arm, neck], [wasnt, stick, surface, glass], [star, read, review, buy, phone, light, couldnt, see, go, take, plastic, piece, see, ball, screw, went, suction, window, weight, add, device, feel, straight, window, lever, cup, suction, take, chance, want, believe, ipow, brand, apple, product, try, disappoint, experience], [time, review, decent, take, chance, order, vehicle, suction, hold, way, fall, wont, stay, minute, happen, mount, vehicle, flaw, design, stay, product, useless, youre, lucky, walk, phone, get, dropping, place], [product, meet, expectation], [suction, wont, stick, window, try, week], [junk, broke, put, phone, grip], [work, time, part, stick, window, however, remove, day, need, clean, car, attempt, reattach, fell, minute, use, rubber, suction, cup, good, take, im, disappoint, shipping], [piece, garbage, ive, own, anything, suction, cup, fail, adhere, glass, fail, rate, part, unit], [thank, u], [part, fall, windshield, couple, time, summer, weve, year, dont, know, update, review, month], [iphone, battery, case, mophie]]","[[see lot review say doesnt stick ive month stick windshield time problem remove spot stick keep leave side way clip cellphone whenever need issue minor see get neck require tighten phone stay point direction wantbr br add samsung galaxy note case fit hold trip ive take, 0.5106, 5], [cool, -0.2023, 1], [zero star fell week use work, 0.0, 1], [great price shake bit drive fell thr windshild hot bit put go buy need shipping come buy, 0.3252, 1], [something iphone specific bit arm distract problem one htc id get, 0.2238, 5], [use suction cap work waste money, -0.389, 4], [suppose phone ship china york day took get york atlanta, 0.3612, 5], [glue melt window glue love time guess florida hot, 0.3368, 2], [problem stay get degree live problem way arm neck, -0.8803, 1], [wasnt stick surface glass, -0.2057, 1], [star read review buy phone light couldnt see go take plastic piece see ball screw went suction window weight add device feel straight window lever cup suction take chance want believe ipow brand apple product try disappoint experience, -0.4215, 1], [time review decent take chance order vehicle suction hold way fall wont stay minute happen mount vehicle flaw design stay product useless youre lucky walk phone get dropping place, -0.5413, 1], [product meet expectation, 0.6369, 4], [suction wont stick window try week, -0.8316, 5], [junk broke put phone grip, 0.19, 1], [work time part stick window however remove day need clean car attempt reattach fell minute use rubber suction cup good take im disappoint shipping, 0.0, 2], [piece garbage ive own anything suction cup fail adhere glass fail rate part unit, 0.2382, 5], [thank u, 0.9507, 4], [part fall windshield couple time summer weve year dont know update review month, 0.0, 4], [iphone battery case mophie, -0.3947, 4]]"
B00PEHKWCK,"[0.1057, -0.4215]","[2, 1]","[[wife, like, design, star, buy, case, period, time, st, crack, nd, crack, week, arrival, starsbr, recommend, item], [cheap, material, less, week, break]]","[[wife like design star buy case period time st crack nd crack week arrival starsbr recommend item, 0.1057, 2], [cheap material less week break, -0.4215, 1]]"
B00PJAGH8A,[0.4404],[5],[[quality]],"[[quality, 0.4404, 5]]"
B00PLI0OO8,"[0.734, -0.6497]","[2, 2]","[[daughter, buy, week, develop, air, crack, loss, liquid, guessing, water, evaporate, dont, recommend, air, floating], [case, fun, cool, week, get, inside, start, leak, coolist, case, see]]","[[daughter buy week develop air crack loss liquid guessing water evaporate dont recommend air floating, 0.734, 2], [case fun cool week get inside start leak coolist case see, -0.6497, 2]]"
B00PO12846,[0.8869],[5],"[[case, go, ease, good, look, case, feel, recommend, case]]","[[case go ease good look case feel recommend case, 0.8869, 5]]"
B00PQ6DNL6,[0.6115],[5],"[[happy, item]]","[[happy item, 0.6115, 5]]"
B00Q7TLXQ8,"[-0.8803, 0.6249]","[1, 4]","[[need, connection, backpack, trip, use, charger, work, using, car, till, summer], [break, month, screw, hold, side, hold, need, something, nut, bolt, hold, screw, disappoint, waste]]","[[need connection backpack trip use charger work using car till summer, -0.8803, 1], [break month screw hold side hold need something nut bolt hold screw disappoint waste, 0.6249, 4]]"
B00QCG5DNK,[0.5095],[5],[[stylish]],"[[stylish, 0.5095, 5]]"
B00QHFDV5I,[0.2728],[3],"[[price, last, broke, month, dont, regret, purchase, buy, set]]","[[price last broke month dont regret purchase buy set, 0.2728, 3]]"
B00QHY47CA,[0.9542],[5],"[[case, awesome, want, case, feel, gameboy, make, case, love]]","[[case awesome want case feel gameboy make case love, 0.9542, 5]]"
B00QIIO720,[0.7845],[5],"[[case, wish, come]]","[[case wish come, 0.7845, 5]]"
B00QW6BURI,[0.4862],[1],"[[case, part, rub, side, im, get, spot, case]]","[[case part rub side im get spot case, 0.4862, 1]]"
B00QWBYKGG,[0.6249],[5],"[[work, great]]","[[work great, 0.6249, 5]]"
B00R18XTCA,"[0.5719, -0.5048, 0.3818, 0.0]","[5, 1, 5, 5]","[[charger, charge, lot, port, simple, work, perfect], [perfect, need, car, everyone, want, charge, phone, drive, let, make], [say], [buy, month, half, longer, work, try, exchange, return, cant, feel, got, rip, happen, product, warranty]]","[[charger charge lot port simple work perfect, 0.5719, 5], [perfect need car everyone want charge phone drive let make, -0.5048, 1], [say, 0.3818, 5], [buy month half longer work try exchange return cant feel got rip happen product warranty, 0.0, 5]]"
B00R1QYASY,[0.8173],[5],"[[nice, case, side, grip, bar, gold, match, phone]]","[[nice case side grip bar gold match phone, 0.8173, 5]]"
B00R8KHGQQ,[0.6249],[4],"[[star, card, slot, otherwise, great, case]]","[[star card slot otherwise great case, 0.6249, 4]]"
B00RGFZJSU,[-0.4019],[2],"[[case, cute, describe, maximum, protection, phone, drop, phone, foot, ground, land, crack, screen, pay, phone, case]]","[[case cute describe maximum protection phone drop phone foot ground land crack screen pay phone case, -0.4019, 2]]"
B00RIIYCVK,[-0.4767],[1],"[[break, receive]]","[[break receive, -0.4767, 1]]"
B00RN950X8,[0.5994],[5],"[[get, fast, husband, love]]","[[get fast husband love, 0.5994, 5]]"
B00RQLIW5G,[-0.3612],[1],"[[difficult, get, phone, cause, phone, overheat]]","[[difficult get phone cause phone overheat, -0.3612, 1]]"
B00S513GXY,[-0.128],[2],"[[week, use, chrome, frame, window, detach]]","[[week use chrome frame window detach, -0.128, 2]]"
B00SKIABLC,[0.2263],[5],"[[nice, product, fast, service, bass, pounder, add, sound, car, stereo]]","[[nice product fast service bass pounder add sound car stereo, 0.2263, 5]]"
B00STTPFOU,[0.0],[1],"[[work, iphone]]","[[work iphone, 0.0, 1]]"
B00SWDQVV4,"[0.8316, 0.9231, -0.3491, -0.0396]","[5, 5, 3, 5]","[[find, bit, water, get, bag, make, talk, drop, open, tricky, get, day, water, park, submerge, phone, cigarette, money, stay], [purse, bomb, dot, com, use, walking, resort, addition, beach, love, hold, phone, money, id, lipstick, underwater, lock, bit, cumbersome, time, dial, face, way, order, close, purse], [handy, cheap, sure, hold], [perfect, snorkel, trip, arrive]]","[[find bit water get bag make talk drop open tricky get day water park submerge phone cigarette money stay, 0.8316, 5], [purse bomb dot com use walking resort addition beach love hold phone money id lipstick underwater lock bit cumbersome time dial face way order close purse, 0.9231, 5], [handy cheap sure hold, -0.3491, 3], [perfect snorkel trip arrive, -0.0396, 5]]"
B00T1BMX3G,[0.3612],[5],"[[product, state, arrive, time, thank]]","[[product state arrive time thank, 0.3612, 5]]"
B00T2B2U3S,[0.2732],[5],[[work]],"[[work, 0.2732, 5]]"
B00T6KQVAI,[0.886],[5],"[[excellent, look, picture, hight, quality, cover, love]]","[[excellent look picture hight quality cover love, 0.886, 5]]"
B00TA7RNIG,[-0.7659],[1],"[[disappoint, receive, product, charge, dont, fit, phone, case, dont, either]]","[[disappoint receive product charge dont fit phone case dont either, -0.7659, 1]]"
B00TFYHB90,[-0.3412],[2],"[[refurbishedbr, good, sistem]]","[[refurbishedbr good sistem, -0.3412, 2]]"
B00THJLGHQ,[-0.2023],[5],"[[describe, im, impress, quality, sturdy, inner, case, snap, give, layer, protection, temper, glass, cover, problem]]","[[describe im impress quality sturdy inner case snap give layer protection temper glass cover problem, -0.2023, 5]]"
B00TKYPNHC,"[0.9875, 0.9638]","[3, 5]","[[mix, feeling, earbuds, let, start, say, look, feel, inear, dont, come, easy, work, sound, great, bass, dont, know, got, weird, set, mean, ear, right, bass, drop, sound, quality, drop, whats, head, sound, stand, sound, drop, trust, put, way, try, counter, say, weirdbr, part, look, awesome, sound, great, work, sound, kink, work, earbuds], [anticipate, headphone, got, amplify, volume, clear, sound, havent, anticipate, rubber, cord, think, cord, go, type, seems, rubber, reveal, inside, cross, gold, pattern, quality, headphone, deter, buy, thembr, br, short, misconception, dbr, br, thanks, aleratec]]","[[mix feeling earbuds let start say look feel inear dont come easy work sound great bass dont know got weird set mean ear right bass drop sound quality drop whats head sound stand sound drop trust put way try counter say weirdbr part look awesome sound great work sound kink work earbuds, 0.9875, 3], [anticipate headphone got amplify volume clear sound havent anticipate rubber cord think cord go type seems rubber reveal inside cross gold pattern quality headphone deter buy thembr br short misconception dbr br thanks aleratec, 0.9638, 5]]"
B00TMFWD8Q,"[0.7269, 0.6908, 0.4019]","[4, 4, 3]","[[work, charge, phone, tablet, want, usb, charger, look, doesnt, take, lot, space, inside, car], [work, usb, port, charge, iphone, port, support, max, current], [nice, item, good, price]]","[[work charge phone tablet want usb charger look doesnt take lot space inside car, 0.7269, 4], [work usb port charge iphone port support max current, 0.6908, 4], [nice item good price, 0.4019, 3]]"
B00TYTDN3E,"[0.6557, 0.6249]","[5, 5]","[[awesome, husband, drop, phone, multiple, time, crack], [work]]","[[awesome husband drop phone multiple time crack, 0.6557, 5], [work, 0.6249, 5]]"
B00TYTDPG4,[-0.0387],[2],"[[like, color, surface, put, pocket, absorb, dye, pant, exchange, darker, model, fear, look, term, use]]","[[like color surface put pocket absorb dye pant exchange darker model fear look term use, -0.0387, 2]]"
B00U1PJ2LW,"[0.4404, 0.0, 0.3972]","[5, 5, 3]","[[price], [product, isnt, regarding, view, angle, pad, face, good, photo, homido, show, rubber, type, surround, cushion, unit, face, get, quality, foam, surround, clear, area, pressure, nose, foam, move, foam, strength, edge, touch, nose, hurt, use, device, look, quality, cushion, improve, product, well], [wasawsomeeeeee]]","[[price, 0.4404, 5], [product isnt regarding view angle pad face good photo homido show rubber type surround cushion unit face get quality foam surround clear area pressure nose foam move foam strength edge touch nose hurt use device look quality cushion improve product well, 0.0, 5], [wasawsomeeeeee, 0.3972, 3]]"
B00U7KTPXQ,"[-0.4019, 0.612]","[3, 3]","[[look, cheap, distort, cartoon, person], [look, expect, dont, hate]]","[[look cheap distort cartoon person, -0.4019, 3], [look expect dont hate, 0.612, 3]]"
B00U8KSIGA,[0.4404],[5],"[[excellent, seller, delivery, surprise, heat, micro, usb, chargingbr, show, sign, heat]]","[[excellent seller delivery surprise heat micro usb chargingbr show sign heat, 0.4404, 5]]"
B00U8OMAXS,[0.0],[2],"[[water, resistant, water, get, loud]]","[[water resistant water get loud, 0.0, 2]]"
B00UFXJXLE,"[0.0, 0.4794]","[2, 4]","[[buy, sound, quality, good, dont, turn, volume, bud, month, sound, get, choppy, skype, connection, return, day, got, issue, sound, interference, phone, pocket, issue, text, come, volume, get, louder, microphone, cant, heard, talk, phone, audio, texting, repeat, multiple, time, text, got, use, im, exercising, stay, ear, love, fight, cord], [use, work, sweat, done, use, time, month, threw, use, cord, one]]","[[buy sound quality good dont turn volume bud month sound get choppy skype connection return day got issue sound interference phone pocket issue text come volume get louder microphone cant heard talk phone audio texting repeat multiple time text got use im exercising stay ear love fight cord, 0.0, 2], [use work sweat done use time month threw use cord one, 0.4794, 4]]"
B00UIRK79Y,[0.9732],[5],"[[use, product, online, help, install, video, nice, price, super, fast, shipping]]","[[use product online help install video nice price super fast shipping, 0.9732, 5]]"
B00UNZLEWA,[-0.2023],[2],"[[see, nothing, premium, earphonesbr, br, look, set, earphone, stay, ear, exercise, hoop, design, hate, pop, ear, set, feel, make, cheap, think, find, well, make, set, money, skip]]","[[see nothing premium earphonesbr br look set earphone stay ear exercise hoop design hate pop ear set feel make cheap think find well make set money skip, -0.2023, 2]]"
B00URHAXQC,"[0.7906, 0.0, 0.9738, 0.9338, 0.0]","[5, 2, 5, 4, 5]","[[frigging, love, cable, fit, snuggle, samsung, cable, material, cord, cool, sturdy], [want, one], [decent, usb, cord], [cable, work, hop, family, go, charge, cable, think, pay, dollar, store, get, less, price, seem, hold, none, doa, none, fail, use, power, bank, purchase, use, p], [product, great, cord, item, use, type, usb, charge, cord, thanks]]","[[frigging love cable fit snuggle samsung cable material cord cool sturdy, 0.7906, 5], [want one, 0.0, 2], [decent usb cord, 0.9738, 5], [cable work hop family go charge cable think pay dollar store get less price seem hold none doa none fail use power bank purchase use p, 0.9338, 4], [product great cord item use type usb charge cord thanks, 0.0, 5]]"
B00UVLQRJ6,[0.4215],[5],[[nice]],"[[nice, 0.4215, 5]]"
B00V2QWDPG,"[0.2006, 0.4215]","[4, 5]","[[nice], [case, got, didnt, take, get, house, rubber, rap, case, lot, problem, case, make, string, start, case, cut, get]]","[[nice, 0.2006, 4], [case got didnt take get house rubber rap case lot problem case make string start case cut get, 0.4215, 5]]"
B00V323OAW,[0.5719],[5],[[perfect]],"[[perfect, 0.5719, 5]]"
B00V4O971E,[0.0772],[1],"[[screen, use, hammer]]","[[screen use hammer, 0.0772, 1]]"
B00VE6T3SO,[0.3952],[3],"[[work, adhesive, come, isnt, good]]","[[work adhesive come isnt good, 0.3952, 3]]"
B00VJ1QBXO,[0.5719],[5],"[[everything, perfect]]","[[everything perfect, 0.5719, 5]]"
B00VSQ8MAK,[0.9771],[4],"[[see, white, design, casebr, case, fit, perfect, top, bottom, fit, perfect, bottom, topbr, put, price, ]]","[[see white design casebr case fit perfect top bottom fit perfect bottom topbr put price , 0.9771, 4]]"
B00VUVSPUK,[0.946],[5],"[[super, cute, love, color, fit, galaxy]]","[[super cute love color fit galaxy, 0.946, 5]]"
B00VWKORGK,"[-0.0516, 0.3883, 0.9064]","[1, 1, 5]","[[buy, case, brand, iphone, ruin, bottom, piece, charge, phone, make, come], [case, work, ask, deal, youll, get, offer, consider, name, brand, case, cost, close, use, month, accident, include, dropping, phone, gallon, bucket, water, lose, thunderstorm, overnight, time, drop, water, penetrate, case, phone, hadnt, superior, quality, durability, alot, money, repurchase, iphone, pay, deductible, get, replacement, thank, easylife, great, product, price, shipping], [buy, trip, went, test, leak, return, go, buy, official, lifeproof, dont, waste, money, want, make, phone, dry, get]]","[[buy case brand iphone ruin bottom piece charge phone make come, -0.0516, 1], [case work ask deal youll get offer consider name brand case cost close use month accident include dropping phone gallon bucket water lose thunderstorm overnight time drop water penetrate case phone hadnt superior quality durability alot money repurchase iphone pay deductible get replacement thank easylife great product price shipping, 0.3883, 1], [buy trip went test leak return go buy official lifeproof dont waste money want make phone dry get, 0.9064, 5]]"
B00WFXWKY4,[0.886],[4],"[[device, issue, wish, bigger, cover, sort, use, beach, rid, response, crisp, dont, use, period, time, couple, tap, button, responds, purchase, fintie, recommend, device]]","[[device issue wish bigger cover sort use beach rid response crisp dont use period time couple tap button responds purchase fintie recommend device, 0.886, 4]]"
B00WIXRDNE,[0.9532],[5],"[[product, fast, ship, case, sturdy, kickstand, awesome, recommend, item, anyone, look, case, lumia, protective, plastic, screen, cover, ok, begin, peel, cant, complain, buying, temper, glass, screen, protector]]","[[product fast ship case sturdy kickstand awesome recommend item anyone look case lumia protective plastic screen cover ok begin peel cant complain buying temper glass screen protector, 0.9532, 5]]"
B00WM8ROA2,"[0.0516, 0.3182, 0.5556]","[2, 1, 2]","[[work, finger, print, security, take, phone, volume, power, button, case], [expect, allbr, case, rubber, use, side, button, case], [fingerprint, scan, doesnt, work, access, side, buttone, scan, sticky, attracts, fuzz]]","[[work finger print security take phone volume power button case, 0.0516, 2], [expect allbr case rubber use side button case, 0.3182, 1], [fingerprint scan doesnt work access side buttone scan sticky attracts fuzz, 0.5556, 2]]"
B00WP8RA6W,"[0.8979, 0.0]","[5, 2]","[[sound, great, support], [lot, pressure, cram, ear, sound, ok, im, go, ear, headphone]]","[[sound great support, 0.8979, 5], [lot pressure cram ear sound ok im go ear headphone, 0.0, 2]]"
B00WRMW8ZY,"[-0.3025, 0.8519]","[5, 5]","[[awesome, fit], [sturdy, otter, box, regret]]","[[awesome fit, -0.3025, 5], [sturdy otter box regret, 0.8519, 5]]"
B00WU9NWXQ,"[0.7906, 0.8225, 0.836, 0.765, 0.5719]","[5, 5, 5, 5, 5]","[[perfect, product, iphone, dry, seem, odor, buy], [strap, hidden, pocket, great, good, product, price], [perfect, arm, band, arm], [fit, iphone, run, awesome, product], [armband, adjust, size, gun, allow, phone, key, id, bank, credit, card, sweat, resistant, fit, phone, cover]]","[[perfect product iphone dry seem odor buy, 0.7906, 5], [strap hidden pocket great good product price, 0.8225, 5], [perfect arm band arm, 0.836, 5], [fit iphone run awesome product, 0.765, 5], [armband adjust size gun allow phone key id bank credit card sweat resistant fit phone cover, 0.5719, 5]]"
B00WW7YL3Q,[-0.2755],[1],"[[fit, edge, ]]","[[fit edge , -0.2755, 1]]"
B00X24M5OA,[0.743],[5],"[[sorry, review, figure, use, phone, thank, u, speedy, delivery, awesome, phone, case]]","[[sorry review figure use phone thank u speedy delivery awesome phone case, 0.743, 5]]"
B00XCWZ9YU,[0.0],[1],"[[didnt, work, intend, purpose]]","[[didnt work intend purpose, 0.0, 1]]"
B00XHKUY38,[0.4404],[2],"[[doesnt, provision, charge, remove, pouch, everytime, charge, mobile, everything]]","[[doesnt provision charge remove pouch everytime charge mobile everything, 0.4404, 2]]"
