B00022OBOC,[0.6956],[5],"[[price, sound]]","[[price sound, 0.6956, 5]]"
B00W3GOTRY,"[0.9829, 0.5616, 0.8592, 0.0, 0.6369, 0.8692, 0.0, 0.0]","[4, 1, 3, 1, 5, 1, 4, 1]","[[let, stat, say, wear, sound, quality, bluetooth, connection, solid, there, pop, crack, hiss, voice, sound, quality, phone, conversation, par, headphone, hold, power, button, turn, dont, let, go, lead, flash, device, select, list, pair, say, button, bit, longer, bluetooth, device, awesome, unit, arrive, fashion, amazon, prime, baby, packaging, box, plastic, tray, headphone, coil, color, vivid, purchase, orange, way, color, caveat, ear, bud, pop, sit, buy, pool, find, there, size, bag, continue, use, product, find, bud, seam, come, functionality, lack, take, starbr, buy, excellent, pair, headphone], [week, work, yesterday, get, go, gym, charge, nothing, wont, turn, wont, connect, phone, nothing, know, bluetooth, head, phone, true, get, pay], [battery, issue, use, listenning, volume, battery, run, hour], [verylow, battery, life], [headset], [battery, give, hour, buy, use, marathon, run, need, hour, powerbr, br, confirm, give, hour, play, timebr, dont, bother, buy, brandbr, br, fit, try, cover, update, day], [didnt, great, sense, great, base, price, point, review, read, seem, thought, id, risk, buck, connect, look, issue, rubber, piece, stick, suppose, hold, need, ring, molding, band, extra, wide, piece, seem, rub, part, ear, lot, better, wasnt, larger, rubber, piece, go, thing, hold, anyhow, run, working, stay, use, walk, dog, seem, keep, get, cord, tangle, leashbr, br, pain, cause, immediate, extreme, wear, half, minute, top, cant, take, fact, ear, bud, bother, leave, bit, take, worth, live, pair, find, skull, candy, wirelessbr, br, real, issue, dont, sound, hop, ear, bud, sound, musician, headphone, studio, range, pair, skull, candy, mention, sound, good, pair, sony, headphone, sound, stuff, sound, foam, frequency, response, perspective, decent, job, block, sound, medium, volume, play, audio, setting, device, get, sound, get, wont, use, music, listen, sport, talk, radio, broadcast, podcasts, thembr, br, okayin, case, get, pay, cant, say, didnt, pay, try, differnt, kind, go, round], [headphone, garbage, skip, connection, phone, front, pocket, stay, connect, phone, pocket]]","[[let stat say wear sound quality bluetooth connection solid there pop crack hiss voice sound quality phone conversation par headphone hold power button turn dont let go lead flash device select list pair say button bit longer bluetooth device awesome unit arrive fashion amazon prime baby packaging box plastic tray headphone coil color vivid purchase orange way color caveat ear bud pop sit buy pool find there size bag continue use product find bud seam come functionality lack take starbr buy excellent pair headphone, 0.9829, 4], [week work yesterday get go gym charge nothing wont turn wont connect phone nothing know bluetooth head phone true get pay, 0.5616, 1], [battery issue use listenning volume battery run hour, 0.8592, 3], [verylow battery life, 0.0, 1], [headset, 0.6369, 5], [battery give hour buy use marathon run need hour powerbr br confirm give hour play timebr dont bother buy brandbr br fit try cover update day, 0.8692, 1], [didnt great sense great base price point review read seem thought id risk buck connect look issue rubber piece stick suppose hold need ring molding band extra wide piece seem rub part ear lot better wasnt larger rubber piece go thing hold anyhow run working stay use walk dog seem keep get cord tangle leashbr br pain cause immediate extreme wear half minute top cant take fact ear bud bother leave bit take worth live pair find skull candy wirelessbr br real issue dont sound hop ear bud sound musician headphone studio range pair skull candy mention sound good pair sony headphone sound stuff sound foam frequency response perspective decent job block sound medium volume play audio setting device get sound get wont use music listen sport talk radio broadcast podcasts thembr br okayin case get pay cant say didnt pay try differnt kind go round, 0.0, 4], [headphone garbage skip connection phone front pocket stay connect phone pocket, 0.0, 1]]"
B00W3ODFZ8,[-0.446],[3],"[[give, star, youtube, doesnt, play, case, close, speaker, cutout, phone, doesnt, protect, front, edge, end, phone, droppedbr, fit, snug, phone, wont, fall, htc, dot, view, case]]","[[give star youtube doesnt play case close speaker cutout phone doesnt protect front edge end phone droppedbr fit snug phone wont fall htc dot view case, -0.446, 3]]"
B00W49SS1I,"[0.8074, 0.4215, 0.0]","[5, 5, 2]","[[nice, phone, case], [case, feel, protect, phone, thing, e, improve, kick, stand], [week, rubber, tear, breaking]]","[[nice phone case, 0.8074, 5], [case feel protect phone thing e improve kick stand, 0.4215, 5], [week rubber tear breaking, 0.0, 2]]"
B00WI8LKDI,[0.1901],[2],"[[look, glitter]]","[[look glitter, 0.1901, 2]]"
B00WJZ1R4C,[0.983],[5],"[[omg, love, case, picture, got, mailwas, surprise, coz, estimate, delivery, wasnt, end, september, im, please, ship, fit, lg, g, bummer, coz, shatter, phone, day, n, wont, get, replacement, monday, case, protect, phone, think, purchase, back, switch, case, love, screen, protector, n, cute, pink, plastic, pouch, everything, come, thank, u, ]]","[[omg love case picture got mailwas surprise coz estimate delivery wasnt end september im please ship fit lg g bummer coz shatter phone day n wont get replacement monday case protect phone think purchase back switch case love screen protector n cute pink plastic pouch everything come thank u , 0.983, 5]]"
B00WJZHD9A,[0.7227],[4],"[[oneplus, wife, love]]","[[oneplus wife love, 0.7227, 4]]"
B00WRMWFP2,"[0.9081, 0.6597]","[5, 5]","[[buy, pink, wife, black, phone, awesome, love, case, work, complaint], [product, put, tablet, ensure, protect, stand, prop]]","[[buy pink wife black phone awesome love case work complaint, 0.9081, 5], [product put tablet ensure protect stand prop, 0.6597, 5]]"
B00WRPNMXI,[0.049],[1],"[[wish, give, zero, star, get, fake, spade, case, nothing, picture, show, recommend, buying]]","[[wish give zero star get fake spade case nothing picture show recommend buying, 0.049, 1]]"
B00X6DKQ7K,[0.659],[5],[[work]],"[[work, 0.659, 5]]"
B00XHOSQIY,"[0.6249, 0.0]","[5, 2]","[[need, tool]]","[[need tool, 0.6249, 5], [, 0.0, 2]]"
B00Y2PX4YI,"[0.7761, -0.2732]","[5, 5]","[[quality, hold, charge, use, trip, glad], [charge, phone, twice]]","[[quality hold charge use trip glad, 0.7761, 5], [charge phone twice, -0.2732, 5]]"
B00YBYNTWM,"[-0.1938, 0.765, 0.9384, 0.9359]","[3, 5, 4, 5]","[[title, say, case, wont, protect, phone, ft, drop, extension, ladder, experience, bump, drop, raise, bevel, nice, put, phone, screen, scratch, glassbr, br, fit, nice, snug, phone, feel, hand, provide, textured, touchbr, br, form, factor, excellent, minimize, bulk, phone, look, get, bulky, case, smartphones], [fit, lg, g, leather], [nice, case, didnt, fit, phone, buy], [wish, bottom, top, edge, case, work, fit, slim]]","[[title say case wont protect phone ft drop extension ladder experience bump drop raise bevel nice put phone screen scratch glassbr br fit nice snug phone feel hand provide textured touchbr br form factor excellent minimize bulk phone look get bulky case smartphones, -0.1938, 3], [fit lg g leather, 0.765, 5], [nice case didnt fit phone buy, 0.9384, 4], [wish bottom top edge case work fit slim, 0.9359, 5]]"
B00YF1P8IO,[0.6461],[5],"[[thank, item, get]]","[[thank item get, 0.6461, 5]]"
B00YIWL9VK,[0.9623],[2],"[[way, case, function, show, wear, week, use, upset, price, werent, cheap, case, wish, hold, well, love, look, function]]","[[way case function show wear week use upset price werent cheap case wish hold well love look function, 0.9623, 2]]"
B00YKOEB4I,"[-0.2315, -0.6373]","[1, 1]","[[crack, apply, watch, pressure, apply, company, send], [unhappy, product, face, watch, recommend]]","[[crack apply watch pressure apply company send, -0.2315, 1], [unhappy product face watch recommend, -0.6373, 1]]"
B00YON8Z4W,[0.3612],[2],"[[color, fade, couple, day, side]]","[[color fade couple day side, 0.3612, 2]]"
B00YPSLPSO,"[0.0, 0.4215]","[5, 4]","[[nice], [sturdy]]","[[nice, 0.0, 5], [sturdy, 0.4215, 4]]"
B00YX6F9W6,[0.0],[1],"[[product, different, describe, refu, d, receive]]","[[product different describe refu d receive, 0.0, 1]]"
B00Z6KTW44,[0.9294],[2],"[[design, look, design, print, band, end, fade, white, look, watch, face, metal, part, go, bring, hole, watch, band, backwards, design, super, cute, im, bum, quality, rest, band, lackingbr, look, buy, please, note, come, band, adapter, know, deal, something, aware]]","[[design look design print band end fade white look watch face metal part go bring hole watch band backwards design super cute im bum quality rest band lackingbr look buy please note come band adapter know deal something aware, 0.9294, 2]]"
B00ZJ5HTAK,"[0.0, 0.3106, -0.2732]","[1, 1, 1]","[[havent, get, work, pin, ihome, pin, apple, charge], [nice, come, pack, whats, use, doesnt, work, review, dont, waste, money, attach, iphone, pin, logitech, speaker, pin, charge, device, didnt, play, sound, come, iphones, speaker, cant, upset, cheap, take, chance, work], [dont, work]]","[[havent get work pin ihome pin apple charge, 0.0, 1], [nice come pack whats use doesnt work review dont waste money attach iphone pin logitech speaker pin charge device didnt play sound come iphones speaker cant upset cheap take chance work, 0.3106, 1], [dont work, -0.2732, 1]]"
B00ZPLDK1K,"[0.0754, 0.0, 0.2263]","[4, 1, 1]","[[product, use, inconvenient, phone, run, charge, day, option, remove, wireless, receiver, phone, order, use, charge], [work, iphone], [week, use, product, come, home, find, phone, charge, way, compare, charger, came, home, tonight, find, top, part, melt, bottom, part, burnt, bottom, melt, burn, nightstand, come, home, house, fire]]","[[product use inconvenient phone run charge day option remove wireless receiver phone order use charge, 0.0754, 4], [work iphone, 0.0, 1], [week use product come home find phone charge way compare charger came home tonight find top part melt bottom part burnt bottom melt burn nightstand come home house fire, 0.2263, 1]]"
B0108LCGB6,[0.2023],[3],"[[peel, layer, doesnt, fit, tablet, ok, price]]","[[peel layer doesnt fit tablet ok price, 0.2023, 3]]"
B010AZCXJA,[0.2682],[3],"[[like, service, company, phone, nice, take, picture, problem, att, g, service, phone, wasnt, g, att]]","[[like service company phone nice take picture problem att g service phone wasnt g att, 0.2682, 3]]"
B010DNM9HU,[0.0],[1],"[[lg, g]]","[[lg g, 0.0, 1]]"
B010MZLBNC,[0.765],[5],[[fit]],"[[fit, 0.765, 5]]"
B0110NIR46,"[0.8555, 0.9633]","[5, 5]","[[fit, phone, slot, port, align], [yes, cheap, leap, bluetooth, headphone, upgrade, bth, headphone, purchase, review, amazon, cost, x, compare, sound, quality, x, betterbr, sound, quality, great, clear, nice, bass, come, enhance, bass, button, see, need, use, connect, io, device]]","[[fit phone slot port align, 0.8555, 5], [yes cheap leap bluetooth headphone upgrade bth headphone purchase review amazon cost x compare sound quality x betterbr sound quality great clear nice bass come enhance bass button see need use connect io device, 0.9633, 5]]"
B011O3AW4K,[0.9524],[5],"[[micro, usb, cord, great, price, go, dozen, charger, cord, device, child, pluging, unplug, item, bend, far, week, hold, look, timebr, cord, receive, exchange, honest, review]]","[[micro usb cord great price go dozen charger cord device child pluging unplug item bend far week hold look timebr cord receive exchange honest review, 0.9524, 5]]"
B011TG5BC0,[0.6369],[5],[[expect]],"[[expect, 0.6369, 5]]"
B0123M2VPO,[0.4404],[4],"[[case, come, timley, manner, good, expect, purchase]]","[[case come timley manner good expect purchase, 0.4404, 4]]"
B0125TLLT2,[0.7546],[5],"[[lightweight, ship, get]]","[[lightweight ship get, 0.7546, 5]]"
B012CLLYPO,[0.5994],[5],"[[case, arived, sunday]]","[[case arived sunday, 0.5994, 5]]"
B013BF32AK,[0.5994],[4],"[[give, star, flap, hold, wellbr, amount, card, id, make, wallet, case]]","[[give star flap hold wellbr amount card id make wallet case, 0.5994, 4]]"
B013FVES12,[-0.4767],[1],[[quality]],"[[quality, -0.4767, 1]]"
