B0007WRQVC,[0.0],[5],"[[describe, work]]","[[describe work, 0.0, 5]]"
B00M2836Z4,[0.6369],[2],"[[item, seem, charge, charger, come, phone, work, well, computer, v, plug, outlet]]","[[item seem charge charger come phone work well computer v plug outlet, 0.6369, 2]]"
B00M3INMNY,[0.6369],[5],[[case]],"[[case, 0.6369, 5]]"
B00M6T1PWA,"[0.7906, 0.3612, -0.4939, 0.0, 0.4754, -0.4939, 0.8189, 0.4404, -0.4228]","[4, 4, 2, 3, 3, 4, 3, 5, 5]","[[work, great, round, notice, drive, truck, problem, people, hear, tell, im, drive, noise, cancel, price, work], [adaptor, charge, cord, package], [quality, br, noise, sound, gratebr, use, car, easilybr, person, receiver, end, trouble, hearing], [use, time], [people, end, line, complain, cut, etc], [buy, need, bluetooth, headset, work, ipad, skype, conference, call, thing, book, ipad, headset, doesnt, doesnt, let, listen], [buy], [product, price, hope, last, time, tell], [product, work, expect, satisfy]]","[[work great round notice drive truck problem people hear tell im drive noise cancel price work, 0.7906, 4], [adaptor charge cord package, 0.3612, 4], [quality br noise sound gratebr use car easilybr person receiver end trouble hearing, -0.4939, 2], [use time, 0.0, 3], [people end line complain cut etc, 0.4754, 3], [buy need bluetooth headset work ipad skype conference call thing book ipad headset doesnt doesnt let listen, -0.4939, 4], [buy, 0.8189, 3], [product price hope last time tell, 0.4404, 5], [product work expect satisfy, -0.4228, 5]]"
B00MAMQM0I,[0.3291],[4],"[[perfect, cheap, add, protection, phone]]","[[perfect cheap add protection phone, 0.3291, 4]]"
B00MAWRB44,"[0.8515, 0.8062, 0.9852, 0.8481]","[5, 5, 2, 5]","[[awesome, case, fit, looking, case], [fit, great, look, provide, protection, edit, post, week, drop, phone, give, star, knock, star, reason, microphone, hole, line, version, cover, heart, rate, monitor, work, depth, cover, sensor, work, tiny, finger, work, fingersno, dice, work, use, heart, rate, monitor, im, walk, deal, breaker, im, drill, hole, make, hole, microphone, case, look, nice, fit, seem, provide, protection, drop, event, mention, issue, im, send, looking, case], [phone, year, remove, phone, condition, case, case, ive, own, phonebr, br, choose, con, make, phone, boxier, wont, matter, realize, phone, perfect, condition, time, remove], [quality, fit, phone, look]]","[[awesome case fit looking case, 0.8515, 5], [fit great look provide protection edit post week drop phone give star knock star reason microphone hole line version cover heart rate monitor work depth cover sensor work tiny finger work fingersno dice work use heart rate monitor im walk deal breaker im drill hole make hole microphone case look nice fit seem provide protection drop event mention issue im send looking case, 0.8062, 5], [phone year remove phone condition case case ive own phonebr br choose con make phone boxier wont matter realize phone perfect condition time remove, 0.9852, 2], [quality fit phone look, 0.8481, 5]]"
B00MHV8ARK,[0.8399],[5],"[[case, amaze, choose, profile, super, sturdy]]","[[case amaze choose profile super sturdy, 0.8399, 5]]"
B00MQ8KUTA,"[0.8251, 0.8885, 0.4588, 0.6369, 0.6249]","[5, 5, 4, 5, 5]","[[case, order, love, shipment, n, case, work, expect], [nice, look, case, seem, gold, detail, start, come, loose], [super, fast, service, product, buy, case, month, look, brand, recommend], [product, classy, make], [awesome]]","[[case order love shipment n case work expect, 0.8251, 5], [nice look case seem gold detail start come loose, 0.8885, 5], [super fast service product buy case month look brand recommend, 0.4588, 4], [product classy make, 0.6369, 5], [awesome, 0.6249, 5]]"
B00MYOY5V0,"[0.6369, 0.9563, 0.8481, 0.7717]","[5, 5, 5, 5]","[[work, great, look, heavier, duty, cheap, white, apple, cord], [buying, keep, car, office], [excellent, work, charge, iphone, car, home, worth, penny, cheaper, apple, store], [excellent, cord, im, use, nonapple, cord, fall, apart, work, pleasant, surprise, apple, take, note, start, make, base, charger, cord, color, make, find, bag, love, get]]","[[work great look heavier duty cheap white apple cord, 0.6369, 5], [buying keep car office, 0.9563, 5], [excellent work charge iphone car home worth penny cheaper apple store, 0.8481, 5], [excellent cord im use nonapple cord fall apart work pleasant surprise apple take note start make base charger cord color make find bag love get, 0.7717, 5]]"
B00N1AG42Y,"[0.6249, 0.4404, 0.3604]","[5, 4, 5]","[[work, great, daughter, take, part, cover, face, phone, use, glass, protection], [happy, purchase, quality, retailer, money]]","[[work great daughter take part cover face phone use glass protection, 0.6249, 5], [happy purchase quality retailer money, 0.4404, 4], [, 0.3604, 5]]"
B00N1U2UNQ,"[0.296, -0.2481, -0.0341, 0.1119, 0.3384, -0.296, 0.4404, 0.0, 0.1511, 0.85, -0.5423, 0.4215, 0.6249, 0.1779, 0.6369, -0.4585, -0.5423, -0.0772, 0.0]","[4, 2, 3, 5, 2, 2, 2, 1, 2, 5, 1, 5, 5, 1, 5, 1, 1, 2, 1]","[[ok, nice, black, purchase], [take, come, work, fine], [broke, month, im, order, background, noise, end, hear, water], [purchase, gift, rating], [arrive, time], [im, happy, item], [awesome], [buy, headphone, put, battery, headphone], [pink, people, im, talk, silver, line, make, headphone, office], [havent, work, got, theyre], [sound], [nice], [amazon, publish, fact, make, call], [battery, doesnt, hour, u, listen, music, ear, phone, muffle, understand, caller, say, package, come, week, apart, good, thing, price, color], [dont, work, phone], [doesnt, stay, charge], [cut, im, talk, people], [make, studybr, get, pay, recommend], [earphone, dnt, work]]","[[ok nice black purchase, 0.296, 4], [take come work fine, -0.2481, 2], [broke month im order background noise end hear water, -0.0341, 3], [purchase gift rating, 0.1119, 5], [arrive time, 0.3384, 2], [im happy item, -0.296, 2], [awesome, 0.4404, 2], [buy headphone put battery headphone, 0.0, 1], [pink people im talk silver line make headphone office, 0.1511, 2], [havent work got theyre, 0.85, 5], [sound, -0.5423, 1], [nice, 0.4215, 5], [amazon publish fact make call, 0.6249, 5], [battery doesnt hour u listen music ear phone muffle understand caller say package come week apart good thing price color, 0.1779, 1], [dont work phone, 0.6369, 5], [doesnt stay charge, -0.4585, 1], [cut im talk people, -0.5423, 1], [make studybr get pay recommend, -0.0772, 2], [earphone dnt work, 0.0, 1]]"
B00N7MFZWG,"[-0.4973, -0.8958, 0.9161, -0.0258, 0.0032]","[4, 5, 4, 1, 3]","[[heart, rate, monitor, fail, work, fitness, band, nice, feature, let, heart, rate, monitor, replacement, unit, receive, day, report, fail, work, out, latter, unit, work, data, come, allows, consider, pace, hr, get, idea, efficient, run, distance, runner, help, figure, train, zone], [vivosmart, day, awesome, everything, want, love, see, heart, rate, track, sleep, get, kink, screen, take, tap, turn, control, didnt, work, update, fix, music, control, problem, screen, freak, stop, work, record, data, app, work, cant, see, anything, screen, lot, people, problem, year, order, onebr, br, worth, get, kink, way], [dont, wearing, heart, monitor, fitbit, hr], [buy, garmin, vivosmart, doesnt, work, anymore, past, day, return, policy, im, luck, garmin, product], [use, vivosmart, watch, day, problem, disappointment, buy, well, run, buddy]]","[[heart rate monitor fail work fitness band nice feature let heart rate monitor replacement unit receive day report fail work out latter unit work data come allows consider pace hr get idea efficient run distance runner help figure train zone, -0.4973, 4], [vivosmart day awesome everything want love see heart rate track sleep get kink screen take tap turn control didnt work update fix music control problem screen freak stop work record data app work cant see anything screen lot people problem year order onebr br worth get kink way, -0.8958, 5], [dont wearing heart monitor fitbit hr, 0.9161, 4], [buy garmin vivosmart doesnt work anymore past day return policy im luck garmin product, -0.0258, 1], [use vivosmart watch day problem disappointment buy well run buddy, 0.0032, 3]]"
B00N7MGPES,"[-0.34, 0.7269, 0.3919, 0.9857, 0.4215, 0.7869]","[3, 5, 4, 3, 5, 5]","[[purchase, device, find, others, dissapointed, month, use, rubber, band, joint, core, device, detach, hence, allowing, water, infiltrate, inside, im, use, waterproof, bracelet, remove, everytime, shower, swim, wear, itbr, use, bracelet, water, shower, swim, week], [handy, tell, time, sleep, pattern, step, phone, notification, make, move, buuuutt, hr, reminds, move, hour, inactivitybr, take, swimming, seem, recognize, activity, wellbr, battery, charge, seem, week, mebr, find, masculine, use, wrist, nowbr, br, please, product], [satisfy, garmin], [update, month, say, product, track, sleep, step, heartrate, monitor, great, need, see, screen, screen, vivosmart, shrink, day, go, longer, see, battery, indicator, text, message, phone, good, thing, product, make, garmin, say, thats, thing, process, replace, get, response, ask, email, day, done, update, depend, vivosmart, work, buy, month, time, choose, fitness, band, want, make, mind, vivosmart, couldnt, impress, performs, advertise, worry, reading, watch, sideways, doesnt, take, get, use, anyone, market, fitness, band, pro, fit, purpose, watch, fitness, band, easy, use, app, use, battery, last, week, display, set, connect, garmin, heart, rate, monitor, receive, notification, wrist, make, phone, time, con, child, make, turn, doesnt, mess, anything, dont, worry], [worth, extra, money], [work, sync, inconsistent]]","[[purchase device find others dissapointed month use rubber band joint core device detach hence allowing water infiltrate inside im use waterproof bracelet remove everytime shower swim wear itbr use bracelet water shower swim week, -0.34, 3], [handy tell time sleep pattern step phone notification make move buuuutt hr reminds move hour inactivitybr take swimming seem recognize activity wellbr battery charge seem week mebr find masculine use wrist nowbr br please product, 0.7269, 5], [satisfy garmin, 0.3919, 4], [update month say product track sleep step heartrate monitor great need see screen screen vivosmart shrink day go longer see battery indicator text message phone good thing product make garmin say thats thing process replace get response ask email day done update depend vivosmart work buy month time choose fitness band want make mind vivosmart couldnt impress performs advertise worry reading watch sideways doesnt take get use anyone market fitness band pro fit purpose watch fitness band easy use app use battery last week display set connect garmin heart rate monitor receive notification wrist make phone time con child make turn doesnt mess anything dont worry, 0.9857, 3], [worth extra money, 0.4215, 5], [work sync inconsistent, 0.7869, 5]]"
B00NANJAOG,[0.7774],[4],"[[case, build, case, nice, design, come, apart, place, something, phone, company, return, continue, business, defect, case]]","[[case build case nice design come apart place something phone company return continue business defect case, 0.7774, 4]]"
B00NCBLX3M,[0.5719],[5],"[[excellent, product, service]]","[[excellent product service, 0.5719, 5]]"
B00NGJHAK0,[0.9076],[5],"[[case, sleek, recommend, great, price]]","[[case sleek recommend great price, 0.9076, 5]]"
B00NJESN58,"[0.3919, -0.7459, 0.9011, -0.0015, -0.5984, 0.5455, 0.7814, 0.6249, -0.3412, 0.8775, 0.6249, 0.7351, 0.6249]","[2, 3, 5, 5, 1, 5, 4, 4, 1, 5, 5, 5, 5]","[[awesome, business], [phone, clap, stick, window, thats, drop, phone, cool, bean], [hold, iphone, adhesion, windshield], [point, arm, attache, suction, cup, weak, point, break, kind, sideways, force, youre, tug, push, sideways, phone, holder, use, iphone, slim, otterbox, case, issue], [buy, time, work, broke, suction, cup, melt, suction, window, anymore, wonder, anyone, problem], [buy, wife, love, use, didnt, remove, iphone, case, please], [need, improvement, product, fall, drive, joint, whindsheld, good, keep, fall, leaving, stick, part, windshield, need, fix], [hot, temperature], [product, break, day, use, angry, buy, recommend], [hold, phone, concern, keep, adjust, center, work, buy], [stay, put, attach, glass, stay, cellphone, take, device, remain, attach, glass]]","[[awesome business, 0.3919, 2], [phone clap stick window thats drop phone cool bean, -0.7459, 3], [hold iphone adhesion windshield, 0.9011, 5], [point arm attache suction cup weak point break kind sideways force youre tug push sideways phone holder use iphone slim otterbox case issue, -0.0015, 5], [buy time work broke suction cup melt suction window anymore wonder anyone problem, -0.5984, 1], [buy wife love use didnt remove iphone case please, 0.5455, 5], [need improvement product fall drive joint whindsheld good keep fall leaving stick part windshield need fix, 0.7814, 4], [hot temperature, 0.6249, 4], [product break day use angry buy recommend, -0.3412, 1], [hold phone concern keep adjust center work buy, 0.8775, 5], [stay put attach glass stay cellphone take device remain attach glass, 0.6249, 5], [, 0.7351, 5], [, 0.6249, 5]]"
B00NK7ZSC0,"[0.0, 0.4404]","[3, 5]","[[work, need, protection]]","[[work need protection, 0.0, 3], [, 0.4404, 5]]"
B00NQ5YUU2,[0.4845],[4],"[[touch, doesnt, fit, snug, work, port, cut, out, case]]","[[touch doesnt fit snug work port cut out case, 0.4845, 4]]"
B00NTATNGK,[0.4215],[4],"[[like, case, lot]]","[[like case lot, 0.4215, 4]]"
B00NTSWZ3A,"[0.4404, 0.323, 0.5859]","[5, 2, 5]","[[amaze, screen, protector, smooth, cant, tell], [receive, glass, screen, protector, ipad, wait, see, effectiveness, glass, feel, dupe, purchase, glass, screen, protector, past, thicker, heavier, cant, believe, review, ive, dont, mention, discrepency], [product]]","[[amaze screen protector smooth cant tell, 0.4404, 5], [receive glass screen protector ipad wait see effectiveness glass feel dupe purchase glass screen protector past thicker heavier cant believe review ive dont mention discrepency, 0.323, 2], [product, 0.5859, 5]]"
B00NX6D1IG,"[-0.2023, 0.4404]","[3, 3]","[[work, great, time, rubber, plug, headphone, charger, port, break, make, longer, water, go, otter, box, life], [phone, make, strange, noise, call, start, use, case]]","[[work great time rubber plug headphone charger port break make longer water go otter box life, -0.2023, 3], [phone make strange noise call start use case, 0.4404, 3]]"
B00NXFX81M,[0.836],[5],"[[perfect, work, charm, use, android]]","[[perfect work charm use android, 0.836, 5]]"
B00O1YE0WA,[0.0],[5],"[[prompt, shipping, describe]]","[[prompt shipping describe, 0.0, 5]]"
B00O35Y8BA,[0.0],[1],"[[recharge, junk]]","[[recharge junk, 0.0, 1]]"
B00O3FH8YO,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
B00O575WZ2,[0.8519],[5],"[[protects, phone, look, nice]]","[[protects phone look nice, 0.8519, 5]]"
B00O6SAG2Y,[0.8442],[5],"[[super, buy, seller, need]]","[[super buy seller need, 0.8442, 5]]"
B00OJETQCG,[-0.4753],[3],"[[working, dont, care, plastic, cover, face, make, use, touch, screen, ]]","[[working dont care plastic cover face make use touch screen , -0.4753, 3]]"
B00OMFPX0Q,"[0.8126, 0.8685]","[5, 5]","[[price, quality, case, good, receive, time, build, case, fit, lumia], [purchase, son, love, use, kick, stand, watch, movie, clip, hip, year, adult]]","[[price quality case good receive time build case fit lumia, 0.8126, 5], [purchase son love use kick stand watch movie clip hip year adult, 0.8685, 5]]"
B00OOLH6RG,[-0.6378],[1],"[[work, quality, product, return]]","[[work quality product return, -0.6378, 1]]"
B00P0QNLDM,[0.3252],[1],"[[dont, buy, item, less, week, pouch, expansion, rip, half, way, thru, dont, waste, ]]","[[dont buy item less week pouch expansion rip half way thru dont waste , 0.3252, 1]]"
B00P0XSH3O,[0.8957],[5],"[[phone, case, great, quality, look, photo]]","[[phone case great quality look photo, 0.8957, 5]]"
B00P5UU6F4,[0.6369],[5],"[[custom, option, fast, shipping]]","[[custom option fast shipping, 0.6369, 5]]"
B00PHL9DC8,[0.0],[1],"[[cover, phone]]","[[cover phone, 0.0, 1]]"
B00PRS6J6O,[-0.4215],[1],"[[broke, day, get, cheap]]","[[broke day get cheap, -0.4215, 1]]"
B00PY1YBA0,"[0.7511, 0.6249, 0.807, 0.2537, 0.1406, 0.5719, -0.5446, 0.4019, 0.886, 0.0, -0.7496, 0.7351]","[5, 5, 5, 2, 4, 5, 2, 5, 5, 1, 1, 5]","[[description, say, kind, person, like, keep, use, phone, charge, look, fancy, stay, desk, work, live, room, addition, max, output, current, party, charger, come, nexus, say, take, longer, charge, use], [seems, work, continue], [work, samsung, note, buyer, beware], [work, tablet, version, guy, buy, want, usb, port, pad, allow, charge, tablet, cost, thanks], [disappoint, find, didnt, work, samsung, galaxy, phone, information, mislead, buy, qi, adapter, use], [using, charger, month, work, albeit, br, im, give, star, phone, issue, charge, dont, know, cause, charger, recommend, purchase, charger, nexus, br, br, item, return], [pleasure, need, plug, phone, charge], [work, month, get, surface, overlook, hey, work], [please, wireless, charger, work], [product, work, pricefast], [product], [amaze, technology, device, wish, god, exist, year, ton, money, charge, cable, phone, bc, kid, bust, charge, port]]","[[description say kind person like keep use phone charge look fancy stay desk work live room addition max output current party charger come nexus say take longer charge use, 0.7511, 5], [seems work continue, 0.6249, 5], [work samsung note buyer beware, 0.807, 5], [work tablet version guy buy want usb port pad allow charge tablet cost thanks, 0.2537, 2], [disappoint find didnt work samsung galaxy phone information mislead buy qi adapter use, 0.1406, 4], [using charger month work albeit br im give star phone issue charge dont know cause charger recommend purchase charger nexus br br item return, 0.5719, 5], [pleasure need plug phone charge, -0.5446, 2], [work month get surface overlook hey work, 0.4019, 5], [please wireless charger work, 0.886, 5], [product work pricefast, 0.0, 1], [product, -0.7496, 1], [amaze technology device wish god exist year ton money charge cable phone bc kid bust charge port, 0.7351, 5]]"
B00Q7FTBES,[0.948],[5],"[[use, day, great, tool, give, photo, edge, cant, wait, bring, vacationbr, br, p, id, use, fit, phone, screen, protector, andor, case, phone, naked]]","[[use day great tool give photo edge cant wait bring vacationbr br p id use fit phone screen protector andor case phone naked, 0.948, 5]]"
B00Q9SP6T2,[-0.2755],[1],"[[fit, watch, advertise, ask, return, item, hear, company, end, send]]","[[fit watch advertise ask return item hear company end send, -0.2755, 1]]"
B00QQLI374,"[0.0516, -0.4297, 0.8442, 0.9023]","[1, 3, 5, 4]","[[case, feel, flimsy, hell, click, phone, feel, case, motorola, sell, generation, look, runon, sentence, aside, look, case, havent, drop, phone, im, im, guess, job, corner, hit, screen, replace, unforgiving, aluminum, sidesbr, br, ive, couple, week, scratch, sort, amaze, considering, pricebr, br, thing, keep, star, forget, include, hole, rear, phone, us, speaker, phone, call, thats, sort, feature, others, write, mask, tape, marker, drill, youll, set], [perfect, product, describe, see, color, phone], [drop, phone, screen, crack, preventing, scratch, show, custom, back, order, phone, im, regret], [others, note, case, clear, prone, scuff, deal, others, find, annoyingbr, br, beef, sit, outdoor, cafe, phone, case, slip, pocket, concrete, bam, break, screen, month, hit, top, protection, know, clumsy, thats, buy, case, do, bit, research]]","[[case feel flimsy hell click phone feel case motorola sell generation look runon sentence aside look case havent drop phone im im guess job corner hit screen replace unforgiving aluminum sidesbr br ive couple week scratch sort amaze considering pricebr br thing keep star forget include hole rear phone us speaker phone call thats sort feature others write mask tape marker drill youll set, 0.0516, 1], [perfect product describe see color phone, -0.4297, 3], [drop phone screen crack preventing scratch show custom back order phone im regret, 0.8442, 5], [others note case clear prone scuff deal others find annoyingbr br beef sit outdoor cafe phone case slip pocket concrete bam break screen month hit top protection know clumsy thats buy case do bit research, 0.9023, 4]]"
B00QUVN8LQ,[-0.2732],[1],"[[get, product, love, idea, broke, week, use]]","[[get product love idea broke week use, -0.2732, 1]]"
B00QW50G10,[0.7615],[3],"[[use, charge, cord, iphone, believe, call, lightning, cablebr, br, second, case, own, company, theyre, great, partbr, br, figure, contact, seller, case, change, silicon, feel, scaley, crack, drop]]","[[use charge cord iphone believe call lightning cablebr br second case own company theyre great partbr br figure contact seller case change silicon feel scaley crack drop, 0.7615, 3]]"
B00QWZF5WU,[0.8481],[5],"[[case, great, delivery]]","[[case great delivery, 0.8481, 5]]"
B00QXOCBAY,[-0.6666],[2],"[[make, hd, screen, look, screen, protector, make, screen, detractor, want, use, phone, anymore, put]]","[[make hd screen look screen protector make screen detractor want use phone anymore put, -0.6666, 2]]"
B00QZP4E38,[0.9727],[4],"[[look, phone, charm, make, reason, im, give, star, color, come, color, picture, receive, shade, yellow, hotdarker, pink, shown, picture, get, blue, shown, picture, know, say, multicolor, wish, sent, color, picture, know, see, get, wish, color, wouldve, go, charm]]","[[look phone charm make reason im give star color come color picture receive shade yellow hotdarker pink shown picture get blue shown picture know say multicolor wish sent color picture know see get wish color wouldve go charm, 0.9727, 4]]"
B00R9EFR3A,[0.8603],[5],"[[simple, fit, product]]","[[simple fit product, 0.8603, 5]]"
B00RLK7UNW,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
B00RQ1CACM,[-0.0276],[3],[[use]],"[[use, -0.0276, 3]]"
B00RWV2M4W,"[0.8765, -0.0772]","[4, 4]","[[stand, work, magnet, come, week, put, case, allow, auxiliary, insert, play, music], [problem, kick, stand, magnet, come, lose, fix, case, money]]","[[stand work magnet come week put case allow auxiliary insert play music, 0.8765, 4], [problem kick stand magnet come lose fix case money, -0.0772, 4]]"
B00RY9LCHK,[0.4019],[5],"[[usefulit, charge, smart, phonesipadsetc]]","[[usefulit charge smart phonesipadsetc, 0.4019, 5]]"
B00SK6KANS,"[-0.4606, 0.7003, 0.0043]","[1, 5, 5]","[[love, case, piece, plastic, case, broke, plastic, case, broke, place, crack, earphone, port, charge, port, gold, coat, rub, case, flimsy, wouldnt, recommend, anyone, purchase, better, get, rubber, case, disappoint], [fit, galaxy, difficulty, get, there, worry, come, offbr, look, phone, protect, look], [good]]","[[love case piece plastic case broke plastic case broke place crack earphone port charge port gold coat rub case flimsy wouldnt recommend anyone purchase better get rubber case disappoint, -0.4606, 1], [fit galaxy difficulty get there worry come offbr look phone protect look, 0.7003, 5], [good, 0.0043, 5]]"
B00SM61BGQ,[0.9389],[5],"[[skin, phone, look, amaze, look, amaze, case]]","[[skin phone look amaze look amaze case, 0.9389, 5]]"
B00SND7CWK,[0.4404],[5],"[[simple, place, ipad, air, ]]","[[simple place ipad air , 0.4404, 5]]"
B00SUEKJ4U,[0.8885],[4],"[[case, wish, close]]","[[case wish close, 0.8885, 4]]"
B00SV63BN8,"[0.6369, 0.8748, 0.743, 0.743, 0.5081]","[5, 5, 4, 5, 4]","[[go, spigens, quality, feel, phone, naked, quality, glass, firm, case, keep, quality, feel, infact, improve, provide, protection, phone, kickstand, lightweight, say, cheap, follow, direction, include, put, case, phone, goodbr, br, add, bonus, look, edge], [case, grip, stand, add, bonus], [case, thing, kickstand, make, flimsy, material, pop, drop, expect, metal, kickstand, something, sturdy, besides, excellent, case], [case], [feel, phone, secure, case, kickstand, feel, cheap, black, white, look, white, phone]]","[[go spigens quality feel phone naked quality glass firm case keep quality feel infact improve provide protection phone kickstand lightweight say cheap follow direction include put case phone goodbr br add bonus look edge, 0.6369, 5], [case grip stand add bonus, 0.8748, 5], [case thing kickstand make flimsy material pop drop expect metal kickstand something sturdy besides excellent case, 0.743, 4], [case, 0.743, 5], [feel phone secure case kickstand feel cheap black white look white phone, 0.5081, 4]]"
B00SW80NP4,[0.7351],[5],"[[work, price]]","[[work price, 0.7351, 5]]"
B00T2FTKHI,[-0.6497],[1],"[[fit, iphone, waste, money, false, advertise]]","[[fit iphone waste money false advertise, -0.6497, 1]]"
B00TAJR3IY,[0.0],[3],"[[picture, show]]","[[picture show, 0.0, 3]]"
B00TDNDENU,"[0.6249, 0.4404]","[5, 4]","[[work, great, expect], [product, issue]]","[[work great expect, 0.6249, 5], [product issue, 0.4404, 4]]"
B00TSXFM1C,[0.6808],[4],"[[quality, make, mm, headset, include, mm, adapter, use, smart, phone]]","[[quality make mm headset include mm adapter use smart phone, 0.6808, 4]]"
B00TUMMKSO,[-0.682],[1],"[[case, isnt, reason, camo, look, rubber, part, case, hard, casing, partyoull, understand, case, sense, doesnt, fit, volume, button, hard, push]]","[[case isnt reason camo look rubber part case hard casing partyoull understand case sense doesnt fit volume button hard push, -0.682, 1]]"
B00U0EL2Z8,[0.5994],[4],"[[purchase, nokia, read, review, case, make, purchase, state, belt, clip, piece, pointless, press, power, button, drain, battery, lucky, piece, use, didnt, buy, case, fit, phone, doesnt, get, hung, pocket, button, line, stand, nice, feature, wont, get, use, muchnice, case, fast, ship]]","[[purchase nokia read review case make purchase state belt clip piece pointless press power button drain battery lucky piece use didnt buy case fit phone doesnt get hung pocket button line stand nice feature wont get use muchnice case fast ship, 0.5994, 4]]"
B00U79CXMW,"[0.1573, 0.4404, -0.0644]","[5, 4, 2]","[[everything, work, second, selfie, stick, doesnt, want, connect, phone, get], [think, fun, purchase, trip, york, charge, hold, day, way, get, turn, use, bluetooth, take, picture, whilst, plug, wall, end, use, timer, phone, take, picture, make], [color]]","[[everything work second selfie stick doesnt want connect phone get, 0.1573, 5], [think fun purchase trip york charge hold day way get turn use bluetooth take picture whilst plug wall end use timer phone take picture make, 0.4404, 4], [color, -0.0644, 2]]"
B00U7CWJAK,[0.7408],[3],"[[case, doesnt, offer, pretection, top, bottom, phone, gotta, extra, drop, phone, side]]","[[case doesnt offer pretection top bottom phone gotta extra drop phone side, 0.7408, 3]]"
B00UBV81EA,[0.5719],[5],[[perfect]],"[[perfect, 0.5719, 5]]"
B00UH3KMXU,[0.0],[1],"[[nightmare, get, side, surface, become, watch, peel, take, dollar, throw]]","[[nightmare get side surface become watch peel take dollar throw, 0.0, 1]]"
B00UJGVIK6,[-0.4005],[1],"[[broke, replace, please, frustrate, time, write]]","[[broke replace please frustrate time write, -0.4005, 1]]"
B00UOI1EBM,[0.2732],[5],"[[arrive, work]]","[[arrive work, 0.2732, 5]]"
B00URKH2OU,[0.8519],[5],"[[case, awesome, love, order]]","[[case awesome love order, 0.8519, 5]]"
B00UV7LEES,[0.34],[3],"[[brake, drop]]","[[brake drop, 0.34, 3]]"
B00UWNIWL4,[0.6249],[5],[[case]],"[[case, 0.6249, 5]]"
B00V5M0J3U,[0.3612],[5],[[thank]],"[[thank, 0.3612, 5]]"
B00V7QMAJA,"[0.0, -0.6381, -0.363, 0.8858]","[1, 1, 3, 5]","[[excellent, customer, support, happy], [ok, work, flimsy, thrill, item], [product, charge, iphone], [fit, iphone, case, return, disappoint, find, work]]","[[excellent customer support happy, 0.0, 1], [ok work flimsy thrill item, -0.6381, 1], [product charge iphone, -0.363, 3], [fit iphone case return disappoint find work, 0.8858, 5]]"
B00V7UNF4K,"[0.5719, 0.0, 0.7734, 0.7159, 0.9413, 0.7904, 0.4005, 0.5198, 0.8603]","[5, 5, 5, 5, 5, 3, 5, 5, 5]","[[hold, m, wear, run, mile, condensation, build, inside, sweat, overall, price, happy, watch, moisture, youre, real, fitness, nut], [present, son, muscle, make, dont, problem, find, great, convenience], [sturdy, nice, quality], [perfect, expect], [fit, arm, phone, fit, case, case], [fit, move, run, gyming], [], [love, arm, band, fit, htc, m, dont, need, worry, fall, run, thing, change, make, head, phone, jack, easier, use, recommend, arm, band, market], [excellent, armband, material, arm, phone, fit, pocket, keep, case, htc, didnt, need, take, fit, armband, make, thing, bit, bulkier, want, take, anyways, armband, fit, arm, size, hole, band, wrap, didnt, bounce, run, product, ive, try, complaint, material, cover, difficult, see, couldnt, tell, look, remove, thing, arm, put, face, nitpick, otherwise, product, plan, keep, use]]","[[hold m wear run mile condensation build inside sweat overall price happy watch moisture youre real fitness nut, 0.5719, 5], [present son muscle make dont problem find great convenience, 0.0, 5], [sturdy nice quality, 0.7734, 5], [perfect expect, 0.7159, 5], [fit arm phone fit case case, 0.9413, 5], [fit move run gyming, 0.7904, 3], [, 0.4005, 5], [love arm band fit htc m dont need worry fall run thing change make head phone jack easier use recommend arm band market, 0.5198, 5], [excellent armband material arm phone fit pocket keep case htc didnt need take fit armband make thing bit bulkier want take anyways armband fit arm size hole band wrap didnt bounce run product ive try complaint material cover difficult see couldnt tell look remove thing arm put face nitpick otherwise product plan keep use, 0.8603, 5]]"
B00VGZL66K,[0.9698],[4],"[[buy, case, help, protect, teen, phone, disappoint, thought, send, seem, get, fit, phone, galaxy, prevail, matter, try, side, case, phone, think, remember, reading, review, suggest, fit, black, sleeve, phone, make, sure, cover, volume, power, button, try, use, knife, pry, side, outer, color, shell, sleeve, phone, work, think, go, say, fit, come, variety, bright, color, order, color, help, keep, phone, thing, dont, rubber, end, seem, thin, thick, rubber, uag, case, galaxy, time, tell, help, phone]]","[[buy case help protect teen phone disappoint thought send seem get fit phone galaxy prevail matter try side case phone think remember reading review suggest fit black sleeve phone make sure cover volume power button try use knife pry side outer color shell sleeve phone work think go say fit come variety bright color order color help keep phone thing dont rubber end seem thin thick rubber uag case galaxy time tell help phone, 0.9698, 4]]"
B00VVHZZ9C,[0.3296],[1],"[[glass, chip, side, didnt, drop, place, bag, time, sure, temper, glass, claim, refund]]","[[glass chip side didnt drop place bag time sure temper glass claim refund, 0.3296, 1]]"
B00W55ASWS,[0.8442],[5],"[[iphone, case]]","[[iphone case, 0.8442, 5]]"
B00W62W8XM,[0.4678],[3],"[[case, fine, condition, image, shift, cutoff, hole, camera, part, foot, bottom]]","[[case fine condition image shift cutoff hole camera part foot bottom, 0.4678, 3]]"
B00W68NVZK,[0.4673],[2],"[[material, make, well, price, guess, ok]]","[[material make well price guess ok, 0.4673, 2]]"
