9714414997,[0.0],[5],"[[stream, netflixhulu, medium, phone]]","[[stream netflixhulu medium phone, 0.0, 5]]"
B00NZA7X8Y,"[0.8689, 0.6249, 0.0, 0.7146, 0.4404, -0.4215, 0.9231]","[5, 5, 5, 5, 4, 1, 5]","[[fit, galaxy, alpha, apply, come, alcohol, pad, micro, fiber, cloth, clean, screen, apply], [awesome], [fit], [look, beautiful, fit, love, buy, son, tablet], [star], [crack, couple, day, inside, useless, shocksock, buy]]","[[fit galaxy alpha apply come alcohol pad micro fiber cloth clean screen apply, 0.8689, 5], [awesome, 0.6249, 5], [fit, 0.0, 5], [look beautiful fit love buy son tablet, 0.7146, 5], [star, 0.4404, 4], [crack couple day inside useless shocksock buy, -0.4215, 1], [, 0.9231, 5]]"
B00O3GWDD4,[0.6369],[5],[[quality]],"[[quality, 0.6369, 5]]"
B00O3J7TS0,[0.936],[4],"[[describe, dosent, look, advertise, picture, quality, product, order, th, come, th, thing, didnt, shipping, time, come, day, week, ok, wouldve, want, quicker]]","[[describe dosent look advertise picture quality product order th come th thing didnt shipping time come day week ok wouldve want quicker, 0.936, 4]]"
B00O50HG4E,[0.0],[5],"[[present, nephew, germanyit, hit]]","[[present nephew germanyit hit, 0.0, 5]]"
B00O7E07QM,"[0.6249, 0.6264]","[5, 4]","[[work, fix, wife, x, drop, pool], [go, limb, star, installation, techie, tool, follow, ifixits, improvise, fill, sock, brown, rice, warm, glue, phone, recommend, fainthearted, try, removing, star, battery, feel, capacity, oem, battery, come, moto, x, ]]","[[work fix wife x drop pool, 0.6249, 5], [go limb star installation techie tool follow ifixits improvise fill sock brown rice warm glue phone recommend fainthearted try removing star battery feel capacity oem battery come moto x , 0.6264, 4]]"
B00O9FLGX2,[0.9136],[5],"[[fit, expect, seems, year, like, price, seem, appropriate, quality, buy, phone, cover, stepdaughter, love, dr, love]]","[[fit expect seems year like price seem appropriate quality buy phone cover stepdaughter love dr love, 0.9136, 5]]"
B00O9WQJM8,[0.6249],[5],[[case]],"[[case, 0.6249, 5]]"
B00OFWPSII,[0.8316],[5],"[[buy, fit, perfect]]","[[buy fit perfect, 0.8316, 5]]"
B00OH4HTT0,"[0.8424, 0.8555]","[5, 5]","[[excellent, case, fast, shipping, case, add, look, phone, solid, feel], [love, case, back, excellent, fit, look, premium]]","[[excellent case fast shipping case add look phone solid feel, 0.8424, 5], [love case back excellent fit look premium, 0.8555, 5]]"
B00OZJL9VG,"[0.7374, 0.0, 0.088, 0.9186, 0.8735]","[5, 4, 1, 5, 4]","[[nice, case, clear, bulky, feel], [case, fit, feel, appears, make, way, protect, phone, minor, fall, drop, make, claim, case, protect, fall], [gel, cover, super, price], [use, cover, time, phone, remove, nowbr, br, month, use, start, damage, phone, aluminum, part, hole, image, get, unit, shouldnt, damage, phone], [simple, inexpensive, advertise]]","[[nice case clear bulky feel, 0.7374, 5], [case fit feel appears make way protect phone minor fall drop make claim case protect fall, 0.0, 4], [gel cover super price, 0.088, 1], [use cover time phone remove nowbr br month use start damage phone aluminum part hole image get unit shouldnt damage phone, 0.9186, 5], [simple inexpensive advertise, 0.8735, 4]]"
B00P02VB7Y,[-0.3274],[4],"[[perfect, track, cheating, tramp, shes, gone, kid, cant, figure, know, go, arent, suppose, battery, life, tell, expect, wire, system, thats, problem]]","[[perfect track cheating tramp shes gone kid cant figure know go arent suppose battery life tell expect wire system thats problem, -0.3274, 4]]"
B00P21KVVU,[0.7506],[5],"[[phone, case, protects, phone, rubbery, body]]","[[phone case protects phone rubbery body, 0.7506, 5]]"
B00P5WIMHG,[0.0],[5],[[awsome]],"[[awsome, 0.0, 5]]"
B00P6TT6FU,[0.6999],[4],"[[awesome, case, look, great, grip, button, side, micro, usb, cable, cant, bottom, hole, minor, tweak, product, perfect, star, score, knock, whole, star, thems, rub, make, send, demo, copy, ill, add, star, review, eh]]","[[awesome case look great grip button side micro usb cable cant bottom hole minor tweak product perfect star score knock whole star thems rub make send demo copy ill add star review eh, 0.6999, 4]]"
B00P8FZQ2O,[-0.1181],[4],"[[back, aluminium, sticker, threw, bag, key, dentlike, scratch, tear]]","[[back aluminium sticker threw bag key dentlike scratch tear, -0.1181, 4]]"
B00P9Y76UY,"[-0.0018, -0.4155, 0.5267]","[4, 1, 4]","[[waste, money, flimsy, didnt, fit, loose, case, come, phone, pocket, armor], [drop, phone, time, save, crack, problem, press, volume, key, iyt], [fit, stand, close, grest, case, otherwise]]","[[waste money flimsy didnt fit loose case come phone pocket armor, -0.0018, 4], [drop phone time save crack problem press volume key iyt, -0.4155, 1], [fit stand close grest case otherwise, 0.5267, 4]]"
B00PCJDKQU,[0.0],[1],"[[color, fade, use, twice, put, didnt, use, phone, want, use, fade]]","[[color fade use twice put didnt use phone want use fade, 0.0, 1]]"
B00PET9CGU,[0.0],[3],"[[sturdy, piece, dethreads, scrub, pull, pocket]]","[[sturdy piece dethreads scrub pull pocket, 0.0, 3]]"
B00PR2XOQS,"[0.6369, 0.5994]","[5, 4]","[[love], [excelente, satisfecha, love, product]]","[[love, 0.6369, 5], [excelente satisfecha love product, 0.5994, 4]]"
B00PSNEFTG,[0.8519],[3],"[[protects, bottom, expose, side, enclosedbr, br, soft, feel, make, phone, keep, hand, problem, light, color, one, time, put, purse, pick, dark, soil, amount, scrub, remove, wont, problem, black, pink, become, dingy, look]]","[[protects bottom expose side enclosedbr br soft feel make phone keep hand problem light color one time put purse pick dark soil amount scrub remove wont problem black pink become dingy look, 0.8519, 3]]"
B00Q2DADLA,[0.8807],[5],[[love]],"[[love, 0.8807, 5]]"
B00Q9OVZI2,"[0.6249, 0.8402]","[5, 5]","[[product], [perfect, fit, bose, unit, handle, make, carry, dropping]]","[[product, 0.6249, 5], [perfect fit bose unit handle make carry dropping, 0.8402, 5]]"
B00QE8ACV4,[-0.1779],[2],"[[productbr, br, butbr, br, stop, charge, iphone, charge, charge, seem, bit, spotty, use, cadillac, at, cue, charge, padbr, br, think, returning]]","[[productbr br butbr br stop charge iphone charge charge seem bit spotty use cadillac at cue charge padbr br think returning, -0.1779, 2]]"
B00QKWFVK6,[0.5553],[5],"[[case, thing, start, lose, color, ive, case, month, done, job, protect]]","[[case thing start lose color ive case month done job protect, 0.5553, 5]]"
B00QORYES2,"[0.0, 0.8204, -0.7906, 0.886, 0.8689, 0.5994]","[5, 5, 5, 2, 4, 5]","[[case, size, weight, durability], [seems, job, time, tell], [as, case], [case, want, protect, phone, make, twice, thick, time, love, droid, turbo, bit, side, case, serve, make, protect, degree, density, case, save, money, get], [nice, case, fit, need, build, screen, protector, kickstand, preform], [super, protection]]","[[case size weight durability, 0.0, 5], [seems job time tell, 0.8204, 5], [as case, -0.7906, 5], [case want protect phone make twice thick time love droid turbo bit side case serve make protect degree density case save money get, 0.886, 2], [nice case fit need build screen protector kickstand preform, 0.8689, 4], [super protection, 0.5994, 5]]"
B00QQGDOJG,[0.8611],[2],"[[goodbr, latency, nolan, trxbr, easy, pairbr, decent, rangebr, br, badbr, crackle, point, return, thembr, seem, control, placementbr, br, otherbr, didnt, see, get, playing, time, judge, battery, life, keep, problem, side, crackling, happen, bluetooth, headsetsheadphones, transmitter, issue]]","[[goodbr latency nolan trxbr easy pairbr decent rangebr br badbr crackle point return thembr seem control placementbr br otherbr didnt see get playing time judge battery life keep problem side crackling happen bluetooth headsetsheadphones transmitter issue, 0.8611, 2]]"
B00QVWTI36,[-0.6525],[2],"[[magnet, case, weak, drop, phone, case, whip, way, phone, land, sidewalk, glassdown, smash, start, look, worn, us, please, buy, case, rely, protect, phone]]","[[magnet case weak drop phone case whip way phone land sidewalk glassdown smash start look worn us please buy case rely protect phone, -0.6525, 2]]"
B00QXUMYDC,"[0.765, 0.0]","[5, 1]","[[thank], [dont, buy, quit, work, road, trip, use]]","[[thank, 0.765, 5], [dont buy quit work road trip use, 0.0, 1]]"
B00RGWZ1CC,[0.7184],[5],"[[case, cuter, otter, box, screen, protect, drop]]","[[case cuter otter box screen protect drop, 0.7184, 5]]"
B00RLHE2C2,[-0.2964],[3],"[[charger, work, fine, problem, seem, magnet, come, apart]]","[[charger work fine problem seem magnet come apart, -0.2964, 3]]"
B00RVAHZB4,[0.5719],[5],"[[fit, fone, decent, quality, case, get, day, get, fone]]","[[fit fone decent quality case get day get fone, 0.5719, 5]]"
B00S2G9IES,[0.0],[5],"[[advertise, plan, order, variety, color]]","[[advertise plan order variety color, 0.0, 5]]"
B00SAAK7CI,[0.908],[5],"[[case, fit, cell, phone, look, company, provide, excellent, customer, service, stand, product, case, receive, mail, sent, charge, met, expectation]]","[[case fit cell phone look company provide excellent customer service stand product case receive mail sent charge met expectation, 0.908, 5]]"
B00SAU4Q0C,"[0.7496, 0.296, 0.5719, 0.9022, 0.8548, 0.7351, 0.0]","[5, 3, 5, 5, 5, 5, 5]","[[bring, son, phone, fit], [fit, perfect], [nice, case, bulky, cute], [get, super, fast, sleek, love], [product, great, look, well, picture, deliver, time], [excellent], [ok, case, look, lot, nice, life]]","[[bring son phone fit, 0.7496, 5], [fit perfect, 0.296, 3], [nice case bulky cute, 0.5719, 5], [get super fast sleek love, 0.9022, 5], [product great look well picture deliver time, 0.8548, 5], [excellent, 0.7351, 5], [ok case look lot nice life, 0.0, 5]]"
B00SCZ64U0,[0.7681],[3],"[[packaging, great, selfie, stick, bluetooth, mine, longer, work, charge, charge, last, minute, use, reach, thing, recommend, selfie, stick, aux, cord]]","[[packaging great selfie stick bluetooth mine longer work charge charge last minute use reach thing recommend selfie stick aux cord, 0.7681, 3]]"
B00SIDZJIE,[0.7906],[5],"[[case, work, well]]","[[case work well, 0.7906, 5]]"
B00SIYIGL0,[0.9494],[5],"[[come, mail, fast, happy, d, yes, amaze]]","[[come mail fast happy d yes amaze, 0.9494, 5]]"
B00SKXXGH8,"[-0.4731, 0.8481]","[2, 5]","[[happyworked, couple, day, dont, stay, plug, keep, fall, dont, want, wiggle, port, doesnt, get, mess], [awesome, product, awesome, people, deal]]","[[happyworked couple day dont stay plug keep fall dont want wiggle port doesnt get mess, -0.4731, 2], [awesome product awesome people deal, 0.8481, 5]]"
B00SNFQ8LY,[-0.08],[3],"[[get, pay, didnt, want, something, bulky, keep, camera, laid, phone]]","[[get pay didnt want something bulky keep camera laid phone, -0.08, 3]]"
B00SNWCUIM,"[0.7778, 0.9052]","[5, 5]","[[nice, case, price, im, happy], [use, know, otterbox, product, own, iphone, galaxy, phone, case, bomb, hard, feel, side, make, feel, comfort, make]]","[[nice case price im happy, 0.7778, 5], [use know otterbox product own iphone galaxy phone case bomb hard feel side make feel comfort make, 0.9052, 5]]"
B00SNWCYKQ,"[-0.1695, 0.6098]","[1, 1]","[[gold, color, think, youre, get, gold, cream, color, tan, dont, buy, case, cheap, anyways], [button, side, donnt, work, cant, press, case, sell, allow, button, press, order, case]]","[[gold color think youre get gold cream color tan dont buy case cheap anyways, -0.1695, 1], [button side donnt work cant press case sell allow button press order case, 0.6098, 1]]"
B00SORGJ7Y,"[0.9349, 0.4347, 0.7876, 0.6369]","[5, 3, 4, 5]","[[search, time, perfect, bluetooth, neckband, im, disappoint, call, someone, delay, magnates, dont, hold, earbuds, place, bend, earbuds, fall, feel, neck, music, sound, ok, got, phone, call, lot, hate, hold, phone, talk, ill, go, buy, spread, get, something, well], [headset, come, expect, happy, quality, connect, work, phone, cell, phone, time, include, work, disappoint, happy, purchase, star, work, headset, deserves, star], [headphone, price, sound, quality, great, feel, neck, get, thick, round, holder, cord, connect, ear, bud, money]]","[[search time perfect bluetooth neckband im disappoint call someone delay magnates dont hold earbuds place bend earbuds fall feel neck music sound ok got phone call lot hate hold phone talk ill go buy spread get something well, 0.9349, 5], [headset come expect happy quality connect work phone cell phone time include work disappoint happy purchase star work headset deserves star, 0.4347, 3], [headphone price sound quality great feel neck get thick round holder cord connect ear bud money, 0.7876, 4], [, 0.6369, 5]]"
B00SRDWJBU,[0.6249],[4],[[product]],"[[product, 0.6249, 4]]"
B00SSRWLCW,[-0.6077],[1],"[[dont, buy, phone, get, soak, stop, work, waste, money]]","[[dont buy phone get soak stop work waste money, -0.6077, 1]]"
B00SXCSR1G,[0.8271],[5],"[[everything, advertise, colour]]","[[everything advertise colour, 0.8271, 5]]"
B00SYZTWE8,"[0.8442, 0.4927, 0.9113, 0.0772, 0.8807, 0.9423]","[5, 4, 5, 4, 5, 5]","[[case, price, break, week, try, get, replace, battery], [nice, sturdy, case, get], [fit, galaxy, phone], [picture, love, worth, money, deal], [fit, great, galaxy, super, smooth, cute], [quality, sturdy, stilys, bonus]]","[[case price break week try get replace battery, 0.8442, 5], [nice sturdy case get, 0.4927, 4], [fit galaxy phone, 0.9113, 5], [picture love worth money deal, 0.0772, 4], [fit great galaxy super smooth cute, 0.8807, 5], [quality sturdy stilys bonus, 0.9423, 5]]"
B00T3PFL8E,"[0.0, 0.0, 0.34, 0.4404, 0.0]","[5, 5, 1, 5, 5]","[[right, clutch, pursebattery, buy, buy, merchant, need, arise], [need], [quality, need], [need, phone, mount, lead, power], [reviewer, write, yet, recommend, phone, cradle, refer, better, notice, kink, holder, arm, make, supplier, pass, loss, purchase, size, consumer]]","[[right clutch pursebattery buy buy merchant need arise, 0.0, 5], [need, 0.0, 5], [quality need, 0.34, 1], [need phone mount lead power, 0.4404, 5], [reviewer write yet recommend phone cradle refer better notice kink holder arm make supplier pass loss purchase size consumer, 0.0, 5]]"
B00T5KRWHU,[0.4404],[5],"[[take, half, hour, work, watch, youtube, video, instruction]]","[[take half hour work watch youtube video instruction, 0.4404, 5]]"
B00T769PO0,"[0.4754, 0.0]","[4, 5]","[[luv, case], [case, everything, ask, leather, case, supple, nice, look]]","[[luv case, 0.4754, 4], [case everything ask leather case supple nice look, 0.0, 5]]"
B00T880P1O,[0.674],[1],"[[make, think, baste, case, purchase, love, didnt, put, phone, im, afraid, drop, phone, break, toddler, phone, get, drop, learn, lesson]]","[[make think baste case purchase love didnt put phone im afraid drop phone break toddler phone get drop learn lesson, 0.674, 1]]"
B00TECWV1G,[0.9325],[5],"[[buy, case, color, buy, bought, case, color, love, product, smooth, feel, extra, nice, piece, price]]","[[buy case color buy bought case color love product smooth feel extra nice piece price, 0.9325, 5]]"
B00TFORUM8,[0.0],[5],[[need]],"[[need, 0.0, 5]]"
B00TK1FC62,[0.7351],[5],"[[son, love, case, mahalo, nui, loa, thank, hawaii]]","[[son love case mahalo nui loa thank hawaii, 0.7351, 5]]"
B00TOYK6L6,"[-0.2263, 0.4927]","[3, 5]","[[case], [picture, item, wont, color, match, dilute, neongreen, look, color, stand, broke, couple, day, manage, fix]]","[[case, -0.2263, 3], [picture item wont color match dilute neongreen look color stand broke couple day manage fix, 0.4927, 5]]"
B00TP34SZG,[0.9747],[5],"[[screen, protector, ive, feel, look, act, screen, breeze, install, take, couple, minute, lg, g, vigor, people, review, say, doesnt, fit, didnt, order, phone, difference, lg, g, lg, g, vigor, vigor, different, phone, size, edit, come, review, month, own, ultimate, test, drop, phone, screech, saw, crack, take, screen, protector, screen, fine, need, protector, crack, phone, order, install]]","[[screen protector ive feel look act screen breeze install take couple minute lg g vigor people review say doesnt fit didnt order phone difference lg g lg g vigor vigor different phone size edit come review month own ultimate test drop phone screech saw crack take screen protector screen fine need protector crack phone order install, 0.9747, 5]]"
B00TSVVNQC,"[0.9716, 0.9076, -0.4118]","[5, 5, 2]","[[last, hook, held, phone, place, broke, month, use, felt, sturdy, case, work, use, clip, anymore], [case, recommend, case, own], [excellent, price, excellent, quality, bulky, dad, find, mean, look, sleek, modern, regard, safety, appear, sturdy, fit, phone, recommend]]","[[last hook held phone place broke month use felt sturdy case work use clip anymore, 0.9716, 5], [case recommend case own, 0.9076, 5], [excellent price excellent quality bulky dad find mean look sleek modern regard safety appear sturdy fit phone recommend, -0.4118, 2]]"
B00TZ0PJMU,[0.7346],[5],"[[keeping, thing, child]]","[[keeping thing child, 0.7346, 5]]"
B00U698R6E,[0.8885],[5],"[[thank, year, grandson, love, product, price]]","[[thank year grandson love product price, 0.8885, 5]]"
B00U7WNTTU,[0.177],[3],"[[look, make, work, z, talk, vender, refund, money]]","[[look make work z talk vender refund money, 0.177, 3]]"
B00UCUX5TQ,[0.8519],[4],"[[case, side, less, week, fade, side, awesome]]","[[case side less week fade side awesome, 0.8519, 4]]"
B00UG9WWZG,[0.6757],[1],"[[look, scuff]]","[[look scuff, 0.6757, 1]]"
B00UN7ZL0E,"[0.8843, 0.8615, 0.9761, 0.0, 0.6249, 0.09, 0.971, 0.6249, 0.875, 0.424, -0.3754, 0.875, 0.7351, 0.7845, 0.9707]","[5, 5, 5, 5, 5, 3, 5, 5, 3, 4, 4, 5, 5, 5, 5]","[[base, extend, deeper, cd, slot, tends, pop, hit, bump, work, smaller, phone, samsung, note, heavy, holder], [phone, holder, make, design, charger, cord, speaker, cord, go, block, phone, unit, release, squeeze, side, grippers, grippy, surface, evidence, lot, think, want, phone, holder, car, make, mistake, dont, buy, car], [purchase, please, order, quality, devise, recommend, devise, simple, install, car, amaze, product, buck], [car, good, wouldve, hop, product], [nice, product, luck, airvent, connector, phone, holder, ford, focus], [super, simple, convenient, car, door, pull, garage, door, cover, cd, slot, case, mount, reach, cd, slot, platform, phone, go, butt, door, knob, control, tension, mount, slot, locate, fault, mount, think, id, well, ventmount], [buy, use, samsung, galaxy, slim, case, work, dense, foam, pad, phone, kind, grip, arm, bottom, angle, keep, phone, tilt, wont, let, fall, dont, tighten, time, slide, phone, stay, put, adjust, move, portrait, landscape, etc, stay, put, convenient, thoughtful, wellfunctioning, car, mount, ever, itll, fit, size, phone, get, wont, replace, get, arm, pretty, wide, there, nothing, limit, device, height, ever, cell, accessory, purchase, second, item, bought, brand, quality, value], [love, ankers, product, own, battery, charger, give, shot, love, love, love, fit, compact, cd, slot, flap, slot, insert, sleek, profile, unnecessary, obstruction, issue, someone, note, microusb, charge, slot, bottom, center, mount, block, issue, knock, star, anker, fanboy], [ship, look, work, ask], [love, thing, throw, air, vent, suction, cup, dock, station, year, hesitant, anything, thing, sturdy, position, perfect, angle, height, dash, love, everything], [excellent, form, fit, porsche, mean, room, mount, holder, dash, center, console, anker, cd, mount, answer, fit, design, color, quality, excellent, fit, samsung, note, bulky, otterbox, cover, cant, beat, price, buy, case, wife, steal, car], [buy, hold, phone, im, use, gps, adjust, sturdy], [build, item, phone, holder, shakingvibrating, involve, job, minimize, star, product, buy, againrecommend, friend], [quality, product], [mount, well, expect]]","[[base extend deeper cd slot tends pop hit bump work smaller phone samsung note heavy holder, 0.8843, 5], [phone holder make design charger cord speaker cord go block phone unit release squeeze side grippers grippy surface evidence lot think want phone holder car make mistake dont buy car, 0.8615, 5], [purchase please order quality devise recommend devise simple install car amaze product buck, 0.9761, 5], [car good wouldve hop product, 0.0, 5], [nice product luck airvent connector phone holder ford focus, 0.6249, 5], [super simple convenient car door pull garage door cover cd slot case mount reach cd slot platform phone go butt door knob control tension mount slot locate fault mount think id well ventmount, 0.09, 3], [buy use samsung galaxy slim case work dense foam pad phone kind grip arm bottom angle keep phone tilt wont let fall dont tighten time slide phone stay put adjust move portrait landscape etc stay put convenient thoughtful wellfunctioning car mount ever itll fit size phone get wont replace get arm pretty wide there nothing limit device height ever cell accessory purchase second item bought brand quality value, 0.971, 5], [love ankers product own battery charger give shot love love love fit compact cd slot flap slot insert sleek profile unnecessary obstruction issue someone note microusb charge slot bottom center mount block issue knock star anker fanboy, 0.6249, 5], [ship look work ask, 0.875, 3], [love thing throw air vent suction cup dock station year hesitant anything thing sturdy position perfect angle height dash love everything, 0.424, 4], [excellent form fit porsche mean room mount holder dash center console anker cd mount answer fit design color quality excellent fit samsung note bulky otterbox cover cant beat price buy case wife steal car, -0.3754, 4], [buy hold phone im use gps adjust sturdy, 0.875, 5], [build item phone holder shakingvibrating involve job minimize star product buy againrecommend friend, 0.7351, 5], [quality product, 0.7845, 5], [mount well expect, 0.9707, 5]]"
B00UOVFU0U,[0.0],[5],[[]],"[[, 0.0, 5]]"
B00UY50GLE,"[0.3612, 0.6249]","[5, 5]","[[receive, advertise, accessory]]","[[receive advertise accessory, 0.3612, 5], [, 0.6249, 5]]"
B00V2R2QR0,[0.4404],[5],[[quality]],"[[quality, 0.4404, 5]]"
B00V5PEKT6,[-0.4215],[2],"[[broke, week, start, use]]","[[broke week start use, -0.4215, 2]]"
B00V5XX0VC,"[-0.3804, 0.0, 0.7351, 0.4927]","[1, 4, 5, 5]","[[hold, phone], [quality, price, quick, ship], [clip, loose, phone], [perfect, fit, need, ship, cost]]","[[hold phone, -0.3804, 1], [quality price quick ship, 0.0, 4], [clip loose phone, 0.7351, 5], [perfect fit need ship cost, 0.4927, 5]]"
B00V68RI3M,[-0.2263],[2],"[[get, june, aug, stop, work]]","[[get june aug stop work, -0.2263, 2]]"
B00V741XX6,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
B00V90LI6K,"[0.5767, 0.0243]","[3, 2]","[[work, great, didnt, case, doesnt, allow, phone, sit, way, cradle, make, charge, send, want, case, dock], [get, phone, dock, station, feel, break, whenever, use, fragile, expect]]","[[work great didnt case doesnt allow phone sit way cradle make charge send want case dock, 0.5767, 3], [get phone dock station feel break whenever use fragile expect, 0.0243, 2]]"
B00VAZLJX6,[0.6369],[5],"[[temper, glass]]","[[temper glass, 0.6369, 5]]"
B00VMEZJJK,[0.9612],[5],"[[case, amaze, water, test, work, note, get, wet, use, phone, beach, ocean, hot, tub, jacuzzi, amusement, park, water, rid, water, get, phone, choice, phone, case, make, vacation, everday, live, worry, purchase, tealblack, color, combo, vivid, color, picture, display]]","[[case amaze water test work note get wet use phone beach ocean hot tub jacuzzi amusement park water rid water get phone choice phone case make vacation everday live worry purchase tealblack color combo vivid color picture display, 0.9612, 5]]"
B00VSGRE36,"[0.4939, 0.6369, 0.6486]","[4, 5, 4]","[[nine, year, boy, use, month, exceed, expectation, price, stand, work, stylus, go, stay, holder, wonderful, product], [enlarge, aux, hole, fit, cable, nice, case]]","[[nine year boy use month exceed expectation price stand work stylus go stay holder wonderful product, 0.4939, 4], [enlarge aux hole fit cable nice case, 0.6369, 5], [, 0.6486, 4]]"
B00VT3QABU,[-0.1815],[1],"[[look, doesnt, fit, galaxy]]","[[look doesnt fit galaxy, -0.1815, 1]]"
B00VTVA70W,[0.4588],[4],"[[kit, come, accessory, screen, replacement, glitches, resolve, seller]]","[[kit come accessory screen replacement glitches resolve seller, 0.4588, 4]]"
B00VWLSZ12,[0.4215],[4],[[nice]],"[[nice, 0.4215, 4]]"
B00W3LWZFM,[0.1779],[5],"[[wife, expend, lot, time, look, car, charger, cell, phone, wasnt, find, amazon, power, gearthanks]]","[[wife expend lot time look car charger cell phone wasnt find amazon power gearthanks, 0.1779, 5]]"
B00W9TOS8K,[0.6249],[5],"[[want, price, order, seller]]","[[want price order seller, 0.6249, 5]]"
B00WASKRKS,[0.91],[5],"[[quality, case, good, price, case, year, condition, case, carry, phone, pocket, purse, provide, protection, phone, screen, add, bulk, doesnt, provide, protection, drop, phone, tile, arent, prone, drop, phone, perfect, see, front, cover, close, see, call, open, case]]","[[quality case good price case year condition case carry phone pocket purse provide protection phone screen add bulk doesnt provide protection drop phone tile arent prone drop phone perfect see front cover close see call open case, 0.91, 5]]"
B00WJL8352,"[0.5719, 0.9144, 0.6113, 0.8059]","[5, 5, 3, 5]","[[love], [come, soo, fun, enjoy, plan, purchase, seller, nothing, case, everything, expect, content], [fit, phone, look], [cover, fit, perfect, known, clip, phone, protection, front]]","[[love, 0.5719, 5], [come soo fun enjoy plan purchase seller nothing case everything expect content, 0.9144, 5], [fit phone look, 0.6113, 3], [cover fit perfect known clip phone protection front, 0.8059, 5]]"
B00WJOT5GU,"[-0.4404, 0.1999]","[2, 4]","[[otterbox, phone, drop, case, corner, phone, become, damage], [case, good, quality, lg, g, phone, return, item]]","[[otterbox phone drop case corner phone become damage, -0.4404, 2], [case good quality lg g phone return item, 0.1999, 4]]"
B00WLZ48UK,[0.6249],[5],"[[work, great]]","[[work great, 0.6249, 5]]"
B00WOM12HW,[0.6129],[4],"[[purchase, husband, phone, he, phone, need, case, help, protect, like, look, case, thinner, case, phone, think, go, purchase, case, son, phone, kickstand, son, like, watch, video, phone, kickstand, hold, phone, sideways, casebr, br, star, little, premature, im, sure, phone, hold, drop, surface, sidewalk, case, rubber, know, protect, phone, drop]]","[[purchase husband phone he phone need case help protect like look case thinner case phone think go purchase case son phone kickstand son like watch video phone kickstand hold phone sideways casebr br star little premature im sure phone hold drop surface sidewalk case rubber know protect phone drop, 0.6129, 4]]"
B00WUSJLW8,[0.2263],[4],"[[nice, price, ship, exchange]]","[[nice price ship exchange, 0.2263, 4]]"
B00WYKD9PM,[0.9628],[5],"[[product, work, install, clear, bright, picture, day, sunshine, glare, mirror]]","[[product work install clear bright picture day sunshine glare mirror, 0.9628, 5]]"
B00X0X37IQ,[0.7003],[5],"[[case, suck, take, replace, battery]]","[[case suck take replace battery, 0.7003, 5]]"
B00XR4B988,[0.3612],[2],"[[lead, functionality, cord, ft, meter, ft, cable, indicate, description]]","[[lead functionality cord ft meter ft cable indicate description, 0.3612, 2]]"
B00XV2X3IA,"[0.5789, 0.9254]","[4, 4]","[[case, rubber, end, kinda, bug, try, pocket, thing, ok], [case, phone, fall, protect, case, patience, time, install, come, part, install, way, part, time, technique, force, phone, go, dont, scare, break, screen, phone, scar, casebr, br, advice, install, use, time, remember, put, put, phone, good, luck]]","[[case rubber end kinda bug try pocket thing ok, 0.5789, 4], [case phone fall protect case patience time install come part install way part time technique force phone go dont scare break screen phone scar casebr br advice install use time remember put put phone good luck, 0.9254, 4]]"
B00XZNDPVA,[0.4215],[5],"[[nice, case]]","[[nice case, 0.4215, 5]]"
B00Y16EF6O,"[0.7906, 0.6249, 0.4404]","[5, 5, 5]","[[work, great], [work, great]]","[[work great, 0.7906, 5], [work great, 0.6249, 5], [, 0.4404, 5]]"
B00Y3FEXUQ,[0.4404],[4],"[[product, quick, ship, receive, day]]","[[product quick ship receive day, 0.4404, 4]]"
B00YBW0OG8,[0.765],[4],"[[case, okay, camo, design, seem, start, fade, bit, week]]","[[case okay camo design seem start fade bit week, 0.765, 4]]"
B00YGV2X2M,"[0.7469, 0.6249]","[1, 5]","[[awesome, product], [look, nice, look, cheap, phone, dy, plug, charge, phone, take, min, phone, turn, change, charger, charger, buy, wall, mart, min, phone, turn, say, fast, charger]]","[[awesome product, 0.7469, 1], [look nice look cheap phone dy plug charge phone take min phone turn change charger charger buy wall mart min phone turn say fast charger, 0.6249, 5]]"
B00YMJEZHE,[0.0],[2],"[[cheap, plastic, crack, place, week, phone]]","[[cheap plastic crack place week phone, 0.0, 2]]"
