1059656000,[0.0],[5],"[[describe, work, flawlesslythanks]]","[[describe work flawlesslythanks, 0.0, 5]]"
B00MVQM0IQ,"[0.6249, 0.6369, 0.6478, 0.0, 0.0, 0.0, 0.8757, 0.0, 0.6369, 0.7269, 0.0, 0.9538, 0.0, 0.6249]","[4, 5, 5, 4, 5, 1, 5, 5, 5, 2, 5, 5, 2, 5]","[[reading, review, seem, justice, product, deservesbr, port, charge, ipad, incorrect, port, provide, powerbr, user, fault, product, ipads, ipodsiphonebr, br, shipping, come, time, primebr, product, work, right, box, cheap, hellbr, good, product, get, lemon, get, replacementbr, product], [work, great, ipad], [work, expect], [buy, got, work, itoo, love, length, cord, weeks, stop, charge, discover, issue, cord, plug, work, fine, husband, took, went, friend, tell, cheap, cord, duck, tap, cord, come, phone, replace, purchase, att, quick, overview, plug, good, cord, ], [realize, port, speed, output, work], [use, time], [order, extra, ], [work, expect], [purchase, return, twice, charge, device, outlet], [quick, receipt, product, good, quality, fit, snug, bug, work], [work, great, super, curve, work, ipad, iphone], [charge], [work, version, ipad]]","[[reading review seem justice product deservesbr port charge ipad incorrect port provide powerbr user fault product ipads ipodsiphonebr br shipping come time primebr product work right box cheap hellbr good product get lemon get replacementbr product, 0.6249, 4], [work great ipad, 0.6369, 5], [work expect, 0.6478, 5], [buy got work itoo love length cord weeks stop charge discover issue cord plug work fine husband took went friend tell cheap cord duck tap cord come phone replace purchase att quick overview plug good cord , 0.0, 4], [realize port speed output work, 0.0, 5], [use time, 0.0, 1], [order extra , 0.8757, 5], [work expect, 0.0, 5], [purchase return twice charge device outlet, 0.6369, 5], [quick receipt product good quality fit snug bug work, 0.7269, 2], [work great super curve work ipad iphone, 0.0, 5], [charge, 0.9538, 5], [work version ipad, 0.0, 2], [, 0.6249, 5]]"
B00MYDA92A,"[0.3089, 0.296, 0.4588]","[5, 4, 5]","[[work, ok], [work, state, problem], [goodness]]","[[work ok, 0.3089, 5], [work state problem, 0.296, 4], [goodness, 0.4588, 5]]"
B00MYZLOXQ,[0.8858],[5],"[[ok, try, cover, fit, note, hole, line, port, phone, doesnt, add, weight, phone, cover, lip, protect, pose, face, smooth, surface, sturdy, thick, protect, phone, drop, floor, protection, time, cover]]","[[ok try cover fit note hole line port phone doesnt add weight phone cover lip protect pose face smooth surface sturdy thick protect phone drop floor protection time cover, 0.8858, 5]]"
B00N169D3U,"[0.9827, 0.5719]","[5, 4]","[[case, good, quality, lip, screen, nice, texture, fingerprint, magnet], [case, button, accessory, headphone, charger, fit, work, case, slim, design, cheap, nice, smooth, texture, hand, strap, fit, include, hand, strap, strap, fit, satisfy, deal, pay, base, price, shrek, approves]]","[[case good quality lip screen nice texture fingerprint magnet, 0.9827, 5], [case button accessory headphone charger fit work case slim design cheap nice smooth texture hand strap fit include hand strap strap fit satisfy deal pay base price shrek approves, 0.5719, 4]]"
B00N1AG59G,[0.8481],[5],"[[product, amp, awesome, price, ship, product, picture, describe, description]]","[[product amp awesome price ship product picture describe description, 0.8481, 5]]"
B00N1X7O8Y,[0.765],[5],"[[drop, phone, time, day, slim, protect, super]]","[[drop phone time day slim protect super, 0.765, 5]]"
B00N7MG1MO,[0.9359],[5],"[[enjoy, wrist, band, discrete, detail, funbr, pro, build, slide, screen, love, option, control, phone, battery, last, daysbr, br, con, want, move, option, work, office, cant, move, period, time, dont, need, band, vibrate, letting, know, move]]","[[enjoy wrist band discrete detail funbr pro build slide screen love option control phone battery last daysbr br con want move option work office cant move period time dont need band vibrate letting know move, 0.9359, 5]]"
B00NHH81WW,[0.0],[2],"[[hold, inch, lg, phone]]","[[hold inch lg phone, 0.0, 2]]"
B00NIKW78W,[0.4215],[4],"[[nice, arm, alttle, longer]]","[[nice arm alttle longer, 0.4215, 4]]"
B00NLAI3KA,[0.6249],[5],[[vendpr]],"[[vendpr, 0.6249, 5]]"
B00NM382PC,"[0.4927, 0.7592, -0.6482, 0.7939]","[5, 5, 1, 5]","[[packaging, say, iphone, way, iphone, thats, sure, course, take, screen, protector, open, phone, go, unprotected, get, happy], [get, case, clear, look, phone, great, feel, hold, phone, come, protect, fall], [want, smooth, doesnt, look, bulky, im, sure, phone, drop]]","[[packaging say iphone way iphone thats sure course take screen protector open phone go unprotected get happy, 0.4927, 5], [get case clear look phone great feel hold phone come protect fall, 0.7592, 5], [want smooth doesnt look bulky im sure phone drop, -0.6482, 1], [, 0.7939, 5]]"
B00NSY17MK,[0.8023],[5],"[[love, deal, work, cheap, feel]]","[[love deal work cheap feel, 0.8023, 5]]"
B00NWMXJLU,"[0.0, 0.631]","[4, 4]","[[], [bulkie, dose, protect, phone]]","[[, 0.0, 4], [bulkie dose protect phone, 0.631, 4]]"
B00O2AIVK0,"[0.7057, 0.5719, 0.0, -0.1779, 0.4404, 0.0, 0.6249, 0.5859, -0.5927]","[5, 5, 1, 2, 5, 5, 5, 5, 4]","[[product, perfect], [cheap, last, month], [work, price, device, charge, charge, make, device, misbehave], [wire, work], [tks], [havent, problem, work, charger, convenient, pack, feel, ], [dont, tear, iphone, charger], [month, cord, longer, work, quality, product, cheap, yes], [ship, product]]","[[product perfect, 0.7057, 5], [cheap last month, 0.5719, 5], [work price device charge charge make device misbehave, 0.0, 1], [wire work, -0.1779, 2], [tks, 0.4404, 5], [havent problem work charger convenient pack feel , 0.0, 5], [dont tear iphone charger, 0.6249, 5], [month cord longer work quality product cheap yes, 0.5859, 5], [ship product, -0.5927, 4]]"
B00O4HAZ6E,"[0.0, 0.5994]","[4, 5]","[[use, right, day], [love, case]]","[[use right day, 0.0, 4], [love case, 0.5994, 5]]"
B00O5EUBSI,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
B00ODFGUEI,[0.5719],[5],"[[ship, fast, description, accurate, im, happy, purchase]]","[[ship fast description accurate im happy purchase, 0.5719, 5]]"
B00ODPCJTS,[0.836],[5],"[[get, product, time, excellent, love, case]]","[[get product time excellent love case, 0.836, 5]]"
B00OHWXERI,[0.886],[5],"[[excellent, service, thank]]","[[excellent service thank, 0.886, 5]]"
B00OS6L07Y,[-0.4019],[1],"[[come, preimpreganated, instal, cover, shimmer, rainbow, color, opt, leave, screen, unprotected, use, condom, id, dozen, child]]","[[come preimpreganated instal cover shimmer rainbow color opt leave screen unprotected use condom id dozen child, -0.4019, 1]]"
B00OX8PR5S,"[0.4754, 0.6249]","[5, 4]",[[product]],"[[product, 0.4754, 5], [, 0.6249, 4]]"
B00OYHCL4I,[0.7577],[4],"[[item, deliver, time, look, look, picture, buy, friend, press, button, side, phone, volume, case, nice, case, overall]]","[[item deliver time look look picture buy friend press button side phone volume case nice case overall, 0.7577, 4]]"
B00P0V47NA,[0.7579],[5],"[[nice, perfect, use]]","[[nice perfect use, 0.7579, 5]]"
B00P0ZB6EE,"[0.6249, 0.7152]","[5, 5]","[[think, price, ], [thing, awesome, drop, phone, foot]]","[[think price , 0.6249, 5], [thing awesome drop phone foot, 0.7152, 5]]"
B00P1TJXWQ,"[-0.6705, 0.5267, 0.7346, 0.7133]","[1, 5, 4, 5]","[[work, great, extras, phone, problem, equipment], [month, charger, fail, get, replacements, dont, order, th, people], [price, work], [work]]","[[work great extras phone problem equipment, -0.6705, 1], [month charger fail get replacements dont order th people, 0.5267, 5], [price work, 0.7346, 4], [work, 0.7133, 5]]"
B00P1UX0YW,[0.4404],[5],[[case]],"[[case, 0.4404, 5]]"
B00P297B1U,[0.296],[3],[[ok]],"[[ok, 0.296, 3]]"
B00P5LFAIQ,"[0.6701, -0.1237]","[4, 3]","[[product, get, travel, need, gpswaze, rental, car, easy, put, take, hold, phone, solid, doesnt, piece, stay, give, star, cant, get, stick, dash, board, windshield, ], [solution, dilemma, mount, cell, phone, car, find, get, phone, place, get, mount, face, glass, portion, dashnot, great, feature, use, keep, look, something, satisfaction]]","[[product get travel need gpswaze rental car easy put take hold phone solid doesnt piece stay give star cant get stick dash board windshield , 0.6701, 4], [solution dilemma mount cell phone car find get phone place get mount face glass portion dashnot great feature use keep look something satisfaction, -0.1237, 3]]"
B00P8MERO0,[0.2382],[3],"[[screen, cover, good, cover, lite, plastic]]","[[screen cover good cover lite plastic, 0.2382, 3]]"
B00PGV3CQW,[-0.4767],[3],[[size]],"[[size, -0.4767, 3]]"
B00PJ256AS,[0.296],[4],[[ok]],"[[ok, 0.296, 4]]"
B00PVM0ZG6,[-0.0281],[5],"[[shatter, phone, fun, case, protects, reduce, chance, glass, breakage]]","[[shatter phone fun case protects reduce chance glass breakage, -0.0281, 5]]"
B00PWBVYYS,[0.9422],[5],"[[love, fit, phone, snug, colo, awesome, rubber, part, part, recommend, come]]","[[love fit phone snug colo awesome rubber part part recommend come, 0.9422, 5]]"
B00Q65TGSA,[0.5719],[5],"[[daughter, love, phone, case, mahalo, nui, loathank, hawaii]]","[[daughter love phone case mahalo nui loathank hawaii, 0.5719, 5]]"
B00Q6BBNOE,[0.7548],[2],"[[work, kickstand, broke, month, get]]","[[work kickstand broke month get, 0.7548, 2]]"
B00Q6X1N06,[0.7577],[5],"[[looking, case, get]]","[[looking case get, 0.7577, 5]]"
B00QE8AD6S,[0.2732],[5],[[work]],"[[work, 0.2732, 5]]"
B00QGQAEYY,[-0.34],[4],"[[dead, phone, ]]","[[dead phone , -0.34, 4]]"
B00QM55BVK,[0.5023],[4],"[[seems, live, reputation, month, recommend, others]]","[[seems live reputation month recommend others, 0.5023, 4]]"
B00QMOE5UE,[0.4996],[1],"[[radio, look, fine, build, im, sure, serve, purpose, reason, star, page, demand, admit, sinner, yes, thats, page, user, scripture, nonsense, finding, god, didnt, know, suppose, look, see, anything, offensive, product, ive, buy, amazon, ill, return, item, reason]]","[[radio look fine build im sure serve purpose reason star page demand admit sinner yes thats page user scripture nonsense finding god didnt know suppose look see anything offensive product ive buy amazon ill return item reason, 0.4996, 1]]"
B00QWRLFXQ,"[-0.0258, 0.9228, 0.1779, 0.8332, 0.8519, 0.6478]","[5, 5, 5, 5, 5, 5]","[[trusting, phone, bag, ill, damn, work, set, hardware, button, phone, snap, picture, take, underwater, photo, video, day, longbr, br, remember, thing, go, oceanbr, cameravideo, app, enter, water, screen, work, underwaterbr, assign, hardware, button, snap, picturestart, recordingbr, put, phone, airplane, mode, wont, get, signal, underwater, anyway], [purchase, vacation, quality, picture, perfect, went, snorkel, twice, suggest, friend], [tissue, paper, test, pass, buy, husband, take, orlando, florida, trip, come, cant, waitokay, husband, use, universal, orlando, trip, beach, work, awesome, mine, water, rid, taking, video, jump, wave, water, phone, love, purchase, prefer, fit, water, case, cause, put, money, card, perfect, universal, studio], [test, water, inside, good, color], [product, arrive, time, quality, work, vacation, beach, cruise], [bring, family, member, love, product]]","[[trusting phone bag ill damn work set hardware button phone snap picture take underwater photo video day longbr br remember thing go oceanbr cameravideo app enter water screen work underwaterbr assign hardware button snap picturestart recordingbr put phone airplane mode wont get signal underwater anyway, -0.0258, 5], [purchase vacation quality picture perfect went snorkel twice suggest friend, 0.9228, 5], [tissue paper test pass buy husband take orlando florida trip come cant waitokay husband use universal orlando trip beach work awesome mine water rid taking video jump wave water phone love purchase prefer fit water case cause put money card perfect universal studio, 0.1779, 5], [test water inside good color, 0.8332, 5], [product arrive time quality work vacation beach cruise, 0.8519, 5], [bring family member love product, 0.6478, 5]]"
B00R0TO2OO,"[0.4588, 0.8625]","[5, 5]","[[work, great, charge, phone], [perfect, love, charging, port, cost, charger, pack, micro, usbs, sell, option, pay, car, charger, purchase, cell, company, buy, ive, car, charger, go, past, spend, money]]","[[work great charge phone, 0.4588, 5], [perfect love charging port cost charger pack micro usbs sell option pay car charger purchase cell company buy ive car charger go past spend money, 0.8625, 5]]"
B00R2EFE6C,"[0.9476, 0.7902, 0.8221]","[5, 5, 5]","[[case, make, customer, service, top, notch, check, make, sure, satisfy, service], [make, fit, dollar, bill], [wallet, card, slot, mesh, driver, license, bill, slot, make, pu, leather, opening, precise, note, wallet]]","[[case make customer service top notch check make sure satisfy service, 0.9476, 5], [make fit dollar bill, 0.7902, 5], [wallet card slot mesh driver license bill slot make pu leather opening precise note wallet, 0.8221, 5]]"
B00R57VUKA,[0.8846],[5],"[[secondary, phone, primary, oneplus, feel, difference, performance, price, phone, everything, need, smartphone]]","[[secondary phone primary oneplus feel difference performance price phone everything need smartphone, 0.8846, 5]]"
B00REXVJRE,"[0.6249, 0.5719, 0.0]","[4, 5, 1]","[[excellent], [experience], [charger, slip, phone, port]]","[[excellent, 0.6249, 4], [experience, 0.5719, 5], [charger slip phone port, 0.0, 1]]"
B00RN8LG96,"[0.8067, 0.3612]","[5, 5]","[[thank], [happy, adapter, use, usb, variant, provides, charge, speed, leave, unit, cant, speak, assume, charge, multiple, device, time, charge, rate, decreasebr, br, think, complain, length, adapter, buy, extension, get, plug, counter, top, buy]]","[[thank, 0.8067, 5], [happy adapter use usb variant provides charge speed leave unit cant speak assume charge multiple device time charge rate decreasebr br think complain length adapter buy extension get plug counter top buy, 0.3612, 5]]"
B00RWRCDMW,[0.4215],[5],"[[yes, nice]]","[[yes nice, 0.4215, 5]]"
B00SAHSO1C,[0.4939],[4],"[[glad, buy, think, lot, go, problem, doesnt, build, screen, protector, get, put]]","[[glad buy think lot go problem doesnt build screen protector get put, 0.4939, 4]]"
B00SJ7KSMG,"[0.5994, 0.0]","[5, 5]","[[super, quick, charger], [advertise]]","[[super quick charger, 0.5994, 5], [advertise, 0.0, 5]]"
B00SKII7S6,[0.6249],[5],[[product]],"[[product, 0.6249, 5]]"
B00SNWCRDU,[0.6249],[5],[[product]],"[[product, 0.6249, 5]]"
B00SOCLZI2,[0.9191],[4],"[[sturdy, attractive, case, give, star, case, hardbr, put, case, cellphone, case, require, work, say, done, doesnt, snap, ease, think, shouldbr, dont, use, clipon, protection, rotate, stand, thats, extrabr, cant, use, camerabr, sure, canbr, get, utility, knife, carve, case, area, camera, flash, microphone, inch, wide, inch, longbr, bingobr, extra, protection, well, stand, rotates, wantbr, recommend, casebr, fit, phone, perfectlybr, price]]","[[sturdy attractive case give star case hardbr put case cellphone case require work say done doesnt snap ease think shouldbr dont use clipon protection rotate stand thats extrabr cant use camerabr sure canbr get utility knife carve case area camera flash microphone inch wide inch longbr bingobr extra protection well stand rotates wantbr recommend casebr fit phone perfectlybr price, 0.9191, 4]]"
B00SS9JCBS,[0.7506],[5],"[[case, picture, look, phone, couple, time, concrete, nothing, happen, buy]]","[[case picture look phone couple time concrete nothing happen buy, 0.7506, 5]]"
B00T5CZEFA,"[0.8519, 0.9153]","[5, 5]","[[case, great, price, ship], [design, fit, phone, perfect, material, soft, feel, touch, love]]","[[case great price ship, 0.8519, 5], [design fit phone perfect material soft feel touch love, 0.9153, 5]]"
B00T6LVH74,"[0.3291, 0.8764, 0.8121, 0.6249, -0.3162]","[1, 5, 5, 5, 3]","[[want, ball, socket, joint, keep, come, apart, phone, keep, slip, seems, matter, tighten, adjust, everything, keep, slip, dropping, droop, succumb, gravity], [product], [nice, describe, amazon, work, make, insert, phone, hold, nice, sort, notch, hold, phone, skidding, fall, happen, fix, phone], [configure, iphone, placement], [product, wellbuilt, use, grab, anything, leg, recommend]]","[[want ball socket joint keep come apart phone keep slip seems matter tighten adjust everything keep slip dropping droop succumb gravity, 0.3291, 1], [product, 0.8764, 5], [nice describe amazon work make insert phone hold nice sort notch hold phone skidding fall happen fix phone, 0.8121, 5], [configure iphone placement, 0.6249, 5], [product wellbuilt use grab anything leg recommend, -0.3162, 3]]"
B00TDMNSU0,[0.5413],[5],[[advertise]],"[[advertise, 0.5413, 5]]"
B00U4Y9LPC,"[0.7736, 0.8625, 0.4404, 0.6369, 0.8974, 0.872, -0.1842, -0.5267, -0.3406, 0.296, 0.9168, 0.8555, 0.6369, 0.7845, 0.6562]","[3, 5, 5, 5, 5, 5, 3, 1, 3, 1, 5, 5, 5, 5, 4]","[[see, color, phone, love], [case, get, goody, inside, package, screen, protector, stylus, pen, phone, stand, thank, love], [case, quality, price, get, compliment, time], [think, case, go, rubbery, silicone, plastic, thin, plastic, im, afraid, put, drop, isnt, go, protect, phone, anyway, nice, design], [case, get, compliment], [deal], [case], [ok], [love, get, compliment, nice, case, doesnt, beat, price, ], [picture, gold, phone, show, make, look, rich, put, even, isnt, easiest, take, dont, know, day, day, wear], [design, didnt, bottom, edge, iphone, expose, prefer, lip, cover, side, use], [case], [crap, say, case, title, silicone, want, want, silicone, type, hard, case, ], [look, awesome, gold, iphone, love, top, cover, got, scuff, phone], [super, light, weight, break, crack, nd, day]]","[[see color phone love, 0.7736, 3], [case get goody inside package screen protector stylus pen phone stand thank love, 0.8625, 5], [case quality price get compliment time, 0.4404, 5], [think case go rubbery silicone plastic thin plastic im afraid put drop isnt go protect phone anyway nice design, 0.6369, 5], [case get compliment, 0.8974, 5], [deal, 0.872, 5], [case, -0.1842, 3], [ok, -0.5267, 1], [love get compliment nice case doesnt beat price , -0.3406, 3], [picture gold phone show make look rich put even isnt easiest take dont know day day wear, 0.296, 1], [design didnt bottom edge iphone expose prefer lip cover side use, 0.9168, 5], [case, 0.8555, 5], [crap say case title silicone want want silicone type hard case , 0.6369, 5], [look awesome gold iphone love top cover got scuff phone, 0.7845, 5], [super light weight break crack nd day, 0.6562, 4]]"
B00UBLOJJG,"[-0.2795, 0.4404, 0.7351, 0.2263, 0.9236, 0.9418, -0.6124, -0.9162, 0.0891, -0.5632, 0.0]","[5, 5, 5, 4, 5, 5, 3, 3, 2, 2, 1]","[[product, build, havent, issue], [longer, work, time], [year, use, stop, charge, ipad, charge, indication, tear, cord, corrosion, connector, unsure, stop, work, working, great], [charge, gen, twice, fast, hiccup, part, attach, adapter, run, use, ipad, charge, dont, feel, delicate, thats, lotta, anxiety, shoulder], [get, saturday, charge, iphone, ipad, air, charge, arrive, charge, day, hour, half, ipad, battery, went, fifty, percent, use, charge, morning, charge, phone, hour, add, seventy, percent, charge, update, customer, service, get, phone, customer, service, replace, defective, cable, hassle, customer, service], [year, use, wire, work], [love, anker, working, wont, charge, try, iphone, cable, work, fine, anker, stop, work], [die, month, week, purchase, longer, charge, phone, stuck, phone, cord, super, disappoint, product, recommend, edit, anker, sent, replacement, posting], [wait, month, review, make, cable, fail, cheap, cable, hop, save, money, end, cost, time, waste, quality, cable, anker, buy, pack, ft, ft, entire, familybr, nothing, ebay, shopper, amazon, prime, shopping, amazon, day, twoday, shipping, amazon, delivers, sunday], [seem, quality, doesnt, charge, sometime, take, forever, charge, iphone, disappoint], [okay]]","[[product build havent issue, -0.2795, 5], [longer work time, 0.4404, 5], [year use stop charge ipad charge indication tear cord corrosion connector unsure stop work working great, 0.7351, 5], [charge gen twice fast hiccup part attach adapter run use ipad charge dont feel delicate thats lotta anxiety shoulder, 0.2263, 4], [get saturday charge iphone ipad air charge arrive charge day hour half ipad battery went fifty percent use charge morning charge phone hour add seventy percent charge update customer service get phone customer service replace defective cable hassle customer service, 0.9236, 5], [year use wire work, 0.9418, 5], [love anker working wont charge try iphone cable work fine anker stop work, -0.6124, 3], [die month week purchase longer charge phone stuck phone cord super disappoint product recommend edit anker sent replacement posting, -0.9162, 3], [wait month review make cable fail cheap cable hop save money end cost time waste quality cable anker buy pack ft ft entire familybr nothing ebay shopper amazon prime shopping amazon day twoday shipping amazon delivers sunday, 0.0891, 2], [seem quality doesnt charge sometime take forever charge iphone disappoint, -0.5632, 2], [okay, 0.0, 1]]"
B00UCKU11Q,[-0.8051],[1],"[[quality, fail, week, micro, usb, connector, get, bent, loose]]","[[quality fail week micro usb connector get bent loose, -0.8051, 1]]"
B00UO8ERCU,"[0.4404, 0.9354]","[5, 3]","[[fit, good, say], [description, kind, think, case, semi, material, underneath, gel, sleeve, okay, guess, think, wont, phone, drop, ear, level, itll, crack, addict, holster, click, side, pocket, book, doesnt, get, lose, thing, change, make, underneath, harden, gel, gel, quality, protection, drop, spill, case, centimeter, screen, drop, screen, isnt, expose, screen, expose, case, okay, purpose, thats]]","[[fit good say, 0.4404, 5], [description kind think case semi material underneath gel sleeve okay guess think wont phone drop ear level itll crack addict holster click side pocket book doesnt get lose thing change make underneath harden gel gel quality protection drop spill case centimeter screen drop screen isnt expose screen expose case okay purpose thats, 0.9354, 3]]"
B00UP045R4,[0.8481],[3],"[[hand, strap, swivel, broke, base, wife, try, strap, love, work, beach, audio, super, contact, ship]]","[[hand strap swivel broke base wife try strap love work beach audio super contact ship, 0.8481, 3]]"
B00UW8GBWQ,[0.7506],[5],"[[protects, phone]]","[[protects phone, 0.7506, 5]]"
B00UYNPAV2,[0.5719],[5],"[[wife, happy, product]]","[[wife happy product, 0.5719, 5]]"
B00V2YOZ86,"[0.6369, 0.802, 0.4588, 0.9427, 0.6249, 0.8979, 0.8615]","[5, 5, 5, 5, 5, 4, 5]","[[case, snug, fit, adequate, protection, case, slim, good, come, cost, camera, lens, cover, half, millimeter, im, think, use, protector, screen, phone, lift, silicone, cover, rise, lens], [nice, look], [case, clear, show, phone, mine, blue, thing, forget, put, case, baught], [profile, case], [product, deliver, day, sunday, day], [case]]","[[case snug fit adequate protection case slim good come cost camera lens cover half millimeter im think use protector screen phone lift silicone cover rise lens, 0.6369, 5], [nice look, 0.802, 5], [case clear show phone mine blue thing forget put case baught, 0.4588, 5], [profile case, 0.9427, 5], [product deliver day sunday day, 0.6249, 5], [case, 0.8979, 4], [, 0.8615, 5]]"
B00V6R5FK6,[0.8537],[4],"[[install, im, disappoint, fit, order, shield, husband, galaxy, fit, screen]]","[[install im disappoint fit order shield husband galaxy fit screen, 0.8537, 4]]"
B00V6VB5LK,"[0.7787, -0.1027, -0.7724, -0.6486, -0.5423]","[5, 1, 2, 1, 1]","[[charger, suck, didnt, week, broke], [charge, apple, product], [charge, android, apple, device, problem, clip, connects, charge, cable, break, receive, iphone, charger, fit, phone, inside, iphone, otterbox, case, remove, phone, case, order, use, charger], [iphone, attachment, work, cord, order, waste, money, want, charge, iphone, ipad], [describe, keep, hold, method, dual, purpose, use, issue, date]]","[[charger suck didnt week broke, 0.7787, 5], [charge apple product, -0.1027, 1], [charge android apple device problem clip connects charge cable break receive iphone charger fit phone inside iphone otterbox case remove phone case order use charger, -0.7724, 2], [iphone attachment work cord order waste money want charge iphone ipad, -0.6486, 1], [describe keep hold method dual purpose use issue date, -0.5423, 1]]"
B00VE1M6TM,"[0.7996, 0.228, 0.049, 0.6249, 0.8922]","[5, 2, 5, 5, 4]","[[work, great, house, use, samsung, tablet, answer, lg, g, cell], [come, break, work, length, perfect], [price, good, length, cable, came, stay, charging, movement, attach, device, stop, charge, stop, work, week, work, work, device, buy], [price, amazingi, recommend, purchase], [sturdy, cool, cord, plain, usb, style, doesnt, choice, color]]","[[work great house use samsung tablet answer lg g cell, 0.7996, 5], [come break work length perfect, 0.228, 2], [price good length cable came stay charging movement attach device stop charge stop work week work work device buy, 0.049, 5], [price amazingi recommend purchase, 0.6249, 5], [sturdy cool cord plain usb style doesnt choice color, 0.8922, 4]]"
B00VHMBY00,[0.4215],[5],[[nice]],"[[nice, 0.4215, 5]]"
