B00000J0IT,[0.6115],[5],"[[ship, happy]]","[[ship happy, 0.6115, 5]]"
B00Z9ZDIBO,"[-0.3412, 0.2263, -0.743]","[1, 3, 1]","[[everything, u, see, nice, get, isnt], [please, galaxy, case], [belt, clip, broke, week]]","[[everything u see nice get isnt, -0.3412, 1], [please galaxy case, 0.2263, 3], [belt clip broke week, -0.743, 1]]"
B00ZA0JYWA,[0.0],[2],"[[ship, vacuum, seal, color, multiple, break, ship, color, photobr, use, filament, add, touch, color, ed, hotend, print, finebr, br, see, attach, picture, see, color, come, arrange, orientation, put, color, side]]","[[ship vacuum seal color multiple break ship color photobr use filament add touch color ed hotend print finebr br see attach picture see color come arrange orientation put color side, 0.0, 2]]"
B00ZDYX1X6,[-0.0102],[1],"[[fm, radio, pick, station, radio, immediate, vicinity, tuning, range, station, sound, quality, fine, unit, look, planning, use, radio, go]]","[[fm radio pick station radio immediate vicinity tuning range station sound quality fine unit look planning use radio go, -0.0102, 1]]"
B00ZG0J4V0,[0.8464],[5],"[[work, phone, support, shutter, function, volume, buttonbr, apple, xiaomi, samsung, work, flawlesslybr, nice, sleek, classy, design, cheesy, colorsbr, br, minor, gripe, swivel, hold, camera, felt, loosebr, nothing, epoxy, didnt, fixbr, great, value, price, gift, thanks]]","[[work phone support shutter function volume buttonbr apple xiaomi samsung work flawlesslybr nice sleek classy design cheesy colorsbr br minor gripe swivel hold camera felt loosebr nothing epoxy didnt fixbr great value price gift thanks, 0.8464, 5]]"
B00ZJH5RY8,[0.8415],[5],"[[car, charger, id, recommend, everyone, need, charge, went, mins, ft, cord, chain, socket]]","[[car charger id recommend everyone need charge went mins ft cord chain socket, 0.8415, 5]]"
B00ZNI58U6,[0.2554],[1],"[[disappoint, price, super, thin, go, protect, anything, ]]","[[disappoint price super thin go protect anything , 0.2554, 1]]"
B00ZTWI95C,"[-0.2755, 0.926, -0.1154, 0.9001, 0.4588, 0.8126]","[1, 5, 1, 4, 4, 5]","[[come], [fit, perfect, stick, cut, phone, face], [doesnt, phon, fall], [case, love, come, way, sooner, expect, delivery, day, fit, phone], [perfect, bright, touch, side, button, eye, catch, yes, purchase, evercame, week, time, loveeeee], [case, bright, nice, fit, deliver, time, complaint, ist, bottom, stick, break]]","[[come, -0.2755, 1], [fit perfect stick cut phone face, 0.926, 5], [doesnt phon fall, -0.1154, 1], [case love come way sooner expect delivery day fit phone, 0.9001, 4], [perfect bright touch side button eye catch yes purchase evercame week time loveeeee, 0.4588, 4], [case bright nice fit deliver time complaint ist bottom stick break, 0.8126, 5]]"
B00ZVI6H3U,[0.8685],[4],"[[case, great, quality]]","[[case great quality, 0.8685, 4]]"
B00ZYEV1OQ,"[0.945, 0.7184, 0.6249]","[5, 4, 5]","[[quality, work], [product, come, way, expect, seller, add, gift, package, product, nice, keep, charge, phone, offer, someone, charge, phone, recommend, product], [expect]]","[[quality work, 0.945, 5], [product come way expect seller add gift package product nice keep charge phone offer someone charge phone recommend product, 0.7184, 4], [expect, 0.6249, 5]]"
B0108H34PM,[-0.4738],[2],"[[purchase, titan, phone, issue, random, freeze, ups, apps, start, dial, random, number, disconnect, issue, phone, stay, connect, wifi, network, device, issue, wifi, phone, reconnect, device, reboot, think, network, encounter, issue, restaraunts, member, house, phone, read, network, time, clock, set, switch, auto, time, switch, timezone, gps, garbage, phone, difficulty, keep, satellite, connection, freeze, fail, turn, overpass, cross, take, minute, reroute, contact, posh, hope, something, done, walk, answer, phone, foot, bill, ship, allow, weeks, return, phone, need, cell, week, isnt, optionbr, build, quality, fine, touch, screen, price, phone, speedy, want, issue, version, device, justify, purchase]]","[[purchase titan phone issue random freeze ups apps start dial random number disconnect issue phone stay connect wifi network device issue wifi phone reconnect device reboot think network encounter issue restaraunts member house phone read network time clock set switch auto time switch timezone gps garbage phone difficulty keep satellite connection freeze fail turn overpass cross take minute reroute contact posh hope something done walk answer phone foot bill ship allow weeks return phone need cell week isnt optionbr build quality fine touch screen price phone speedy want issue version device justify purchase, -0.4738, 2]]"
B010EYAQRS,[0.9538],[5],"[[value, great, fit, love]]","[[value great fit love, 0.9538, 5]]"
B010LWTM82,[0.8402],[5],"[[purchase, replacement, crack, case, perfect, fit, nice, swap, color]]","[[purchase replacement crack case perfect fit nice swap color, 0.8402, 5]]"
B010ND1MDC,[0.8887],[4],"[[case, money, wont, worry, card, come, slot, phone, fit, nice, wallet, cover, protection, front, note, pad, wallet, feel, phone, drop]]","[[case money wont worry card come slot phone fit nice wallet cover protection front note pad wallet feel phone drop, 0.8887, 4]]"
B01177RRZA,[0.0],[5],[[want]],"[[want, 0.0, 5]]"
B011FGE7NI,[0.8591],[5],"[[recommend, gift]]","[[recommend gift, 0.8591, 5]]"
B011L3OAI2,[0.6997],[5],"[[quality, image, clear]]","[[quality image clear, 0.6997, 5]]"
B011W60E6K,[0.891],[5],"[[fit, look, feel, order, color, sure]]","[[fit look feel order color sure, 0.891, 5]]"
B0126W5V62,"[0.9672, 0.7184]","[5, 5]","[[expectedgood, qualityim, impress], [product, describe, fit, design, nice, slim, seem, protect, phone, purchase]]","[[expectedgood qualityim impress, 0.9672, 5], [product describe fit design nice slim seem protect phone purchase, 0.7184, 5]]"
B0128L4JHS,"[0.8655, 0.7478, 0.4927, 0.128, 0.4404, 0.5423]","[5, 5, 5, 5, 5, 5]","[[case, tight, feel, keep, phone, safe, scratch, name, downside, difficult, take], [fit, open, trap, speaker], [fit, look], [look, spot, make, speaker], [fit, trouble], [case]]","[[case tight feel keep phone safe scratch name downside difficult take, 0.8655, 5], [fit open trap speaker, 0.7478, 5], [fit look, 0.4927, 5], [look spot make speaker, 0.128, 5], [fit trouble, 0.4404, 5], [case, 0.5423, 5]]"
