B0002BEX8W,"[0.0, 0.5719]","[1, 5]","[[perfect, alpine, ilx, install, chevy, avalanche], [ueless, mei, buick, lesaber]]","[[perfect alpine ilx install chevy avalanche, 0.0, 1], [ueless mei buick lesaber, 0.5719, 5]]"
B00IPGVVZ4,"[-0.0541, 0.296, 0.9172, 0.6249, 0.4754, 0.8617, 0.7717, 0.3612]","[3, 3, 4, 5, 3, 4, 5, 3]","[[ok], [quality, expect, otterbox, wife, start, use, case, hear], [work, great], [belt, clip, option], [orderingi, flip, coin, order, dont, order, own, otterbox, year, love, series, person, allergy, everything, rubber, base, silicone, latex, commuter, series, damage, handsbr, package, arrive, day, excite, see, tra, tad, stiff, im, hop, time, become, use], [fit, card, inside], [thing, awesome, love, slide, compartment, wish, hold, card, open, review, mention, grip, correct, slide, say, phone, couple, foot, cement, floor, land, back, screen, crack, come, style, wallet, case, love, sleek, anyway], [fatter, regular, cover, teen, daughter, okay, guy, put, phone, pocket, want, carry, card]]","[[ok, -0.0541, 3], [quality expect otterbox wife start use case hear, 0.296, 3], [work great, 0.9172, 4], [belt clip option, 0.6249, 5], [orderingi flip coin order dont order own otterbox year love series person allergy everything rubber base silicone latex commuter series damage handsbr package arrive day excite see tra tad stiff im hop time become use, 0.4754, 3], [fit card inside, 0.8617, 4], [thing awesome love slide compartment wish hold card open review mention grip correct slide say phone couple foot cement floor land back screen crack come style wallet case love sleek anyway, 0.7717, 5], [fatter regular cover teen daughter okay guy put phone pocket want carry card, 0.3612, 3]]"
B00IPRX85Y,[0.7613],[3],"[[get, husband, phone, look, super, cool, end, fit, slick, end, drop, throw, room, itd, hand, main, reason, end, take, phone, charger, wouldnt, taking, bottom, case, irritate]]","[[get husband phone look super cool end fit slick end drop throw room itd hand main reason end take phone charger wouldnt taking bottom case irritate, 0.7613, 3]]"
B00IQ7GIOG,"[0.4215, 0.7351]","[5, 5]","[[wife, purchase, chance, use, love, whewwww], [nice, expect]]","[[wife purchase chance use love whewwww, 0.4215, 5], [nice expect, 0.7351, 5]]"
B00IQ7OTOC,[0.883],[5],"[[audio, control, line, output, converter, recommend, subwoofer, remote, level, control, different, audio, input, level, bass, remote, level, control, subwoofer, volume, different, audio, source, different, song, get, play, car, stereo, systembr, br, instal, bmw, m, make, see, attach]]","[[audio control line output converter recommend subwoofer remote level control different audio input level bass remote level control subwoofer volume different audio source different song get play car stereo systembr br instal bmw m make see attach, 0.883, 5]]"
B00ITZIL7C,[0.0],[3],"[[say, job]]","[[say job, 0.0, 3]]"
B00J331MHK,"[0.0, -0.624, 0.2103, 0.6249]","[4, 2, 3, 5]","[[save, grandkids, phone], [register, unhappy, middle, make, use, button, side, control, sound, stick, disappoint], [transaction, product, describe], [hole, appear, make, way, make, saw, isnt, bigger, pinhole, water, get, need, ship, wait, month, replace]]","[[save grandkids phone, 0.0, 4], [register unhappy middle make use button side control sound stick disappoint, -0.624, 2], [transaction product describe, 0.2103, 3], [hole appear make way make saw isnt bigger pinhole water get need ship wait month replace, 0.6249, 5]]"
B00J8B64F2,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
B00JDKZE6S,[0.4404],[5],"[[go, fact, cover, make, device, look]]","[[go fact cover make device look, 0.4404, 5]]"
B00JECLMO8,[-0.3612],[3],"[[raise, endges, make, use, ad, scroll, cover, week, take]]","[[raise endges make use ad scroll cover week take, -0.3612, 3]]"
B00JF0D7RE,[0.5719],[5],"[[excellent, sound, size]]","[[excellent sound size, 0.5719, 5]]"
B00JGAQP1I,[-0.6705],[5],"[[expect, topoftheline, android, phone, chose, galaxy, want, use, sd, card, want, replace, battery, get, charge, metro, pc, offer, unlimited, datatalk, plan, throttle, speed, mo, upgrade, galaxy, complaint, price]]","[[expect topoftheline android phone chose galaxy want use sd card want replace battery get charge metro pc offer unlimited datatalk plan throttle speed mo upgrade galaxy complaint price, -0.6705, 5]]"
B00JJWHD0A,[-0.8404],[2],"[[layer, phone, insert, make, difficult, remove, holster, layer, snap, phone, make, remove, phone, holster, answer, call, holster, case, good, protect, phone, minor, damage, recommend, phone, belt, holster, receive, user, instructionsbr, im, unsatisfied, holster, case, dont, recommend]]","[[layer phone insert make difficult remove holster layer snap phone make remove phone holster answer call holster case good protect phone minor damage recommend phone belt holster receive user instructionsbr im unsatisfied holster case dont recommend, -0.8404, 2]]"
B00JKU5E0M,"[0.8761, 0.872]","[5, 5]","[[year, flawless, put, dont, notice, difference, touch, sensitivity, color, shift, slight, worth, talk, theyve, share, space, screwdriver, pencil, key, power, ecigs, sort, hostile, item, mentionyet, scratch, em, buy, spare, seem, waste, money, reason, replace, aint, broke, dont, fix, ive, find, charmin, tp, clean, material, itemdont, know, work, job, noot, amazonthanks], [buy, buy, phone, december, phone, survive, drop, drop, phone, park, lot, crack, screen, protector, protector, absorb, impact, phone, screen, perfect, condition, apply, phone, saver]]","[[year flawless put dont notice difference touch sensitivity color shift slight worth talk theyve share space screwdriver pencil key power ecigs sort hostile item mentionyet scratch em buy spare seem waste money reason replace aint broke dont fix ive find charmin tp clean material itemdont know work job noot amazonthanks, 0.8761, 5], [buy buy phone december phone survive drop drop phone park lot crack screen protector protector absorb impact phone screen perfect condition apply phone saver, 0.872, 5]]"
B00JLG0ZD6,[0.4215],[3],"[[usb, useless, use, usb, cord, charge, oneplus, desk, nice, lowprofile, dock, show, device]]","[[usb useless use usb cord charge oneplus desk nice lowprofile dock show device, 0.4215, 3]]"
B00JM7Z8X6,[0.5499],[2],"[[look, one, answer, phone, close, ok, flimsy, think, go]]","[[look one answer phone close ok flimsy think go, 0.5499, 2]]"
B00JMYADF2,"[0.0902, 0.4404, 0.431, 0.765, -0.1406, 0.9644, 0.7003]","[5, 4, 2, 5, 2, 5, 5]","[[screen, protector, ], [lord, awesome, follow, video, everything, go, perfect, video, show, removal, bubble, middle, clean, thing, do, tiny, bubble, edge, thing, install, screen, nice, feel, doesnt, feel, smooth, glass, recommend], [product], [cheap, make, screen, look, cloudy, considering, lot, screen, protector, nokia], [perfect, phone, easy, use], [place, clear, problem, buy], [frustrate, work, figure, everything, go, ok, didnt, get, cover]]","[[screen protector , 0.0902, 5], [lord awesome follow video everything go perfect video show removal bubble middle clean thing do tiny bubble edge thing install screen nice feel doesnt feel smooth glass recommend, 0.4404, 4], [product, 0.431, 2], [cheap make screen look cloudy considering lot screen protector nokia, 0.765, 5], [perfect phone easy use, -0.1406, 2], [place clear problem buy, 0.9644, 5], [frustrate work figure everything go ok didnt get cover, 0.7003, 5]]"
B00JOLCE00,"[0.7506, 0.9578]","[4, 5]","[[accessory, get, read, lot, review, lambast, speaker, volume, yes, reduce, alert, fine, case, port, speaker, phone, front, device, take, toll, spend, time, listen, use, headset, bluetooth, speaker, make, experience, well, battery, mean, tunesbr, br, ive, manage, take, battery, last, hour, extend, day, half, include, night, shenanigan, im, till, thats, lot, speaker, volume, mophie, brand, buy, pas, charge, take, hour, charge, case, include, cord, buy], [case, backup, juice, give, peace, mind]]","[[accessory get read lot review lambast speaker volume yes reduce alert fine case port speaker phone front device take toll spend time listen use headset bluetooth speaker make experience well battery mean tunesbr br ive manage take battery last hour extend day half include night shenanigan im till thats lot speaker volume mophie brand buy pas charge take hour charge case include cord buy, 0.7506, 4], [case backup juice give peace mind, 0.9578, 5]]"
B00JU31NHW,[0.6369],[5],"[[arrive, fast]]","[[arrive fast, 0.6369, 5]]"
B00JW492ZO,[0.6369],[5],"[[phone, case]]","[[phone case, 0.6369, 5]]"
B00JWGIBGS,[0.4404],[5],[[product]],"[[product, 0.4404, 5]]"
B00K5CU1BQ,"[0.8442, 0.7912]","[5, 5]","[[heavy, duty, screen, protector, go, reposition, time, installation, problem, make, screen, clean, installation, dont, get, grime, contact, side], [perfect, fit, apply, quick, shipment]]","[[heavy duty screen protector go reposition time installation problem make screen clean installation dont get grime contact side, 0.8442, 5], [perfect fit apply quick shipment, 0.7912, 5]]"
B00KEQ94A2,[0.6712],[4],"[[caseits, thicker, course, get, rid, waterresistance, give, wreck, come, device, gps, problem, charging, jokei, disappoint, think, super, nice, look, backplate]]","[[caseits thicker course get rid waterresistance give wreck come device gps problem charging jokei disappoint think super nice look backplate, 0.6712, 4]]"
B00KGA490Q,[0.0],[1],"[[hold, charge, ten, minutes]]","[[hold charge ten minutes, 0.0, 1]]"
B00KGJJ15A,[0.5994],[5],"[[love, case]]","[[love case, 0.5994, 5]]"
B00KH2VG4U,"[-0.7717, -0.2755]","[1, 1]","[[didnt, case, receive, wasnt, choose], [case, picture, didnt, get, honeycomb, case, receive, crappy, case, brand, item]]","[[didnt case receive wasnt choose, -0.7717, 1], [case picture didnt get honeycomb case receive crappy case brand item, -0.2755, 1]]"
B00KLGURIS,[-0.562],[1],"[[temper, glasssent, person, ask, review]]","[[temper glasssent person ask review, -0.562, 1]]"
B00KMEHJHG,"[0.5994, 0.3612, -0.2755, -0.7264, -0.3713, 0.8687]","[5, 5, 3, 5, 5, 5]","[[phone, didnt, seem, fit, flap, didnt, phone], [couldnt, satisfy], [adjusts, perfect], [look, feel], [nice, armband, stitch, done], [armband, felt, problem, stay, start, sweat, dont, problem]]","[[phone didnt seem fit flap didnt phone, 0.5994, 5], [couldnt satisfy, 0.3612, 5], [adjusts perfect, -0.2755, 3], [look feel, -0.7264, 5], [nice armband stitch done, -0.3713, 5], [armband felt problem stay start sweat dont problem, 0.8687, 5]]"
B00KSTC3WG,"[0.0772, 0.6249, -0.4201]","[2, 5, 1]","[[product, work, weekend, die, retailer, accept, return, offer, refund], [work, st, couple, month, stop, charge, buy, solove, power, bank, abandon, power, idea], [product, ]]","[[product work weekend die retailer accept return offer refund, 0.0772, 2], [work st couple month stop charge buy solove power bank abandon power idea, 0.6249, 5], [product , -0.4201, 1]]"
B00KXGBPFK,[0.0],[1],"[[blu, life, view, screen]]","[[blu life view screen, 0.0, 1]]"
B00L14F770,"[0.7645, 0.5244, 0.6478]","[5, 3, 5]","[[nice, case, remove, notice, crack, side, case, deal, dont, want, go, hassle, return, fair, value, money], [make, case, love], [everything, suppose, fit, please]]","[[nice case remove notice crack side case deal dont want go hassle return fair value money, 0.7645, 5], [make case love, 0.5244, 3], [everything suppose fit please, 0.6478, 5]]"
B00L3M63X2,[-0.5574],[4],"[[ejecutado, sin, probema]]","[[ejecutado sin probema, -0.5574, 4]]"
B00L9CB6WE,[0.4404],[4],"[[quality, car, audio, wire, use, job]]","[[quality car audio wire use job, 0.4404, 4]]"
B00LASRO1E,[0.7261],[5],"[[case, slim, solid, recommend]]","[[case slim solid recommend, 0.7261, 5]]"
B00LE5RBGQ,[0.8624],[2],"[[size, secure, macro, lens, iphone, image, focus, difficulty, fullframe, need, center, lens, camera, lens, camera, expect, do, focus, move, lens, object, lens, indicate, x, im, sure, value, determine, order, macro, lens, rat, x, magnification, x, however, measuring, rectangular, image, iphone, field, wide, longtall, oncamera, zoom, set, magnification, get, incamera, magnification, use, lens, require, understand, light, distance, object, lens, minimal, get, lighting, come, side, front, lens, recess, house, diameter, x, lens, review, house, transparent, lens, get, way, light, need, light, side, lq, lens, provide, image, pincushion, distortion, brand, distortion, scientist, lens, good, choice, compare, distortion, clamp, larger, others, cloth, bag, lens, cap, provide, scratching, lens, transport, storage]]","[[size secure macro lens iphone image focus difficulty fullframe need center lens camera lens camera expect do focus move lens object lens indicate x im sure value determine order macro lens rat x magnification x however measuring rectangular image iphone field wide longtall oncamera zoom set magnification get incamera magnification use lens require understand light distance object lens minimal get lighting come side front lens recess house diameter x lens review house transparent lens get way light need light side lq lens provide image pincushion distortion brand distortion scientist lens good choice compare distortion clamp larger others cloth bag lens cap provide scratching lens transport storage, 0.8624, 2]]"
B00LG1CVVS,"[0.3612, 0.6249, 0.6249, 0.8519]","[5, 5, 5, 5]","[[perfectits, deliver, promisedbr, thank], [love], [purchase, run, cant, ask, performance, stock, battery], [deal]]","[[perfectits deliver promisedbr thank, 0.3612, 5], [love, 0.6249, 5], [purchase run cant ask performance stock battery, 0.6249, 5], [deal, 0.8519, 5]]"
B00LJJWW84,[0.915],[5],"[[love, product, describe, case, thick, thin, phone, tablet, tend, buy, case, couple, month, fun, change, pace, case, time, want, texture, grippy, wont, slide, hand, buy, mother, doesnt, yet]]","[[love product describe case thick thin phone tablet tend buy case couple month fun change pace case time want texture grippy wont slide hand buy mother doesnt yet, 0.915, 5]]"
B00LM1ON7W,"[0.0, 0.7827, 0.762, 0.8316]","[1, 4, 5, 4]","[[boyfriend, like], [son, buy, account, say, love, pocket, us, license, debit, card, great, yrsr], [expectation], [nice, look, cost, x, cost, amazon, study]]","[[boyfriend like, 0.0, 1], [son buy account say love pocket us license debit card great yrsr, 0.7827, 4], [expectation, 0.762, 5], [nice look cost x cost amazon study, 0.8316, 4]]"
B00LU0CAM0,[-0.395],[5],"[[fit, camera, lens, handle, shoulder, strap]]","[[fit camera lens handle shoulder strap, -0.395, 5]]"
B00LZ9DWLY,"[0.765, 0.8402]","[4, 5]","[[thank], [charger, furnish, phone, work, charm]]","[[thank, 0.765, 4], [charger furnish phone work charm, 0.8402, 5]]"
B00M10GWWM,"[0.3612, 0.4404, 0.6249]","[4, 4, 5]","[[product], [product], [thank]]","[[product, 0.3612, 4], [product, 0.4404, 4], [thank, 0.6249, 5]]"
B00M75VBE0,[0.8593],[5],"[[get, fiance, love, appreciate, sort, case, drop, phone]]","[[get fiance love appreciate sort case drop phone, 0.8593, 5]]"
B00MAAK96S,[0.0],[1],"[[cheap, quality, nothing, compare, fintie, see, buy]]","[[cheap quality nothing compare fintie see buy, 0.0, 1]]"
B00MBQY03Y,[0.8515],[3],"[[others, comment, quality, fake, leather, main, body, buy, pink, version, pink, piece, cheap, look, look, there, layer, expect, rip, week, twobr, br, card, slot, ok, id, card, slot, get, card, wallet, case, get, put, anything, case, hold, bill, fold, expect, wouldnt, recommend, case]]","[[others comment quality fake leather main body buy pink version pink piece cheap look look there layer expect rip week twobr br card slot ok id card slot get card wallet case get put anything case hold bill fold expect wouldnt recommend case, 0.8515, 3]]"
B00MBWIL0G,"[0.8748, 0.9287, 0.9513, 0.8832, 0.9564, 0.9022, 0.987]","[4, 5, 5, 5, 5, 5, 4]","[[headphone, favorite, sound, quality, headphone, use, work, type, feel, ear], [headphone, user, interface, sound, microphone, take, call, pair], [test, hr, flight, airplane, anc, work, minimize, jet, engine, drone, like, feature, enhance, clarity, announcement, bt, show, battery, life, mobile, phone, good, soundstage, clear, high, balance, range, recommend], [sound, great, button, placement, fit, connect, noise, reduction, headphone, well, sony, headphone, pay, headphone, button, placement, slip, head, time, refuse, connect, headphone, connect, use, battery, supply, chord, quick, charge, hold, charge, time, give, star], [headphone, sound, recommend], [excellent, product, good, quality, sound, love, easy, connect], [buy, headphone, husband, like, doesnt, tone, control, base, boost, come, connector, charger, need, charger, make, sound, good, fact, pause, proceed, backwards, playlist, excellent, cover, well, keep, noise, excellent, wear, periods, product, recommend]]","[[headphone favorite sound quality headphone use work type feel ear, 0.8748, 4], [headphone user interface sound microphone take call pair, 0.9287, 5], [test hr flight airplane anc work minimize jet engine drone like feature enhance clarity announcement bt show battery life mobile phone good soundstage clear high balance range recommend, 0.9513, 5], [sound great button placement fit connect noise reduction headphone well sony headphone pay headphone button placement slip head time refuse connect headphone connect use battery supply chord quick charge hold charge time give star, 0.8832, 5], [headphone sound recommend, 0.9564, 5], [excellent product good quality sound love easy connect, 0.9022, 5], [buy headphone husband like doesnt tone control base boost come connector charger need charger make sound good fact pause proceed backwards playlist excellent cover well keep noise excellent wear periods product recommend, 0.987, 4]]"
B00MTUZEDW,[-0.296],[5],"[[transaction, issue]]","[[transaction issue, -0.296, 5]]"
B00N3P7SF4,[0.4005],[1],"[[dont, waiste, money, crack, sensor, didnt, work, trip, glass, try, seller, buy, closest, shop]]","[[dont waiste money crack sensor didnt work trip glass try seller buy closest shop, 0.4005, 1]]"
B00N5AKTCQ,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
B00N5D9DJI,"[0.8999, 0.4754]","[5, 5]","[[protector, fit, advertise, customer, service, check, make]]","[[protector fit advertise customer service check make, 0.8999, 5], [, 0.4754, 5]]"
B00NA91E6M,[0.4404],[5],[[thanks]],"[[thanks, 0.4404, 5]]"
B00NB3AT8G,"[-0.1437, 0.8752]","[3, 4]","[[im, case, moto, x, bamboo, want, case, wouldnt, hide, phone, start, bumper, case, get, kind, loose, month, use, switch, tpu, case, ok, hold, power, volume, button, press, pick, case, frost, wave, design, add, style, allow, see, phone, texture, make, slippery, side, texture, make, grip, secure, case, extend, provides, access, camera, lens, motorola, dimple, reason, give, star, power, volume, button, bite, press, distinguish], [say, want, case, show, phone, case, stay, mistake, purchase, need, screen, protector, case, good, plan, drop, phone, waste, money, preference, give, star, buying, place, person, sure, good, buy]]","[[im case moto x bamboo want case wouldnt hide phone start bumper case get kind loose month use switch tpu case ok hold power volume button press pick case frost wave design add style allow see phone texture make slippery side texture make grip secure case extend provides access camera lens motorola dimple reason give star power volume button bite press distinguish, -0.1437, 3], [say want case show phone case stay mistake purchase need screen protector case good plan drop phone waste money preference give star buying place person sure good buy, 0.8752, 4]]"
B00NH2COV6,[-0.4607],[2],"[[work, use, pull, phone, yesterday, tip, broke, unfortunate, like, try, reattach, couldnt, make, work]]","[[work use pull phone yesterday tip broke unfortunate like try reattach couldnt make work, -0.4607, 2]]"
B00NII56IC,[0.1855],[1],"[[fan, stick, isnt, sturdy, loses, grip]]","[[fan stick isnt sturdy loses grip, 0.1855, 1]]"
B00NK6EAHK,[-0.2755],[1],"[[didnt, fit]]","[[didnt fit, -0.2755, 1]]"
B00NOR451Q,"[0.4588, 0.631, 0.6486]","[5, 2, 4]","[[product, term, value, positon], [product, charge], [nice, case, build, battery, make, iphone, case, charger, different, phone, keep, take, case, charge, phone, battery, case, line, case, inch]]","[[product term value positon, 0.4588, 5], [product charge, 0.631, 2], [nice case build battery make iphone case charger different phone keep take case charge phone battery case line case inch, 0.6486, 4]]"
B00NPC9056,"[0.8555, -0.2716, -0.4832]","[5, 4, 2]","[[get, interference, vehicle, system, annoying, describe, people, noting], [sound, quality, issue, annoy, background, noise, playing, music, keep, use], [thing, work]]","[[get interference vehicle system annoying describe people noting, 0.8555, 5], [sound quality issue annoy background noise playing music keep use, -0.2716, 4], [thing work, -0.4832, 2]]"
B00NPCCO3G,[0.2732],[4],[[make]],"[[make, 0.2732, 4]]"
B00O96UZMY,[0.3287],[2],"[[kenwood, handheld, radio, gone, battery, vendor, year, order, deliver, right, box, lock, clip, bottom, battery, break, battery, day, weekend, call, replacement, csr, tell, warranty, replacement, priority, mail, day, day, pass, battery, call, got, response, get, replacement, day, prepay, return, package, battery, lock, place, seem, okay, day, removal, place, charger, basesame, thing, lockingclip, hold, battery, radio, im, keep, nd, battery, voltage, current, work, im, go, hassle, return, im, use, ziptie, hold, place, look, waste, anymore, time, use, radio, order, company]]","[[kenwood handheld radio gone battery vendor year order deliver right box lock clip bottom battery break battery day weekend call replacement csr tell warranty replacement priority mail day day pass battery call got response get replacement day prepay return package battery lock place seem okay day removal place charger basesame thing lockingclip hold battery radio im keep nd battery voltage current work im go hassle return im use ziptie hold place look waste anymore time use radio order company, 0.3287, 2]]"
B00O9GLVCW,[0.0],[5],[[work]],"[[work, 0.0, 5]]"
B00OCFLI4Q,"[0.0, 0.9544, -0.4215]","[4, 5, 2]","[[cord, reason, broke], [love, cable, cable, cable, cat, havent, try, chew, bought, work, home, went, buy, style, braid, cable, device, work, samsung, note, ], [work, husband, son, charge]]","[[cord reason broke, 0.0, 4], [love cable cable cable cat havent try chew bought work home went buy style braid cable device work samsung note , 0.9544, 5], [work husband son charge, -0.4215, 2]]"
B00OEOAN5K,"[0.0, 0.7964]","[3, 4]","[[matte, finish, cyan, blue, hold, say, mirror, card, slim, one, product], [hold, card, make, wonder, stay, shut]]","[[matte finish cyan blue hold say mirror card slim one product, 0.0, 3], [hold card make wonder stay shut, 0.7964, 4]]"
B00OPOM4CE,[0.3595],[1],"[[diamond, fall, base, price, pay, item, make, mad, cause, mall, want, dollar]]","[[diamond fall base price pay item make mad cause mall want dollar, 0.3595, 1]]"
B00OSG9P4Y,"[0.4404, 0.7717, -0.3182]","[5, 5, 3]","[[phone, fit, loose, afraid, fall], [work, recommend, product]]","[[phone fit loose afraid fall, 0.4404, 5], [work recommend product, 0.7717, 5], [, -0.3182, 3]]"
B00OTB86B6,"[0.8405, 0.919, 0.3818, 0.2263, 0.0, 0.5154, 0.9022, 0.6369, 0.3889, 0.4404, 0.5574, 0.899, 0.9869, 0.0, 0.4404, 0.7351, 0.8908, 0.8655, 0.8555, -0.8322, 0.9498, 0.9615, 0.542, -0.0362, 0.6597, -0.2263, 0.5719, 0.3612, 0.5719, 0.6249, 0.0, 0.4939, 0.6258, -0.4019, -0.5632, 0.7713, 0.8689, 0.9231, 0.0, 0.8807, -0.3612]","[5, 5, 5, 2, 5, 5, 5, 5, 3, 1, 4, 5, 5, 3, 5, 5, 5, 5, 5, 3, 5, 5, 1, 4, 5, 4, 5, 5, 5, 5, 5, 5, 4, 3, 5, 5, 5, 5, 5, 5, 2]","[[glass, screen, protector, protect, screen, object, drop, phone, see, phone, content, sun], [describe], [description, last, time, go, sand, scratch, see, clear, make, screen, delete, apps, screen, pocket, include, screen, sticker, help, place, phone, drop, screen, protector, crack, length, center, break, screen, use, phone, buy], [receive, product, today, instruction, follow, screen, protector, go, problem, fit, seems, make, screen, touch, smooth, response, met, expectation], [screen, protector, come, promise, time], [theyre, greatest, screen, cover, say], [absolute, perfection, note, easy, videos, help, screen, flawless, buy, phone, seller, help, application], [arrive, time, problem, cover, lcd, screen], [nice, product, easy, shippingpackaging], [glass, doesnt, screen, annoys, glass, cover, note, dont], [fit, exactlyvery, choice], [arrive, work], [product, put, look, amaze, feel, glass, ], [note, display, slight, curve, glass, screen, protector, st, time, drop, phone, fault, display, face, gravel, protector, chip, edgeto, screen, protector, credit, display, didnt, doesnt, look, great, protect, display, scratch], [wasnt, time, product, quality, doesnt, fit, think, regard, get, alignment, company, design, screen, use, cut, out, home, button, ear, speaker, guide, camera, sensor, im, work, fine, ive, use, screen, protector, company, please, worth, im, thrill, chance, get, make, apply, way, make, product, stand, sea, product, quality, think, thing, make, well, term, quality, try, round, edge], [purchase, bought, break, product, thicker, phonebr, love], [perfect], [screen, protector, drop, phone, day, think, crack, screen, end, crack, screen, protector, job, go, get, better, safe, sorry], [temper, glass, screen, protector, easy, fit, galaxy, note, look, wrinkle, bubble, recommend, product], [lower, standard, zero, screen, protector, youre, unwilling, dont, waste, money], [arrive, product, advertise], [pro, installs, way, film, cover, slick, touch, screen, resistant, scratch, regret, allbr, br, con, note, protector, doesnt, cover, outer, millimeter, edge, screen, round, protector, unprotected, part, thus, give, star], [touch, device, hinder, disappoint, protector, doesnt, cover, entire, screen, surface, get, go, edge, edge, phone, doesnt, edge, edge, screen, ocd, wont, allow, keep, update, day, application, lift, recommend, product], [nice, clear], [couple, screen, protector, note, gap, edge, curvature, screen], [okay, edge, stick, conform, bevel, phone, end, go, brand, install], [instal, follow, instruction, prefect, year, scratch], [arrive, time, adhere, phone, company, state, edge, phone, concern, dirt, dust, get, underneath, love, sturdiness, protector, piece], [screen, protector, go, look], [glass, cheap, flimsy, plasticdoesnt, stick], [product, save, phone, drop, tile, floor, distance, foot, look, screen, thought, shatter, protector, shatter, screen, fine, order, asap], [work, great, crystal, clear], [protector, feel, screen, quality, price], [receive, item, week, installation, cover, screen, brand, phone, recommend, others, galaxy, note], [glass, didnt, cover, whole, screen], [quality, phone, week, ok, scratch, clean], [ship, product, perfect, thank], [nice, screen, protector, glue, use, sub, par, begin, raise, edge, phone], [well, order, design], [excellent, screen, protector, keep, screen, yet, see, stay, smudge, term, smudge, seem, time, excellent, product, installation, go, bit, tricky, twice, put, end], [difficult, put, device]]","[[glass screen protector protect screen object drop phone see phone content sun, 0.8405, 5], [describe, 0.919, 5], [description last time go sand scratch see clear make screen delete apps screen pocket include screen sticker help place phone drop screen protector crack length center break screen use phone buy, 0.3818, 5], [receive product today instruction follow screen protector go problem fit seems make screen touch smooth response met expectation, 0.2263, 2], [screen protector come promise time, 0.0, 5], [theyre greatest screen cover say, 0.5154, 5], [absolute perfection note easy videos help screen flawless buy phone seller help application, 0.9022, 5], [arrive time problem cover lcd screen, 0.6369, 5], [nice product easy shippingpackaging, 0.3889, 3], [glass doesnt screen annoys glass cover note dont, 0.4404, 1], [fit exactlyvery choice, 0.5574, 4], [arrive work, 0.899, 5], [product put look amaze feel glass , 0.9869, 5], [note display slight curve glass screen protector st time drop phone fault display face gravel protector chip edgeto screen protector credit display didnt doesnt look great protect display scratch, 0.0, 3], [wasnt time product quality doesnt fit think regard get alignment company design screen use cut out home button ear speaker guide camera sensor im work fine ive use screen protector company please worth im thrill chance get make apply way make product stand sea product quality think thing make well term quality try round edge, 0.4404, 5], [purchase bought break product thicker phonebr love, 0.7351, 5], [perfect, 0.8908, 5], [screen protector drop phone day think crack screen end crack screen protector job go get better safe sorry, 0.8655, 5], [temper glass screen protector easy fit galaxy note look wrinkle bubble recommend product, 0.8555, 5], [lower standard zero screen protector youre unwilling dont waste money, -0.8322, 3], [arrive product advertise, 0.9498, 5], [pro installs way film cover slick touch screen resistant scratch regret allbr br con note protector doesnt cover outer millimeter edge screen round protector unprotected part thus give star, 0.9615, 5], [touch device hinder disappoint protector doesnt cover entire screen surface get go edge edge phone doesnt edge edge screen ocd wont allow keep update day application lift recommend product, 0.542, 1], [nice clear, -0.0362, 4], [couple screen protector note gap edge curvature screen, 0.6597, 5], [okay edge stick conform bevel phone end go brand install, -0.2263, 4], [instal follow instruction prefect year scratch, 0.5719, 5], [arrive time adhere phone company state edge phone concern dirt dust get underneath love sturdiness protector piece, 0.3612, 5], [screen protector go look, 0.5719, 5], [glass cheap flimsy plasticdoesnt stick, 0.6249, 5], [product save phone drop tile floor distance foot look screen thought shatter protector shatter screen fine order asap, 0.0, 5], [work great crystal clear, 0.4939, 5], [protector feel screen quality price, 0.6258, 4], [receive item week installation cover screen brand phone recommend others galaxy note, -0.4019, 3], [glass didnt cover whole screen, -0.5632, 5], [quality phone week ok scratch clean, 0.7713, 5], [ship product perfect thank, 0.8689, 5], [nice screen protector glue use sub par begin raise edge phone, 0.9231, 5], [well order design, 0.0, 5], [excellent screen protector keep screen yet see stay smudge term smudge seem time excellent product installation go bit tricky twice put end, 0.8807, 5], [difficult put device, -0.3612, 2]]"
B00OTTQI2W,[0.6962],[5],"[[nice, glass, pack]]","[[nice glass pack, 0.6962, 5]]"
B00OZZFSRG,[0.0516],[2],"[[part, case, keep, fall, doesnt, get]]","[[part case keep fall doesnt get, 0.0516, 2]]"
B00P050B1I,"[-0.6249, -0.3855]","[1, 3]","[[worst, headphone, run, headphone, dont, work, anymore, wont, charge, power], [ok, product, box, use, miss, part, end, charge, unit, usb, use, computer, cool, package, earwax, attach, bud, owner, return, product, hassle, take, time, say, cent]]","[[worst headphone run headphone dont work anymore wont charge power, -0.6249, 1], [ok product box use miss part end charge unit usb use computer cool package earwax attach bud owner return product hassle take time say cent, -0.3855, 3]]"
B00P1M7IFC,[0.3832],[1],"[[work, issue, overheat, charging, handheld, device, usb, charge, update, charger, purchase, make, mom, charge, phone, end, last, month, disappoint, nothing, done, return]]","[[work issue overheat charging handheld device usb charge update charger purchase make mom charge phone end last month disappoint nothing done return, 0.3832, 1]]"
B00P5XVKE2,[0.2732],[5],[[fit]],"[[fit, 0.2732, 5]]"
B00P68L9RO,[0.6249],[5],"[[air, compressor, cord, use, fill, trailer, tire]]","[[air compressor cord use fill trailer tire, 0.6249, 5]]"
B00P7Q5778,[0.6249],[5],[[product]],"[[product, 0.6249, 5]]"
