1059451522,[0.0],[3],"[[buy, family, member, mile, feed, end, user]]","[[buy family member mile feed end user, 0.0, 3]]"
B00MY05GNA,"[0.4404, 0.5719, 0.5994, 0.0, 0.0772, 0.6249, 0.5327, 0.2732, 0.0, 0.6249, -0.0823, -0.915, 0.765, 0.0, 0.8519, 0.6249, 0.8934, 0.6369, -0.4019, 0.6249, 0.34, -0.5267, 0.5574, 0.3612, 0.9186, 0.0, 0.0, 0.5318, 0.6249, 0.3182, 0.34, -0.296, 0.34, 0.6249, 0.0915, 0.296, 0.0, 0.3716, 0.4927, -0.5423]","[5, 5, 5, 4, 4, 5, 3, 3, 1, 5, 1, 1, 5, 1, 5, 5, 5, 5, 1, 5, 5, 1, 5, 4, 5, 1, 3, 1, 5, 5, 2, 3, 5, 5, 2, 5, 4, 1, 4, 2]","[[arrive, time, plug, use, make, sure, work, end], [nice, connect, tv, computer, cable, work, plenty, length, work, hdmi, connector, tv, place, usb, charger, work, well, charge, phone, tablet, thanks], [doesnt, charge, tablet, outlet, work], [everything, stop, work, stop, work, bueno], [didnt, charge], [work, issue, overall], [work], [work, great, use, note, hasnt, issue], [order, expect, thanks], [work, samsung, galaxy, ], [work, time, start, fail, connection, intermittent, boooo], [play, chord, stabilize], [simple, plug, play, buy], [work, note, edge, need, bluetooth, keyboard, touch, pad, yaowa], [work, samsung, note, wouldnt, work, samsung, ], [picture, quality, great, panasonic, viera, im, use, samsung, galaxy, reason, star, charge, phone, watch, movie, etc, phone, rankie, cable, sure, might, want, get, hdmi, adapter, hdmi, cable, option, placement, place, phone, end, table, recliner, outlet], [prompt, delivery, good, service, price, product, excellent], [cable, work, use, time, travel, hook, hotel, tv, recommendation, travel, take, extension, cord, fine, power, strip, wallusb, charger, adapter, use, kind, come, newer, phone, plug, phone, charge, hotel, tv, usb, connection, wont, outlet, close, usb, charger, find, extension, cord, adapter, cover, hotel, tv, encounter], [work, advertise, issue, use, note], [doesnt, work, phone], [work, trial, find, product, want], [dont, write, review, feel, product, item, work, samsung, minute, start, turn, annoy, happens, restart, phone, minute, thing, dont, recommend, item], [work, great], [im, happy, cable], [work], [package, arrive, item, seem, decent, qualitybr, br, try, use, vizio, tv, galaxy, make, phone, crash, tv, cable, knowsbr, br, overall, buck, go], [stop, work, use], [work], [product], [work], [product, didnt, work, try, samsung, tab, device, waste, money, time], [fit, lg, g, excite, get, tv, none, work, usb, part, go, phone, fit, end, use, hdmi, hdmi, laptop, tv, wish, return, product, hassle], [trash, work, samsung], [work, amart, phone, second, ok, buy, store], [doesnt, work, sure, cord, follow, instruction], [item, work, well, got, superior, product, thank], [idea, time, plug, samsung, get, red, x, battery], [work, good]]","[[arrive time plug use make sure work end, 0.4404, 5], [nice connect tv computer cable work plenty length work hdmi connector tv place usb charger work well charge phone tablet thanks, 0.5719, 5], [doesnt charge tablet outlet work, 0.5994, 5], [everything stop work stop work bueno, 0.0, 4], [didnt charge, 0.0772, 4], [work issue overall, 0.6249, 5], [work, 0.5327, 3], [work great use note hasnt issue, 0.2732, 3], [order expect thanks, 0.0, 1], [work samsung galaxy , 0.6249, 5], [work time start fail connection intermittent boooo, -0.0823, 1], [play chord stabilize, -0.915, 1], [simple plug play buy, 0.765, 5], [work note edge need bluetooth keyboard touch pad yaowa, 0.0, 1], [work samsung note wouldnt work samsung , 0.8519, 5], [picture quality great panasonic viera im use samsung galaxy reason star charge phone watch movie etc phone rankie cable sure might want get hdmi adapter hdmi cable option placement place phone end table recliner outlet, 0.6249, 5], [prompt delivery good service price product excellent, 0.8934, 5], [cable work use time travel hook hotel tv recommendation travel take extension cord fine power strip wallusb charger adapter use kind come newer phone plug phone charge hotel tv usb connection wont outlet close usb charger find extension cord adapter cover hotel tv encounter, 0.6369, 5], [work advertise issue use note, -0.4019, 1], [doesnt work phone, 0.6249, 5], [work trial find product want, 0.34, 5], [dont write review feel product item work samsung minute start turn annoy happens restart phone minute thing dont recommend item, -0.5267, 1], [work great, 0.5574, 5], [im happy cable, 0.3612, 4], [work, 0.9186, 5], [package arrive item seem decent qualitybr br try use vizio tv galaxy make phone crash tv cable knowsbr br overall buck go, 0.0, 1], [stop work use, 0.0, 3], [work, 0.5318, 1], [product, 0.6249, 5], [work, 0.3182, 5], [product didnt work try samsung tab device waste money time, 0.34, 2], [fit lg g excite get tv none work usb part go phone fit end use hdmi hdmi laptop tv wish return product hassle, -0.296, 3], [trash work samsung, 0.34, 5], [work amart phone second ok buy store, 0.6249, 5], [doesnt work sure cord follow instruction, 0.0915, 2], [item work well got superior product thank, 0.296, 5], [idea time plug samsung get red x battery, 0.0, 4], [work good, 0.3716, 1], [, 0.4927, 4], [, -0.5423, 2]]"
B00N126E7C,"[0.9479, 0.8736]","[5, 5]","[[case, price, sturdy, go], [impress, phone, case, holster, shell, case, belt, clip, thing, broke, month, drop, work, im, bump, stuff, hold, equipment, hand, case, need, hold, belt, clip, drop, hand, case, protection, phone, doesnt, bulk, phone, mean, iphone, wafer, thin, anyway, protection, doesnt, hurt, drawback, belt, clip, swivel, bump, thing, minor, v, protection, ease, use, im, enjoy, expect, time, come, nice, job, buddibox]]","[[case price sturdy go, 0.9479, 5], [impress phone case holster shell case belt clip thing broke month drop work im bump stuff hold equipment hand case need hold belt clip drop hand case protection phone doesnt bulk phone mean iphone wafer thin anyway protection doesnt hurt drawback belt clip swivel bump thing minor v protection ease use im enjoy expect time come nice job buddibox, 0.8736, 5]]"
B00NBTS5H2,"[0.4588, 0.4754]","[3, 5]","[[job, protect, phone, color, rub, week, use, part, phone, others, deal], [daughter, like, case]]","[[job protect phone color rub week use part phone others deal, 0.4588, 3], [daughter like case, 0.4754, 5]]"
B00NC5S3HM,"[0.7653, 0.3818, 0.1397]","[5, 5, 5]","[[help, keep, track, walk, online, figure, work], [try, tracker, make, exercise, want, credit, step], [use, move, monitor, sleep, model, track, rem, sleep, tell, slept, suffer, insomnia, device, give, clue, improve, sleepbr, br, update, stop, work, month]]","[[help keep track walk online figure work, 0.7653, 5], [try tracker make exercise want credit step, 0.3818, 5], [use move monitor sleep model track rem sleep tell slept suffer insomnia device give clue improve sleepbr br update stop work month, 0.1397, 5]]"
B00NH138F8,"[0.9194, 0.9393, 0.8854, 0.0, 0.6808, 0.6486, 0.6249, 0.4927, 0.6666, 0.8402, -0.1531, 0.5719, 0.5423, 0.0, 0.0, 0.6249, 0.9349, 0.0, 0.6249]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 4, 5, 5, 5, 4, 5]","[[lovin, got, keep, pocket, power, pack, run, juice, make, car, im, pocket, time, wonder, little, wore, get, month, happy, dont, ill, sure, revisit, review], [item], [suppose, bebr, wellbuilt, short, work], [convenient, size, briefcase, wish, light, end, bit, smaller, wouldnt, case], [perfect, length], [charge, iphone, super, combine, amazon, power, bank], [awesome, product], [didnt, need, keep, anyway], [deal, consider, official, option], [work, make, length, carry, get, tangle, longer, cord], [product], [function, normal, foot, certify, way, purchase, time, get, anker, charger, perfect, phone, connection, remote, charger, lot, cable, arent, way, recommend, product, seem, lot, amazon, basic, product, purchase, prove, quality], [work, great, need], [everyone, iphone, need, duty, length], [wish, logo, end, pain, take], [need], [perfect, connector, make, fit, car, connect, ipod, entertainment, system], [purpose, harley, road, glide, dont, need, plug, motorcycle, work, hesitate, buying, market, lightning], [wire, use, mine, put, charger, battery, packbr, work, problem]]","[[lovin got keep pocket power pack run juice make car im pocket time wonder little wore get month happy dont ill sure revisit review, 0.9194, 5], [item, 0.9393, 5], [suppose bebr wellbuilt short work, 0.8854, 5], [convenient size briefcase wish light end bit smaller wouldnt case, 0.0, 5], [perfect length, 0.6808, 5], [charge iphone super combine amazon power bank, 0.6486, 5], [awesome product, 0.6249, 5], [didnt need keep anyway, 0.4927, 5], [deal consider official option, 0.6666, 5], [work make length carry get tangle longer cord, 0.8402, 5], [product, -0.1531, 3], [function normal foot certify way purchase time get anker charger perfect phone connection remote charger lot cable arent way recommend product seem lot amazon basic product purchase prove quality, 0.5719, 5], [work great need, 0.5423, 5], [everyone iphone need duty length, 0.0, 4], [wish logo end pain take, 0.0, 5], [need, 0.6249, 5], [perfect connector make fit car connect ipod entertainment system, 0.9349, 5], [purpose harley road glide dont need plug motorcycle work hesitate buying market lightning, 0.0, 4], [wire use mine put charger battery packbr work problem, 0.6249, 5]]"
B00NMU01CC,[0.2551],[1],"[[clip, carry, case, purchase, clip, keep, break, day, start, use]]","[[clip carry case purchase clip keep break day start use, 0.2551, 1]]"
B00NR1FNF6,[0.6249],[5],[[product]],"[[product, 0.6249, 5]]"
B00NTCCSPG,"[0.7992, 0.7184]","[5, 5]","[[charge, awesome, take, time, charge, plug, let, charge, nightbr, br, wish, front, case, thicker, provide, buffer, screen, drop, case, slick, slide, car, rubber, rubber, strip, something, keep, slide, case, didnt, weigh, im, guess, time, phone, br, br, drop, broke, customer, service, awesome, farbr, buy, product, gone, hour, worry, get, chargebr, br, leave, phone, charge, phone, get, say, flip, switch, go, charge], [excellent, customer, service, issue, lock, mechanisim, broke, request, replacement, product, work, advertise, perfoming, month]]","[[charge awesome take time charge plug let charge nightbr br wish front case thicker provide buffer screen drop case slick slide car rubber rubber strip something keep slide case didnt weigh im guess time phone br br drop broke customer service awesome farbr buy product gone hour worry get chargebr br leave phone charge phone get say flip switch go charge, 0.7992, 5], [excellent customer service issue lock mechanisim broke request replacement product work advertise perfoming month, 0.7184, 5]]"
B00NTJSS8A,[0.9516],[5],"[[product, job, great, product, store, price]]","[[product job great product store price, 0.9516, 5]]"
B00NV8ZEJK,"[0.836, 0.25]","[5, 5]","[[give, full, charge, sleek, design, nice, pouch, store, love, cord, usb, end, multiple, end, side, choice, gadget, charge, extra, money, buy, mini, charger], [quality, build, work, well, buy, look, anything]]","[[give full charge sleek design nice pouch store love cord usb end multiple end side choice gadget charge extra money buy mini charger, 0.836, 5], [quality build work well buy look anything, 0.25, 5]]"
B00NXNGGKO,[-0.4767],[2],"[[poor, quality, phone, week, material, begin, crack, come, apart, wont, order, company]]","[[poor quality phone week material begin crack come apart wont order company, -0.4767, 2]]"
B00O1I0ML4,"[0.3182, 0.6369, 0.3612, 0.6908, 0.659]","[5, 5, 5, 5, 5]","[[buy, buy, duty], [cord, thicker, came, phone], [quallty, keek, buy, room], [imagine, thing, seem, look], [product, handy, come, charge, company, make, sure, issue, product, produce, try, fix]]","[[buy buy duty, 0.3182, 5], [cord thicker came phone, 0.6369, 5], [quallty keek buy room, 0.3612, 5], [imagine thing seem look, 0.6908, 5], [product handy come charge company make sure issue product produce try fix, 0.659, 5]]"
B00OBZ683S,[0.4215],[5],"[[suppose, lol]]","[[suppose lol, 0.4215, 5]]"
B00OIHY6KG,[0.7845],[5],"[[quality, nice, product]]","[[quality nice product, 0.7845, 5]]"
B00OINY7TU,"[-0.5256, 0.8777]","[2, 5]","[[install, order], [dark, take, ee, job, poor, description, think, go, fuzzy, black]]","[[install order, -0.5256, 2], [dark take ee job poor description think go fuzzy black, 0.8777, 5]]"
B00OJXPF2W,"[-0.5177, 0.624, 0.7684, 0.836, -0.2755, -0.4627, -0.4215, 0.0, 0.6249]","[1, 4, 5, 4, 1, 1, 1, 5, 5]","[[anger, issue, hate, smart, phone, period, get, mad, cause, texting, cant, tell, button, im, hit, throw, phone, alot, throw, screans, case, pop, screen, case, didnt], [case, help, month], [protection, phone, thats, ok, snap, option, take, phone, clasp, belt, pocket], [super, bulky], [junk, belt, clip, broke, week, wear, course, return, wont, buy, seller], [buy, case, galaxy, sport, case, fit, case, pop, enter, galaxy, sport, case], [exellent], [clip, hold, kept, falling, crack, maid, body, case, case, order, obtain, phone, opportunity, return, case, expire, realize, poor, quality, product]]","[[anger issue hate smart phone period get mad cause texting cant tell button im hit throw phone alot throw screans case pop screen case didnt, -0.5177, 1], [case help month, 0.624, 4], [protection phone thats ok snap option take phone clasp belt pocket, 0.7684, 5], [super bulky, 0.836, 4], [junk belt clip broke week wear course return wont buy seller, -0.2755, 1], [buy case galaxy sport case fit case pop enter galaxy sport case, -0.4627, 1], [exellent, -0.4215, 1], [clip hold kept falling crack maid body case case order obtain phone opportunity return case expire realize poor quality product, 0.0, 5], [, 0.6249, 5]]"
B00OPBTPCO,[0.5574],[5],[[price]],"[[price, 0.5574, 5]]"
B00OQI060G,"[0.8399, 0.6908]","[5, 5]","[[recommend, iphoneipod, user, fix, iphonesipodsbr, br, use, tool, kit, iphone, iphone, time, use, product, instal, screen, take, sim, card, tool, kit, done, justice], [nice, product, quick, deliver, description]]","[[recommend iphoneipod user fix iphonesipodsbr br use tool kit iphone iphone time use product instal screen take sim card tool kit done justice, 0.8399, 5], [nice product quick deliver description, 0.6908, 5]]"
B00OT6YUIY,"[0.9299, 0.5719, 0.7688, 0.9337, 0.8481, 0.7607, 0.6249, 0.4404, 0.2732, 0.858, 0.4404, 0.6901, 0.4588, 0.4939, 0.0, 0.6249, 0.7579, 0.8316, 0.0, -0.2263, 0.6249, 0.7906, 0.6249, 0.5719, 0.0, -0.6674, 0.8316, 0.9485, -0.5279, -0.0258, 0.5898, 0.4404, -0.2023, 0.4588, 0.765, 0.7184, 0.6249, -0.5106, 0.6249, 0.9216, 0.3612, 0.836, 0.0, -0.0387, 0.4019, 0.7351, 0.6597, 0.6249, 0.6249, 0.5719, 0.6486, 0.6908, 0.8316, 0.6249, 0.9399, 0.6249, 0.8195, 0.4404, 0.6369, 0.6249, 0.0, 0.3818, 0.6249, 0.9246, 0.6249, 0.7992, 0.6249, 0.0, 0.9247, 0.1067, 0.6249, 0.8519, -0.1531, 0.3818, 0.7964, 0.5719, 0.836, 0.9405, 0.6249, 0.5719, 0.9347, 0.9246, 0.9168, 0.7475, -0.9419, 0.9182, 0.7096, 0.875, 0.0, -0.0697, -0.765, 0.8439]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5]","[[amaze, product, worth, penny], [build, problem], [excellent, product, describe], [size, quality, charge, multiple, device, max, charge, speed, cost, wall, plug, need, extra, usb, cord, think, get, work], [arrive, time, expect, work], [work, great, charge, device, fast], [excellent, charge, thing, issue], [awesome, product, nice, sleek, charge, device, iphones, ipads, ease, warranty], [excellent, product, charge, device], [save, place], [work, charge, thing], [enjoy, product, buy, port, charger, appreciate, ismart, technology, kid, use, charging, block, phone, tablet, etc, ismart, take, worry, situation], [take, charger, trip, europe, perfect, charge, iphone, ipads, need, plug, adapter, fit, outlet, good, go, home, place, charge, thing, outlet, recommend, product], [charger, time, charge, multiple, device, use, outlet], [usb, device, charge, fast, work, android, phone, android, padetc, love, work, better, expect], [multiple, plug, hub, usb, cord, lot, messy], [seamless, transaction, quality, product, say], [work, great, price], [month, charge, problem, hook, inverter, rescue, vehicle], [simplebr, good, perfomance], [charger, accommodates, amp, port, power, need, work, travel, charge, device, bring, ac, charger, device], [awesome, buy, recommend, everyone, know, get, mine, get, steal], [perfect, bedside, charger, iphones, ipads, iwatch, cord, etc, require, usb, charge], [product, multiple, usb, item, charge, travel, save, pack, multiple, transformer, allow, charge, everything, iphone, android, phone, ipad, lg, g, watch, area, hotel, room, use, outlet, smart, power, function, overcharge, battery, supply, amount, power], [wall, charger, replace, apple, iphone, ipad, charger, surge, strip, outlet, use], [handy, work, use, day], [traveling, lot, gadget], [usb, charger, ravpower, great, help, charge, device, travel, use, charge, device, hotel, room, anymore, charge, thats, thing, recommend, usb, charger, everyone, charge, multiple, device], [excellent, product], [test, ensure, work, begin, use, time], [plug, device, use, ipads, cell, phone, complaint], [work, great], [problem, chargercharges, job], [product, great, claim, travel, multiple, device, charge, even, include, ipad, work, android, phone, kindle, reading, hour, headset, hotel, dont, lot, plug, use, multiple, charger, hunt, get, everything, plug, succeed, device, using, plug, wall, power, multiple, device, charge, use, usb, device, work], [charger, port, charge, galaxy, port, power, unit, mix, result, wont, charge, galaxy, older, samsung, rugby, charge, usb, device, ive, use, power, port, charge, come, decent, power, cord, buy, use, travel, kit, dont, swipe, home, time, hit, road, purchase, money], [work, product, great, price, get, say], [work, fire, hold, charge], [receive, promise, work], [work, wonder, charge, wont], [product, travel, home], [use, item, everyday, iphones, orion, power, bank, item, ive, buy, amazon, recommend, customersbr, mark, b], [work, great], [super, handy, get, hot, function, super, product], [place, charge, cellphone, mini, kindle, devices, charge, house], [excellent, product], [work, great, power, qi, charger, phone, try, power, charger, order, charger], [charger, plug, phone, kindle, kid, mp, fitbit, multiple, wall, power, adapter, sit, night, stand, plug, whatever, need, charge, im, sure, image, seems, charge, phone, plug], [value, work, expect], [work, charge, charge, phone, tablet, battery, pack], [charge, galaxy, note, minute, work, perfect, nice, quality], [exalent, peice, equipment, charge, iphone, rate, minute, flaw, see], [decision, whole, family, love, product], [excelent, product, power, charge, product, time], [perfect, charge, kindles, bose, headphone, mp, player], [product, work, use, electronics, work], [love, use, outlet, charge, device, time], [unit, work, fine, think, type, plug, wall, nothing, traveling, keep, product, intend, wish, read, purchase], [order, work, great], [samsung, note, cell, phone, tmobile, take, hour, charge, charger, fix, problem, hour, try, ipad, cell, phone, time, problem, take, hr, charge], [product, limit, number, wall, outlet, charge, number, device, time, everything, seem, work], [work, great, purchase], [updatebr, month, fail, cause, phone, multiple, freeze, plug, causing, voltage, problem, isnt, damage, devicesbr, br, ive, contact, manufacture, update, hear, warranty, isnt, worth, point, time, pay, return, shipping, id, pay, br, br, review, belowbr, br, feel, itbr, doesnt, feel, cheap, junk, imagine, weight, power, supply, build, plug, sidebr, allows, usb, part, sit, placebr, br, good, feature, hope, add, future, mount, hole, strap, stand, etc, guess, use, double, table, toobr, br, dont, notice, faster, charge, device, iphone, galaxy, doesnt, seem, eitherbr, br, spark, plug, make, pop, sound, plug, others, note, indicate, time, stop, workingbr, say, keep, mine, plug, time, hard, get, plug, surge, part, shouldnt, issue, random, power, flickersbr, br, ive, luck, past, usb, port, ive, fry, device, fear, damage, phonesbr, understand, builtin, protection, see, review, failedbr, guess, time, tell, last], [work, advertise, amp, slot, make, work, charge, ipad, battery], [way, charge, multiple, device], [use, end, table, work], [awesome, great, space, saver, set, area, make, kid, place, device, night, juggle, power, cord, power, strip, take, slot, power, strip, charge, device, leaf, ac, plug, need, charge, plug, buy, buy], [arrive, day, work], [work, great, charge, phone, perfect, travel], [work, great, buy, combo, cord, everything, charge, device, doesnt, stand, side, photo, fall, deal], [device, take, care, look, charge, cube, peek, bead, help, management, device, rapid, charge, port, output, work, charm, recommend], [doesnt, seem, charge, get, kink, neck, try, charge, use, phone, time, product, solve, problem], [charge, multiple, item, price, delivery], [charge, arrive, time, advertise, give, charge, test, work, course, need, use, see, hold, fact], [sleek, look, build, shock, build, quality, item, price, exceed, expectation, end, purchase, office, wife, workbr, br, charge, iphone, ipad, get, hot, plus, ive, charger, use, period, time, get, warm, iphone, ipad, time, smart, port, stay, cool, touch, wasnt, usebr, br, there, say, go, buying, charger, price, im, going, order, soon], [excellent, device, apple, android, product, plug, love], [charger], [work, great, price], [work, great, charge, item, time], [item, work, usb, cord, duty, make], [awesome, dont, complaint], [work, fast, order, need], [wish, ac, plug, include, cable, dont, understand, function, ismart, dont, notice, difference], [use, charging, station, week, work, compact, design, provide, charge, samsung, note, ipad, air, time], [work, great, arrive, time], [buy, replace, give, grandson, perfect, size, hide, lamp, compact, easy, insert, usb, plug, work, month, use, look, year, use], [travelling, home, use, trip, take, care, charging, ipads, iphones, time, use, apple, approve, foot, pin, cable, eliminate, lot, clutter, recommend], [describe], [charger, speed, use, lg, g, flex, flex, ], [tem, work, take, room], [charge, samsung, galaxy, yield, red, x, top, charge, indicator, charge, rate, port, work, device]]","[[amaze product worth penny, 0.9299, 5], [build problem, 0.5719, 5], [excellent product describe, 0.7688, 5], [size quality charge multiple device max charge speed cost wall plug need extra usb cord think get work, 0.9337, 5], [arrive time expect work, 0.8481, 5], [work great charge device fast, 0.7607, 5], [excellent charge thing issue, 0.6249, 5], [awesome product nice sleek charge device iphones ipads ease warranty, 0.4404, 5], [excellent product charge device, 0.2732, 5], [save place, 0.858, 4], [work charge thing, 0.4404, 5], [enjoy product buy port charger appreciate ismart technology kid use charging block phone tablet etc ismart take worry situation, 0.6901, 5], [take charger trip europe perfect charge iphone ipads need plug adapter fit outlet good go home place charge thing outlet recommend product, 0.4588, 5], [charger time charge multiple device use outlet, 0.4939, 5], [usb device charge fast work android phone android padetc love work better expect, 0.0, 5], [multiple plug hub usb cord lot messy, 0.6249, 4], [seamless transaction quality product say, 0.7579, 5], [work great price, 0.8316, 5], [month charge problem hook inverter rescue vehicle, 0.0, 5], [simplebr good perfomance, -0.2263, 4], [charger accommodates amp port power need work travel charge device bring ac charger device, 0.6249, 5], [awesome buy recommend everyone know get mine get steal, 0.7906, 5], [perfect bedside charger iphones ipads iwatch cord etc require usb charge, 0.6249, 5], [product multiple usb item charge travel save pack multiple transformer allow charge everything iphone android phone ipad lg g watch area hotel room use outlet smart power function overcharge battery supply amount power, 0.5719, 5], [wall charger replace apple iphone ipad charger surge strip outlet use, 0.0, 5], [handy work use day, -0.6674, 5], [traveling lot gadget, 0.8316, 5], [usb charger ravpower great help charge device travel use charge device hotel room anymore charge thats thing recommend usb charger everyone charge multiple device, 0.9485, 5], [excellent product, -0.5279, 5], [test ensure work begin use time, -0.0258, 5], [plug device use ipads cell phone complaint, 0.5898, 5], [work great, 0.4404, 5], [problem chargercharges job, -0.2023, 5], [product great claim travel multiple device charge even include ipad work android phone kindle reading hour headset hotel dont lot plug use multiple charger hunt get everything plug succeed device using plug wall power multiple device charge use usb device work, 0.4588, 5], [charger port charge galaxy port power unit mix result wont charge galaxy older samsung rugby charge usb device ive use power port charge come decent power cord buy use travel kit dont swipe home time hit road purchase money, 0.765, 5], [work product great price get say, 0.7184, 5], [work fire hold charge, 0.6249, 5], [receive promise work, -0.5106, 5], [work wonder charge wont, 0.6249, 5], [product travel home, 0.9216, 5], [use item everyday iphones orion power bank item ive buy amazon recommend customersbr mark b, 0.3612, 5], [work great, 0.836, 5], [super handy get hot function super product, 0.0, 5], [place charge cellphone mini kindle devices charge house, -0.0387, 4], [excellent product, 0.4019, 4], [work great power qi charger phone try power charger order charger, 0.7351, 5], [charger plug phone kindle kid mp fitbit multiple wall power adapter sit night stand plug whatever need charge im sure image seems charge phone plug, 0.6597, 5], [value work expect, 0.6249, 5], [work charge charge phone tablet battery pack, 0.6249, 5], [charge galaxy note minute work perfect nice quality, 0.5719, 5], [exalent peice equipment charge iphone rate minute flaw see, 0.6486, 5], [decision whole family love product, 0.6908, 5], [excelent product power charge product time, 0.8316, 5], [perfect charge kindles bose headphone mp player, 0.6249, 5], [product work use electronics work, 0.9399, 5], [love use outlet charge device time, 0.6249, 5], [unit work fine think type plug wall nothing traveling keep product intend wish read purchase, 0.8195, 4], [order work great, 0.4404, 5], [samsung note cell phone tmobile take hour charge charger fix problem hour try ipad cell phone time problem take hr charge, 0.6369, 5], [product limit number wall outlet charge number device time everything seem work, 0.6249, 4], [work great purchase, 0.0, 5], [updatebr month fail cause phone multiple freeze plug causing voltage problem isnt damage devicesbr br ive contact manufacture update hear warranty isnt worth point time pay return shipping id pay br br review belowbr br feel itbr doesnt feel cheap junk imagine weight power supply build plug sidebr allows usb part sit placebr br good feature hope add future mount hole strap stand etc guess use double table toobr br dont notice faster charge device iphone galaxy doesnt seem eitherbr br spark plug make pop sound plug others note indicate time stop workingbr say keep mine plug time hard get plug surge part shouldnt issue random power flickersbr br ive luck past usb port ive fry device fear damage phonesbr understand builtin protection see review failedbr guess time tell last, 0.3818, 5], [work advertise amp slot make work charge ipad battery, 0.6249, 5], [way charge multiple device, 0.9246, 5], [use end table work, 0.6249, 5], [awesome great space saver set area make kid place device night juggle power cord power strip take slot power strip charge device leaf ac plug need charge plug buy buy, 0.7992, 4], [arrive day work, 0.6249, 5], [work great charge phone perfect travel, 0.0, 5], [work great buy combo cord everything charge device doesnt stand side photo fall deal, 0.9247, 5], [device take care look charge cube peek bead help management device rapid charge port output work charm recommend, 0.1067, 5], [doesnt seem charge get kink neck try charge use phone time product solve problem, 0.6249, 5], [charge multiple item price delivery, 0.8519, 5], [charge arrive time advertise give charge test work course need use see hold fact, -0.1531, 5], [sleek look build shock build quality item price exceed expectation end purchase office wife workbr br charge iphone ipad get hot plus ive charger use period time get warm iphone ipad time smart port stay cool touch wasnt usebr br there say go buying charger price im going order soon, 0.3818, 5], [excellent device apple android product plug love, 0.7964, 5], [charger, 0.5719, 5], [work great price, 0.836, 5], [work great charge item time, 0.9405, 5], [item work usb cord duty make, 0.6249, 5], [awesome dont complaint, 0.5719, 5], [work fast order need, 0.9347, 5], [wish ac plug include cable dont understand function ismart dont notice difference, 0.9246, 5], [use charging station week work compact design provide charge samsung note ipad air time, 0.9168, 5], [work great arrive time, 0.7475, 5], [buy replace give grandson perfect size hide lamp compact easy insert usb plug work month use look year use, -0.9419, 1], [travelling home use trip take care charging ipads iphones time use apple approve foot pin cable eliminate lot clutter recommend, 0.9182, 5], [describe, 0.7096, 5], [charger speed use lg g flex flex , 0.875, 5], [tem work take room, 0.0, 5], [charge samsung galaxy yield red x top charge indicator charge rate port work device, -0.0697, 5], [, -0.765, 5], [, 0.8439, 5]]"
B00P0W6OLM,[-0.4226],[1],"[[item, take, picture, blurry, pixelated, try, use, samsung, galaxy, phone, end, result]]","[[item take picture blurry pixelated try use samsung galaxy phone end result, -0.4226, 1]]"
B00P8U9SOG,[0.5267],[3],"[[ok, matte, plastic, feel, look, phone, case]]","[[ok matte plastic feel look phone case, 0.5267, 3]]"
B00PAHCAAG,[0.4404],[4],"[[work, good, phone]]","[[work good phone, 0.4404, 4]]"
B00PBBOD24,"[0.9721, 0.0, -0.5574]","[4, 4, 3]","[[nice, look, case, dident, want, case, alpha, cause, phone, case, compliment, look, look, protect, good, drop, way, packagedin, soft, package, get, damage, dident, break, plastic, there, bend, return, cause, dont, want, phone, go, unprotected, week, update, own, week, deduct, star, cause, gold, color, peel, edge, look, bite, peel], [hi, buy, case, come, think, type, protects, cell, today, notice, wasting, golden, color, make, look, careless, ], [gold, scrub, case]]","[[nice look case dident want case alpha cause phone case compliment look look protect good drop way packagedin soft package get damage dident break plastic there bend return cause dont want phone go unprotected week update own week deduct star cause gold color peel edge look bite peel, 0.9721, 4], [hi buy case come think type protects cell today notice wasting golden color make look careless , 0.0, 4], [gold scrub case, -0.5574, 3]]"
B00PBKHAB6,[0.0516],[5],[[problem]],"[[problem, 0.0516, 5]]"
B00PCPI7RQ,"[0.3716, -0.2755]","[2, 1]","[[copy, mopie, extend, battery, pack, didnt, phonebr, return], [case, great, charge, phone, drop, phone, screen, crack, use, otter, box, carry, charger]]","[[copy mopie extend battery pack didnt phonebr return, 0.3716, 2], [case great charge phone drop phone screen crack use otter box carry charger, -0.2755, 1]]"
B00PDE2URE,"[0.0, 0.9493, 0.4215]","[1, 5, 3]","[[awesome, value, make, call, customer, service, excellent], [speaker, go, work, ok], [make, buzz, noise, call]]","[[awesome value make call customer service excellent, 0.0, 1], [speaker go work ok, 0.9493, 5], [make buzz noise call, 0.4215, 3]]"
