1059241536,[-0.7559],[1],"[[poor, break, day]]","[[poor break day, -0.7559, 1]]"
B00RJCKS36,"[-0.0312, 0.5719, -0.1027]","[3, 5, 3]","[[perfect], [case, base, price, case, doesnt, match, side, button, volume, sleep, use, sleep, button, turn, case, put, pressure, volume, button, turn, way, annoy, dont, use, sleep, button, turn, screen, non, issue, protect, phone, gave, star], [give, star, button, phone, case]]","[[perfect, -0.0312, 3], [case base price case doesnt match side button volume sleep use sleep button turn case put pressure volume button turn way annoy dont use sleep button turn screen non issue protect phone gave star, 0.5719, 5], [give star button phone case, -0.1027, 3]]"
B00RJKRYVC,"[-0.6253, 0.4939]","[5, 5]","[[stun, sound, quality, consider, picky, audio, quick, onoff, time, couldnt, find, channel, nfc, pair, work, run, denim, cant, speak, range, im, use, car, replacement, say, phone, audio, jack], [mpow, steambot, box, allow, access, itunes, exist, audio, system, connect, device, minute, work]]","[[stun sound quality consider picky audio quick onoff time couldnt find channel nfc pair work run denim cant speak range im use car replacement say phone audio jack, -0.6253, 5], [mpow steambot box allow access itunes exist audio system connect device minute work, 0.4939, 5]]"
B00RUEPKRM,[0.0],[5],"[[excelente, recomendado]]","[[excelente recomendado, 0.0, 5]]"
B00RW3I14U,[-0.1531],[1],"[[make, fit]]","[[make fit, -0.1531, 1]]"
B00RY756X8,[0.6369],[5],"[[ipad, fit]]","[[ipad fit, 0.6369, 5]]"
B00S1M185U,[-0.1531],[2],"[[stop, work, month, battery, charge]]","[[stop work month battery charge, -0.1531, 2]]"
B00S8R0QIS,"[0.6249, -0.4847]","[4, 1]","[[see, main, complaint, product, say, description, ipod, holder, make, ipod, touch, thats, enclose, case, extra, room, accommodate, ipod, case, stand, reason, ipod, seem, make, receive, expect, ipod, th, gen, case, fit], [model, ipad, touch, carry, case, ipad, ipad, secure, use, deliver]]","[[see main complaint product say description ipod holder make ipod touch thats enclose case extra room accommodate ipod case stand reason ipod seem make receive expect ipod th gen case fit, 0.6249, 4], [model ipad touch carry case ipad ipad secure use deliver, -0.4847, 1]]"
B00S8U0VT4,"[0.9898, 0.2609]","[5, 4]","[[order, screen, doa, amazon, great, job, replace, screen, break, part, screen, didnt, notice, put, screen, protector, wont, replace, screen, work, fine, anyways], [glass, get, crack, digiland, q, tablet, find, replacement, exact, replacement, part, tell, replacement, take, hour, couldnt, find, exact, instruction, model, shotbr, br, remove, phillips, screw, side, power, volume, buttonsbr, pry, see, seam, button, backside, case, use, case, removal, tool, sturdy, thin, tool, hobby, knife, precision, screwdriver, etcbr, disconnect, digitizer, ribbon, cable, board, lifting, thin, black, clamp, bar, upbr, digitizer, screen, edge, remove, silver, screw, wwasher, hold, lcd, frame, order, push, glass, inside, get, start, work, way, edge, pry, time, longest, step, worth, take, time, damage, lcd, screen, dont, worry, glass, fragment, break, away, glass, screen, removedbr, clean, dustdebris, set, digitizer, place, thread, ribbon, cable, slot, came, find, reconnect, ribbon, cable, remove, tape, backing, connect, ribbon, make, sure, push, way, push, black, clamp, remove, tape, backing, align, screen, find, dimension, stick, press, edge, tablet, seat, tapebr, reinstall, silver, screw, take, outbr, press, case, go, way, againbr, reinstall, screw, powervolume, button, sidebr, use, pinneedle, hit, reset, button, powervolume, button, side, tablet, reset, screen, recognize, touch, input]]","[[order screen doa amazon great job replace screen break part screen didnt notice put screen protector wont replace screen work fine anyways, 0.9898, 5], [glass get crack digiland q tablet find replacement exact replacement part tell replacement take hour couldnt find exact instruction model shotbr br remove phillips screw side power volume buttonsbr pry see seam button backside case use case removal tool sturdy thin tool hobby knife precision screwdriver etcbr disconnect digitizer ribbon cable board lifting thin black clamp bar upbr digitizer screen edge remove silver screw wwasher hold lcd frame order push glass inside get start work way edge pry time longest step worth take time damage lcd screen dont worry glass fragment break away glass screen removedbr clean dustdebris set digitizer place thread ribbon cable slot came find reconnect ribbon cable remove tape backing connect ribbon make sure push way push black clamp remove tape backing align screen find dimension stick press edge tablet seat tapebr reinstall silver screw take outbr press case go way againbr reinstall screw powervolume button sidebr use pinneedle hit reset button powervolume button side tablet reset screen recognize touch input, 0.2609, 4]]"
B00SK55TDA,[0.6814],[2],"[[phone, case, protect, phone, iphone, fine, think, color, picture, believe, receive, lighter, pink, slippery, slip, hand, easilyit, get, serve, purpose, phone, protector]]","[[phone case protect phone iphone fine think color picture believe receive lighter pink slippery slip hand easilyit get serve purpose phone protector, 0.6814, 2]]"
B00TD3N214,[0.9201],[4],"[[ok, someone, direct, real, instruction, feel, idiot, im, go, ask, question, give, idea, savvyness, lack, phone, iphone, dont, set, virgin, mobile, provider, month, plan, unlimited, data, phone, minsmonth, go, overbr, br, ok, hand, watch, tb, light, keypad, card, ho, package, sign, plan, service, sim, card, ho, insert, watch, get, phone, number, watch, text, watch, receive, gps, location, understand, relationship, sim, card, phone, service, phone, guardian, phone, someone, help, thank, excite, get, work]]","[[ok someone direct real instruction feel idiot im go ask question give idea savvyness lack phone iphone dont set virgin mobile provider month plan unlimited data phone minsmonth go overbr br ok hand watch tb light keypad card ho package sign plan service sim card ho insert watch get phone number watch text watch receive gps location understand relationship sim card phone service phone guardian phone someone help thank excite get work, 0.9201, 4]]"
B00TECWSA0,"[0.9066, 0.0, -0.2716]","[4, 5, 1]","[[disappoint, case, suppose, come, film, peel, use, none, scratch, case, tell, use, someone, send, ready, case, ill, venture, buy], [parfait], [case, slick, protects, phone, reason, didnt, give, star, air, bubble, create, side, none, case, ive, purchase, try]]","[[disappoint case suppose come film peel use none scratch case tell use someone send ready case ill venture buy, 0.9066, 4], [parfait, 0.0, 5], [case slick protects phone reason didnt give star air bubble create side none case ive purchase try, -0.2716, 1]]"
B00TQYF9EI,[0.9483],[4],"[[review, attempt, review, item, say, review, receive, unit, use, time, happy, fairness, didnt, dislike, ask, return, turn, decision, anyway, use, trip, oklahoma, mississippi, gulf, coast, go, way, returning, left, program, route, say, make, turn, etc, recalculation, recalculate, route, direction, head, intend, travel, return, trip, drive, thru, dallas, couldnt, well, advise, lane, exit, plenty, time, get, proper, lane, view, unit, listen, direction, course, view, road, approach, intersection, exit, ie, leave, ie, dallas, didnt, take, eye, road, get, direction, recommend, unit, purchase, follow, comment, buy, cd, slot, mount, holder, work, location, quick, view, stay, vibration, failure, stay, place, caution, cd, mount, holder, work, unit, thick, drawback, car, block, clock, backup, camera, view, instal, opinion, beat, market, gps, cost, factory, instal, information, provide, car, factory, instal, gps, system, manufacturerdealerships, want, update, couple, year, unithas, map, update]]","[[review attempt review item say review receive unit use time happy fairness didnt dislike ask return turn decision anyway use trip oklahoma mississippi gulf coast go way returning left program route say make turn etc recalculation recalculate route direction head intend travel return trip drive thru dallas couldnt well advise lane exit plenty time get proper lane view unit listen direction course view road approach intersection exit ie leave ie dallas didnt take eye road get direction recommend unit purchase follow comment buy cd slot mount holder work location quick view stay vibration failure stay place caution cd mount holder work unit thick drawback car block clock backup camera view instal opinion beat market gps cost factory instal information provide car factory instal gps system manufacturerdealerships want update couple year unithas map update, 0.9483, 4]]"
B00TR72I16,[0.1045],[5],"[[nicer, picture, hole]]","[[nicer picture hole, 0.1045, 5]]"
B00U2XZGHW,"[0.8552, 0.99, 0.6249]","[4, 4, 5]","[[case, feel, part, phone, doesnt, move, slide, budge, pinch, anything, fit, lille, allows, use, edge, part, screen, hand, slim, im, happy, purchase, subtract, star, color, im, crazy, color, color, option, model, phone, model, color, phone, model, comfort, safety, cosmetic, recommend, product], [fit, great, protects, phone, great, side, ear, phone, jack, dont, case, require, case, remove, operate], [product, fast, service]]","[[case feel part phone doesnt move slide budge pinch anything fit lille allows use edge part screen hand slim im happy purchase subtract star color im crazy color color option model phone model color phone model comfort safety cosmetic recommend product, 0.8552, 4], [fit great protects phone great side ear phone jack dont case require case remove operate, 0.99, 4], [product fast service, 0.6249, 5]]"
B00UH3L82Y,"[-0.7096, 0.933, -0.5277, 0.3353, 0.4019, -0.3412, 0.0, 0.5499, 0.9022, 0.4215, 0.2382, 0.765, 0.891, 0.3724, 0.2608, -0.3824, 0.3612, 0.5284, -0.4033]","[3, 5, 1, 5, 1, 1, 1, 2, 5, 5, 4, 5, 5, 1, 1, 2, 4, 4, 5]","[[take, th, try, get, perfect, excellent, seller], [cover, glass, part, include, round, edge, peel, corner, edge, time, go, week, outdoor, activity, guess, month, going, buy, know], [keep, screen, protect, preserve, doesnt, functionality, require, patience], [abd, easy, stick], [follow, online, video, instruction, look, place, phone, allow, overnight, week, begin, peel, corner, routine, wear, recommend, poor, wear], [get, bubble], [order], [think, review, fail, press, submit, event, great, product, anyone, watch, video, follow, instruction, letter, change, make, apply, solution, shield, drip, position, screen, wait, minute, side, become, overdone, solution, smooth, side, surprise, look, cover, screen, went, bicycle, ride, know, suppose, wait, overnight, hey, liftno, problem, ride, watch, overnight, couple, bubble, dissipate, product], [goodfits], [give, star, corner, difficult, couple, week, use, film, material, thick, responsive, provide, level, protection], [work, destroy, edge, face, armorshield], [follow, instruction, include, letting, sit, hour, power, design, flaw, corner, sit, corner, anything, brush, wear, shirt, come, pack, sam, thing, doesnt, fit, contour], [shield, make, sound, solution, spray, shield, make, slippery, watch, curve, edge, watch, protector, look, stay, keep, slip, watch, peel, threw], [perfect, screen, protector, installation], [install, follow, instructionsvideo, look, day, apply, forget, testify, protectiveness, sure, make, hell, lot, less, watch], [nice], [stay, product, price], [cover, go, direct, issue, leave, time, dry, reason, star, week, begin, get, bubble, underneath, try, set, result, look, type, cover, rugged, armor, protect, case], [protects, apple, watch, scratch, product, use, screen, protector, month, love]]","[[take th try get perfect excellent seller, -0.7096, 3], [cover glass part include round edge peel corner edge time go week outdoor activity guess month going buy know, 0.933, 5], [keep screen protect preserve doesnt functionality require patience, -0.5277, 1], [abd easy stick, 0.3353, 5], [follow online video instruction look place phone allow overnight week begin peel corner routine wear recommend poor wear, 0.4019, 1], [get bubble, -0.3412, 1], [order, 0.0, 1], [think review fail press submit event great product anyone watch video follow instruction letter change make apply solution shield drip position screen wait minute side become overdone solution smooth side surprise look cover screen went bicycle ride know suppose wait overnight hey liftno problem ride watch overnight couple bubble dissipate product, 0.5499, 2], [goodfits, 0.9022, 5], [give star corner difficult couple week use film material thick responsive provide level protection, 0.4215, 5], [work destroy edge face armorshield, 0.2382, 4], [follow instruction include letting sit hour power design flaw corner sit corner anything brush wear shirt come pack sam thing doesnt fit contour, 0.765, 5], [shield make sound solution spray shield make slippery watch curve edge watch protector look stay keep slip watch peel threw, 0.891, 5], [perfect screen protector installation, 0.3724, 1], [install follow instructionsvideo look day apply forget testify protectiveness sure make hell lot less watch, 0.2608, 1], [nice, -0.3824, 2], [stay product price, 0.3612, 4], [cover go direct issue leave time dry reason star week begin get bubble underneath try set result look type cover rugged armor protect case, 0.5284, 4], [protects apple watch scratch product use screen protector month love, -0.4033, 5]]"
B00UJBSFPM,[0.4404],[5],[[thanks]],"[[thanks, 0.4404, 5]]"
B00UPNTSS2,[-0.1815],[4],"[[quality, lot, fingerprint, navigation, button, responsive]]","[[quality lot fingerprint navigation button responsive, -0.1815, 4]]"
B00URA1CFK,"[0.9699, 0.0387, 0.3612, 0.4678, 0.4215, 0.2263, 0.4404, 0.9062]","[4, 3, 5, 5, 5, 5, 5, 5]","[[sound, interference, arm, leg, move], [buy, husband, look, wireless, bluetooth, headphone, say, range, sound, quality, great, value, less], [week, use, work, work, night, shift, cooler, shift, pair, sound, loud, noise, cancel, cant, fan, cooler, half, volume, phone, max, volume, turn, volume, headphone, get, louderbr, br, second, connect, listen, music, there, stutter, go, second, stay, ear, couple, time, sound, go, turn, volume, dont, know, battery, run, lowwas, hour, use, hour, thats, product, isbr, br, way, wasnt, deal, pay, buck], [tell, pair, use, one], [worth, penny], [take, purchase, wireless, earbuds, im, set, sound, quality, slip, ear, jog, ear, plug, include, control, take, bit, get, use, think, control, cord, use, overall, im, happy, purchase], [start, use, seem, time, stay], [thank]]","[[sound interference arm leg move, 0.9699, 4], [buy husband look wireless bluetooth headphone say range sound quality great value less, 0.0387, 3], [week use work work night shift cooler shift pair sound loud noise cancel cant fan cooler half volume phone max volume turn volume headphone get louderbr br second connect listen music there stutter go second stay ear couple time sound go turn volume dont know battery run lowwas hour use hour thats product isbr br way wasnt deal pay buck, 0.3612, 5], [tell pair use one, 0.4678, 5], [worth penny, 0.4215, 5], [take purchase wireless earbuds im set sound quality slip ear jog ear plug include control take bit get use think control cord use overall im happy purchase, 0.2263, 5], [start use seem time stay, 0.4404, 5], [thank, 0.9062, 5]]"
B00USOU8JQ,[-0.431],[2],"[[come, rubber, case, side, forget, mention, moon, forget, yes, okay, design, get, crack, take, shame]]","[[come rubber case side forget mention moon forget yes okay design get crack take shame, -0.431, 2]]"
B00UZRLDX6,[0.1531],[2],"[[look, nice, protection, phone]]","[[look nice protection phone, 0.1531, 2]]"
B00V2S9W7G,[0.1714],[2],"[[super, cute, protect, phone, case, crack, couple, corner, doesnt, phone, phone, get]]","[[super cute protect phone case crack couple corner doesnt phone phone get, 0.1714, 2]]"
B00V3A9DWC,[0.0],[4],[[]],"[[, 0.0, 4]]"
B00V8ZNKYE,[0.0],[3],"[[make, screen, protector]]","[[make screen protector, 0.0, 3]]"
B00VA06LQG,[0.6369],[5],"[[review, ive, do, love, carry, purse]]","[[review ive do love carry purse, 0.6369, 5]]"
B00VB2QNPC,[0.765],[4],"[[nifty, cover, brother, love]]","[[nifty cover brother love, 0.765, 4]]"
B00VDORTWY,"[0.9389, -0.1027]","[5, 3]","[[time, keep, ear], [receive, headset, promise, charge, program, wear, purchase, say, good, buy]]","[[time keep ear, 0.9389, 5], [receive headset promise charge program wear purchase say good buy, -0.1027, 3]]"
B00VE0DPO8,[0.8481],[4],"[[work, great, phone, make, phone, work, run, n, listen, music]]","[[work great phone make phone work run n listen music, 0.8481, 4]]"
B00VF0ZNC4,[0.7574],[5],"[[hold, window]]","[[hold window, 0.7574, 5]]"
B00VY35YVC,[0.0],[2],"[[side, separate, body]]","[[side separate body, 0.0, 2]]"
B00W2PP948,[-0.6551],[1],"[[disappoint, support, iphone, charge, ipad]]","[[disappoint support iphone charge ipad, -0.6551, 1]]"
B00W412DJ4,"[0.6249, 0.964, 0.7003]","[5, 5, 5]","[[nice, screen, protector, feel, fingertip, purchase, thick, feel, substance, install], [price, ship], [put, protection, screen]]","[[nice screen protector feel fingertip purchase thick feel substance install, 0.6249, 5], [price ship, 0.964, 5], [put protection screen, 0.7003, 5]]"
B00W6NQC5G,[0.854],[5],"[[look, feel, amaze, adapter, come, apart, hour, reviewer, describesshows, picture, turn, screw, come, band, adapter, come, use, problem, week, amaze, deal]]","[[look feel amaze adapter come apart hour reviewer describesshows picture turn screw come band adapter come use problem week amaze deal, 0.854, 5]]"
B00WHYNI8S,"[0.4019, 0.9287, 0.7096, 0.6249]","[5, 5, 5, 5]","[[wish, purchase, sooner], [thing, volume, crap, loud, drowns, exist, radio, station, thats, sure, fuz, noise, playback, nothing, compare, fm, transmitter, cord, cost, playback, work, package, wack, device, come, shape, simple, use, great, buy, youre, look, fm, transmitter], [order, work], [buy, recommend]]","[[wish purchase sooner, 0.4019, 5], [thing volume crap loud drowns exist radio station thats sure fuz noise playback nothing compare fm transmitter cord cost playback work package wack device come shape simple use great buy youre look fm transmitter, 0.9287, 5], [order work, 0.7096, 5], [buy recommend, 0.6249, 5]]"
B00WJE7EVS,"[0.7645, 0.6486, 0.6249, 0.765, 0.788, 0.5719]","[3, 5, 5, 5, 5, 5]","[[item], [product, thank], [fiance, use, p, charge, controller, sit, worrying, yank, chord, perfect, issue, cent], [snap, phone, nice, tight, notice, cable, charge, phone, quicker, factory, cable], [ft, issue, plug, plug, phone, plug, wiggle, doesnt, keep, charge], [work, great, wire, cover, cloth, type, resists, tangle]]","[[item, 0.7645, 3], [product thank, 0.6486, 5], [fiance use p charge controller sit worrying yank chord perfect issue cent, 0.6249, 5], [snap phone nice tight notice cable charge phone quicker factory cable, 0.765, 5], [ft issue plug plug phone plug wiggle doesnt keep charge, 0.788, 5], [work great wire cover cloth type resists tangle, 0.5719, 5]]"
B00WNE1226,[0.4215],[2],"[[nice, case, month, discolor, replace]]","[[nice case month discolor replace, 0.4215, 2]]"
B00WRIE1ZI,[0.6249],[5],[[cover]],"[[cover, 0.6249, 5]]"
B00WRUC9LY,[0.9309],[5],"[[buy, brother, he, freshman, nc, state, get, love, otterbox, great, quality, buy]]","[[buy brother he freshman nc state get love otterbox great quality buy, 0.9309, 5]]"
B00WSB64PO,[-0.6381],[1],"[[item, d, item, recommend, item, say]]","[[item d item recommend item say, -0.6381, 1]]"
B00WT7OH6U,[0.6697],[5],"[[product, package, advertise, please, purchase]]","[[product package advertise please purchase, 0.6697, 5]]"
B00WTWGDIA,[0.74],[5],"[[buy, kyocera, hydro, icon, case, install, come, headphone, jack, hole, top, isnt, headphone, dont, use, anyway, work, anything, insert, isnt, fat]]","[[buy kyocera hydro icon case install come headphone jack hole top isnt headphone dont use anyway work anything insert isnt fat, 0.74, 5]]"
B00WXNYR8I,[0.9822],[5],"[[nice, case, protects, drop, phone, phone, pop, case, get, damage, case, back, kickstand, allow, prop, phone, phone, place, pull, case, time, need, change, microsd, card, pull, battery, reset, havent, apply, screen, saver, look, screen, saver, ive, apply, device, expect, function, happy, purchase, recommend, product, fellow, lg, leon, lte, owner]]","[[nice case protects drop phone phone pop case get damage case back kickstand allow prop phone phone place pull case time need change microsd card pull battery reset havent apply screen saver look screen saver ive apply device expect function happy purchase recommend product fellow lg leon lte owner, 0.9822, 5]]"
B00WY7EDEG,[0.765],[5],"[[phone, case, great, recommend]]","[[phone case great recommend, 0.765, 5]]"
B00XEX4KCE,[0.8555],[5],[[fit]],"[[fit, 0.8555, 5]]"
B00XMQI1Q4,"[0.8944, 0.4767]","[4, 5]","[[stiffer, standard, im, sure, part, light, work, allows, sync, computer], [enjoy, look, product, compatibility, issue, work]]","[[stiffer standard im sure part light work allows sync computer, 0.8944, 4], [enjoy look product compatibility issue work, 0.4767, 5]]"
B00XNXIDX2,[0.7184],[5],"[[keep, information, close]]","[[keep information close, 0.7184, 5]]"
B00XT2ZG9Q,"[0.3252, 0.7351, 0.249, -0.3257]","[1, 4, 3, 4]","[[need, centimeter, wider, perfect], [quality, good, save, wife, iphone, get, screen, damage, drop, phone], [dont, waste, money, screen, protector, less, week, drop, phone, iphone, screen, crack], [come, cover, entire, front, phone, screen, home, button, speaker, cut, slim, fit, screen, ]]","[[need centimeter wider perfect, 0.3252, 1], [quality good save wife iphone get screen damage drop phone, 0.7351, 4], [dont waste money screen protector less week drop phone iphone screen crack, 0.249, 3], [come cover entire front phone screen home button speaker cut slim fit screen , -0.3257, 4]]"
B00XZWQZX6,[0.9097],[5],"[[receive, case, yesterday, impress, concern, base, price, please, case, fit, seem, problem, protect, phone, use, awhile, update, review, let, everyone, know, hold]]","[[receive case yesterday impress concern base price please case fit seem problem protect phone use awhile update review let everyone know hold, 0.9097, 5]]"
B00Y433PVA,[0.9288],[5],"[[samsung, galaxy, note, fit, phone, love, color, hold, dont, worry, slide, arm]]","[[samsung galaxy note fit phone love color hold dont worry slide arm, 0.9288, 5]]"
B00YCQ1OV2,[0.9571],[4],"[[alternative, pricey, apple, version, week, love, adjust, fit, work, gym]]","[[alternative pricey apple version week love adjust fit work gym, 0.9571, 4]]"
B00YL0EKWE,"[0.6597, 0.6369, 0.701, 0.6808, 0.6249, 0.6249, 0.6597, -0.5761, 0.9396, 0.9535, 0.4215]","[5, 4, 5, 5, 5, 5, 5, 1, 5, 4, 2]","[[case, great, value, fit, look, explore, quick, circle, apps, sure, add, functionality, time, tend, cover, use, phone, try, operate, circle, wireless, charge, bit, hit, miss, occasion, appear, work, phone, charge, morning, seems, need, align, charge, station, sure, issue, case, charger, give, price, excellent, purchase], [quality, case, work, wireless, charge, case, fit, look, im, use, acker, powerport, qi, wireless, charger, issue], [fit, glove, spent, day, look, case, phone, want, leather, find, circle, purchase, wireless, sticker, yootech, happy, want, something, protect, screen, know, buy, order, yootech, disappoint, thank], [thank, dealing, good], [amaze, sleek, stylish, look, bought, wireless, charger, charge, lay, strain, unplug, charger, morning, lie, bed, dont, doesnt, sell, phone, begin, perfect], [case], [case, work, fine, use, yootech, wireless, charge, stand, problem, charge, phone, hour, pattern, rub, case, month, case, lot, smoother, nonetheless, case, look, work], [construction, quality, seem, ok, phone, replacement, bit, smallbr, br, order, case, asin, byninm, neither, fit], [issue, turn, circle, apps, instal, case, battery, drain, twice, fast, end, turn, circle, apps, kind, make, case, case, hole, second, wireless, charge, doesnt, work, motorola, watch, qi, charge, pad, watch, charge, fine, case, doesnt, hey, look, nice], [case, arrive, work, lg, wireless, charger, case, look, keep, phone, slim, side, pant, pocket], [work, great, g, add, qi, antenna, phone, fold, camera, lens, use, standtripod]]","[[case great value fit look explore quick circle apps sure add functionality time tend cover use phone try operate circle wireless charge bit hit miss occasion appear work phone charge morning seems need align charge station sure issue case charger give price excellent purchase, 0.6597, 5], [quality case work wireless charge case fit look im use acker powerport qi wireless charger issue, 0.6369, 4], [fit glove spent day look case phone want leather find circle purchase wireless sticker yootech happy want something protect screen know buy order yootech disappoint thank, 0.701, 5], [thank dealing good, 0.6808, 5], [amaze sleek stylish look bought wireless charger charge lay strain unplug charger morning lie bed dont doesnt sell phone begin perfect, 0.6249, 5], [case, 0.6249, 5], [case work fine use yootech wireless charge stand problem charge phone hour pattern rub case month case lot smoother nonetheless case look work, 0.6597, 5], [construction quality seem ok phone replacement bit smallbr br order case asin byninm neither fit, -0.5761, 1], [issue turn circle apps instal case battery drain twice fast end turn circle apps kind make case case hole second wireless charge doesnt work motorola watch qi charge pad watch charge fine case doesnt hey look nice, 0.9396, 5], [case arrive work lg wireless charger case look keep phone slim side pant pocket, 0.9535, 4], [work great g add qi antenna phone fold camera lens use standtripod, 0.4215, 2]]"
B00YQGFY8C,[0.7906],[4],"[[soundgood, fitand, easy, use]]","[[soundgood fitand easy use, 0.7906, 4]]"
B00YX7Y3G8,"[0.6249, -0.9427]","[5, 1]","[[work, great, havent, find, issue, product], [wall, quick, charger, home, think, getting, choe, quick, charge, car, disappoint, phone, plug, phone, notify, charger, plug, charge, thought, show, charge, drove, home, min, drive, phone, charge, fast, charge, amp, port, speed, think, phone, problem, think, samebr, br, go, inside, house, pull, wall, quick, charger, plug, phone, bam, say, connect, sec, say, charge, minute, go, br, br, charger, cheap, hassle, return, thing, drive, lexus, cost, gasoline, thing, alone, im, write, review, let, others, know, buy]]","[[work great havent find issue product, 0.6249, 5], [wall quick charger home think getting choe quick charge car disappoint phone plug phone notify charger plug charge thought show charge drove home min drive phone charge fast charge amp port speed think phone problem think samebr br go inside house pull wall quick charger plug phone bam say connect sec say charge minute go br br charger cheap hassle return thing drive lexus cost gasoline thing alone im write review let others know buy, -0.9427, 1]]"
B00Z5XVXQ2,[0.7496],[5],"[[price, get, lotbr, br, battery, duration, ia, goodbr, protector, doesnt, get, scratchesbr, get, lemmon, tank, case, hold, zerolemmon, battery, extend, battery, ptsbr, cheap, good, quality, everything, fitsbr, br, pt]]","[[price get lotbr br battery duration ia goodbr protector doesnt get scratchesbr get lemmon tank case hold zerolemmon battery extend battery ptsbr cheap good quality everything fitsbr br pt, 0.7496, 5]]"
B00ZC84AS8,[0.3304],[1],"[[get, couple, day, instal, mediumlength, trip, span, day, night, condition, shootingbr, br, goodbr, cheapbr, easy, installbr, power, cord, snake, way, windshield, trim, center, consolebr, br, mehbr, sound, quality, isnt, great, unit, seem, zero, filter, alternator, noise, there, constant, whinebr, lcd, good, aim, thing, set, option, jobbr, br, badbr, video, great, look, upsampled, p, p, compression, engine, leave, video, blockybr, lens, wide, use, exterior, interior, dash, cam, degree, lens, degree, advertisedbr, shut, there, option, set, thatbr, mention, video, quality, yetbr, br, camera, bill, p, video, capture, look, p, upsampled, video, save, minute, avi, file, fine, quality, addition, poor, resolution, jpeg, save, quality, angle, lens, problem, wideangle, lens, attach, windshield, point, cabin, see, inner, edge, front, rest, framebr, br, mean, ill, try, return, hunk, falselyadvertised, junkbr, br, attach, image, unretouched, screenshots, take, video, cam, note, nd, image, cant, read, license, plate, car, less, away]]","[[get couple day instal mediumlength trip span day night condition shootingbr br goodbr cheapbr easy installbr power cord snake way windshield trim center consolebr br mehbr sound quality isnt great unit seem zero filter alternator noise there constant whinebr lcd good aim thing set option jobbr br badbr video great look upsampled p p compression engine leave video blockybr lens wide use exterior interior dash cam degree lens degree advertisedbr shut there option set thatbr mention video quality yetbr br camera bill p video capture look p upsampled video save minute avi file fine quality addition poor resolution jpeg save quality angle lens problem wideangle lens attach windshield point cabin see inner edge front rest framebr br mean ill try return hunk falselyadvertised junkbr br attach image unretouched screenshots take video cam note nd image cant read license plate car less away, 0.3304, 1]]"
B00ZPFPBD6,[0.7893],[5],"[[fit, verizon, kyocera, rugged]]","[[fit verizon kyocera rugged, 0.7893, 5]]"
B00ZQ9BE4Q,[0.1779],[4],"[[instruction, howwhen, use, sticker, wipe, include, protector, install, dust, protector, time]]","[[instruction howwhen use sticker wipe include protector install dust protector time, 0.1779, 4]]"
B00ZR7K95M,[0.8399],[5],"[[quality, make, wife, love, edge, pull, blouse, greate, case]]","[[quality make wife love edge pull blouse greate case, 0.8399, 5]]"
B00ZSKU066,"[0.0, 0.8481]","[1, 5]","[[price, arrive, work, case], [protector, crack, dayswtf]]","[[price arrive work case, 0.0, 1], [protector crack dayswtf, 0.8481, 5]]"
B00ZYF7MHA,[0.7947],[5],"[[duty, case, rubber, part, thick, give, impact, resistant, fake, diamond, love]]","[[duty case rubber part thick give impact resistant fake diamond love, 0.7947, 5]]"
B00ZZEFKQU,[0.9245],[4],"[[expect, watch, tool, make, sure, screw, lug, bar, hold, band, place, tight, fit, supple, leather, leather, look, apple, version, version, jet, brown, band, length, sure, fit, fine, wrist, please, point, cant, give, star, say, price, steal, pay, apple, band]]","[[expect watch tool make sure screw lug bar hold band place tight fit supple leather leather look apple version version jet brown band length sure fit fine wrist please point cant give star say price steal pay apple band, 0.9245, 4]]"
B01072L0Z4,[0.8519],[5],"[[case, closeurewhich, case, didnt, provide, protection, look]]","[[case closeurewhich case didnt provide protection look, 0.8519, 5]]"
B0107I8QVY,[0.6682],[5],"[[come, love, case, buy]]","[[come love case buy, 0.6682, 5]]"
B010BX7IK0,[0.1406],[2],"[[lot, research, cable, buy, amazon, greatest, rating, buy, week, use, charger, quit, work, work, fine, bit, receive, item, quit, work]]","[[lot research cable buy amazon greatest rating buy week use charger quit work work fine bit receive item quit work, 0.1406, 2]]"
B010FD05N8,"[0.8519, -0.8485, -0.3818, -0.431]","[4, 1, 1, 1]","[[press, button, screen, interfere, screen, sensitivity, great, screen, protector, overall, recommend], [fit, screen, try, pressure, glass, stick, broke], [way, look, phone, problem, press, edge, texting, whatever, edge, phone, decide, take], [look, good, problem, receive, itit, crack]]","[[press button screen interfere screen sensitivity great screen protector overall recommend, 0.8519, 4], [fit screen try pressure glass stick broke, -0.8485, 1], [way look phone problem press edge texting whatever edge phone decide take, -0.3818, 1], [look good problem receive itit crack, -0.431, 1]]"
B010G6MDHK,[0.8553],[5],"[[happy, case, feel, bumper, give, phone, cushioning, fall]]","[[happy case feel bumper give phone cushioning fall, 0.8553, 5]]"
B010GBRTSS,[0.7717],[5],"[[quality, design, safe, drop, protection, amaze, price, lookingbr, thats, reason, buy, color, choice]]","[[quality design safe drop protection amaze price lookingbr thats reason buy color choice, 0.7717, 5]]"
B010MRHT6S,[0.8993],[5],"[[case, ive, keep, day, great, value]]","[[case ive keep day great value, 0.8993, 5]]"
