9984575489,[0.3612],[1],"[[sctraches, side, use, year]]","[[sctraches side use year, 0.3612, 1]]"
B00XKHJREK,[0.8442],[5],"[[th, htc, smartphone, gotta, say, keep, surprise, phone, well, expect]]","[[th htc smartphone gotta say keep surprise phone well expect, 0.8442, 5]]"
B00XLNUAU8,[0.5719],[5],"[[perfect, case, fast, shipment]]","[[perfect case fast shipment, 0.5719, 5]]"
B00XM73IS4,[0.9286],[5],"[[perfect, put, take, color, bold]]","[[perfect put take color bold, 0.9286, 5]]"
B00XN2EG0C,[0.4927],[5],"[[fast, shipping]]","[[fast shipping, 0.4927, 5]]"
B00XTHARLI,[0.8194],[5],"[[surprise, gem, glad, use, power, go]]","[[surprise gem glad use power go, 0.8194, 5]]"
B00XZA1KGK,[0.6096],[5],"[[case, come, expect, slim, room, couple, card, dont, bring, whole, purse]]","[[case come expect slim room couple card dont bring whole purse, 0.6096, 5]]"
B00XZNOPLE,[0.5719],[5],"[[replacement, pen, wife, love]]","[[replacement pen wife love, 0.5719, 5]]"
B00Y7A574I,"[-0.1446, -0.6486, 0.0, 0.9042]","[1, 5, 5, 5]","[[jobglad, buy], [broke, week, plastic, one, way, well, bought, werent, worth, money], [apply, look, love, doesnt, show, finger, print, movement, screen, navigate, smooth], [product, apply, cover, end, end, problem, bubble, slip, apply, problem]]","[[jobglad buy, -0.1446, 1], [broke week plastic one way well bought werent worth money, -0.6486, 5], [apply look love doesnt show finger print movement screen navigate smooth, 0.0, 5], [product apply cover end end problem bubble slip apply problem, 0.9042, 5]]"
B00Y839YMU,"[0.9401, 0.8591, 0.3384, 0.9001, 0.0, 0.25, 0.0, 0.6249, 0.6652, 0.476, 0.5719, 0.807, 0.5574, -0.5823, 0.6249, 0.2732, 0.6249, 0.8519, 0.813, 0.8519, 0.4927, 0.6249, -0.6786, 0.7684, 0.8142, 0.6249, -0.6635, 0.8519, 0.6249, 0.9147, 0.0, 0.8885, 0.0]","[4, 5, 5, 5, 5, 5, 1, 5, 3, 4, 5, 5, 5, 1, 4, 4, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[[work, great, arrive, quick], [qi, charger, work, fraction, cost, oem, brand, ive, disappoint, anker], [thing, rock], [product, quality], [charge, galaxy, spigen, slim, armor, case, fine, great, price, downside, doesnt, seem, work, put, card, phone, case, use, phone, car, magnet, stand, see, screengps, drive, knock, point, something, wish, work, word, advertise, lot, samsung, verizon, model, test, longevity, time, tell], [get, hour, charger, go], [receive, love, supplier, say, knock, bit, disappointment, finding, phone, need, place, order, start, charge, use, nexus, thought, lot, convenient, place, phone, seems, fair, amount, move, phone, time, find, sweet, spot, order, start, charge, try, case, didnt, matter, edit, note, use, muscle, memory, begin, kick, seem, lot, place, phone, line, bit, learn, curve, beginning, charge, compare, charge, cord, provide, motorola, nexus, cant, compare, deal, fyi, others], [work, great], [item], [use, nightstand, charge, nexus, sleep, work, love, item], [work], [excellent], [receive, replacement, part, work, perfect, quality, customer, attentiveness], [handy, work, take, error, know, spot, charging, get, youre, good], [work, great, edge], [expect, anker, work, charge, super, handy, desk, day, charge, issue], [didnt, work, nexus, try, position, phone, case, puck, pad, qi, charger, work, puck, phablet, size, nexus, imho, charger, led, indicate, charge, phone, didnt, indicate, charge, continue, drain, im, keep, work, moto, smartwatch], [work, motorola, turbo, phone, recommend], [charging, base, work, sit, phone, charge, base, getting, phone, exact, position, start, charge], [come, fastgreat, product, describedvery, fast, chargingrecommended], [work, make, phone, warm, nexus, im, fan, anker, product, ok, want, maximize, battery, life, avoid, excess, battery, heat, recomend], [awesome, fast], [work, great], [useless, phone, keep, get, charging, error, doesnt, matter, plug, outlet, wire, use, pad, wireless, charge, work, fine, phone], [charger, come, foot, usb, charge, cable, quick, charge, youre, look, wireless, charger, look, habit, talk, asleep, phone, bed, anymore, place, charger, nightstand, distraction], [charge, nexus, slower, regular, plugin, job, convenient, everydaybr, charge, im, hurry, seem, make], [pick, note, want, qi, charger, home, use, anker, qi, charger, cheaper, rubberize, insert, detail, lead, problem, charge, phone, none, center, issue, say, besides, job, issue, know, releasing, quick, charge, version, x, price, sure, worth], [arrive, super, fast, work, advertise, quick, process, im, happy, customer], [say], [work, great], [work, great, blackberry, z, love], [get, galaxy, work, phone, need, center, pad, phone, havent, problem, line, seem, charge, worry, phone, fall, yanking, usb, cordport, bottom, nonslip, nice, compact, size], [work, center, phone, confirm, light, change, red]]","[[work great arrive quick, 0.9401, 4], [qi charger work fraction cost oem brand ive disappoint anker, 0.8591, 5], [thing rock, 0.3384, 5], [product quality, 0.9001, 5], [charge galaxy spigen slim armor case fine great price downside doesnt seem work put card phone case use phone car magnet stand see screengps drive knock point something wish work word advertise lot samsung verizon model test longevity time tell, 0.0, 5], [get hour charger go, 0.25, 5], [receive love supplier say knock bit disappointment finding phone need place order start charge use nexus thought lot convenient place phone seems fair amount move phone time find sweet spot order start charge try case didnt matter edit note use muscle memory begin kick seem lot place phone line bit learn curve beginning charge compare charge cord provide motorola nexus cant compare deal fyi others, 0.0, 1], [work great, 0.6249, 5], [item, 0.6652, 3], [use nightstand charge nexus sleep work love item, 0.476, 4], [work, 0.5719, 5], [excellent, 0.807, 5], [receive replacement part work perfect quality customer attentiveness, 0.5574, 5], [handy work take error know spot charging get youre good, -0.5823, 1], [work great edge, 0.6249, 4], [expect anker work charge super handy desk day charge issue, 0.2732, 4], [didnt work nexus try position phone case puck pad qi charger work puck phablet size nexus imho charger led indicate charge phone didnt indicate charge continue drain im keep work moto smartwatch, 0.6249, 5], [work motorola turbo phone recommend, 0.8519, 5], [charging base work sit phone charge base getting phone exact position start charge, 0.813, 5], [come fastgreat product describedvery fast chargingrecommended, 0.8519, 5], [work make phone warm nexus im fan anker product ok want maximize battery life avoid excess battery heat recomend, 0.4927, 5], [awesome fast, 0.6249, 5], [work great, -0.6786, 5], [useless phone keep get charging error doesnt matter plug outlet wire use pad wireless charge work fine phone, 0.7684, 1], [charger come foot usb charge cable quick charge youre look wireless charger look habit talk asleep phone bed anymore place charger nightstand distraction, 0.8142, 5], [charge nexus slower regular plugin job convenient everydaybr charge im hurry seem make, 0.6249, 5], [pick note want qi charger home use anker qi charger cheaper rubberize insert detail lead problem charge phone none center issue say besides job issue know releasing quick charge version x price sure worth, -0.6635, 5], [arrive super fast work advertise quick process im happy customer, 0.8519, 5], [say, 0.6249, 5], [work great, 0.9147, 5], [work great blackberry z love, 0.0, 5], [get galaxy work phone need center pad phone havent problem line seem charge worry phone fall yanking usb cordport bottom nonslip nice compact size, 0.8885, 5], [work center phone confirm light change red, 0.0, 5]]"
B00Y9S2O3A,[0.0],[5],"[[hi, quality, case]]","[[hi quality case, 0.0, 5]]"
B00YNTHYLC,[0.9601],[5],"[[seller, screen, protector, phone, buy, seller, ebay, quality, quality, cut, perfect, fit, couldnt, bubble, there, room, work, get, try, quality, superb, recommend, seller]]","[[seller screen protector phone buy seller ebay quality quality cut perfect fit couldnt bubble there room work get try quality superb recommend seller, 0.9601, 5]]"
B00Z9ESIZQ,"[-0.3071, 0.2263, 0.0]","[1, 1, 2]","[[disappoint, screw, pop, use, work, order, brand], [work, twice, couldnt, sync, phone, ], [use, time, doesnt, work, anymore, br, nice, stick, happends]]","[[disappoint screw pop use work order brand, -0.3071, 1], [work twice couldnt sync phone , 0.2263, 1], [use time doesnt work anymore br nice stick happends, 0.0, 2]]"
B00ZBI19XI,[-0.6711],[1],"[[dont, take, chance, cheap, piece, crap, fork, microsoft, charger, thing, last, day, cut, price]]","[[dont take chance cheap piece crap fork microsoft charger thing last day cut price, -0.6711, 1]]"
B00ZPQ9L2C,[0.0382],[1],"[[dissapointed, product, cheap, go, buy, case, recommend, product, problem, seller]]","[[dissapointed product cheap go buy case recommend product problem seller, 0.0382, 1]]"
B00ZUTZMSG,[0.4404],[5],"[[thanks, pay, attention, advise, everyone, product]]","[[thanks pay attention advise everyone product, 0.4404, 5]]"
B00ZZFW9YK,[0.0],[1],[[work]],"[[work, 0.0, 1]]"
B010LA2CDQ,"[0.4215, 0.9186, 0.7184, 0.8297]","[5, 5, 5, 5]","[[awesome, product, worth, penny], [product, fair, price, excellent, design, quality, material, addition, apple, product], [expect, nice, fit, buy], [nice, look]]","[[awesome product worth penny, 0.4215, 5], [product fair price excellent design quality material addition apple product, 0.9186, 5], [expect nice fit buy, 0.7184, 5], [nice look, 0.8297, 5]]"
B010NNE0G8,"[0.4728, -0.0772, 0.2263]","[5, 3, 3]","[[nice, color, case, wallet, part, maybe, cause, time, tell], [sturdy, nice, case], [meh]]","[[nice color case wallet part maybe cause time tell, 0.4728, 5], [sturdy nice case, -0.0772, 3], [meh, 0.2263, 3]]"
B010PCU5IO,[-0.2755],[2],"[[edit, bose, head, phone, fit, headphone, open]]","[[edit bose head phone fit headphone open, -0.2755, 2]]"
B010Q8VE0U,[0.8658],[5],"[[help, grip, phone]]","[[help grip phone, 0.8658, 5]]"
B010WXS9PM,"[0.2716, 0.7351, 0.7501, 0.8268]","[5, 5, 5, 5]","[[case, gopro, perfect, camera, accessory, protect, weigh, travel], [construct, case, need, smaller, case, go, duty, hard, side, case, hold, mount, hold, essential, quick, grab, go, use, hero, black, edition, case], [gopro, accessory, need, case, keep, stuff, place, case, ive, see, try, recommend], [job, product, price]]","[[case gopro perfect camera accessory protect weigh travel, 0.2716, 5], [construct case need smaller case go duty hard side case hold mount hold essential quick grab go use hero black edition case, 0.7351, 5], [gopro accessory need case keep stuff place case ive see try recommend, 0.7501, 5], [job product price, 0.8268, 5]]"
B011FY1MZG,[0.2846],[5],"[[get, today, please, magnets, watch, problem]]","[[get today please magnets watch problem, 0.2846, 5]]"
B0120QF8L2,[0.6369],[5],"[[case, ship, expect]]","[[case ship expect, 0.6369, 5]]"
B013RZAJGE,"[0.9207, 0.9393]","[5, 5]","[[write, review, get, case, mail, minutes, compel, express, opinion, case, color, excellent, quality, work], [case, arrive, minute, im, use, lease, samsung, note, friday, case, arrive, follow, thursday, port, use, case, color, pocket, money, etc, license, slit, see, face, wish, slit, card, overall, case, job]]","[[write review get case mail minutes compel express opinion case color excellent quality work, 0.9207, 5], [case arrive minute im use lease samsung note friday case arrive follow thursday port use case color pocket money etc license slit see face wish slit card overall case job, 0.9393, 5]]"
B013XEVO04,"[0.6249, 0.7579, 0.7069, 0.0, 0.8402, 0.925]","[5, 5, 5, 5, 5, 5]","[[delivery, work], [service, cord, sturdy, clunky, one, end, attache, phone, case, iphone, plus, love], [arrive, describe], [say, work, fine, arrive, package], [super, quick, ship, product], [bought, cord, seller, cord, arrive, time, work, lifetime, warranty, cord, fail, week, cord, work]]","[[delivery work, 0.6249, 5], [service cord sturdy clunky one end attache phone case iphone plus love, 0.7579, 5], [arrive describe, 0.7069, 5], [say work fine arrive package, 0.0, 5], [super quick ship product, 0.8402, 5], [bought cord seller cord arrive time work lifetime warranty cord fail week cord work, 0.925, 5]]"
