3056514185,[0.0],[5],"[[el, futuro, baby, boy]]","[[el futuro baby boy, 0.0, 5]]"
B00T7DP9K2,[-0.0516],[1],"[[poor, range, short, battery, month, use, leave, bud, sound, work]]","[[poor range short battery month use leave bud sound work, -0.0516, 1]]"
B00T8Q9YBS,[0.7003],[5],"[[case, know, phone, protect, purchase, color, st, case, ive, purchase, company, wont, ive, get, case, w, blackberry, ive, own, company, case, good]]","[[case know phone protect purchase color st case ive purchase company wont ive get case w blackberry ive own company case good, 0.7003, 5]]"
B00TL4TAJI,[0.0],[1],[[expect]],"[[expect, 0.0, 1]]"
B00U7ZZBQ6,[-0.2755],[2],"[[didnt, fit, screen, display]]","[[didnt fit screen display, -0.2755, 2]]"
B00U8KSUIG,"[0.0, -0.4404, 0.0, 0.7096, 0.8807, 0.5859, 0.9201, 0.5719]","[5, 1, 5, 5, 5, 5, 5, 5]","[[phone, expect, work, argentina, nothing, say, love], [amaze, phone, recommendthis, seller], [lose, iphone, water, day, get, phone, film, daughter, pool, underwater, operating, system, notice, difference, compliment, picture, satisfaction, phone, star], [arrive], [phone, everything, smooth, camera, exceed, expectation, get, gear, vr, turn, phone, amaze, vr, kit], [excelent, ], [excellent], [describe]]","[[phone expect work argentina nothing say love, 0.0, 5], [amaze phone recommendthis seller, -0.4404, 1], [lose iphone water day get phone film daughter pool underwater operating system notice difference compliment picture satisfaction phone star, 0.0, 5], [arrive, 0.7096, 5], [phone everything smooth camera exceed expectation get gear vr turn phone amaze vr kit, 0.8807, 5], [excelent , 0.5859, 5], [excellent, 0.9201, 5], [describe, 0.5719, 5]]"
B00UBO11RG,"[0.8658, 0.895, -0.7783]","[5, 2, 1]","[[expect, pair, earphone, surprise], [buy, teenage, daughter, base, review, break, month, return, waste, money], [review, product, purchase, amazon, get, product, purchase, june, holding, test, headphone, glow, review, waste, time, week, stop, work, problem, want, talk, anyone, anyways, time, use, give, need, juice, beep, plug, give, rest, day, feed, return, nothing, radio, silence, im, technology, insecure, decide, fault, technology, fail, geek, squad, wanna, husband, teach, unplug, everything, start, day, feed, power, suck, red, light, glowing, day, nothing, try, im, insecure, tech, stupidity, ive, try, day, give, couple, day, apart, regroup, go, therapist, refuse, let, make, headphone, define, compassionate, human, manufacturer, dont, care, warranty, spend, time, quality, life, reach, fix, issue, make, time, get, game, review, hop, discover, perfect, product, pipe, dream, there, thing, perfect, headphone, ive, state, headphone, werent, sound, hour, set, phone, im, iphone, super, technophobe, hour, constant, use, become, bit, guess, im, try, say, take, chance, life, lostboo, hoo]]","[[expect pair earphone surprise, 0.8658, 5], [buy teenage daughter base review break month return waste money, 0.895, 2], [review product purchase amazon get product purchase june holding test headphone glow review waste time week stop work problem want talk anyone anyways time use give need juice beep plug give rest day feed return nothing radio silence im technology insecure decide fault technology fail geek squad wanna husband teach unplug everything start day feed power suck red light glowing day nothing try im insecure tech stupidity ive try day give couple day apart regroup go therapist refuse let make headphone define compassionate human manufacturer dont care warranty spend time quality life reach fix issue make time get game review hop discover perfect product pipe dream there thing perfect headphone ive state headphone werent sound hour set phone im iphone super technophobe hour constant use become bit guess im try say take chance life lostboo hoo, -0.7783, 1]]"
B00UCDATDI,"[0.2263, 0.7377, 0.802, 0.802, 0.0156]","[4, 1, 5, 5, 4]","[[case, good, nice], [case, look, something, noskid, surface], [nice, case, protection, someone, record, drop, fling, paisley, prettymakes, phone, look, lacey], [junk, super, thin, case, cover, phone, dont, waste, money]]","[[case good nice, 0.2263, 4], [case look something noskid surface, 0.7377, 1], [nice case protection someone record drop fling paisley prettymakes phone look lacey, 0.802, 5], [junk super thin case cover phone dont waste money, 0.802, 5], [, 0.0156, 4]]"
B00UFWA6S4,[0.4404],[5],"[[fit, serve, purpose, phone, protect, break, scratching, look, fancy, cover]]","[[fit serve purpose phone protect break scratching look fancy cover, 0.4404, 5]]"
B00UUKCLDO,"[-0.8381, 0.0, 0.5719, 0.4927, 0.0, 0.5267, 0.0]","[1, 5, 4, 5, 1, 5, 1]","[[product, purchase, buy, charger, kind], [dint, work], [say], [want, fast, charger, charger, dissapointed, purchase], [work, perfect], [delivery, charger, work], [item, work, work, hour, stop, charge, get, stop, work, werent, work, longer, hour, frustrate, product, purchase, seller]]","[[product purchase buy charger kind, -0.8381, 1], [dint work, 0.0, 5], [say, 0.5719, 4], [want fast charger charger dissapointed purchase, 0.4927, 5], [work perfect, 0.0, 1], [delivery charger work, 0.5267, 5], [item work work hour stop charge get stop work werent work longer hour frustrate product purchase seller, 0.0, 1]]"
B00V0ELBAS,"[0.765, 0.8519]","[5, 5]","[[quality, price], [case, arrive, promise]]","[[quality price, 0.765, 5], [case arrive promise, 0.8519, 5]]"
B00V4C3HU8,[-0.2755],[1],"[[picture, take, leave, glare, spot, shot, dont, recommend]]","[[picture take leave glare spot shot dont recommend, -0.2755, 1]]"
B00V4GBF1M,[-0.2144],[3],"[[guess, fault, break, connection, lead]]","[[guess fault break connection lead, -0.2144, 3]]"
B00V5HOCD8,"[0.0, 0.0, 0.7932, -0.4215, -0.1027, 0.9293, 0.2263, -0.0102, 0.2732, -0.7501]","[1, 5, 5, 1, 3, 2, 3, 2, 5, 2]","[[cheap, case, look, cheap, person, picture, end, throw], [deliver, fast, fit], [design, case, look, phone, offer, protection, case, come, phone, drop, thank, goodness, wasnt, damage, phone], [decent], [picture, case, blurry, receive], [case, take, put, cheap], [okay], [get, pay, cheap, piece, plastic, cover, entire, phone, ill, use, star, come, expect], [phone, case, price, super, thin, phone, work], [case, deform, broke, day]]","[[cheap case look cheap person picture end throw, 0.0, 1], [deliver fast fit, 0.0, 5], [design case look phone offer protection case come phone drop thank goodness wasnt damage phone, 0.7932, 5], [decent, -0.4215, 1], [picture case blurry receive, -0.1027, 3], [case take put cheap, 0.9293, 2], [okay, 0.2263, 3], [get pay cheap piece plastic cover entire phone ill use star come expect, -0.0102, 2], [phone case price super thin phone work, 0.2732, 5], [case deform broke day, -0.7501, 2]]"
B00VBBTGD4,[0.8271],[5],"[[gift, son, thrill, job, keep, phone, protect]]","[[gift son thrill job keep phone protect, 0.8271, 5]]"
B00VBGRZSM,[0.969],[5],"[[zagg, shield, awesome, install, spec, dust, corner, way, lot, better, spray, shield, provide, liquid, squeegee, excess, find, method, went, add, tab, top, help, style, shieldbr, br, thing, shippingfrom, day, order, estimate, arrival, month, date, make, day, suppose, get, email, state, shipping, bee, push, weeksso, estimate, arrival, month, order, ship, item, wasoh, ship, shouldnt, take, quality, product, purchase, zagg, shield, easiest, phone, cover, install, quality, product, use, device, instal, year, customer, family]]","[[zagg shield awesome install spec dust corner way lot better spray shield provide liquid squeegee excess find method went add tab top help style shieldbr br thing shippingfrom day order estimate arrival month date make day suppose get email state shipping bee push weeksso estimate arrival month order ship item wasoh ship shouldnt take quality product purchase zagg shield easiest phone cover install quality product use device instal year customer family, 0.969, 5]]"
B00VFZ64YK,[0.0],[5],[[feel]],"[[feel, 0.0, 5]]"
B00VGZKVHU,[0.765],[5],"[[describe, fit, phone, great]]","[[describe fit phone great, 0.765, 5]]"
B00VHESBJU,[-0.1053],[1],"[[charger, fit, case, charger, come, phone, case, month, less, start, fall, apart, cheap, plastic]]","[[charger fit case charger come phone case month less start fall apart cheap plastic, -0.1053, 1]]"
B00VNGUO4C,"[-0.1419, 0.3506]","[1, 3]","[[cover, receive, cover, suppose, lg, optimus, l], [didnt, fit, l, send, cheap, item]]","[[cover receive cover suppose lg optimus l, -0.1419, 1], [didnt fit l send cheap item, 0.3506, 3]]"
B00VOLOC4O,[0.969],[5],"[[love, perfect, fit, protects, drop, thanks]]","[[love perfect fit protects drop thanks, 0.969, 5]]"
B00VTY03YO,[-0.1788],[4],"[[fit, aquos, phone, non, bezel, front, screen, case, part, slip, phone, rubber, slide, keep, piece, plastic, work, case, protect, screen, stop, scratch, screen, damage, stop, screen, crack, drop, edge, case, raise, screen, bit, drop, floor, hit, edge, case, screen, buy, flaw, type, phone, there, bezel, edge, screen, start, cracking, foundationi, friend, partner, phone, experience, issue, danger, area, screen, case, cover, flaw, area, hold, sturdy, stop, damage, phone, need, design, stop, crack, edge, case, serve, purpose, need, screen, cover, need, case, tho, protect, general, damage, surface, damage, fine]]","[[fit aquos phone non bezel front screen case part slip phone rubber slide keep piece plastic work case protect screen stop scratch screen damage stop screen crack drop edge case raise screen bit drop floor hit edge case screen buy flaw type phone there bezel edge screen start cracking foundationi friend partner phone experience issue danger area screen case cover flaw area hold sturdy stop damage phone need design stop crack edge case serve purpose need screen cover need case tho protect general damage surface damage fine, -0.1788, 4]]"
B00VYDWC4E,"[-0.2755, 0.9423]","[3, 5]","[[awesome, phone, give, shot, phone, base, review, see, online, love, fast, phone, screen, look, phone, look, shipping, arrive, expect, date, recommend]]","[[awesome phone give shot phone base review see online love fast phone screen look phone look shipping arrive expect date recommend, -0.2755, 3], [, 0.9423, 5]]"
B00W13XFK6,[-0.25],[2],"[[dont, buy, couple, day, use, get, shortage]]","[[dont buy couple day use get shortage, -0.25, 2]]"
B00W1YPCW4,"[0.4939, -0.2023, 0.9576, 0.9169, 0.9029, 0.7506, 0.7003, 0.3612, 0.6369, 0.6369, 0.8402, -0.1528, 0.9841, -0.2755]","[2, 2, 5, 5, 5, 5, 4, 5, 5, 4, 5, 1, 5, 2]","[[receive, product, advertise, recommend, product], [case, brings, look, watch, investment, protection, bonus], [fit, watch, color, product], [watch, protector, state, love], [cover, wish, open, crown, tad, bin], [bulky, clumsy, protector, wear, block, watch], [awesome, piece], [product, wearing, mm, stainless, steel, apple, watch, work, yard, work, didnt, want, stainless, steel, scratch, im, worry, face, sapphire, model, year, ive, use, style, rubber, case, io, device, protect, case, product, fill, need, apple, watch, product, soft, rubber, there, risk, device, scratch, inside, instal, apple, watch, increase, thickness, case, color, add, ability, mix, match, style, need, br, con, product, get, apple, watch, tricky, need, remove, side, band, make, band, slip, case, seen, product, test, slip, side, make, installation, faster, easier, imagine, fall, accidentallybr, br, im, use, time, activity, watch, come, contact, something, im, throw, protectionbr, br, purchase, product, amazon, receive, compensation, product, benefit, manufacturer, amazon, review, product, test, sample, manufacturer, opinion, state, base, interaction, product], [love, fit, idea, case, take, scratch, rub, s], [protection, bit, style, add, watch], [want, look, use, stainless, black, leather, loop, band, easy, install, look, happy, get, space, black, watch, pricey, band, color, bit, light, shade, bright, want, biggie, happy], [buy, use, dont], [love, product, get, apple, watch, birthday, gift, husband, love, watch, protect, wrist, get, bump, think, multiple, color, choice, buy, band, color, match, case, feel, nice, soft, slide, watch, look, color, texture], [look, function, begin, find, sweat, moisture, trap, groove, sport, band, slide, use, stainless, steel, case, take, case, clean, wash, band, find, scuff, mark, stainless, steel, case, cause, edge, case, idea, rubber, scratch, stainless, steel, fine, aluminum, case, wife, watch, appears, fine, remove, case, watch, worth]]","[[receive product advertise recommend product, 0.4939, 2], [case brings look watch investment protection bonus, -0.2023, 2], [fit watch color product, 0.9576, 5], [watch protector state love, 0.9169, 5], [cover wish open crown tad bin, 0.9029, 5], [bulky clumsy protector wear block watch, 0.7506, 5], [awesome piece, 0.7003, 4], [product wearing mm stainless steel apple watch work yard work didnt want stainless steel scratch im worry face sapphire model year ive use style rubber case io device protect case product fill need apple watch product soft rubber there risk device scratch inside instal apple watch increase thickness case color add ability mix match style need br con product get apple watch tricky need remove side band make band slip case seen product test slip side make installation faster easier imagine fall accidentallybr br im use time activity watch come contact something im throw protectionbr br purchase product amazon receive compensation product benefit manufacturer amazon review product test sample manufacturer opinion state base interaction product, 0.3612, 5], [love fit idea case take scratch rub s, 0.6369, 5], [protection bit style add watch, 0.6369, 4], [want look use stainless black leather loop band easy install look happy get space black watch pricey band color bit light shade bright want biggie happy, 0.8402, 5], [buy use dont, -0.1528, 1], [love product get apple watch birthday gift husband love watch protect wrist get bump think multiple color choice buy band color match case feel nice soft slide watch look color texture, 0.9841, 5], [look function begin find sweat moisture trap groove sport band slide use stainless steel case take case clean wash band find scuff mark stainless steel case cause edge case idea rubber scratch stainless steel fine aluminum case wife watch appears fine remove case watch worth, -0.2755, 2]]"
B00W52JWFK,"[-0.5423, 0.128]","[1, 5]","[[productfailed, use, month, pay, extra, get, battery, type], [need, keep, eye, stolen, love]]","[[productfailed use month pay extra get battery type, -0.5423, 1], [need keep eye stolen love, 0.128, 5]]"
B00W5FSUHI,[0.4459],[5],"[[product, great, problem, rubber, foot, fall, solve, problem, hold, galaxy, case]]","[[product great problem rubber foot fall solve problem hold galaxy case, 0.4459, 5]]"
B00W65SYHS,"[0.6369, 0.836, 0.0702, 0.8658, 0.9853, 0.6534, 0.9423, 0.6249, 0.7781, 0.9566, 0.9694]","[5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5]","[[cutout, allow, access, camera, lens, speaker, jack, port, etc, part, ridge, phone, slippery, hand, case, snug, sturdy, functionality, assure, sell, point, appearance, design, reminiscent, art, deco, love, combo, salmon, gold, torn, pink, mint, happy, case, im, go, treat, mint], [excellent, love], [quality, fit, glove, doesnt, compromise, thickness, protect, phone, year, threw, phone, cement, wasnt, harm, bit, money, case, worth, quality], [product], [adore, phone, case, feel, perfect, hand, good, grip, afraid, fit, problem, recommend], [spigen, slim, armor, series, lgg, protect, lip, screen, perect], [case, fit, time, love, rubberize, case, gold, plastic, ride, atvs, take, phone, case, protects], [case, come, package, color, person, fit, phone, snug, great, happy, customer, thanks], [ship, expect, love, color], [receive, case, yesterday, excite, put, phone, case, problem, o, grip, case, bring, rubber, gripping, drop, phone, problem, case, im, give, star, look], [case, color, phone, put, take, buy, color, ]]","[[cutout allow access camera lens speaker jack port etc part ridge phone slippery hand case snug sturdy functionality assure sell point appearance design reminiscent art deco love combo salmon gold torn pink mint happy case im go treat mint, 0.6369, 5], [excellent love, 0.836, 5], [quality fit glove doesnt compromise thickness protect phone year threw phone cement wasnt harm bit money case worth quality, 0.0702, 2], [product, 0.8658, 5], [adore phone case feel perfect hand good grip afraid fit problem recommend, 0.9853, 5], [spigen slim armor series lgg protect lip screen perect, 0.6534, 5], [case fit time love rubberize case gold plastic ride atvs take phone case protects, 0.9423, 5], [case come package color person fit phone snug great happy customer thanks, 0.6249, 5], [ship expect love color, 0.7781, 5], [receive case yesterday excite put phone case problem o grip case bring rubber gripping drop phone problem case im give star look, 0.9566, 5], [case color phone put take buy color , 0.9694, 5]]"
B00WDGD880,[-0.1043],[2],"[[case, beast, disappoint, didnt, screen, protector, case, phone, screen, protect, bit, fall, screen, nothing, protect, dont, put, phone, case, pocket, sit]]","[[case beast disappoint didnt screen protector case phone screen protect bit fall screen nothing protect dont put phone case pocket sit, -0.1043, 2]]"
B00WFN5MVW,[0.8989],[1],"[[happy, purchase, purchase, screen, protector, eager, excite, put, iphone, put, like, way, make, phone, look, minutes, put, phone, start, go, crazy, press, button, open, apps, texting, people, play, etc, do, take, screen, protector, like, wait, minute, phone, thing, restart, phone, twice, things, happen, take, phone, work, write, review, happy, purchase, phone, start, act, happiness, went, window, record, video, phone, upload]]","[[happy purchase purchase screen protector eager excite put iphone put like way make phone look minutes put phone start go crazy press button open apps texting people play etc do take screen protector like wait minute phone thing restart phone twice things happen take phone work write review happy purchase phone start act happiness went window record video phone upload, 0.8989, 1]]"
B00WGCP7O4,"[0.0516, 0.4404]","[1, 5]","[[light, weight, case, good, product], [case, loose, fit, watch]]","[[light weight case good product, 0.0516, 1], [case loose fit watch, 0.4404, 5]]"
B00WJJZ3G6,[-0.4767],[1],"[[size, phone, return]]","[[size phone return, -0.4767, 1]]"
B00WK945OG,[0.2259],[1],"[[case, great, realize, chip, side, didnt, pay, hit, get, chip, case, yes, drop, go, case]]","[[case great realize chip side didnt pay hit get chip case yes drop go case, 0.2259, 1]]"
B00WQLI18O,[0.8748],[5],"[[fact, wrap, way, edge, graphic, clear, look]]","[[fact wrap way edge graphic clear look, 0.8748, 5]]"
B00WU871G6,[0.4902],[5],[[work]],"[[work, 0.4902, 5]]"
B00WW2JUVY,[0.7964],[4],"[[lot, agree, reviewer, mention, groove, propping, tablet, keep, tablet, upright, point, stylus, handy, time]]","[[lot agree reviewer mention groove propping tablet keep tablet upright point stylus handy time, 0.7964, 4]]"
B00WZPL4XU,[0.2263],[3],"[[okay, stay]]","[[okay stay, 0.2263, 3]]"
B00X2NQ9CK,"[0.1265, 0.4005]","[3, 4]","[[decent, sound, quality, sync, instruction, lighweight, headphone, put, lot, sweat, abuse], [running, fall, ear, battery, life]]","[[decent sound quality sync instruction lighweight headphone put lot sweat abuse, 0.1265, 3], [running fall ear battery life, 0.4005, 4]]"
B00X8IP9XE,[0.7175],[5],"[[phone, money, screen, bit, need, glass, protector, phone, work]]","[[phone money screen bit need glass protector phone work, 0.7175, 5]]"
B00X9L7W80,"[0.0, -0.4767, 0.5267]","[4, 1, 1]","[[havent, learn, use, br, awsome, wonderfull, th, youmuch, thsnks], [item, doesnt, stay, connect, cant, get, hold, seller, return, item, fake, star, review], [nice, package, overall, want, stay, connect, download, bt, notifier, want]]","[[havent learn use br awsome wonderfull th youmuch thsnks, 0.0, 4], [item doesnt stay connect cant get hold seller return item fake star review, -0.4767, 1], [nice package overall want stay connect download bt notifier want, 0.5267, 1]]"
B00XIFP0JK,[0.7501],[4],"[[slim, line, light, weight, case, provide, shock, protection, please, case]]","[[slim line light weight case provide shock protection please case, 0.7501, 4]]"
B00XJX88EK,[0.8591],[5],"[[work, great, fit]]","[[work great fit, 0.8591, 5]]"
B00XJZ7P8S,[0.5719],[5],"[[perfect, describe, ship, quick]]","[[perfect describe ship quick, 0.5719, 5]]"
B00XP5ZQ88,[-0.5256],[2],"[[use, day, paintdesign, start, wear, turning, blue, pocket, disappoint]]","[[use day paintdesign start wear turning blue pocket disappoint, -0.5256, 2]]"
B00YA9JBN4,[0.3612],[4],[[cord]],"[[cord, 0.3612, 4]]"
B00YG20VAC,[0.9621],[3],"[[concept, stronger, receive, item, phone, move, press, button, side, phonebr, br, prefer, attach, holder, phone, ability, take, picture, take, phone, casebr, br, tend, take, phone, forget, case, thats, thoughbr, br, hold, lot, zipper, portion, feature, id, holder, see, havent, remove, license, put, card, phone, portion, snap, great, stay, well, closure, j, beforebr, br, need, mixture, feature, find]]","[[concept stronger receive item phone move press button side phonebr br prefer attach holder phone ability take picture take phone casebr br tend take phone forget case thats thoughbr br hold lot zipper portion feature id holder see havent remove license put card phone portion snap great stay well closure j beforebr br need mixture feature find, 0.9621, 3]]"
B00YGEIPBW,"[0.2732, 0.8948]","[5, 5]","[[connection, point, fix, year], [connector, sturdy, make, price, nice, recommend]]","[[connection point fix year, 0.2732, 5], [connector sturdy make price nice recommend, 0.8948, 5]]"
B00YICSHRO,[0.4215],[5],"[[nice, sturdy, phone, case]]","[[nice sturdy phone case, 0.4215, 5]]"
B00Z9QE2RW,[0.6249],[5],"[[suppose, nice, quality, fair, price]]","[[suppose nice quality fair price, 0.6249, 5]]"
B00ZDLWVWG,"[-0.5733, -0.0129]","[1, 5]","[[fit, state, otter, case, narrow, width, length, port, say, get, pay, wonder, cheap, quot, make, chinaquot], [fit, otterbox, case, rubber, button, bottom, button, wish, make, mini, ipad, disappoint, otterbox, gel, case, make]]","[[fit state otter case narrow width length port say get pay wonder cheap quot make chinaquot, -0.5733, 1], [fit otterbox case rubber button bottom button wish make mini ipad disappoint otterbox gel case make, -0.0129, 5]]"
B00ZE5XMW4,[0.4927],[1],"[[chip, easy, edge, watch, wont, buy]]","[[chip easy edge watch wont buy, 0.4927, 1]]"
B00ZKKPCSU,"[0.4215, 0.5719, 0.6369, -0.3597]","[4, 5, 5, 2]","[[excellent, case, buy], [phone, case, thick, bulky, thickness, prevents, charger, plug, port, slot, hold, card, slide], [expectedmade, phone, alot, bulkier, thank, whole, purpose, protect, phonethe, door, cc, bit, time, open, closing, week, use, hold, cc]]","[[excellent case buy, 0.4215, 4], [phone case thick bulky thickness prevents charger plug port slot hold card slide, 0.5719, 5], [expectedmade phone alot bulkier thank whole purpose protect phonethe door cc bit time open closing week use hold cc, 0.6369, 5], [, -0.3597, 2]]"
B00ZONMIM6,[0.3612],[5],"[[case, macho]]","[[case macho, 0.3612, 5]]"
B00ZPVXOPM,[0.8591],[5],"[[product, well, customer, service, thank]]","[[product well customer service thank, 0.8591, 5]]"
B00ZQL1JXA,"[0.8481, 0.2023]","[5, 2]","[[think, port, cover, head, set, port, nice, rain, drop, find, way, headset, port, use, speaker, phone, headseti, think, belt, clip, stylei, use, stand, rugged, protects, phone, drop, rain, drop], [awesome, product, fit, look]]","[[think port cover head set port nice rain drop find way headset port use speaker phone headseti think belt clip stylei use stand rugged protects phone drop rain drop, 0.8481, 5], [awesome product fit look, 0.2023, 2]]"
B00ZYEYGOI,[-0.4939],[3],"[[case, get, service, case]]","[[case get service case, -0.4939, 3]]"
B00ZYL55XW,[0.7717],[5],"[[quality, case, wallet, recommend, product]]","[[quality case wallet recommend product, 0.7717, 5]]"
B0108MKQEY,"[0.9245, 0.9231, 0.6369, 0.6369]","[5, 5, 5, 5]","[[cover, intire, case, see], [fit, material, girlfriend, happy, case, bring, lot, protection, phone], [carry, htc, m, phone], [buy, husband, wasnt, purchase, thought, wasnt, go, bc, love, color, bumper, build, screen, protector, clear, show, sleek, design, case, thin, bulky, theres, case, phone, make, keep, pocket, help, everyday, bump, drop]]","[[cover intire case see, 0.9245, 5], [fit material girlfriend happy case bring lot protection phone, 0.9231, 5], [carry htc m phone, 0.6369, 5], [buy husband wasnt purchase thought wasnt go bc love color bumper build screen protector clear show sleek design case thin bulky theres case phone make keep pocket help everyday bump drop, 0.6369, 5]]"
B010B5BRIM,[0.8402],[4],"[[case, wish, cover]]","[[case wish cover, 0.8402, 4]]"
B010CJ5OPY,[0.8834],[4],"[[case, come, time, come, screen, protector, stylus, surprise, reason, cant, give, star, put, muc, b, cash, card, handle, card, cash, good, buy]]","[[case come time come screen protector stylus surprise reason cant give star put muc b cash card handle card cash good buy, 0.8834, 4]]"
B010D9IMEI,[0.8258],[5],[[love]],"[[love, 0.8258, 5]]"
B010U67UB0,[0.8271],[3],"[[feature, case, however, soft, part, case, prevents, headphone, jack, wider, end, insert, headphone, port, phone, rubbery, part, hole, allow, older, style, headphone, jack, insert, port, soft, part, case, part, case, fit, lock, thing, keep, part, expand, heat, wear, situation]]","[[feature case however soft part case prevents headphone jack wider end insert headphone port phone rubbery part hole allow older style headphone jack insert port soft part case part case fit lock thing keep part expand heat wear situation, 0.8271, 3]]"
B010W83SA8,[0.8981],[4],"[[girlfriend, print, eye, lucie, bilodeau, purchase, lg, sunset, phone, case, go, need, search, theme, cover, find, graphic, do, fit, fine, hop, case, rubber, side, sure, grip, stock, phone, case, doesnt, rubber, incorporate, isnt, slickbr, theme, need, case, want, phone, wont, slide, hand, bare, bone, phone, dont, hesitate]]","[[girlfriend print eye lucie bilodeau purchase lg sunset phone case go need search theme cover find graphic do fit fine hop case rubber side sure grip stock phone case doesnt rubber incorporate isnt slickbr theme need case want phone wont slide hand bare bone phone dont hesitate, 0.8981, 4]]"
B0113U8CLO,"[0.8357, 0.7357]","[5, 5]","[[item, power, bank, week, job, drive, bus, school, event, day, way, charge, iphone, pad, air, single, charge, ale, charge, phone, time, ipad, time, battery, pack, need, charge, phone, expect, product, recommend, anyone, need, way, charge, device, access, ac, power, v, power, vehicle, device, say], [helper]]","[[item power bank week job drive bus school event day way charge iphone pad air single charge ale charge phone time ipad time battery pack need charge phone expect product recommend anyone need way charge device access ac power v power vehicle device say, 0.8357, 5], [helper, 0.7357, 5]]"
B0115PRL4G,"[0.8762, 0.9754, -0.8051, 0.6369]","[5, 4, 4, 5]","[[function, opposite, instruction, hope, option, exchange, sale, pricee, issue, option, exchanging, pair, return, id, pay, plus, sh, return, set, crap, contact, seller, find, error, function, can, issue, pair, model, symphonize, headphone, exchange, pair, price, post, let, folk, know, pair, can, cookiecutter, star, set, headphone], [challenge, headphonesbr, customer, service, super, andbr, rate, headphone, love, categorybr, problem, head, fit, better, ifbr, adjustment, fit, customerbr, service, super], [headphone, ive, own, youre, fence, dont, order], [sound, noise, cancellationbr, feel, surround, distraction, period, time, fold, portability, great]]","[[function opposite instruction hope option exchange sale pricee issue option exchanging pair return id pay plus sh return set crap contact seller find error function can issue pair model symphonize headphone exchange pair price post let folk know pair can cookiecutter star set headphone, 0.8762, 5], [challenge headphonesbr customer service super andbr rate headphone love categorybr problem head fit better ifbr adjustment fit customerbr service super, 0.9754, 4], [headphone ive own youre fence dont order, -0.8051, 4], [sound noise cancellationbr feel surround distraction period time fold portability great, 0.6369, 5]]"
B0119BUUD0,[0.6124],[5],"[[solve, problembr, thanks]]","[[solve problembr thanks, 0.6124, 5]]"
B011BMN4NK,[0.7003],[5],"[[match, bumper, order, amazon, go, together]]","[[match bumper order amazon go together, 0.7003, 5]]"
B0128RJDH8,[-0.4194],[1],"[[seems, make, motorola, turbo, lose, power, plug, charger, find, considering, state, charger, droid, turbo, use, motorola, rapid, charger, lose, work, exchanging, motorola]]","[[seems make motorola turbo lose power plug charger find considering state charger droid turbo use motorola rapid charger lose work exchanging motorola, -0.4194, 1]]"
B0128YBACW,[-0.4767],[3],"[[part, look, feel, cheap, disappoint]]","[[part look feel cheap disappoint, -0.4767, 3]]"
B012B53N46,[0.0],[3],[[sturdy]],"[[sturdy, 0.0, 3]]"
B012DV4GIA,[0.9838],[5],"[[quality, product, usability, look, product, product, satisfies, concernsbr, br, package, come, condition, product, awesome, recommend, use, iphone, fit, br, add, convenience, armband, hold, want, use, spot, cash, armband, fit, wide, range, arm, design, armbr, br, overall, satisfy, item, recommend, othersbr, br, receive, item, exchange, unbiased, review]]","[[quality product usability look product product satisfies concernsbr br package come condition product awesome recommend use iphone fit br add convenience armband hold want use spot cash armband fit wide range arm design armbr br overall satisfy item recommend othersbr br receive item exchange unbiased review, 0.9838, 5]]"
B012HJDJS6,[0.807],[5],"[[case, look, fit, lg, risio]]","[[case look fit lg risio, 0.807, 5]]"
