B0007XPK2I,[0.6249],[5],"[[sound, great]]","[[sound great, 0.6249, 5]]"
B00KNU9L1Q,"[0.8519, 0.9715]","[5, 3]","[[prosbr, br, magnet, seem, br, magnet, attach, case, phone, stay, mount, test, phone, nexus, work, case, nexus, work, case, work, well, phone, nexus, hold, wasnt, solid, sbr, br, suction, cup, mount, seem, br, product, br, consbr, br, there, option, android, phone, wake, device, charger, attach, find, option, select, phone, keep, light, im, guess, magnet, qi, chargingbr, br, second, con, qi, charge, limit, place, magnet, qi, chargingbr, br, antenna, reception, im, magnet, didnt, effect, call, quality, nexus, place, magnet, think, mess, call, quality, digitize, voice, make, thing, happen, take, magnet, seem, work, fine, gotta, test, thats, signbr, br, price, come, vent, clip, suction, cup, good, depend, placement, block, field, view, drive, phone, attachedbr, br, overall, think, product, phone, nexus, want, reconsider], [thing, note, case, fall, mount, work, phone, lighter, work, great]]","[[prosbr br magnet seem br magnet attach case phone stay mount test phone nexus work case nexus work case work well phone nexus hold wasnt solid sbr br suction cup mount seem br product br consbr br there option android phone wake device charger attach find option select phone keep light im guess magnet qi chargingbr br second con qi charge limit place magnet qi chargingbr br antenna reception im magnet didnt effect call quality nexus place magnet think mess call quality digitize voice make thing happen take magnet seem work fine gotta test thats signbr br price come vent clip suction cup good depend placement block field view drive phone attachedbr br overall think product phone nexus want reconsider, 0.8519, 5], [thing note case fall mount work phone lighter work great, 0.9715, 3]]"
B00KRQMWG2,[0.4215],[3],"[[side, protection, doesnt, work, remove, front, ok]]","[[side protection doesnt work remove front ok, 0.4215, 3]]"
B00LC177QQ,[0.6597],[5],"[[look, great, glare, screen]]","[[look great glare screen, 0.6597, 5]]"
B00LOWR4A2,[0.4754],[5],[[nice]],"[[nice, 0.4754, 5]]"
B00LOZDWO6,[0.6808],[5],"[[father, travel, hour, reason, battery, die, thanks, give, security]]","[[father travel hour reason battery die thanks give security, 0.6808, 5]]"
B00LOZI6QA,[-0.2755],[2],"[[expect, think, samsung, equipment, doesnt, fit, samsung, phone]]","[[expect think samsung equipment doesnt fit samsung phone, -0.2755, 2]]"
B00LPBP1S4,[0.6369],[5],"[[moonet, phone, mount]]","[[moonet phone mount, 0.6369, 5]]"
B00LQAJ6C6,[-0.6249],[2],"[[water, leak, water, test, waste]]","[[water leak water test waste, -0.6249, 2]]"
B00LQFLTLM,[0.5859],[5],"[[look, oem, fair, price, ship, expect, give, come]]","[[look oem fair price ship expect give come, 0.5859, 5]]"
B00M0UYVH6,[-0.1343],[5],"[[puppy, heft, find, bag, lose, power, worst, place, solve]]","[[puppy heft find bag lose power worst place solve, -0.1343, 5]]"
B00M4G3N0M,[0.6369],[5],"[[everything, need]]","[[everything need, 0.6369, 5]]"
B00M6INBJQ,"[0.6249, -0.693, 0.5719, 0.0, 0.8887, 0.4019]","[5, 1, 3, 5, 3, 4]","[[awesome], [take, phone, case, phone, call, end, break, corner, think, use, month, wish, wouldve, last, longer, longer, carry, purse, make, take, phone, wont, break, case, dont, hold, wallet, ear, awkward, look], [product, week, inside, case, break, im, handling, phone, case, wear, week, recommend, product], [nice, look, case, card, slot, id, cardsbr, br, car, slot, glue, shut, pry, get, card], [want], [cover, snap, control, volume, case, look, feel]]","[[awesome, 0.6249, 5], [take phone case phone call end break corner think use month wish wouldve last longer longer carry purse make take phone wont break case dont hold wallet ear awkward look, -0.693, 1], [product week inside case break im handling phone case wear week recommend product, 0.5719, 3], [nice look case card slot id cardsbr br car slot glue shut pry get card, 0.0, 5], [want, 0.8887, 3], [cover snap control volume case look feel, 0.4019, 4]]"
B00M9UZ6ZI,"[-0.5216, -0.5423, 0.2748, 0.7506, 0.2725]","[3, 1, 4, 3, 3]","[[compare, case, buy, iphonethis, case], [ok, quality, fine, bit, stiff, kind, awkward, close, ], [leather, ok, use, dont, mine, leather, come, need, buy, couple, month, cheap, stuff], [quality], [work, great, fall, apart, price, replace]]","[[compare case buy iphonethis case, -0.5216, 3], [ok quality fine bit stiff kind awkward close , -0.5423, 1], [leather ok use dont mine leather come need buy couple month cheap stuff, 0.2748, 4], [quality, 0.7506, 3], [work great fall apart price replace, 0.2725, 3]]"
B00MH2SN8A,"[0.0, 0.0]","[5, 5]","[[meet, expectation], [excelente]]","[[meet expectation, 0.0, 5], [excelente, 0.0, 5]]"
B00MQ99YB4,"[0.7269, 0.6369, 0.8979]","[5, 5, 5]","[[perfect, security, screen], [screen, protector, super, easy, get, bubble]]","[[perfect security screen, 0.7269, 5], [screen protector super easy get bubble, 0.6369, 5], [, 0.8979, 5]]"
B00MR56DCA,"[0.8905, 0.8689, 0.6908]","[5, 5, 5]","[[nice, radio, sound, speaker, descent, base, hook, clamp, cage, run, wire, send, battery, plus, doesnt, hook, accessory, power, switch, turn, side, box, rdy, wire, pull, say, go, leave, hit, switch, talk, hit, take, show, order], [excellent, set, sound, piece, cake, stall, power, cord, place, lumed, work, fast, shipping], [swamp, donkey, job, radio, purchase, polaris, rzr, delivery, excellent, fit, jim, ohio]]","[[nice radio sound speaker descent base hook clamp cage run wire send battery plus doesnt hook accessory power switch turn side box rdy wire pull say go leave hit switch talk hit take show order, 0.8905, 5], [excellent set sound piece cake stall power cord place lumed work fast shipping, 0.8689, 5], [swamp donkey job radio purchase polaris rzr delivery excellent fit jim ohio, 0.6908, 5]]"
B00MRL30N4,"[0.6249, 0.6249]","[5, 5]","[[radio, money], [radio]]","[[radio money, 0.6249, 5], [radio, 0.6249, 5]]"
B00MSAJ75O,"[0.3818, 0.6249]","[5, 5]","[[work, great], [value, problem]]","[[work great, 0.3818, 5], [value problem, 0.6249, 5]]"
B00MVA1JMK,[0.0951],[1],"[[work, iphone, say, accessory, support, useless]]","[[work iphone say accessory support useless, 0.0951, 1]]"
B00MWJY91I,[0.8481],[5],"[[awesome, phone, great, company, phone, trapper, buy]]","[[awesome phone great company phone trapper buy, 0.8481, 5]]"
B00N3P6UNA,[0.1036],[4],"[[cant, give, star, screw, instal, work, cut, connection, purchase, screen, start, think, installation, help, instruction, guide]]","[[cant give star screw instal work cut connection purchase screen start think installation help instruction guide, 0.1036, 4]]"
B00N8GPIT6,"[0.6249, 0.0772]","[5, 4]","[[product], [handy, use, plan, trip, want, use]]","[[product, 0.6249, 5], [handy use plan trip want use, 0.0772, 4]]"
B00N8L2BIM,[0.6478],[5],"[[fit, note, use, screen, ease, dont, press, screen, use]]","[[fit note use screen ease dont press screen use, 0.6478, 5]]"
B00NCDXJOQ,[0.4215],[4],"[[nice, case]]","[[nice case, 0.4215, 4]]"
B00NDQP4ZO,[-0.5994],[5],[[problem]],"[[problem, -0.5994, 5]]"
B00NG71882,[0.9001],[5],"[[work, went, great, nice, get, package, ]]","[[work went great nice get package , 0.9001, 5]]"
B00NGPZGDW,"[0.6249, -0.2755]","[5, 1]","[[awesome, wallet], [didnt]]","[[awesome wallet, 0.6249, 5], [didnt, -0.2755, 1]]"
B00NMBMCIC,[0.8622],[5],"[[awesome, item, love]]","[[awesome item love, 0.8622, 5]]"
B00NMK6AZY,[0.9274],[5],"[[love, love, look]]","[[love love look, 0.9274, 5]]"
B00NNCIZMM,[0.5715],[2],"[[case, tell, make, diamond, miss, got, case, super, soft, worth]]","[[case tell make diamond miss got case super soft worth, 0.5715, 2]]"
B00NTZLHUU,[0.0],[1],[[make]],"[[make, 0.0, 1]]"
B00NXV5ZCG,"[0.3519, 0.6249, 0.765, 0.8843]","[1, 5, 5, 4]","[[use, brand, drop, phone, screen, protector, crack, screen, product, drop, phone, screen, protector, didnt, crack, iphone, screen, shatter, email, say, replace, screen, protector, buy, product, make, tell, everyone, disappoint], [awesome], [product, excellentbr, customer, service, betterbr, warranty, awesome, replacement, simplebr, recommend, vendor, anyone], [wish, protect, edge, well, know, theyre, round, wish, extend]]","[[use brand drop phone screen protector crack screen product drop phone screen protector didnt crack iphone screen shatter email say replace screen protector buy product make tell everyone disappoint, 0.3519, 1], [awesome, 0.6249, 5], [product excellentbr customer service betterbr warranty awesome replacement simplebr recommend vendor anyone, 0.765, 5], [wish protect edge well know theyre round wish extend, 0.8843, 4]]"
B00O39PQV2,"[0.4927, 0.5742, 0.836, -0.4215, 0.6369, 0.6249, 0.8748, 0.7906]","[5, 3, 5, 2, 5, 5, 5, 5]","[[product, buy, company, android, razor, maxx, second, iphone, please, product], [excellent, quality, excellent, fit, expect, problem, use, sleek, recommend], [star, holster, star, case, case, protect, phone, bottom, edge, expose, allow, contact, impact, shatter, glass, day, switch, case, use, holster, apple, leather, case, fit], [purchase, love], [excellent, case, love, business, use], [product, sturdy, fit, phone, belt, loop], [broke, couple, week, use]]","[[product buy company android razor maxx second iphone please product, 0.4927, 5], [excellent quality excellent fit expect problem use sleek recommend, 0.5742, 3], [star holster star case case protect phone bottom edge expose allow contact impact shatter glass day switch case use holster apple leather case fit, 0.836, 5], [purchase love, -0.4215, 2], [excellent case love business use, 0.6369, 5], [product sturdy fit phone belt loop, 0.6249, 5], [broke couple week use, 0.8748, 5], [, 0.7906, 5]]"
B00O5TWXNY,"[0.8957, 0.6369]","[5, 5]","[[case, fit, iphone, price, design, choose]]","[[case fit iphone price design choose, 0.8957, 5], [, 0.6369, 5]]"
B00ODHCZV8,[0.7351],[5],"[[perfect, fit]]","[[perfect fit, 0.7351, 5]]"
B00ODVPMO6,[0.7845],[5],"[[daughter, love, move, city]]","[[daughter love move city, 0.7845, 5]]"
B00OFS8JIS,[0.8519],[5],"[[get, case, mail, come, earlier, expect, love, case, great, quality]]","[[get case mail come earlier expect love case great quality, 0.8519, 5]]"
B00OK8SMZI,[-0.2755],[1],"[[fit, phone, phone, list]]","[[fit phone phone list, -0.2755, 1]]"
B00OXJUUOA,[-0.4341],[1],"[[charge, nothing, pin, audio, video, output]]","[[charge nothing pin audio video output, -0.4341, 1]]"
B00OXL1G8W,"[0.5719, 0.8664]","[5, 5]","[[perfect], [charge, use, work, iphone, side, take, forever, charge, iphone, reccomend]]","[[perfect, 0.5719, 5], [charge use work iphone side take forever charge iphone reccomend, 0.8664, 5]]"
B00OZ8JWAW,[-0.1531],[1],"[[case, list, section, fit, phone, couldnt, sell, l, inscription, phone]]","[[case list section fit phone couldnt sell l inscription phone, -0.1531, 1]]"
B00P35RHQ2,[0.5499],[4],"[[kind, fuzzy, okay]]","[[kind fuzzy okay, 0.5499, 4]]"
B00P374NKS,"[0.0, 0.8047, -0.3182, -0.2263, 0.0]","[1, 5, 1, 2, 5]","[[dont, review, lot, trouble, past, purchase, apple, charger, amazon, get, quality, charger, apple, charger, work, order, apple, product], [power, charge, wont, produce], [fit, right], [buy, stop, work, time], [didnt, work, geniune, cable, joke, dont, buy]]","[[dont review lot trouble past purchase apple charger amazon get quality charger apple charger work order apple product, 0.0, 1], [power charge wont produce, 0.8047, 5], [fit right, -0.3182, 1], [buy stop work time, -0.2263, 2], [didnt work geniune cable joke dont buy, 0.0, 5]]"
B00P59DMTM,[0.3895],[5],"[[using, march, hold, amaze, looking, heavy, duty, cable, bring, use, use, car, home, travel, connector, hasnt, shown, sign, gonna, cable, ive, use, ill, order, update, december, cable, beginning, show, sign, start, position, charge, sure, warranty, cable, ill, update, find, cover, buy, year, half, abuse]]","[[using march hold amaze looking heavy duty cable bring use use car home travel connector hasnt shown sign gonna cable ive use ill order update december cable beginning show sign start position charge sure warranty cable ill update find cover buy year half abuse, 0.3895, 5]]"
B00P6T9ABU,[-0.6486],[1],"[[range, poor, sound, quality, throw]]","[[range poor sound quality throw, -0.6486, 1]]"
B00PBPNX4E,[0.8481],[5],"[[work, great, look]]","[[work great look, 0.8481, 5]]"
B00PEM3MWC,[0.0076],[5],"[[reason, average, consumer, purchase, fake, iphone, phone, look, feel, iphone, others, like, take, phone, give, fake, phone, theyre, amuse, hour, recommend]]","[[reason average consumer purchase fake iphone phone look feel iphone others like take phone give fake phone theyre amuse hour recommend, 0.0076, 5]]"
B00PK27Y48,[-0.411],[4],"[[case, fit, hate, carry, purse, carry, cash, card, thing, dont, take, case, charge, phone, cut, isnt]]","[[case fit hate carry purse carry cash card thing dont take case charge phone cut isnt, -0.411, 4]]"
B00PK2EVR6,[-0.0258],[5],"[[work, great, carry, case, size, cell, phone, charge, last, charge, galaxy]]","[[work great carry case size cell phone charge last charge galaxy, -0.0258, 5]]"
B00PKM1QBA,"[0.6369, 0.607, 0.9569, 0.91, 0.7111, 0.5106, 0.1901, 0.6369, -0.2263]","[5, 5, 1, 5, 4, 1, 4, 5, 1]","[[order, studio, phone, miami, base, phone, company, bluand, word, describe, phone, read, complaint, make, people, order, phone, give, review, lack, computer, knowledge, realize, thing, dont, know, use, cellphone, plain, working, inch, item, phone, work, load, time, watch, netflix, phone, people, complain, phone, shut, staying, lit, periods, time, phone, novice, dont, well, setting, state, display, turn, daydream, mode, place, sleep, mode, phone, setting, say, phone, time, cycle, start, time, begin, second, end, minute, dont, input, world, cellphone, drop, accident, work, drawback, piece, hardware, blu, studio, phone, battery, time, get, hour, talktime, guess, decent, lot, talk, thought, battery, assume, model, blu, studio, phone, battery, tp, purchase, complaint, inch, blu, phone], [bring, daughter, love, havent, problem, load, game, problem, gb, leave, issue, find, case], [phone, tablet, excellent, color, want, im, unhappy, cause, white, saw, click, reason, get, grey, way, buy, housing], [wife, match, phone, match, cell, phone, wallet, case, love, work, fast, speed, lot, space, phone, save, store, data], [buy, turn, stop, work, day], [prosbr, right, box, know, wasgreat, streaming, show, moviesbr, consbr, front, camera, lightingbr, rear, camera, expose, allows, scratch, surface, cant, see, anymore, drop, phonebr, screen, cheap, inch, screen, gorilla, glass, something, protect, entire, middle, phone, screen, cave, make, inch, screenbr, br, hop, make, studio, ii, improve, camera, screen, phone, save, money, prefer, life, pro, ot, vivo, selfie, want, stick, blu, stay, budget, better, camera, design, quality], [phone, drop, something, route, destination, freeze, hold, power, button, second, restart, whenever, ready, use, people, call, say, go, voice, mail]]","[[order studio phone miami base phone company bluand word describe phone read complaint make people order phone give review lack computer knowledge realize thing dont know use cellphone plain working inch item phone work load time watch netflix phone people complain phone shut staying lit periods time phone novice dont well setting state display turn daydream mode place sleep mode phone setting say phone time cycle start time begin second end minute dont input world cellphone drop accident work drawback piece hardware blu studio phone battery time get hour talktime guess decent lot talk thought battery assume model blu studio phone battery tp purchase complaint inch blu phone, 0.6369, 5], [bring daughter love havent problem load game problem gb leave issue find case, 0.607, 5], [phone tablet excellent color want im unhappy cause white saw click reason get grey way buy housing, 0.9569, 1], [wife match phone match cell phone wallet case love work fast speed lot space phone save store data, 0.91, 5], [buy turn stop work day, 0.7111, 4], [prosbr right box know wasgreat streaming show moviesbr consbr front camera lightingbr rear camera expose allows scratch surface cant see anymore drop phonebr screen cheap inch screen gorilla glass something protect entire middle phone screen cave make inch screenbr br hop make studio ii improve camera screen phone save money prefer life pro ot vivo selfie want stick blu stay budget better camera design quality, 0.5106, 1], [phone drop something route destination freeze hold power button second restart whenever ready use people call say go voice mail, 0.1901, 4], [, 0.6369, 5], [, -0.2263, 1]]"
B00PLKE0W8,[0.0],[5],[[want]],"[[want, 0.0, 5]]"
B00PNW4BF0,[-0.7351],[1],"[[year, product, stop, work, follow, direction, grip, stay, put, dash, car, product, find, way, contact, seller, get, replacement]]","[[year product stop work follow direction grip stay put dash car product find way contact seller get replacement, -0.7351, 1]]"
B00PQCEGSO,[0.872],[5],"[[light, bright, length, cord]]","[[light bright length cord, 0.872, 5]]"
B00PWJZX88,[0.8547],[5],"[[far, price, personalize, otterbox]]","[[far price personalize otterbox, 0.8547, 5]]"
B00Q1QZWNW,[-0.1154],[4],"[[fit, perfect, didnt, issue, line, o, thought, silver, iphone, doesnt, match, stock, graysilver]]","[[fit perfect didnt issue line o thought silver iphone doesnt match stock graysilver, -0.1154, 4]]"
B00Q69ZLKS,[0.9628],[5],"[[take, well, worth, wait, easy, design, protects, phone]]","[[take well worth wait easy design protects phone, 0.9628, 5]]"
B00QAY1ZBI,[-0.1027],[2],[[put]],"[[put, -0.1027, 2]]"
B00QGRHGYO,[0.4404],[2],"[[picture, look, well, thing]]","[[picture look well thing, 0.4404, 2]]"
B00QXXYB6M,[0.5267],[5],"[[simple, ear, bugds, work, kiddos, go, crazy, work, funky, one]]","[[simple ear bugds work kiddos go crazy work funky one, 0.5267, 5]]"
B00R1J3CJ4,[0.6249],[5],[[quality]],"[[quality, 0.6249, 5]]"
B00R522M4I,[0.6249],[4],[[product]],"[[product, 0.6249, 4]]"
B00R5S6FEA,[0.836],[5],"[[price, perfect]]","[[price perfect, 0.836, 5]]"
B00RNFEFDS,[-0.5574],[2],"[[item, make, cable, shield, picking, alot, signal, noise, wasnt, awful, testing, challenge, location, talk, someone, poor, connection, end, end, waste, call, spend, couple, buck, get, shield, worry, connection]]","[[item make cable shield picking alot signal noise wasnt awful testing challenge location talk someone poor connection end end waste call spend couple buck get shield worry connection, -0.5574, 2]]"
B00RXE4Q5Q,"[0.7677, -0.883]","[2, 2]","[[return, case, week, use, treatment, drop, corner, drop, phone, cradle, broke, split, see, image, start, day, use, happen, week, purchase, hence, returnbr, br, ive, case, le, month, qualityofcase, dependent, week, cradle, hold, phonebr, br, area, phone, fake, leather, cover, look, fine, damage, wear, youd, expect, week, cradle, made], [yeah, past, tense, love, carry, wallet, phone, lose, make, pull, hair, pen, functionality, part, screen, spending, week, frustrate, find, culprit, help, forum, friend, case, magnet, stylus, make, precision, function, sell, phone, go, tube, make, case, like, look, function, ala, case, galaxy, note, wasnt, mean]]","[[return case week use treatment drop corner drop phone cradle broke split see image start day use happen week purchase hence returnbr br ive case le month qualityofcase dependent week cradle hold phonebr br area phone fake leather cover look fine damage wear youd expect week cradle made, 0.7677, 2], [yeah past tense love carry wallet phone lose make pull hair pen functionality part screen spending week frustrate find culprit help forum friend case magnet stylus make precision function sell phone go tube make case like look function ala case galaxy note wasnt mean, -0.883, 2]]"
B00S0FPL6U,[0.4678],[1],"[[thays, look, protection, none]]","[[thays look protection none, 0.4678, 1]]"
B00S0R5XJ8,[0.5994],[5],"[[fast, delivery]]","[[fast delivery, 0.5994, 5]]"
B00S7STLB6,"[0.3612, -0.5873, -0.4019, 0.3048, 0.0129, -0.5446, -0.49, -0.2263, -0.296, 0.8402, 0.0]","[5, 1, 1, 2, 4, 2, 1, 1, 3, 5, 2]","[[case, headphone, adapter, get, shortage], [thank], [amaze, love], [case, work, time, time, put, phone, phone, get, wet, wouldnt, turn, get, whole, phone, lose, picture, vacation, buy, spend, money, case, save, money, stress], [beginning, use, month, plastic, piece, come, case, happen, case, longer, become, waterproofbr, br, opinion, seem, cheap, wouldnt, recommend], [case, love, color, size, everything, time, put, phone, turn, volume, cant, get, switch, stay, order, keep, whats, point, use, case, cant, switch, vibrate, kinda, dissatisfy], [case, less, week, switch, turn, sound, button, ring, silent, broke, side, disappoint, design, case], [use, case, week, didnt, drop, phone, anything, im, disappoint], [there, hole, speaker], [buy, case, want, waterproof, case, phone, take, pic, canoe, trip, problem, wont, use, take, temper, glass, protection, screen, get, case, snap, shut, connect, phone, charger, case, didnt], [case, crack, time, drop, order, something, week, destine, trash]]","[[case headphone adapter get shortage, 0.3612, 5], [thank, -0.5873, 1], [amaze love, -0.4019, 1], [case work time time put phone phone get wet wouldnt turn get whole phone lose picture vacation buy spend money case save money stress, 0.3048, 2], [beginning use month plastic piece come case happen case longer become waterproofbr br opinion seem cheap wouldnt recommend, 0.0129, 4], [case love color size everything time put phone turn volume cant get switch stay order keep whats point use case cant switch vibrate kinda dissatisfy, -0.5446, 2], [case less week switch turn sound button ring silent broke side disappoint design case, -0.49, 1], [use case week didnt drop phone anything im disappoint, -0.2263, 1], [there hole speaker, -0.296, 3], [buy case want waterproof case phone take pic canoe trip problem wont use take temper glass protection screen get case snap shut connect phone charger case didnt, 0.8402, 5], [case crack time drop order something week destine trash, 0.0, 2]]"
B00SCIFS54,[0.714],[1],"[[wood, case, part, fragile, wear, tear, case, crack, week, crack, keep, appear, start, break, apart, need, reinforce, packing, tape, replace, month, wish, buy, something]]","[[wood case part fragile wear tear case crack week crack keep appear start break apart need reinforce packing tape replace month wish buy something, 0.714, 1]]"
B00SIHCQT0,"[0.6845, 0.765, 0.0]","[5, 5, 1]","[[case, ive, drop, nothing, happens, phone, case, nice, smooth, rubber, case], [item, describe, color, seller], [cheap, piece, plastic]]","[[case ive drop nothing happens phone case nice smooth rubber case, 0.6845, 5], [item describe color seller, 0.765, 5], [cheap piece plastic, 0.0, 1]]"
B00SMAL0HW,[0.9442],[5],"[[size, great, love, pocket, license, credit, card]]","[[size great love pocket license credit card, 0.9442, 5]]"
B00SML3HRM,[-0.4215],[1],"[[broke, couple, hour, attempt, take, pick, send, remove, bottom, snap]]","[[broke couple hour attempt take pick send remove bottom snap, -0.4215, 1]]"
B00SML6JWC,"[0.9313, -0.5371, 0.4215]","[5, 1, 2]","[[super, sturdy, ton, case], [product, make, part, break, hour], [nice, look, case, plug, ipod, touch, car, speaker]]","[[super sturdy ton case, 0.9313, 5], [product make part break hour, -0.5371, 1], [nice look case plug ipod touch car speaker, 0.4215, 2]]"
B00SSRXFFE,"[0.8402, -0.296]","[5, 1]","[[daughter, love, seems, make], [doesnt, keep, water, switch, silence, phone, case, doesnt, switch]]","[[daughter love seems make, 0.8402, 5], [doesnt keep water switch silence phone case doesnt switch, -0.296, 1]]"
B00SZIB7JM,"[0.0, -0.2732]","[1, 5]","[[come, power, strip, cant, find], [husband, need, keep, work, electronics, spot, charge, night, morning, spot, grab, go]]","[[come power strip cant find, 0.0, 1], [husband need keep work electronics spot charge night morning spot grab go, -0.2732, 5]]"
B00T2B1SKY,[-0.1461],[2],"[[buy, casecharger, worth, money, screen, protector, look, made, mattel, pile, crap, go, way, bottom, side, protector, stay, place, slide, time, stick, get, air, bubble, get, today, dont, know, good, work, dont, expect, lot, case, screen, protector, cent]]","[[buy casecharger worth money screen protector look made mattel pile crap go way bottom side protector stay place slide time stick get air bubble get today dont know good work dont expect lot case screen protector cent, -0.1461, 2]]"
B00T5CZJAA,"[0.7976, 0.6249, 0.8718]","[5, 5, 5]","[[case, sturdy, take, hit], [phone, purpose, make], [happy, arrive, time, nothing, say]]","[[case sturdy take hit, 0.7976, 5], [phone purpose make, 0.6249, 5], [happy arrive time nothing say, 0.8718, 5]]"
B00TP0S6SY,"[0.7964, -0.25]","[5, 1]","[[using, month, intact, work, need, looking], [get, dud, buy, cord, replace, amazon, cord, fallen, apart, year, use, wife, want, something, time, cord, function, unplug, time, get, work, plug, minute, start, charge, time, wont, charge]]","[[using month intact work need looking, 0.7964, 5], [get dud buy cord replace amazon cord fallen apart year use wife want something time cord function unplug time get work plug minute start charge time wont charge, -0.25, 1]]"
B00UF8ZUOS,[0.5587],[5],"[[im, happy, purchase, receiver, everything, need, complaint, doesnt, accept, lollipop, update, money]]","[[im happy purchase receiver everything need complaint doesnt accept lollipop update money, 0.5587, 5]]"
B00UFG5GVM,"[0.6808, -0.7715, 0.8885, 0.6317, 0.8925, 0.0, 0.7003, -0.2755, 0.3612, 0.8519, 0.5719, 0.6249, 0.6369, 0.0516, 0.7684, -0.1531, 0.6369, 0.1027, 0.5719, 0.6249, 0.7003, 0.6597, -0.2023, 0.8439, 0.4404, 0.7906, 0.4404, 0.296, -0.0954]","[4, 5, 5, 5, 5, 5, 5, 1, 4, 5, 5, 5, 5, 5, 4, 1, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5]","[[work, ellipsis, tablet, price, find], [order, quality, appears, excellent], [time, tell, far, work, great], [seems, job, work, time, fail, promise, replacement], [work, good, package, quality], [seller, ship, quality, work, fine, recommend, others], [quality, price], [quality], [build, usb, cable, purchase, try, lot, brand, amazon, die, month, hold, feel, time], [cable, arrive, time, work, mini], [complaint, test, work, expect, update, quality, issue, crop], [complaint, suppose], [cable, price], [job, expect], [quick, shipping, cable, work], [solid, cable], [need, cable, car, home, travel, trailer, couple, pack, wire, give, guest, ability, charge, device, need, micro, usb, connection], [cable, work, phone, charge, havent, use, draw, device, tablet, etc], [theyre, usb, cable, connect, item, allow, data, transfer, one, feet], [buy, rankie, pack, use, office, staff, share, device, ask, plug, charge, device], [price, great, value, theyre, sturdy, material, feel, app, development, im, need, micro, usb, cable, look, need, replacement], [please, replace], [cord, say, work, buy], [happy, great, cable], [receive, look, quality, buy, buy, case, need, housing, microusb, size], [nice, product, nice, price], [micro, usb, cable, micro, sd, cable, fit, p, anything, buy], [rankie, cord, perfect, replacement, product, receive, pc, tablet, smart, phone, foster, puppy, chew, cord, device, use, purchase, get, neededbr, br, purchase, cord, vendor, seem, make, cord, make, affect, connectivity, way, cord, bend, connection, point, consistent, contact, nothing, worse, find, tablet, juice, hour, happen, time, order, length, cord, vendor, allow, return, exchangeand, item, cost, thesebr, br, rankie, customer, service, offer, service, replacement, exchange, connection, point, device, damage, fit, unbend, cord, didnt, find, cord], [excellent, cable]]","[[work ellipsis tablet price find, 0.6808, 4], [order quality appears excellent, -0.7715, 5], [time tell far work great, 0.8885, 5], [seems job work time fail promise replacement, 0.6317, 5], [work good package quality, 0.8925, 5], [seller ship quality work fine recommend others, 0.0, 5], [quality price, 0.7003, 5], [quality, -0.2755, 1], [build usb cable purchase try lot brand amazon die month hold feel time, 0.3612, 4], [cable arrive time work mini, 0.8519, 5], [complaint test work expect update quality issue crop, 0.5719, 5], [complaint suppose, 0.6249, 5], [cable price, 0.6369, 5], [job expect, 0.0516, 5], [quick shipping cable work, 0.7684, 4], [solid cable, -0.1531, 1], [need cable car home travel trailer couple pack wire give guest ability charge device need micro usb connection, 0.6369, 5], [cable work phone charge havent use draw device tablet etc, 0.1027, 5], [theyre usb cable connect item allow data transfer one feet, 0.5719, 5], [buy rankie pack use office staff share device ask plug charge device, 0.6249, 5], [price great value theyre sturdy material feel app development im need micro usb cable look need replacement, 0.7003, 5], [please replace, 0.6597, 5], [cord say work buy, -0.2023, 3], [happy great cable, 0.8439, 5], [receive look quality buy buy case need housing microusb size, 0.4404, 5], [nice product nice price, 0.7906, 5], [micro usb cable micro sd cable fit p anything buy, 0.4404, 5], [rankie cord perfect replacement product receive pc tablet smart phone foster puppy chew cord device use purchase get neededbr br purchase cord vendor seem make cord make affect connectivity way cord bend connection point consistent contact nothing worse find tablet juice hour happen time order length cord vendor allow return exchangeand item cost thesebr br rankie customer service offer service replacement exchange connection point device damage fit unbend cord didnt find cord, 0.296, 5], [excellent cable, -0.0954, 5]]"
B00UI0NGXA,"[0.7579, 0.8985, 0.2357, 0.7332, 0.0, 0.6249, 0.9531, 0.2732]","[5, 5, 4, 4, 5, 5, 5, 4]","[[product, perfect, fit, super, easy], [screen, protector, ive, see, screen, protector, well, job, handling, smudge, fingerprint, thats, isnt, buy, screen, protector, instruction, ditch, instruction, way], [premium, quality, perfect, fit, anti, oil, perfect, cut], [ipad, look, nice, recommend], [go, shipping, fast], [say, satisfy, product, didnt, putting, ipad, mini, want, get, glass, screen, protector, plastic, instruction, box, use, confuse, base, experience, use, half, item, come, box, didnt, bubble, mine, include, photo, reason, give, item, star, see, fingerprint, screen], [work], [screen, protector]]","[[product perfect fit super easy, 0.7579, 5], [screen protector ive see screen protector well job handling smudge fingerprint thats isnt buy screen protector instruction ditch instruction way, 0.8985, 5], [premium quality perfect fit anti oil perfect cut, 0.2357, 4], [ipad look nice recommend, 0.7332, 4], [go shipping fast, 0.0, 5], [say satisfy product didnt putting ipad mini want get glass screen protector plastic instruction box use confuse base experience use half item come box didnt bubble mine include photo reason give item star see fingerprint screen, 0.6249, 5], [work, 0.9531, 5], [screen protector, 0.2732, 4]]"
B00US4AFYE,[0.6249],[5],[[awesome]],"[[awesome, 0.6249, 5]]"
