1060747871,[0.7906],[5],"[[product, use, fit, pocket]]","[[product use fit pocket, 0.7906, 5]]"
B00JN5SLHC,[0.9941],[2],"[[instal, include, cd, windows, set, operate, second, recommed, driver, cd, host, tackon, program, get, instal, driver, prefer, use, tool, build, window, br, br, work, bth, headset, microphone, isnt, connect, happens, laptop, integrate, isnt, adapter, issue, aside, bt, device, function, work, brilliantlybr, br, add, daybr, br, ive, try, use, default, realtek, csr, driver, windows, database, download, version, softmedia, bth, play, audio, mono, khz, handsfree, renderer, khzkhz, stereo, band, headphone, support, issue, occur, laptop, native, bt, transceiver, cell, phone, luck, get, work, score, bounce, find, solution, post, herebr, br, add, bedbr, br, ok, say, ignore, driver, cd, windows, ignore, suggestion, ignorebr, br, install, software, device, unplug, computer, instal, use, setup, autorun, determine, driver, set, bit, bit, need, done, plug, dongle, home, give, second, load, csr, toolbr, br, set, headphone, pair, mode, go, toolbar, clock, bottomless, triangle, point, window, x, bluetooth, icon, stylize, b, blue, oval, click, add, bluetooth, device, select, audiovideo, device, pair, take, second, see, status, popups, device, id, set, window, device, setbr, br, right, click, bluetooth, icon, select, bluetooth, device, find, headphone, click, service, handsfree, profile, select, bluetooth, audio, renderer, playback, device, default, device, play, awaybr, br, verdictbr, br, adapter, design, audio, csr, reputation, home, development, arena, linux, product, avoid, function, select, speaker, headset, highquality, stereo, field, use, multiple, profile, time, eg, handsfree, headset, headphone, software, limitation, hardware, wise, bt, need, multiple, profile, consider, smartphone, play, music, headphone, send, notebook, pc, take, voice, command, headset, timebr, br, need, data, handle, function, handsfree, device, fine, want, audio, caveat, emptor, fine, end, ambr, br, ive, opt, bt, class, device, base, broadcom, transciever, asinbzeuw, oduo, lyncit, usb, bluetooth, adapter, window, windows, window, vistabr, br, look, get, pay, send, backr, br, right, click, bluetooth, icon, select, bluetooth, device, find, headphone, click, service, handsfree, profile, select, bluetooth, audio, renderer, playback, device, default, device, play, awaybr, br, verdictbr, br, adapter, design, audio, csr, reputation, home, development, arena, linux, product, avoid, function, select, speaker, headset, highquality, stereo, field, use, multiple, profile, time, eg, handsfree, headset, headphone, software, limitation, hardware, wise, bt, need, multiple, profile, consider, smartphone, play, music, headphone, send, notebook, pc, take, voice, command, headset, timebr, br, need, data, handle, function, handsfree, device, fine, want, audio, caveat, emptor, fine, end, ambr, br, ive, opt, bt, class, device, base, broadcom, transciever, asinbzeuw, oduo, lyncit, usb, bluetooth, adapter, window, windows, window, vistabr, br, look, get, pay, send, back]]","[[instal include cd windows set operate second recommed driver cd host tackon program get instal driver prefer use tool build window br br work bth headset microphone isnt connect happens laptop integrate isnt adapter issue aside bt device function work brilliantlybr br add daybr br ive try use default realtek csr driver windows database download version softmedia bth play audio mono khz handsfree renderer khzkhz stereo band headphone support issue occur laptop native bt transceiver cell phone luck get work score bounce find solution post herebr br add bedbr br ok say ignore driver cd windows ignore suggestion ignorebr br install software device unplug computer instal use setup autorun determine driver set bit bit need done plug dongle home give second load csr toolbr br set headphone pair mode go toolbar clock bottomless triangle point window x bluetooth icon stylize b blue oval click add bluetooth device select audiovideo device pair take second see status popups device id set window device setbr br right click bluetooth icon select bluetooth device find headphone click service handsfree profile select bluetooth audio renderer playback device default device play awaybr br verdictbr br adapter design audio csr reputation home development arena linux product avoid function select speaker headset highquality stereo field use multiple profile time eg handsfree headset headphone software limitation hardware wise bt need multiple profile consider smartphone play music headphone send notebook pc take voice command headset timebr br need data handle function handsfree device fine want audio caveat emptor fine end ambr br ive opt bt class device base broadcom transciever asinbzeuw oduo lyncit usb bluetooth adapter window windows window vistabr br look get pay send backr br right click bluetooth icon select bluetooth device find headphone click service handsfree profile select bluetooth audio renderer playback device default device play awaybr br verdictbr br adapter design audio csr reputation home development arena linux product avoid function select speaker headset highquality stereo field use multiple profile time eg handsfree headset headphone software limitation hardware wise bt need multiple profile consider smartphone play music headphone send notebook pc take voice command headset timebr br need data handle function handsfree device fine want audio caveat emptor fine end ambr br ive opt bt class device base broadcom transciever asinbzeuw oduo lyncit usb bluetooth adapter window windows window vistabr br look get pay send back, 0.9941, 2]]"
B00JOZ75XW,"[0.891, 0.6249, -0.2411, -0.4215, 0.0, 0.6249]","[2, 5, 2, 2, 5, 5]","[[ship, quality], [awesome, product], [buy, item, week, receive, open, package, notice, cailifu, temper, glass, cailifu, packaging], [work, great, try, readjust, protector, crack, get, shot, recommend, protector, good, feel], [broke, month], []]","[[ship quality, 0.891, 2], [awesome product, 0.6249, 5], [buy item week receive open package notice cailifu temper glass cailifu packaging, -0.2411, 2], [work great try readjust protector crack get shot recommend protector good feel, -0.4215, 2], [broke month, 0.0, 5], [, 0.6249, 5]]"
B00JP0QQBI,[0.6249],[5],[[work]],"[[work, 0.6249, 5]]"
B00JP3RLNM,"[-0.4767, -0.4251, 0.0, 0.8873]","[1, 1, 1, 5]","[[couple, week, protector, crack, lifetime, replacement, sure, contact, infobr, protector, keep, year, instruction, either, look, u, tube, ], [item, receive, break], [screen, protector, califu, brand, cheap, brand, get], [drop, phone, lot, temper, glass, save, screen, say, try, lot, temper, glass, screen, protector, product, well, one, price, dozen, tumble, grind, include, screen, protector, go, bit, corner, chip, say, drop, phone, lot, hairline, fracture, protector, consider, better, protector]]","[[couple week protector crack lifetime replacement sure contact infobr protector keep year instruction either look u tube , -0.4767, 1], [item receive break, -0.4251, 1], [screen protector califu brand cheap brand get, 0.0, 1], [drop phone lot temper glass save screen say try lot temper glass screen protector product well one price dozen tumble grind include screen protector go bit corner chip say drop phone lot hairline fracture protector consider better protector, 0.8873, 5]]"
B00JQKUCHQ,[0.8789],[4],"[[battery, pack, heavy, describe, review, reason, give, star, find, cord, surface, pro, work, life, lose, charge, use, week, fact, need, charge, use, time, charge, device]]","[[battery pack heavy describe review reason give star find cord surface pro work life lose charge use week fact need charge use time charge device, 0.8789, 4]]"
B00JTVSVB6,[-0.4588],[5],"[[gift, comment, receive, feedback, presume, job, intend]]","[[gift comment receive feedback presume job intend, -0.4588, 5]]"
B00K7JFC9I,[-0.2755],[2],"[[return, fit, phone]]","[[return fit phone, -0.2755, 2]]"
B00KD5ITH8,[-0.5023],[1],"[[case, arrive, time, miss, part, glass, come, corner, contact, didnt, come, case, shown, picture, use, old, one, phone, kinda, look, time, ill, shop, thumb]]","[[case arrive time miss part glass come corner contact didnt come case shown picture use old one phone kinda look time ill shop thumb, -0.5023, 1]]"
B00KPC81W2,"[0.4927, 0.4404, 0.6124]","[5, 5, 5]","[[thanks], [product, stay, face, iphone], [product]]","[[thanks, 0.4927, 5], [product stay face iphone, 0.4404, 5], [product, 0.6124, 5]]"
B00KR44J24,[0.8748],[5],"[[buy, case, husband, phone, need, carry, phone, work, safe, place, case, good, job, stand, case, want, put, phone, table, watch, video, case, resistant, drop, phone, time, phone, intact, case, nice, product]]","[[buy case husband phone need carry phone work safe place case good job stand case want put phone table watch video case resistant drop phone time phone intact case nice product, 0.8748, 5]]"
B00KSMCTZE,[0.8805],[5],"[[nice, color, protection, cellphone]]","[[nice color protection cellphone, 0.8805, 5]]"
B00KXDPV44,[0.0],[1],"[[match, product, image, image, correct]]","[[match product image image correct, 0.0, 1]]"
B00KXI2W14,[0.0],[5],[[]],"[[, 0.0, 5]]"
B00L2IR66A,[0.0],[1],"[[stick, clean, surface]]","[[stick clean surface, 0.0, 1]]"
B00L5QWKD8,[0.0],[5],"[[come, handy]]","[[come handy, 0.0, 5]]"
B00L82Y442,[0.4019],[3],"[[case, ok, bulky, work, mount, mount, switch, car, mount, need, buy, mounting, device, description, picture, show, car, mount, item, include, order, case, see, work, car, mount, picture, require, removing, phone, case, replace, back, plate, put, phone, case, deal, make, le]]","[[case ok bulky work mount mount switch car mount need buy mounting device description picture show car mount item include order case see work car mount picture require removing phone case replace back plate put phone case deal make le, 0.4019, 3]]"
B00L9UWU5I,[0.1154],[1],"[[pull, apart, week, use, base, review, guess, get, pay, buy, something, less, dollar]]","[[pull apart week use base review guess get pay buy something less dollar, 0.1154, 1]]"
B00LU2A7T6,[0.4232],[3],"[[buy, version, screen, guard, name, suggest, glassbr, prosbr, come, cloth, squeezerbr, clear, glassbr, consbr, perfect, size, find, gap, screenguard, edge]]","[[buy version screen guard name suggest glassbr prosbr come cloth squeezerbr clear glassbr consbr perfect size find gap screenguard edge, 0.4232, 3]]"
B00LUBSJDI,[0.8316],[5],"[[item, fit, excellent, light]]","[[item fit excellent light, 0.8316, 5]]"
B00M1VVO5Q,"[0.5023, -0.3818]","[4, 1]","[[crap], [case, scratch, bit, get, look]]","[[crap, 0.5023, 4], [case scratch bit get look, -0.3818, 1]]"
B00MGTES6K,"[0.9287, -0.7869]","[5, 5]","[[complaint, take, hour, charge, forget, plug, hour, get, light, charge, kill, charge, dead, charge, light, kind, reduces, charge, capacity, time, notice, thats, ive, love, leave, home], [super, cute, super, useful, age, cell, phone, battery, last, day]]","[[complaint take hour charge forget plug hour get light charge kill charge dead charge light kind reduces charge capacity time notice thats ive love leave home, 0.9287, 5], [super cute super useful age cell phone battery last day, -0.7869, 5]]"
B00MILUV58,[0.9198],[2],"[[item, make, dont, want, use, wallet, case, want, use, wallet, cell, phone, case, credit, id, card, phone, cash, case, close, phone, card]]","[[item make dont want use wallet case want use wallet cell phone case credit id card phone cash case close phone card, 0.9198, 2]]"
B00MMKUCR2,[-0.1813],[3],"[[work, okay, connector, didnt, sit, place, apple, screen, take, try, get, screen, work, line, touch, work, faint, square, go, screen, decision, keep, break, screen, press, faint, square]]","[[work okay connector didnt sit place apple screen take try get screen work line touch work faint square go screen decision keep break screen press faint square, -0.1813, 3]]"
B00MN1VC6K,[0.4019],[3],"[[seem, idea, use]]","[[seem idea use, 0.4019, 3]]"
B00MN9WPRC,[0.0],[4],"[[didn, give, star, ofbwork, talk, cover]]","[[didn give star ofbwork talk cover, 0.0, 4]]"
B00MQGODOU,"[0.6369, -0.2755, 0.5719, 0.765, 0.4404, -0.4939, 0.5719]","[4, 1, 5, 5, 5, 1, 5]","[[job, thanks], [fit, perfect, c], [come, crack, waste, money], [case, secure, provide, protection, drop, phone, plenty, time, case, didnt, crack, anything, ], [didnt, iphone, cheap], [case], [perfect]]","[[job thanks, 0.6369, 4], [fit perfect c, -0.2755, 1], [come crack waste money, 0.5719, 5], [case secure provide protection drop phone plenty time case didnt crack anything , 0.765, 5], [didnt iphone cheap, 0.4404, 5], [case, -0.4939, 1], [perfect, 0.5719, 5]]"
B00MR4UX68,"[0.0, 0.4927]","[4, 4]",[[job]],"[[job, 0.0, 4], [, 0.4927, 4]]"
B00MVFAZ2A,"[0.431, -0.3612, -0.6003, 0.6249]","[4, 1, 1, 5]","[[excite, item, earlier, expect, packaging, fine, everything, seem, promise, open, tool, screw, driver, head, distort, seems, send, band, misfit, tool, waste, dollar, something, cant, use, tool, useless], [work, great, need, know, tool, cheep], [come, hairline, crack, underneath, glass, mm, length, pay, day, shipping, desperate, need, screen, glass, shard, fall, went, change, anyway, time, crack, grown, inch, quality, recommend, go, electronics, price, guarantee, spend, age, change, screen]]","[[excite item earlier expect packaging fine everything seem promise open tool screw driver head distort seems send band misfit tool waste dollar something cant use tool useless, 0.431, 4], [work great need know tool cheep, -0.3612, 1], [come hairline crack underneath glass mm length pay day shipping desperate need screen glass shard fall went change anyway time crack grown inch quality recommend go electronics price guarantee spend age change screen, -0.6003, 1], [, 0.6249, 5]]"
B00MVO0YTU,[0.9552],[5],"[[classy, iphone, case, class, feel, leather, exact, fit, perfect, finish, way, market]]","[[classy iphone case class feel leather exact fit perfect finish way market, 0.9552, 5]]"
B00MWUCG3U,[-0.6681],[1],"[[quality, recommend]]","[[quality recommend, -0.6681, 1]]"
B00NCF78UK,[0.0],[1],[[band]],"[[band, 0.0, 1]]"
B00NCJ4HZ0,"[0.8481, 0.2023, 0.0, 0.4715, -0.3818, -0.9118, 0.2732, 0.4749, -0.3182, 0.6369, 0.7579, 0.4404, 0.6249, 0.5187, 0.5466, 0.6249, 0.6213]","[5, 4, 4, 1, 3, 1, 1, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5]","[[case, less, month, covering, camera, flash, plastic, cover, main, circle, button, torn, clear, plastic, put, saran, wrap, material, make, case, worthless, come, water, protection, price, pay, expect, year, use], [color, light, sleek, bulky, lot, case], [got, fast, suppose], [product], [disappoint, life, case, get, break, piece, float, headphone, jack, gadget, attach, piece, hold, case, open, charge, slot, break, case, seal, appear, return, item, concern, wuality, control, go, order, otter, box, quality, order, life, case, husband, hasnt, try, phone, quality, iphone, try, check, quality, review], [case], [case, piece, garbage, daughter, receive, birthday, protect, iphone, time, go, pool, phone, case, phone, suffer, water, damage, render, useless, worthless, case, break, phone, case, complete, sham], [work, amaze, water, take, pool, help, phone, break, drop], [bit, disappoint, purchase, case, month, perfect, drop, hottub, fine, water, inside, go, couple, drop, problem, go, use, headphone, jack, rip, purchase, case, fail, test, case, survive, drop, button, rip, case, fineexcept, test, im, purchase, th, case, hope, lifeproofthis, time, take, refund], [work, come], [star, case, lift, seal], [work, good, voice, distortion, voice], [phone, strap, model, rocket, fell, height, foot, land, grass, phone, survive, damage, attribute, quality, case], [pricebr, great, quality], [im, life, notice, day, area, flash, break, dont, ], [put], [case, problem, use, apple, cord, needing, replace, phone, crack, screen, work]]","[[case less month covering camera flash plastic cover main circle button torn clear plastic put saran wrap material make case worthless come water protection price pay expect year use, 0.8481, 5], [color light sleek bulky lot case, 0.2023, 4], [got fast suppose, 0.0, 4], [product, 0.4715, 1], [disappoint life case get break piece float headphone jack gadget attach piece hold case open charge slot break case seal appear return item concern wuality control go order otter box quality order life case husband hasnt try phone quality iphone try check quality review, -0.3818, 3], [case, -0.9118, 1], [case piece garbage daughter receive birthday protect iphone time go pool phone case phone suffer water damage render useless worthless case break phone case complete sham, 0.2732, 1], [work amaze water take pool help phone break drop, 0.4749, 5], [bit disappoint purchase case month perfect drop hottub fine water inside go couple drop problem go use headphone jack rip purchase case fail test case survive drop button rip case fineexcept test im purchase th case hope lifeproofthis time take refund, -0.3182, 1], [work come, 0.6369, 5], [star case lift seal, 0.7579, 5], [work good voice distortion voice, 0.4404, 5], [phone strap model rocket fell height foot land grass phone survive damage attribute quality case, 0.6249, 5], [pricebr great quality, 0.5187, 5], [im life notice day area flash break dont , 0.5466, 5], [put, 0.6249, 5], [case problem use apple cord needing replace phone crack screen work, 0.6213, 5]]"
B00NCQI0B0,"[0.899, 0.802, 0.7845, 0.5719, 0.743, 0.6369, 0.421, 0.3716]","[5, 4, 5, 5, 5, 5, 5, 4]","[[case, price, doesnt, add, bulkiness, phone, nice, grip], [profile, phone, protection, case, elago, case, own, version, iphones, make, quality, material, prevent, screenback, crack, instance, drop, rubbery, pocket, slippery, experience, br, find, say, want, case, thats, bulky, want, phone, protection, look, case, job, protect, phone, pair, screen, protector, opinion, youre, operating, otterbox, level, anyway], [texture, weight, perfect], [slim, make], [install, fit, look, iphone, case, gold, standard, intend, withstand, crazy, abuse, user, drop, phone, phonethis, work], [case, price, month, crack, corner, edge, sound, control], [slim, simple, keep, clean, star, amount, cover, phone, cover, width, top, edge, phone]]","[[case price doesnt add bulkiness phone nice grip, 0.899, 5], [profile phone protection case elago case own version iphones make quality material prevent screenback crack instance drop rubbery pocket slippery experience br find say want case thats bulky want phone protection look case job protect phone pair screen protector opinion youre operating otterbox level anyway, 0.802, 4], [texture weight perfect, 0.7845, 5], [slim make, 0.5719, 5], [install fit look iphone case gold standard intend withstand crazy abuse user drop phone phonethis work, 0.743, 5], [case price month crack corner edge sound control, 0.6369, 5], [slim simple keep clean star amount cover phone cover width top edge phone, 0.421, 5], [, 0.3716, 4]]"
B00NGNQ638,"[0.7688, 0.8176, 0.0]","[5, 5, 1]","[[case, turn, finger, purple], [order, day, shipping, come, time, pop, iphone], [case, fit, phone, protect, look, get, ton, compliment, problem, case, crack, problem, magnet, start, get, bit, dingy, buy, case, replace]]","[[case turn finger purple, 0.7688, 5], [order day shipping come time pop iphone, 0.8176, 5], [case fit phone protect look get ton compliment problem case crack problem magnet start get bit dingy buy case replace, 0.0, 1]]"
B00NIGTUXQ,[0.6249],[4],"[[case, ity]]","[[case ity, 0.6249, 4]]"
B00NIS699W,[0.5719],[5],"[[wife, love]]","[[wife love, 0.5719, 5]]"
B00NJPSK82,[0.9407],[3],"[[nice, fell, find, lose, piece, couldnt, glue, stay, bit, longer]]","[[nice fell find lose piece couldnt glue stay bit longer, 0.9407, 3]]"
B00NQHYR1W,[0.8268],[5],"[[everything, excellent, purchase, way, delivery, happy, customer]]","[[everything excellent purchase way delivery happy customer, 0.8268, 5]]"
B00NQSSXRA,[0.0],[5],[[none]],"[[none, 0.0, 5]]"
B00NTW23NI,"[-0.2187, 0.5719]","[1, 5]","[[buy, go, vacation, perfect], [tolerance, horrible, life, proof, knock, seenbr, dont, waste, time, get]]","[[buy go vacation perfect, -0.2187, 1], [tolerance horrible life proof knock seenbr dont waste time get, 0.5719, 5]]"
B00NX8CECI,[0.5719],[5],"[[excellent, product]]","[[excellent product, 0.5719, 5]]"
B00O1LV0X0,[-0.6708],[1],"[[nothing, description, strap, person, wont, use, disappoint]]","[[nothing description strap person wont use disappoint, -0.6708, 1]]"
B00O3IL108,"[0.5719, 0.0, 0.6509]","[5, 5, 5]","[[exoevted], [work, perfect], [ok, great, surprise, week, battery, charge, last, hour, ex, charge, friday, morning, sunday, battery, heavy, user, send, receive, text, check, facebook, use, camera, check, email, plus, battery, charger, keep, battery, charge, emergency, backup, wow]]","[[exoevted, 0.5719, 5], [work perfect, 0.0, 5], [ok great surprise week battery charge last hour ex charge friday morning sunday battery heavy user send receive text check facebook use camera check email plus battery charger keep battery charge emergency backup wow, 0.6509, 5]]"
B00OBHFJUE,[0.9486],[5],"[[film, buy, iphones, apple, store, purchase, phone, end, pay, brand, something, screen, product, make, phone, case, manufacturer, name, ahem, equivalent, slap, thick, frost, contact, paper, phone, worthless, worst, obscure, view, screen, hinder, phone, responsiveness, relief, power, support, film, arrive, installation, simpler, bubble, hassle, place, cut, out, phone, impede, phone, functionality, usedabused, year, go, gave, phone, cousin, didnt, change, film, package, come, know, anyone, bother, purchase, screen, protectorbr, br, enthuse, screen, film, thing, count, finding, product, protects, investment, pleasure, use, deserves, mention]]","[[film buy iphones apple store purchase phone end pay brand something screen product make phone case manufacturer name ahem equivalent slap thick frost contact paper phone worthless worst obscure view screen hinder phone responsiveness relief power support film arrive installation simpler bubble hassle place cut out phone impede phone functionality usedabused year go gave phone cousin didnt change film package come know anyone bother purchase screen protectorbr br enthuse screen film thing count finding product protects investment pleasure use deserves mention, 0.9486, 5]]"
B00OCIUBN2,[-0.3252],[3],"[[body, case, title, saw, say, description, build, screen, protector]]","[[body case title saw say description build screen protector, -0.3252, 3]]"
B00OFLE9L6,[0.6369],[5],"[[screen, protector, period]]","[[screen protector period, 0.6369, 5]]"
B00OH6KQ3E,[0.7176],[5],"[[quality, screen, ive, get, work, look, doesnt, feel, cheap, screen, ive, purchase, price]]","[[quality screen ive get work look doesnt feel cheap screen ive purchase price, 0.7176, 5]]"
B00OI09JLY,"[0.7096, 0.0, 0.9485]","[5, 1, 5]","[[cheap, plastic], [ringke, product, pretty, case, think, designbr, br, everything, design, product, description, nothing, add, take], [excellent, product, perfect, fit, zcompact, unit, use, wireless, charger]]","[[cheap plastic, 0.7096, 5], [ringke product pretty case think designbr br everything design product description nothing add take, 0.0, 1], [excellent product perfect fit zcompact unit use wireless charger, 0.9485, 5]]"
B00OM8TTG2,"[0.6319, 0.7264]","[3, 5]","[[product, work, wonder, iphone, husband, android, picture, item, make, leg, look, disappointing, satisfy, purchase], [tripod, expect, product, service, price]]","[[product work wonder iphone husband android picture item make leg look disappointing satisfy purchase, 0.6319, 3], [tripod expect product service price, 0.7264, 5]]"
B00OR4IA6Q,[0.9042],[5],"[[selfie, stick, easy, set, work]]","[[selfie stick easy set work, 0.9042, 5]]"
B00OVROA72,"[0.3386, -0.267, 0.6369, 0.4215, 0.4404, 0.7684, -0.2584]","[2, 1, 5, 4, 4, 3, 2]","[[product], [nice], [open, end, doesnt, secure, phone], [arm, super, skinny, petite, stay, arm, bc, velcrow, wrap], [color, device, think, pink, color, see, picturebr, br, say, minute, open, package, notice, defect, returning, item, soft, material, inside, arm, band, peel, offbr, br, purchase, base, review, people, otterbox, case, iphone, otterbox, commuter, series, case, phone, armband, get, phone, call, try, phone, quick, otterbox, case, go, use, armband, headphones, microphone, easier, dont, use, headphone, phone], [apple, iphone, bigger, phone, great]]","[[product, 0.3386, 2], [nice, -0.267, 1], [open end doesnt secure phone, 0.6369, 5], [arm super skinny petite stay arm bc velcrow wrap, 0.4215, 4], [color device think pink color see picturebr br say minute open package notice defect returning item soft material inside arm band peel offbr br purchase base review people otterbox case iphone otterbox commuter series case phone armband get phone call try phone quick otterbox case go use armband headphones microphone easier dont use headphone phone, 0.4404, 4], [apple iphone bigger phone great, 0.7684, 3], [, -0.2584, 2]]"
B00OX3COM2,[0.296],[5],[[ok]],"[[ok, 0.296, 5]]"
B00OX7HNP6,[0.3612],[5],[[promise]],"[[promise, 0.3612, 5]]"
B00OXBLZSI,[0.7548],[5],"[[get, compliment, everyone, asks, get, size, dont, want, carry, purse]]","[[get compliment everyone asks get size dont want carry purse, 0.7548, 5]]"
B00PBVW038,[0.1406],[2],"[[wear, tab, secure, phone, broke, day]]","[[wear tab secure phone broke day, 0.1406, 2]]"
B00PG7ITIC,"[0.4754, 0.6249, 0.0]","[5, 5, 1]","[[satisfy], [simple, case], [look]]","[[satisfy, 0.4754, 5], [simple case, 0.6249, 5], [look, 0.0, 1]]"
B00PJPSNUK,[0.6124],[1],"[[get, product, work, phone, advertise, instruction, print, might, print, return, item, refund]]","[[get product work phone advertise instruction print might print return item refund, 0.6124, 1]]"
B00PKZIJ1M,[-0.7236],[3],"[[protection, broken, phone, twice, use, case, card, slot, leather, stitching, rip, side, become, lose]]","[[protection broken phone twice use case card slot leather stitching rip side become lose, -0.7236, 3]]"
B00PT5S3AU,[0.891],[5],"[[case, time, open, closing, magnet, wear, fiber, board, beautiful, hold, phone]]","[[case time open closing magnet wear fiber board beautiful hold phone, 0.891, 5]]"
B00Q1Q8VVM,[-0.1695],[1],"[[worth, money, buy, otterbox]]","[[worth money buy otterbox, -0.1695, 1]]"
B00Q84XRAC,[0.8225],[5],"[[product, sure, save, time, look, charger, charge]]","[[product sure save time look charger charge, 0.8225, 5]]"
B00QDFFKHY,"[0.923, 0.5859]","[5, 5]","[[compactness, dont, use, theyve, work, fine], [month, amazon, humidity, sun, rain, manage, unharmed, work]]","[[compactness dont use theyve work fine, 0.923, 5], [month amazon humidity sun rain manage unharmed work, 0.5859, 5]]"
B00QDN5PZI,[-0.2755],[1],"[[wont, fit, iphone]]","[[wont fit iphone, -0.2755, 1]]"
B00QK5BCZG,"[0.6369, 0.8347]","[5, 5]","[[cord, quick, charge, order, order], [purchase, pack, love, fact, foot, plug, bed, cord, reach, sit, bed, work, phone, problem, brand, micro, port, stick, devise, brand, seems, lose, ability, hold, connection, tight, week, use, one, month, month, use, connection, use, multiple, type, usb, charger, work, samsung, brand, brand, vehicle, port, etc, recommend]]","[[cord quick charge order order, 0.6369, 5], [purchase pack love fact foot plug bed cord reach sit bed work phone problem brand micro port stick devise brand seems lose ability hold connection tight week use one month month use connection use multiple type usb charger work samsung brand brand vehicle port etc recommend, 0.8347, 5]]"
B00QQ00490,[-0.5994],[1],"[[battery, work, week, case, split, function, stop, battery, seems, heat, damage, charge, carry, case, separate, function, stop]]","[[battery work week case split function stop battery seems heat damage charge carry case separate function stop, -0.5994, 1]]"
B00QSDOOFU,[0.8316],[5],"[[perfect, great, seller]]","[[perfect great seller, 0.8316, 5]]"
B00QU4P3G6,"[0.553, 0.9567]","[4, 4]","[[cover, color, give, star, get, fast], [get, today, put, film, protector, come, shine, phone, realize, people, problem, bubble, press, back, case, bubble, appear, review, glass, phone, form, case, put, film, protector, phone, bubble, go, phone, seem, fingerprint, doesnt, far, recommend, get, back, film, protector, ive, use, need, protector, prevent, bubble]]","[[cover color give star get fast, 0.553, 4], [get today put film protector come shine phone realize people problem bubble press back case bubble appear review glass phone form case put film protector phone bubble go phone seem fingerprint doesnt far recommend get back film protector ive use need protector prevent bubble, 0.9567, 4]]"
B00QXYWSA2,"[0.6369, 0.6249]","[5, 5]","[[sound], [speaker, use, go, golf, stick, front, window, golf, cart]]","[[sound, 0.6369, 5], [speaker use go golf stick front window golf cart, 0.6249, 5]]"
B00R26XEP8,"[0.9033, 0.4939, 0.3612, 0.6361]","[5, 4, 5, 5]","[[item, fit, look, deliver], [find, case, motorola, droid, nylon, version, choose, start, read, review, case, get, concern, read, complaint, say, case, wont, fit, loose, tight, get, corner, leave, fingerprint, color, chip, collect, dirt, case, review, find, order, get, case, great, fit, get, isnt, isnt, charging, case, doesnt, add, lot, bulk, phone, stay, clean, way, feel, hand, couldnt, case], [fit, glove], [case, decent, button, bit, stiff, case, lip, read, review, headphone, charge, port, locate, dont, connector, guess, tpu, material, make, button]]","[[item fit look deliver, 0.9033, 5], [find case motorola droid nylon version choose start read review case get concern read complaint say case wont fit loose tight get corner leave fingerprint color chip collect dirt case review find order get case great fit get isnt isnt charging case doesnt add lot bulk phone stay clean way feel hand couldnt case, 0.4939, 4], [fit glove, 0.3612, 5], [case decent button bit stiff case lip read review headphone charge port locate dont connector guess tpu material make button, 0.6361, 5]]"
B00RBSPT5U,[0.9709],[5],"[[need, stop, listen, review, case, great, wouldnt, get, anything, seems, protect, phone, type, drop, mishap, access, button, fine, power, button, isnt, cover, operate, yes, sd, card, slot, cover, case, remove, case, shouldnt, concern, something, infrequent, remove, card, case, form, fit, phone, play, phone, case, pull, need, case, provide, amount, grip, doesnt, make, phone, bulky, overall, good, case, look, case, protect, phone, complain, miniscule, thing, using, blackberry, theyre, work, force, say]]","[[need stop listen review case great wouldnt get anything seems protect phone type drop mishap access button fine power button isnt cover operate yes sd card slot cover case remove case shouldnt concern something infrequent remove card case form fit phone play phone case pull need case provide amount grip doesnt make phone bulky overall good case look case protect phone complain miniscule thing using blackberry theyre work force say, 0.9709, 5]]"
B00RJC1MIG,"[0.3818, 0.6249, 0.4404]","[5, 5, 5]","[[product, business], [protect, fall, experience, possession], [product, issue]]","[[product business, 0.3818, 5], [protect fall experience possession, 0.6249, 5], [product issue, 0.4404, 5]]"
B00RYQO2OI,"[-0.9699, 0.6807, 0.5719, 0.6369, -0.4215, 0.5719, 0.7269]","[1, 5, 5, 5, 3, 5, 5]","[[upset, dont, know, start, displease, product, receive, today, something, order, week, smdhbr, open, package, break, thought, case, come, break, screen, protector, break, lucky, others, unhappy, product], [perfect, phone, companion, quality, describedgood, value, cost], [broke, think, get, bulky, otter, box], [product, say, phone, note, sad, fit], [excellent], [perfect]]","[[upset dont know start displease product receive today something order week smdhbr open package break thought case come break screen protector break lucky others unhappy product, -0.9699, 1], [perfect phone companion quality describedgood value cost, 0.6807, 5], [broke think get bulky otter box, 0.5719, 5], [product say phone note sad fit, 0.6369, 5], [excellent, -0.4215, 3], [perfect, 0.5719, 5], [, 0.7269, 5]]"
B00S7Q8OXO,[0.5719],[5],"[[arrive, fast, performs]]","[[arrive fast performs, 0.5719, 5]]"
B00S9JHLM4,"[0.5994, 0.4404]","[4, 5]","[[nice, product, work], [thanks]]","[[nice product work, 0.5994, 4], [thanks, 0.4404, 5]]"
B00SAJBSOA,[0.6249],[5],[[product]],"[[product, 0.6249, 5]]"
