B0000AXP2J,[0.765],[5],"[[excellent, thanks]]","[[excellent thanks, 0.765, 5]]"
B00LRK8JDC,"[0.9679, -0.34, 0.9442, 0.4215, 0.2023, 0.8535, 0.2764, 0.8885, -0.4767, 0.4588, 0.4404, 0.7271, 0.0, 0.6249, 0.6486, 0.7526, 0.6249, 0.6249, 0.6249]","[5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5]","[[work, great], [work, advertise, lazy, go, detail, point, advertise, charging, iphone, multiple, time, doesnt, battery, self, charge, bought, iphone, ipad, im, use, take, note, campus, battery, get, multiple, time, multiple, device, charging, cable, port, gain, respect, amazon, basic, brand, purchase, make, product, hold, quality], [thing, hulk, power, bank, cheap, use, nothing, use, charge, phonekindleusb, fan, chill, human, thing], [keep, phone, kindles, battery, time, charge, kindle, take, phone, take, v], [thing, watch, friend, hug, wall], [work, great, hold, multiple, charge, thing, wire, wish, way, spool, need, wire, device], [thing, month, itll, charge, time, run, charge, port, time, problem, thing, know, need, charger, amp, capacity, charge, wall, brick, iphone, wont, cut], [charger, ive, use, charge, iphone, time, recharge, havent, plug, phone, wall, got, charger, plug, desk, work, combine, amazon, apple, certify, light, charge, phone, use, supercharge, kindle, love, charger, take, road, trip, disney, miss, moment, battery], [work, great], [work, great, charge, itll, charge, phone, charge, battery, battery, take, bit, quicker, expect, device, quality, nice, feel, use, concertsfestivals, go, camp, outlet, recommend, anybody, need, battery, great, price], [phone, battery, die], [take, vacation, work, fine, problem, carry, plane], [charge, iphone, time, charge, battery, travel, lot, work, use, phone, business, device, save, charge, phone, airport, bar], [work, great, hold, amount, charge, thin, rubberize, feel, indicator, bar, nice, nice, touch, add, velvet, pouch], [simple, everything, ask], [black, come, velvet, bag, usbminiusb, connector, charge, io, device, use, multiple, time, say, came, black, velvet, material, bag, ben, better], [realize, use, product, leave, home, take, picture, day, drain, battery, lumia, icon, power, bank, happy, purchase, think, make, gift, holiday, season, family], [option, come, vacation], [take, day, backpacking, trip, use, cell, phone, camera, function, took, battery, option, include, solar, get, seveal, iphone, charge, device, power, remaing, work, fast, recharge]]","[[work great, 0.9679, 5], [work advertise lazy go detail point advertise charging iphone multiple time doesnt battery self charge bought iphone ipad im use take note campus battery get multiple time multiple device charging cable port gain respect amazon basic brand purchase make product hold quality, -0.34, 5], [thing hulk power bank cheap use nothing use charge phonekindleusb fan chill human thing, 0.9442, 5], [keep phone kindles battery time charge kindle take phone take v, 0.4215, 5], [thing watch friend hug wall, 0.2023, 5], [work great hold multiple charge thing wire wish way spool need wire device, 0.8535, 5], [thing month itll charge time run charge port time problem thing know need charger amp capacity charge wall brick iphone wont cut, 0.2764, 5], [charger ive use charge iphone time recharge havent plug phone wall got charger plug desk work combine amazon apple certify light charge phone use supercharge kindle love charger take road trip disney miss moment battery, 0.8885, 5], [work great, -0.4767, 4], [work great charge itll charge phone charge battery battery take bit quicker expect device quality nice feel use concertsfestivals go camp outlet recommend anybody need battery great price, 0.4588, 5], [phone battery die, 0.4404, 5], [take vacation work fine problem carry plane, 0.7271, 5], [charge iphone time charge battery travel lot work use phone business device save charge phone airport bar, 0.0, 5], [work great hold amount charge thin rubberize feel indicator bar nice nice touch add velvet pouch, 0.6249, 5], [simple everything ask, 0.6486, 2], [black come velvet bag usbminiusb connector charge io device use multiple time say came black velvet material bag ben better, 0.7526, 5], [realize use product leave home take picture day drain battery lumia icon power bank happy purchase think make gift holiday season family, 0.6249, 5], [option come vacation, 0.6249, 5], [take day backpacking trip use cell phone camera function took battery option include solar get seveal iphone charge device power remaing work fast recharge, 0.6249, 5]]"
B00LVFTD1A,"[0.9241, 0.9153]","[4, 5]","[[surprise, look, pity, break, crack, put, damaging, product, love, product], [temper, glass, screen, protector, feel, smooth, go, nice, clear, learn, installs, need, find, place, lot, dust, air, dont, take, extra, time, get, glass, screen, longer, wait, chance, screen, leave, dot, installationbr, product, look, phone, glass, surface, feel, smooth, recommend, product]]","[[surprise look pity break crack put damaging product love product, 0.9241, 4], [temper glass screen protector feel smooth go nice clear learn installs need find place lot dust air dont take extra time get glass screen longer wait chance screen leave dot installationbr product look phone glass surface feel smooth recommend product, 0.9153, 5]]"
B00M8B39CU,[0.8885],[5],"[[amaze, get, deal, iv, issue, come, handy, time, flashlight, bright, use, star]]","[[amaze get deal iv issue come handy time flashlight bright use star, 0.8885, 5]]"
B00M9FF400,[0.6249],[5],"[[look, buy]]","[[look buy, 0.6249, 5]]"
B00MFHR25C,[0.8815],[4],"[[screen, protector, look, feel, nothing, get, application, got, bubble, try, thing, doesnt, go, side, understand, curve, glass, think, go, cover, screen, minor, thing, im, satisfy]]","[[screen protector look feel nothing get application got bubble try thing doesnt go side understand curve glass think go cover screen minor thing im satisfy, 0.8815, 4]]"
B00MGDLD8M,[0.0],[2],"[[way, bulky]]","[[way bulky, 0.0, 2]]"
B00MNTBP7I,[0.0],[1],"[[month, use, belt, clip, tore, case, walmart, last, own, phone]]","[[month use belt clip tore case walmart last own phone, 0.0, 1]]"
B00MTESS18,"[0.5719, 0.3612, 0.8779, 0.9252]","[5, 5, 5, 5]","[[wife, love, ipads, us, ipads], [exceed, expectation, recommend, others], [look, use, kindle, hold, sturdiness, tip, thick, grip, hold, tip, landyards, set, price, delivery, fast], [grip, seem, time, ship]]","[[wife love ipads us ipads, 0.5719, 5], [exceed expectation recommend others, 0.3612, 5], [look use kindle hold sturdiness tip thick grip hold tip landyards set price delivery fast, 0.8779, 5], [grip seem time ship, 0.9252, 5]]"
B00N0QI67K,"[0.0232, 0.8655]","[4, 5]","[[case, ok, didnt, rubber], [love, otter, box, case, think, year, look, brand, recommend]]","[[case ok didnt rubber, 0.0232, 4], [love otter box case think year look brand recommend, 0.8655, 5]]"
B00N2BMMMI,[-0.8074],[1],"[[add, grip, zero, screen, protection, broken, screen, foot, drop]]","[[add grip zero screen protection broken screen foot drop, -0.8074, 1]]"
B00N5AKTFS,[0.6249],[5],"[[phone, replace]]","[[phone replace, 0.6249, 5]]"
B00N8L9IY2,[0.0],[1],"[[piece, plastic, badbr]]","[[piece plastic badbr, 0.0, 1]]"
B00NF4SHYE,"[0.9237, 0.6249, 0.9446, 0.2235]","[4, 5, 5, 1]","[[come, day, everything, say, fit, fit, pocket, problem, get, case], [otterbox, phone, got, see, store, fr, buy, online], [expect, protection, face, phone, coverage, side], [fit, otterbox]]","[[come day everything say fit fit pocket problem get case, 0.9237, 4], [otterbox phone got see store fr buy online, 0.6249, 5], [expect protection face phone coverage side, 0.9446, 5], [fit otterbox, 0.2235, 1]]"
B00NGHSVQE,[0.5719],[5],"[[perfect, addition, daughter, laptop]]","[[perfect addition daughter laptop, 0.5719, 5]]"
B00NNIC5S6,[0.6514],[5],"[[offer, protection, expect, look, style, book, compliment, receive, ask, acquire, novel, case]]","[[offer protection expect look style book compliment receive ask acquire novel case, 0.6514, 5]]"
B00NNX6TLU,[0.6801],[5],"[[fit, turn, phone, keep, case]]","[[fit turn phone keep case, 0.6801, 5]]"
B00NO2WXM4,[0.6369],[5],[[moto]],"[[moto, 0.6369, 5]]"
B00NOLCVV8,"[0.8922, 0.8442]","[5, 5]","[[apply, follow, direction, problem, make, screen, make, lint, dust, leave], [order, pack, screen, protector, cover, thing, werent, theyre, difficult, put, look, awful, attach, order, glazz, difference, put, look, phone, great, buy, investment]]","[[apply follow direction problem make screen make lint dust leave, 0.8922, 5], [order pack screen protector cover thing werent theyre difficult put look awful attach order glazz difference put look phone great buy investment, 0.8442, 5]]"
B00NOP3SRA,[0.2263],[4],"[[pre, instal, backup, camera, mirrior, prepare, decide, return]]","[[pre instal backup camera mirrior prepare decide return, 0.2263, 4]]"
B00NR3ZR5U,[0.9313],[5],"[[usb, match, phone, case, glad, order, work, galaxy, sport, thank, buy]]","[[usb match phone case glad order work galaxy sport thank buy, 0.9313, 5]]"
B00NT88G7O,"[-0.4215, 0.6124]","[1, 5]","[[seems, build, work], [buy, use, week, piece, broke, ipad]]","[[seems build work, -0.4215, 1], [buy use week piece broke ipad, 0.6124, 5]]"
B00NVPM7IO,"[0.8316, 0.6597]","[4, 5]","[[slighter, denser, version, tpu, case, great, option, want, slim, case, matte, finish, protection, wear], [nice, color, black, husband, like, feel, hand]]","[[slighter denser version tpu case great option want slim case matte finish protection wear, 0.8316, 4], [nice color black husband like feel hand, 0.6597, 5]]"
B00O1R28OY,"[0.624, 0.0]","[5, 1]","[[charge], [charge, multiple, phone, sure, beat, dinky, thing, give, ]]","[[charge, 0.624, 5], [charge multiple phone sure beat dinky thing give , 0.0, 1]]"
B00O1T00A6,"[0.5857, 0.7964]","[4, 5]","[[hit, volume, button, lock, button, good, material, hold, charge, iphone, go, day, nice, case, price], [case, battery, price]]","[[hit volume button lock button good material hold charge iphone go day nice case price, 0.5857, 4], [case battery price, 0.7964, 5]]"
B00O3DEW3Q,"[0.9413, 0.5719, -0.2732, 0.7579]","[5, 5, 1, 5]","[[cellphone, cubasuper, super, super, nice, feature, design], [memory], [excellent, product, satisfy, purchase], [excellent, product]]","[[cellphone cubasuper super super nice feature design, 0.9413, 5], [memory, 0.5719, 5], [excellent product satisfy purchase, -0.2732, 1], [excellent product, 0.7579, 5]]"
B00O7T2RJW,[0.923],[5],"[[seems, bite, make, love]]","[[seems bite make love, 0.923, 5]]"
B00OAMCV9M,[0.4404],[4],"[[appropriate, task, assign, pricebr, issue, delivery, packaging]]","[[appropriate task assign pricebr issue delivery packaging, 0.4404, 4]]"
B00ODRUZLU,"[0.1154, 0.4215]","[3, 3]","[[nice, case], [okay, encase, come, apart]]","[[nice case, 0.1154, 3], [okay encase come apart, 0.4215, 3]]"
B00ODVMISY,"[0.2846, 0.8016, 0.6115, 0.8221, 0.9432, 0.9348, -0.3634]","[3, 4, 5, 5, 5, 1, 3]","[[get, replacement, mr, shieldafter, instal, shield, cell, phone, shouldve, done, beginning, shield, fit, face, phone, work, advertise, im, satisfy, shield, commend, company, quick, response, need], [happy, product], [expect, put, bubblesbr, happy, purchasebr, thanks], [nice, kit, work], [put, time, speck, decide, use, tape, tab, lift, get, spec, end, add, spec, try, get, air, bubble, protector, get, scratch, point, layer, peel, try, try, spec, disappoint, seems], [ok, applying, wife, phone, corner, adhere], [apply, screen, protector, rank, get, wisdom, teeth, pull, ten, year, get, perfect, result, time, get, perfect, result, mr, shield, us, approach, make, sure, watch, video, application, work, fact, look, phone, tell, protector, itbr, br, dont, fall, ebay, special, use, mr, shield, get]]","[[get replacement mr shieldafter instal shield cell phone shouldve done beginning shield fit face phone work advertise im satisfy shield commend company quick response need, 0.2846, 3], [happy product, 0.8016, 4], [expect put bubblesbr happy purchasebr thanks, 0.6115, 5], [nice kit work, 0.8221, 5], [put time speck decide use tape tab lift get spec end add spec try get air bubble protector get scratch point layer peel try try spec disappoint seems, 0.9432, 5], [ok applying wife phone corner adhere, 0.9348, 1], [apply screen protector rank get wisdom teeth pull ten year get perfect result time get perfect result mr shield us approach make sure watch video application work fact look phone tell protector itbr br dont fall ebay special use mr shield get, -0.3634, 3]]"
B00OKIN1F4,[0.2878],[5],"[[case, cute, drop, ground, bounce, bit]]","[[case cute drop ground bounce bit, 0.2878, 5]]"
B00OUT0QEC,[0.9079],[5],"[[perfection, save, phone, time, ask, well, product, keep, work, look, product]]","[[perfection save phone time ask well product keep work look product, 0.9079, 5]]"
B00OZM5YIM,[0.9894],[5],"[[sticker, bomb, buy, champagne, color, black, phone, look, amaze, worry, glitter, shed, excite, screen, protector, phone, face, sticker, go, everyone, asks, get, do, phone, im, share, bc, look, awesome, purchase, gift, friend, come, quicker, estimate, delivery, time, repeat, fit, clear, case, review, say, try, case, bumper, silicone, case, fit, compromising, sticker, dont, attempt, lol]]","[[sticker bomb buy champagne color black phone look amaze worry glitter shed excite screen protector phone face sticker go everyone asks get do phone im share bc look awesome purchase gift friend come quicker estimate delivery time repeat fit clear case review say try case bumper silicone case fit compromising sticker dont attempt lol, 0.9894, 5]]"
B00PAHEQQW,[0.6901],[5],"[[happy, resolve, issue]]","[[happy resolve issue, 0.6901, 5]]"
B00PAJ20GS,[0.9261],[3],"[[get, case, damaging, use, spare, battery, kinda, love, get, lot, great, comment]]","[[get case damaging use spare battery kinda love get lot great comment, 0.9261, 3]]"
B00PBD2T28,[0.0],[3],"[[order, company, work]]","[[order company work, 0.0, 3]]"
B00PFPEOIO,[0.0],[1],[[return]],"[[return, 0.0, 1]]"
B00PGEX7KU,[0.4404],[4],"[[product, price]]","[[product price, 0.4404, 4]]"
B00PGK9VSG,[0.0],[4],[[expect]],"[[expect, 0.0, 4]]"
B00PLN10LO,[0.0],[1],"[[come, scratch, diamond, come, make]]","[[come scratch diamond come make, 0.0, 1]]"
B00PMPFILO,[0.5719],[5],"[[excellent, item, price]]","[[excellent item price, 0.5719, 5]]"
B00PQ7OV70,[0.7964],[5],"[[gift, people, love]]","[[gift people love, 0.7964, 5]]"
B00PTDCFMO,[0.743],[5],"[[excellent, cover, protect, investment]]","[[excellent cover protect investment, 0.743, 5]]"
B00Q9EPOAW,[0.4304],[4],"[[get, today, press, power, button, outer, shell, get, dirty]]","[[get today press power button outer shell get dirty, 0.4304, 4]]"
B00QDN5POY,"[0.0, 0.6369, 0.8957]","[2, 5, 5]","[[paint, come, day, use, ], [fit, look, love, gel, touch]]","[[paint come day use , 0.0, 2], [fit look love gel touch, 0.6369, 5], [, 0.8957, 5]]"
B00QH44MUC,[0.836],[5],[[perfect]],"[[perfect, 0.836, 5]]"
B00QNQNIZE,[0.6369],[5],[[case]],"[[case, 0.6369, 5]]"
B00QQ7Y8R2,[0.4019],[5],"[[nifty, case, think, get, color]]","[[nifty case think get color, 0.4019, 5]]"
B00QV2K880,[-0.3612],[5],"[[honker, phone, holder, hold, lean, fall, topple, im, charge, phone, slit, bottom, buy, sure]]","[[honker phone holder hold lean fall topple im charge phone slit bottom buy sure, -0.3612, 5]]"
B00QVDFWUS,"[0.8481, 0.8316, -0.4404]","[5, 5, 1]","[[fa, delivery, excellent, quallitty], [galaxy, gear, neo, charger, purchase, work], [product, great, price, ship]]","[[fa delivery excellent quallitty, 0.8481, 5], [galaxy gear neo charger purchase work, 0.8316, 5], [product great price ship, -0.4404, 1]]"
B00QVP3OP6,[0.796],[5],"[[clever, idea, quality, amaze, price]]","[[clever idea quality amaze price, 0.796, 5]]"
B00QWLJHHI,[-0.5583],[1],"[[didnt, good, stop, work]]","[[didnt good stop work, -0.5583, 1]]"
B00R5GZJR6,"[-0.5972, 0.9641, 0.6369, 0.4173, 0.0, 0.0, 0.7906, 0.7841, 0.2484]","[5, 5, 5, 5, 5, 1, 3, 5, 5]","[[size, dont, need, cord], [nice, get, pack, cable, cable, isbr, br, perfect, charge, device, excess, cord, placebr, cable, seem, insert, device, port, cable, tablet, kindles, port, start, get, mangle, use, slide, surprise, expect, cute, cablesbr, seem, work, fine, speed, charger, dud, farbr, didnt, need, variety, color, admit, kind, fun, look, br, br, complaint, price], [look], [product, recommend], [way, use], [color, price, amount, cord, place, spot, house, travel, downside, im, see, cord, bite, wishing, bit, longer, length, decrease, versatility], [shorter, length, convenient], [buy, car, charge, port, armrest, console, didnt, want, mess, deal, problem, product, nice, color, option, keep, couple, backpack, others, use, work, worth, money, need, charging], [make, quality, unique, color]]","[[size dont need cord, -0.5972, 5], [nice get pack cable cable isbr br perfect charge device excess cord placebr cable seem insert device port cable tablet kindles port start get mangle use slide surprise expect cute cablesbr seem work fine speed charger dud farbr didnt need variety color admit kind fun look br br complaint price, 0.9641, 5], [look, 0.6369, 5], [product recommend, 0.4173, 5], [way use, 0.0, 5], [color price amount cord place spot house travel downside im see cord bite wishing bit longer length decrease versatility, 0.0, 1], [shorter length convenient, 0.7906, 3], [buy car charge port armrest console didnt want mess deal problem product nice color option keep couple backpack others use work worth money need charging, 0.7841, 5], [make quality unique color, 0.2484, 5]]"
B00RA19K58,[0.6249],[3],"[[work, ok, depends, attach, work, well]]","[[work ok depends attach work well, 0.6249, 3]]"
B00RRESK86,[0.6369],[5],"[[friendand, love, itthanks]]","[[friendand love itthanks, 0.6369, 5]]"
B00RTTGZIQ,[0.8906],[5],"[[phone, case, ive, come, biut, lightweight, handle, im, please, phone, case, im, think, ordering, different, color]]","[[phone case ive come biut lightweight handle im please phone case im think ordering different color, 0.8906, 5]]"
B00S1NSXJI,"[0.4939, 0.8519]","[1, 5]","[[junk, beltronics, pro, fall, offs, save, go, mirror, mount], [better]]","[[junk beltronics pro fall offs save go mirror mount, 0.4939, 1], [better, 0.8519, 5]]"
B00S4HZ4Z2,[0.4754],[5],"[[got, quick, mail]]","[[got quick mail, 0.4754, 5]]"
B00S4IYFCE,[-0.7579],[1],"[[worthless, read, display, day, night, battery, die, day, put]]","[[worthless read display day night battery die day put, -0.7579, 1]]"
B00S6YSSYW,[0.8799],[5],"[[buy, mount, road, trip, see, navigator, seems, nice, product, universal, please]]","[[buy mount road trip see navigator seems nice product universal please, 0.8799, 5]]"
B00SIYYGT6,[0.6249],[5],"[[case, price]]","[[case price, 0.6249, 5]]"
B00SKJH9UC,[0.6369],[5],"[[unit, everything, ask]]","[[unit everything ask, 0.6369, 5]]"
B00SKO5KNU,[0.7351],[5],"[[look, fit]]","[[look fit, 0.7351, 5]]"
B00SVMR5O8,[0.9258],[5],"[[excellent, product, good, quality, hop, see, last, time, happy, purchase]]","[[excellent product good quality hop see last time happy purchase, 0.9258, 5]]"
B00SZEFGAW,"[0.7715, 0.5719, 0.9589, -0.244]","[4, 5, 4, 4]","[[research, phone, expect, nicest, thing, price, wantedbr, br, main, consbr, caller, phone, callsbr, touch, screen, phone, register, im, try, touchbr, br, prosbr, upgrade, lollipopbr, price], [phone, consider, price, battery, life, limit, performance, excellent, upgrade, lollipop, sent, phone, real, issue], [get, phone, havent, use, im, update, week, take, box, turn, battery, become, warm, minute, phone, battery, charge, screen, protector, come, fit, case, wont, provide, protection, fine, better, nothing, screen, got, color, blue, love, sign, ting, carrier, phone, plan, work, tmobiles, network, go, use, ting, use, referral, link, get, credit, go, towards, bill, get], [excellent]]","[[research phone expect nicest thing price wantedbr br main consbr caller phone callsbr touch screen phone register im try touchbr br prosbr upgrade lollipopbr price, 0.7715, 4], [phone consider price battery life limit performance excellent upgrade lollipop sent phone real issue, 0.5719, 5], [get phone havent use im update week take box turn battery become warm minute phone battery charge screen protector come fit case wont provide protection fine better nothing screen got color blue love sign ting carrier phone plan work tmobiles network go use ting use referral link get credit go towards bill get, 0.9589, 4], [excellent, -0.244, 4]]"
B00SZQ6LUE,[-0.3182],[3],"[[loses, gps]]","[[loses gps, -0.3182, 3]]"
B00TCURUSE,"[-0.34, 0.5423]","[1, 2]","[[earphone, work, mths, die, matter, charge, dot, earphone, go, outta, power, minute, use, sound, side, earphone, gone, disappoint, hope, earphone], [worst, purchase, make, thing, skip, time, im, standing, phone, hip, try, experiment, combination, different, size, bud, piece, fit, provide, luck, waste, money, fall, time, slightest, amount, sweat, junk]]","[[earphone work mths die matter charge dot earphone go outta power minute use sound side earphone gone disappoint hope earphone, -0.34, 1], [worst purchase make thing skip time im standing phone hip try experiment combination different size bud piece fit provide luck waste money fall time slightest amount sweat junk, 0.5423, 2]]"
B00TDKUORC,[-0.918],[1],"[[product, fell, apart, us, folk, submerge, phone, case, phone, fine, build, quality, latch, system, fell, apart, ruin, phone, search, simple, case, keep, phone, dry, get, catch, rain, hikingbiking]]","[[product fell apart us folk submerge phone case phone fine build quality latch system fell apart ruin phone search simple case keep phone dry get catch rain hikingbiking, -0.918, 1]]"
B00TE936IG,[0.3182],[5],"[[charge, phone, couple, friend, phone, charge, night, charge]]","[[charge phone couple friend phone charge night charge, 0.3182, 5]]"
B00TGJVVF4,[0.0],[2],"[[seem, make, clip, keep, brake]]","[[seem make clip keep brake, 0.0, 2]]"
B00THGSN2A,[0.4404],[5],"[[advertise, receive, business]]","[[advertise receive business, 0.4404, 5]]"
B00TIC83T6,[0.0],[2],"[[work, charge, iphone, pull, time, wind, negate, purpose, charger]]","[[work charge iphone pull time wind negate purpose charger, 0.0, 2]]"
B00TL4GKL4,[0.5499],[4],"[[nice, help, protect]]","[[nice help protect, 0.5499, 4]]"
B00TLF2XDM,[-0.2732],[1],"[[looking, phone, take, box, speak, phone, dead, arrival, try, get, replacement, phone, end, return, refund, take, inspect, inside, look, quality, construction]]","[[looking phone take box speak phone dead arrival try get replacement phone end return refund take inspect inside look quality construction, -0.2732, 1]]"
B00TQYC9PA,"[0.8934, -0.4854, 0.6369, 0.9459, 0.0]","[4, 4, 5, 5, 3]","[[dont, writing, review, wow, gps, change, route, avoid, love], [wear, surface], [work, fine, wife, accent, cause, problem, voice, command], [upgrade, garmin, buy, refurb, lmt, look, unit, frill, box, screen, size, familiar, feature, portraitlandscape, screen, set, note, bit, slower, sync, satellite, older, nuvi, figure, select, eta, time, display, show, time, traffic, delay, info, take, screen, space, user, adjust, function, good, speaker, voice, quality, use, hand, bluetooth, cell, phone, feature, recommend, base, feature, price, range], [perform]]","[[dont writing review wow gps change route avoid love, 0.8934, 4], [wear surface, -0.4854, 4], [work fine wife accent cause problem voice command, 0.6369, 5], [upgrade garmin buy refurb lmt look unit frill box screen size familiar feature portraitlandscape screen set note bit slower sync satellite older nuvi figure select eta time display show time traffic delay info take screen space user adjust function good speaker voice quality use hand bluetooth cell phone feature recommend base feature price range, 0.9459, 5], [perform, 0.0, 3]]"
B00TXNCLR0,[0.8481],[1],"[[seems, unlock, mm, message, picture, group, chat, drop, internet, data, function, take, store, service, provider, everything, remedy, problem, issue, arise, phone, service, provider, phone, last, shame, phone, recommend, phone, wasnt, unlock]]","[[seems unlock mm message picture group chat drop internet data function take store service provider everything remedy problem issue arise phone service provider phone last shame phone recommend phone wasnt unlock, 0.8481, 1]]"
B00U32KABE,"[0.5994, 0.7717, 0.8316, 0.9571, 0.8832, 0.9001, 0.8571]","[5, 5, 5, 5, 5, 5, 5]","[[case, gold, tone, bottom, look, nice, phone, make, protection, bought, case, phone], [case, fit, phone, button, work, design, simple, feminine, havent, drop, phone, case, seem, protect, camera, doesnt, stick, case, protect, buy], [person, picture, protect, phone, fine], [phone, case, provide, excellent, protection], [fit, galaxy, look, person, online, satisfy], [design, fast, shipping], [cover, super, cute, come, day]]","[[case gold tone bottom look nice phone make protection bought case phone, 0.5994, 5], [case fit phone button work design simple feminine havent drop phone case seem protect camera doesnt stick case protect buy, 0.7717, 5], [person picture protect phone fine, 0.8316, 5], [phone case provide excellent protection, 0.9571, 5], [fit galaxy look person online satisfy, 0.8832, 5], [design fast shipping, 0.9001, 5], [cover super cute come day, 0.8571, 5]]"
B00U8PI5XG,[0.1027],[1],"[[waste, dont, work, car, plug, outlet, overheat, point, melt, part, phone, case, realize, heat, come, burn, hand]]","[[waste dont work car plug outlet overheat point melt part phone case realize heat come burn hand, 0.1027, 1]]"
B00UF6D9VQ,[0.7579],[4],"[[aunt, love, like, alot]]","[[aunt love like alot, 0.7579, 4]]"
B00UI463LI,[0.9532],[5],"[[speaker, name, say, dont, fool, size, pack, lot, punch, tell, quality, good, solid, expect, sony, delivers, quality]]","[[speaker name say dont fool size pack lot punch tell quality good solid expect sony delivers quality, 0.9532, 5]]"
B00URBMZFU,[0.7128],[5],"[[price, size, deal, get, work, box, return, month, scene, purchase, kid, stop, seal, mine, purse, charge, samsung, charge]]","[[price size deal get work box return month scene purchase kid stop seal mine purse charge samsung charge, 0.7128, 5]]"
B00V6NVD4W,[0.296],[3],"[[ok, need, belt, clip, part]]","[[ok need belt clip part, 0.296, 3]]"
B00V9XDJDC,"[-0.296, -0.3612]","[1, 1]","[[suck, look]]","[[suck look, -0.296, 1], [, -0.3612, 1]]"
B00VA7M6Y0,"[0.6539, 0.0]","[3, 3]","[[headphone, decent, battery, life, state, nonetheless, last, workout, recharge, indicates, battery, minute, headphone, diereal, lol, issue, disconnect, get, pay, recommend, dont, hope], [cant, phone, android, window, iphonebr, turn, couple, time, connect]]","[[headphone decent battery life state nonetheless last workout recharge indicates battery minute headphone diereal lol issue disconnect get pay recommend dont hope, 0.6539, 3], [cant phone android window iphonebr turn couple time connect, 0.0, 3]]"
B00VAPNKVA,[0.7632],[5],"[[daughter, love, thank]]","[[daughter love thank, 0.7632, 5]]"
B00VHWO63M,[0.4915],[1],"[[fit, couldnt, hear, anything, come, walkie, kind, point]]","[[fit couldnt hear anything come walkie kind point, 0.4915, 1]]"
B00VKSQCCQ,[0.5719],[5],"[[excellent, product, describe]]","[[excellent product describe, 0.5719, 5]]"
B00VSOASO0,[0.3685],[4],"[[check, water, quality, day, use]]","[[check water quality day use, 0.3685, 4]]"
B00VT8CP6Y,"[0.6385, 0.6369, 0.4588]","[5, 5, 5]","[[mm, halo], [come, easy, applicator, wing, let, align, touch, edge, awesome, look, dont, notice, screen, quality, change, sure, lint, screen, happen, notice, strand, lint, lift, edge, screen, protector, knife, use, lint, removing, sticker, includebr, br, problem, think, reach, edge, phone, cause, air, bubble, edge, galaxy, s, screen, isnt], [screen, protector, galaxy, hand]]","[[mm halo, 0.6385, 5], [come easy applicator wing let align touch edge awesome look dont notice screen quality change sure lint screen happen notice strand lint lift edge screen protector knife use lint removing sticker includebr br problem think reach edge phone cause air bubble edge galaxy s screen isnt, 0.6369, 5], [screen protector galaxy hand, 0.4588, 5]]"
B00VTIJIXM,[0.8651],[5],"[[sturdy, premium, feel, ir, blaster, color, burgundy, maroon]]","[[sturdy premium feel ir blaster color burgundy maroon, 0.8651, 5]]"
B00VYKXSQI,[0.0],[4],[[stick]],"[[stick, 0.0, 4]]"
B00WBBFRN6,[0.9324],[5],"[[fact, doesnt, use, battery, battery, la, ton, radio, station, hear, clear, sound, competition, weak, radio, signal, ive, different, transmitter, power, ok, rd, power, battery, didnt, leave, plug, quit, move, come, work, recommend]]","[[fact doesnt use battery battery la ton radio station hear clear sound competition weak radio signal ive different transmitter power ok rd power battery didnt leave plug quit move come work recommend, 0.9324, 5]]"
B00WH1WGQQ,[-0.8106],[1],"[[pone, month, disappoint, camera, quality, battery, life, charge, phone, time, day, texting, phone, close, app, reason, itll, close, internet, id, phone, dont, waste, money]]","[[pone month disappoint camera quality battery life charge phone time day texting phone close app reason itll close internet id phone dont waste money, -0.8106, 1]]"
B00WHWBCWO,[0.5719],[5],"[[person, buy, say, perfect]]","[[person buy say perfect, 0.5719, 5]]"
B00WK94U9Q,[-0.2732],[5],"[[perfect, fit, glove, smooth, drop, phone, wood, floor, time, suffer, damage, love, matte, finish, problem, plug, charger, use, dock, charger]]","[[perfect fit glove smooth drop phone wood floor time suffer damage love matte finish problem plug charger use dock charger, -0.2732, 5]]"
B00WLOPVSE,[0.0],[3],[[decent]],"[[decent, 0.0, 3]]"
B00WNAX246,[-0.1945],[5],"[[get, watch, wife, birthday, avid, exerciser, go, day, tell, love, watch, spring, feet, watch, reminds, reach, standing, goal]]","[[get watch wife birthday avid exerciser go day tell love watch spring feet watch reminds reach standing goal, -0.1945, 5]]"
