B00012O6QQ,[0.0],[5],"[[price, cant, beat, look, manufacture, stereo, update, software, feature]]","[[price cant beat look manufacture stereo update software feature, 0.0, 5]]"
B00IZ1XVAC,"[-0.2755, -0.9325, -0.631, 0.2732, 0.743, 0.1406, 0.5859]","[4, 2, 1, 2, 5, 5, 4]","[[phone, arrive, setting, language, read, anything, google, disappoint], [battery, last, lot, longer, charge, comparing, galaxy, thank, amazon], [galaxy, phone, part, verizon, try, put, screw, amazon, customer, service, help, make, sure, everything, stay, suppose, guess, verizon, want, pay, amazon, sell], [dont, sound, loud], [sd, memory, card, phone, run, memory, point, cant, apps, instal, apps, android, phone, move, app, card, memory, use, memory, card, photo, anything, room, memory, card, use, memory, choice, apps, system, functionsbr, br, use, memory, point, apps, cant, phone, bug, day, update, android, software, cant, there, room, reason, phone, fill, useless, bloatware, uninstall, try, root, phone, update, block, ability, phone, cripple, point, defectivebr, br, shame, hardware, great, camera, battery, life, better, phone, ive, gps, work, performance, ruin, put, memory, fill, bloatware, bought, phone, galaxy, battery, memory, card, release, look, ill, find, option, phone, month], [technology, drop, lake, accident, okay, ive, drop, rock, cement, carpet, freak, everything, miracle, phone, roll, vehicle, get, phone, wad, vehicle, fine, update, android, till, use, month, im, change], [phone, come, update, phone, say, phone, longer, work, water, damage, fair, warning, potential, buyer, phone, claim, water, resistant, dont, believe, hype, keep, phone, water, sent, mine, lcd, screen, die, deny, water, damage, take, phone, apart, sent, none, water, indicator, trigger, behind, battery, hidden, inside, phone, corrosion, lcd, screen, word, keep, phone, water, dosent, take, phone, die]]","[[phone arrive setting language read anything google disappoint, -0.2755, 4], [battery last lot longer charge comparing galaxy thank amazon, -0.9325, 2], [galaxy phone part verizon try put screw amazon customer service help make sure everything stay suppose guess verizon want pay amazon sell, -0.631, 1], [dont sound loud, 0.2732, 2], [sd memory card phone run memory point cant apps instal apps android phone move app card memory use memory card photo anything room memory card use memory choice apps system functionsbr br use memory point apps cant phone bug day update android software cant there room reason phone fill useless bloatware uninstall try root phone update block ability phone cripple point defectivebr br shame hardware great camera battery life better phone ive gps work performance ruin put memory fill bloatware bought phone galaxy battery memory card release look ill find option phone month, 0.743, 5], [technology drop lake accident okay ive drop rock cement carpet freak everything miracle phone roll vehicle get phone wad vehicle fine update android till use month im change, 0.1406, 5], [phone come update phone say phone longer work water damage fair warning potential buyer phone claim water resistant dont believe hype keep phone water sent mine lcd screen die deny water damage take phone apart sent none water indicator trigger behind battery hidden inside phone corrosion lcd screen word keep phone water dosent take phone die, 0.5859, 4]]"
B00J00XSQE,"[0.7559, 0.5929]","[5, 5]","[[couldnt, happier, lesser, version, case, handsome, case, ive, buy], [case, reservation, convenient, hold, cash, bill, fold, theyre, thick, insert, case, case, arent, regard, please, case, seen, offer]]","[[couldnt happier lesser version case handsome case ive buy, 0.7559, 5], [case reservation convenient hold cash bill fold theyre thick insert case case arent regard please case seen offer, 0.5929, 5]]"
B00J98OH2Q,"[0.9618, 0.5994, 0.4767]","[4, 3, 4]","[[install, look, corner, adhere, get, pull, good, value, recommend], [fine, product, fair, price], [concept, tab, help, align, screen, protector, apply, dont, know, fail, attempt, im, pack, went, try, get, darn, thing, time, didnt, stick, know, apply, dont, know, anyone, issue, fine]]","[[install look corner adhere get pull good value recommend, 0.9618, 4], [fine product fair price, 0.5994, 3], [concept tab help align screen protector apply dont know fail attempt im pack went try get darn thing time didnt stick know apply dont know anyone issue fine, 0.4767, 4]]"
B00JH83LO8,"[0.3302, 0.0, 0.6369]","[5, 4, 5]","[[case, multiple, people, know, color], [allows, use, fingerprint, scanner, better, otter, box, use, apple, pay, youve, use, otter, box, life, see, difficult, get, angle, finger, train, thumb, sideways, make, work, drop, phone, case, screen, protector, didnt, leave, scratch, phone]]","[[case multiple people know color, 0.3302, 5], [allows use fingerprint scanner better otter box use apple pay youve use otter box life see difficult get angle finger train thumb sideways make work drop phone case screen protector didnt leave scratch phone, 0.0, 4], [, 0.6369, 5]]"
B00JH88NHI,[-0.296],[2],"[[stop, use, people, phone, left, side, face]]","[[stop use people phone left side face, -0.296, 2]]"
B00JNTP0AE,[0.8126],[5],"[[work, great, fast, shipping]]","[[work great fast shipping, 0.8126, 5]]"
B00K9BD0Q6,[0.6369],[5],[[work]],"[[work, 0.6369, 5]]"
B00KCAM5VA,[-0.7195],[2],"[[sound, item, piece, contact, seller, got, workingspeaker, get, fm, quit]]","[[sound item piece contact seller got workingspeaker get fm quit, -0.7195, 2]]"
B00KHZXXIE,[0.2023],[3],"[[start, peallling, week, case, fine, bamboo, imagine, peel]]","[[start peallling week case fine bamboo imagine peel, 0.2023, 3]]"
B00KJCNG8C,[0.6249],[5],"[[connector, need, something, connect, pin, lightning, connection]]","[[connector need something connect pin lightning connection, 0.6249, 5]]"
B00KT1GUR2,[0.296],[5],[[ok]],"[[ok, 0.296, 5]]"
B00LBYYXUC,[0.7964],[3],"[[camera, good, trip, gb, hr, record, time, loop, mins]]","[[camera good trip gb hr record time loop mins, 0.7964, 3]]"
B00LI4MNMA,[0.743],[4],"[[piece, keep, pop, apart, color, cute]]","[[piece keep pop apart color cute, 0.743, 4]]"
B00LT9I8GO,[0.0],[3],"[[name, suggest, cheap, cable]]","[[name suggest cheap cable, 0.0, 3]]"
B00LUACZSY,[0.8442],[5],"[[excellent, product, good, service, arrive, sooner, expect, thank]]","[[excellent product good service arrive sooner expect thank, 0.8442, 5]]"
B00LZKDYZW,"[-0.5145, 0.4404, -0.2144, 0.5719]","[1, 4, 2, 4]","[[case, fit, back, corner, get, pocket], [excellent], [go, give, star, dislike, case, work, intend, put, pocket, edge, come, phone, use, use, belt, clip, case, holder, minor, annoyance, think, ok, case, drop, phone, whole, corner, case, broke, suggest, find, case], [expect, fit, mobile]]","[[case fit back corner get pocket, -0.5145, 1], [excellent, 0.4404, 4], [go give star dislike case work intend put pocket edge come phone use use belt clip case holder minor annoyance think ok case drop phone whole corner case broke suggest find case, -0.2144, 2], [expect fit mobile, 0.5719, 4]]"
B00M49C78S,"[0.9096, 0.6652, 0.8977]","[4, 3, 5]","[[sound, bite, speaker, purchase, music, work, play, work, nothing, bose, speaker], [speaker, exceed, expectation, richness, sound, audio, quality, amaze, something, price, level], [loud, want, expect, price, cant, beat, im, disappoint, worth, im, search, something, bit, louder, use, door, work, isnt, loud, use, indoors, love, red]]","[[sound bite speaker purchase music work play work nothing bose speaker, 0.9096, 4], [speaker exceed expectation richness sound audio quality amaze something price level, 0.6652, 3], [loud want expect price cant beat im disappoint worth im search something bit louder use door work isnt loud use indoors love red, 0.8977, 5]]"
B00MNI2RDA,"[0.9022, 0.7845]","[5, 4]","[[compliment, everyone, see], [pink, color, putple, love, different, color, phone, case]]","[[compliment everyone see, 0.9022, 5], [pink color putple love different color phone case, 0.7845, 4]]"
B00MNI2T8S,[0.9409],[5],"[[case, iphone, photo, match, color, offer, protection, grip, side, case, offer, great, grip, less, chance, slip, hand, thing, dont, take, remove, case, brand, phone, dont, want, run, risk, scratch, recommend, case, issue, dont, regret, buy, color]]","[[case iphone photo match color offer protection grip side case offer great grip less chance slip hand thing dont take remove case brand phone dont want run risk scratch recommend case issue dont regret buy color, 0.9409, 5]]"
B00MW7FU40,[0.7964],[5],"[[case, cute]]","[[case cute, 0.7964, 5]]"
B00N154HP0,"[0.0, 0.4404]","[5, 5]",[[stuff]],"[[stuff, 0.0, 5], [, 0.4404, 5]]"
B00N4OPPEK,[-0.5719],[2],"[[case, make, use, microphone, hear, earbuds]]","[[case make use microphone hear earbuds, -0.5719, 2]]"
B00NBZTJVM,[-0.4215],[1],"[[broke, week]]","[[broke week, -0.4215, 1]]"
B00NFYCMXQ,"[-0.296, 0.0, 0.8225, 0.9524, -0.4767]","[1, 1, 4, 5, 1]","[[issue, charge, month, charge, longer, work], [month, frame, phone, break, buy, suggest], [hold, charge], [battery, case, own, iphone, generation, work, run, power, phone, hour, day, grip, case, feel, fall, hand], [product, happy]]","[[issue charge month charge longer work, -0.296, 1], [month frame phone break buy suggest, 0.0, 1], [hold charge, 0.8225, 4], [battery case own iphone generation work run power phone hour day grip case feel fall hand, 0.9524, 5], [product happy, -0.4767, 1]]"
B00NI6R18M,[0.2263],[1],"[[think, cell, phone, cover, cover, entire, cell, phone, surprise, receive, want]]","[[think cell phone cover cover entire cell phone surprise receive want, 0.2263, 1]]"
B00NIBMW2M,[0.8481],[5],"[[htc, work]]","[[htc work, 0.8481, 5]]"
B00NJOALBM,[0.8651],[5],"[[case, protects, phone, case]]","[[case protects phone case, 0.8651, 5]]"
B00NMD4ZCQ,[0.2247],[5],"[[buy, car, price, couldnt, satisified, phone, connects, time, get, car, audio, sound, aftermarket, bluetooth, adapterbr, br, phone, feature, stop, make, call, people, complain, mebr, br, youre, buy, music, recommend]]","[[buy car price couldnt satisified phone connects time get car audio sound aftermarket bluetooth adapterbr br phone feature stop make call people complain mebr br youre buy music recommend, 0.2247, 5]]"
B00NYF1P1Q,[0.0837],[5],"[[phone, case, kick, stand, pocket, shirt, use, stylus, add, bonus, think, use, think, buying, phone, cover, dont, hesitate, made, wellbr, asinbnyfpq, item, combo, ituffytm, lcd, screen, protector, film, stylus, pen, tone, design, layer, kickstand, tuff, impact, armor, hybrid, rubber, silicone, cover, snap, case, motorola, droid, ultra, xt, motorola, droid, maxx, xtm, orange, paisley, red, maxx, ultra]]","[[phone case kick stand pocket shirt use stylus add bonus think use think buying phone cover dont hesitate made wellbr asinbnyfpq item combo ituffytm lcd screen protector film stylus pen tone design layer kickstand tuff impact armor hybrid rubber silicone cover snap case motorola droid ultra xt motorola droid maxx xtm orange paisley red maxx ultra, 0.0837, 5]]"
B00NZVIZOY,[-0.4939],[1],"[[waste, money]]","[[waste money, -0.4939, 1]]"
B00O0RYMT4,[0.8873],[5],"[[problem, try, find, size, husband, acer, iconia, mine, come, acer, course, fit, stand, work, slide, slick, surface, feltlike, cover, star, design, excellent, fit, durability]]","[[problem try find size husband acer iconia mine come acer course fit stand work slide slick surface feltlike cover star design excellent fit durability, 0.8873, 5]]"
B00O2NJVQK,"[0.6369, 0.0]","[5, 3]","[[work, advertise], [smallest, case, recomend]]","[[work advertise, 0.6369, 5], [smallest case recomend, 0.0, 3]]"
B00O5DXXAM,"[-0.6956, -0.4588, 0.0, 0.0, 0.8988]","[5, 1, 4, 1, 5]","[[charger, suck, break, day, please, buy], [work], [receive, charger, work, im, satisfy], [purchase, take, office, colleague, use, apple, user, complain, cell, phone, die, dont, hear, complaint], [picture, description, order, show, cube, cord, cube, come, picture, change]]","[[charger suck break day please buy, -0.6956, 5], [work, -0.4588, 1], [receive charger work im satisfy, 0.0, 4], [purchase take office colleague use apple user complain cell phone die dont hear complaint, 0.0, 1], [picture description order show cube cord cube come picture change, 0.8988, 5]]"
B00O7IG0SW,"[-0.1717, 0.3291, 0.7553, 0.1451]","[1, 5, 5, 2]","[[im, bum, view, get, lens, black, ring, view, lens, attach, phone, wasnt, expect, quality, clip, lens, good, wasnt, hop, black, ring, image, cant, use, purpose, intend], [didnt, receive, lens, im, disappoint, waste, money, recommend, dont, buy, product], [make, take, picture, iphone, fun, use], [okay]]","[[im bum view get lens black ring view lens attach phone wasnt expect quality clip lens good wasnt hop black ring image cant use purpose intend, -0.1717, 1], [didnt receive lens im disappoint waste money recommend dont buy product, 0.3291, 5], [make take picture iphone fun use, 0.7553, 5], [okay, 0.1451, 2]]"
B00O8702C2,[0.8658],[4],"[[get, mother, perfect, fit, pocket, doesnt, stretch, get, loose, others, perfect, mother]]","[[get mother perfect fit pocket doesnt stretch get loose others perfect mother, 0.8658, 4]]"
B00ODLYMHY,"[0.4215, 0.4404, -0.4767, 0.9079]","[5, 5, 1, 2]","[[thanks], [nice, phone, price], [phone, come, use, porn], [okay, there, lot, phone, flaw, purchase, phone, instal, gb, micro, sd, card, phone, function, month, point, begin, get, warning, phone, storage, suffice, say, memory, issue, become, problem, download, apps, update, preinstalled, apps, sync, email, allow, attachment, incoming, outgo, emailbr, br, note, entire, problem, preinstalled, bloatware, download, install, single, app, phone, music, photo, sd, card, phone, run, space, update, garbage, preinstalledbr, br, call, sprint, none, preinstalled, apps, move, andor, remove, phone, went, sprint, store, employee, attempt, help, delete, preinstalled, junk, nothing, kb, spacebr, br, friend, work, carrier, tell, stop, selling, phone, phone, storage, issue, employee, sprint, store, indicate, get, complaint, user, phone, os, source, issuebr, br, call, sprint, explain, try, everything, suggest, visit, store, tell, software, issue, o, update, sprint, employee, confirm, issue, say, involves, sprint, reset, phone, factory, correct, o, issue, course, mean, everything, phone, remove, micro, sd, card, everything, wipe, cleanbr, br, phone, function, phone, memory, issue, correct, thats, make, call, message, thatit, function]]","[[thanks, 0.4215, 5], [nice phone price, 0.4404, 5], [phone come use porn, -0.4767, 1], [okay there lot phone flaw purchase phone instal gb micro sd card phone function month point begin get warning phone storage suffice say memory issue become problem download apps update preinstalled apps sync email allow attachment incoming outgo emailbr br note entire problem preinstalled bloatware download install single app phone music photo sd card phone run space update garbage preinstalledbr br call sprint none preinstalled apps move andor remove phone went sprint store employee attempt help delete preinstalled junk nothing kb spacebr br friend work carrier tell stop selling phone phone storage issue employee sprint store indicate get complaint user phone os source issuebr br call sprint explain try everything suggest visit store tell software issue o update sprint employee confirm issue say involves sprint reset phone factory correct o issue course mean everything phone remove micro sd card everything wipe cleanbr br phone function phone memory issue correct thats make call message thatit function, 0.9079, 2]]"
B00OJCOQPK,"[0.0, 0.0, 0.4404]","[3, 5, 4]","[[work, couple, week], [buenos], [phone, price]]","[[work couple week, 0.0, 3], [buenos, 0.0, 5], [phone price, 0.4404, 4]]"
B00OL5DSPE,[-0.861],[1],"[[review, order, cord, hat]]","[[review order cord hat, -0.861, 1]]"
B00OPLMKD0,[0.9941],[5],"[[case, true, make, sleek, iphone, cool, look, none, matter, case, wallet, wouldnt, day, wallet, stuff, crap, go, perfect, phone, cash, atm, card, id, bus, pas, disguise, book, put, front, pocket, fit, think, help, pickpocket, material, case, feel, phone, clip, thing, seem, protect, phone, ship, cloth, clean, phone, nice, weird, stylus, thing, meh, price, recommend, include, photo, wallet, reference, wallet, include, purchase]]","[[case true make sleek iphone cool look none matter case wallet wouldnt day wallet stuff crap go perfect phone cash atm card id bus pas disguise book put front pocket fit think help pickpocket material case feel phone clip thing seem protect phone ship cloth clean phone nice weird stylus thing meh price recommend include photo wallet reference wallet include purchase, 0.9941, 5]]"
B00ORYMZ2G,[0.5719],[5],"[[excellent, product, delivery]]","[[excellent product delivery, 0.5719, 5]]"
B00OTZWJE2,"[-0.5498, 0.6414, -0.6059, 0.0]","[5, 3, 1, 1]","[[test, camera, couple, day, video, quality, resolution, great, thats, thing, didnt, mount, road, angle, promise, degree, get, camera, store, hd, resolution, bit, brand, manufacturer, say, degree, camera, show, picture, im, reviewing, miss, gps, contact, company, explain, mount, usb, slot, gps, module, price, connect, usb, size, usb, port, micro, usb, size, gps, module, expect, connect, kind, usb, port, think, overprice, guy, complain, battery, guess, unlucky, camera, use, soap, camera, builtin, battery, try, work], [camera, work, wire, truck, recommend, go, ignition, there, worry, forget, turn, piece, mind, know, annoy, bicycle, rider, try, ride, truck, ill, tape], [unit, instruction], [dash, cam, awful, instruction, mess, get, menu, come, try, restart, time, work, lcd, screen, come, send, get, buy]]","[[test camera couple day video quality resolution great thats thing didnt mount road angle promise degree get camera store hd resolution bit brand manufacturer say degree camera show picture im reviewing miss gps contact company explain mount usb slot gps module price connect usb size usb port micro usb size gps module expect connect kind usb port think overprice guy complain battery guess unlucky camera use soap camera builtin battery try work, -0.5498, 5], [camera work wire truck recommend go ignition there worry forget turn piece mind know annoy bicycle rider try ride truck ill tape, 0.6414, 3], [unit instruction, -0.6059, 1], [dash cam awful instruction mess get menu come try restart time work lcd screen come send get buy, 0.0, 1]]"
B00OURKN5Q,[0.8519],[5],"[[im, obsess, goat, case, darn, design, fit, personality]]","[[im obsess goat case darn design fit personality, 0.8519, 5]]"
B00P7O0TEG,[0.2609],[4],"[[nice, take, time, get]]","[[nice take time get, 0.2609, 4]]"
B00P7VSRFW,"[0.7655, -0.5256, 0.7574, 0.9595, -0.5927]","[5, 1, 5, 5, 1]","[[buy, buy, kind, awesome, charge], [charge, iphone, end, buy, att, disappoint], [make, phone, charger, work], [work, iphone, buy, charge, iphone, think, car, try, car, cord, find, work, dont, know, drain, battery, iphones], [love, compact, feel, weight, performance, blue, glow]]","[[buy buy kind awesome charge, 0.7655, 5], [charge iphone end buy att disappoint, -0.5256, 1], [make phone charger work, 0.7574, 5], [work iphone buy charge iphone think car try car cord find work dont know drain battery iphones, 0.9595, 5], [love compact feel weight performance blue glow, -0.5927, 1]]"
B00PH41Y2C,"[0.9818, 0.431, 0.5719, 0.2278]","[5, 3, 4, 5]","[[case, cheap, look, deal], [order, case, wasnt, sure, comment, love, yes, got, time, day, shipping, top, come, screen, protector, pen, easy, texting, recommend, make, iphone, prettier], [excellent], [crack, drop, protect, phone]]","[[case cheap look deal, 0.9818, 5], [order case wasnt sure comment love yes got time day shipping top come screen protector pen easy texting recommend make iphone prettier, 0.431, 3], [excellent, 0.5719, 4], [crack drop protect phone, 0.2278, 5]]"
B00PHIXGO2,[0.3724],[5],"[[expect, olloclip, lens, disappoint]]","[[expect olloclip lens disappoint, 0.3724, 5]]"
B00PKKSLJW,[0.6486],[4],"[[phillips, head, strip, screw, hold, lead, place, tool, work, recommend, tool, include, replacement, glass, kit]]","[[phillips head strip screw hold lead place tool work recommend tool include replacement glass kit, 0.6486, 4]]"
B00PKRAQ0M,[0.5719],[5],"[[excellent, product, buy]]","[[excellent product buy, 0.5719, 5]]"
B00PLM4MGK,"[0.5357, -0.3626]","[5, 1]","[[come, broke, ipad, soak, wet, side], [buy, product, preparation, scuba, trip, test, went, bought, wasnt, watertight, bit, company, reach, check, purchase, offer, send, case, travel, country, submerge, twice, ipad, function, thank]]","[[come broke ipad soak wet side, 0.5357, 5], [buy product preparation scuba trip test went bought wasnt watertight bit company reach check purchase offer send case travel country submerge twice ipad function thank, -0.3626, 1]]"
B00PMTFDO2,"[0.6369, -0.2732, 0.4404]","[5, 1, 5]","[[quality], [charge]]","[[quality, 0.6369, 5], [charge, -0.2732, 1], [, 0.4404, 5]]"
B00PV59QX6,[0.0635],[2],"[[buy, start, fall, apart, start, use]]","[[buy start fall apart start use, 0.0635, 2]]"
B00PXFA0UM,"[0.6597, 0.7753, 0.9809, 0.9393, 0.8519]","[5, 5, 4, 5, 5]","[[ship, everything, describe, great, job, quality, case], [phone, protector, make, im, cover, updating, iphones, drop, phone, break, magpul, cover, buy, youll, disappoint], [people, dont, magpul, isdoes, whenever, see, case, iphones, ask, case, get, sleek, design, doesnt, add, unnecessary, bulk, look, protects, phone, iphone, g, iphone, pick, iphone, bump, case, yes, inside, pad, case], [keep, work, thank], [perfect, design, build, pmag, feel, love, look, fit, fit, cover, allow, use, button, add, design, desire, tiny, bit, rubber, add, nonslippage, sat, table, dash, etc]]","[[ship everything describe great job quality case, 0.6597, 5], [phone protector make im cover updating iphones drop phone break magpul cover buy youll disappoint, 0.7753, 5], [people dont magpul isdoes whenever see case iphones ask case get sleek design doesnt add unnecessary bulk look protects phone iphone g iphone pick iphone bump case yes inside pad case, 0.9809, 4], [keep work thank, 0.9393, 5], [perfect design build pmag feel love look fit fit cover allow use button add design desire tiny bit rubber add nonslippage sat table dash etc, 0.8519, 5]]"
B00PXFA0WA,"[-0.6777, 0.743, 0.7956, 0.0, 0.5719, 0.6249, 0.3612, 0.3451, 0.6173]","[4, 5, 5, 5, 4, 4, 5, 5, 4]","[[cant, beat, price], [perfect], [case, make, iphone], [case, quality, please, purchase, reason, get, start, bottom, case, come, bottom, corner, phone, couple, time, deal, snap, place, issue, magpul, case, iphone, doubt, come, phone, dont, come], [case, money], [purchase, magpul, case, wonder, find, fitting, tpu, case, slim, take, jean, attach, dirt, silicon, one, time, provide, grip, feelbr, br, love, feel, button, case, make, press, plenty, space, headphone, jack, lightning, cablebr, br, make, murica, need, say], [custom, cerakoted, blowndeadlinenet, couldnt, happier], [magpul, make, cellphone, case, kid, boys, army, take, beating, work, great], [doesnt, fit, aux, cord, part, fine, drop, phone, time, hasnt, broke]]","[[cant beat price, -0.6777, 4], [perfect, 0.743, 5], [case make iphone, 0.7956, 5], [case quality please purchase reason get start bottom case come bottom corner phone couple time deal snap place issue magpul case iphone doubt come phone dont come, 0.0, 5], [case money, 0.5719, 4], [purchase magpul case wonder find fitting tpu case slim take jean attach dirt silicon one time provide grip feelbr br love feel button case make press plenty space headphone jack lightning cablebr br make murica need say, 0.6249, 4], [custom cerakoted blowndeadlinenet couldnt happier, 0.3612, 5], [magpul make cellphone case kid boys army take beating work great, 0.3451, 5], [doesnt fit aux cord part fine drop phone time hasnt broke, 0.6173, 4]]"
B00PYZMCMK,[0.8555],[5],"[[matte, finish, case, add, amount, grip, case, work, edgetoedge, screen, protectorscoolreall]]","[[matte finish case add amount grip case work edgetoedge screen protectorscoolreall, 0.8555, 5]]"
B00Q2SJY5G,"[-0.7774, 0.4404]","[1, 5]","[[delivery, product], [work, time, poor, quality, poor, service, vendor, wont, take, replace, stay]]","[[delivery product, -0.7774, 1], [work time poor quality poor service vendor wont take replace stay, 0.4404, 5]]"
B00QHRM4F4,[0.8481],[5],"[[wireless, charger, great, charger, get, week, estimate, time, delivery, get, nexus, tablet, work, nexus, cell, buy]]","[[wireless charger great charger get week estimate time delivery get nexus tablet work nexus cell buy, 0.8481, 5]]"
B00QJRHIAS,[0.0],[5],[[look]],"[[look, 0.0, 5]]"
B00QK3PITE,"[0.6249, -0.2023]","[5, 5]","[[awesome], [drop, phone, day, ive, replace, phone, break, screen, break, screen, look, well, case, otter, box, others, girl, thing, fashionable]]","[[awesome, 0.6249, 5], [drop phone day ive replace phone break screen break screen look well case otter box others girl thing fashionable, -0.2023, 5]]"
B00QLDRXJG,"[0.7137, 0.9294, 0.7964, 0.6249, 0.7964, 0.6369, -0.0554, 0.34, 0.936, 0.8969, 0.8555, -0.5668, 0.8126, 0.6249, 0.3353, 0.8316, 0.8016, 0.9291, 0.8481, 0.2732, 0.9538, 0.4939, 0.9939]","[5, 5, 5, 5, 5, 5, 2, 1, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5]","[[case, lightweight, vibrant, color, slight, annoyance, bottom, slide, aside, consider, price, point, case], [perfect, case, perfect, price, ], [color, case, start, fade, amp, stain], [product, color, great, super, simple, put, love], [color, case, vibrant, picture, felt, material, inside, nice, hold, def, order, maxboost, love, try, product], [case, great, vendor], [describe, color, seem, doesnt, add, phone, satisfy, purchase], [case, look], [do], [say, case, fit, glad, know, someone, phone], [purchase, case, iphone, plus, friend, case, want, want, pay, order, case, hop, case, arrive, package, kind, zip, lock, bag, seal, pull, case, packaging, surprise, felt, make, put, case, phone, youre, anything, dont, want, buy, phone, need, case, incase, drop, put, case, phone, worry, texture, case, feel, slick, continue, use, case, grip, feel, edge, case, dont, come, top, phone, use, case, week, color, fade, picture, impress, case, drop, time, nothing, happen, case, remain, protect, phone, temper, glass, screen, protector, button, push, charge, port, headphone, port, aux, cord, use, vehicle, case, sound, button, order, case, im, impress, price, quality, case], [color, fit, phone], [case, recommend, color, sturdy, streamline], [excellent, case, color, great], [case, drop, phone, time, hasnt, crack, shatter, provides, case, great, protection], [color, feel, hand], [quality, case, fit, phone], [product, quick, ship], [fit], [get, case, mail, todayon, time, add, protect, drop, phone, love, case, color, match, slippery, youre, consider, case, suggest, hold, phone, tight, ], [impression, great], [slide, slim]]","[[case lightweight vibrant color slight annoyance bottom slide aside consider price point case, 0.7137, 5], [perfect case perfect price , 0.9294, 5], [color case start fade amp stain, 0.7964, 5], [product color great super simple put love, 0.6249, 5], [color case vibrant picture felt material inside nice hold def order maxboost love try product, 0.7964, 5], [case great vendor, 0.6369, 5], [describe color seem doesnt add phone satisfy purchase, -0.0554, 2], [case look, 0.34, 1], [do, 0.936, 5], [say case fit glad know someone phone, 0.8969, 5], [purchase case iphone plus friend case want want pay order case hop case arrive package kind zip lock bag seal pull case packaging surprise felt make put case phone youre anything dont want buy phone need case incase drop put case phone worry texture case feel slick continue use case grip feel edge case dont come top phone use case week color fade picture impress case drop time nothing happen case remain protect phone temper glass screen protector button push charge port headphone port aux cord use vehicle case sound button order case im impress price quality case, 0.8555, 5], [color fit phone, -0.5668, 4], [case recommend color sturdy streamline, 0.8126, 5], [excellent case color great, 0.6249, 5], [case drop phone time hasnt crack shatter provides case great protection, 0.3353, 5], [color feel hand, 0.8316, 5], [quality case fit phone, 0.8016, 5], [product quick ship, 0.9291, 4], [fit, 0.8481, 5], [get case mail todayon time add protect drop phone love case color match slippery youre consider case suggest hold phone tight , 0.2732, 5], [impression great, 0.9538, 5], [slide slim, 0.4939, 5], [, 0.9939, 5]]"
B00QQOEL1S,[0.9001],[5],"[[case, quality, nice]]","[[case quality nice, 0.9001, 5]]"
B00QXYW3XE,[0.7741],[5],"[[case, fit, personality, stand, part, kind, get, time, havent, drop, phone, dont, know, handle, way, standing]]","[[case fit personality stand part kind get time havent drop phone dont know handle way standing, 0.7741, 5]]"
B00RFIXCJG,[0.5719],[5],"[[daughter, love, phone, case]]","[[daughter love phone case, 0.5719, 5]]"
B00RH5REP0,"[0.6249, 0.3919, 0.0, 0.97, 0.6249, 0.0, -0.4215, 0.6249, 0.0]","[5, 3, 1, 5, 5, 1, 1, 5, 3]","[[say, work, galaxy, mega, didnt, work, goddaughter, galaxy, switch], [work, great], [case, perfect, want, birthday, gift, work, find, hope, ontill, older, ], [work, iphone, try, return, didnt, let, waste, money], [button, work, ], [order, stick, think, take, picture, handle, option, button, display, stick, zooming, take, picture, youll, set, timer, phone, take, picture], [work, awesome], [didnt, work, phone, turn, volume, didnt, snap, photo]]","[[say work galaxy mega didnt work goddaughter galaxy switch, 0.6249, 5], [work great, 0.3919, 3], [case perfect want birthday gift work find hope ontill older , 0.0, 1], [work iphone try return didnt let waste money, 0.97, 5], [button work , 0.6249, 5], [order stick think take picture handle option button display stick zooming take picture youll set timer phone take picture, 0.0, 1], [work awesome, -0.4215, 1], [didnt work phone turn volume didnt snap photo, 0.6249, 5], [, 0.0, 3]]"
B00RUM4PV6,[-0.1779],[3],"[[problem, rubber, come, broke, month, daughter, save, tablet, drop]]","[[problem rubber come broke month daughter save tablet drop, -0.1779, 3]]"
B00RV9AFV2,"[0.8047, 0.9778, 0.8225, 0.802, 0.4404, 0.9485]","[4, 5, 5, 1, 5, 5]","[[give, handle, broke, day, wise], [case, flimsey, color, rub, appear, fade, concept, product, need, improve, quality], [perfect, fit, strap, winner, gift, love], [case, perfect, size, fit, iphone, carry, driver, license, credit, card, need, tuck, bill, credit, card, open, allow, take, picture, take, phone, case, hold, hand, wrist, band, extra, plus, perfect], [case, look, arrive, day, birthday, yay]]","[[give handle broke day wise, 0.8047, 4], [case flimsey color rub appear fade concept product need improve quality, 0.9778, 5], [perfect fit strap winner gift love, 0.8225, 5], [case perfect size fit iphone carry driver license credit card need tuck bill credit card open allow take picture take phone case hold hand wrist band extra plus perfect, 0.802, 1], [case look arrive day birthday yay, 0.4404, 5], [, 0.9485, 5]]"
B00RXJ5EG6,[0.0],[2],[[case]],"[[case, 0.0, 2]]"
B00S6BZJFG,[0.4215],[4],"[[nice, deliver, time]]","[[nice deliver time, 0.4215, 4]]"
B00SG72U34,[0.4754],[5],"[[work, publish, satisfy]]","[[work publish satisfy, 0.4754, 5]]"
B00SIHQE4I,[0.5607],[4],"[[drop, phone, time, case, start, crack, dropping, twice, quality]]","[[drop phone time case start crack dropping twice quality, 0.5607, 4]]"
