1948701847,[0.0],[1],[[work]],"[[work, 0.0, 1]]"
B00LL2OYIK,[0.5994],[5],"[[case, seem, price, allow, feel, case, combine, screen, protector, excellent, value]]","[[case seem price allow feel case combine screen protector excellent value, 0.5994, 5]]"
B00LNCVNEQ,[0.7496],[4],"[[camera, phone, good]]","[[camera phone good, 0.7496, 4]]"
B00LNIHLUA,[-0.2732],[2],"[[case, problem, volume, button, volume, keep, go, stoop, use, week]]","[[case problem volume button volume keep go stoop use week, -0.2732, 2]]"
B00LTA80Y8,[0.6249],[5],[[product]],"[[product, 0.6249, 5]]"
B00LTP9LW8,"[0.3713, 0.25]","[1, 1]","[[work, radio, give, call, number, radio, radio, recognize, useless, device], [work, fell, apart, use, month, try, take, transmitter, base, come, apart, power, supply, wire, break, month, warranty]]","[[work radio give call number radio radio recognize useless device, 0.3713, 1], [work fell apart use month try take transmitter base come apart power supply wire break month warranty, 0.25, 1]]"
B00LTZU2OE,"[-0.5017, 0.9022, -0.395]","[4, 5, 1]","[[get, time, put, phone, case, phone, move, say, samsung, galaxy, doesnt, fit], [super, cute, fit, phone], [go, come, give, star, worry, taking, change, battery]]","[[get time put phone case phone move say samsung galaxy doesnt fit, -0.5017, 4], [super cute fit phone, 0.9022, 5], [go come give star worry taking change battery, -0.395, 1]]"
B00M20N3VE,[0.4404],[5],[[thanks]],"[[thanks, 0.4404, 5]]"
B00M3JBE2E,[0.664],[4],"[[edge, thin]]","[[edge thin, 0.664, 4]]"
B00M3TMKXQ,[-0.5654],[4],"[[battery, come, decent, time, doesnt, hold, charge, brand, better, battery, instruction, youtube]]","[[battery come decent time doesnt hold charge brand better battery instruction youtube, -0.5654, 4]]"
B00MFXYR0E,[0.8834],[5],"[[case, fit, perfect]]","[[case fit perfect, 0.8834, 5]]"
B00MJ9VGXA,[0.0],[2],[[leather]],"[[leather, 0.0, 2]]"
B00MP6GSWQ,[0.5267],[5],"[[use, plug, odb, port, start, car, red, seen, click, setting, phone, click, wifi, change, wifi, phone, odb, wifi, call, odbelm, something, use, carista, app, change, thing, vagcom, use, carista, app, click, customize, odb, read, car, take, minute, check, option, customize, car, jetta, iphone, unrollclose, windows, keyfob, drls, needle, sweep, tear, drop, wipe, seatbelt, alarm]]","[[use plug odb port start car red seen click setting phone click wifi change wifi phone odb wifi call odbelm something use carista app change thing vagcom use carista app click customize odb read car take minute check option customize car jetta iphone unrollclose windows keyfob drls needle sweep tear drop wipe seatbelt alarm, 0.5267, 5]]"
B00MUQ9QJ8,"[0.8934, 0.7573]","[5, 5]","[[case, market, give, protection, fraction, cost, size, look, toddler, think, iphones, frisbee, throw, phone, couple, year, theyve, survive, scrath, thanks, incipio, case], [fit, bulky, great, protection]]","[[case market give protection fraction cost size look toddler think iphones frisbee throw phone couple year theyve survive scrath thanks incipio case, 0.8934, 5], [fit bulky great protection, 0.7573, 5]]"
B00N16XQ7O,"[0.4404, 0.8591]","[5, 5]","[[case, protect, phone, drop]]","[[case protect phone drop, 0.4404, 5], [, 0.8591, 5]]"
B00N1KKRIQ,[0.6249],[4],[[case]],"[[case, 0.6249, 4]]"
B00NB1WT8Q,[-0.1366],[1],"[[dont, waste, money, headphone, son, buy, day, buy, broke, continue, use, week, piece, side, headphone, keep, fall, piece, get, lose, bought, brand, come, today, one, longer]]","[[dont waste money headphone son buy day buy broke continue use week piece side headphone keep fall piece get lose bought brand come today one longer, -0.1366, 1]]"
B00NCFURI0,[0.8522],[5],"[[want, youre, type, person, look, protection, phone, isnt, case, keep, phone, prevents, scratchesdents, drop, fit, phone, doesnt, come, phone, provide, front, screen, complete, protection, solve, problem, dont, place, phone, face, color, awesome, buy]]","[[want youre type person look protection phone isnt case keep phone prevents scratchesdents drop fit phone doesnt come phone provide front screen complete protection solve problem dont place phone face color awesome buy, 0.8522, 5]]"
B00NIARZM0,[0.7543],[5],"[[decoration, fell, buy]]","[[decoration fell buy, 0.7543, 5]]"
B00NMUX3BI,[0.6249],[5],"[[product, get, complement]]","[[product get complement, 0.6249, 5]]"
B00NPDWRHI,"[0.6249, 0.6597]","[5, 5]","[[product], [case, iphone, keep, break, hold, feel, build, others]]","[[product, 0.6249, 5], [case iphone keep break hold feel build others, 0.6597, 5]]"
B00NPM4MRC,[0.8908],[5],"[[case, well, expect, hold, look, brand, month, impress]]","[[case well expect hold look brand month impress, 0.8908, 5]]"
B00NQG2XNC,"[0.9313, 0.6249, 0.1779, 0.6249, 0.464, 0.4535, 0.8555, 0.6757, 0.0, 0.3182, 0.6249]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4]","[[opinion, spare, battery, battery, charger, necessity, buy, phone, course, perfect, carry, battery, hit, battery, turn, phone, pop, battery, keep, go, youre, home, charge, battery, keep, use, phonebr, course, get, anything, manufacturer], [battery, charger, great, issue, fast, charger, money, battery, oem, overall, value], [work, great], [say, work, case, idea, spare, battery, keep, charge, use, cord, plug, phone, charge], [make, u, guy, dont, use, fast, charge, product], [wish, unit, plug, doesnt, seem, tell, battery, charge, leave, hour], [spare, battery, note, put, mind, ease, cant, beat, kind, convenience, consider, smartphones, today, note, battery, life, spare, battery, come, handy, run, thanks], [oem, work, come, samsung, packaging, holographic, seal], [charger, keep, cartravels, flipchange], [make, whole, phone, bigger, time, think, try, use, extra, battery, charge]]","[[opinion spare battery battery charger necessity buy phone course perfect carry battery hit battery turn phone pop battery keep go youre home charge battery keep use phonebr course get anything manufacturer, 0.9313, 5], [battery charger great issue fast charger money battery oem overall value, 0.6249, 5], [work great, 0.1779, 5], [say work case idea spare battery keep charge use cord plug phone charge, 0.6249, 5], [make u guy dont use fast charge product, 0.464, 5], [wish unit plug doesnt seem tell battery charge leave hour, 0.4535, 5], [spare battery note put mind ease cant beat kind convenience consider smartphones today note battery life spare battery come handy run thanks, 0.8555, 5], [oem work come samsung packaging holographic seal, 0.6757, 5], [charger keep cartravels flipchange, 0.0, 5], [make whole phone bigger time think try use extra battery charge, 0.3182, 4], [, 0.6249, 4]]"
B00NRQ45EG,"[0.6249, 0.8622, 0.4939, 0.7841, 0.5719, 0.6936]","[5, 4, 3, 4, 3, 5]","[[make, super], [bulky, nice], [price], [awesome, rugged, casegreat, buy], [holder, horizontal, come, belt], [product, excellent, service]]","[[make super, 0.6249, 5], [bulky nice, 0.8622, 4], [price, 0.4939, 3], [awesome rugged casegreat buy, 0.7841, 4], [holder horizontal come belt, 0.5719, 3], [product excellent service, 0.6936, 5]]"
B00NTC7R0W,[-0.4158],[3],"[[tide, broke, mi, cel]]","[[tide broke mi cel, -0.4158, 3]]"
B00NUIITHK,"[0.836, 0.6249, 0.4404]","[5, 5, 5]","[[put, jean, belt, loop, put, iphone, track, step], [holster, accommodate, iphone, case, look, convenient]]","[[put jean belt loop put iphone track step, 0.836, 5], [holster accommodate iphone case look convenient, 0.6249, 5], [, 0.4404, 5]]"
B00O1B9Q0E,[0.5477],[3],"[[happy, item, thing, didnt, shipping, thing, get]]","[[happy item thing didnt shipping thing get, 0.5477, 3]]"
B00O8XJP2E,[0.631],[4],"[[quality, leather, stitch, love, lok, style, month, part, case, start, chip, piece, remove, part, hold, phone, use, wallet]]","[[quality leather stitch love lok style month part case start chip piece remove part hold phone use wallet, 0.631, 4]]"
B00OBHEQF8,"[0.0, 0.7906, 0.6638]","[1, 5, 5]","[[look, smart, watch, otter, wear, useless, thats, watch, fault], [watch, look, elegant, tech], [product, work, wellfor, month, become, charge, stand, get, charge, reset, get, charge, get, rapid, discharge, use, trash]]","[[look smart watch otter wear useless thats watch fault, 0.0, 1], [watch look elegant tech, 0.7906, 5], [product work wellfor month become charge stand get charge reset get charge get rapid discharge use trash, 0.6638, 5]]"
B00OT7HQGG,"[0.4404, 0.0, 0.8481, 0.0, 0.4215, 0.0, -0.7424, 0.6369, 0.0, 0.6808, 0.8126, 0.2732, 0.6249]","[4, 5, 5, 5, 4, 5, 3, 5, 5, 5, 5, 5, 5]","[[product, maximize, lighter, outlet, car, allow, charge, thing, ismart, power, control], [charger, work, advertise, seems, build], [use, day, power, phone, boom, box], [work, say], [product, handy], [build, charger, connector, solid, provide, connection, v, socket, provide, power, device], [work, expect], [working, car, charger, use, twice, seems, job], [order, car, chargersone, boyfriend, work, beginning, charge, iphones, way, advertise, car, charger, stop, work, week, thought, usb, cord, work, indicator, charger, connect, port, car, usb, cord, work, charge, phone, connect, laptop, car, charger, boyfriend, work, charging, phone, guess, receive], [convenient], [line, product, build, job], [nice]]","[[product maximize lighter outlet car allow charge thing ismart power control, 0.4404, 4], [charger work advertise seems build, 0.0, 5], [use day power phone boom box, 0.8481, 5], [work say, 0.0, 5], [product handy, 0.4215, 4], [build charger connector solid provide connection v socket provide power device, 0.0, 5], [work expect, -0.7424, 3], [working car charger use twice seems job, 0.6369, 5], [order car chargersone boyfriend work beginning charge iphones way advertise car charger stop work week thought usb cord work indicator charger connect port car usb cord work charge phone connect laptop car charger boyfriend work charging phone guess receive, 0.0, 5], [convenient, 0.6808, 5], [line product build job, 0.8126, 5], [nice, 0.2732, 5], [, 0.6249, 5]]"
B00OZ5OIFE,"[0.7783, 0.9558, 0.6249, 0.8727, 0.4019, 0.6369, 0.5423, 0.4927, 0.802, 0.4404, -0.2617, 0.9246, 0.6249, 0.4215, 0.6249, -0.2732, 0.6213, 0.7529, 0.6249, 0.872, 0.8337, 0.1999, 0.2415, 0.7425, 0.7184, 0.6249, 0.4215, 0.4853]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 3, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5]","[[charge, thing, truck], [amaze, cant, wait, get, device, charge, device, stay, cool], [design, instant, performance, boost, worn, charger, build, tech, prevents, overcharge, damage, device, experience, loss, charge, multiple, device, connect, time, stay, seat, car, port, get, loose, hold, charge, cord, tight], [like, buy], [charge, fast, multiple, port], [seems, good, quality], [use, charge, sena, bluetooth, headset, motorcycle, work], [kid, power, port, charge, tablet, smart, phone, road], [work, describe], [update, discover, cord, use, stop, work, causing, charger, turn, replace, cord, different, charger, start, work, company, contact, offer, send, charger, cost, trouble, let, issue, wouldnt, need, charger, mine, work, againbr, br, recommend, product, company, great, customer, servicebr, br, ive, charger, month, awesome, week, stop, work, apparent, reasonbr, br, time, work, port, charge, device, move, love, compact, size, nice, quality, designbr, br, give, star, rating, working, month, imo, product, work, issue, star, product], [charger, own, year, bought, wife, time, trash, shold, buy, shack], [history, offer, get, take, race, weekend, tennessee, ipad, phone, plug, everything, workedbr, work, reason, say, bought, junk, thats, spend, got], [review, omaker, intelligent, w, premium, aluminum, usb, car, charger, smart, share, usb, portbr, lighter, usb, charger, charge, iphone, mp, player, time, waste, try, one, store, charge, phone, mp, player, zune, require, power, charge, thank, god, find, charger, usb, port, charge, device, need, favor, buy, charger, youll, happy], [work, great, car, boat, device, keep, phone, charge], [work, say, find, charger, work, note, plug, happen, red, x, charge, icon, show, ideal, happen, take, day, charge, happen, second, adjust, need, red, x, disappear, charge, perfect], [work, great], [charge, car, charger], [fit, charge, complaint], [love, work, fail, today, reason, stop, work, month, use, hop, longer], [well, others, try, small, get, support, apple, samsung, blackberry, challenge, btw], [advertise], [product], [item, charge, phne], [product], [flow, amperage, charge, tablet, smart, phone], [perfect, charger, dont, know, time, plug, ride, store, charge, plug, night, love, charger], [compact, good, build, quality, good, value], [product, charge, phone, quick, shuts, charge, prevent, charge, battery, impress]]","[[charge thing truck, 0.7783, 5], [amaze cant wait get device charge device stay cool, 0.9558, 5], [design instant performance boost worn charger build tech prevents overcharge damage device experience loss charge multiple device connect time stay seat car port get loose hold charge cord tight, 0.6249, 5], [like buy, 0.8727, 5], [charge fast multiple port, 0.4019, 5], [seems good quality, 0.6369, 5], [use charge sena bluetooth headset motorcycle work, 0.5423, 5], [kid power port charge tablet smart phone road, 0.4927, 5], [work describe, 0.802, 5], [update discover cord use stop work causing charger turn replace cord different charger start work company contact offer send charger cost trouble let issue wouldnt need charger mine work againbr br recommend product company great customer servicebr br ive charger month awesome week stop work apparent reasonbr br time work port charge device move love compact size nice quality designbr br give star rating working month imo product work issue star product, 0.4404, 5], [charger own year bought wife time trash shold buy shack, -0.2617, 4], [history offer get take race weekend tennessee ipad phone plug everything workedbr work reason say bought junk thats spend got, 0.9246, 5], [review omaker intelligent w premium aluminum usb car charger smart share usb portbr lighter usb charger charge iphone mp player time waste try one store charge phone mp player zune require power charge thank god find charger usb port charge device need favor buy charger youll happy, 0.6249, 5], [work great car boat device keep phone charge, 0.4215, 5], [work say find charger work note plug happen red x charge icon show ideal happen take day charge happen second adjust need red x disappear charge perfect, 0.6249, 4], [work great, -0.2732, 3], [charge car charger, 0.6213, 5], [fit charge complaint, 0.7529, 5], [love work fail today reason stop work month use hop longer, 0.6249, 5], [well others try small get support apple samsung blackberry challenge btw, 0.872, 5], [advertise, 0.8337, 5], [product, 0.1999, 5], [item charge phne, 0.2415, 4], [product, 0.7425, 5], [flow amperage charge tablet smart phone, 0.7184, 5], [perfect charger dont know time plug ride store charge plug night love charger, 0.6249, 5], [compact good build quality good value, 0.4215, 4], [product charge phone quick shuts charge prevent charge battery impress, 0.4853, 5]]"
B00OZ7MYRQ,"[0.3182, 0.7579]","[5, 5]","[[buy, light, power, bank, month, wait, review, product, want, test, give, review, camping, rid, wheelersand, miles, lobstering, fl, key, product, keep, iphone, go, time, im, sure, device], [money, spent, charger, take, vega, charge, friend, phone, mine, ton, charge, leave, fill, ipad, plane, ride, home]]","[[buy light power bank month wait review product want test give review camping rid wheelersand miles lobstering fl key product keep iphone go time im sure device, 0.3182, 5], [money spent charger take vega charge friend phone mine ton charge leave fill ipad plane ride home, 0.7579, 5]]"
B00OZK02E0,"[0.8622, 0.7717, 0.9054, 0.6249, 0.6249]","[5, 5, 4, 5, 5]","[[emergency, charger, hold, charge, month, charge, device, wall, car, car, charger, build, lead, light, pinch, impress, purchase, home, recommend], [charge, job, fault, price, functionality, cant, go, size, dissapointed, get, anything, charge, better, product, great, take, deployment, make, life, worry, charge, phone, charge, time, issue, product], [awesome, describe], [excellent, charger, charge, phone, half, hour, buy]]","[[emergency charger hold charge month charge device wall car car charger build lead light pinch impress purchase home recommend, 0.8622, 5], [charge job fault price functionality cant go size dissapointed get anything charge better product great take deployment make life worry charge phone charge time issue product, 0.7717, 5], [awesome describe, 0.9054, 4], [excellent charger charge phone half hour buy, 0.6249, 5], [, 0.6249, 5]]"
B00P312LJY,[0.5574],[5],"[[look, make, phone, go, ease]]","[[look make phone go ease, 0.5574, 5]]"
B00P6Y6DFG,"[0.5719, -0.2755]","[4, 1]","[[excellent, battery], [beltron, battery, give, anytime, thing, phone, shuts, duplicate, beltron, battery, try, take, picture, use, flash, phone, shuts, download, something, try, browse, internet, phone, shuts, buy, set, ankers, phone, everything, suppose, replacement, ankers, recommend, beltrons]]","[[excellent battery, 0.5719, 4], [beltron battery give anytime thing phone shuts duplicate beltron battery try take picture use flash phone shuts download something try browse internet phone shuts buy set ankers phone everything suppose replacement ankers recommend beltrons, -0.2755, 1]]"
B00P7JR09S,[0.6369],[5],"[[case, slim, rugged, love, color]]","[[case slim rugged love color, 0.6369, 5]]"
B00P7VSRE8,[0.4019],[4],"[[thing, work, appreciate, glow, emits, let, know, work]]","[[thing work appreciate glow emits let know work, 0.4019, 4]]"
B00PB0F8ME,[0.9344],[1],"[[ship, fine, fit, iphone, use, time, weekend, go, strap, broke, stuck, put, phone, license, money, pocket, throw, purse, look, cheap, expecting, end, buying, crossbody, purse, fair, allows, keep, sunglass]]","[[ship fine fit iphone use time weekend go strap broke stuck put phone license money pocket throw purse look cheap expecting end buying crossbody purse fair allows keep sunglass, 0.9344, 1]]"
B00PBAVD14,[0.6318],[5],"[[secure, stable]]","[[secure stable, 0.6318, 5]]"
B00PDFUBRO,"[0.6557, 0.7902]","[4, 5]","[[work, ok, ear], [work, great, loud]]","[[work ok ear, 0.6557, 4], [work great loud, 0.7902, 5]]"
B00PDJ21LY,"[-0.5033, -0.2023]","[4, 4]","[[look, cheap, projector, look, here, need, pay, close, attention, picture, quality, isnt, crystal, job, dont, need, read, anything, screen, speaker, isnt, fantasticbr, job, mad, fall, picture, time, go, come, pack, adjusts, distance, work, daylight, inside], [projector, need, look, quality, picture, sound, isnt, want, cost, projector, quality, picture, isnt, concern, job]]","[[look cheap projector look here need pay close attention picture quality isnt crystal job dont need read anything screen speaker isnt fantasticbr job mad fall picture time go come pack adjusts distance work daylight inside, -0.5033, 4], [projector need look quality picture sound isnt want cost projector quality picture isnt concern job, -0.2023, 4]]"
B00PF4JGHO,"[0.9153, 0.5719, 0.8074, 0.7906]","[5, 5, 5, 5]","[[quality, merchandise, shipping, communication, thanks], [perfect, giftgift], [super, happy, product, market], [product, case, kick, stand]]","[[quality merchandise shipping communication thanks, 0.9153, 5], [perfect giftgift, 0.5719, 5], [super happy product market, 0.8074, 5], [product case kick stand, 0.7906, 5]]"
B00PIDKL2G,[-0.5849],[1],"[[use, week]]","[[use week, -0.5849, 1]]"
B00PLG4YB4,"[0.8936, 0.8688]","[2, 4]","[[sound, good, reception, well, better, response, frequency], [work, great, battery, time, think, oct, great, saw, pay, sound, link, everytime, time, stop, volume, stop, work, headset, bluetooth, name, change, link, time, work, keep, go, setting, time, link, get, loud, run, treadmill, loud, block, people, work, product, pay, last, year]]","[[sound good reception well better response frequency, 0.8936, 2], [work great battery time think oct great saw pay sound link everytime time stop volume stop work headset bluetooth name change link time work keep go setting time link get loud run treadmill loud block people work product pay last year, 0.8688, 4]]"
B00PPR3RMQ,[0.4404],[5],[[product]],"[[product, 0.4404, 5]]"
B00Q53SUKS,[0.8519],[5],"[[look, great, phone, love, color]]","[[look great phone love color, 0.8519, 5]]"
B00Q7DFWCA,"[-0.615, 0.296, -0.4215]","[1, 2, 1]","[[annoy, run, slide, keep, minute, wire, cause, scratchscratch, sound, step, sound, dj, keep, scratch, disc], [broke, day], [ok, product]]","[[annoy run slide keep minute wire cause scratchscratch sound step sound dj keep scratch disc, -0.615, 1], [broke day, 0.296, 2], [ok product, -0.4215, 1]]"
B00Q84C92E,[0.3716],[2],"[[look, great, picture, wore, week]]","[[look great picture wore week, 0.3716, 2]]"
B00QFNYJB2,[0.9553],[3],"[[phone, month, phone, service, complaint, battery, life, phone, everything, sim, camera, good, screen, re, okay, fast, type, navigation, smooth, speaker, warn, battery, life, imho, think, battery, life, hence, star, point, fullfeatured, phone, cant, stay, use, feature]]","[[phone month phone service complaint battery life phone everything sim camera good screen re okay fast type navigation smooth speaker warn battery life imho think battery life hence star point fullfeatured phone cant stay use feature, 0.9553, 3]]"
B00QKF2C6E,"[0.4404, 0.7584, 0.8979]","[5, 5, 5]","[[use, summer, work, dont, worry, phone, get, wet], [use, case, weekend, love, take, phone, kayak, splashy, water, phone, stay, transport, put, phone, case, inside, waterproof, pouch, waist, trap, secure, kayak, take, picture, listen, recommend]]","[[use summer work dont worry phone get wet, 0.4404, 5], [use case weekend love take phone kayak splashy water phone stay transport put phone case inside waterproof pouch waist trap secure kayak take picture listen recommend, 0.7584, 5], [, 0.8979, 5]]"
B00QPAQ0Y4,"[-0.1655, 0.8225, 0.9082, 0.8674, 0.7422, 0.6249]","[4, 5, 5, 5, 5, 5]","[[nice, case, thin, add, bulk, phone, button, feel, differentiate, others, complain, difficulty, inserting, ear, phone, jack, experience, ear, set], [case, fit, bn, bulk, weight, protect, ship, quicker, estimate], [case, fit, phone, great, st, didnt, want, case, dropping, phone, couple, time, realize, need, case, doesnt, feel, bulky, slide, pocket, going, order, husband, phone], [case, fit, droid, turbo, phone, shade, purple, picture, make, side, look, clear, bit, difficult, use, side, volume, key, phone, protect, im, happy, purchase], [nice, look, keep, slim, phone, quality, look, protection, phone], [receive, work, device]]","[[nice case thin add bulk phone button feel differentiate others complain difficulty inserting ear phone jack experience ear set, -0.1655, 4], [case fit bn bulk weight protect ship quicker estimate, 0.8225, 5], [case fit phone great st didnt want case dropping phone couple time realize need case doesnt feel bulky slide pocket going order husband phone, 0.9082, 5], [case fit droid turbo phone shade purple picture make side look clear bit difficult use side volume key phone protect im happy purchase, 0.8674, 5], [nice look keep slim phone quality look protection phone, 0.7422, 5], [receive work device, 0.6249, 5]]"
B00QQTFYAA,"[0.5719, 0.6249, 0.0]","[5, 5, 1]","[[arrives, work], [perfect, need], [cord, didnt, work]]","[[arrives work, 0.5719, 5], [perfect need, 0.6249, 5], [cord didnt work, 0.0, 1]]"
B00QSD9RXE,"[0.893, -0.0772]","[5, 1]","[[nice, case, case, phone], [recieved, case, color, amaze, person, rich, plum, color, compliment, orange, blu, phone, d]]","[[nice case case phone, 0.893, 5], [recieved case color amaze person rich plum color compliment orange blu phone d, -0.0772, 1]]"
B00QU7FO76,[0.7783],[4],"[[yes, great]]","[[yes great, 0.7783, 4]]"
B00QY2XHE4,[-0.1655],[2],"[[look, fall, apart, month]]","[[look fall apart month, -0.1655, 2]]"
B00R42V9C0,[0.7089],[4],"[[nice, case, husband, like, say, want]]","[[nice case husband like say want, 0.7089, 4]]"
B00R639YNS,[0.0],[5],"[[perfectfast, delivery, describe, need]]","[[perfectfast delivery describe need, 0.0, 5]]"
B00R70KVQE,"[0.8173, 0.9273, 0.9045]","[5, 4, 4]","[[hvac, service, technician, use, unit, hour, day, enjoy, minute, itbr, br, prosbr, sound, greatbr, pairbr, durablebr, cord, hang, featurebr, speaker, phone, caller, sound, ok, person, calledbr, br, consbr, unit, tone, load, enoughbr, unit, status, bright, daylight, tell, unit, sunlight, ], [update, problem, day, use, problem, appear, result, charge, instruction, charge, write, result, charge, speaker, work, fine, sound, bass, speaker, volume, great, place, listen, work, yard, give, star, instruction, write, someone, english, secondary, language, understand, instruction, update, problem, solve, mine, llc, concern, customer, satisfaction, hesitate, purchase, product], [impress, product, sound, quality, great]]","[[hvac service technician use unit hour day enjoy minute itbr br prosbr sound greatbr pairbr durablebr cord hang featurebr speaker phone caller sound ok person calledbr br consbr unit tone load enoughbr unit status bright daylight tell unit sunlight , 0.8173, 5], [update problem day use problem appear result charge instruction charge write result charge speaker work fine sound bass speaker volume great place listen work yard give star instruction write someone english secondary language understand instruction update problem solve mine llc concern customer satisfaction hesitate purchase product, 0.9273, 4], [impress product sound quality great, 0.9045, 4]]"
B00R74PA66,"[0.8718, 0.7717]","[4, 4]","[[mom, like], [like, color, hope, material, doesnt, wear]]","[[mom like, 0.8718, 4], [like color hope material doesnt wear, 0.7717, 4]]"
B00RC5K00Q,[0.3818],[5],"[[buy, husband, defender, series, husband, colt, fan, case, husband, drop, phone, humvee, scratch]]","[[buy husband defender series husband colt fan case husband drop phone humvee scratch, 0.3818, 5]]"
B00RDFSZ52,"[0.7845, 0.4215]","[1, 5]","[[save, note, time], [work, month, take, yesterday, film, separate, front, satisfy, product]]","[[save note time, 0.7845, 1], [work month take yesterday film separate front satisfy product, 0.4215, 5]]"
B00RF9P9MI,[0.291],[4],"[[thing, annoy, hit, edge, side, pick, hit, apps, dont, want, see]]","[[thing annoy hit edge side pick hit apps dont want see, 0.291, 4]]"
B00RHQY484,[0.6369],[5],[[product]],"[[product, 0.6369, 5]]"
B00RL6P506,[0.1027],[2],"[[month, use, throw, closure, flap, begin, apart, month, superglued, layer, case, hold, phone, begin, away, rest, phone, casebr, br, fine, temporary, use]]","[[month use throw closure flap begin apart month superglued layer case hold phone begin away rest phone casebr br fine temporary use, 0.1027, 2]]"
B00S74B19A,[-0.417],[3],"[[case, wasnt, look, protect, phone, drop, phone, screen, shatter, glass, protector, chunk, came, spend, get, screen, definitley, get, pay, outter, box]]","[[case wasnt look protect phone drop phone screen shatter glass protector chunk came spend get screen definitley get pay outter box, -0.417, 3]]"
B00SA5IZHC,[0.4404],[5],"[[quality, fast, shipping]]","[[quality fast shipping, 0.4404, 5]]"
B00SIBPV0M,"[0.0, 0.807, 0.0]","[1, 5, 5]","[[work, note, verizon], [work, describe, set, minute], [work, great, please, product]]","[[work note verizon, 0.0, 1], [work describe set minute, 0.807, 5], [work great please product, 0.0, 5]]"
B00SOBXFH2,[0.8519],[5],"[[protection, stylish, love]]","[[protection stylish love, 0.8519, 5]]"
B00SR5EIE4,[0.0],[5],"[[apple, certify, accessory, price, cant, ask]]","[[apple certify accessory price cant ask, 0.0, 5]]"
B00STP874O,"[-0.5106, 0.2023, 0.9027, 0.4173, 0.8761, 0.1477, 0.9253, 0.7269, 0.6249, 0.941, 0.9946, -0.6142]","[1, 5, 4, 5, 5, 4, 3, 5, 5, 5, 5, 3]","[[awesome, bluetooth, earbuds, consider, price, pair, bose, siei, sport, headphone, soundpeats, qy, sound, quality, dropoff, bose, bose, well, qys, design, better, reduce, noise, pair, device, battery, life, decent, hour, workout, need, charge, note, dont, power, leave, get, battery, warning, range, leave, walk, foot, bt, device, connection, doesnt, drop], [sound, cleari], [delivery, convenient], [read, review, hesitation, buy, decide, trigger, fan, bluetooth, product, find, quality, varies, product, product, look, earbuds, everything, heard, people, know, connection, get, spotty, walk, found, perfect, price, wasnt, concern, let, didnt, cost, review, trust, amazon, peer, br, try, impress, pair, fit, great, box, sound, good, block, background, sound, hold, charge, come, nice, carry, case, charger, cable, side, weight, heavy, comparison, nonwireless, earbuds, battery, people, like, charging, cord, cord, isnt, cumbersome, youre, charge, youre, use, cordbr, br, overall, youre, look, bluetooth, earbuds, give, try, arent, good, price, youre, gettting, product, uninflated, price], [sound, bluetooth, connection, skip, bit, battery, hour, buy], [use, headphone, take, figure, position, stay, ear, work, problem, function, make, phone, call, lot, complaint, people, end, cant, hear, end, disconnect, phone, earphone, call, make, use, ala, continue, look, set, quality, bluetooth, headphone, dont, cost, arm, leg], [awesome, plain, simple], [ear, get, pain, use, min], [headphone, change, life, recommend, professor], [work, walk, foot, computer, get, connectivity, mold, hurt, extend, use, wish, size, charge, pop, rubber, stopper, charger, port, headphone, use, paper, clip], [send, bother, ear, sound, try, blue, tooth, talk, friend, say, sound, fine, couldnt, get, sit, ear], [take, minute, get, set, ear, thing, youre, stay, sound, get, loud, someone, hearing, wish, neck, cord]]","[[awesome bluetooth earbuds consider price pair bose siei sport headphone soundpeats qy sound quality dropoff bose bose well qys design better reduce noise pair device battery life decent hour workout need charge note dont power leave get battery warning range leave walk foot bt device connection doesnt drop, -0.5106, 1], [sound cleari, 0.2023, 5], [delivery convenient, 0.9027, 4], [read review hesitation buy decide trigger fan bluetooth product find quality varies product product look earbuds everything heard people know connection get spotty walk found perfect price wasnt concern let didnt cost review trust amazon peer br try impress pair fit great box sound good block background sound hold charge come nice carry case charger cable side weight heavy comparison nonwireless earbuds battery people like charging cord cord isnt cumbersome youre charge youre use cordbr br overall youre look bluetooth earbuds give try arent good price youre gettting product uninflated price, 0.4173, 5], [sound bluetooth connection skip bit battery hour buy, 0.8761, 5], [use headphone take figure position stay ear work problem function make phone call lot complaint people end cant hear end disconnect phone earphone call make use ala continue look set quality bluetooth headphone dont cost arm leg, 0.1477, 4], [awesome plain simple, 0.9253, 3], [ear get pain use min, 0.7269, 5], [headphone change life recommend professor, 0.6249, 5], [work walk foot computer get connectivity mold hurt extend use wish size charge pop rubber stopper charger port headphone use paper clip, 0.941, 5], [send bother ear sound try blue tooth talk friend say sound fine couldnt get sit ear, 0.9946, 5], [take minute get set ear thing youre stay sound get loud someone hearing wish neck cord, -0.6142, 3]]"
B00SW06EQY,[-0.7163],[5],"[[couldnt, product, battery, charge, maintain, charge, stock, battery, price, gone, day, dead, cellphone, extra, battery, pocket, moderatefrequent, smartphone, user, travel]]","[[couldnt product battery charge maintain charge stock battery price gone day dead cellphone extra battery pocket moderatefrequent smartphone user travel, -0.7163, 5]]"
