1059359189,"[0.0382, 0.6249]","[1, 5]","[[break, item], [work, great]]","[[break item, 0.0382, 1], [work great, 0.6249, 5]]"
B00LZLSLIQ,"[-0.2755, 0.4588, 0.4176]","[4, 5, 2]","[[gps, cant, connect, power], [dozen, phone, holder, car, money], [put, smart, phone, holder, dashboard, prop, groove, show, picture, use, navigation, leave, hand, turn, make, phone, flew, side, car, bounce, door, go, window, sure, think, suppose, work]]","[[gps cant connect power, -0.2755, 4], [dozen phone holder car money, 0.4588, 5], [put smart phone holder dashboard prop groove show picture use navigation leave hand turn make phone flew side car bounce door go window sure think suppose work, 0.4176, 2]]"
B00M0QW2WQ,"[-0.3573, 0.6071, 0.8516]","[4, 5, 5]","[[cover, look, got, itbr, put, phone, look, awesome, people, ask, get, drop, phone, tell, cover, handle, good, drop, update, month, case], [goodbr, problem, plastic, screen, scratch, kind, ofbr, deal, drop, phone, time, damage, nice, look, case], [buy, case, boyfriend, love, need, rugged, case, trick, make, nice, quality, material, buy]]","[[cover look got itbr put phone look awesome people ask get drop phone tell cover handle good drop update month case, -0.3573, 4], [goodbr problem plastic screen scratch kind ofbr deal drop phone time damage nice look case, 0.6071, 5], [buy case boyfriend love need rugged case trick make nice quality material buy, 0.8516, 5]]"
B00M4EAHH6,[0.967],[5],"[[thank, amazon, product, otter, box, iphone, screen, protector, instruction, follow, apply, screen, protector, look, iphone, feel, knowing, worry, phone, protect, scratch, nick]]","[[thank amazon product otter box iphone screen protector instruction follow apply screen protector look iphone feel knowing worry phone protect scratch nick, 0.967, 5]]"
B00MIGFZAE,"[0.0, 0.7906]","[1, 5]","[[overheat, phone, half, time, turn, camera, time, take, pant, jacket, pocket, photo, cover, close], [case, hardware, build, case, take, phone, replace, case, show, watch, clock, display, flip, front, case, activates, look]]","[[overheat phone half time turn camera time take pant jacket pocket photo cover close, 0.0, 1], [case hardware build case take phone replace case show watch clock display flip front case activates look, 0.7906, 5]]"
B00MV77G9I,"[0.8126, -0.2263]","[5, 4]","[[balance, slim], [tight, fit, phone, drop, case, crackchip, pick, tjmaxx, dollar, south, texas]]","[[balance slim, 0.8126, 5], [tight fit phone drop case crackchip pick tjmaxx dollar south texas, -0.2263, 4]]"
B00MVNPVEE,[0.0],[3],"[[magnet, work]]","[[magnet work, 0.0, 3]]"
B00MVSNWKE,"[0.7003, 0.3182, 0.6115, 0.6249, -0.4215]","[4, 3, 5, 5, 1]","[[case, break, put, phone, build, quality, great, case, charge, phone, charge], [happy, product, sturdy, work, advertise], [broke, week, use, florida, return], [use]]","[[case break put phone build quality great case charge phone charge, 0.7003, 4], [happy product sturdy work advertise, 0.3182, 3], [broke week use florida return, 0.6115, 5], [use, 0.6249, 5], [, -0.4215, 1]]"
B00MWQBUXG,[0.296],[3],"[[work, ok]]","[[work ok, 0.296, 3]]"
B00MYYCGKW,"[0.7902, 0.8989, 0.923, 0.6045, 0.8402, 0.0516, -0.5096, 0.7074, 0.765, 0.97, 0.8863, 0.6249, 0.9245, 0.6901, 0.5543, 0.9923, 0.0, 0.4404, 0.7906, 0.9337, 0.9485, 0.0, 0.7808, 0.9227, 0.6249, -0.0227, 0.9345, 0.765, 0.6249, 0.0, 0.1944, 0.9692, -0.8608, 0.9128, 0.9619, 0.9042, 0.0]","[5, 5, 5, 4, 5, 5, 5, 4, 5, 4, 4, 5, 4, 5, 3, 4, 4, 5, 5, 5, 3, 4, 5, 5, 4, 5, 5, 5, 5, 1, 4, 5, 4, 5, 5, 5, 4]","[[thing, champ, handle, water, love, cling, sliding, glass, door, party, sound, awesome], [doesnt, work, samsung, galaxy, note, ], [itbr, price, sound, value], [happy, product, use, hot, tub, buying, shower, sound, clear, option, impress], [speaker, sound, quality, rich, put, project, take, shower, convenient, easy, pair, device], [speaker, research, discover, product, waterproofie, couldnt, period, rat, water, resistant, sound, quality, everything, work, way, expect, look, take, go, kayak, use, pool], [think, bad, purchase, look, qualityprice, speaker, work, pair, last, battery, sound, come, lack, bass, ok, use, listen, internet, radio, song, musicianbr, protection, kind, nice, design], [work, great, take, usb, charging, shower, speaker, manufacturer, take, wall, wart, ac, adapter, plug, charge, power, spec, couldnt, ac, adapter, misplace, came, allow, use, standard, usb, cable, find, charge, plus, sound], [fill, space, review, sound, good, seem], [work, arrive, expect, recommend], [look, speaker, deliver, promise, follow, instruction, sync, phone, year, us, love, company, follow, email, make, sure, problem], [everything, want, loud, good, sound, cheap, loud, beep, increase, sound, go, listen, minute, recommend], [price, wasnt, expect, look, something, phone, play, music, take, shower, bath, disappoint, here, thing, thembr, br, loud, make, dont, phone, blast, thing, produce, fuzzy, soundbr, suction, instance, fell, didnt, suction, make, suction, part, get, wet, reason, dont, wont, stickbr, sound, okay, dont, expect, jaw, drop, performance, dont, sound, knockoff, junk, listen, everything, dj, shadow, mf, doom, daft, punk, lead, zeppelin, tame, impala, pink, floyd, stroke, beethoven, chopin, problem, hear, notebr, bluetooth, connection, leave, phone, room, foot, problem, switch, computer, need, make, sure, disconnect, turn, speaker, dont, disconnect, wont, let, connect, device, isnt, problem, something, know, experience, troublebr, battery, life, recharge, month, forgot, turn, battery, last, lot, longer, expect, pleasedbr, br, bottom, line, buck, im, listen, nice, tune, shower, zero, problem, device, month, dont, expect, update, anything, go], [loud, bluetooth, speaker, use, battery, last, use, night, didnt, break], [loud, work, awesome, month, problem], [want, volume], [product, work, advertise], [get, think, ya, turn, car, speaker, work, got, sound, speaker, wold, get, take, car, sculpture, class, listen, pandora, love], [sound, drop, shower, day, value], [work, fact, order, like, order, others, come, product, marking, connection, sure, matter, product, performance, unexpected], [voice, say, power, power, make, jump, volume, doesnt, go, want, product, nice], [], [didnt, know, speaker, play, music, loud], [dont, get, think, speaker, couple, thing, bring, suction, cup, work, shower, get, wet, wall, anything, less, chance, im, fan, audio, cue, think, country, use, tweaking, dont, hold, button, raise, volume, dont, know, gonecan, go, overall, good, speaker, shower, shower], [speaker, great, price, use, shower, work, water, resistant, say, didnt, submerge, splash, problem, use, kitchen, cooking, wipe, spill, rubbery, coat, seems, help, usb, charge, came, charge, last, hour, charge, work, play, cooking, work, case, theyre, thing, think, use, trip, challenge, last, hour, plug, car, charger, couldnt, charge, phone, buy, port, cigarette, lighter, charge, port, remedy, car, windows, sound, plenty, loud, anyone, try, listen, music, phone, road, trip, know, roll, windows, music, speaker, turn, hold, power, button, second, voice, say, power, thing, power, set, phone, tooth, super, easy, id, use, tooth, sound, quality, good, pick, bass, speaker, volume, nice, loud, use, work, kitchen, whole, room, im, guess, sq, ft, hear, music, noise, hood, fan, ovens, hum, cooler, machine, people, talk, chop, suction, cup, hold, nice, cooler, door, shower, wall, slip, beat, price], [sound, use], [sound, quality, mean, amaze, loud, shower, run, isnt, deal, speaker, get, loud, shower, prev, track, button, pause, button, work, fine, ive, splash, water, speaker, modifies, sound, bit, term, leave, last, damage], [product, version, work, sound, volume, control, simple, learn, say, battery, longer, need, recharge, control, black, mold, volume, control, unit], [sound], [customer, service, amaze, say, anything, send, replacement, great, loud, color, thank, tsing], [gadget, sound, darn, charge, last, time], [cant, believe, work], [product, price, bring, grand, daughter, love, easy, setup, bluetooth], [speaker, deal, think, couldnt, lose, speaker, function, good, volume, distortion, range, objection, design, issue, turn, speaker, synthesize, voice, say, speaker, onthe, volume, message, controllableits, annoying, issue, instruction, useless, write, translation, get, use, quality, instructionowner, manual, ok], [ok, get, thing, think, awesome, deal, price, charge, trip, boat, get, wet, stop, work, charge, turn, matter, leave, plug, update, posting, review, company, contact, send, replacement, give, star, kick, bucket, customer, service], [job, nothing, fancy, work, get, order], [speaker, engineering, built, take, bashing, shower, loud, hell, cheap, excuse, buy, start, enjoy, shower]]","[[thing champ handle water love cling sliding glass door party sound awesome, 0.7902, 5], [doesnt work samsung galaxy note , 0.8989, 5], [itbr price sound value, 0.923, 5], [happy product use hot tub buying shower sound clear option impress, 0.6045, 4], [speaker sound quality rich put project take shower convenient easy pair device, 0.8402, 5], [speaker research discover product waterproofie couldnt period rat water resistant sound quality everything work way expect look take go kayak use pool, 0.0516, 5], [think bad purchase look qualityprice speaker work pair last battery sound come lack bass ok use listen internet radio song musicianbr protection kind nice design, -0.5096, 5], [work great take usb charging shower speaker manufacturer take wall wart ac adapter plug charge power spec couldnt ac adapter misplace came allow use standard usb cable find charge plus sound, 0.7074, 4], [fill space review sound good seem, 0.765, 5], [work arrive expect recommend, 0.97, 4], [look speaker deliver promise follow instruction sync phone year us love company follow email make sure problem, 0.8863, 4], [everything want loud good sound cheap loud beep increase sound go listen minute recommend, 0.6249, 5], [price wasnt expect look something phone play music take shower bath disappoint here thing thembr br loud make dont phone blast thing produce fuzzy soundbr suction instance fell didnt suction make suction part get wet reason dont wont stickbr sound okay dont expect jaw drop performance dont sound knockoff junk listen everything dj shadow mf doom daft punk lead zeppelin tame impala pink floyd stroke beethoven chopin problem hear notebr bluetooth connection leave phone room foot problem switch computer need make sure disconnect turn speaker dont disconnect wont let connect device isnt problem something know experience troublebr battery life recharge month forgot turn battery last lot longer expect pleasedbr br bottom line buck im listen nice tune shower zero problem device month dont expect update anything go, 0.9245, 4], [loud bluetooth speaker use battery last use night didnt break, 0.6901, 5], [loud work awesome month problem, 0.5543, 3], [want volume, 0.9923, 4], [product work advertise, 0.0, 4], [get think ya turn car speaker work got sound speaker wold get take car sculpture class listen pandora love, 0.4404, 5], [sound drop shower day value, 0.7906, 5], [work fact order like order others come product marking connection sure matter product performance unexpected, 0.9337, 5], [voice say power power make jump volume doesnt go want product nice, 0.9485, 3], [, 0.0, 4], [didnt know speaker play music loud, 0.7808, 5], [dont get think speaker couple thing bring suction cup work shower get wet wall anything less chance im fan audio cue think country use tweaking dont hold button raise volume dont know gonecan go overall good speaker shower shower, 0.9227, 5], [speaker great price use shower work water resistant say didnt submerge splash problem use kitchen cooking wipe spill rubbery coat seems help usb charge came charge last hour charge work play cooking work case theyre thing think use trip challenge last hour plug car charger couldnt charge phone buy port cigarette lighter charge port remedy car windows sound plenty loud anyone try listen music phone road trip know roll windows music speaker turn hold power button second voice say power thing power set phone tooth super easy id use tooth sound quality good pick bass speaker volume nice loud use work kitchen whole room im guess sq ft hear music noise hood fan ovens hum cooler machine people talk chop suction cup hold nice cooler door shower wall slip beat price, 0.6249, 4], [sound use, -0.0227, 5], [sound quality mean amaze loud shower run isnt deal speaker get loud shower prev track button pause button work fine ive splash water speaker modifies sound bit term leave last damage, 0.9345, 5], [product version work sound volume control simple learn say battery longer need recharge control black mold volume control unit, 0.765, 5], [sound, 0.6249, 5], [customer service amaze say anything send replacement great loud color thank tsing, 0.0, 1], [gadget sound darn charge last time, 0.1944, 4], [cant believe work, 0.9692, 5], [product price bring grand daughter love easy setup bluetooth, -0.8608, 4], [speaker deal think couldnt lose speaker function good volume distortion range objection design issue turn speaker synthesize voice say speaker onthe volume message controllableits annoying issue instruction useless write translation get use quality instructionowner manual ok, 0.9128, 5], [ok get thing think awesome deal price charge trip boat get wet stop work charge turn matter leave plug update posting review company contact send replacement give star kick bucket customer service, 0.9619, 5], [job nothing fancy work get order, 0.9042, 5], [speaker engineering built take bashing shower loud hell cheap excuse buy start enjoy shower, 0.0, 4]]"
B00N1G35N4,"[0.9042, -0.4194, -0.6398, 0.9253, 0.6249]","[2, 3, 2, 4, 5]","[[purchase, replace, year, case, figure, year, base, phone, usage, receive, case, attempt, attempt, rigid, outer, shell, inner, liner, broke, volume, control, edge, screen, location, inner, liner, fit, liner, brittle, compare, spigen, case, replace], [otterbox, took, effort, get, lip, edge, get, place, overall, cheap, seem, bit, protection, abuse, otterbox, protect, shell, screen, protector, layer, rubber, thin, layer, rubber, partial, thin, plastic, shell, nothing, glass, less, look, wont, stretch, otherwise, deform], [galaxy, didnt, fit, case, lack, space, metalicsilver, part, phone, close, screen, appear, leave, side, cover, case, put, table, screen, touch], [case, feel, nice, bulky, drawback, headphone, cant, plugin, case, annoy], [case]]","[[purchase replace year case figure year base phone usage receive case attempt attempt rigid outer shell inner liner broke volume control edge screen location inner liner fit liner brittle compare spigen case replace, 0.9042, 2], [otterbox took effort get lip edge get place overall cheap seem bit protection abuse otterbox protect shell screen protector layer rubber thin layer rubber partial thin plastic shell nothing glass less look wont stretch otherwise deform, -0.4194, 3], [galaxy didnt fit case lack space metalicsilver part phone close screen appear leave side cover case put table screen touch, -0.6398, 2], [case feel nice bulky drawback headphone cant plugin case annoy, 0.9253, 4], [case, 0.6249, 5]]"
B00N43LM02,"[-0.7776, 0.6249]","[2, 5]","[[case], [case, arrive, fit, iphone, lock, button, press, drop, phone, try, lock, screen, read, review, purchase, case, didnt, think, unless, dont, mind, drop, phone, time, try, lock, wouldnt, purchase, ]]","[[case, -0.7776, 2], [case arrive fit iphone lock button press drop phone try lock screen read review purchase case didnt think unless dont mind drop phone time try lock wouldnt purchase , 0.6249, 5]]"
B00NG258P6,[0.6249],[5],"[[awesome, arrive]]","[[awesome arrive, 0.6249, 5]]"
B00NGGJAR4,"[0.9909, 0.8979]","[5, 5]","[[work, great, iphone, molle, loop, connect, backpack, great], [thing, awesome, seems, stitch, strap, use, belt, loop, attach, belt, use, attach, molle, surface, hate, think, phone, case, feel, carry, brick, want, case, phone, come, holster, find, think, phone, case, need, way, attach, belt, carry, pocketbr, br, buy, holster, phone, fit, perfect, case, velcro, keep, holster, close, phone, secure, add, cushion, protect, phone, bump, something, look, wear, fan, sporting, pantstie, set, dont, option, carry, phonebr, br, want, holster, phone, case, offer, protection, waist, strap, belt, attachment, product, update, post, stand]]","[[work great iphone molle loop connect backpack great, 0.9909, 5], [thing awesome seems stitch strap use belt loop attach belt use attach molle surface hate think phone case feel carry brick want case phone come holster find think phone case need way attach belt carry pocketbr br buy holster phone fit perfect case velcro keep holster close phone secure add cushion protect phone bump something look wear fan sporting pantstie set dont option carry phonebr br want holster phone case offer protection waist strap belt attachment product update post stand, 0.8979, 5]]"
B00NGLBF86,"[0.5413, 0.6369]","[5, 4]","[[use, time, go, dinner], [gold, glitter]]","[[use time go dinner, 0.5413, 5], [gold glitter, 0.6369, 4]]"
B00NGNQ1MY,[0.6705],[4],"[[case, serf, purpose, want, carry, purse, take, phone, case, difficult, want, use, phone, speaker, cool]]","[[case serf purpose want carry purse take phone case difficult want use phone speaker cool, 0.6705, 4]]"
B00NW6RMVY,[0.802],[5],"[[elephant, color, case]]","[[elephant color case, 0.802, 5]]"
B00NXGVSUE,[0.4404],[4],"[[work, cut, move, way]]","[[work cut move way, 0.4404, 4]]"
B00O2WOF6C,[0.4215],[5],[[nice]],"[[nice, 0.4215, 5]]"
B00O3LJACQ,"[-0.1419, 0.6705]","[4, 3]","[[application, reflection, clean], [picture, bit, darker, use, mirror]]","[[application reflection clean, -0.1419, 4], [picture bit darker use mirror, 0.6705, 3]]"
B00OBWF7L0,[0.0348],[5],"[[doubt, phone, case, own, make, clip, look, clip, use, seem, work, way, pant, doesnt]]","[[doubt phone case own make clip look clip use seem work way pant doesnt, 0.0348, 5]]"
B00ODO7MUU,[0.8151],[3],"[[super, cute, wood, print, start, fade, distance, looking, close]]","[[super cute wood print start fade distance looking close, 0.8151, 3]]"
B00OGMMSE4,[0.7645],[5],"[[case, make]]","[[case make, 0.7645, 5]]"
B00OH674GQ,[0.0],[3],"[[pastel, color]]","[[pastel color, 0.0, 3]]"
B00OKF16LI,[0.8817],[5],"[[perfect, disney, fan, case, pair, screen, protector]]","[[perfect disney fan case pair screen protector, 0.8817, 5]]"
B00OP5SAAI,"[0.5719, 0.7717, 0.6249, 0.9066, 0.0]","[5, 5, 4, 4, 5]","[[work, great, thing, find, back, seem, case, fit, seen, post, say, caseology, envoy, series, case, fit, receive, case, today, doesnt, fit, dont, mind, case, wireless, charge, way, wouldnt, get, charge, insert, hit, miss, work, dont, samsung, design, work, phone, reason, im, give, star, case, phone, ive, stop, use, cover, find, case, fit], [case, option, phone, end, bumper, case, ebay, camera, lens, recess], [excellent, product], [qi, work, add, bit, bulk, custom, case, make, align]]","[[work great thing find back seem case fit seen post say caseology envoy series case fit receive case today doesnt fit dont mind case wireless charge way wouldnt get charge insert hit miss work dont samsung design work phone reason im give star case phone ive stop use cover find case fit, 0.5719, 5], [case option phone end bumper case ebay camera lens recess, 0.7717, 5], [excellent product, 0.6249, 4], [qi work add bit bulk custom case make align, 0.9066, 4], [, 0.0, 5]]"
B00OPKM004,"[-0.8402, 0.4468]","[1, 1]","[[power, excellent, seller, deal, try, resolve, problem, product, manufacture, product, work, cause, noise, rid, speed, replace, multiple, time, get, hub], [news, dont, need, bell, horn, thing, instal, produce, racket, folk, come, news, work, week, stop, charge, run, ride, usb, output, stop, produce, charge, whatsoever, phone, die, middle, ride, receive, course, return, window, expire, waste, money]]","[[power excellent seller deal try resolve problem product manufacture product work cause noise rid speed replace multiple time get hub, -0.8402, 1], [news dont need bell horn thing instal produce racket folk come news work week stop charge run ride usb output stop produce charge whatsoever phone die middle ride receive course return window expire waste money, 0.4468, 1]]"
B00OY9SG72,[-0.2924],[1],"[[doesnt, protect, phone, holster, slide, side, way, phone, fall]]","[[doesnt protect phone holster slide side way phone fall, -0.2924, 1]]"
B00OZ8N9CE,[0.2584],[2],"[[trash, dont, bother]]","[[trash dont bother, 0.2584, 2]]"
B00P01BMHE,[0.7408],[5],"[[look, good, nice, quality]]","[[look good nice quality, 0.7408, 5]]"
B00P0KYUTM,[0.2732],[5],"[[ship, receive, day, came, oem, packaging, receive, lcd, frame, bag, replacement, tool, watch, youtube, video, break, lcd, replace, change, color, blue, white, minute, brand, phone, work]]","[[ship receive day came oem packaging receive lcd frame bag replacement tool watch youtube video break lcd replace change color blue white minute brand phone work, 0.2732, 5]]"
B00P9WQEXQ,[-0.7696],[3],"[[cool, sleek, picture, show, prolong, water, exposure, bulky, put, phone, case, go, float, pain]]","[[cool sleek picture show prolong water exposure bulky put phone case go float pain, -0.7696, 3]]"
B00PIFXAAO,[0.3612],[4],"[[thank, case]]","[[thank case, 0.3612, 4]]"
B00PIL134I,[0.1508],[2],"[[strap, wear, fast, magnet, isnt, case, card, pocket, money, image, go]]","[[strap wear fast magnet isnt case card pocket money image go, 0.1508, 2]]"
B00PVM1BFK,[0.6249],[5],[[awesome]],"[[awesome, 0.6249, 5]]"
B00PXGIN14,[0.7964],[5],"[[case, good, job, magpul]]","[[case good job magpul, 0.7964, 5]]"
B00Q3M9RW6,[0.7893],[5],"[[ship, cute, quality, product, shell, collect, dirt, smudge, thing, dirt, ink, case, handle, cash, basis, sure, hand, clean, handle]]","[[ship cute quality product shell collect dirt smudge thing dirt ink case handle cash basis sure hand clean handle, 0.7893, 5]]"
B00QGMEN6S,[0.0],[1],"[[case, crack, bow, wasnt]]","[[case crack bow wasnt, 0.0, 1]]"
B00QMPUU7A,[0.0],[3],"[[band, baby, blue, shown, picture, want, darker, blue]]","[[band baby blue shown picture want darker blue, 0.0, 3]]"
B00R0TONVG,[0.8591],[5],"[[camping, electricity, charge, cell, phone, love, color]]","[[camping electricity charge cell phone love color, 0.8591, 5]]"
B00R441NHE,[-0.9269],[1],"[[bling, look, argue, cell, phone, service, provider, cell, signal, nonexistent, metro, area, learn, case, issue, remove, case, problem, recommend]]","[[bling look argue cell phone service provider cell signal nonexistent metro area learn case issue remove case problem recommend, -0.9269, 1]]"
B00R57VGUE,[0.8779],[5],"[[thaqt, protects, drop, itmy, reaction, friend, want, phone]]","[[thaqt protects drop itmy reaction friend want phone, 0.8779, 5]]"
B00R9T77JC,"[0.3182, 0.3182, 0.0, -0.4767, 0.0, 0.6249, 0.1027, -0.6316, 0.0, 0.2023, -0.4019, 0.7269, 0.8029, -0.4404]","[5, 4, 4, 1, 5, 4, 5, 1, 1, 5, 1, 5, 5, 1]","[[advertise], [work, great, accord, tracking, wasnt, receive, order, week, excite], [arrive, expect, charge, ipad, thank], [need, daughter, phone, cable, break, comparison, one], [work, fine, price], [price, buy, tj, maxx, ross, thicker, cable, one, order, thick, apple, come, box], [work, month, half, error, message, show, day, lightning, pin, come], [get, day, work, thought, official, apple, charger, guess], [work, great, iphone], [expect], [arrive, packaging, gross], [message, ipad, proper, power, brick, overheat], [work, time, iphone, frustrate, message, appear, phone, say, device, support, phone]]","[[advertise, 0.3182, 5], [work great accord tracking wasnt receive order week excite, 0.3182, 4], [arrive expect charge ipad thank, 0.0, 4], [need daughter phone cable break comparison one, -0.4767, 1], [work fine price, 0.0, 5], [price buy tj maxx ross thicker cable one order thick apple come box, 0.6249, 4], [work month half error message show day lightning pin come, 0.1027, 5], [get day work thought official apple charger guess, -0.6316, 1], [work great iphone, 0.0, 1], [expect, 0.2023, 5], [arrive packaging gross, -0.4019, 1], [message ipad proper power brick overheat, 0.7269, 5], [work time iphone frustrate message appear phone say device support phone, 0.8029, 5], [, -0.4404, 1]]"
B00RLMBMKC,[0.7964],[5],"[[case, n, clip, esp, good, im, riden, horse]]","[[case n clip esp good im riden horse, 0.7964, 5]]"
B00RQYPEBS,[-0.8131],[2],"[[sturdy, case, take, way, force, use, button, month, use, get, time, case, thinkbr, br, disappoint]]","[[sturdy case take way force use button month use get time case thinkbr br disappoint, -0.8131, 2]]"
B00RVUJ8FU,[0.6369],[5],"[[work, iphone]]","[[work iphone, 0.6369, 5]]"
B00RW38MG2,[0.3818],[4],"[[sweet, spot, find, rate, star]]","[[sweet spot find rate star, 0.3818, 4]]"
B00RY1YWSO,[0.3832],[5],"[[awesome, multisport, watch, use, everything, trail, run, swimming, issue]]","[[awesome multisport watch use everything trail run swimming issue, 0.3832, 5]]"
B00S0JHFF6,[0.5574],[5],[[case]],"[[case, 0.5574, 5]]"
B00S2DW7AI,[0.8591],[5],"[[fit, perfect, daughter, love, latch, keep, close, make, order]]","[[fit perfect daughter love latch keep close make order, 0.8591, 5]]"
B00SGHQWWE,[0.6249],[4],"[[work, great, come, time]]","[[work great come time, 0.6249, 4]]"
B00SLWPI2E,"[0.8442, -0.2732, 0.0]","[5, 5, 5]","[[work, ipad, iphone, samsung, gts], [go, order, super, fast, charge, work, samsung, ], [charge, phone]]","[[work ipad iphone samsung gts, 0.8442, 5], [go order super fast charge work samsung , -0.2732, 5], [charge phone, 0.0, 5]]"
B00SO58MJE,[0.0],[5],"[[receive, product, exact, date, say, suppose]]","[[receive product exact date say suppose, 0.0, 5]]"
B00SOCLZC8,"[0.4215, 0.4404, 0.4404]","[5, 5, 5]","[[cheap, side, kickstand, work, use, time, watch, videos, read], [nice, product]]","[[cheap side kickstand work use time watch videos read, 0.4215, 5], [nice product, 0.4404, 5], [, 0.4404, 5]]"
B00SS7EDZU,[0.5719],[5],"[[son, love, buy, hubby, volt]]","[[son love buy hubby volt, 0.5719, 5]]"
B00SVXB106,"[-0.3818, -0.7096]","[1, 1]","[[crap, paint, peel, day], [le, month, belt, clip, break, disappoint]]","[[crap paint peel day, -0.3818, 1], [le month belt clip break disappoint, -0.7096, 1]]"
B00SZA8HAM,"[-0.4215, 0.764]","[4, 4]","[[case, order, option, snapper, part, le, week, receive, case], [product, kinda, thick, heavy, give, star, response]]","[[case order option snapper part le week receive case, -0.4215, 4], [product kinda thick heavy give star response, 0.764, 4]]"
B00T40NR84,"[0.7402, 0.6249, 0.5574, -0.5469, 0.4404]","[5, 5, 5, 1, 5]","[[product, advertise, make, deliver, fashion, lot], [inner, case, rubber, clip, back, manipulate, doubt, withstand, fall, protect, phone, place, belt, clip, case, difficult, imagine, place, round, peg, space, frustrate, right, add, attempt, put, phone, take, clip, end, mash, power, button, volume, button, problem, inconvenient, phone, minute, sleep, set, power, waste, stand, phone, nice, orient, position, want, phone, might, suggest, complicate, set, balance, counterweight, belt, clip, use, clip, bike, basket, use, belt, clip, belt, phone, think, shop, quality, product, suit, need, work, animal, lot, text, reference, digital, trust, case, protective, ability, cat, dog, let, bull, mold, edge, rubber, rag, bum, attention, detail, care, put, product, pride, work], [purchase, grandson, phone, love, sturdy, protects, phone], [case, order]]","[[product advertise make deliver fashion lot, 0.7402, 5], [inner case rubber clip back manipulate doubt withstand fall protect phone place belt clip case difficult imagine place round peg space frustrate right add attempt put phone take clip end mash power button volume button problem inconvenient phone minute sleep set power waste stand phone nice orient position want phone might suggest complicate set balance counterweight belt clip use clip bike basket use belt clip belt phone think shop quality product suit need work animal lot text reference digital trust case protective ability cat dog let bull mold edge rubber rag bum attention detail care put product pride work, 0.6249, 5], [purchase grandson phone love sturdy protects phone, 0.5574, 5], [case order, -0.5469, 1], [, 0.4404, 5]]"
B00T9Y97WK,[-0.2853],[2],"[[inside, pocket, come, apart, case, cute, im, happy]]","[[inside pocket come apart case cute im happy, -0.2853, 2]]"
B00TD2O09S,[0.7269],[5],"[[look, photo, slip, grip, side, case, guess, mine, isnt, slip, bc, put, magnet, insert, hand, car, mount]]","[[look photo slip grip side case guess mine isnt slip bc put magnet insert hand car mount, 0.7269, 5]]"
B00TETQZWA,[-0.1028],[1],"[[case, look, stinkin, son, phone, fit, design, start, peel, bought, thing, think, do, something, order, day, peel]]","[[case look stinkin son phone fit design start peel bought thing think do something order day peel, -0.1028, 1]]"
B00THP8AKG,[0.9211],[5],"[[case, cute, fit, price]]","[[case cute fit price, 0.9211, 5]]"
B00TP0KPGK,[0.8221],[5],"[[think, month, usb, working, seem, quality, charger]]","[[think month usb working seem quality charger, 0.8221, 5]]"
B00TRQIXWA,"[0.3999, 0.9687, 0.9643, 0.599, 0.91]","[2, 4, 5, 3, 5]","[[work, great, hold, delivery], [mount, amaze, werent, fact, fit, round, vent, car, look, purchase, make, sure, mention, work, round, vent, issue, clip, read, people, use, work, round, vent, case, car, car, mount, use], [holder, great, love, hold, vent, position, phone, manipulate, catch, lot, cool, air, ac, vent, let, air, pas, cool, grip, slip, provide, metal, plate, otter, box, slap, phone, mount, angle, stay, pull, slight, twist, motionbr, br, note, downside, vent, clip, work, vent, work, wife, prius, narrow, deep, vent, work, prius, v, go, figure, use, standard, car, mount, wizgear, car, doesnt, standoff], [honda, buy, air, vent, mount, go, vent, shorter, side, air, vent, car, slant, phone, tilt, make, difficult, see, screen, take, phone, magnet, mount, fast, swift, snap, work, way, regular, air, vent, mount, hook, air, vent, come, leaving, space, air, vent, phone, bring, screen, closer, feel, block, air, flow, vent, mount, part, mount, leave, space, air, vent, place, vent, circle, tilt, side, angle, phone, screen, like, con, weight, phone, tilt, phone, make, screen, tilt, downwards, depend, area, phone, magnet, put, phone, error, thing, fiddle, move, magnet, phone, different, placement, move, magnet, swivel, like, use, great, price], [nice, design, make, place, plate, magnet, inside, iphone, case, fall, twist, make, turn, adjust, know, case, cause, problem, use, magnet, iphone, move, plus, design, provide, support, vent, damage]]","[[work great hold delivery, 0.3999, 2], [mount amaze werent fact fit round vent car look purchase make sure mention work round vent issue clip read people use work round vent case car car mount use, 0.9687, 4], [holder great love hold vent position phone manipulate catch lot cool air ac vent let air pas cool grip slip provide metal plate otter box slap phone mount angle stay pull slight twist motionbr br note downside vent clip work vent work wife prius narrow deep vent work prius v go figure use standard car mount wizgear car doesnt standoff, 0.9643, 5], [honda buy air vent mount go vent shorter side air vent car slant phone tilt make difficult see screen take phone magnet mount fast swift snap work way regular air vent mount hook air vent come leaving space air vent phone bring screen closer feel block air flow vent mount part mount leave space air vent place vent circle tilt side angle phone screen like con weight phone tilt phone make screen tilt downwards depend area phone magnet put phone error thing fiddle move magnet phone different placement move magnet swivel like use great price, 0.599, 3], [nice design make place plate magnet inside iphone case fall twist make turn adjust know case cause problem use magnet iphone move plus design provide support vent damage, 0.91, 5]]"
B00U18F8QW,[0.765],[5],"[[perfect, size, hope, doesnt, stretch]]","[[perfect size hope doesnt stretch, 0.765, 5]]"
B00U7KQ444,[0.2732],[5],"[[product, deliver, describe, fit]]","[[product deliver describe fit, 0.2732, 5]]"
