9712951502,[0.3724],[1],"[[phone, say, fake, knock]]","[[phone say fake knock, 0.3724, 1]]"
B00ZQNF45W,"[0.8516, 0.9579, 0.0, -0.6249, 0.9857, 0.6213, -0.6089, 0.3612, 0.5223]","[4, 5, 1, 1, 4, 4, 1, 5, 1]","[[work, stay, load, matter, dothios, hate, stuff, amazon, cant, go, store, see, work, etc], [user, putting, music, folder, joke, figure, get, music, play, random, play, song, song, nothing, player], [mp, player, limitation, quirk, learn, quicker, sound, good, headphone, use, didnt, care, ear, bud, come, light, weight, feel, bit, cheep, question, durability, month, wife, run, wash, forget, take, pocket, consider, base, pricebr, br, note, use, listen, mp, couldnt, imagine, watch, video, couple, minute, go, view, photo, consider, ebook, function, worthless, screen, read, anything, extend, period, record, function, prove, need, nice, act, radio, havent, test, came, game, boxman, prove, br, thing, come, term, maneuver, menu, fact, menu, button, top, circular, control, select, button, use, play, button, function, go, side, side, use, forward, backward, button, side, control, get, everything, fall, br, try, maneuver, music, selection, prove, challenge, think, figure, info, mention, make, sense, here, quick, rundown, select, music, wasnt, sparse, instruction, couldnt, guide, internet, use, forwardbackward, button, selection, click, menu, button, take, list, click, menu, button, folder, selection, use, forwardbackward, button, get, click, menu, button, root, selection, use, forwardbackward, button, folder, whatever, folder, set, contain, music, click, menu, button, display, folder, load, device, mine, show, artist, use, forwardbackward, button, go, artist, click, menu, see, album, click, menu, get, album, menu, time, get, album, use, play, button, start, playing, music, intuitive, figure, okay, note, sort, folder, weird, use, forwardbackward, button, keep, scroll, find, look, forbr, br, note, turn, use, second, im, adjust, settingsbr, br, price, im, complain, control, amount, mp, file, store, micro, sd, slot, good, pricebr, br, audiblecom, user, take, note, devise, appear, work, proprietary, file, try, load, device, manager, software, list, thats, annoy, thats], [thats, expect, thing, user, ipod, course, doesnt, sync, itunes, service, convert, song, mp, drag, device, connect, computer, drm, protect, itunes, account, youre, go, get, device, sound, quality, good, cant, tell, difference, ipod, screen, graphic, bottom, line, work, battery, life, decent, meet, need], [thank], [frustration, request, refund, accept, keep, useless, care, pay, return, shipping, offer, replace, instruction, booklet, joke, understand, turn, charge, setup, get, language, change, problem, deal, satisfy, way, say, btw, connect, computer, expect, help, nope, nothing, problem, electronics, day, rate, recommend], [work, follow, instruction, send], [understand, reason, give, rating, product, cant, say, fact, give, buy, mp, player, know, youre, get, simple, interface, simple, design, expect, frill, thrill, buck, expect, went, target, walmart, find, cheapest, mp, player, least, mediocre, review, cost, found, didnt, receive, total, garbage, rating, area, dollar, area, star, user, experience, problem, something, anyone, like, see, admit, control, interface, bit, confuse, nothing, couldnt, figure, day, use, toss, sim, card, player, come, gig, use, estimating, average, mb, fit, range, song, recommend, youre, someone, like, search, song, sound, get, loud, depend, headphone, purpose, get, mp, player, take, gym, deal, something, happens, song, time, player, perfect, sum, feel, get, moneys, product, keep, expectation, temper, expect, interface, confusion, start, go, buy, couple, case, something, happens, backup, drop, something]]","[[work stay load matter dothios hate stuff amazon cant go store see work etc, 0.8516, 4], [user putting music folder joke figure get music play random play song song nothing player, 0.9579, 5], [mp player limitation quirk learn quicker sound good headphone use didnt care ear bud come light weight feel bit cheep question durability month wife run wash forget take pocket consider base pricebr br note use listen mp couldnt imagine watch video couple minute go view photo consider ebook function worthless screen read anything extend period record function prove need nice act radio havent test came game boxman prove br thing come term maneuver menu fact menu button top circular control select button use play button function go side side use forward backward button side control get everything fall br try maneuver music selection prove challenge think figure info mention make sense here quick rundown select music wasnt sparse instruction couldnt guide internet use forwardbackward button selection click menu button take list click menu button folder selection use forwardbackward button get click menu button root selection use forwardbackward button folder whatever folder set contain music click menu button display folder load device mine show artist use forwardbackward button go artist click menu see album click menu get album menu time get album use play button start playing music intuitive figure okay note sort folder weird use forwardbackward button keep scroll find look forbr br note turn use second im adjust settingsbr br price im complain control amount mp file store micro sd slot good pricebr br audiblecom user take note devise appear work proprietary file try load device manager software list thats annoy thats, 0.0, 1], [thats expect thing user ipod course doesnt sync itunes service convert song mp drag device connect computer drm protect itunes account youre go get device sound quality good cant tell difference ipod screen graphic bottom line work battery life decent meet need, -0.6249, 1], [thank, 0.9857, 4], [frustration request refund accept keep useless care pay return shipping offer replace instruction booklet joke understand turn charge setup get language change problem deal satisfy way say btw connect computer expect help nope nothing problem electronics day rate recommend, 0.6213, 4], [work follow instruction send, -0.6089, 1], [understand reason give rating product cant say fact give buy mp player know youre get simple interface simple design expect frill thrill buck expect went target walmart find cheapest mp player least mediocre review cost found didnt receive total garbage rating area dollar area star user experience problem something anyone like see admit control interface bit confuse nothing couldnt figure day use toss sim card player come gig use estimating average mb fit range song recommend youre someone like search song sound get loud depend headphone purpose get mp player take gym deal something happens song time player perfect sum feel get moneys product keep expectation temper expect interface confusion start go buy couple case something happens backup drop something, 0.3612, 5], [, 0.5223, 1]]"
B00ZTDP6YI,[0.0],[5],[[loveit]],"[[loveit, 0.0, 5]]"
B00ZVGDH9E,[0.8189],[5],"[[fit, drop, phone, happens, talking, phone, people]]","[[fit drop phone happens talking phone people, 0.8189, 5]]"
B00ZYEY9CC,[0.7832],[5],"[[hunt, case, iphone, plus, came, verus, case, satisfy, loss, others, state, look, feel, build, youre, look, case, buy]]","[[hunt case iphone plus came verus case satisfy loss others state look feel build youre look case buy, 0.7832, 5]]"
B0102XWFXY,[0.6249],[5],[[product]],"[[product, 0.6249, 5]]"
B010EYKBYG,[0.2382],[5],"[[iphone, case, light, light, con, take, apart]]","[[iphone case light light con take apart, 0.2382, 5]]"
B010GJY0DM,[0.8725],[1],"[[get, case, time, went, picture, start, fade, color, start, come, dont, print, case, wish, finish, didnt, wear]]","[[get case time went picture start fade color start come dont print case wish finish didnt wear, 0.8725, 1]]"
B010TWK800,[0.886],[5],"[[perfect, case, waste, money, look, make, slim, case, stand, use, iphone, everything, travel, work, ebook, reading, movie, try, case, stand, bulky, make, find, accident, wow, love, trifold, stand, back, case, ultra, slip, perfect, case, solve, problem, money, waste, case, order, hahahahabr, br, update, sad, stand, separate, use, lot, watch, movie, fly, love, product]]","[[perfect case waste money look make slim case stand use iphone everything travel work ebook reading movie try case stand bulky make find accident wow love trifold stand back case ultra slip perfect case solve problem money waste case order hahahahabr br update sad stand separate use lot watch movie fly love product, 0.886, 5]]"
B010YFE07Y,[0.0],[1],"[[work, day, didnt, charge, got, message, cell, reading, accessory, iphone]]","[[work day didnt charge got message cell reading accessory iphone, 0.0, 1]]"
B0110NIK8O,"[-0.25, 0.7902, 0.6124]","[5, 4, 4]","[[slim, case, work, expect, provides, amount, protection, add, bulk, problem], [protection, fro, money, case, fit, edge, camera, line, wellbr, buy, buy, price], [fit, moto, g, rd, gen, bulky, port, remain, powervolume, button, responsive, slip, case]]","[[slim case work expect provides amount protection add bulk problem, -0.25, 5], [protection fro money case fit edge camera line wellbr buy buy price, 0.7902, 4], [fit moto g rd gen bulky port remain powervolume button responsive slip case, 0.6124, 4]]"
B0112S9KM2,[0.5719],[5],"[[excellent, quality, come, suppose]]","[[excellent quality come suppose, 0.5719, 5]]"
B011HHZ82O,[0.4019],[2],"[[constant, rustle, sound, edge, hearing, use, earphone, feel, fall, problem, havent, earphone, ive, usedbr, br, volume, mechanism, doesnt, work, fire, phone, pauseplay, button, worksbr, br, compare, amazon, premium, earphone, amazon, one, well]]","[[constant rustle sound edge hearing use earphone feel fall problem havent earphone ive usedbr br volume mechanism doesnt work fire phone pauseplay button worksbr br compare amazon premium earphone amazon one well, 0.4019, 2]]"
B011IUHJ18,"[0.8834, 0.5719]","[5, 5]","[[get, wife, love, phone, fit, love, color, come, condition], [get, mother, love]]","[[get wife love phone fit love color come condition, 0.8834, 5], [get mother love, 0.5719, 5]]"
B011KHT4BW,[0.9794],[5],"[[case, seem, find, case, case, build, phone, need, say, im, cardinal, fan, case, snap, fit, drop, oops, nothing, happen, case, feel, phone, beautiful, protect]]","[[case seem find case case build phone need say im cardinal fan case snap fit drop oops nothing happen case feel phone beautiful protect, 0.9794, 5]]"
B011PK6FJI,[0.2617],[4],"[[quality, case, excellent, flip, case, phone, lg, g, samsung, galaxy, quality, far, case, soft, textured, material, mimic, phone, inside, part, phone, snap, flip, part, cover, screen, soft, rubber, rubber, help, keep, screen, phone, get, scratch, close, leave, rub, mark, wipe, cloth, shirt, case, idol, logo, display, chrome, alcatel, portion, phone, phone, snap, case, fitment, issue, port, button, minus, power, button, ill, address, laterbr, br, reason, case, receive, star, reason, case, touch, flip, case, use, control, function, flip, close, window, case, display, window, nothing, bum, find, information, display, lack, youll, see, time, date, alarm, time, text, youll, see, email, youll, see, white, envelope, thats, message, preview, anything, apps, instance, logo, shown, window, case, cover, lead, front, phone, there, way, know, snapchat, window, phone, music, open, power, button, hide, flap, flap, power, button, design, power, button, flap, material, hope, press, power, button, underneathth]]","[[quality case excellent flip case phone lg g samsung galaxy quality far case soft textured material mimic phone inside part phone snap flip part cover screen soft rubber rubber help keep screen phone get scratch close leave rub mark wipe cloth shirt case idol logo display chrome alcatel portion phone phone snap case fitment issue port button minus power button ill address laterbr br reason case receive star reason case touch flip case use control function flip close window case display window nothing bum find information display lack youll see time date alarm time text youll see email youll see white envelope thats message preview anything apps instance logo shown window case cover lead front phone there way know snapchat window phone music open power button hide flap flap power button design power button flap material hope press power button underneathth, 0.2617, 4]]"
B011R73UX8,[0.1901],[2],"[[order, case, csgo, case, fit, phone, thing, part, case, cover, button, push, button, cant, use, phone, case]]","[[order case csgo case fit phone thing part case cover button push button cant use phone case, 0.1901, 2]]"
B0126KKBBE,"[0.0, 0.765, 0.8004, 0.3182]","[5, 4, 5, 1]","[[direction, write, use, idea, seem], [order, work, work, sent, get, refund, work, charge, phone, juice, set, window, sill, go, get, emergency, camp, sure, come, handy, chalk, happens], [item, arrive, describe], [nice, amaze]]","[[direction write use idea seem, 0.0, 5], [order work work sent get refund work charge phone juice set window sill go get emergency camp sure come handy chalk happens, 0.765, 4], [item arrive describe, 0.8004, 5], [nice amaze, 0.3182, 1]]"
B012WTIH92,[-0.7476],[1],"[[item, suck, phone, ten, minute, go, slide, finger, screen, whole, screen, protector, move, finger, screen, doesnt, stay, stuck, phone, pointless, useless, product, waste, money]]","[[item suck phone ten minute go slide finger screen whole screen protector move finger screen doesnt stay stuck phone pointless useless product waste money, -0.7476, 1]]"
B01404S4WC,[0.6249],[5],"[[work, great]]","[[work great, 0.6249, 5]]"
